-0.227621-0j 0.752921-0j -0.209942-0j -0.212117-0j -0.183699-0j -0.151544-0j -0.048419-0j -0.0299728-0j -0.0331738-0j 0.0767964-0j -0.0174842-0j 0.0775922-0j -0.0305973-0j -0.0108178-0j -0.0178484-0j -0.0189311-0j -0.0110431-0j -0.00288087-0j -0.0196095-0j -0.00283039-0j -0.0214002-0j -0.00308885-0j -0.0165765-0j -0.00239261-0j -0.0167483-0j 0.0443106-0j -0.00241741-0j 0.00639568-0j 0.0548315-0j -0.0124834-0j 0.00791425-0j 0.031985-0j -0.010811-0j -0.00180183-0j 0.00461664-0j -0.00156043-0j -0.0154475-0j -0.00772373-0j -0.00222965-0j -0.00637175-0j -0.00111482-0j -0.00780377-0j -0.000919683-0j -0.00112638-0j -0.00352612-0j -0.000508952-0j -0.000777436-0j -0.000112213-0j -0.0149676-0j -0.00264592-0j -0.000220494-0j -0.0161669-0j -0.00285792-0j -0.00023816-0j -0.0123476-0j -0.0124756-0j -0.00218277-0j -0.0110441-0j -0.000181898-0j -0.00220539-0j 0.0518441-0j -0.000183783-0j -0.00195233-0j -0.0136663-0j 0.00916482-0j -0.000162694-0j -0.00797203-0j 0.0365314-0j 0.000763735-0j -0.00241589-0j 0.0223708-0j -0.00140927-0j -0.000201324-0j -0.00720279-0j 0.0064579-0j 0.031965-0j -0.000117439-0j -0.00727743-0j 0.00395464-0j 0.000538158-0j 0.0131849-0j -0.008913-0j -0.00127329-0j 0.00565066-0j 0.000329553-0j -0.00222825-0j -0.000106107-0j -0.00128648-0j -0.00735285-0j 0.00233078-0j 0.000470888-0j -0.00450268-0j -0.00157561-0j -0.000107207-0j -0.00234927-0j 0.000194232-0j -0.000393902-0j -0.00129981-0j -0.00321687-0j -0.000131301-0j -3.28252e-05-0j -0.000795969-0j -0.000108318-0j -0.000415296-0j -0.00118681-0j -0.000568668-0j -6.63307e-05-0j -3.4608e-05-0j -0.00022661-0j -0.0002098-0j -4.7389e-05-0j -1.74833e-05-0j -4.00593e-05-0j -3.33828e-06-0j 
0.00789026-0j 0.008913-0j 0.0413636-0j -0.0142963-0j 0.0054096-0j -0.0153564-0j 0.0016784-0j 0.00103898-0j 0.00114994-0j -0.00265759-0j -0.00296287-0j 0.000918528-0j 0.0060284-0j 0.00461928-0j -0.00120295-0j 0.000557486-0j -0.00111904-0j 9.98628e-05-0j 0.000679745-0j 9.81127e-05-0j 0.000741817-0j 0.000107072-0j -0.00167975-0j -0.000242451-0j 0.000580564-0j -0.00101988-0j 8.37971e-05-0j -0.000147207-0j -0.00189748-0j -0.00211544-0j -0.000273878-0j 0.000378636-0j -0.000619-0j -0.000305338-0j 5.46514e-05-0j -8.9345e-05-0j 0.00304352-0j 0.0032981-0j 0.000439295-0j -0.000429444-0j 0.000476039-0j 0.000229807-0j -6.19848e-05-0j 3.31698e-05-0j -0.000357313-0j -5.15737e-05-0j 2.69491e-05-0j 3.88977e-06-0j -0.0743347-0j 9.17184e-05-0j 7.6432e-06-0j -0.0802907-0j 9.90672e-05-0j 8.2556e-06-0j 0.179265-0j -0.0619585-0j -0.000221188-0j 0.106644-0j -1.84323e-05-0j 7.64479e-05-0j -0.0375525-0j 6.37066e-06-0j -0.000131583-0j 0.19841-0j 4.63344e-05-0j -1.09653e-05-0j -0.0395921-0j 0.120467-0j 3.8612e-06-0j -0.00024481-0j -0.0322326-0j 4.8851e-05-0j -2.04008e-05-0j -0.511212-0j -0.000148639-0j 0.158483-0j 4.07091e-06-0j 0.176688-0j 3.97704e-05-0j -1.23866e-05-0j -0.022362-0j 0.0731156-0j 0.000630762-0j -0.000195545-0j 3.3142e-06-0j -0.348407-0j 5.25635e-05-0j -0.000218007-0j -0.207556-0j 2.75915e-05-0j -1.62954e-05-0j -0.275466-0j -9.02142e-05-0j -1.81673e-05-0j 0.0226851-0j 2.29929e-06-0j 0.000429884-0j 0.000256094-0j -0.0135723-0j -7.51785e-06-0j 3.58237e-05-0j 0.000339885-0j 2.13412e-05-0j -2.79901e-05-0j 0.0172303-0j 1.67462e-05-0j 2.83238e-05-0j -2.33251e-06-0j -0.00112543-0j -2.12597e-05-0j 1.39552e-06-0j -1.77164e-06-0j 1.38862e-06-0j 1.15718e-07-0j 
-0.00241589-0j 0.000158166-0j 0.00214279-0j 0.00216222-0j 0.000112809-0j -0.00300165-0j 0.00200475-0j 0.0149613-0j 0.000327746-0j 0.0368636-0j 0.00872742-0j 0.0371979-0j -0.000290697-0j -0.0263778-0j -0.0172895-0j 0.0265307-0j 0.015483-0j -0.00701934-0j 0.0197973-0j 0.00285568-0j 0.00042762-0j 6.16824e-05-0j -0.0160934-0j -0.00232141-0j -0.0162394-0j -0.044735-0j -0.00234246-0j -0.00645284-0j 0.00105363-0j 0.000249445-0j 0.000151981-0j 0.0626655-0j -0.0319064-0j 3.59814e-05-0j 0.00903924-0j -0.00460236-0j 0.0144036-0j -0.000753923-0j 0.00207767-0j -0.0187891-0j -0.00010875-0j 0.0446949-0j -0.00271025-0j 0.00644706-0j 0.0133547-0j 0.00192636-0j -0.00460055-0j -0.000663611-0j -0.000158861-0j -0.12563-0j 0.000334866-0j -3.39618e-06-0j -0.00268576-0j 7.15888e-06-0j 0.000126027-0j 0.00012717-0j 0.0996647-0j -0.000117218-0j -0.000265656-0j 0.100568-0j 0.000550255-0j -0.000268065-0j -0.092698-0j 2.76079e-06-0j 0.435152-0j 0.000247086-0j 0.000164201-0j 7.67417e-06-0j -0.0011599-0j 0.00218328-0j -0.000694096-0j 0.129853-0j -5.81952e-06-0j 7.35159e-05-0j 0.00606887-0j 0.000313339-0j -0.000346122-0j 7.41826e-05-0j -0.548903-0j -1.61765e-05-0j -0.00040874-0j 5.47345e-06-0j 0.0581377-0j 0.247794-0j 0.0014631-0j 0.000161921-0j -0.000154966-0j 0.0586649-0j -0.000145639-0j -0.323239-0j -0.000660493-0j -0.00022421-0j 0.00432851-0j -0.000156371-0j 9.72698e-05-0j 0.000861592-0j 0.12805-0j -0.115174-0j -0.000291526-0j -1.15376e-05-0j -0.000341317-0j -0.177309-0j 0.000306995-0j 0.0769227-0j -5.91278e-05-0j -0.230544-0j 0.000472617-0j -0.000205037-0j 1.64553e-05-0j -0.0467593-0j 0.000614514-0j 0.000124637-0j 0.0130131-0j -3.46864e-05-0j 
-0.00161059-0j -3.60096e-05-0j 0.00726207-0j -0.00704688-0j -2.57265e-05-0j 0.00208091-0j 0.0013365-0j 0.0099742-0j 0.000218497-0j 0.00872742-0j 0.0381724-0j -0.00846881-0j -0.000985192-0j 0.00359988-0j 0.056348-0j -0.00605041-0j -0.0107337-0j -0.00467956-0j 0.0131982-0j 0.00190379-0j 0.00028508-0j 4.11216e-05-0j 0.0111569-0j 0.00160933-0j -0.0108263-0j -0.0497897-0j -0.00156164-0j -0.00718196-0j 0.000249445-0j 0.00109103-0j 3.59814e-05-0j -0.014267-0j -0.0355715-0j 0.000157377-0j -0.00205795-0j -0.00513104-0j 0.048815-0j 0.000102891-0j 0.00704136-0j 0.0612353-0j 1.48416e-05-0j -0.0101928-0j 0.00883295-0j -0.00147027-0j -0.00925819-0j -0.00133546-0j -0.00306704-0j -0.000442408-0j -0.000105907-0j -0.0837534-0j 0.000223244-0j -2.26412e-06-0j -0.00179051-0j 4.77259e-06-0j -8.7369e-05-0j 8.47801e-05-0j -0.069093-0j 0.000382024-0j 0.000184167-0j 0.0670456-0j -5.35024e-05-0j -0.00017871-0j 0.302112-0j -1.91393e-06-0j -0.0423107-0j -0.000805277-0j 0.000109467-0j 8.54128e-06-0j 0.000112779-0j -0.00151357-0j -5.40568e-05-0j 0.0865685-0j 4.03441e-06-0j -0.000334371-0j 0.0067546-0j 7.41826e-05-0j -0.000230748-0j 0.000324463-0j -0.0427491-0j -1.80044e-05-0j 9.30574e-05-0j 6.10219e-06-0j -0.264427-0j 0.0586649-0j 0.000113948-0j -1.57666e-05-0j 0.000704828-0j 0.256591-0j -0.000493581-0j 0.0735915-0j -0.000156371-0j 3.05988e-05-0j 0.00482572-0j -0.000683943-0j -0.000317011-0j -0.000196158-0j -0.0124685-0j -0.390333-0j 6.64835e-05-0j -1.28629e-05-0j 3.32347e-05-0j 0.0241981-0j 0.00104043-0j -0.250698-0j 4.09906e-05-0j 0.0525763-0j -6.44998e-05-0j 0.000668235-0j 1.09702e-05-0j 0.0324161-0j -0.000140142-0j -8.64051e-05-0j 0.00867542-0j -2.31243e-05-0j 
-0.0112741-0j 0.0122314-0j -0.0194426-0j -0.0204115-0j -0.0255452-0j 0.00637793-0j -0.0249751-0j -0.00148457-0j 0.00157807-0j 0.00124918-0j 0.00423355-0j 0.00131143-0j 0.00272143-0j 0.00261739-0j 0.00151877-0j -0.00273892-0j 0.00246587-0j -0.00257724-0j -0.000971266-0j -0.00014019-0j 0.001018-0j 0.000146936-0j 0.000789552-0j 0.000113962-0j 0.000828899-0j 0.00145728-0j 0.000119641-0j 0.00021034-0j -0.000856588-0j -0.00290304-0j -0.000123638-0j -0.000478044-0j -0.00304352-0j -0.000419018-0j -6.89996e-05-0j -0.000439295-0j 0.00142946-0j -0.00179481-0j 0.000206325-0j 0.00287666-0j -0.000259058-0j 0.000998395-0j 0.00041521-0j 0.000144106-0j 0.00174906-0j 0.000252455-0j -0.00106398-0j -0.000153572-0j 0.106215-0j -0.000131054-0j -1.09211e-05-0j -0.110183-0j 0.000135951-0j 1.13292e-05-0j -0.084262-0j -0.0884612-0j 0.000103967-0j -0.15238-0j 8.66393e-06-0j 0.000109148-0j 0.0536576-0j 9.09571e-06-0j 0.000188015-0j 0.0895692-0j -6.62058e-05-0j 1.56679e-05-0j 0.0499867-0j 0.165318-0j -5.51715e-06-0j -0.000110516-0j -0.158483-0j -6.16764e-05-0j -9.20963e-06-0j 0.240291-0j -0.000203979-0j 0.0744349-0j -5.1397e-06-0j 0.252266-0j 0.000195545-0j -1.69982e-05-0j 0.149793-0j -0.345267-0j -0.000296484-0j -9.1842e-05-0j 1.62954e-05-0j -0.108261-0j -2.4707e-05-0j -0.000311259-0j 0.0862035-0j -0.000184824-0j -7.6535e-06-0j 0.155963-0j 0.00042601-0j -2.59383e-05-0j -0.337562-0j -1.5402e-05-0j 0.000133578-0j -0.000106363-0j -0.312844-0j 3.55008e-05-0j 1.11315e-05-0j -0.000192436-0j -8.86356e-06-0j 0.000416502-0j -0.146281-0j 0.000386005-0j -1.60364e-05-0j 3.47085e-05-0j 0.0629115-0j 0.000180489-0j 3.2167e-05-0j 1.50408e-05-0j -7.76238e-05-0j -6.46865e-06-0j 
0.000201324-0j -1.31805e-05-0j -0.000178566-0j -0.000180185-0j -9.40076e-06-0j 0.000250138-0j -0.000167063-0j -0.00379335-0j -8.3098e-05-0j -0.00934654-0j -0.00221278-0j -0.0094313-0j 7.37043e-05-0j 0.00668793-0j 0.00438364-0j -0.0067267-0j -0.00392563-0j 0.00177971-0j 1.7344e-05-0j 0.0339315-0j 3.74629e-07-0j 0.000732916-0j -1.40991e-05-0j -0.0275833-0j -1.4227e-05-0j -3.91914e-05-0j -0.0278334-0j -0.0766733-0j 9.2306e-07-0j 2.18533e-07-0j 0.00180586-0j 5.48999e-05-0j -2.79525e-05-0j 0.000427535-0j 0.107405-0j -0.0546858-0j 1.26187e-05-0j -6.60496e-07-0j 0.024687-0j -1.64607e-05-0j -0.00129218-0j 3.91563e-05-0j -0.0322034-0j 0.0766047-0j 1.16998e-05-0j 0.0228892-0j -4.03045e-06-0j -0.0078851-0j 1.32384e-05-0j -0.000334866-0j -0.121636-0j 2.83015e-07-0j -7.15888e-06-0j -0.00260038-0j -1.05023e-05-0j -1.05975e-05-0j 0.000265656-0j 9.76816e-06-0j 0.0964963-0j 0.000268065-0j -4.58546e-05-0j 0.0973713-0j -0.000247086-0j -2.30065e-07-0j 0.0011599-0j -0.0897511-0j -1.36834e-05-0j -6.39514e-07-0j 0.421318-0j 5.81952e-06-0j 5.78413e-05-0j 0.000346122-0j 0.00211387-0j -6.12633e-06-0j 1.61765e-05-0j -2.61115e-05-0j 0.125725-0j -6.18188e-06-0j -0.0014631-0j 0.00587594-0j 3.40617e-05-0j -4.56121e-07-0j 0.000154966-0j 0.000660493-0j -0.531453-0j -1.34934e-05-0j 0.0562895-0j 0.000156371-0j 1.21366e-05-0j -0.000861592-0j 0.239916-0j 1.86841e-05-0j 1.15376e-05-0j 0.0568-0j -8.10582e-06-0j -0.312963-0j 0.000341317-0j -0.000306995-0j 2.42938e-05-0j 0.0041909-0j 0.123979-0j -0.000472617-0j -0.111512-0j 0.000205037-0j 4.92732e-06-0j -0.000614514-0j -0.171672-0j 0.0744773-0j -1.37127e-06-0j -0.000124637-0j -0.223215-0j -0.0452728-0j 3.46864e-05-0j 0.0125994-0j 
0.00140927-0j 0.00904632-0j 0.00129981-0j 0.00116041-0j -0.00220714-0j 0.00358593-0j -0.00376583-0j -0.00872742-0j 0.0187454-0j 0.0223614-0j -0.005091-0j 0.0199632-0j 0.0172895-0j -0.00314989-0j -0.0198627-0j -0.00487066-0j -0.00393448-0j 0.0362264-0j -0.0115484-0j -0.00166582-0j 0.0244577-0j 0.00352792-0j -0.00976225-0j -0.00140816-0j -0.00871527-0j 0.0260954-0j -0.00125714-0j 0.00376416-0j -0.0626655-0j 0.014267-0j -0.00903924-0j 0.0719921-0j -0.00636681-0j 0.00205795-0j 0.0103846-0j -0.000918386-0j -0.00803836-0j 0.00882724-0j -0.0011595-0j -0.00459148-0j 0.00127329-0j -0.0175648-0j -0.000662303-0j -0.00253365-0j 0.0260865-0j 0.00376288-0j 0.0440902-0j 0.00635983-0j 9.26689e-05-0j 0.0732842-0j -0.000195339-0j -0.000194244-0j -0.153612-0j 0.000409452-0j 7.64479e-05-0j 6.8249e-05-0j 0.0604564-0j 6.83771e-05-0j -0.000161146-0j 0.0539726-0j -0.000320982-0j -0.000143864-0j 0.0540738-0j -0.000164201-0j -0.253839-0j -0.000144134-0j 0.000188639-0j 0.000438924-0j 0.000676605-0j -0.129853-0j -0.000138504-0j 0.149179-0j 0.000346122-0j 4.45946e-05-0j 0.347109-0j -0.000174868-0j -0.000397636-0j 3.98119e-05-0j -0.109532-0j -0.000925217-0j -9.98837e-05-0j -0.000107089-0j 0.0352662-0j -0.138289-0j 0.000291956-0j 1.37958e-05-0j -9.4002e-05-0j 0.031484-0j 0.000173988-0j -0.0789899-0j 0.000368607-0j 2.46324e-05-0j -0.0846883-0j -8.39205e-05-0j -0.000182716-0j 0.000210547-0j 0.0109099-0j 0.137593-0j 2.43698e-05-0j 0.000225736-0j -2.90804e-05-0j 0.0194797-0j -0.000366752-0j -0.144495-0j -0.000317325-0j 0.0192721-0j -5.19231e-05-0j 0.000385152-0j -0.000249106-0j -0.250946-0j -5.13697e-05-0j 0.000668897-0j -0.196997-0j 0.000525095-0j 
-0.00139481-0j -0.00157561-0j -0.00731212-0j 0.00252725-0j -0.000956291-0j 0.00271466-0j -0.000296702-0j 0.00863791-0j 0.00956041-0j -0.0220948-0j -0.0246328-0j 0.0076365-0j 0.0501192-0j 0.0384039-0j -0.0100011-0j 0.00463485-0j -0.00930349-0j 0.000830243-0j 0.01143-0j 0.00164873-0j 0.0124737-0j 0.00179929-0j -0.0282452-0j -0.00407426-0j 0.00976225-0j -0.0171494-0j 0.00140816-0j -0.00247374-0j -0.0319064-0j -0.0355715-0j -0.00460236-0j 0.00636681-0j -0.0104086-0j -0.00513104-0j 0.000918386-0j -0.00150139-0j 0.0511773-0j 0.0554579-0j 0.00738211-0j -0.00722115-0j 0.00799958-0j 0.00386423-0j -0.00104162-0j 0.0005574-0j -0.00600826-0j -0.000866668-0j 0.000453152-0j 6.53654e-05-0j -9.17184e-05-0j -0.0725326-0j 0.000193335-0j -9.90672e-05-0j -0.0783441-0j 0.000208826-0j 0.000221188-0j -7.64479e-05-0j 0.174919-0j 0.000131583-0j -0.000466246-0j -0.0604564-0j -4.63344e-05-0j 0.000161146-0j 0.104059-0j 0.00024481-0j -0.0366421-0j -0.000277367-0j -4.8851e-05-0j 0.000148639-0j 9.76694e-05-0j 0.1936-0j -3.97704e-05-0j -0.0386322-0j -0.00051604-0j -0.000630762-0j 0.117547-0j 0.000195545-0j 0.000102974-0j 0.000218007-0j -0.0314512-0j -0.00031332-0j -2.75915e-05-0j 9.02142e-05-0j -0.498818-0j 0.15464-0j 8.3833e-05-0j -0.000429884-0j 0.0013296-0j 0.172404-0j -0.000256094-0j -0.0218199-0j -0.000412193-0j -0.000339885-0j 0.071343-0j -0.000459542-0j 2.79901e-05-0j 5.81608e-05-0j -0.33996-0j -0.202524-0j -1.67462e-05-0j -0.000190165-0j 0.000906163-0j -0.268787-0j 0.000539827-0j 0.0221351-0j 2.12597e-05-0j -0.0132432-0j 0.000716452-0j -5.9001e-05-0j -1.38862e-06-0j 0.0168126-0j 3.52997e-05-0j -4.48138e-05-0j -0.00109815-0j 2.9271e-06-0j 
-0.00563707-0j -0.000126034-0j 0.025398-0j 0.00504518-0j -0.00110919-0j -0.0355779-0j 0.00467776-0j -0.000742283-0j -1.62606e-05-0j 0.00317276-0j -0.000432998-0j 0.000630252-0j 7.32629e-05-0j -0.0019608-0j 0.000857793-0j 0.00554668-0j -0.00390211-0j 0.000348254-0j -0.000485633-0j -7.00951e-05-0j -1.04896e-05-0j -1.51404e-06-0j 0.00200537-0j 0.00028945-0j 0.000398356-0j -0.000374752-0j 5.74977e-05-0j -5.40908e-05-0j 4.4836e-05-0j -6.11894e-06-0j 6.47152e-06-0j 0.000524959-0j -0.0032981-0j -8.83192e-07-0j 7.57712e-05-0j -0.000476039-0j -0.00179481-0j -2.77091e-05-0j -0.000259058-0j 0.0004609-0j -3.99947e-06-0j 0.00462003-0j 6.65252e-05-0j 0.000666843-0j -0.0016641-0j -0.000240192-0j 0.000112853-0j 1.62889e-05-0j 0.0531073-0j -6.55268e-05-0j -5.46056e-06-0j 0.00113534-0j -1.40085e-06-0j -1.16738e-07-0j -0.214016-0j -0.0425131-0j 0.000264064-0j 0.039186-0j 2.20054e-05-0j 5.2455e-05-0j 0.0268288-0j 4.37125e-06-0j -4.83499e-05-0j -0.00468828-0j -3.31029e-05-0j -4.02916e-06-0j -0.0548924-0j 0.00087612-0j -2.75858e-06-0j 5.78466e-06-0j 0.333915-0j 6.77293e-05-0j 4.82055e-07-0j -0.124842-0j -1.08101e-06-0j 0.181715-0j 5.64411e-06-0j -0.0247993-0j -0.000412003-0j -9.00838e-08-0j -0.0466637-0j 0.00771051-0j 0.000154038-0j -0.00022421-0j -3.43336e-05-0j -0.51528-0j 1.28365e-05-0j 3.05988e-05-0j 0.247319-0j 5.75764e-05-0j -1.86841e-05-0j -0.112302-0j -9.51366e-06-0j 2.5499e-06-0j -0.0325174-0j 4.79803e-06-0j 0.000635782-0j -0.000305157-0j -0.410676-0j -7.92805e-07-0j 5.29818e-05-0j 0.000138564-0j -2.54297e-05-0j 4.01217e-05-0j 0.100409-0j 0.000506715-0j 1.1547e-05-0j 3.34348e-06-0j -0.00550101-0j -0.00012389-0j 4.22262e-05-0j -1.03242e-05-0j 6.78746e-06-0j 5.65621e-07-0j 
0.000134216-0j 3.0008e-06-0j -0.000605173-0j 0.00058724-0j 2.14387e-06-0j -0.000173409-0j -0.000111375-0j -0.0025289-0j -5.53987e-05-0j -0.00221278-0j -0.00967837-0j 0.00214721-0j 0.000249789-0j -0.000912727-0j -0.0142867-0j 0.00153404-0j 0.00272146-0j 0.00118647-0j 1.15627e-05-0j 0.022621-0j 2.49753e-07-0j 0.000488611-0j 9.77429e-06-0j 0.0191222-0j -9.48466e-06-0j -4.36197e-05-0j -0.0185556-0j -0.0853368-0j 2.18533e-07-0j 9.55831e-07-0j 0.000427535-0j -1.2499e-05-0j -3.11634e-05-0j 0.00186997-0j -0.0244528-0j -0.0609675-0j 4.27658e-05-0j 9.01405e-08-0j 0.0836662-0j 5.3647e-05-0j 0.000176349-0j -8.92973e-06-0j 0.104954-0j -0.0174699-0j -8.11091e-06-0j -0.015868-0j -2.68697e-06-0j -0.00525673-0j 8.82561e-06-0j -0.000223244-0j -0.0810908-0j 1.88677e-07-0j -4.77259e-06-0j -0.00173359-0j 7.28075e-06-0j -7.06501e-06-0j -0.000184167-0j -3.18353e-05-0j -0.0668965-0j 0.00017871-0j 4.45853e-06-0j 0.0649142-0j 0.000805277-0j 1.59494e-07-0j -0.000112779-0j 0.292507-0j -9.12226e-06-0j -7.11774e-07-0j -0.0409656-0j -4.03441e-06-0j 4.50474e-06-0j 0.000230748-0j -0.00146545-0j 2.78643e-05-0j 1.80044e-05-0j -6.18188e-06-0j 0.0838165-0j -2.70386e-05-0j -0.000113948-0j 0.00653987-0j -7.75479e-06-0j -5.08516e-07-0j -0.000704828-0j 0.000156371-0j -0.0413901-0j 1.31388e-06-0j -0.25602-0j 0.000683943-0j 4.11317e-05-0j 0.000196158-0j 0.0568-0j -2.5499e-06-0j 1.28629e-05-0j 0.248434-0j 2.64176e-05-0j 0.071252-0j -3.32347e-05-0j -0.00104043-0j -5.54029e-06-0j 0.00467231-0j -0.0120721-0j 6.44998e-05-0j -0.377924-0j -0.000668235-0j -3.41589e-06-0j 0.000140142-0j 0.0234288-0j -0.242729-0j -9.14182e-07-0j 8.64051e-05-0j 0.0509049-0j 0.0313856-0j 2.31243e-05-0j 0.00839963-0j 
0.00465035-0j -0.0153435-0j -0.0083395-0j -0.0395009-0j -0.0109619-0j 0.00378834-0j -0.0183588-0j 0.000612352-0j -0.00197959-0j 0.000535808-0j -0.00174625-0j 0.00253791-0j 0.00355002-0j 0.00022101-0j -0.000867517-0j 0.00181317-0j -0.00310478-0j 0.00180661-0j 0.000400627-0j 5.78255e-05-0j -0.00127702-0j -0.000184322-0j 0.000338662-0j 4.88817e-05-0j 0.00160411-0j -0.000601096-0j 0.000231533-0j -8.67607e-05-0j -0.00111739-0j 0.00364168-0j -0.000161282-0j 0.000273057-0j -0.000429444-0j 0.000525632-0j 3.94123e-05-0j -6.19848e-05-0j -0.00287666-0j -0.0004609-0j -0.00041521-0j 0.0034831-0j -6.65252e-05-0j 0.000195081-0j 0.000502742-0j 2.81575e-05-0j -0.00133698-0j -0.000192976-0j 0.00317695-0j 0.000458554-0j -0.0438113-0j 5.40568e-05-0j 4.50474e-06-0j 0.138218-0j -0.000170542-0j -1.42118e-05-0j -0.0361425-0j -0.171193-0j 4.45946e-05-0j 0.0628537-0j 3.71622e-06-0j 0.000211227-0j -0.0221326-0j 1.76022e-05-0j -7.75524e-05-0j 0.11684-0j 2.73085e-05-0j -6.4627e-06-0j -0.0285522-0j -0.207381-0j 2.27571e-06-0j -0.000144164-0j -0.022362-0j 3.52293e-05-0j -1.20137e-05-0j 0.103068-0j 0.000255879-0j -0.149793-0j 2.93578e-06-0j 0.488191-0j 2.75915e-05-0j 2.13232e-05-0j 0.181372-0j -0.14816-0j -0.000127171-0j 0.000184824-0j 2.29929e-06-0j -0.00652225-0j -1.05976e-05-0j -0.000602357-0j 0.0512029-0j -0.000223787-0j 1.5402e-05-0j -0.0617866-0j 0.000182808-0j -5.01965e-05-0j -0.248135-0j -1.86489e-05-0j 8.04752e-06-0j -6.3177e-05-0j 0.129578-0j 1.5234e-05-0j 6.70627e-07-0j 7.62359e-05-0j -5.26475e-06-0j 0.000306164-0j -0.10663-0j -0.000159881-0j 6.35299e-06-0j 2.55136e-05-0j -0.383118-0j 0.000131566-0j -1.33234e-05-0j 1.09639e-05-0j 0.000472712-0j 3.93927e-05-0j 
-0.000117439-0j -0.00075386-0j -0.000108318-0j -9.67008e-05-0j 0.000183928-0j -0.000298827-0j 0.000313819-0j 0.00221278-0j -0.00475279-0j -0.00566959-0j 0.00129079-0j -0.00506154-0j -0.00438364-0j 0.000798636-0j 0.00503607-0j 0.00123493-0j 0.000997564-0j -0.00918497-0j -1.01174e-05-0j -0.0197934-0j 2.14269e-05-0j 0.0419191-0j -8.55251e-06-0j -0.016732-0j -7.63527e-06-0j 2.28617e-05-0j -0.0149375-0j 0.0447261-0j -5.48999e-05-0j 1.2499e-05-0j -0.107405-0j 6.30708e-05-0j -5.57783e-06-0j 0.0244528-0j 0.123391-0j -0.0109124-0j -7.04225e-06-0j 7.73337e-06-0j -0.0137773-0j -4.0225e-06-0j 0.0151294-0j -1.53881e-05-0j -0.00786955-0j -0.0301051-0j 2.28539e-05-0j 0.0447109-0j 3.86265e-05-0j 0.0755681-0j -7.72241e-06-0j 0.000195339-0j 0.0709545-0j 1.6187e-05-0j -0.000409452-0j -0.148729-0j -6.37066e-06-0j -5.68742e-06-0j 0.000161146-0j -5.69809e-06-0j 0.0585345-0j 0.000143864-0j 2.67485e-05-0j 0.0522568-0j 0.000144134-0j 1.36834e-05-0j -0.000676605-0j 0.0523548-0j -1.57199e-05-0j -3.6577e-05-0j -0.245769-0j -0.000346122-0j 1.1542e-05-0j 0.000397636-0j -0.125725-0j -3.71622e-06-0j 0.000925217-0j 1.45723e-05-0j 0.144437-0j -3.31766e-06-0j -0.000291956-0j 0.336074-0j 8.32364e-06-0j 8.92412e-06-0j 9.4002e-05-0j -0.000368607-0j -0.10605-0j -1.14965e-06-0j 0.0341451-0j 8.39205e-05-0j -1.4499e-05-0j -0.000210547-0j -0.133892-0j -2.0527e-06-0j -0.000225736-0j 0.0304831-0j 1.52264e-05-0j -0.0764787-0j 2.90804e-05-0j 0.000366752-0j -2.03082e-06-0j -0.081996-0j 0.0105631-0j 5.19231e-05-0j 0.133218-0j -0.000385152-0j 2.64438e-05-0j 5.13697e-05-0j 0.0188605-0j -0.139902-0j 2.07588e-05-0j -0.000668897-0j 0.0186594-0j -0.242969-0j -0.000525095-0j -0.190735-0j 
