-0.029318-0.0512345j 0.0742323-0.0590042j -0.165255+0.00874677j 0.107518-0.115898j 0.150409+0.0906391j 0.176252+0.478841j 0.112623-0.0932791j -0.161431+0.181489j 0.155059-0.055562j 0.275225+0.0669952j -0.0747374+0.0275794j -0.234871+0.00625423j 0.0322881+0.0106724j -0.0533791+0.00579517j -0.0720383+0.154535j -0.0559013+0.0586337j 0.0670912-0.0573147j -0.15563+0.0777645j -0.0580643-0.107848j 0.261764-0.110145j -0.191458+0.0876111j -0.0919517-0.20811j 
-0.0253719+0.00494188j 0.00806284-0.0288079j -0.051943+0.00368291j -0.0146924-0.0334868j -0.0203372+0.0231067j 0.00289783+0.0197401j -0.00767449-0.0337007j 0.00089255+0.0330894j -0.0132605+0.00906702j -0.00552766-0.00902457j -0.0272551+0.0175513j 0.0158832+0.0115487j 0.0164346-0.0147221j -0.00771053+0.00460688j -0.0356156-0.00955539j 0.0126302-0.0231747j 0.00450725+0.0319592j -0.028884-0.0147487j 0.0269828-0.0711433j -0.00377555+0.0142892j -0.00139806+0.0446312j -0.0078828-0.0136955j 
-0.00427566+0.0138339j -0.0146534+0.00272574j 0.000985624+0.0108128j 0.00508152-0.0204852j 0.00973154+0.0212106j 0.000531543-0.00601125j 0.0230745-0.000834596j -0.0184465+0.0126764j 0.0167901+0.0114667j -0.0157782+0.015398j 0.0274501-0.00631025j 0.0182876-0.00298497j -0.0270996+0.0113442j -0.00214703-0.0115464j 0.00618697+0.0451519j 0.0189872+0.0148966j -0.023625+0.00739137j 0.00634325+0.0231944j 0.00391552+0.00453976j 0.0128221+0.00483095j -0.00496801+0.00126761j -0.00278646+0.00482261j 
-0.00396244-0.005312j 0.00117584-0.0103684j -0.0161677+0.0089377j 0.0144024-0.0118488j -0.0181197+0.00761201j 0.00947995+0.00923421j -0.0168248+0.0160778j 0.0085536-0.0239833j -0.00921894-0.0291207j 0.0296428-0.013585j 0.00189865+0.0174843j -0.00617312+0.0131991j 0.0201899+0.00397373j -0.0114203-0.00928761j -0.00842419-0.0251375j -0.0229071-0.00714409j -0.00884612-0.0114907j -0.00305543-0.0353699j -0.00989855-0.0204203j 0.0212569+0.0197742j 0.00148855-0.00125422j -0.0132446-0.00222456j 
-0.00617098+0.0231066j -0.0174259-0.000228952j -0.00251484-0.00329687j 0.00681074-0.00990404j -0.025017-0.0128846j 0.0251119+0.00123897j 0.0050257+0.0077631j -0.0136605+0.00456983j -0.0012834-0.00974556j 0.0187654+0.0475911j 0.0177945+0.0130045j 0.0606643+0.0103693j -0.0190037+0.0325761j -0.011023-0.00920866j -0.0237177+0.0243257j -0.0130864-0.0254819j -0.00317768+0.0174208j 0.0238329+0.00126147j 0.00571497-0.00925779j 0.0118256-0.000261333j 0.00690872+0.00717063j 0.00138694+0.0122899j 
-0.000741506-0.00237816j -0.0021097-0.0124115j -0.012487+0.00334926j -0.00546593+0.00929807j -0.00248068-0.0230052j -0.0121072+0.0240967j -0.0342608+0.0134846j 0.00430403+0.0105046j -0.0178613+0.0247059j -0.0323154-0.0250492j -0.00543864-0.023016j -0.0229784-0.00391366j -0.0126415-0.0183592j -0.0156318+0.0184877j 0.0191045+0.021204j -0.00654462-0.0153868j -0.0174365+0.0059927j 0.00958249-0.00403624j 0.0072735-0.00970308j -0.00415256+0.0129258j 0.00136695-0.00116987j -0.0104711-0.00574507j 
0.00179491-0.000739426j 4.27703e-05-0.00533629j -0.00301355-0.0162723j -0.0120601+0.00138124j 0.000303352-0.0204011j 0.0363464+0.0227056j -0.00909645+0.00917361j -0.0143267+0.0258601j -0.00863725+0.013166j 0.0132122+0.0177236j -0.0220459-0.00747435j 0.00590815-0.00837895j -0.0103031+0.00811804j -0.0166873+0.0100947j -0.0133024+0.0224381j -0.026752-0.014897j 0.0242945-0.00993644j 0.00843142-0.0184135j 0.00423678-0.00860185j 0.00680045+0.000218775j -0.00764559+0.00296025j -0.00112545-0.0121971j 
-0.012578-0.00738638j 0.00635984+0.00663472j -0.0228273+0.0361911j 0.030163+0.0188731j -0.00992498-0.027994j 0.00206944+0.0212409j -0.0221537+0.00855419j -0.0329966+0.0121662j -0.0323857+0.00342937j 0.00542748-0.024532j -0.0283612-0.016666j 0.00461353-0.0156648j -0.00574061+0.0202934j -0.00119134+0.0376827j 0.00780802-0.00387095j -0.00295367+0.00208793j 0.00500973+0.0136621j -0.0014563-0.00195682j -0.0157553+0.00260542j 0.00962801+0.00795133j -0.00771819-0.000931282j -0.00429162-0.00350668j 
-0.0173627-0.00338768j -0.0042664+0.00494023j -0.0499708+0.00759183j 0.0128339+0.00276701j 0.0145301+0.00700907j 0.0155506-0.00788412j 0.0140545-0.0193965j -0.0384066+0.0244838j 0.00778229+0.0119671j 0.00837117-0.00672781j -0.0152263-0.0116193j 0.0197411-0.00747536j 0.0253834+0.0122917j -0.0121864+0.00156712j -0.0124533-0.0100993j 0.0177232+0.00868653j 0.000828384+0.0170625j -0.00487112+0.0128244j -0.00747861-0.0115211j 0.0183205+0.0113221j -0.0096428+0.00975348j -0.00413781-0.00466824j 
3.84301e-05-0.00104208j 0.0244493+0.0044494j 0.0408245+0.0361749j 0.015676-0.0316655j 0.0126649+0.00856855j -0.0139293+0.0309375j -0.0167239-0.00382714j -0.0239572-0.00840457j -0.0235221-0.0476035j 0.0238732-0.0126314j -0.00766105+0.0112671j -0.0152806-0.00330819j -0.0293935+0.0131785j 0.0227024+0.00304511j -0.00967239+0.0040134j 0.00657068+0.0113804j 0.028955-0.000128329j -0.00869445-0.00972075j -0.00523479+0.00957204j 0.0105923-0.00957113j -0.0105518+0.00181652j 0.00680705-0.00599202j 
0.0240464-0.00959918j 0.00539706+0.0139179j 0.0372081-0.0218919j -0.0148261+0.0278173j 0.0197625-0.0129556j -0.0148107-0.0125159j -0.00657458+0.0175985j 0.0123089-0.0170882j 0.00338788-0.0201946j -0.000341439+0.00403411j 0.00542023+0.00180348j -0.0258154+0.00932866j -0.00845115-0.00913738j 0.00990397-0.0103695j 0.00941473-0.0123327j -0.0153325+0.0185659j 0.0196533-0.0225119j 0.00621022-0.000183027j -0.00820378+0.0242521j -0.0249038-0.0252926j 0.00576341-0.0199126j 0.0151903+0.00283095j 
-0.00309862+0.0114846j -0.0147588+0.00484922j -0.0282251+0.00519677j 0.0113265+0.00943753j -0.0142813-0.010126j -0.00616845-0.024613j 0.00488958-0.00131249j -0.00500175+0.0196143j 0.00996142+0.00208011j -0.0105406+0.0108513j 0.021264+0.000561743j 0.0131484-0.00283556j 0.0110224+0.00912211j -0.0056596-0.0103835j 0.00170693+0.00730306j -0.000643434-0.00974619j -0.0246615+0.00601142j 0.00836405+0.00866687j 0.003231-0.00776875j 0.000445273+0.00624667j 0.00575745+0.00196529j -0.00297064+0.00688743j 
