-0.229691-0.0617549j -0.0899623+0.24458j -0.119975-0.0743661j -0.0101516-0.039111j -0.0330154-0.0110258j 0.117414-0.0391803j -0.0962257-0.00495358j 0.208953+0.165709j 0.093095+0.278575j 0.184607-0.216981j 0.171314+0.0477325j -0.104265+0.391561j 0.112257+0.0257681j -0.295362+0.0537322j -0.239359-0.0715698j -0.267427-0.00533173j -0.0594315-0.214731j -0.0467912+0.101902j -0.0293653-0.0395955j -0.0564172-0.177385j 0.0338092-0.0481776j -0.0687649+0.0730289j 0.0578646-0.00244047j 0.0339919-0.0165987j -0.0369945+0.0297636j -0.0385071-0.058832j 0.00219074+0.0157358j -0.0924923+0.0188003j -0.0777002+0.0619339j -0.0592548-0.00639539j 0.0171568+0.0665733j -0.0589323+0.0113652j 0.0185364+0.131667j 0.134293-0.0058328j 
0.00469462+0.00245257j -0.0083635+0.00768242j 0.0105633+0.00069651j 0.0289718-0.000207014j 0.0170708-0.0280401j -0.0101557+0.0147016j -0.0064229-0.0104426j -0.00964458+0.0270367j -0.00604134-0.0386901j -0.00891273-0.0148183j 0.0273523-0.000950601j -0.00451691-0.00435063j -0.00239701-0.0102393j 0.0174425-0.0199972j -0.00298632+0.0056855j 0.0144176+0.0296565j -0.00377148+0.0319019j 0.0192523-0.00380904j -0.01863-0.00281499j -0.0115629-0.00588009j -0.0141444+0.0154064j 0.0289249-0.0218782j 0.00450774-0.00383531j -0.0316208-0.00729954j -0.0192166-0.0336928j 0.00335388+0.000789354j 0.00283756-0.00798375j 0.00786264+0.00591153j 0.0197511+0.0227757j 0.0145137-0.00270507j 0.00602245-0.0126269j 0.00752502-0.021906j -0.0404915-0.00257627j -0.0162664+0.0144937j 
-0.0251666+0.0148562j 0.00163039+0.0262352j 0.00145394-0.00140117j -0.0240651-0.0120547j 0.0322981+0.0102524j -0.00580331+0.00226046j -0.00905829+0.00457745j -0.0279444+0.0125256j -0.000443218-0.0105237j -0.011376+0.0103584j 0.0329307+0.0127037j -0.00882481+0.000324744j -0.0135338+0.0138583j -0.0164488+0.00263838j -0.00555614-0.00471253j 0.0194772+0.0069825j -0.0149514+0.0118433j -0.0164032+0.0283329j 0.0474382-0.0248194j -0.0224955-0.0125077j 0.0084731-0.000830917j -0.00758145-0.00687283j 0.038712-0.0114535j -0.00826193+0.0176435j 0.00222082-0.00309165j 0.0298415+0.0309167j -0.0104448-0.0179397j 0.0142815-0.0188991j 0.00212222-0.00198151j 0.0120335+0.0163338j -0.0187611-0.0184467j 0.026384+0.00745172j 0.00831163+0.032105j 0.0354276-0.00336652j 
-0.00733519+0.0010643j -0.00924707+0.0167461j 0.0117719+0.0106716j 0.0090468-0.0185328j 0.00786284-0.0130744j -0.00224704-0.000915575j -0.00860871-0.00282573j 0.00654788-0.00352122j 0.00503123+0.0182631j 0.0176144+0.00780215j -0.00360955+0.00880527j 0.0161014-0.00588112j -0.022426+0.0142543j -0.00458107+0.00327726j -0.0333452+0.0112171j 0.0192869+0.00760513j 0.00423723-0.0045301j 0.0158663+0.0118422j 0.00114678-0.0142105j 0.010548-0.0323986j 0.0277684+0.0168711j 0.0388755-0.0259738j 0.0362022-0.0242511j -0.0279764+0.0118696j -0.0390345-0.0482363j 0.00263101+0.0297289j -0.0033427+0.016743j -0.000821863+0.0122433j -0.00985788+0.0226324j 0.0237102-0.0115944j -0.031064-0.0119157j -0.00252509+0.00828541j 0.00541075+0.00323363j 0.00964386+0.00811071j 
0.0014475+0.0215347j -0.0105644-0.00213383j -0.00569246+0.0138561j -0.0330845-0.0123327j 0.0182755-0.000490057j 0.0184163+0.0139305j 0.00361584-0.0117669j -0.0105872+0.0060097j 0.00482811+0.0157909j 0.0119985-0.00884508j 0.0167273+0.0214994j 0.00327815-0.00387112j 0.000768898-0.000512681j 0.00415518+0.00647883j 0.0110334-0.0080447j -0.0113444+0.00670391j 0.00508714-0.00581715j -0.0186028+0.0261667j -0.00387206+0.00746633j -0.00600087+0.0113335j 0.0194886-0.00620758j 0.00980496-0.00967736j -0.0424685+0.00390801j 0.0396142+0.0202217j 0.000171915+0.0119608j -0.0374069-0.0208134j -0.00654019-0.0110696j -0.0142752+0.0149065j 0.000899078-0.00214838j -0.000242123+0.0137397j 0.0127778-0.00231748j 0.00524294+0.00479643j -0.00592212+0.000391058j -0.00190536-0.00740706j 
-0.00623989-0.00218744j -0.00527404-0.00686391j -0.0066953-0.00100805j -0.026051+0.0205697j -0.00365263+0.0207964j 0.00140087-0.00476979j 0.0132323+0.00258839j -0.0132713+0.0160677j 0.00032642+0.00741938j 0.0178223-0.00248303j -0.000682381-0.00360553j 0.00768459+0.00289958j -0.000800804+0.00176563j -0.00498316+0.00898426j -0.0137696+0.0113797j -0.00229321+0.00452229j -0.00900909+0.00897232j 0.0187782-0.000241532j 0.0112427-0.00393561j 0.00215852+0.00880959j 0.000380709+0.0327929j -0.00158384-0.012464j 0.0290433+0.00938958j -0.043825+0.000753949j 0.0174986-0.0302847j 0.0368248+0.0132985j -0.035167+0.000489618j 0.0164071+0.00572546j 0.0153623+0.0229379j -0.00417516-0.0115379j -0.0134499+0.00426011j 0.009821-0.0238487j -0.0100699+0.00707494j 0.0171909+0.000866837j 
0.000795901-0.00259079j 0.010219-0.00327523j -0.00375307+0.00814297j -0.00999444-0.00314341j 0.00755951-0.00491828j 0.00475888+0.00502077j -0.00182468-0.00871047j 0.00508797-0.0121884j 0.00477877+0.00782722j 0.0126531-0.00768936j -0.0110667+0.00889427j -0.00802686+0.0128645j 0.0103336+0.0133328j 0.0216904-0.0122597j 0.00574262+0.0265659j -0.0214222-0.00635919j 0.0135172+0.00368557j 0.0229917-0.0435125j 0.0050589-0.0055098j 0.012002+0.00131895j -0.05341+0.0254701j -0.0205176+0.0279802j -0.00533958-0.0135653j -0.0305208-0.0390829j -0.0266388-0.00940333j -0.00948897+0.0212933j 0.00355872+0.00485096j -0.0378235-0.0356805j 0.0339679+0.0197889j 0.0150636-0.0197215j 0.0184768+0.00641813j -0.0255132-0.00253943j -0.00801237-0.00431909j -0.00548431-0.00525915j 
0.0176463-0.00196189j -0.0114196+0.0128322j 0.00299252+0.0129112j -0.00585162-0.00552704j -0.000607146-0.00487094j 0.0185318+0.00753114j 0.00153834-0.0157748j 0.0193554+0.0105409j -0.0017139-0.0241765j -0.015686+0.00758969j -0.0129322-0.0199323j -0.00828022+0.022298j -0.0049953-0.00383587j 0.00602609-0.000447598j -0.0165521-0.0134522j -0.018716+0.00492424j -0.000750295+0.0106916j 0.0024419+0.00617935j 0.0326257-0.00938895j -0.00613841-0.0287262j -0.00346285-0.00428215j -0.00389721-0.00562782j -0.0375953-0.0145742j -0.0177075+0.00486665j -0.0160397-0.00282436j 0.00574939+0.028946j -0.000278444-0.00582371j 0.0199245-0.0034104j -0.00548405-0.0056041j 0.00331412-0.00366065j -0.00134418+0.00573259j -0.0138865-0.000962537j 0.00066371+0.000771608j -0.00276718+0.00307432j 
0.006822-0.00772188j 0.0119255-0.00172151j 0.00946078-0.00908131j 0.0147278-0.0173156j 5.53948e-06-0.0202455j -0.0100194+0.00454007j -0.00129778-0.00753366j -0.0072766+0.00194144j 0.0102031+0.00424202j 0.0295667+0.0014224j -0.0138695-0.000535119j 0.00353722-0.0141801j -0.00604881+0.00568661j 0.0211934+0.0214896j -0.0084052-0.0047695j -0.016806+0.00393379j -0.0116585+0.0160643j -0.0094805+0.0204619j 0.0155391+0.00124092j 3.98021e-05+0.00968011j 0.00545918-0.00101864j 0.00209366-0.0174667j -0.0707737+0.0200203j 0.0187272+0.01592j 0.0169396-0.000295435j -0.0198212-0.00316567j -0.020237-0.00946202j 0.0109496+0.020193j 0.00822789-0.00607725j 0.00265961+0.00374579j 0.0183763-0.00857046j 0.00458932-0.0156646j -0.00529491+0.000564155j 0.00175659+0.00712036j 
-0.000385018-0.00922112j 0.0127253-0.00931428j -0.0204265-0.00996089j 0.00685631+0.0153223j -0.00112055+0.0265338j -0.00458296-0.0133396j 0.00150592+0.0113855j 0.0114188-0.0134116j -0.0103966-0.0173868j -0.0120163+0.00623674j 0.00334035+0.0160401j -0.018419+0.0246967j -0.0193018-0.0097825j 0.00905883+0.0123025j 0.00111172-0.0124925j -0.0410607-0.0239688j 0.006549-0.00342115j 0.0271533+0.0302487j 0.0182595+0.00867417j 0.00197621-0.00753307j 0.0381538+0.0194763j 0.0167031-0.0293277j -0.0458614-0.00120695j -0.00592354+0.0270716j -0.0349732-0.017228j -0.0535382+0.0269295j -0.0249708+0.0126376j -0.0141661+0.00454211j -0.00686374+0.0154855j -0.00100703-0.00169683j -0.00958761+0.0215529j 0.00864313+0.00714657j 0.00864133+0.00580837j 0.0139069-0.0150201j 
-0.00201223-0.0114596j 0.00666281-0.0156426j 0.0101462+0.000739183j 0.023988+0.00259059j -0.00582321-0.00796082j -0.0212449-0.010132j 0.00798502+0.0072463j -0.0105996-0.0248748j 0.00182554+0.00751761j -0.0107371-0.00634056j 0.00608431+0.00505377j 0.00755-0.0033935j 0.0250862+0.0115222j -0.0112039-0.00417923j -0.0186688+0.000244042j 0.00685927-0.0114759j 0.00320891-0.0251423j -0.022674-0.00206108j -0.00271505+0.0313527j 0.0130835+0.002568j 0.0110022-0.0187225j -0.00358692-0.0200722j 0.0255892-0.00386104j 0.000698575+0.00694274j 0.0214553+0.002479j 0.0188626-0.0100071j 0.0144749-0.00691214j 0.0227216+0.000732372j 0.00866798-0.00106235j 0.000888763+0.000774576j -0.00810765-0.0183624j 0.0176987+0.0101208j 0.00775259-0.0167022j -0.00398512-0.0115197j 
-0.00496065-0.0102109j 0.0101048+0.0444184j 0.0082708+0.0124382j -0.0167707-0.023779j 0.0162705+0.0118065j 0.0133529-0.00858194j -0.00524135-0.00680316j 0.00770018-0.0206356j -0.00652867+0.0114676j 0.002385+0.00849026j -0.00954089+0.00776278j -0.0131599+0.0110404j 0.00789364+0.0199522j -0.0198758-0.00227976j -0.0182163+0.00707244j 0.00335089-0.00804654j -0.02947-0.0268294j -0.00495781-0.0234647j -0.0243023+0.0100929j 0.0248207+0.00432791j -0.0098192-0.00501083j 0.00775794+0.0115284j 0.00345549-0.00687186j -0.00169854-0.0176789j 0.00500059-0.0154968j 0.00833667-0.0169185j 0.0270253+0.0125068j -0.0282521+0.0048923j 0.00883982+0.00233075j 0.0270984-0.00983307j 0.0139651-0.0226776j 0.00969965-0.00652869j 0.00225675+0.0217602j 0.0201115+0.00107505j 
-0.00543262-0.0190141j -0.00110449-0.0181763j 0.0106747-0.00158233j 0.0241251-0.00248556j -0.00630999-0.0208199j -0.00773811+0.0129347j -0.00317016-0.0176479j 0.00376884+0.00406555j -0.0175896-0.0175858j -0.018867-0.011054j -0.0191699-0.00907985j 0.0100691+0.00347998j 0.0237202-0.00758405j 0.0132249-0.00809161j -0.0172404+0.00855018j 0.0179991+0.0173943j 0.0136674+0.011304j -0.0162774+0.0144583j -0.0172755-0.00974598j -0.0254467+0.00689071j 0.000543115-0.0095612j 0.0186155-0.00490999j 0.0271876+0.00554033j 0.00905023+0.0106806j 0.00797113-0.00271862j 0.0248375-0.0214488j 0.000832409-0.0206995j 0.00788141+0.00087347j -0.0208396+0.0112215j -0.00669259-0.00685404j -0.012558-0.00852903j -0.0213651-0.0237281j -0.00893932-0.041474j -0.0346403+0.00822929j 
0.0528738-0.00255486j -0.0317513-0.0238934j -0.00198177+0.00487587j 0.0172211+0.00943786j -0.0501403+0.001285j 0.004542+0.00544359j 0.0207608-0.00804881j 0.0307215-0.0116873j 0.0202181-0.00297914j 0.0161404-0.0123648j -0.035616-0.00504657j 0.0205262-0.0214396j 0.00589322-0.022494j 0.00842606+0.00441877j -0.00541291+0.00610907j -0.0159889+0.00682936j 0.0314451-0.0264038j 0.0181376-0.0164803j -0.00644858+0.0174734j -0.0112092-0.0247014j -0.00850183+0.00738804j -0.000886047-0.00279068j -0.0361376+0.0346083j -0.0215267+0.0172636j 0.000928991-0.00315068j 0.012818-0.0135951j 0.00616664-0.0120517j 0.0298321-0.00891907j -0.0215269+4.37381e-05j -0.0196953-0.0167029j -0.00592049+0.017991j 0.000997974+0.0128591j -0.00332452-0.036365j -0.0332138-0.0042309j 
