0.258468+0.0133091j -0.0482756+0.250242j -0.0105747-0.100392j -0.138387+0.20052j -0.25442-0.120524j 0.0430427-0.0313619j 0.29696-0.0550078j 0.0392999+0.399207j 0.186459+0.0719938j -0.120308+0.162375j 0.308143-0.0282234j -0.0229621-0.0463899j 0.189441+0.279907j -0.215669+0.202206j 0.069097+0.141407j -0.0271945+0.115192j -0.0384104-0.164947j 0.0737714+0.00423356j 0.0559773+0.0271209j -0.0173417+0.0162758j -0.115353+0.0478131j -0.0206853+0.00696412j -0.0376904+0.0230334j 0.0323804+0.0105579j 0.0362793-0.0928406j -0.0960439-0.0459013j 
-0.0261929-0.0159627j 0.0183016-0.0120749j 0.014955+0.000164962j -0.00350372-0.0111301j 0.0044117+0.000979786j 0.00675185+0.0153595j -0.0176685-0.00455891j -0.0346686+0.0140637j 0.0122096+0.0274567j 0.0266492-0.00560151j -0.0445383-0.00402618j -0.0109188+0.0322696j -0.0117986-0.00345868j -0.00736427+0.00190016j 0.0140054+0.01157j 0.0256976-0.0230724j -0.0190191-0.00527101j 0.0147198-0.0111698j 0.0214458+0.0141033j 0.0365655+0.00181635j 0.0446007-0.00397539j 0.000186669+0.00438293j -0.0412129-0.00163519j 0.0030615-0.000763919j -0.00185923-0.00227699j 0.0222712+0.0229304j 
0.0285248-0.0177427j 0.0146518+0.0162133j -0.0137333+0.0116694j 0.00516102+0.016081j 0.0154063-0.0100286j 0.00135532+0.000648075j 0.0147561+0.0135548j -0.00739641-0.00388412j -0.00942856-0.00580583j -0.00557023-0.00229413j -0.00519897-0.0188043j -0.00638639+0.00615062j 0.00500613+0.0166994j -0.00600213-0.0156638j -0.00735874-0.0263646j 0.00288852+0.00966372j 0.0216321-0.00982832j 0.000371812-0.0035917j -0.00894016+4.61499e-05j 0.0148038-0.00874243j 0.0171208-0.0105177j -0.00415383+0.0168983j -0.0231183+0.0436748j 0.0303596+0.0311603j 0.0120598-0.0195944j -0.0290106-0.0023673j 
0.00675133-0.0109989j 0.0222524+0.00250591j 0.0111396-0.0177665j -0.00897466-0.0157206j -0.00231719-0.0159168j 0.00406455+0.00690136j -0.0134402+0.0104934j -9.89801e-05-0.02517j 0.0156933-0.00202631j 0.0089462+0.0438733j 0.0166162+0.0242167j 0.00235357-0.0144j 0.0132539+0.00191277j -0.0190589-0.0141396j 0.00767692+0.0109742j 0.00206575+0.0340333j -0.00550189-0.00105142j 0.0243136-0.0142474j 0.0023781+0.00574572j 0.00678291-0.0154308j 0.0281263-0.0152261j -0.025147+0.0335454j -0.0309736+0.0385079j 0.0109303-0.00578317j -0.0146362-0.00414059j -0.00568997+0.00304577j 
0.0122413-0.00125651j -0.00188335+0.00436891j 0.00816737+0.0140172j -0.0101849+0.0109575j 0.00107172+0.0190308j -0.0132142-0.0169185j 0.0136321-0.0130299j -0.00494037-0.00115061j -0.0156838-0.0207204j -0.0458727+0.00702074j 0.0246545-0.000548191j 0.00564538-0.00290575j 0.00505335-0.0170117j -0.021647-0.0126124j 0.0149768-0.00655798j -0.0052943-0.0227873j -0.00745089-0.00958461j -0.0120563-0.00906022j 0.0067643+0.0155071j -0.00747536-0.0184716j 0.0179326+0.00112224j 0.00851787-0.0018299j -0.0192522-0.0184231j 0.00666853-0.0124636j 0.0139395+0.00196051j -0.00985649-0.00170283j 
-0.000711171-0.00907531j -0.0115088+0.00373684j -0.00903013+0.0055178j -0.0140158-0.00164433j 0.0232426+0.00247083j 0.0428605-0.0210424j 0.0257715-0.0241654j -0.0207467-0.0030049j 0.0186416-0.0248599j -0.0109337+0.00710559j -0.0125612-0.0146563j -0.00491945-0.00213088j -0.0124636-0.00805422j 0.0150658-0.00457792j -0.00887812+0.0135227j -0.0086143+0.0285463j 0.0012993+0.0193245j 0.018214+0.0186477j 0.00775502-0.00522018j 0.026406+0.00475462j -0.0137007-0.0113808j -0.0165788+0.00924717j 0.0128592-0.00248576j 0.0122841+0.0072485j 0.0016136-0.000490813j 0.00418453+0.00971005j 
0.00694438-0.00355957j 0.00335786-0.00680304j -0.00274763-0.00198158j -0.00653869-0.00076549j 0.016633-0.0255791j 0.0144219-0.0194747j 0.00579801+0.000272164j -0.000395253-0.0140695j 0.00493173-0.00438239j 0.0207457+0.02071j 0.00108242-0.0049771j 0.000420849-0.00835823j 0.00310372-0.00530459j -0.0124432-0.00556946j 0.00198163-0.00161944j 0.00635536-0.00712307j 0.00483308-0.00130622j 0.000904142-0.00978605j 0.00336951+0.00281923j -0.00409684-0.00430163j 0.000900837+0.00202086j 0.0125785-0.00220185j -0.00229985+0.000880023j -0.000334195+0.000184933j -0.000287123+0.00286676j -0.00334861+0.00144541j 
-0.0014163-0.00574666j -0.00484593+0.00705246j 0.0164946-0.0146668j 0.00983162+0.0261986j 0.0276157+0.012476j 0.00058886+0.0112097j -0.00079571+0.00912023j 0.00194012+0.0297399j -0.012262-0.0201054j -0.0241462-0.0100883j -0.00895661-0.0115914j 0.0109688+0.00677168j -0.0108502+0.00151094j -0.0154822+0.0123598j -0.0231706-0.00235807j 0.0105246+0.0141556j -0.0032823+0.0155241j 0.0205355-0.0162451j 0.000774214-0.0117314j 0.0039512-0.00820469j -0.0156916-0.00438877j -0.00412434+0.0173623j 0.00168528+0.0287751j -0.0223901-0.00523193j -0.00314819-0.00121261j 0.00895669-0.000903482j 
0.0122993-0.0108287j -0.00189674-0.0170217j -0.0063271-0.000977124j 0.0208327-0.0207299j -0.0200151-0.0105975j -0.0214178-0.00296161j 0.0275639+0.000194978j 0.00142569-0.0353119j -0.0132445-0.00297524j -0.0241501-0.0166522j -0.013957+0.00843845j -0.0054744-0.00274691j 0.00236975-0.0125543j -0.0140116+0.00850106j -0.0223515+0.00711718j 0.0041194+0.00800335j -0.026865+0.0104768j 0.0235339-0.0158036j 0.00114272+0.00784535j 0.0169588-0.0211253j 0.00324052-0.00840921j -0.00226013+0.00830736j 0.0148657+0.0052504j -0.00856838-0.000439704j 0.00440463+0.00363001j 0.000842231-0.000221201j 
0.00623151+0.0165124j 0.00133055+0.00394696j -0.0116736+0.00942076j 0.000641892-0.00515475j -0.0116683+0.0321007j -0.014624+0.0326952j -0.00125741+0.00608069j 0.00882938+0.0142797j -0.0125671+0.016761j -0.0102878-0.00409094j 0.0152486-0.00905328j -0.00659209+0.00695761j 0.00820586+0.0155235j 0.0160767-0.0160007j 0.00911663+0.000732989j 0.00941281+0.0471867j 0.0154844+0.00479476j 0.0117351+0.0297136j -0.0178452+0.00446548j 0.00377436-0.0168586j -0.0184608-0.00725336j 0.0168831+0.0400576j 0.0250004-0.00329522j 0.0233048-0.00989097j 0.00704889-0.0048666j -0.0102971-0.00810415j 
0.00718057+0.0100213j 0.0132499-0.0262829j -0.00664122-0.0102501j 0.00136745-0.012032j 0.00638047-0.00904885j -0.017271+0.00317493j 0.00628129+0.0113695j 0.00512191+0.00673931j -0.0214507+0.00242926j 0.00790706+0.0052452j 0.00356469-0.0122068j -0.0024376-4.86518e-07j 0.00276258-0.00998716j -0.0136165+0.00122056j 0.00680562+0.0159953j -0.00903174-0.0106082j -0.0127391+0.0170393j 0.00756337+0.000729183j 0.0148697-0.00360336j 0.00384237+0.0148611j -0.00552472-0.00227045j -0.01489-0.0245475j -0.00206897-0.0128135j -0.0104183-0.0108156j -0.0116617+0.0106814j 0.00847625+0.0105919j 
0.00222259+0.00508491j 0.0266764+0.0264309j -0.0192111-0.0380385j 0.00746001+0.00627596j 0.00658755-0.0036983j 0.0117569+0.0145597j 0.0144286+0.0265636j -0.0186909+0.0122495j 0.00819704-0.0141321j -0.00156273+0.00834652j 0.0167981+0.00147145j -0.0109632-0.0160382j -1.55497e-05+0.00534174j 0.0140425+0.0135321j -0.00283704+0.0379584j -0.00465985+0.00460383j -0.0130841-0.0155577j 0.00644075-0.0385465j 0.00196251+0.0178029j -0.00910991-0.013179j 0.0263376-0.0147259j -0.0107887-0.0127411j 0.00232075+0.0200395j 0.0254499+0.0183957j -0.00148224-0.0109559j -0.0163286+0.00114705j 
-0.0379447-0.00278044j -0.00922918-0.0114561j 0.0188529-0.0243099j -0.00821563-0.0205629j -0.00691598+0.00133513j 0.0124787-0.00788755j -0.0072829-0.0025896j 0.00363186-0.00826307j 0.00184767-0.0172077j 0.00837985-0.00625757j -0.00180104+0.00494993j 0.0231425-0.00606556j 0.00575548-0.018224j -0.0103121+0.0098363j 0.00910262+0.0387948j -0.00351692+0.0118826j 0.0169631+0.00360374j -0.0198266+0.0169191j 0.00577115-0.00377971j -0.0179925+0.0182111j 0.0437963+0.00231129j 0.0076534+0.00474041j 0.00335279-0.00462037j -0.0227793+0.00348084j -0.0155428+0.0224806j 0.0162274+0.0203446j 
-0.0285131+0.0155403j -0.033049-0.00733331j 0.0414577-0.00316739j -0.0034179-0.000708913j -0.00465094+0.0124626j -0.00451653-0.0127791j -0.0294006-0.00957792j 0.032922-0.0144822j 0.00877087+0.00256338j 0.0108376-0.0144451j 0.0067803-0.00679856j 0.0300695-0.0122946j 0.0108579-0.0184719j -0.0166491+0.00742597j -0.015109-0.00682946j -0.00510597+0.00497787j 0.00643577-0.0251989j -0.0254464+0.0302902j -0.0325314+0.00912494j -0.0156276+0.0289184j -0.0109415-0.00205943j 0.010169+0.0203372j 0.019598-0.032879j -0.0367312-0.0212171j -0.00370997+0.0287017j 0.0237106+0.0054439j 
