-0.00651604-0j -0.000940509-0j -0.00535859-0j -0.000947275-0j -7.89395e-05-0j -0.00327116-0j -0.00330506-0j -0.000545194-0j -0.000333862-0j -0.000550844-0j -6.81492e-05-0j -0.000337321-0j -6.88554e-05-0j -4.01573e-06-0j -4.05735e-06-0j 0.578209-0j 0.715498-0j 0.417374-0j -0.000384301-0j -0.00031378-0j -0.000475548-0j -4.52903e-05-0j -0.000277403-0j -3.92226e-05-0j -0.000388283-0j -5.60439e-05-0j -0.000226499-0j -4.62242e-06-0j -4.85354e-05-0j -3.26923e-05-0j -2.10984e-07-0j -2.83123e-05-0j -5.71996e-06-0j -3.33664e-06-0j -2.61079e-07-0j -1.52296e-07-0j -0.00187678-0j -0.00218957-0j -0.00134083-0j 0.0720495-0j -0.00191588-0j -0.000790259-0j -0.000234597-0j 0.0840577-0j -0.000156398-0j -3.38612e-05-0j 0.0514746-0j 0.0735505-0j -3.90995e-05-0j -0.000273697-0j 0.030338-0j -0.000182464-0j -1.38238e-05-0j -0.000167604-0j -3.25829e-06-0j -3.95047e-05-0j -0.000111736-0j -3.45594e-06-0j -2.41916e-05-0j -0.000239485-0j -0.000159656-0j -4.56161e-05-0j -3.45666e-05-0j -9.87824e-05-0j -2.87995e-07-0j -2.79341e-05-0j -1.61277e-05-0j -6.58549e-05-0j -3.80134e-06-0j -1.4258e-05-0j -1.07329e-08-0j -9.87618e-06-0j -3.99141e-05-0j -4.03193e-06-0j -2.32784e-06-0j -1.41118e-05-0j -2.46904e-06-0j -1.64637e-05-0j -3.35994e-07-0j -3.32618e-06-0j -3.52794e-06-0j -2.05754e-07-0j -5.82081e-06-0j -1.37198e-06-0j -1.25218e-08-0j -2.93995e-07-0j -7.66799e-09-0j -1.4552e-06-0j -1.09566e-08-0j -1.21267e-07-0j -4.51935e-09-0j 
0.000108092-0j 0.0693569-0j 1.54013e-06-0j -2.59468e-05-0j 0.000309087-0j -0.0104962-0j 0.0102375-0j -0.000861916-0j 5.53832e-06-0j 0.000840672-0j 0.00502559-0j -5.40182e-06-0j -0.00490172-0j 0.0018278-0j -0.00178275-0j 3.95047e-05-0j 8.46967e-07-0j -5.55498e-05-0j 0.117518-0j 5.2052e-06-0j 0.00251955-0j 0.00333989-0j -0.165249-0j -6.20083e-05-0j 1.11598e-07-0j 7.1606e-05-0j -7.31933e-06-0j 0.00104463-0j -1.32944e-06-0j -0.00469641-0j 0.000160612-0j 8.71934e-05-0j 2.23964e-05-0j -0.00146891-0j 3.44347e-06-0j -0.000225846-0j 3.11333e-05-0j 6.29312e-07-0j 2.22427e-05-0j -0.000469134-0j -3.06806e-05-0j -3.84195e-05-0j -0.000752755-0j -9.48283e-06-0j 2.59444e-06-0j -0.483001-0j -0.000335165-0j 0.000462313-0j -6.18138e-05-0j -1.52158e-05-0j 0.000578928-0j 5.24426e-08-0j 2.29318e-07-0j -0.000537794-0j 0.000736346-0j -0.00976313-0j 1.85356e-06-0j 0.000254855-0j -0.345073-0j 0.00074181-0j -2.55671e-06-0j -1.24947e-06-0j 0.475978-0j 0.000928926-0j 0.000131084-0j -4.41619e-05-0j 4.63532e-09-0j -3.20163e-06-0j 1.48841e-05-0j 0.59604-0j 1.22814e-05-0j 1.63833e-07-0j 6.0915e-05-0j 5.15151e-06-0j 0.000526071-0j -2.25984e-07-0j 0.000182077-0j 7.62804e-05-0j 2.64967e-06-0j -0.000725639-0j -0.000251149-0j 9.36511e-05-0j -2.82987e-07-0j -0.000908677-0j 2.48249e-07-0j -0.000129178-0j 8.77423e-06-0j -0.0003145-0j -1.21028e-05-0j -0.000161763-0j -1.51556e-05-0j 
-0.0119329-0j -0.00171691-0j -0.000256734-0j 0.00141718-0j -3.7582e-06-0j 6.2659e-05-0j -6.11146e-05-0j 0.0710855-0j -0.0012292-0j -0.0693334-0j 0.0118939-0j 0.00119891-0j -0.0116008-0j -1.47384e-05-0j 1.43751e-05-0j 4.56161e-05-0j 9.77993e-07-0j -6.41434e-05-0j -0.000347091-0j 0.0829556-0j -7.44152e-06-0j 0.0119357-0j 0.000488065-0j 0.00680902-0j 0.00177854-0j 0.000255896-0j -0.116649-0j 0.00121434-0j 0.000145983-0j -0.0167834-0j -9.68943e-07-0j -0.00957455-0j 2.60351e-05-0j -0.00170756-0j -2.07738e-08-0j 1.36249e-06-0j 3.59496e-05-0j 7.26667e-07-0j 2.56836e-05-0j -0.000268013-0j -3.54269e-05-0j -4.43631e-05-0j -0.00042962-0j -5.41747e-06-0j -0.000867964-0j -6.18138e-05-0j -0.000191477-0j 0.000264116-0j -0.487397-0j -8.68413e-06-0j 0.000330737-0j -1.75446e-05-0j -7.64765e-05-0j -0.000306936-0j 0.00129253-0j -1.24947e-06-0j -0.000620104-0j 0.00121262-0j -4.41619e-05-0j 0.000423374-0j 0.000855344-0j -0.00985199-0j 6.0915e-05-0j 0.000530167-0j 0.000101054-0j -0.348213-0j -1.54586e-06-0j 0.0010711-0j 2.61264e-05-0j 7.62804e-05-0j -5.91904e-08-0j -5.46374e-05-0j 0.48031-0j 2.45114e-05-0j 0.000923425-0j 7.53645e-05-0j 0.000866341-0j 0.601465-0j 2.04265e-06-0j -0.00127373-0j -0.00119499-0j 7.21963e-05-0j 9.43746e-05-0j -0.00159502-0j -1.19644e-09-0j -9.95844e-05-0j -4.22877e-08-0j -0.00149642-0j 5.83297e-08-0j -0.000124704-0j 7.3043e-08-0j 
-0.012745-0j 6.36941e-06-0j 6.28755e-07-0j -3.21016e-05-0j 9.26244e-09-0j 2.21533e-05-0j -2.16073e-05-0j 3.69222e-06-0j 0.125298-0j -3.60121e-06-0j -0.000133296-0j -0.122209-0j 0.000130011-0j 2.71957e-08-0j -2.65254e-08-0j 1.61277e-05-0j 3.45773e-07-0j -2.26781e-05-0j 2.6026e-06-0j -0.000613737-0j 5.57988e-08-0j 3.0672e-07-0j -3.65967e-06-0j 0.0147201-0j -1.31583e-05-0j 6.57596e-09-0j 0.00086301-0j -9.0412e-06-0j 0.000315595-0j -4.31296e-07-0j 1.42885e-09-0j -0.0206988-0j -1.9384e-07-0j 1.27133e-05-0j 3.06339e-11-0j -2.00918e-09-0j 1.27101e-05-0j 2.56915e-07-0j 9.08053e-06-0j 2.00964e-06-0j -1.25253e-05-0j -1.56847e-05-0j -0.000458859-0j 4.06219e-08-0j 1.05917e-06-0j 2.29318e-07-0j 1.43576e-06-0j -1.98042e-06-0j -7.64765e-05-0j -9.27514e-06-0j -2.47997e-06-0j 2.14096e-08-0j -0.490778-0j -0.000327825-0j 2.20661e-08-0j 4.63532e-09-0j 7.56711e-07-0j 0.00129701-0j 1.63833e-07-0j 0.000452187-0j -1.04377e-06-0j -1.54586e-06-0j -2.25984e-07-0j 0.000566248-0j -5.63302e-07-0j -5.46374e-05-0j -0.00992034-0j -1.30706e-06-0j 4.46034e-10-0j -2.82987e-07-0j 7.26867e-11-0j -0.350629-0j 7.53645e-05-0j 2.62171e-05-0j 1.57648e-08-0j 0.483642-0j 0.000926628-0j 9.43746e-05-0j -1.13863e-08-0j -2.17453e-08-0j -0.00127815-0j -4.02443e-07-0j 0.605638-0j -2.72304e-08-0j 1.46925e-12-0j 5.55112e-07-0j 5.19299e-11-0j -0.00160055-0j -7.16299e-11-0j 6.95135e-07-0j -8.9698e-11-0j 
-1.04012e-05-0j -0.0204523-0j 2.13945e-05-0j 3.7582e-06-0j 0.0013722-0j -5.22158e-06-0j 5.09288e-06-0j -0.0180226-0j -5.32925e-07-0j 0.0175784-0j -0.00148197-0j 5.1979e-07-0j 0.00144545-0j 0.0166435-0j -0.0162333-0j -3.80134e-06-0j -8.14994e-08-0j 5.34528e-06-0j 8.79997e-05-0j 7.23075e-05-0j 1.88668e-06-0j 0.142181-0j -0.000123741-0j 8.98144e-06-0j 1.55025e-06-0j 0.00304832-0j -0.000101676-0j 0.00463766-0j 1.92559e-07-0j -0.199929-0j 0.00220928-0j -1.26293e-05-0j 9.94297e-05-0j -0.00652127-0j 4.73661e-05-0j -0.00310659-0j -2.9958e-06-0j -6.05555e-08-0j -2.1403e-06-0j 6.79505e-05-0j 2.95224e-06-0j 3.69692e-06-0j -3.74475e-07-0j 1.37352e-06-0j 7.23304e-05-0j -0.000736346-0j 4.85462e-05-0j -6.69625e-05-0j -0.00129253-0j -7.56944e-09-0j -8.38533e-05-0j 1.46205e-06-0j -2.20661e-08-0j -2.67538e-07-0j -0.471929-0j -1.48841e-05-0j 5.16753e-05-0j -7.5153e-05-0j -0.000526071-0j 3.6903e-07-0j -7.12787e-05-0j -2.61264e-05-0j 0.000725639-0j 4.62115e-07-0j 0.00119362-0j -0.000923425-0j -4.46034e-10-0j -8.92582e-05-0j -0.00953933-0j 0.000908677-0j 0.000225958-0j -1.57648e-08-0j 0.00127373-0j -1.5191e-06-0j -0.337163-0j 2.17453e-08-0j -5.36919e-05-0j 0.00159502-0j 2.41272e-05-0j 0.465067-0j 7.40603e-05-0j 0.000852762-0j 2.72304e-08-0j 0.582377-0j 4.5674e-06-0j -0.00117626-0j 0.000161432-0j 9.27415e-05-0j -0.000222673-0j -0.00147297-0j -0.00027884-0j 
0.00212049-0j -0.0070787-0j -1.57189e-07-0j -0.000509009-0j -3.15461e-05-0j -5.53832e-06-0j 5.40182e-06-0j 8.79689e-05-0j -0.0103326-0j -8.58007e-05-0j 0.0985889-0j 0.010078-0j -0.0961589-0j -0.00018655-0j 0.000181951-0j -4.03193e-06-0j -8.64432e-08-0j 5.66953e-06-0j 6.20083e-05-0j 0.000102112-0j 1.32944e-06-0j -0.000340876-0j -8.71934e-05-0j 0.115686-0j 2.18925e-06-0j -7.30825e-06-0j -0.000143586-0j 0.0204928-0j 0.00248028-0j 0.000479325-0j -1.63924e-05-0j -0.162673-0j 0.000439359-0j -0.0288162-0j -3.51447e-07-0j 2.30503e-05-0j -3.17752e-06-0j -6.42289e-08-0j -2.27013e-06-0j 4.78808e-05-0j 3.13132e-06-0j 3.92118e-06-0j 7.63441e-05-0j 9.67838e-07-0j -2.64794e-07-0j -0.000254855-0j 3.42077e-05-0j -4.71846e-05-0j -0.00121262-0j 1.54318e-06-0j -5.90866e-05-0j -5.3524e-09-0j -0.00129701-0j 5.45428e-05-0j -7.5153e-05-0j -5.15151e-06-0j -1.89178e-07-0j -0.475473-0j -0.000182077-0j -7.5234e-05-0j 2.60944e-07-0j -2.45114e-05-0j 0.000251149-0j -9.42113e-05-0j 0.00257153-0j -0.000866341-0j -2.62171e-05-0j 3.26765e-07-0j -1.5191e-06-0j 0.0003145-0j -1.25346e-06-0j -0.000926628-0j 0.00119499-0j -0.00961096-0j -5.36919e-05-0j 0.00127815-0j -0.339694-0j 0.00149642-0j 5.19795e-05-0j 7.40603e-05-0j 0.468559-0j 0.00183719-0j 0.00160055-0j 9.27415e-05-0j -2.53368e-08-0j -0.00253414-0j -8.95516e-07-0j 0.58675-0j 1.23524e-06-0j -0.00317336-0j 1.54682e-06-0j 
-8.7894e-05-0j 0.00364092-0j 1.30991e-08-0j 4.24181e-05-0j -0.000501031-0j 4.61527e-07-0j -4.50151e-07-0j -1.47384e-05-0j -9.05394e-06-0j 1.43751e-05-0j -0.0252226-0j 8.83078e-06-0j 0.0246009-0j 0.0671179-0j -0.0654636-0j 3.35994e-07-0j 7.2036e-09-0j -4.72461e-07-0j -1.03889e-05-0j -4.23255e-06-0j -2.22735e-07-0j 0.000175329-0j 1.46085e-05-0j 0.000203804-0j -9.07443e-08-0j 3.75899e-06-0j 5.95163e-06-0j 0.161892-0j 4.36948e-06-0j -0.00024654-0j 0.0184127-0j -0.00028658-0j 0.00347091-0j -0.227646-0j 0.000394762-0j -0.0258912-0j 2.64794e-07-0j 5.3524e-09-0j 1.89178e-07-0j -8.022e-06-0j -2.60944e-07-0j -3.26765e-07-0j -3.16445e-06-0j -1.62153e-07-0j 2.20661e-08-0j 0.000131084-0j -5.73119e-06-0j 7.90536e-06-0j 0.000101054-0j -6.39646e-08-0j 9.89943e-06-0j 4.46034e-10-0j -5.63302e-07-0j -2.26079e-06-0j -0.00119362-0j 2.64967e-06-0j 1.57648e-08-0j -0.00257153-0j 9.36511e-05-0j 3.11844e-06-0j -2.17453e-08-0j 2.04265e-06-0j -0.000129178-0j 3.90505e-06-0j -0.460193-0j 7.21963e-05-0j -1.13863e-08-0j -2.72304e-08-0j -2.41272e-05-0j -0.000161763-0j 0.00284996-0j -4.02443e-07-0j -9.95844e-05-0j -5.19795e-05-0j -0.000852762-0j 5.55112e-07-0j -0.00183719-0j -0.000124704-0j -0.0093021-0j 0.00117626-0j 0.00253414-0j -0.328778-0j 6.95135e-07-0j 0.00147297-0j 5.76077e-05-0j 0.453501-0j 0.00203611-0j 0.00317336-0j -0.00280853-0j 0.567894-0j -0.00351696-0j 
-3.4262e-08-0j -0.00034112-0j -4.88173e-10-0j 2.48456e-08-0j 9.48476e-05-0j -1.72001e-08-0j 1.67761e-08-0j 8.25336e-07-0j -1.75548e-09-0j -8.04993e-07-0j -2.47176e-05-0j 1.71221e-09-0j 2.41083e-05-0j -0.0397392-0j 0.0387597-0j -1.25218e-08-0j -2.68462e-10-0j 1.76076e-08-0j 5.8177e-07-0j -1.64989e-09-0j 1.24729e-08-0j -1.64267e-05-0j -8.1806e-07-0j 5.93766e-08-0j -3.5373e-11-0j -3.52182e-07-0j 2.32e-09-0j 0.000320558-0j 1.27301e-09-0j 2.30985e-05-0j 0.19616-0j -8.34929e-08-0j 6.87266e-06-0j -0.000450755-0j 0.0042056-0j -0.275832-0j -9.86828e-09-0j -1.99472e-10-0j -7.05024e-09-0j 4.49224e-07-0j 9.72479e-09-0j 1.21778e-08-0j -1.23353e-09-0j 9.08037e-09-0j -8.22357e-10-0j -1.22814e-05-0j 3.20941e-07-0j -4.42692e-07-0j 5.91904e-08-0j -2.4934e-11-0j -5.54358e-07-0j -1.66227e-11-0j -7.26867e-11-0j -8.8128e-10-0j 0.000225958-0j -2.48249e-07-0j -5.8752e-10-0j -1.25346e-06-0j -8.77423e-06-0j 1.2156e-09-0j 8.10399e-10-0j 1.19644e-09-0j 1.21028e-05-0j 1.52223e-09-0j -0.00284996-0j 4.22877e-08-0j -1.46925e-12-0j 1.01482e-09-0j 4.5674e-06-0j 1.51556e-05-0j -0.444942-0j -5.19299e-11-0j -5.83297e-08-0j -2.53368e-08-0j 0.000161432-0j 7.16299e-11-0j -8.95516e-07-0j -7.3043e-08-0j -5.76077e-05-0j -0.000222673-0j 1.23524e-06-0j -0.00203611-0j 8.9698e-11-0j -0.00027884-0j -0.00899384-0j 0.00280853-0j -0.317882-0j 1.54682e-06-0j 0.438473-0j 0.00351696-0j 0.549074-0j 
0.00390979-0j 0.000564329-0j 0.00321529-0j 0.000568389-0j 4.73657e-05-0j -0.0019069-0j 0.00198312-0j -0.000317817-0j -0.000194623-0j 0.00033052-0j -3.97272e-05-0j 0.000202401-0j 4.1315e-05-0j -2.34095e-06-0j 2.43451e-06-0j 0.00142892-0j -0.00171786-0j 0.00103145-0j 0.00023059-0j 0.000188276-0j -0.000277218-0j 2.71753e-05-0j 0.000166449-0j 2.35345e-05-0j -0.000226348-0j -3.26705e-05-0j 0.000135905-0j 2.77357e-06-0j -2.82934e-05-0j 1.96162e-05-0j 1.26596e-07-0j 1.69881e-05-0j -3.33441e-06-0j 2.00207e-06-0j -1.52195e-07-0j 9.13815e-08-0j 0.00112611-0j 0.0013138-0j -0.0023678-0j 0.000178054-0j -0.00111685-0j 0.000474175-0j 0.000140764-0j 0.00020773-0j 9.38428e-05-0j 2.03176e-05-0j -0.000374382-0j -0.000176589-0j 2.34607e-05-0j 0.000164225-0j 7.49737e-05-0j 0.000109483-0j 8.29461e-06-0j -0.000295975-0j 1.95506e-06-0j 2.37038e-05-0j -0.000197316-0j 2.07365e-06-0j -4.27203e-05-0j -0.000139606-0j -9.30708e-05-0j 2.73708e-05-0j -2.01504e-05-0j 5.92719e-05-0j 1.72804e-07-0j -4.93291e-05-0j 9.67705e-06-0j 3.95146e-05-0j 2.2809e-06-0j 8.55517e-06-0j 6.44004e-09-0j -1.74405e-05-0j -2.32677e-05-0j 2.41926e-06-0j -4.11076e-06-0j -8.22637e-06-0j -4.36012e-06-0j 9.87865e-06-0j 2.01605e-07-0j -1.93897e-06-0j -2.05659e-06-0j -3.63343e-07-0j 3.49263e-06-0j 8.23221e-07-0j 7.51338e-09-0j -1.71383e-07-0j -1.3541e-08-0j 8.73158e-07-0j -6.38706e-09-0j 7.27632e-08-0j 2.71172e-09-0j 
-0.0039503-0j -0.000570177-0j 0.00313604-0j 0.000554379-0j 4.61983e-05-0j -0.00198312-0j 0.00200247-0j -0.00033052-0j -0.000202401-0j 0.000333745-0j -4.1315e-05-0j 0.000204376-0j 4.17181e-05-0j -2.43451e-06-0j 2.45826e-06-0j -0.00144372-0j 0.00172461-0j -0.000935677-0j -0.00023298-0j -0.000190227-0j 0.000278308-0j -2.7457e-05-0j -0.000150994-0j -2.37784e-05-0j 0.000227238-0j 3.27989e-05-0j -0.000123286-0j -2.80231e-06-0j 2.84047e-05-0j -1.77948e-05-0j -1.27908e-07-0j -1.54108e-05-0j 3.34752e-06-0j -1.81618e-06-0j 1.52793e-07-0j -8.28968e-08-0j -0.00113778-0j 0.00128142-0j -0.000812872-0j -0.000179899-0j 0.00116079-0j -0.00226436-0j -0.000142223-0j 0.00020261-0j -9.48153e-05-0j -2.05281e-05-0j -0.000128526-0j 0.000183537-0j -2.37038e-05-0j 0.000160177-0j -0.000358027-0j 0.000106785-0j -8.38057e-06-0j -0.000101609-0j -1.97532e-06-0j 2.31196e-05-0j -6.77393e-05-0j -2.09514e-06-0j -1.4666e-05-0j 0.000145099-0j 9.67325e-05-0j 2.66962e-05-0j 2.09432e-05-0j -0.000283045-0j -1.74595e-07-0j -1.69348e-05-0j 9.43853e-06-0j -0.000188697-0j 2.22468e-06-0j -4.08541e-05-0j -6.50678e-09-0j -5.98737e-06-0j 2.41831e-05-0j 2.35963e-06-0j -1.41124e-06-0j 8.55003e-06-0j -1.49684e-06-0j -4.71742e-05-0j 1.96636e-07-0j 2.01526e-06-0j 2.13751e-06-0j -1.24737e-07-0j -1.66786e-05-0j -3.93118e-06-0j 7.32819e-09-0j 1.78126e-07-0j -4.64867e-09-0j -4.16965e-06-0j 6.63835e-09-0j -3.47471e-07-0j -1.29495e-08-0j 
-0.000609545-0j 0.0083847-0j -0.000501272-0j 0.0041782-0j 0.00105932-0j 0.000297291-0j -0.000309173-0j -0.00233626-0j 3.03421e-05-0j 0.00242964-0j -0.000590259-0j -3.15549e-05-0j 0.000613851-0j -6.99277e-05-0j 7.27226e-05-0j -0.000222771-0j 0.000267818-0j -0.000160805-0j 0.00169506-0j -2.93527e-05-0j -0.00203782-0j 0.000403766-0j 0.00122356-0j 0.000173001-0j 3.52881e-05-0j -0.000485412-0j -2.11879e-05-0j 6.203e-05-0j -0.000207984-0j 0.000291454-0j 4.73194e-06-0j 0.000124879-0j -7.45731e-05-0j 4.47756e-05-0j -5.68879e-06-0j 3.4157e-06-0j 0.051349-0j 0.0599071-0j -0.107968-0j 0.00130887-0j -0.0509265-0j 0.0216216-0j -2.19455e-05-0j 0.00152701-0j -1.46303e-05-0j 0.000301875-0j -0.00275206-0j -0.0012981-0j 0.000172459-0j -2.56031e-05-0j 0.000551129-0j -1.70687e-05-0j -1.29315e-06-0j 4.61432e-05-0j 4.37243e-05-0j 0.000352187-0j 3.07621e-05-0j 3.081e-05-0j -0.00063473-0j 2.17649e-05-0j 1.451e-05-0j 0.000201202-0j -0.000299391-0j -9.24064e-06-0j 5.16194e-06-0j -0.000362616-0j -1.50868e-06-0j -6.16042e-06-0j 5.10117e-05-0j 0.000127111-0j 2.89063e-07-0j 2.71901e-06-0j -0.00017104-0j 3.5945e-05-0j -9.19358e-05-0j 1.28251e-06-0j -6.47819e-05-0j 7.26176e-05-0j 6.02226e-06-0j -4.33645e-05-0j -3.05565e-05-0j -1.08536e-05-0j -5.4451e-07-0j 1.84111e-05-0j 3.3724e-07-0j -5.11947e-06-0j -6.07792e-07-0j 1.29732e-05-0j -2.86685e-07-0j 2.17355e-06-0j 1.21716e-07-0j 
0.000615862-0j -0.00847159-0j -0.000488917-0j 0.00407522-0j 0.00103321-0j 0.000309173-0j -0.00031219-0j -0.00242964-0j 3.15549e-05-0j 0.00245334-0j -0.000613851-0j -3.18627e-05-0j 0.00061984-0j -7.27226e-05-0j 7.34321e-05-0j 0.00022508-0j -0.000268871-0j 0.000145874-0j -0.00171263-0j 2.96569e-05-0j 0.00204583-0j -0.00040795-0j -0.00110995-0j -0.000174794-0j -3.54269e-05-0j 0.00048732-0j 1.92206e-05-0j -6.26728e-05-0j 0.000208802-0j -0.000264392-0j -4.78098e-06-0j -0.000113284-0j 7.48663e-05-0j -4.06182e-05-0j 5.71115e-06-0j -3.09855e-06-0j -0.0518811-0j 0.0584305-0j -0.0370656-0j -0.00132243-0j 0.0529301-0j -0.103251-0j 2.21729e-05-0j 0.00148938-0j 1.47819e-05-0j -0.000305003-0j -0.000944792-0j 0.00134917-0j -0.000174246-0j -2.4972e-05-0j -0.00263184-0j -1.6648e-05-0j 1.30655e-06-0j 1.58411e-05-0j -4.41774e-05-0j 0.000343507-0j 1.05607e-05-0j -3.11293e-05-0j -0.000217905-0j -2.26213e-05-0j -1.50808e-05-0j 0.000196243-0j 0.00031117-0j 4.41274e-05-0j -5.21543e-06-0j -0.000124487-0j -1.47149e-06-0j 2.94183e-05-0j 4.97543e-05-0j -0.000607002-0j -2.92059e-07-0j 9.33445e-07-0j 0.000177769-0j 3.5059e-05-0j -3.15619e-05-0j -1.33297e-06-0j -2.22398e-05-0j -0.000346776-0j 5.87382e-06-0j 4.50707e-05-0j 3.17587e-05-0j -3.72608e-06-0j 2.60023e-06-0j -8.79197e-05-0j 3.28928e-07-0j 5.32089e-06-0j -2.08657e-07-0j -6.19519e-05-0j 2.97964e-07-0j -1.03795e-05-0j -5.81241e-07-0j 
0.0451401-0j -6.81492e-05-0j -0.000388283-0j 0.00656228-0j -5.71996e-06-0j 0.000230281-0j -0.000239485-0j 3.83801e-05-0j -0.0045175-0j -3.99141e-05-0j -0.000458667-0j 0.00469806-0j 0.000476999-0j 2.82696e-07-0j -2.93995e-07-0j 0.041897-0j -0.050369-0j 0.0302429-0j -2.78464e-05-0j 0.00217373-0j 3.34773e-05-0j -3.28173e-06-0j -2.01006e-05-0j 0.000546274-0j -0.00261328-0j 3.94533e-06-0j 0.00156908-0j 3.2022e-05-0j -0.000656736-0j -2.36888e-06-0j -1.52879e-08-0j 0.000394321-0j -3.84972e-05-0j 2.31147e-05-0j 1.83792e-08-0j -1.10354e-08-0j -0.000135991-0j -0.000158656-0j 0.000285939-0j 0.0052207-0j 0.000134872-0j -5.72621e-05-0j 0.00162518-0j 0.00609082-0j -1.13326e-05-0j -2.45358e-06-0j -0.0109772-0j -0.00517775-0j 0.000270864-0j 0.00189604-0j 0.00219829-0j -1.32214e-05-0j 0.000289298-0j -0.00341715-0j -2.36096e-07-0j -2.86251e-06-0j 2.38282e-05-0j 4.81328e-05-0j 5.15896e-06-0j -0.00161181-0j 1.12394e-05-0j 0.000316007-0j 2.43339e-06-0j 0.000684319-0j 1.9951e-06-0j -0.000569525-0j 0.000337514-0j -4.77184e-06-0j -2.75445e-07-0j -1.03313e-06-0j -7.77709e-10-0j -0.000608285-0j -0.000268635-0j 5.61549e-05-0j 4.96421e-07-0j -0.000286917-0j -0.000101205-0j 0.000114053-0j 2.32761e-06-0j 2.34153e-07-0j -4.77368e-05-0j -4.19495e-06-0j 0.000121815-0j -9.94134e-08-0j -9.07327e-10-0j -1.97868e-06-0j 1.63523e-09-0j 2.02674e-05-0j 7.7131e-10-0j 8.40081e-07-0j -3.27472e-10-0j 
6.81492e-05-0j 0.0437275-0j 5.60439e-05-0j -0.000944182-0j 0.0112474-0j -3.32381e-05-0j 3.45666e-05-0j 0.000527944-0j -3.39235e-06-0j -0.000549045-0j -0.0030783-0j 3.52794e-06-0j 0.00320133-0j -0.00111957-0j 0.00116432-0j -0.00604732-0j 0.00727014-0j -0.00436518-0j -0.000383046-0j 3.28173e-06-0j 0.000460502-0j 0.0021057-0j -0.000276497-0j -3.90945e-05-0j -3.94533e-06-0j -0.0025315-0j 2.36888e-06-0j 0.000658608-0j 4.69998e-05-0j 0.00151998-0j 0.000101261-0j -2.82199e-05-0j -0.000791785-0j 0.000475408-0j -0.000121737-0j 7.30943e-05-0j 1.96286e-05-0j 2.29001e-05-0j -4.12717e-05-0j 0.0718142-0j -1.94671e-05-0j 8.26508e-06-0j 2.45358e-06-0j 0.0837833-0j 1.63572e-06-0j 0.00157432-0j -0.150999-0j -0.0712234-0j -3.89719e-05-0j 2.86251e-06-0j 0.030239-0j 1.90834e-06-0j 1.44579e-07-0j -5.15896e-06-0j 0.000464245-0j 0.00183671-0j -3.43931e-06-0j 0.000160679-0j -0.00331022-0j -2.43339e-06-0j -1.62226e-06-0j -4.54672e-05-0j -0.00156137-0j 1.03313e-06-0j 8.26449e-05-0j 8.19433e-05-0j 1.68675e-07-0j 6.88756e-07-0j 0.00054162-0j 0.000662904-0j 7.74306e-06-0j -3.03995e-07-0j 3.86512e-05-0j 0.000187459-0j -0.000976135-0j -1.43389e-07-0j -0.000337848-0j -1.641e-05-0j 9.6419e-05-0j -0.000460426-0j -0.000159357-0j -0.000173771-0j 6.0878e-08-0j 0.000195481-0j 9.03357e-06-0j -8.19649e-05-0j -1.62808e-05-0j 6.76574e-05-0j -7.67935e-06-0j 3.47995e-05-0j 3.26039e-06-0j 
-0.0456079-0j 6.88554e-05-0j -0.000378713-0j 0.00640054-0j -5.57897e-06-0j 0.000239485-0j -0.000241821-0j 3.99141e-05-0j -0.00469806-0j -4.03035e-05-0j -0.000476999-0j 0.00474389-0j 0.000481653-0j 2.93995e-07-0j -2.96863e-07-0j -0.0423312-0j 0.0505671-0j -0.0274348-0j 2.8135e-05-0j -0.00219625-0j -3.36089e-05-0j 3.31574e-06-0j 1.82343e-05-0j -0.000551935-0j 0.00262355-0j -3.96084e-06-0j -0.00142339-0j -3.23539e-05-0j 0.000659318-0j 2.14893e-06-0j 1.54463e-08-0j -0.000357709-0j 3.86485e-05-0j -2.09685e-05-0j -1.84515e-08-0j 1.00107e-08-0j 0.0001374-0j -0.000154746-0j 9.81636e-05-0j -0.0052748-0j -0.000140179-0j 0.000273448-0j -0.00164202-0j 0.00594069-0j 1.145e-05-0j 2.47901e-06-0j -0.0037685-0j 0.00538146-0j -0.00027367-0j 0.00184931-0j -0.0104977-0j -1.28955e-05-0j -0.000292295-0j -0.00117312-0j 2.38542e-07-0j -2.79196e-06-0j 8.1803e-06-0j -4.86316e-05-0j 1.77109e-06-0j 0.00167523-0j -1.16816e-05-0j 0.000308219-0j -2.52913e-06-0j -0.00326787-0j -2.01577e-06-0j -0.00019552-0j 0.000329195-0j 2.27873e-05-0j -2.68656e-07-0j 4.9336e-06-0j 7.85768e-10-0j -0.000208826-0j 0.000279204-0j 5.47708e-05-0j 1.70423e-07-0j 0.000298206-0j -3.47441e-05-0j -0.000544646-0j 2.27024e-06-0j -2.43366e-07-0j 4.96149e-05-0j -1.44014e-06-0j -0.000581712-0j 4.74736e-07-0j -8.84963e-10-0j 2.05653e-06-0j 5.6138e-10-0j -9.67842e-05-0j -8.01657e-10-0j -4.01169e-06-0j 1.5638e-09-0j 
