0.184308-0.0635321j -0.00277909-0.187868j -0.375013-0.082336j 0.0119984-0.337504j -0.156825+0.122387j -0.0578948+0.074865j -0.0918325+0.0549649j 0.0260621+0.00154278j -0.0936072-0.253645j -0.134784+0.0434856j 0.0471112-0.0881351j 0.0862124+0.141897j 0.223313-0.0876369j 0.219713+0.189789j -0.183807+0.226414j 
-0.00186703+0.0127196j 0.00241632+0.00265902j -0.021646+0.024506j 0.0177551+0.00156586j -0.00597676-0.0144869j 0.00074173-0.00527043j -0.00994235-0.0243466j -0.0154053+0.00557303j 0.0171726+0.0185302j -0.0337094+0.00213716j -0.0144632-0.0280421j 0.0129993-0.0303259j 0.00212253-1.15021e-05j -0.0149133-0.00893563j 0.0015256+0.00631138j 
-0.00824415-0.00134813j 0.0025392+0.0042435j 0.0192666-0.0199101j -0.00223009-0.000625534j -0.00703078-0.0368028j -0.00473039+0.0141387j 0.0398714+0.0177232j -0.00223682-0.00344441j -0.0316966+0.0112861j 0.0358309+0.0113338j 0.0075537-0.0323637j -0.021063-0.0061172j -0.0119214+0.00239428j 0.00452709-0.000419316j 0.00238638-0.00986579j 
-0.00343078-0.00761474j -0.0170976+0.00016912j -0.032749-0.029671j -0.0140567+0.0238495j -0.0085071-0.0161528j 0.0595527-0.0195217j -0.0122907+0.0435749j -0.0091394-0.0203477j 0.0046357-0.0259335j 0.0113287-0.0134807j -0.0187346-0.00997604j 0.00810633+0.00284534j -0.000827413+0.00584486j -0.000801887-0.000769075j -0.00718912+0.00156756j 
0.00364404+0.00492735j 0.00348889+0.00110814j -0.000841663+0.0112438j 0.00500674-0.0167124j 0.00178195+0.00708542j 0.0118756-0.00557845j 0.000321799-0.00604061j -0.000531088+0.00760859j -0.00265286-0.00226054j -0.00943219-0.00270534j 0.00455572+0.00676515j 0.000490155-0.00225358j 0.000355443-0.0104291j -0.00486384+0.00702457j -0.00760366+0.00402497j 
0.00268457+0.00302959j 0.0103007-0.00767229j 0.0225659+0.0026281j -0.00464294-0.0215593j 0.00409672+0.00564297j -0.0180144+0.02452j 0.0084334-0.0162598j 0.0166072+0.00265932j -0.0106488+0.00570163j 0.0025536+0.00378988j 0.00907521+0.010937j -0.0037932+0.00425091j 0.00110018-0.00551414j 0.00355215+0.00567931j -0.00227251-0.00106846j 
0.0103145+0.00256073j -0.00437386-0.00429393j -0.0130386+0.0103267j 0.0120539-0.0254841j -0.00403506+0.00748075j 0.0246384-0.00567356j -0.00129529+0.0144856j -0.000267767-0.00650241j -0.00426054-0.0188742j 0.0119561+0.00792169j -0.0173801+0.0163768j -0.0077792-0.0211566j 0.0257962-0.0112118j 0.00969434+0.0216834j -0.0140124-0.00444794j 
0.0024667-0.000756411j -0.00151654-0.00571477j -0.001249+0.00544016j -0.00204845-0.00684944j -0.00136417-0.00391388j 0.00476374+0.000576001j 0.00855769+0.0059145j 0.00909102-0.00699125j -0.00447014-0.00500322j 0.00156159+0.00686329j 0.00209009+0.00837598j 0.00381496+0.000459007j 0.00629802+0.00983293j 0.00162554+0.0119165j -0.00356094+0.00334121j 
-0.00631865-0.00963744j -0.0122665-0.0115008j -0.00508723+0.00255827j 0.00833386+0.0150698j -0.0065753+0.0168042j -0.0249164-0.00312327j 0.0275396-0.00490657j 0.00395668-0.0209224j -0.0125097-0.00781732j 0.0336255+0.0022794j 0.0132623+0.0142007j 0.000638179+0.0178553j 0.0247062+0.0265073j 0.0148973+0.00976587j 0.00309311+0.0140143j 
-0.0248459+0.0114161j 0.0214516+0.00937606j 0.0339726-0.00161956j -0.00675256+0.0129372j 0.00380719+0.010472j 0.00046431+0.00958419j 0.000545724-0.026283j 0.0128391+0.0247073j -0.00338309+0.00201851j -0.000781744+0.00452812j 0.00766108-0.001576j 0.0150564-0.00134535j -0.0295669-0.0121516j -0.0328093-0.0167601j 0.00537763-0.00810461j 
-0.00899781-0.00617419j -0.0181527+0.00700439j 0.0209546+0.00741737j 0.0165187+0.0336702j 0.00553349-0.00947356j -0.00709999+0.0137782j -0.00621473-0.00854619j -0.00516649-0.0155585j 0.0237742+0.0182123j 0.000470491+0.00917383j 0.0204064-0.0362294j 0.0086979+0.0196093j -0.00466682+0.0148561j -0.0285291-0.0105291j 0.0323586+0.0250494j 
-0.0161005+0.00369602j 0.00489612+0.000663148j 0.022127-0.005448j 0.0040129+0.00264134j 0.00136918+0.00597384j -0.0139141-0.00246152j 0.00513765-0.0236787j -0.00600763-0.0105369j -0.0231389+0.00106711j 0.0207079-0.00225735j 0.00821179+0.0152449j 0.00780404-0.000156539j -0.000724462-0.000834636j -0.000415003+0.00609497j 0.0169677-0.00353852j 
0.0191923-0.00682328j -0.0169309+0.00235469j 0.00744678+0.00441032j 0.00108474-0.00775871j 0.0133603+0.0206488j -0.0021888-0.00581384j 0.0313055-0.00410425j -0.00799197-0.0287644j 0.0284569+0.00533702j 0.00320105-0.0112059j 0.0123704+0.00157135j -0.00198331+0.00376669j 0.00887504+0.00707472j 0.0265961+0.0254795j 0.0172642+0.000940132j 
0.00854729-0.0172075j -0.00979629-0.0011264j -0.00253682+0.00433479j 0.00380521-0.0172737j -0.0123122-0.0195779j 0.00288333-0.00818561j -0.0220765+0.0211448j -0.0256202-0.00845525j 0.00641279+0.0140662j 0.00614965+0.00816701j 0.000518156-0.00123842j -0.0107237+0.00667474j 0.0117683+0.00917066j 0.014573+0.00784682j 0.00843278-0.000429264j 
-0.000519292+0.00685226j -0.012266+0.0138144j -0.00763511+0.00313328j 0.000425978+0.0142296j 0.00207112-0.00367381j -0.00194005-0.0118488j 0.0105603-0.0226338j 0.00660833+0.00535575j -0.0188415-0.0325336j 0.018119+0.0071878j -0.0166154+0.0136273j -0.0135888+0.0108907j 0.00445762+0.00571169j 0.00302049+0.00457722j 0.00421008+0.00237551j 
-0.00752217+0.00774127j 0.00449164+9.68725e-05j -0.000216309-0.00122653j -0.00661725+0.00761584j -0.0312897-0.0139393j 0.00286214+0.000434318j -0.01677+0.017445j -0.00197566+0.00132111j -0.0154032+0.00581857j 0.00560989+0.00743164j -0.00402647+0.0157152j 0.00211673-0.00906532j 0.0029181-0.00314114j -0.00824152-0.00330862j -0.000828965-0.00633944j 
0.000488155+0.00179127j 0.00477524+0.00418911j 0.00595402+0.00519841j 0.0127153+0.00224331j 0.0139588-0.00959076j 0.00176837-0.0050309j 0.00541579-0.027099j 0.0121409-0.0171224j -0.0300666-0.00204123j 0.00648742-0.00150991j -0.0127565+0.0113987j 0.00315081+0.0027545j -0.000226604+0.00713699j -0.0046389+0.00783878j 0.00753092+0.00353677j 
-0.0158158+0.0320602j -0.0270469+0.00575754j -0.00304828-0.00633566j -0.0132831+0.0127174j -0.0307982+0.00222888j -0.0128575+0.00439241j -0.00752472-0.00508616j -0.0151445+0.0251552j -0.0144152-0.0217819j 0.00901142+0.00398082j 0.0174849+0.00755754j -0.00410252+0.00367667j 0.0149832-0.0118033j -0.00623242+0.00435912j 0.0148723+0.00753127j 
-0.0156415-0.00303093j 0.00408949-0.0228998j 0.00784216-0.0195328j 0.00226214-0.0154325j 0.0335056+0.0263015j -0.00691176-0.00896923j 0.0126148+0.000789929j -0.00175693+0.0161116j -0.00826411-0.000956484j -0.00528276-0.0178052j -0.010401-0.00920439j -0.000738921-0.00445852j 0.00306601+0.000758808j 0.00105619-0.00308662j -0.0063829-0.00123913j 
0.0157877+0.00300655j -0.00199669+0.0228315j -0.0022609+0.00913265j -0.016266+0.0097718j -0.00778049-0.0143339j 0.0167225+0.00879874j 0.0070181-0.00923084j 0.0107526-0.00190755j 0.0262059-0.00571322j -0.00733421+0.0166738j 0.014071-0.00273013j 0.00425211+0.000808502j -0.0139656-0.0047511j 0.00282889+0.00164257j -0.00248881-0.00759261j 
0.0108216+0.00078305j -0.00877758+0.0290673j 0.00400662+0.00567509j -0.0039205+0.0236777j -0.00165886-0.0198397j 0.00552159-0.00892394j 0.0016138-0.00452296j -0.00541996-0.00485058j 0.00824365-0.00662937j 0.00730702+0.00456587j -0.00835625+0.00503547j -0.0191508-0.000504402j -0.0101031-0.00402298j 0.00502291-0.00791392j 0.00973521-0.0126865j 
0.0050185+0.0153647j -0.00905746-0.00602927j -0.0165775+0.000544753j 0.00298692-0.00901964j -0.0143095+0.0212908j -0.00818855+0.00925625j -0.00188249+0.00264778j -0.000206793+0.00888437j -0.00556545-0.0185778j -0.00663753-0.00647674j 0.00930119-0.00109761j 0.0068254+0.00242378j 0.0177021-0.00996401j 0.00425673+0.0125117j -0.000933758+0.0120582j 
-0.00132587+0.00967033j -0.025006-0.0112782j -0.0211166-0.016032j 0.00273376-0.00215956j 0.00875071+0.0154396j -0.00764708-0.00589454j -0.00290209+0.00822373j -0.00732904+0.0147424j -0.0117452-0.0106751j 0.00265225-0.0113473j -0.00252179-0.00677259j -0.00884013+0.00913667j 0.0217301+0.0014156j 0.00900975+0.00658586j 0.00107153+0.00976802j 
0.0160978+0.010299j -0.000249549+0.0232246j -0.00358613+0.0129094j -0.00685296+0.00164518j -0.0160666-0.00429572j 0.0129516-0.00164866j 0.00697956-0.00592214j 0.00169641+0.00613328j 0.00465809-0.0135676j -0.00759343+0.00427215j 0.00269883+0.00643831j -0.00290954-0.00444407j -0.00288564-0.012148j 0.00579405+0.00563903j -0.00187397-0.00918536j 
-0.0132293+0.00132603j 0.0101967+0.00427256j 0.0163822-0.00443903j -0.00113352+0.0163283j 0.00145503-0.00620698j -0.00192999-0.00122913j 0.00109015-0.00734667j -2.15412e-05-0.0062451j 0.00137095+0.0132891j 0.0051233+0.00322816j -0.001843+0.000605631j 0.00499812-0.0124405j -0.0155519-0.00366139j -0.012451-0.0110188j 0.00677153-0.00876143j 
-0.00486526+0.00515237j 0.0178095+0.00479454j 0.0198551+0.000290527j -0.00810803+0.00556293j -0.00888116-0.00411285j 0.00554338+0.00669488j 0.00648994-0.00529725j 0.00794455-0.00730925j 0.00183661+0.008418j -0.00581326+0.00226983j -0.000638069+0.00549455j 0.0104403-0.0162749j -0.014781-0.00961122j -0.0101832-0.00444052j 0.00157281-0.0109059j 
