-0.319286-0j -0.360672-0j 0.286104-0j -0.297539-0j 0.758358-0j 0.206521-0j -0.0679178-0j -0.0419376-0j -0.0464165-0j 0.0356508-0j -0.0244636-0j -0.0370757-0j 0.0415926-0j 0.0743878-0j -0.0249733-0j 0.0779564-0j 0.0150116-0j -0.00403088-0j -0.0273685-0j -0.0039503-0j -0.0298677-0j -0.00431103-0j 0.0224768-0j 0.00324425-0j -0.0233752-0j -0.0211197-0j -0.00337392-0j -0.00304836-0j 0.0253903-0j -0.0174228-0j 0.00366477-0j -0.015245-0j 0.0444068-0j -0.00251477-0j -0.00220042-0j 0.00640957-0j 0.0209459-0j 0.0529785-0j 0.00302328-0j -0.0088929-0j 0.0320545-0j 0.00764679-0j -0.00128358-0j 0.00462667-0j 0.00478122-0j 0.00069011-0j -0.00108505-0j -0.000156613-0j 
0.0233752-0j -0.0254901-0j -0.0209459-0j -0.02177-0j 0.0535962-0j -0.013575-0j 0.0521409-0j 0.00307029-0j -0.00328044-0j -0.00261003-0j 0.001791-0j -0.00271271-0j 0.00293951-0j -0.00544599-0j 0.00164155-0j 0.00570383-0j -0.00519434-0j 0.00536422-0j -0.191561-0j 0.000289205-0j 0.20181-0j -0.000304678-0j 0.157323-0j -0.000237514-0j 0.163512-0j -0.147823-0j -0.000246859-0j 0.000223173-0j -0.171557-0j 0.117722-0j 0.000259004-0j -0.0958043-0j 0.310818-0j -0.000177729-0j 0.000144638-0j -0.00046925-0j -0.146519-0j -0.357965-0j 0.000221204-0j -0.294191-0j 0.201441-0j 0.000540429-0j 0.000444148-0j -0.000304121-0j 0.350925-0j -0.000529801-0j -0.211129-0j 0.000318747-0j 
-0.00337392-0j 0.00367918-0j 0.00302328-0j 0.00314223-0j -0.00773594-0j 0.00195939-0j -0.00752589-0j 0.0422339-0j -0.0451246-0j -0.0359026-0j 0.0246364-0j -0.0373152-0j 0.040435-0j -0.0749133-0j 0.0225806-0j 0.0784599-0j -0.0714517-0j 0.0737885-0j -0.000289205-0j -0.185567-0j 0.000304678-0j 0.195495-0j 0.000237514-0j 0.1524-0j 0.000246859-0j -0.000223173-0j 0.158396-0j -0.143198-0j -0.000259004-0j 0.000177729-0j -0.166188-0j -0.000144638-0j 0.00046925-0j 0.114039-0j -0.0928063-0j 0.301091-0j -0.000221204-0j -0.000540429-0j -0.141934-0j -0.000444148-0j 0.000304121-0j -0.346763-0j -0.284985-0j 0.195137-0j 0.000529801-0j 0.339944-0j -0.000318747-0j -0.204522-0j 
-0.00964177-0j 0.0319198-0j -0.0088929-0j -0.0424669-0j 0.0228046-0j -0.00768529-0j 0.0381865-0j -0.00126643-0j 0.0041079-0j -0.00110813-0j -0.000738751-0j -0.00529171-0j 0.00378885-0j -0.000457079-0j -0.00090288-0j -0.00378058-0j 0.00649171-0j -0.00382747-0j 0.079015-0j -0.000119291-0j -0.252715-0j 0.000381531-0j 0.0667938-0j -0.00010084-0j 0.318965-0j 0.0609741-0j -0.00048155-0j -9.20542e-05-0j -0.221126-0j -0.147417-0j 0.000333839-0j 0.0526941-0j 0.043562-0j 0.00022256-0j -7.95537e-05-0j -6.57667e-05-0j 0.294191-0j -0.0912097-0j -0.000444148-0j -0.357203-0j 0.0376465-0j 0.000137702-0j 0.000539279-0j -5.68359e-05-0j -0.264539-0j 0.000399381-0j 0.635979-0j -0.000960155-0j 
0.00139167-0j -0.00460723-0j 0.00128358-0j 0.00612957-0j -0.00329156-0j 0.00110928-0j -0.00551175-0j -0.0174206-0j 0.0565069-0j -0.015243-0j -0.010162-0j -0.072791-0j 0.0521181-0j -0.00628742-0j -0.0124197-0j -0.0520044-0j 0.0892978-0j -0.0526494-0j 0.000119291-0j 0.0765424-0j -0.000381531-0j -0.244807-0j 0.00010084-0j 0.0647036-0j 0.00048155-0j 9.20542e-05-0j 0.308983-0j 0.059066-0j -0.000333839-0j -0.00022256-0j -0.214206-0j 7.95537e-05-0j 6.57667e-05-0j -0.142804-0j 0.0510452-0j 0.0421988-0j 0.000444148-0j -0.000137702-0j 0.284985-0j -0.000539279-0j 5.68359e-05-0j -0.0883555-0j -0.346025-0j 0.0364684-0j -0.000399381-0j -0.256261-0j 0.000960155-0j 0.616077-0j 
-0.0662716-0j 0.0188307-0j 0.0153752-0j 0.0155346-0j 0.0134533-0j 0.0110984-0j 0.003546-0j 0.00218957-0j -0.00963429-0j 0.00191588-0j 0.00127725-0j 0.00193573-0j 0.00223519-0j 0.000790259-0j 0.00130386-0j 0.00138295-0j 0.000806723-0j 0.000210453-0j 0.00142892-0j 0.000206246-0j 0.0015594-0j 0.00022508-0j -0.00480204-0j -0.000693114-0j -0.0048518-0j 0.00110266-0j -0.000700297-0j 0.000159156-0j 0.00136448-0j 0.00090965-0j 0.000196945-0j 0.000795944-0j 0.00078778-0j 0.000131297-0j 0.000114885-0j 0.000113706-0j 0.00112563-0j 0.000562817-0j 0.000162471-0j 0.000464301-0j 0.00056865-0j 8.12357e-05-0j 6.7016e-05-0j 8.20775e-05-0j 0.000256943-0j 3.70866e-05-0j 5.66507e-05-0j 8.17682e-06-0j 
0.0117153-0j -0.00332884-0j -0.00271798-0j -0.00274615-0j -0.00237824-0j -0.00196194-0j -0.000626851-0j 0.0182505-0j -0.0803038-0j 0.0159692-0j 0.0106461-0j 0.0161347-0j 0.0186308-0j 0.00658697-0j 0.0108679-0j 0.0115272-0j 0.0067242-0j 0.00175417-0j 0.0241498-0j 0.00347467-0j 0.026355-0j 0.00379196-0j -0.081158-0j -0.011677-0j -0.081999-0j 0.0186358-0j -0.011798-0j 0.00268132-0j 0.0230607-0j 0.0153738-0j 0.00331797-0j 0.013452-0j 0.0133141-0j 0.00221198-0j 0.00193548-0j 0.00191563-0j 0.0190241-0j 0.00951203-0j 0.00273718-0j 0.00784703-0j 0.00961061-0j 0.00136859-0j 0.00112903-0j 0.00138278-0j 0.00434253-0j 0.000624804-0j 0.000957439-0j 0.000137756-0j 
-0.000976273-0j 0.000277403-0j 0.000226499-0j 0.000228846-0j 0.000198186-0j 0.000163495-0j 5.22376e-05-0j -0.00462715-0j 0.0203598-0j -0.00404875-0j -0.00269917-0j -0.00409071-0j -0.00472355-0j -0.00167003-0j -0.0027554-0j -0.00292254-0j -0.00170482-0j -0.000444744-0j 2.10499e-05-0j 0.0413914-0j 2.29721e-05-0j 0.0451711-0j -7.07407e-05-0j -0.1391-0j -7.14737e-05-0j 1.62438e-05-0j -0.140542-0j 0.0319408-0j 2.01006e-05-0j 1.34004e-05-0j 0.0395247-0j 1.17254e-05-0j 1.16051e-05-0j 0.0263498-0j 0.0230561-0j 0.0228196-0j 1.65822e-05-0j 8.29108e-06-0j 0.0326062-0j 6.83979e-06-0j 8.377e-06-0j 0.0163031-0j 0.0134494-0j 0.0164721-0j 3.78513e-06-0j 0.00744287-0j 8.34543e-07-0j 0.001641-0j 
-0.0188307-0j 0.00109382-0j -0.0173682-0j 0.0169401-0j -0.000263304-0j 0.0244224-0j 0.0156755-0j -0.00247339-0j -4.74301e-05-0j 0.00642321-0j -0.00144281-0j -0.00626489-0j -4.37463e-05-0j -0.000892692-0j 0.00286918-0j 0.00150808-0j 0.00267071-0j 0.00116395-0j -0.00161413-0j -0.00023298-0j -3.052e-05-0j -4.40518e-06-0j -0.00136448-0j -0.000196945-0j 0.00133084-0j 0.00369681-0j 0.000192091-0j 0.000533588-0j 7.92582e-05-0j -1.78033e-05-0j 1.14399e-05-0j -0.00519829-0j -0.000889892-0j -2.56969e-06-0j -0.000750309-0j -0.000128445-0j 0.00122748-0j -1.10152e-05-0j 0.000177171-0j 0.0015371-0j 0.00125133-0j -1.58991e-06-0j 0.000221861-0j 0.000180614-0j 0.00113585-0j 0.000163946-0j 0.000376201-0j 5.43e-05-0j 
-0.0153752-0j -0.0173682-0j -0.0270946-0j 0.0281775-0j 0.0365188-0j 0.00994502-0j -0.00327059-0j -0.00201951-0j -0.00223519-0j 0.00171677-0j 0.00581156-0j -0.00178538-0j -0.0039389-0j 0.00358215-0j 0.00236502-0j 0.003754-0j 0.000722883-0j -0.000194108-0j -0.00131793-0j -0.000190227-0j -0.00143828-0j -0.000207598-0j 0.00108237-0j 0.000156227-0j -0.00112563-0j 0.00200007-0j -0.000162471-0j 0.000288686-0j 0.00122267-0j 0.00413895-0j 0.000176477-0j -0.000734124-0j -0.00420541-0j 0.000597406-0j -0.000105962-0j -0.000606999-0j -0.00198362-0j 0.00255119-0j -0.000286311-0j 0.000842176-0j 0.00154359-0j 0.000368232-0j 0.000121558-0j 0.000222798-0j 0.00023024-0j 3.32323e-05-0j -5.22507e-05-0j -7.54173e-06-0j 
0.00332884-0j -0.000193362-0j 0.00307029-0j -0.00299461-0j 4.65459e-05-0j -0.00431731-0j -0.00277107-0j -0.0206162-0j -0.00039534-0j 0.0535387-0j -0.0120261-0j -0.0522191-0j -0.000364634-0j -0.00744077-0j 0.0239152-0j 0.0125701-0j 0.022261-0j 0.00970175-0j -0.0272801-0j -0.00392506-0j -0.000515811-0j -7.42149e-05-0j -0.0230607-0j -0.00331797-0j 0.0224923-0j 0.0624788-0j 0.00323619-0j 0.00898946-0j 0.00133952-0j -0.00030089-0j 0.000192731-0j -0.087855-0j -0.0150398-0j -4.3292e-05-0j -0.0126406-0j -0.00216393-0j 0.0207453-0j -0.000186166-0j 0.00298484-0j 0.0259782-0j 0.0211484-0j -2.67856e-05-0j 0.00373774-0j 0.00304283-0j 0.0191967-0j 0.00276202-0j 0.00635808-0j 0.000914802-0j 
0.0155346-0j -0.0169401-0j -0.0281775-0j 0.0284524-0j -0.0121026-0j 0.00928598-0j 0.0346516-0j 0.00204044-0j -0.0021801-0j 0.00178538-0j -0.00587178-0j -0.0018028-0j 0.00395439-0j 0.000736434-0j -0.00214543-0j -0.00128799-0j 0.00355319-0j 0.00356493-0j 0.00133159-0j 0.000192199-0j -0.00140283-0j -0.000202481-0j 0.00112563-0j 0.000162471-0j -0.00113662-0j -0.0020208-0j -0.000164056-0j -0.000291678-0j -0.00122748-0j 0.00403694-0j -0.000177171-0j 0.000665961-0j -0.00144373-0j 0.000582682-0j 9.61231e-05-0j -0.000208385-0j 0.00206166-0j -0.000506309-0j 0.000297575-0j -0.0040217-0j 0.000475785-0j -7.30794e-05-0j -0.000580482-0j 6.86737e-05-0j 0.00251085-0j 0.00036241-0j 0.00146761-0j 0.000211831-0j 
-0.000277403-0j 1.61135e-05-0j -0.000255857-0j 0.000249551-0j -3.87883e-06-0j 0.000359776-0j 0.000230923-0j 0.00522692-0j 0.000100232-0j -0.0135739-0j 0.00304904-0j 0.0132394-0j 9.24475e-05-0j 0.00188649-0j -0.00606333-0j -0.00318697-0j -0.00564392-0j -0.00245973-0j -2.37784e-05-0j -0.0467565-0j -4.49602e-07-0j -0.000884072-0j -2.01006e-05-0j -0.0395247-0j 1.96052e-05-0j 5.44591e-05-0j 0.0385505-0j 0.107085-0j 1.16758e-06-0j -2.62268e-07-0j 0.00229587-0j -7.65781e-05-0j -1.31094e-05-0j -0.000515709-0j -0.150579-0j -0.0257775-0j 1.80825e-05-0j -1.6227e-07-0j 0.0355563-0j 2.26436e-05-0j 1.84338e-05-0j -0.000319078-0j 0.0445252-0j 0.0362472-0j 1.67326e-05-0j 0.0329021-0j 5.54197e-06-0j 0.0108974-0j 
0.00271798-0j 0.00307029-0j 0.0047897-0j -0.00498113-0j -0.00645567-0j -0.00175805-0j 0.000578164-0j -0.016833-0j -0.0186308-0j 0.0143096-0j 0.0484405-0j -0.0148815-0j -0.0328316-0j 0.029858-0j 0.0197129-0j 0.0312903-0j 0.00602538-0j -0.00161793-0j -0.0222741-0j -0.0032048-0j -0.0243081-0j -0.00349745-0j 0.0182929-0j 0.00263199-0j -0.0190241-0j 0.0338028-0j -0.00273718-0j 0.00486355-0j 0.0206641-0j 0.0699514-0j 0.00297315-0j -0.0124072-0j -0.0710746-0j 0.0100646-0j -0.00178516-0j -0.0102262-0j -0.0335247-0j 0.043117-0j -0.00482353-0j 0.0142334-0j 0.0260878-0j 0.00620367-0j 0.0020479-0j 0.00375352-0j 0.00389123-0j 0.000559871-0j -0.000883076-0j -0.000127057-0j 
0.0134533-0j 0.000263304-0j -0.0365188-0j -0.0121026-0j 0.000166998-0j 0.0513512-0j -0.0111991-0j 0.00176707-0j 3.38857e-05-0j -0.00455053-0j 0.00103079-0j -0.00150808-0j -9.19821e-05-0j 0.00796731-0j -0.00204984-0j -0.000956483-0j 0.00561552-0j -0.000831565-0j 0.00115319-0j 0.000166449-0j 2.18045e-05-0j 3.14721e-06-0j -0.00286898-0j -0.000414102-0j -0.000950801-0j 0.000889892-0j -0.000137236-0j 0.000128445-0j -5.61506e-05-0j 1.27193e-05-0j -8.10465e-06-0j -0.00125133-0j 0.000564405-0j 1.83587e-06-0j -0.000180614-0j 8.14648e-05-0j 0.00258093-0j 9.83115e-05-0j 0.000372525-0j -0.00109816-0j -0.000793642-0j 1.419e-05-0j -0.000158505-0j -0.000114552-0j 0.00238827-0j 0.000344717-0j -0.000268771-0j -3.87938e-05-0j 
-0.000226499-0j -0.000255857-0j -0.000399141-0j 0.000415094-0j 0.000537973-0j 0.000146504-0j -4.81803e-05-0j 0.00426776-0j 0.00472355-0j -0.00362798-0j -0.0122814-0j 0.00377299-0j 0.00832394-0j -0.00757003-0j -0.00499791-0j -0.00793319-0j -0.00152764-0j 0.000410201-0j -1.9415e-05-0j -0.0381765-0j -2.11879e-05-0j -0.0416627-0j 1.59449e-05-0j 0.0313531-0j -1.65822e-05-0j 2.94639e-05-0j -0.0326062-0j 0.0579361-0j 1.80116e-05-0j 6.09725e-05-0j 0.0354171-0j -1.08147e-05-0j -6.19516e-05-0j 0.119893-0j -0.0212653-0j -0.121818-0j -2.92215e-05-0j 3.75825e-05-0j -0.0574594-0j 1.24064e-05-0j 2.27392e-05-0j 0.0739001-0j 0.0243953-0j 0.0447131-0j 3.39176e-06-0j 0.00666936-0j -7.69725e-07-0j -0.00151354-0j 
-0.00274615-0j 0.00299461-0j 0.00498113-0j -0.00502973-0j 0.00213946-0j -0.00164155-0j -0.00612559-0j 0.0170075-0j -0.0181716-0j 0.0148815-0j -0.0489425-0j -0.0150267-0j 0.0329606-0j 0.00613832-0j -0.0178826-0j -0.0107356-0j 0.0296165-0j 0.0297144-0j 0.0225049-0j 0.00323801-0j -0.0237089-0j -0.00341124-0j 0.0190241-0j 0.00273718-0j -0.0192097-0j -0.0341531-0j -0.00276389-0j -0.00491395-0j -0.0207453-0j 0.0682273-0j -0.00298484-0j 0.0112552-0j -0.0244001-0j 0.00981655-0j 0.0016194-0j -0.00351069-0j 0.0348437-0j -0.008557-0j 0.00501331-0j -0.0679698-0j 0.00804113-0j -0.00123118-0j -0.0097795-0j 0.00115696-0j 0.0424353-0j 0.00610559-0j 0.0248037-0j 0.00356876-0j 
-0.0110984-0j 0.0244224-0j 0.00994502-0j -0.00928598-0j -0.0513512-0j 0.0275956-0j 0.0300683-0j -0.00145776-0j 0.00314303-0j 0.00123923-0j -0.00085036-0j -0.00115711-0j -0.00281639-0j 0.00258573-0j -0.00333697-0j 0.00243296-0j 0.00062472-0j 0.00611598-0j -0.000951335-0j -0.000137313-0j 0.00202245-0j 0.000291916-0j 0.000781299-0j 0.000112771-0j -0.000729523-0j -0.000734124-0j -0.000105298-0j -0.000105962-0j -0.00171927-0j 0.00117976-0j -0.000248155-0j -0.00203706-0j 0.00154359-0j 0.000170284-0j -0.000294024-0j 0.000222798-0j 0.000653707-0j -0.00358737-0j 9.43545e-05-0j -0.000370086-0j 0.00428317-0j -0.000517792-0j -5.34173e-05-0j 0.000618223-0j -0.00211672-0j -0.000305522-0j 0.00366745-0j 0.000529351-0j 
-0.00237824-0j -4.65459e-05-0j 0.00645567-0j 0.00213946-0j -2.95213e-05-0j -0.00907769-0j 0.00197975-0j 0.0147289-0j 0.000282444-0j -0.0379296-0j 0.00859186-0j -0.0125701-0j -0.00076669-0j 0.0664091-0j -0.0170858-0j -0.00797248-0j 0.0468065-0j -0.00693126-0j 0.0194898-0j 0.0028042-0j 0.000368513-0j 5.30217e-05-0j -0.048488-0j -0.00697645-0j -0.0160692-0j 0.0150398-0j -0.00231204-0j 0.00216393-0j -0.000948988-0j 0.000214966-0j -0.00013654-0j -0.0211484-0j 0.00953886-0j 3.09293e-05-0j -0.00304283-0j 0.00137245-0j 0.0436196-0j 0.00166154-0j 0.006276-0j -0.0185597-0j -0.0134131-0j 0.000239062-0j -0.00267037-0j -0.00192988-0j 0.0403635-0j 0.00580751-0j -0.00454243-0j -0.000653566-0j 
0.000228846-0j -0.000249551-0j -0.000415094-0j 0.000419144-0j -0.000178288-0j 0.000136795-0j 0.000510466-0j -0.00431199-0j 0.00460712-0j -0.00377299-0j 0.0124086-0j 0.0038098-0j -0.00835667-0j -0.00155628-0j 0.00453386-0j 0.00272185-0j -0.00750882-0j -0.00753364-0j 1.96162e-05-0j 0.0385722-0j -2.06657e-05-0j -0.0406358-0j 1.65822e-05-0j 0.0326062-0j -1.67439e-05-0j -2.97692e-05-0j -0.0329243-0j -0.0585365-0j -1.80825e-05-0j 5.94697e-05-0j -0.0355563-0j 9.81053e-06-0j -2.12682e-05-0j 0.116938-0j 0.0192909-0j -0.0418205-0j 3.03712e-05-0j -7.45864e-06-0j 0.0597201-0j -5.92452e-05-0j 7.00898e-06-0j -0.0146662-0j -0.116496-0j 0.0137821-0j 3.69883e-05-0j 0.0727317-0j 2.16199e-05-0j 0.0425122-0j 
0.003546-0j -0.0156755-0j 0.00327059-0j 0.0346516-0j -0.0111991-0j -0.0300683-0j 0.0375187-0j 0.000465762-0j -0.00201736-0j 0.000407541-0j 0.000271694-0j 0.00431786-0j -0.00186067-0j 0.000168102-0j -0.00353246-0j 0.00308483-0j -0.00319505-0j 0.00632204-0j 0.000303956-0j 4.38723e-05-0j -0.00129811-0j -0.000187367-0j 0.000256943-0j 3.70866e-05-0j 0.00272229-0j 0.000234556-0j 0.000392928-0j 3.38552e-05-0j -0.00113585-0j -0.000757233-0j -0.000163946-0j -0.0021564-0j 0.000167575-0j -0.000109297-0j -0.000311249-0j 2.41874e-05-0j 0.00251085-0j -0.000468514-0j 0.00036241-0j -0.00183888-0j -0.0015406-0j -6.76242e-05-0j -0.000265419-0j -0.000222367-0j 0.0027186-0j 0.000392396-0j -0.000159963-0j -2.30887e-05-0j 
