-0.306635-0j -0.00643125-0j -0.242191-0j 0.235015-0j -0.209744-0j -0.00513704-0j 0.293813-0j -0.194185-0j -0.187601-0j -0.00448397-0j -0.138733-0j 0.190384-0j -0.00419437-0j 0.238825-0j -0.00290595-0j -0.17303-0j 0.167903-0j -0.164151-0j -0.0029966-0j -0.109434-0j 0.159286-0j 0.242383-0j -0.105959-0j 0.155675-0j -0.00379044-0j -0.00259513-0j -0.0677087-0j 0.216794-0j -0.00244672-0j 0.148429-0j 0.1138-0j -0.107057-0j 0.201886-0j -0.0582743-0j 0.146915-0j 0.088016-0j 0.0565475-0j -0.00151383-0j 0.184296-0j -0.00174802-0j 0.149967-0j -0.0312249-0j 0.14139-0j 0.136216-0j 0.0605993-0j 0.0908104-0j 0.0451252-0j -0.00034201-0j 0.131667-0j 0.0437403-0j 0.0811799-0j 0.056186-0j 0.0217259-0j 0.032239-0j 0.0102454-0j 0.00174564-0j 
-0.0148778-0j -0.000312041-0j -0.011751-0j 0.0114028-0j 0.0197867-0j -0.000249247-0j 0.0142557-0j -0.00942178-0j -0.0091023-0j 0.000423007-0j -0.00673124-0j 0.00923734-0j -0.000203509-0j 0.0115877-0j -0.000140995-0j 0.0163232-0j -0.0158395-0j -0.00796452-0j -0.000145394-0j 0.0259571-0j 0.00772851-0j 0.0117603-0j 0.00999589-0j 0.00755328-0j 0.000357581-0j -0.000125915-0j -0.0032852-0j -0.0204518-0j 0.000580348-0j 0.00720169-0j 0.00552151-0j 0.0100995-0j 0.0097954-0j 0.0221473-0j -0.0138596-0j 0.0042705-0j -0.021491-0j -7.34503e-05-0j -0.017386-0j 0.000414621-0j 0.00727632-0j 0.00294568-0j -0.033537-0j 0.00660912-0j -0.00571679-0j -0.0215397-0j 0.00218946-0j -1.65942e-05-0j -0.0124212-0j 0.00212226-0j -0.00765831-0j 0.00272612-0j -0.00204957-0j 0.00156422-0j 0.000497102-0j 8.46976e-05-0j 
0.00018786-0j 0.000199071-0j 0.000148379-0j 0.000149917-0j 0.0001285-0j 0.000159011-0j 9.27562e-05-0j -0.000348365-0j 0.000114934-0j 0.000138796-0j 8.49948e-05-0j 0.000121446-0j -0.000380177-0j 5.00941e-05-0j 8.995e-05-0j 0.000106007-0j 0.000107106-0j -0.000294484-0j 9.27562e-05-0j 6.70448e-05-0j -0.000297535-0j 7.652e-05-0j -0.000445093-0j 2.44485e-05-0j 0.000117328-0j -0.000550774-0j 4.14819e-05-0j 6.84416e-05-0j -0.00022177-0j -0.000321285-0j 7.25932e-05-0j -0.000192058-0j 4.23461e-05-0j 3.57019e-05-0j -0.000274426-0j 1.1047e-05-0j 3.60719e-05-0j -0.000137213-0j -0.000113195-0j 5.41078e-05-0j -0.000138635-0j 1.913e-05-0j 4.46367e-05-0j -6.26419e-05-0j 3.86565e-05-0j 1.42616e-05-0j -1.38113e-05-0j 1.05865e-05-0j 2.76175e-05-0j 1.38088e-05-0j 1.0189e-05-0j 8.82393e-06-0j 1.94549e-06-0j 3.3697e-06-0j 8.02475e-07-0j 1.09327e-07-0j 
-0.00911074-0j -0.00965445-0j 0.021036-0j -0.00727057-0j -0.00623192-0j 0.0225433-0j -0.00449844-0j -0.00576964-0j -0.005574-0j -0.00673124-0j -0.00350179-0j 0.0172177-0j -0.0062965-0j -0.00242943-0j -0.00436234-0j 0.0150289-0j -0.00519435-0j 0.0142576-0j -0.00382156-0j -0.0032515-0j -0.00492779-0j 0.0108484-0j -0.00314825-0j -0.00118569-0j 0.0166339-0j 0.0113885-0j -0.0247819-0j -0.00331924-0j -0.00367296-0j -0.00227253-0j -0.00299085-0j -0.00270225-0j 0.0060035-0j 0.00506154-0j 0.0132865-0j -0.000535752-0j -0.00174939-0j -0.0279941-0j -0.00187474-0j -0.00222924-0j -0.00195059-0j -0.029209-0j 0.00632824-0j 0.00303285-0j -0.0230939-0j -0.000691652-0j -0.000228742-0j -0.0299553-0j -0.00113784-0j -0.0210842-0j 0.00144452-0j -0.00527154-0j -9.43515e-05-0j -0.000138832-0j 0.000113769-0j -5.30208e-06-0j 
0.00263005-0j 5.51616e-05-0j 0.00207731-0j -0.00201575-0j -0.00349783-0j 4.4061e-05-0j -0.00252007-0j 0.00166555-0j 0.00160908-0j -7.47778e-05-0j 0.00118993-0j -0.00163295-0j 3.59757e-05-0j -0.00204843-0j 2.49247e-05-0j -0.00288557-0j 0.00280006-0j 0.00140794-0j 2.57023e-05-0j -0.00458861-0j -0.00136622-0j -0.00207895-0j -0.00176704-0j -0.00133524-0j -6.32119e-05-0j 2.22588e-05-0j 0.000580746-0j 0.0036154-0j -0.000102592-0j -0.00127309-0j -0.000976075-0j -0.00178535-0j -0.0017316-0j -0.00391512-0j 0.00245005-0j -0.000754924-0j 0.00379911-0j 1.29843e-05-0j 0.00307344-0j -7.32953e-05-0j -0.00128628-0j -0.000520728-0j 0.00592856-0j -0.00116834-0j 0.00101059-0j 0.00380772-0j -0.000387045-0j 2.93347e-06-0j 0.00219577-0j -0.000375166-0j 0.00135381-0j -0.000481915-0j 0.000362316-0j -0.000276518-0j -8.7876e-05-0j -1.49726e-05-0j 
0.0130181-0j -0.0132489-0j -0.0098878-0j -0.0103806-0j 0.0089046-0j 0.0101768-0j 0.00567947-0j 0.00824406-0j 0.00796452-0j -0.00923734-0j -0.0172177-0j 0.0080867-0j -0.00864074-0j 0.0162737-0j -0.00598648-0j -0.00706418-0j -0.00741623-0j -0.00670167-0j 0.0180462-0j 0.00464597-0j -0.00703565-0j -0.00450563-0j 0.00449844-0j 0.0176435-0j 0.00750912-0j 0.00514114-0j -0.014042-0j 0.00419068-0j -0.00504043-0j 0.00286916-0j 0.014694-0j -0.0132865-0j -0.0132291-0j -0.00237913-0j 0.00624032-0j 0.0138266-0j -0.00249769-0j 0.0152342-0j 0.0125581-0j 0.0105269-0j -0.00847433-0j -0.00907612-0j -0.00262828-0j -0.0148459-0j 0.0130753-0j 0.010292-0j 0.00903099-0j 0.006206-0j -0.0262276-0j -0.00578887-0j -0.0122636-0j -0.0311066-0j 0.00527425-0j -0.0188613-0j -0.00280933-0j 0.000644899-0j 
0.00161057-0j 0.00170668-0j -0.00371868-0j 0.00128527-0j 0.00110166-0j -0.00398513-0j 0.000795219-0j 0.00101994-0j 0.000985353-0j 0.00118993-0j 0.000619035-0j -0.00304369-0j 0.00111307-0j 0.000429467-0j 0.000771161-0j -0.00265675-0j 0.00091824-0j -0.00252042-0j 0.000675563-0j 0.000574789-0j 0.000871119-0j -0.00191775-0j 0.000556537-0j 0.000209602-0j -0.00294049-0j -0.00201321-0j 0.00438085-0j 0.000586764-0j 0.000649294-0j 0.00040173-0j 0.000528712-0j 0.000477695-0j -0.00106128-0j -0.000894762-0j -0.00234875-0j 9.47084e-05-0j 0.000309252-0j 0.0049487-0j 0.00033141-0j 0.000394078-0j 0.000344819-0j 0.00516348-0j -0.00111869-0j -0.000536138-0j 0.00408247-0j 0.000122268-0j 4.04363e-05-0j 0.00529539-0j 0.000201144-0j 0.00372719-0j -0.000255357-0j 0.000931886-0j 1.66791e-05-0j 2.45422e-05-0j -2.01117e-05-0j 9.37285e-07-0j 
-0.00021917-0j -4.5968e-06-0j -0.000173109-0j 0.000167979-0j 0.000291486-0j -3.67175e-06-0j 0.000210006-0j -0.000138796-0j -0.00013409-0j 6.23148e-06-0j -9.91606e-05-0j 0.000136079-0j -2.99797e-06-0j 0.000170702-0j -2.07706e-06-0j 0.000240464-0j -0.000233338-0j -0.000117328-0j -2.14185e-06-0j 0.000382384-0j 0.000113852-0j 0.000173246-0j 0.000147253-0j 0.00011127-0j 5.26766e-06-0j -1.8549e-06-0j -4.83955e-05-0j -0.000301284-0j 8.54934e-06-0j 0.000106091-0j 8.13396e-05-0j 0.000148779-0j 0.0001443-0j 0.00032626-0j -0.000204171-0j 6.29104e-05-0j -0.000316592-0j -1.08203e-06-0j -0.00025612-0j 6.10794e-06-0j 0.00010719-0j 4.3394e-05-0j -0.000494046-0j 9.73615e-05-0j -8.42162e-05-0j -0.00031731-0j 3.22538e-05-0j -2.44456e-07-0j -0.000182981-0j 3.12639e-05-0j -0.000112818-0j 4.01596e-05-0j -3.0193e-05-0j 2.30432e-05-0j 7.323e-06-0j 1.24771e-06-0j 
-0.00536968-0j 0.0166199-0j -0.00424117-0j -0.0200887-0j -0.00367296-0j 0.0132753-0j -0.00324409-0j -0.0034005-0j -0.0032852-0j 0.0115877-0j -0.00242943-0j -0.0162737-0j 0.0108393-0j 0.0197045-0j 0.00750966-0j -0.00303004-0j -0.0143521-0j -0.00287455-0j 0.00774395-0j -0.00191636-0j -0.0136156-0j -0.00267624-0j -0.00185551-0j 0.0129694-0j 0.0097954-0j 0.00670645-0j -0.00118569-0j -0.0023937-0j 0.00632291-0j -0.00163885-0j -0.00972744-0j -0.00187474-0j 0.0166568-0j -0.00102048-0j -0.0125581-0j -0.00969224-0j -0.0048336-0j 0.0039121-0j 0.0152055-0j 0.0045173-0j -0.00165584-0j -0.000546799-0j -0.00156114-0j 0.0113482-0j -0.00517994-0j 0.00756548-0j -0.0269658-0j 0.000883837-0j 0.0108633-0j -0.000482953-0j -0.00893945-0j 0.0046809-0j -0.032119-0j -0.0192653-0j -0.0292162-0j -0.013043-0j 
-0.000134214-0j -0.000142223-0j 0.00030989-0j -0.000107106-0j -9.18049e-05-0j 0.000332094-0j -6.62683e-05-0j -8.49948e-05-0j -8.21128e-05-0j -9.91606e-05-0j -5.15862e-05-0j 0.000253641-0j -9.27562e-05-0j -3.57889e-05-0j -6.42634e-05-0j 0.000221396-0j -7.652e-05-0j 0.000210035-0j -5.62969e-05-0j -4.78991e-05-0j -7.25932e-05-0j 0.000159812-0j -4.63781e-05-0j -1.74669e-05-0j 0.000245041-0j 0.000167768-0j -0.000365071-0j -4.8897e-05-0j -5.41078e-05-0j -3.34775e-05-0j -4.40593e-05-0j -3.98079e-05-0j 8.84398e-05-0j 7.45635e-05-0j 0.000195729-0j -7.89237e-06-0j -2.5771e-05-0j -0.000412392-0j -2.76175e-05-0j -3.28399e-05-0j -2.87349e-05-0j -0.00043029-0j 9.32238e-05-0j 4.46782e-05-0j -0.000340206-0j -1.0189e-05-0j -3.3697e-06-0j -0.000441283-0j -1.6762e-05-0j -0.0003106-0j 2.12798e-05-0j -7.76572e-05-0j -1.38993e-06-0j -2.04518e-06-0j 1.67597e-06-0j -7.81071e-08-0j 
-0.00230129-0j 0.00234209-0j 0.00174793-0j 0.00183504-0j -0.00157413-0j -0.00179902-0j -0.001004-0j -0.00145736-0j -0.00140794-0j 0.00163295-0j 0.00304369-0j -0.00142954-0j 0.00152748-0j -0.00287682-0j 0.00105827-0j 0.00124878-0j 0.00131102-0j 0.0011847-0j -0.00319015-0j -0.000821299-0j 0.00124374-0j 0.00079649-0j -0.000795219-0j -0.00311895-0j -0.00132744-0j -0.000908834-0j 0.0024823-0j -0.000740815-0j 0.00089103-0j -0.000507201-0j -0.00259755-0j 0.00234875-0j 0.00233859-0j 0.000420575-0j -0.00110314-0j -0.00244422-0j 0.000441534-0j -0.00269305-0j -0.00221997-0j -0.00186092-0j 0.00149806-0j 0.00160445-0j 0.000464619-0j 0.00262441-0j -0.00231141-0j -0.00181939-0j -0.00159647-0j -0.00109708-0j 0.00463642-0j 0.00102334-0j 0.00216792-0j 0.00549892-0j -0.000932364-0j 0.00333423-0j 0.000496623-0j -0.000114003-0j 
0.000949233-0j -0.00293801-0j 0.00074974-0j 0.00355122-0j 0.000649294-0j -0.00234677-0j 0.00057348-0j 0.000601129-0j 0.000580746-0j -0.00204843-0j 0.000429467-0j 0.00287682-0j -0.00191613-0j -0.00348329-0j -0.00132753-0j 0.00053564-0j 0.00253711-0j 0.000508153-0j -0.00136895-0j 0.000338768-0j 0.00240692-0j 0.000473097-0j 0.000328011-0j -0.00229269-0j -0.0017316-0j -0.00118554-0j 0.000209602-0j 0.00042315-0j -0.00111774-0j 0.000289711-0j 0.00171958-0j 0.00033141-0j -0.00294453-0j 0.000180397-0j 0.00221997-0j 0.00171336-0j 0.000854469-0j -0.000691568-0j -0.00268798-0j -0.000798554-0j 0.000292714-0j 9.66613e-05-0j 0.000275973-0j -0.0020061-0j 0.000915693-0j -0.0013374-0j 0.00476693-0j -0.000156242-0j -0.00192038-0j 8.53748e-05-0j 0.00158029-0j -0.000827474-0j 0.0056779-0j 0.00340566-0j 0.00516475-0j 0.0023057-0j 
0.000191774-0j -0.000195174-0j -0.000145661-0j -0.00015292-0j 0.000131177-0j 0.000149919-0j 8.36665e-05-0j 0.000121446-0j 0.000117328-0j -0.000136079-0j -0.000253641-0j 0.000119128-0j -0.00012729-0j 0.000239735-0j -8.81891e-05-0j -0.000104065-0j -0.000109251-0j -9.8725e-05-0j 0.000265846-0j 6.84416e-05-0j -0.000103645-0j -6.63742e-05-0j 6.62683e-05-0j 0.000259913-0j 0.00011062-0j 7.57362e-05-0j -0.000206858-0j 6.17346e-05-0j -7.42525e-05-0j 4.22668e-05-0j 0.000216463-0j -0.000195729-0j -0.000194883-0j -3.50479e-05-0j 9.19286e-05-0j 0.000203685-0j -3.67945e-05-0j 0.000224421-0j 0.000184998-0j 0.000155077-0j -0.000124839-0j -0.000133704-0j -3.87183e-05-0j -0.000218701-0j 0.000192618-0j 0.000151616-0j 0.000133039-0j 9.14231e-05-0j -0.000386369-0j -8.52781e-05-0j -0.00018066-0j -0.000458244-0j 7.7697e-05-0j -0.000277852-0j -4.13853e-05-0j 9.50026e-06-0j 
-7.91028e-05-0j 0.000244834-0j -6.24783e-05-0j -0.000295935-0j -5.41078e-05-0j 0.000195564-0j -4.779e-05-0j -5.00941e-05-0j -4.83955e-05-0j 0.000170702-0j -3.57889e-05-0j -0.000239735-0j 0.000159677-0j 0.000290274-0j 0.000110628-0j -4.46367e-05-0j -0.000211426-0j -4.23461e-05-0j 0.000114079-0j -2.82307e-05-0j -0.000200576-0j -3.94247e-05-0j -2.73343e-05-0j 0.000191057-0j 0.0001443-0j 9.87954e-05-0j -1.74669e-05-0j -3.52625e-05-0j 9.31452e-05-0j -2.41426e-05-0j -0.000143299-0j -2.76175e-05-0j 0.000245378-0j -1.50331e-05-0j -0.000184998-0j -0.00014278-0j -7.12057e-05-0j 5.76306e-05-0j 0.000223998-0j 6.65461e-05-0j -2.43928e-05-0j -8.05511e-06-0j -2.29978e-05-0j 0.000167175-0j -7.63077e-05-0j 0.00011145-0j -0.000397244-0j 1.30201e-05-0j 0.000160032-0j -7.11457e-06-0j -0.000131691-0j 6.89562e-05-0j -0.000473158-0j -0.000283805-0j -0.000430396-0j -0.000192278-0j 
0.00987175-0j 0.0104609-0j 0.00779707-0j 0.00787787-0j 0.00675246-0j 0.00835575-0j 0.00487419-0j 0.00625157-0j -0.0236351-0j 0.00729349-0j 0.00446634-0j 0.00638181-0j 0.00682244-0j 0.00263236-0j -0.0417216-0j 0.0055705-0j 0.00562823-0j -0.0206808-0j 0.00487419-0j -0.0137872-0j -0.0208951-0j 0.004021-0j 0.00341122-0j 0.00128473-0j -0.0241275-0j 0.00422117-0j -0.00853037-0j -0.0140744-0j 0.00397976-0j 0.00246235-0j -0.0149282-0j 0.00344657-0j -0.00870809-0j 0.00187608-0j 0.0049247-0j -0.00227172-0j 0.00189552-0j 0.00246235-0j 0.00203133-0j 0.00284328-0j 0.00248787-0j 0.00100525-0j 0.00234558-0j 0.00112414-0j 0.00203133-0j 0.000749425-0j 0.000247849-0j 0.000556304-0j 0.00145126-0j 0.000725628-0j 0.000535415-0j 0.000463683-0j 0.000102232-0j 0.000177072-0j 4.21688e-05-0j 5.74496e-06-0j 
-0.00164529-0j -0.00174348-0j -0.00129951-0j -0.00131298-0j -0.00112541-0j -0.00139262-0j -0.000812364-0j -0.00104193-0j 0.00393919-0j -0.00121558-0j -0.000744389-0j -0.00106363-0j -0.00113707-0j -0.000438727-0j 0.0069536-0j -0.000928416-0j -0.000938038-0j 0.00344679-0j -0.000812364-0j 0.00229786-0j 0.00348251-0j -0.000670166-0j -0.000568537-0j -0.000214121-0j 0.00402126-0j -0.000703528-0j 0.00142173-0j 0.00234573-0j -0.000663293-0j -0.000410391-0j 0.00248803-0j -0.000574428-0j 0.00145135-0j -0.000312679-0j -0.000820783-0j 0.00037862-0j -0.000315919-0j -0.000410391-0j -0.000338556-0j -0.000473879-0j -0.000414644-0j -0.000167542-0j -0.00039093-0j -0.000187356-0j -0.000338556-0j -0.000124904-0j -4.13082e-05-0j -9.27173e-05-0j -0.000241876-0j -0.000120938-0j -8.92358e-05-0j -7.72805e-05-0j -1.70387e-05-0j -2.9512e-05-0j -7.02813e-06-0j -9.57493e-07-0j 
