0.00496486-0.00347305j -0.00274713-0.00612142j 0.00251807-0.00434825j 0.00287558+0.00120672j -0.00082774-0.00981382j 0.00988558-0.00115224j 0.00503037-0.00536133j 0.00335095-0.000598283j -0.00229083-0.00979568j 0.00115126-0.00381973j 0.0100569+0.000858966j 0.000428312-0.0010774j 0.00149074+0.00348613j 0.00687071+0.00383512j -0.00531299+0.00625421j -0.000177936+0.00441334j 0.00762234-0.0017519j 0.000677429-0.00100245j 0.00418287+0.0070156j -0.00787976+0.00373529j 0.0027258+0.00670351j 0.0108203-0.0173564j 0.00694675+0.00503868j 0.00798609-0.000315061j 0.011903+0.00412702j 0.0107444+0.00734745j 0.00199887+0.0152973j -0.0120285+0.00334354j 0.000580308+0.00825311j 0.00249023-0.00154705j 0.00726346-0.0128327j -0.0158464+0.0050213j -0.000577127+0.00852424j 0.00136112+0.00339872j 0.00148697-0.00377538j -0.00200726-0.000926624j 0.00580199-0.000463215j -0.00496736-0.00067659j -0.00951307-0.00837059j -0.00628169-0.00639352j -0.000593857+0.00249169j -0.00185361+0.00113819j 0.00477734-0.00266819j 0.00683997+0.00467421j -0.000170879-0.00397242j -0.0062512-0.0033839j 0.00212303-0.00565548j 0.00247992+0.00104529j -0.00256547+0.00681149j 0.0029989+0.000244774j -0.00406392+0.00196198j -0.000668239+0.00186481j -0.00409231+0.00317176j 0.000776943+0.002795j 0.00360799+0.000797811j 0.0089219-0.00359382j 0.00747369+0.00418064j 0.00114286-0.00242205j 0.0012207+0.00343082j -0.00124119+0.00072925j 0.00523814-0.00141351j -0.00159833+8.04104e-05j 0.00201404+0.00459208j 0.002957-0.00306629j 0.00885517-0.00298732j -0.00562699-0.00291729j -0.00414777+0.0051478j 0.00650688+0.00267091j 0.00467204+0.00184044j -0.00756168-0.00461808j 0.00511491+0.00502005j 0.0140395-0.0073376j -0.00234441-0.016779j 0.000199555+0.00136247j -0.00698435-0.00465966j -4.98431e-05+0.00974511j -0.00108648-0.00400154j -0.00575443+0.00532741j -0.00309308+0.00384124j 0.00280143-0.00234693j 0.00084374+0.00250074j -0.000250123-0.00112834j -0.00617294+0.000702763j 0.00377474+0.00403932j 0.00302172+0.00260191j 0.00252041+0.00214366j -0.00216506-0.000406093j 0.00264562+0.00012851j -0.00104969-0.00096321j 0.000350304+0.00117181j 0.00457386-0.00258004j -0.00827764+0.000875372j -0.00058271+0.0084843j -0.0031378-0.00186033j -0.000543173+0.000538673j -0.0333176+0.00538969j -0.0079094-0.0319924j 
-2.02991e-05-0.00147267j 0.000561461-0.00522094j 0.00104148-0.00268771j 0.00216283-0.000226109j -0.0028669+0.00210059j 9.74913e-05-0.00422122j 0.000515897-0.000948463j -0.00937791-0.00197907j -0.00047961-0.000904086j 0.00169544-0.00456501j 0.00462704+0.0040096j 0.00823499-0.00583167j -0.000679559-0.0102413j 0.00808204+0.00528839j 0.00205163-0.00373429j 0.00204592-0.00450581j 0.00450631+0.000828211j 0.000474715+0.000777145j 0.0138872-0.00372822j 0.00695003+0.00192831j -0.010261-0.0117328j -0.00770024-0.00533308j -0.00956775-0.00228611j -0.00392615-0.0040625j -0.00231372-0.00347457j -0.00903017+0.00367818j 9.6693e-05+0.00292754j 0.00608539+0.00215244j -0.000635831-0.00118684j 0.000693814-0.0118309j -0.00392817+0.00265489j -0.00611383-0.00288487j 0.00341276+0.00324143j 0.00534518-0.000119573j -0.00789472+0.000586219j 0.00214988+0.00634628j -0.00286824-0.00437284j -0.00147834+0.000797345j -0.00567476-0.00879437j 0.00827216+0.00342685j -0.00956147-0.00585868j 0.00748659+0.0058819j -0.00248526+0.00698177j 0.00734253+0.00729921j -0.00256729+0.00815946j -0.00305956+0.00901806j 0.00628544+0.0035364j -0.00880868+0.0010899j 0.00815608+0.0057429j 0.00183383-0.00149204j -0.0024419-0.00909714j -0.00196534-0.000316301j -0.00397905+0.00375157j 0.00457527-0.000750894j -2.71445e-06+0.00339479j 0.00393589+0.000414956j -0.00378014+0.00293588j 0.00563408-0.0010665j 0.000446511-0.000231942j 0.0024544+0.00486611j -0.00675846-0.00853139j 0.000583818+0.0058608j 0.0049874-0.00421931j -0.00110014+0.000176226j -0.000465324+0.00155581j -0.00379983+0.0023957j 0.00736982-0.00389501j -0.00187619+0.0043491j 0.0024963+0.00575004j 0.00160111+0.00267557j 0.000306834+0.00188402j -0.00269065-0.00191995j 0.0022696+0.00264698j -0.00193516-0.00300531j 0.00220241-0.00442571j 0.0121774-0.00489032j 0.00645007+0.00854256j -4.75395e-05-0.00108142j 0.00273232-0.00273565j 0.00309985-0.000361984j -0.00135394-0.00525986j 0.00109473+0.00289065j -0.00519561+0.00038096j 0.00592711+0.00389008j -0.00986864+0.00587327j 0.00563624+0.0072514j 0.000675322+0.00312561j 0.00216208-0.00150503j 0.00875888-0.00625846j -0.00149632+0.00263842j 0.000488487+0.000779513j 0.000153906-0.00596739j 0.00384379+0.00362053j 0.00429343-0.00174941j -0.00575157+0.0028601j -0.00227871-0.00459205j 0.000960871+0.000893107j 
-0.00574523-0.00247491j 0.00141733+0.00384006j -3.5358e-05-0.000461631j 0.00127575-0.0020356j 0.00853284-0.000793137j 0.00381373-0.00295165j -0.00343334+0.00209501j -0.00739228-0.00424262j -0.00135297-0.000191764j 0.00841196-0.00151241j 0.000110516+0.00485144j -0.00221805+0.00152613j 0.00242955-0.0033928j 0.000619434+0.00958883j 0.00181291+0.000210461j -0.000751582+0.000407962j -0.00664536-0.0040531j 0.00126094-0.00562734j -0.00525347+0.00118981j 0.00574311+0.0155955j 0.00122685-0.0132834j 0.00537988-0.00187321j 0.0009512-0.00613188j 0.00420902+0.00693319j -0.00386084+0.00371114j 0.00198276+0.00229529j -0.00301198+0.00846388j 0.0065986-0.00296406j -0.00349766-0.00355111j 0.00394431-0.00125405j 0.00815447-0.00322523j 0.00514847-0.00321142j 0.000853786-0.00354846j 0.00154933+0.012314j 0.00316313-0.00902961j 0.00235678+0.000927301j -0.000966703-0.00963597j -0.00439149-0.00580588j 0.0028965-0.00575566j -0.00676488-0.00105675j -0.00648966-0.00243124j -0.00305655+0.00279768j -0.00289984+0.00127101j 0.000426613+0.00327006j -0.000809066+0.00198153j -0.00731448-0.00544318j -0.000674367-0.000411937j -0.0037542-0.0103569j -0.00383668-0.00287829j -0.00346858+0.000762169j 0.00277728-0.00269959j -0.00491502-0.00817223j 0.00221868+0.00414083j -0.00110255-7.05407e-05j -0.00152772-0.00325461j -0.00231049-7.68249e-05j -0.0075192-0.00250571j -0.00864026-0.00594462j 0.00178879+0.00161541j 0.000645093-0.00160263j 0.00185901-0.00357178j 0.000716869+0.000170988j -0.000725786+0.00251654j 0.00274407+0.00659395j -0.00101814+0.00138249j -0.000104192+0.00334452j 0.000781431+0.00113419j 0.00319309-0.000851738j 0.00289298-0.00152136j 0.00147124-0.00230702j -0.00270926-0.000121177j -0.00630246-0.00546254j -0.000389084+0.00227919j -0.00233267+0.00290162j -0.00166585+0.00073061j -0.00483702-0.00450629j -0.00444586+0.00500637j 0.00235955+0.00322632j 0.00481184-0.00129507j -0.0022235-0.00180661j 0.00495969+0.000392277j 0.00209566+0.00651367j 0.000262642+0.000881002j -0.00556746-0.00471122j -0.0104545-0.00381893j 0.00122598+0.00388797j 0.00217031-0.00298423j -0.00217608-0.00337721j -0.00173736+0.00426382j -0.000770631-0.00315935j -0.000385179+0.0058508j 0.00198306+0.00243654j -0.00402112-0.00326457j 0.000867397+0.00208471j 0.00212736-0.00144614j 0.00204591-0.00477092j 0.00408187-0.00235791j 
0.000941343-0.000147756j -0.000567191-0.00719423j -0.00348255-0.00279805j -0.000322282-0.00213783j -0.00316294-0.00241114j 0.00502189+0.00152174j -0.0029683+0.000115838j 0.00252206-0.00215816j -0.000544857-0.00136369j 0.000930861+0.00309356j -0.000994383+0.00301442j 0.00311617+0.0017074j 0.0119854-0.00113651j 0.000460468+0.00182879j -0.000315863+0.0025466j -0.000159488-0.000303471j -0.00339689+0.00295817j 0.00042742+0.00325103j -0.00448671+0.00295862j -0.00733292+0.0126149j 0.016524-0.00040037j 0.00766631+0.0039628j -0.00489061-0.00189911j -0.000511368+0.00751705j 0.00416399+0.00569996j 0.00498554-0.00429777j -0.00300483-0.00107758j 0.0060913-0.00101309j 0.005143+0.00293079j 0.0068187-0.00110036j -0.00210635+0.00385033j -0.00349808+0.00132049j -0.00915134+0.000782991j -0.000571307-0.000736855j -0.00204862+0.00227704j -0.00175866-0.00629794j -0.00621698-0.00694411j 0.00244512-0.0064259j 0.00187855-0.00403077j -0.00346817-0.000775372j 0.00750297-0.00220866j -0.00663409+0.00183994j 0.00564191-0.0039527j -0.00524892-0.00187374j 0.00289999-0.00338511j -0.00274559-0.00214247j 0.00402025+0.00312517j -0.00513277-0.012586j 0.000959774-0.00254875j 0.00259781-0.00796077j 0.000542416-0.00352485j -0.00251044+0.00482256j 0.00600386-0.00296163j -0.000449814-0.00070088j -0.00498351+0.0045599j 0.00131157-0.00974821j 0.000201042-0.00443952j -0.00502922+0.00275484j 0.00317729-0.00238692j 0.00703894-0.000194521j -0.00445186+0.00129406j -0.00287573+0.00329329j 0.00561141+0.0122965j -0.000831434-0.00654126j -0.0040033+0.00206586j -0.00654794-0.00784767j 0.0019139+0.000116184j 0.00248589-0.0039508j 0.00477645-7.10627e-05j -0.00209521+0.00604729j -0.00162647+0.00515304j 0.00183653+0.0107384j 0.00189935-0.00466182j 0.0030821-0.00886352j -0.0027666+0.00855255j -0.00776844-0.00289551j -0.00546057-0.00456251j -0.00262262+0.00774404j 0.00118827-0.00509428j 0.00263865+0.00474045j 0.00884649+0.0024249j -0.0137664-0.00237985j 0.00287198+0.00122942j -0.000145978+0.000482412j -7.07663e-05-0.000852315j -0.00334454+0.00433152j -0.00101455+0.00494596j -0.0018724+0.000952977j -0.000860167+0.00802817j 0.00302661+0.00192437j 0.00486955-0.00610262j 0.00552576-0.00423777j 0.00044217+0.00369611j -0.000478879-0.00405766j -0.00197387+0.00449069j -0.00109037+0.00205931j -6.31434e-05+0.00329145j 
-0.00109758-0.00135892j 0.00235168+0.00120106j -0.000376399-0.00263051j 0.00315272-0.0010058j 0.000815981+0.00246387j -0.00541004-0.00218903j -0.00499659+0.00614298j -0.00393556-0.00302748j 0.00365579-0.00471871j 0.000390072+0.00348227j 0.00147229+0.00806151j 0.00161276+0.00314637j 0.00355368-0.00760292j -0.010524+0.00645606j 0.0106721-0.0063843j 0.00437487+6.63338e-05j -0.00774431+0.0102238j 0.000682192+0.00228431j 0.00475252+0.00906051j -0.00923003+0.00211185j 0.00771725-0.00805739j -0.00197657-0.00540464j -0.00134665-0.0109489j 0.00282838-0.00216766j -0.00283977+0.000539025j -0.00605095-0.0134909j -0.0101547+0.00329805j -0.00517777-0.00254836j 0.000624568-0.00515169j 0.00158557-0.00401374j -0.00665697-0.000505203j 0.0063247-0.00142507j 0.0047218+0.0049971j 0.00420586+0.000918286j 0.00235545-0.00182986j -0.00603703+0.00363948j 0.00472732+0.00243652j -0.00478913-0.00562195j 0.00317232-0.00671042j 0.000136356+0.00447495j -0.00138683-0.00879449j 0.00236635-0.00241749j -0.0144404+0.00471069j -0.00384984-0.00124556j 0.000164356+0.00306351j -0.00736978-0.00762102j -0.00313193+0.000562293j 0.00761983-0.00289787j -0.00613651-0.00401035j 0.00240506+0.00198606j 0.00754493+0.00239757j 0.00592306+0.000893516j -0.00588472-0.00134272j 0.000871834+0.00584354j 0.00359057-0.00439625j 0.00531462-0.00185653j 0.00308437-0.00315599j 0.00379975-0.00264409j 0.00562592-0.00734953j -0.00879375+0.00181832j -0.00216822+0.000522457j 0.00435542+0.00314297j -0.00717429+0.00218863j -0.000259711+0.00557985j 0.00533135-0.00346267j -0.00532823-0.00298022j -0.00158693+0.000600435j -0.00547582+0.0035703j 9.655e-05-0.00307997j 0.00121094-0.008634j -0.00600782+0.00658058j -0.001607-0.000358176j 0.00295919-0.000393098j 0.00136443+0.000947889j -0.00187824+0.00233516j 0.00968945+0.00559179j 0.000319228+0.000856216j 0.00755996-0.00737754j 1.47689e-05+0.00214272j -0.00380558-0.000743129j -0.000174084-0.00494532j -0.00718125+0.000153523j -0.00645014-0.00316495j 0.000515669-0.00315231j 0.00100052-0.0047599j -0.00231275-0.00419345j -0.00664838-0.000998936j 0.00241122+0.00573067j 0.00744873+0.00174899j 0.00192554-0.00423263j -0.00329861+0.00230048j 0.00349939-0.00150154j 0.00426786+0.00507969j 0.000106164+0.00305864j -0.00419722-0.00349031j -0.00151191-0.00211788j -0.00614563-0.000249561j 
0.000215467+0.00199653j -0.000375557+0.00192741j -0.00357525-0.00187188j 0.00252851-2.35262e-05j -0.00055616+0.00078963j -0.0020839+0.000874425j -0.00182397-0.00216782j -0.00164449+0.00102899j -0.00342532+0.00232153j -0.00271054-0.00485747j 1.28999e-05-0.000225467j -0.00302666-0.00207017j 0.00886942+0.0055901j -0.0094799+0.00575505j -0.00131268-0.0023815j 0.0168348+0.00277239j 0.000306658-0.00589847j -0.00131639+0.00557705j 0.00485672+0.00164776j -0.0149111+0.0016613j -0.00276451+0.00320103j -0.00222485+0.00188194j 0.0119119-0.000224106j 0.0025495+0.00240537j -0.00831729+0.0106742j 0.0109515-0.00382502j -0.00574926+0.00729078j -0.00149276-0.00099943j 0.00235123-0.00424705j -0.00022538+0.00880475j -0.00678056+0.00311987j 5.32758e-05+0.00343698j -0.00228057-0.00235021j 0.0001455+0.00635938j -0.0028753+0.00105397j 0.00550423+0.00533728j 0.000765412-0.000907757j -0.00691224+0.00509243j -0.0077947-0.0026698j 0.00556164-0.00400799j -0.00263609+0.00301986j 0.00603942+0.0027324j -0.00476672-0.00107056j 0.00218905+0.0108285j -0.00735488-0.00147953j -0.00327487-0.00952585j 0.00708219+0.00052615j -0.00717092-0.00156458j 0.000690581-0.00267101j 0.00103836-0.00395819j -0.00591761+0.00574438j 0.00259302-0.00348829j 0.00746509-0.000981559j 0.00302879-0.00587619j 0.00174259-0.00319512j -0.00128628+0.00236245j -0.00797842-0.00565206j 0.00108964+0.00192844j 0.00188131-0.000433345j -0.0046545+0.00491579j 0.00460161-0.000490833j -0.00727295-0.000147602j 0.00322367-0.00433517j 0.00260733+8.69886e-06j 0.000667672+0.00153056j -0.00633799+0.00444311j -0.0014384+0.00133512j 0.00130767+0.00547965j -0.0090513-0.000477529j -0.00408039+0.00601504j 0.00275228+0.00026291j 0.00665799-0.0106857j -0.00212269+0.000543551j 0.000211669-0.0012023j 0.000761954-0.00214601j 0.00483658+0.00160085j -0.00465629-0.00825348j -0.00209139+0.00131983j -0.00284388+0.00271959j -0.00316253+0.0012328j 0.00191608-0.00479762j 0.00095959+0.00321514j 0.000748183-0.00106727j -0.00249492+0.0049795j -0.00313815-0.00153565j -0.00168778+0.00563416j -0.00267533-0.00011477j 0.00598351+0.000995386j 0.000725629-0.00593316j -0.00683769-0.00385337j 0.00225075-0.00329194j -1.2774e-05-0.000890555j 0.00168985+0.00126008j -0.00112502+0.00420911j -0.00114663+0.0053195j -0.000971084-0.00512812j 0.000303583+0.00711771j 
2.41049e-05-0.0042711j -0.00167421-0.00740615j -0.000911058+0.00296976j 0.00103885+0.00269873j -0.00324513-0.000468029j 0.00379286-0.00278543j -0.00366602+0.00162588j -0.0011328-0.00875563j 0.000779159-0.00168076j -0.00094392+0.00147583j 0.00128149+0.00462493j 0.00718829-0.0157511j -0.000765146-0.00461703j -0.00271179-0.00826202j 0.00589553+0.0132366j -0.00168664+0.00162258j 0.00629215+0.000179384j 0.00215561-1.96767e-05j 0.00569834-0.00611916j 0.000736538-0.00389182j 0.00238935+0.00552318j 0.0116221-0.00658433j -0.00102022-0.00140947j 0.00321186+0.00346198j 0.00038679-0.00981036j 0.000556281-0.00190399j -0.00496757-0.00755j -0.000211878+0.00631867j 0.00867757-0.00230384j -0.00157978+0.00688103j 0.00267046-0.000887961j -0.00140333-0.00335136j 0.00551996+0.00840212j -0.00400703+0.0050327j -4.13806e-05+0.00289325j 0.00134203+0.00338248j 0.0047576-0.00101561j 0.00218768+0.00838842j 0.0062463+0.00438645j -0.00390848-0.001836j 0.00604624+0.00134322j -0.00302434-0.00200724j -0.00857283-0.00485789j -0.00459039-0.00716399j -0.00583839-0.0043124j -0.00484991-0.00647534j -0.00283869-0.0101495j 0.00547622+0.00365044j 0.00153913-0.00189701j -0.00165058+0.00599158j 0.0101079+0.00469505j 0.00563535-0.00496816j -0.00390454-0.00590345j -0.00232371-0.00337581j -0.00296338+0.0012826j -0.000247147+0.00189192j -0.00429218-0.00248474j 0.004737-0.000146842j 0.00277082+0.00243077j -0.00513511-0.00203438j 0.00271713+0.00401831j -0.00173752+0.00598019j 0.00247505-0.00207945j -0.00369111-0.00012017j 0.000502061+0.00310453j 0.000701047+0.00187831j 0.00354274-0.00420925j -0.00318667-0.00431361j -0.00670198+0.0078667j 0.00773647+0.00899385j 0.00173699-0.00204107j -0.00100694-0.00334543j 0.00146771+0.00451007j 0.00404271+0.00240649j 0.00509451+0.00319017j 0.00165072-0.00118393j -0.0073849+0.00427879j 0.00622461+0.0088873j 0.0031859+0.00762054j -0.000861404-0.00533222j 0.00369092-0.00405479j -0.00343788+0.00132335j -0.00556892-0.00632564j 0.00323265-0.00318323j -0.00323005-0.00527636j -0.00353756+0.00286749j 0.00592551+0.0027636j 0.0061494+0.00159326j -0.00227218+0.00341401j -0.00745516-0.00225606j -0.00465163+0.000362467j 0.00277805-0.00294889j 0.000796351+0.00169759j 0.00423459-0.00517794j -0.000724931+0.00269569j 0.000179311-0.000907505j 0.00494824+0.00147677j 
0.00120544-0.000369889j 0.000343022-0.00161738j -0.000151372-0.00291704j 0.00056082+0.000874086j -0.00301673+0.00296158j -0.00111361-0.00158707j -0.000910437+0.000778578j 0.00379877-0.000257476j -0.00244285-0.00782227j 0.00321218+0.00376558j 0.0049524-0.00425328j -0.0126823-0.00192849j -0.000394837-0.00219701j 0.0102513+0.000646365j 0.00455562-0.00453594j -0.0060361-0.00233477j 0.00212988+0.00994985j 0.00331155-0.000775648j -0.0165954+0.00477618j 0.00459774+0.00596012j 0.0135007-0.0024255j -0.00509644-0.00632298j -0.00395871+0.00207125j -0.00154433-0.0038018j 0.00327512-0.00386488j -0.0025481+0.000669642j -0.00076778-0.000831227j 0.00200767-0.00361422j -0.00589808-0.00186306j 0.00363779-0.00423834j -6.84823e-05+0.00148582j -0.00160762+0.00232662j -0.00621428-0.00111846j 0.00511902+0.00287781j -0.000704298+0.00137224j -0.00296659+0.00928808j -0.00973112+0.00430396j -0.00398805-0.00647589j -0.00163344-0.00754971j 0.00654328+0.00565543j 0.0035656-0.00540137j -0.00173313+0.00297718j 0.00569035+0.00379869j 0.00344786-0.00896842j 0.00362759+0.00178392j 0.00734775+0.00306152j 0.00396109-0.00129126j -0.0128087+0.00457441j -0.00277055-0.00750007j -0.000249451+0.00235154j -0.00256184-0.00378908j 0.000629194-0.00225458j 0.000524712+0.000298165j 0.0029862-0.00105792j 0.00289906-0.0042822j -0.0102279+0.00089281j 0.00292264+0.00783495j -0.00111961-0.00122512j 0.00042422-0.00217312j -0.0020106+0.00065523j 0.000941626+0.000369867j 0.00224651+0.000396858j 0.0108203+0.00106755j -0.00624151-0.00262006j 0.00395599+0.00161467j 0.00107114+0.00282049j 0.00335387-0.00406871j 0.00235417+0.0014139j -0.00172247+0.00368772j 0.00151756-0.00401305j 0.00544016+0.00399306j 0.00637125-0.00428584j -0.00346114-0.00202795j -0.00352469+0.00261664j 0.0025224+0.000737064j -0.0101965-0.000447339j -0.00228575-0.00322426j -0.000978559-0.00643804j 0.00435482+0.00142618j 0.00132884-0.00278431j -0.00421105-0.00873005j 0.000259545+0.00551229j 0.00341829+0.00845263j 0.00860419-0.00178302j 0.00402166+0.000591006j 0.000279507-0.00189448j 0.00106263+0.00138161j 0.00222043+0.00284607j -0.00299433-0.00327749j 0.00360767+0.00372073j 0.00110043-0.000587518j -0.000403389-0.00111217j 0.00437952-0.000628675j -0.00075923-0.00285802j 0.000917306+0.0023301j 0.00161675+0.00332039j 0.00026219+0.000979141j 
-0.00050049-0.00466481j -0.00263009+0.00252913j 0.00190727+0.00213763j -0.00154992-0.000623428j -0.00520635-0.00188802j -0.000964345-0.00361448j 0.00154569+0.000773711j -0.00253196+0.00101334j 0.000181637-0.00186978j 0.000534323-0.00584037j 0.00393326+0.00658364j -0.00416067-0.00968559j 0.00164931-0.0072318j -0.00504861-0.00812368j 0.00181475-0.00246307j 0.0005145+0.00116961j 0.0062942+0.00661418j 0.00321269-0.00512723j -0.0105597+0.00540341j -0.00862836-0.00486818j 0.00724496-0.00827857j 0.00218372-0.00896426j -0.000321572+0.00444133j 0.00926135-0.00262597j 0.00119779-0.00672779j 0.00621077-0.00371697j -0.00517705+0.00754202j -0.0135379+0.00603573j -0.000955978-0.00643023j -0.00588068-0.00503846j -0.00325557+0.00454372j -0.000403854-0.00242715j 0.0148313-0.00556531j -0.00555102+0.00714798j 0.00281597-0.00117142j 0.00555343+0.000621203j 0.000872307+0.00184862j -0.00146328-0.00320634j 0.000896995-0.00569399j -0.00417446+0.00391994j 0.000505875+0.00388159j -0.000870933+0.0017611j 0.00237865+0.00451477j 0.00908627+0.0040838j 0.0012004+0.0060447j 0.00200633+0.00439172j -0.00154697-0.00329992j 0.00140804-0.00910862j 0.00802697-0.00149736j -0.00209524+0.000697244j -0.00175154-0.00236688j -0.00450465-0.00125291j 0.0012713+0.00110315j 0.00430413-4.00459e-05j -0.00249586+0.00567241j 0.000455424-0.00479907j -0.00588533-0.00658331j -0.00263623-0.00401795j -0.000321746+0.00183974j -0.00213205-0.00297206j 0.00210821+0.00148594j 0.00274392-0.000436609j 0.00340107+0.00029567j -0.00152984+0.00397752j -0.000378391+0.0047194j 0.000300672-0.00410487j -0.00248807-0.00636555j -0.000104047+0.0017048j -0.000715582-0.00262673j 0.000733514+0.00449858j -0.00680094-0.0015438j 0.00627341+0.0026678j 0.00304665-0.00159212j 0.000905504-0.00317745j -0.00100739-4.97019e-05j -0.00514401-0.00358215j 0.00885634+0.00458417j 0.000433104-0.00207103j 0.00156779-0.00108791j -0.000437793-0.00282435j -0.000225482+0.000752044j 0.00182835-0.000150721j -0.00505379+0.00461856j 0.00563021+0.00138937j -0.000218709-0.00634215j 0.00596877+0.00274711j -0.000936406-0.00196259j 0.000748765-0.00118413j 0.000324223-0.00211054j 0.00277084+0.000799102j 0.00245129-0.00197653j -0.00162724-0.000375959j -0.00253151-0.00243589j -0.000484039+0.00241403j 0.00112754+0.00180605j -0.00146804+0.00155706j -0.000287621-0.000922054j 
-0.00111919-0.00247123j -0.00265131+0.00164492j 0.000181772+0.0010236j -0.000776416-0.00712633j -0.00429744+0.00583061j -0.00169066+0.00683412j -2.52627e-06-0.00117417j 0.00216035+0.000184887j -0.000751596+0.00431239j -0.000844785+0.00178827j 0.00243742-0.0117084j 0.000737592+0.0101554j -0.0125596+0.00275367j -0.00255144-0.008605j -0.0102569+0.00252406j -0.007809+0.00903558j 0.0193274+0.00607923j -0.00965451-0.00448647j 0.00721011+0.0156867j -0.000965624-0.00157614j -0.00708131+0.00374571j -0.00289815+0.00904054j -0.000471477+0.00818145j -0.000727505-0.00726535j -0.00541276-0.00632549j -0.0104714+0.00470984j 0.00749919-0.000953415j -0.000923711+0.00593491j -0.000386211+0.00780456j -0.0148398+0.0024898j 0.00659541+0.00418423j -0.00142101+0.00661266j -0.00118127-0.00350878j 0.0023807-0.00294994j 0.00402102+0.00583108j 0.00254109+0.00698417j 0.012448-0.00406456j -0.00235143-0.00263836j -0.00212556-0.000706196j 0.00600274-0.00650245j -0.00111596-0.00639079j 0.00817822-0.00458737j 0.0039341-0.00779821j 0.00210434-0.00660187j 0.00300175-0.00160241j 0.00627369-0.0105752j -0.00161368-0.00269959j 0.0045335-0.00748216j -0.000404383-0.0115864j -0.00678921+0.000847612j 0.0012107+0.00159724j -0.000742518+0.00325682j -0.000209925+0.000874393j -0.000785874-0.000337503j -0.00544796-0.00607855j -0.00471641+0.00104296j -0.00138258-0.00298174j -0.00522925+0.000580087j 0.00112482-0.00613376j 7.89651e-05+0.00167542j -0.00343929+0.00199711j 0.00018078-0.00514783j -0.00115023-0.00261904j -0.0014966+0.00418624j 0.00274782-0.00282999j -0.00201365+0.000455807j -8.45717e-05-0.00235088j 0.00559779-0.00314601j -2.43968e-05-0.000719438j -0.00165816-0.00232464j 0.00402844+0.00181449j -0.00112017-0.00317207j -0.000904675-0.00373895j 0.000709093+0.00163035j -0.0027297+0.00584837j 0.00101156+0.00655131j -0.00429559-0.00470879j -0.00436463+0.000632378j 0.00266312-0.00361269j 0.00298113+0.00354462j -0.00500094+0.00349853j 0.000869201-0.00126085j 0.00366013+0.0022195j 0.00432145-0.0124276j 0.00412589-0.00379043j 0.00190936-0.00130197j -0.00400344+0.000546213j -0.00035294-0.00288329j -0.000215689+0.000352019j 0.000306271-0.00377203j -0.00395069-0.00139712j 0.00336127+7.60719e-05j 0.000271951-0.00152757j -0.00380127-0.00352461j 0.00144839+0.00241503j 0.000351277-0.000277201j 0.00274776-0.000948741j 
-0.0061256+0.000579128j 2.44934e-05-0.00112511j -0.00153994-0.00138348j -0.00162227+0.00236292j 0.00133559+0.00130542j -0.00363429-0.00481677j 0.00125799-0.00428701j 0.00197129+1.97617e-06j -0.0023534-0.000400635j 0.000296521-0.00429516j 0.00230142-0.0057609j 0.00476996+0.00409278j 0.00415095+0.0114029j 0.00171567-0.00970215j 0.00918837+0.00386866j -0.00283916+0.00996859j 0.000933127-6.30442e-05j 0.00179067+0.00115159j 0.0037488+0.00886889j -0.00473943-0.00645829j 0.00153315+0.00223607j -0.00537694+0.000761709j 0.00162417+0.00843209j -0.00503772+0.00256586j -0.0114593-0.00665671j 0.00530721+0.0109696j -0.00365953-0.00330518j -0.00523637-0.00551045j 0.00417623+0.0047451j 0.00821717+0.00341612j -0.00606695-0.00131065j 0.00100962+0.00312959j 0.00899259-0.00142901j -0.00013705+0.00839586j -3.51867e-05+1.99614e-05j -0.00570123+0.00841339j 0.00806284-0.00318001j 0.00563445+0.00335435j -0.00105601-0.00457759j 0.00108266-0.000566076j 0.00794909-0.00306625j -0.00412841-0.00156251j 0.00596854-0.00318932j -0.00623262-0.00300193j -0.000294224+8.37213e-05j 0.00364294-0.00469656j -0.00435831+0.00136368j 0.00158528-0.012343j -0.000989489-0.00609291j 0.00503469+0.0102897j 0.000940879+0.00222031j 0.00378705+0.00552279j 0.00127576+0.00209993j 0.00132895-0.00222191j 0.00482152+0.00145573j 0.00105714+0.000259574j -0.00176139-0.000649752j 0.00294106-0.00180151j -0.00372177+0.00190203j 0.00393834+0.00452838j 0.00133151-0.00800391j 0.00390561+0.000916651j 0.00104799+0.000226576j 0.000583573-0.000919651j -0.00204972-0.00109232j 0.00172317-0.0132297j -0.00192313-0.00421822j -0.00208842+0.0028052j -0.00229448+0.00275116j 0.00596695-0.00087829j 0.0044203-0.00174457j -0.00644999-0.00201841j -0.0038793+0.000574174j 0.00429918+0.0053783j 0.00442715-0.00623738j 0.00848991+0.00536646j 0.0040212-2.66499e-05j 0.00260464+0.000655816j -0.00527539+0.00144161j -0.00228756-0.00109542j 0.00538677+0.0064788j 0.00200852-0.00272882j -0.00249158+0.000335154j 0.00542961-0.00397845j -0.00778864-0.000864385j 0.00272282+0.0041693j -0.000659858+0.00170343j -0.00464718+0.00219189j 0.00286388+0.00586223j -0.00442086-0.000576524j 0.00100532-1.96402e-05j -0.000927174+0.00315251j -0.00139367-0.00555349j 0.00145363+0.0008982j -0.00585395-0.000554037j -0.0017486-0.0014951j 0.00274208+0.000595848j 
