-0.000853656-0.00059531j -2.78164e-05+0.00396601j -0.0013007-0.00335317j -0.000229412+0.00311984j 0.00427486+0.000304893j 0.00664934-0.000829008j 0.000790189+0.00796467j 0.0072156+0.0046584j 0.00799736-0.00480901j -0.00631527+0.000772675j 0.00955428-0.00444443j -0.00472487-0.00603602j -0.00963802-0.00125685j -0.00475195+0.01423j 0.0112118+0.00946546j -0.00378284+0.00515874j 0.00976444+0.0027734j 0.00371148-0.00892158j 0.00045063-1.93462e-05j -0.00158692-0.000646949j -0.0160818+0.00172761j 0.00848755-0.00163262j -0.00388123-0.00790867j -0.000244978+0.000853504j -0.00040122+0.000778131j 0.00342573-0.00111193j -0.00746442+0.0036824j 0.00659725-0.0123004j -0.0192357-0.000965369j -0.00533143+0.00696101j 0.00320307-0.00217497j 0.00159954+0.000216004j -0.0181007+0.00629886j -0.00667165+0.0246054j -0.000751681+0.0256795j -0.0047927-0.0014953j 0.000574505+0.0143628j -0.0223113-0.0320389j -0.029399-0.0130488j -0.028862+0.0229765j 
-0.00115831-0.000160521j 0.00460745-0.000292664j -0.000447241+0.0107373j 0.00354094-0.00148498j -0.00799075-0.0035897j -0.00528902-0.00324995j -0.0157609+0.00144159j -0.00196867+0.00721315j -0.000274311+0.024933j 0.013459-0.00151089j 0.00600476+0.00491779j 0.0106218+0.00308038j 0.00748858-0.000140481j -0.00392324-0.00305564j 0.000753491+0.00221329j 0.0127987+0.0179593j 0.0402933-0.0264458j 0.0187746-0.00534457j 0.000828036-0.00156316j 0.000154292-0.0051271j 0.020694+0.0241418j 0.031915+0.0428393j -0.00850858-0.002355j -0.00109005+0.00091712j -0.00152453+0.00253393j 0.00171252+0.000654761j -0.00488735-0.00596939j -0.0313923+0.00922896j 0.00441071-0.000668097j -0.0101471+0.0244134j -0.000383502-0.00131394j 0.00360641-0.0033697j 0.00615169-0.0105417j -0.00289781+0.0153987j 0.015046-0.0117993j -0.00615728+0.00870918j 0.00448121-0.0023515j 0.00161175-0.00911892j -0.00315792+0.0122212j -0.00507612+0.00652164j 
-0.00411621-0.00134305j 0.00177592+0.00226066j -0.0126695+0.00178893j 0.0132545-0.000382607j 0.0121332+0.00175757j 0.00419813+0.0130775j 0.00793578+0.00449523j 0.0153111+0.00802039j -0.0032115-0.00572227j 0.00127846+0.0052379j 0.0128781+0.000713522j -0.020302-0.0136903j -0.0064593+0.00188501j -0.00141484+0.00971167j -0.0168397-0.0103323j 0.00745494+0.000848531j 0.0016663-0.0113835j -0.00499298-0.0040386j 0.000597126+0.0013644j -9.72548e-05-0.00141212j 0.00641669+0.0085404j 0.00462309-0.00309415j -0.0071001-0.000965726j 0.00140472+0.00137964j -0.00144395+0.00178241j 0.000685658-0.00200238j 0.00303458+0.00939397j -0.00814855+2.71068e-05j -0.0183596-0.0148464j 0.00331723+0.000694329j 0.00481609-0.00120597j 0.00384739-0.00264111j -0.0146844+0.00590017j -0.00489407+0.0149691j 0.00242349+0.00569409j 0.003588-0.0116102j 0.000325076+0.00459845j 0.00588134+0.00110225j -0.0148138+0.0169772j 0.0138687-0.00656456j 
0.000579332-0.000136648j -4.08646e-05+0.000320125j -0.0120674+0.00347977j 0.000451414-0.00919907j 0.00585386+0.00629911j 0.00501561+0.00713446j 0.0194523+0.0164247j 0.0119093+0.00117029j -0.00175536-0.00085238j 0.00490041+0.00176817j 0.00242841-0.000160674j 0.00492839+0.005637j 0.012695+0.00395975j -0.00633152-0.00489237j -0.0100184+0.00161381j 0.0029769+0.0153162j 0.0108261+0.00403867j 0.00241809-0.00861953j 0.0031527+0.0152421j -0.00320129+0.0027907j -0.0104872-0.000701233j 0.00257905+0.00177759j -0.00107292-0.00557453j 0.00979663-0.00253803j -0.00248964-0.00607898j 0.00458423-0.00685498j -0.00412684-0.00170471j 0.00383472+0.00310311j 0.0049212+0.00848248j -0.00798336+0.0036879j -0.00666679+0.0017931j 0.00179967+0.0109684j 0.00592442+0.00125825j -0.00518602-0.000603002j -0.0106792-0.00968465j -0.00199322+0.00101181j 0.00966476-0.0108315j -0.00197568+0.00473932j 0.0191542-0.00716684j 0.00538381-0.0112767j 
-0.00770603+0.0203464j 0.00204427-0.00250933j 0.00203583+0.00037462j 0.0116622-0.0038917j 0.00292423-0.00580868j 0.00111871+0.00530531j -0.0129649-0.00804984j -0.0216629-0.00434283j 0.00282289+0.00596172j 0.00890903+0.00213631j 0.00398744+0.00557198j -0.00882845-0.00570996j -0.0165496-0.00176168j 0.0135123+0.00630983j 0.00201323-0.00631772j -0.00627791-0.00200857j -0.00203832-0.000196351j 0.00405309+0.0115775j 0.00775654+0.0154896j -0.000154075-0.000683187j 0.0107104+0.00157006j -0.00677196+0.00153811j 0.0108806+0.0145666j 0.0101244-0.00225192j -0.00459766+0.00360841j -0.00114696-0.00586203j 0.0163938-0.00477351j -0.00556935+0.00817115j -0.0127982-0.0145969j 0.00586057-0.010152j -0.000204432-0.0128222j 0.00714307-0.00536291j -0.0108339-0.00116927j 0.00825445-0.00576719j -0.00661727+0.0138533j 0.00297402-0.0104308j 0.0113473-0.00181627j 0.0222493-0.00596417j -0.00411738+0.0145926j 0.00174918-0.012468j 
-0.00437741+0.015507j 0.00132985-0.00218251j -0.00258765-0.000157468j 0.0174277-0.00605677j 0.00521101-0.00891741j 0.00547871+0.0150619j -0.00202146-0.00125267j 0.0112833+0.00235847j -0.00412827+0.000344757j -0.00369501-0.00549569j -0.000773478+0.000427483j -0.00893574+0.0045671j 0.00720363+0.000805813j -0.00675653-0.00544944j -0.0185083+0.0038101j 0.00239014-0.00139376j -0.000211113+0.00849713j -0.00162525-0.00880613j -0.00767615-0.0168701j 0.000869798+0.00106738j -0.00530787+0.00149269j 0.00339535+0.00346397j 0.00676264+0.00167432j -0.0102763-0.00135815j 0.00697045-0.00665015j -0.00346555+0.00765675j -0.00500643+0.00121263j 0.00276548+0.00295341j 0.0336347+0.0131711j -0.00666537+0.00509291j -0.00156921+0.00864729j -0.00628516-0.00106701j 0.0130936-0.00380823j 0.00259388-0.0121513j -0.00165787-0.0115077j 0.00189831+0.0173562j -0.0184403+0.00010121j -0.0217046+0.00788648j -0.000490616-0.0221547j -0.00883709+0.0229325j 
-0.000706472+0.00579558j -0.000607139-0.000893862j 0.0175252-0.0141169j 0.0204125+0.00135356j -0.00578516-0.0196509j 0.00580378+0.00749299j 0.00412525+0.000967952j -0.00286638-0.00233985j 0.000272857+0.00219308j 0.00676971+0.00120346j 0.00430773+0.00336197j -0.00313043-0.000383205j -0.00315998-0.00114325j 0.00331668+0.00222758j -0.00275123-0.000543783j 0.00154185+0.0123022j 0.0118546+0.0020423j -0.000434252-0.00213653j -0.0155799-0.0190371j -0.00017293+0.00749736j -0.00127158+0.00344006j -0.00219525-0.00188464j 0.00156398+0.00535798j -0.012681+0.00575296j 0.0072696-0.00697621j -0.0018989+0.0113942j 0.0072315+0.00342428j 0.000943623+0.0051278j -0.0110176-0.00104173j 0.00078196-0.00291742j 0.00761132+0.0031717j -0.0065617-0.00573295j -0.0040169+0.00489408j 0.00717222-0.000426531j -0.000258243-0.00502802j 0.00226187-0.00733258j -0.0170374+0.0140788j 0.0052409+0.00112996j 0.00946663+0.000594466j 0.00318065-0.0132794j 
3.31519e-05-0.00330872j 0.000423245-0.000652784j -0.00661618+0.00627267j 0.00992198-0.0127859j 0.0105981-0.00650048j 0.0189066+0.0165761j -0.000393526-0.000587706j 0.00552685+0.00772418j -0.00302188-0.0033742j -0.0120387+0.00260124j -0.0180066-0.00154081j 0.0308704-0.00575278j 0.0155262+0.00174848j -0.00740017-0.000372037j 0.0341198-0.00828931j -0.00557048-0.00659925j -0.00930624-0.0057315j 0.00423035+0.0135771j -0.00794813-0.0123777j 0.000887386-0.003181j 0.00441932-0.0113063j -0.00395711+0.00126979j -0.0178076-0.0124857j -0.00842786+0.00908708j 0.000910504+0.00880901j 0.00283961+0.00681413j -0.0138144-0.00291565j 0.00214603-0.0120754j -0.00836154+0.00381479j 0.00643463+0.00119095j 0.005214+0.00711096j -0.00481739+0.00331894j 0.0138454-0.00195472j -0.0130868+0.0130266j 0.0116918-0.012403j -0.00553816+0.00315886j -0.00360057+0.00463952j 0.000418038+0.00293258j 0.00503434-0.00221213j 0.000523995-0.00359051j 
0.00370105+0.039249j -0.00117226+0.00114286j -0.00442028+0.00969318j -0.0149169+0.00101466j 0.0086803+0.0117115j -0.000391122-0.00133321j 0.0225661+0.00762027j -0.0139859-0.0018419j 0.00780859+2.44443e-05j 0.0143704+0.0010725j 0.00711351+0.0022055j 0.0152637+0.000866429j 0.000788033-0.00208169j -4.87369e-05-0.000556439j 0.005304-5.91264e-05j -0.00148064+0.00373535j 0.00295907-0.000366967j -0.000503842-0.0065583j -0.00626293-0.00540992j -0.00041459+0.0022156j -0.00470002+0.00560642j 0.00222769-0.00304492j 0.00841389+0.00133028j -0.0045129+0.00118189j 0.001395-0.00450354j 0.00010782+0.00404175j 0.00177782+0.000783871j -0.00144435+0.000858752j -0.00223061+0.00010752j -0.00392437+0.00180694j 0.0023716-0.000727073j -0.0033692-0.00385279j -0.00796277+0.00119263j 0.00446776-0.00484212j 0.00709318+0.00128329j 7.16274e-05-0.00218887j -0.002165+0.00738418j -0.00294569-0.00477312j -0.000457748+0.00356402j 0.000133812+0.00340259j 
0.00337935+0.0267929j -0.000921705+0.000205933j 0.011186-0.0164337j 0.00168033+0.0119552j -0.0154816-0.00407611j -0.00895877-0.00801484j -0.0156941-0.00146237j 0.0263919+0.000372235j -0.00798728-0.00357407j -0.0242873+0.00116218j -0.0156673-0.00352357j 0.000251017-0.00260872j 0.0112709-0.00214766j -0.00881625-0.000689798j 0.00731706-0.000259515j 0.00687047+0.000493762j -5.2837e-05-0.00461122j 0.00104015+0.00196925j 0.00823799+0.00624694j -7.25216e-05-0.00190499j -0.00470743-0.00961987j 0.00130643+0.000370899j -0.0260258-0.0143287j 0.00561982+0.000485937j -0.00205893+0.00754979j 0.00329417-0.00648889j -0.0160918+0.00210408j 0.0045106-0.0139351j -0.00574215+0.00429877j 0.00617767+0.00282528j -0.00207391+0.00691115j 0.00404428+0.0120401j 0.0117059-0.00284733j -0.0137666+0.020367j -0.00305731-0.00648922j -0.00297063+0.00199621j 0.00644071-0.0110016j 9.32831e-05+0.00735402j 0.00478098-0.0041046j 0.00469673-0.00858281j 
-0.0013505-0.00514792j 0.000579329+0.000249273j -0.0027759+0.00374935j -0.0149248+0.0128085j -0.000244464+0.0156123j -0.0160576-0.0103355j -0.000626433+0.00179467j 0.00298257-0.000112507j -0.00372903+0.00253558j 0.0001878+0.00127644j -0.000968244+0.000498795j 0.000828429+0.00133126j 0.00368758-0.000347031j -0.00242689+0.000154537j 0.00158541+8.4277e-05j 0.00314051+0.0118358j 0.00927969-0.000837104j 0.000814289+0.00174579j -0.0191139-0.0197653j 0.000399578+0.0078583j -0.000430006-0.00228842j -0.00475516-0.00341297j -0.00644925+0.000441194j -0.0138407+0.00968221j 0.00748582-0.00527906j 0.000588517+0.0123309j 0.00226524+0.00548318j 0.00519172+0.000730174j -0.0114002+0.00290494j 0.00380374-0.00243307j 0.00929009+0.00541023j -0.00980786-0.00252295j 0.000193333+0.00537058j 0.00361323+0.00336135j 0.000140396-0.00923325j 0.000929208-0.00537672j -0.0156747+0.0167993j 0.00147057+0.00350972j 0.00974782-0.0024812j 0.00279133-0.0116569j 
0.00157938+0.00398102j 0.000220777+0.000915343j -0.00378564+0.011792j -0.0078292+0.000304364j 0.00950754+0.00291326j -0.00166148-0.00140453j -0.0209548+0.0033039j -0.00525225+0.00599684j 0.00432528-0.0103401j -0.0115581+0.000516591j -0.00544806-0.00443753j -0.0151822+0.0043331j -0.0181746+0.00671981j 0.00996476-0.00562396j -0.0016222+0.00091231j -0.0103086-0.0274459j -0.00416173+0.0188255j -0.0312258-0.0160889j -0.0198056-0.00949345j 0.00254389-0.0150525j -0.0100075+0.0129269j 0.0193055+0.00651611j -0.00466155-0.00343016j -0.0101914+0.0055483j -0.000439994-0.013945j 0.00375388+0.00907124j 0.00452476+0.00658998j -0.0124845+0.00835474j 0.0133362+0.00157463j -0.0227707+0.0183768j 0.00926581+0.00605436j -0.0068077+0.00179804j 0.00898727-0.000886241j -0.00233703-0.000586801j -0.00272848-0.0132944j 0.00228909+0.00219896j -0.0130478+0.0175205j -0.00134582+0.00908161j 0.00251283-0.0119863j 0.000144415-0.000735509j 
-0.00663491-0.00638605j -0.00189493-0.00284845j 0.0117195-0.0204128j 0.00739905-0.00258871j -0.012851-0.00639728j 0.00215158+0.00154113j 0.0118056+0.0031198j -0.0219305+0.00300707j 0.0132598-0.00580452j 0.00964826-0.0063717j 0.00450282+0.00116599j 0.0114307-0.000929858j -0.00912097-0.000509979j 0.00516958-0.00601296j 0.00687267+0.0013476j -0.00384526+0.000992605j 0.014611+0.0105711j -0.0196598-0.0204078j -0.0011166+0.000746366j -0.00220069-0.00294368j -0.0162868+0.0185392j 0.0177413-0.00177344j 0.00618412-0.00384832j -0.00264682-0.00534659j -0.0041058-0.0115819j 0.000106192+0.000260693j 0.00278245+7.6549e-06j -0.00467002+0.00687338j 0.00486795+0.000347557j -0.0153953+0.0192291j 0.000248742+0.00274302j 0.000235403+0.000909464j -0.00283399+0.000107534j 0.00300798-0.00396283j 1.80814e-05-5.45351e-05j 0.00197792-0.00136786j -0.00201061+0.00262172j -0.00424704+0.00161654j 0.00552034-0.00597115j 0.0024891-0.000710871j 
0.000979133+0.00105121j 4.4104e-05+0.000159936j -0.00420481+0.0111808j -0.00431255-0.00786721j 0.00783702-0.00136069j 0.00998168+0.00246417j -0.0108058+0.00527617j -0.0107535+0.00766484j 0.00280404-0.00266064j -0.00526618+0.000600369j -0.00560391+0.00455783j 0.000763528-0.00443321j -0.00845009+0.00240017j 0.00520958-0.00360139j 0.0101491-0.004468j 0.00355881+0.00599378j 0.00930122+0.00322464j -0.0146272-0.00489511j 0.0156483+0.00567338j -0.00232759+0.00393757j -0.0106547+0.00420923j 0.00130651-0.0108922j -0.00857348-0.000210474j 0.00317616-0.0109787j -0.00508386-0.00245009j -0.00433882-0.0082262j 0.00437571+0.004486j 0.00962437+0.0033192j -0.00544176+0.00439977j -0.000548744+0.00694255j -0.00288481+0.00400073j 0.00681799+0.00347592j 0.00120227+0.0065497j 0.00789703+0.00128799j -0.0128223+0.00798397j 0.00256116-0.00521181j -0.000180045-0.0115882j -0.000864696+0.00787282j 0.0120392-0.0121743j 0.00290504-0.0133861j 
-0.000141819+0.0019406j -0.00081853+0.00190865j -0.0039771-0.0127277j 0.00212327+0.00391896j -0.00773589+0.00338576j -0.00371256-0.00230547j 0.0270463-0.0115267j 0.0046664+0.000148235j -0.00394007-0.0110678j 0.00936011-0.000803433j 0.00686945-0.00796291j 0.00655357-0.00401624j 0.00518681+0.00192952j -0.0041412+0.00190978j -0.00354961-0.00263114j -0.0225977-0.0216993j -0.0191437+0.0169007j -0.0196623+0.00524378j -8.88192e-05+0.00021838j -0.00725122-0.0120613j 0.00146355+0.00201591j 0.0063675-0.00741817j -0.00418223-0.00244744j -0.00149004-0.000291249j -0.00374754+0.000944096j 0.000217986-0.00143458j 0.00150414+0.00351571j -0.00472925+0.0094296j -0.000164941-0.000916682j -0.00983955+0.0149763j 0.00230326+0.000417739j 0.00235906-0.000727055j 0.00372229+0.000602947j -0.0059789+0.00899602j 0.00214993-0.00400202j -0.00365401+0.000500892j -0.000405654+0.00065991j 0.00258298+0.000502466j -0.00344537+0.00233055j -0.000430784-0.00341839j 
