-0.00440402+0.00545895j -0.00575605-0.00496718j -0.00646752-0.00304363j 0.00309148-0.00604037j 0.00255875+0.00161326j -0.00344811-0.00287992j 0.00268652-0.00522046j 0.00548527+0.00135885j 0.00084318-0.00274815j -0.00084343+0.00109742j -0.000438741-0.00492668j 0.00388746+0.00165236j -0.00240048+0.00179822j -0.00406846-0.00117104j 0.00240584-0.00303581j -0.00241042+0.00207447j -0.00277407-0.000644671j 0.00136144+0.00333344j -0.00267749-0.000474905j -0.00144734-0.00469003j -0.000827846+0.00213078j 0.000686617-0.000750758j 0.00499457+0.00126169j 0.000543543-0.00245946j -0.000583708-0.000802635j 0.00350138-0.00259281j -0.000885383-0.00191226j -0.000306303-0.0014419j -0.00458999+0.000975381j -0.000126314-0.00108955j -0.0010218+0.00347194j 0.00225344+0.00126057j 0.00119508-0.00172393j -0.000544357+0.00150093j 0.000252368+0.00239704j 0.000181825+0.00233732j -0.000942022+0.00151276j 0.000691985+0.0020121j 0.00100311+0.000186402j 0.0033383-0.00116302j -5.14254e-05+2.86135e-05j 0.00152958-0.00224245j 0.00109832+0.000694142j -0.00252372+0.000656008j 0.00324162-0.000507134j -0.00106847-0.00264313j -0.000546885+0.00235203j -0.00291762-0.00310565j -0.00406703-0.000332354j 0.00317523-0.00874175j 0.0113265+0.00315653j 0.00200007+0.0053768j -0.00471367+0.00991144j 0.00978663+0.0019567j 0.018621+0.0154513j 0.014988-0.0179281j 
-0.0004916-0.00157689j -0.0018286-0.00719041j 0.00350362-0.00761734j 0.00089688+0.00326055j -0.00221867+0.000498803j -0.00482773-0.000210253j 0.00117148-0.00261369j 0.00199337+0.00498593j 0.00150427-0.00411466j -0.00119177+0.000347177j 0.00115861-0.00298693j -0.000850782+0.00541897j 0.00163042+0.000319855j -0.00397688-0.00803895j 0.00157493+0.00138881j 0.00120155-0.00158288j -0.0014002-0.000125434j 0.00334378+0.0119165j -0.00135913+0.00156873j 0.000178194-0.000220187j -0.000719914+0.00219612j 0.000168614-0.00429105j -0.000703308-0.00776816j 0.00115549+0.000787191j 0.000832873-0.00204618j 0.00416965+0.00518447j 0.00710957+0.0042196j -0.00264116+0.00459069j -0.00721027-0.00609594j 0.00873023-0.00331328j -0.000689773-0.00573109j -0.00410132+0.00641956j 0.000817937+0.00287793j 0.00424632-0.00813439j -0.00705741-0.00380149j -0.00695071+0.00020312j 0.00470633+0.015328j 0.000382733-0.00979415j 0.0107002+0.00132574j 0.00442031+1.71554e-05j -0.00107901+0.00918361j -0.00267343+0.0060422j 0.00167095-0.000967349j 0.00299895+0.00125354j -0.0167507+0.00211476j 0.000329462-0.00652129j -0.00365541+0.00772154j 0.0146375-0.00131637j 0.00278764+0.0030712j 0.0038913+0.00271355j 0.00442093+0.00645448j -0.00197155-0.00797709j 0.00403855-0.000176264j 0.00352709+0.00330554j -0.0057748-0.00688739j 0.000689278+0.00357714j 
0.00126698+0.00131343j -0.00116768-0.00222734j -0.0025504+0.0067027j -0.00238244-0.00156023j 0.00106582-0.00237671j -0.00629671-0.00210919j 0.000380388+0.00247009j -0.00296121+0.00272142j -0.000318655+0.000764899j -0.000815623-0.00319063j 0.00142983-0.0034449j -0.00058056-0.000156925j -0.000506611+0.00413566j 0.000691411-0.000361045j 0.000173195-0.000472632j 0.0024394-0.00108474j 0.00741538+0.0128599j 0.00455292+0.00624183j -0.00519753-0.00510879j 0.00237075-0.00162362j -0.00373839-0.00295538j -0.00311892+0.00670237j -0.00143813-0.00371572j 0.0014817+0.00564032j 0.00170557+0.00375678j 0.00248416+0.000306542j 0.00290879+0.00857371j -0.00167324+0.000362203j -0.0061106+0.00736617j 0.00785307-0.00789506j -0.00283901+0.0050518j -0.00356108+0.00384726j 0.00236919-0.00627063j 0.00947237+0.00107006j 0.00440267+0.0012011j -0.00153432-0.000880433j 0.00220636+0.0128922j 0.00279573+0.007115j 0.00900646-0.00806894j 0.00153162-0.0121346j 0.00403167+0.00716155j -0.00613113+0.00449255j -0.00217941-0.0078788j -0.00229338-0.00952962j -0.000221991+0.00112276j 0.00274314-0.00346552j 0.000896187+0.00208104j -0.00690433-0.0144384j 0.00432933-0.000512699j -0.000652663-0.000272838j 0.00362124-0.00332243j 0.00379459+0.0029171j -0.00364588+0.000263961j 0.00653223+0.0022399j -0.00318044+0.00272518j 0.00175702-0.000533479j 
0.00262588+0.000271471j 0.00160916-0.00284518j -0.000618212+0.000565583j 0.00184465-0.000184916j 0.000373825-0.00340483j 0.00252452-0.00395843j -0.00208056-0.00121288j -0.00101061+0.000511731j -0.00223105-0.00269795j -0.000830845-0.00177352j 0.00155046+0.000698932j 0.00428549-0.00813051j 0.000138469-0.00428741j -4.28949e-05+0.0037755j 0.0010257+0.00626178j -0.000795852+0.00304199j -0.00108286-0.00316831j -0.00320007-0.00516453j -0.000121492-0.000663255j -0.00513521+0.00690349j 0.00537609+0.011847j -0.00240997+0.000862305j -0.00118175+0.00372716j -0.00318036-0.00656117j -0.00268646-0.00710249j 0.000651652+0.000799707j 0.000404977-0.010926j -0.00191628+0.0071652j -0.00426705-0.00274894j -0.000906975+0.00326659j -0.00159519+0.0110036j -0.00267532+0.000964949j 0.00995232-0.00867531j -6.11819e-05+0.00192506j 0.00113579+0.00187266j -0.00182614-0.00847328j 0.00507305+0.000708614j -0.00743164-0.00113642j 0.0114284+0.00227814j 0.00199862+0.00389716j -0.000292671+0.00546736j 0.00831934+0.000787406j -0.000640439-0.0134226j 0.00359404+0.0126143j -0.000637722-0.0115078j 0.00142869+0.00138764j 0.00448591-0.00178868j 0.00163707-0.00724697j 0.0010402-0.00643737j -0.00433481+0.00182104j -0.00219501+5.41858e-05j 0.000902532+0.00336814j 0.00707903-0.000182641j 0.00288472+0.00139959j -0.00196717+0.00141715j 0.000815421+0.0003588j 
0.00270923+0.00020048j 0.00193306+0.00534282j 0.000909189-0.00121687j -0.000886142-0.00262057j -0.00551054+0.00585096j -0.00174659+0.0028644j -0.00190575+0.00729072j -0.00143495-0.00562866j -0.00038063-0.000785758j 0.00452733-0.0067318j -4.5322e-05+0.00588483j -0.00301386-0.00183063j -0.00487639-0.00276892j 0.00614756-0.00214596j -0.00277674-0.00637101j 0.00580384-0.00658818j 0.000390394-0.010525j -0.000354572-0.00711784j -0.000329519+0.0060326j -0.00343833-0.00475996j -0.000976093-0.00151635j -0.00343985-0.0024951j -0.00927504-0.00544921j -1.40752e-06-9.21363e-05j -0.000276055+0.00280825j -0.000194592-0.0104865j 0.00151546-0.00518858j -0.00198669-0.00182231j -0.0058933+0.0022583j 0.000614141+0.00252642j 0.00162237-0.00837359j -0.00142842+0.00478634j 0.00492316+0.0058325j 2.85554e-05+0.00377573j 0.00397606+0.000344335j 0.00959848-0.00129942j 0.00216075+0.00501655j -0.0057239+0.00462478j 0.00612705+0.00925474j 0.00373569-0.0068011j 0.00120627-0.000127253j 0.00569323+0.00469179j -0.00399309+0.00632282j 0.0123223-0.0061177j 0.00512457-0.00212488j -0.0134843+0.000335388j 0.00778054+0.00861578j 0.00128197-0.000195449j 0.00111212+0.0105492j -0.00935452-0.0100977j -0.00226674-0.00269878j 0.00245357+0.000343365j -0.00177476-0.00517947j -0.00193381-0.00774116j -0.00204369-0.00114727j 0.00297094-0.00609858j 
-0.0051444+0.00248381j -0.00316856+0.00135719j -0.00208877-0.000531963j -0.000595999-0.0030444j 0.00343356+0.00419974j 7.48384e-05-0.00135798j -0.00154635-3.62918e-06j -0.00215943+0.00123764j 0.000513158-0.00330851j -0.00279325+0.00428333j 0.00146779+0.00228693j 0.00430839+0.00236229j 0.00471901+0.00302607j -0.000269057+0.00643391j 0.00263745-0.00287932j -0.00513931+0.00471941j -8.32134e-05+0.00420701j 0.00457642+0.00596326j 0.00623935-0.000511213j 0.00690744-0.000419233j -0.00267699-0.00409438j -0.000422232+0.00159147j 0.00340566+0.000108016j 0.00082525+0.00168967j 0.00271649-0.0018606j -0.00374838+0.00663837j 0.00359419+0.00646207j 0.00257208-0.00198334j -0.00185619-2.82931e-05j 0.0015022-0.0013036j -0.00730626+0.000335786j 0.00222464+0.00216916j 0.00722097+0.00670613j -0.00165735+0.0105304j 0.00563881-0.00088236j -0.00514764-0.00776209j -0.0048815-0.000181036j -0.00906766-0.00145499j 0.00857939+0.00287904j -0.00330389+0.00892303j -0.00907319+0.00504953j 0.01183+0.00456943j -0.00483001-0.00394609j 0.000708288-8.02884e-05j 0.00909518-0.00115708j -0.00334137+0.00967247j 0.00271222+0.000812349j 0.00856234+0.0144737j -0.00436927-2.22576e-05j 0.00424332-0.00819001j -0.00181722-0.00270548j -0.00598253+0.00322611j 0.000962183-0.00113227j -0.00158019-0.00419637j -0.00542666+0.00424186j -0.00183697-0.00358846j 
-0.000905638-0.00234088j -0.00184899+0.000418369j 0.00142868-0.00467667j -0.00157003-0.00178232j -0.00153152+0.000891069j -0.000805134+0.000120874j 0.00483602-0.00484067j -0.000121636-0.00618653j -0.00158932+0.00254712j -0.00456248+0.00999552j -0.000567433-0.00154187j -0.00350104+0.000708494j -0.00263909-0.00227633j 0.00142007+0.0020553j -2.48872e-05-0.00128128j 0.00112034-0.000227419j -0.0012338-0.00847121j 0.00391636-0.00717258j 0.000152591+0.00529626j -0.000489725-0.0022466j -0.0101074+0.00401065j -0.00351248-0.0031127j 0.00230338+0.00148331j 0.0024946-0.00428709j 0.00425777+0.00775647j 0.0035551+0.00694428j 0.00549163-0.0109328j -0.00370943+0.00166328j 0.00464864-0.00938029j 0.00296144+0.00125152j -0.00843323-0.00711324j 0.00218465+0.00327621j -0.00381526-0.00826339j 0.00319587+0.00262005j 0.00394283-0.00929727j 0.00990259+0.00563671j -0.00703595-0.00682531j -0.000885352+0.0048011j 0.0054535-0.0117253j -0.00411684+0.00850049j -0.00621847-0.00431181j -0.00308868-0.0126645j 0.00195308-0.00920337j -0.00143795-0.00928179j -0.00394256+0.00637259j 0.00425183+0.00534641j -0.00271215-0.00950352j -0.00453852+0.00264182j 0.000270878+0.010201j 0.00454195+0.00397518j -0.00354238+0.0036644j -0.00594134-0.00180887j -0.00228443-0.00469572j 0.00367056-0.00177089j -0.00352774-0.0011809j 0.00172662-0.00216752j 
0.00224738+0.00314331j -0.00159205-0.0048552j 0.000307792+0.00315166j 0.0010554-0.00359076j 0.00117832-0.00319575j -0.000706457-0.00188955j -0.00121795-0.000932019j 0.00513481-0.0045182j -0.00308498+0.000665536j 0.00458932-0.00155592j -0.000247981-0.00129868j -0.001474+0.000233226j 0.000366872-0.00330295j -0.000462919-0.00904479j -0.00280826+0.00521283j 0.00540426+0.00542336j 0.00160595+9.69137e-05j 0.0010909-0.00426453j 0.000649736-0.00069139j 0.000402253+0.00661882j -0.00890141+0.000983673j -0.000613065+0.00193964j 0.00445135-0.0014679j -0.00123876-0.000679925j 0.00182597-0.0106324j 0.00518581-0.00901704j -0.0085714-0.00142201j 0.00316671-0.0114917j -0.00607778-0.00210293j 0.00329961-0.00164876j -0.00173532-0.0011587j 0.000298762-0.000917781j 0.00150673-0.00178615j -0.000584104+0.0100317j -0.00325072+0.00153427j 0.00959775-0.000324436j -0.000435124-0.0105517j 0.00307766+0.00871252j -0.0153739-0.00220327j -0.0023964+0.00660756j -0.00299188-0.00657446j 0.00808247+0.00985656j -0.00330475+0.00499396j 0.00218309-0.00586934j -0.00800601-0.00414675j 0.00554406-0.0102391j 0.00112002+0.00697861j -0.000238722-0.000559966j -0.0020532+0.00535769j 0.0012934+0.00227974j -0.000980669+0.000852499j 0.00336362+0.00691744j 0.00454462+0.000725155j 0.00540462+0.00682458j 0.000954744+0.000957222j 0.00390678+0.00407075j 
-0.0012194-0.00138872j -0.000763334-0.000125413j 0.000416953-9.07502e-05j -0.000600742-3.0302e-05j -0.000906301+8.6116e-05j -0.00142937+0.000136557j -0.000432751+0.00268674j 0.00281573+0.000407813j 0.00473397-0.00190025j -0.00168687-0.00126773j -0.00161505-0.00252296j -0.0020062-0.000110389j -0.000347743-0.00619157j -0.00197309-0.0028104j -0.000575614-0.00289387j -0.00519227+0.000237094j 0.00508909-0.00781458j 0.000801793-0.000725707j -0.00451579+0.00360436j -0.00330177+0.00539423j -0.000322034-0.00549675j 0.000445427+0.00155627j -0.000614825+7.15066e-05j 0.00174075-0.00285436j 0.00344687+0.00155542j 0.0041225-0.00395919j -0.00367828-0.00607163j 0.00132109+0.00172363j 0.00183884-0.00203073j 0.001955+0.00935428j -3.14358e-05-0.00260214j 0.00345725+0.00332609j -0.00316408-0.0033546j 0.00688951+0.00564216j -0.00210727-0.00185478j -8.77419e-05+0.00283182j 0.00442856+0.00470209j -0.00500751+0.00357501j 0.00873691+0.0109612j -0.00705803+0.00456665j -0.00201996+0.0154646j 0.00703614+0.0143468j 0.00235149+0.0105179j -0.000111884+0.0166356j -0.00827561-0.00310554j 0.0125665+0.0164275j 3.2892e-05+0.00372917j -0.0117517+0.00242323j -0.000952281-0.00499199j 0.00136028-0.00795799j -0.00779202+0.0024311j -0.000157965+0.000780562j 0.000235831-6.43237e-05j 0.00234288+0.000142765j -0.00221391-5.64154e-05j -0.00811858-0.00245297j 
0.00518775+0.00145055j 0.00150302-0.00397896j -0.00109042+0.000996124j -0.00366771-0.00150465j -0.000600108-0.00131745j -0.00184222+0.000280273j -0.000935215-0.00195948j 0.000114304+0.0017717j 0.00223459-0.00129616j 0.000927145-5.14835e-05j -0.00203583-0.000774352j -0.00440411-0.00256166j -0.0018252+0.00152186j 0.00164425+0.00732059j -0.00703491+0.00607636j 0.000974116-0.00222j 0.00330256+0.000384399j 0.00260074-0.00040644j -0.00128526+0.00017286j -0.00370942+0.00445301j -0.0122938+0.00177218j -0.000388923+0.000750947j -0.00553011+0.00981732j 0.000585744-0.000909819j -0.000135095+0.004842j -0.00296772+0.00524293j -0.00134701+0.00172744j -0.000602494+0.0084563j -0.00429631-0.00430603j 0.00374638-0.00747248j 0.000730918+0.00462314j -0.003641+0.00215556j -0.00898098+0.00402691j -0.00194486+0.000631955j 0.00610445+0.00192251j 0.0100308+0.00772417j 0.00715455+0.00429103j -0.000908703-0.00170595j -0.00114596+0.00643592j 0.000993625+0.00260982j -0.000776693-0.00821182j -0.00895984+0.000781757j -0.0016882-0.00245534j 0.00480733+0.00428342j -0.00614361-0.00830939j -0.00440047-0.00793768j -0.00698228-0.00721325j -0.00774712+0.00487548j -0.00289287-0.00960418j -0.00770571+0.000644389j 0.00896776+0.00328062j -0.00143917+0.00184417j 0.00289618+0.00345216j -0.00281164+0.00160052j 0.000748757-0.00351935j 0.00321302-0.000556882j 
0.00744842-0.00222782j 0.00168686-0.00376155j -0.00326507-0.00332025j -0.00435692+0.000249401j 0.00152563+0.00553861j 0.00584435+0.00115723j -0.000821193+9.06648e-05j -0.00562814+0.00686784j 0.000250056-0.00260194j 0.000403732-0.0024672j 0.000356286-0.00152276j 0.00058895+0.00234313j -0.00177409+0.00221202j 0.00214031-0.00121469j -0.00170819-0.00111733j -0.00351312-0.00390578j 0.0016078+0.0027508j 0.000107748+0.00124077j 0.00855032+0.00323474j 0.00461914-0.00151044j 0.00130979-0.000789259j 0.00540866-0.0102559j 0.00554327-0.00815905j -0.00236426-0.00184626j 0.00153682-0.00549815j -0.00628456+0.00770059j -0.00269684-0.000905566j 0.00535476+0.00154273j 0.00874267+0.00221157j -0.00316901+0.00286924j -0.000582939+0.000633235j 0.0153952+0.0100019j -0.000700392+0.00440047j 0.000124997-0.000971768j 0.00188528+0.00348399j -0.000981518+0.00467927j -0.00284896-0.000927102j -0.00483773-0.00185377j 0.00395503+0.00371845j -0.0090427+0.00187433j 0.00547512-0.000876873j 0.00234829-0.00666768j 0.00134847+0.00328298j -0.00477711+0.000244374j 0.00459244+0.00553709j 0.00128107-0.0139987j -0.00172267+0.00708956j -0.00376404-0.00885667j -0.0056282-0.00345242j -0.00859113+0.00488018j -0.00490249+0.00414867j -0.0108008-0.00261482j -0.000610607+0.00123761j -0.00199878-0.00271882j -0.00385347-0.00416378j 0.00435593-0.00218316j 
0.00152175+0.00101865j 0.00178908+0.000130663j 0.00371913+0.00291923j 0.0035143+0.00204282j -0.00209745-0.00360817j 0.00275911-0.00132238j 0.00237825+0.000745374j -0.000335159+0.00301533j 0.00463129-0.00235845j 0.00469401-0.00352195j 0.000891721-0.00144365j -0.00367896-0.000969247j 0.00473512-0.00224599j -0.00860208-0.00616376j -0.00035817+0.00111827j 0.00379009+8.46931e-05j 0.00194625-0.0011832j -0.00146935+0.00721672j -0.00227702-0.00183725j -0.00808828+0.00278407j 0.00863032+0.00105163j -0.0079564-0.00444925j 0.00451264+0.0033263j 0.00446879-0.00217543j 0.00450319+0.00220291j 0.00177198-0.00139644j -0.00383241-0.00291628j 0.00069047+0.00314863j 0.00736175+0.0053612j -0.00134665-0.000127544j -0.000991644-0.00485268j -0.00892573-0.00214794j -0.00477606-0.00379485j 0.00113474-0.0107359j -0.00244224+0.00123278j 0.000211918+0.000583287j -0.00164852+0.00106231j 0.00362548+0.00520861j 0.00909711-0.00462316j 0.00477917+0.00388233j -0.00557036-0.00205036j 0.00259382+0.00950069j 0.00516875-0.00325731j -0.00775382-0.00331591j 0.00502241-0.0045353j 0.00178145-0.0122778j 0.00180688+0.00957415j -0.0133313+0.00589142j -0.00165173-0.00554714j -0.00110029-0.000171797j -0.00705636-0.000836914j -2.08762e-05+0.00535834j 0.00191019+0.00136136j 0.00366345-0.00242659j 0.00338488-0.00165488j 0.00307661-0.000468139j 
0.000144178-0.00312474j -0.00229056-0.00251731j 0.00234365-0.000237681j 0.00136794-0.00119202j -0.00126567-0.00236173j 0.000202893-0.00177369j 0.00129218-0.00491941j 0.00162153-0.00324346j -0.00108955+0.00259112j -0.00736975+0.00106451j -0.000678462-0.00150542j -0.000724774+0.00198877j 0.00332849+0.000806262j 0.00386195-0.00131083j 0.00381069+0.00111713j -0.00189043-0.00337937j -0.00517953+0.00105201j -0.00528014-0.00420366j -0.00112386+0.0036083j 0.00618487-0.00469628j -0.0025404+0.00220585j 0.00448551-0.00095242j -0.00636431+0.000791251j 0.00265981+0.00158189j -0.00522576-0.00494577j 0.00233259+0.00410037j -0.00170785-0.000165086j 0.00239883+0.000946131j -0.00868827-0.00707711j 0.000280828-0.0125569j -0.00135654+0.0023857j 0.00280614+0.00254342j 0.00439164+0.00196263j -0.00214328+0.00142734j -0.00921589-0.00396809j -0.0018566-0.000629112j 0.00625153-0.00316002j 0.00358618+0.00116948j -0.00306372-0.00246094j -0.00237417-0.00545216j 0.00554752-0.000302882j 0.0113469-0.00908141j -0.0152189+0.00141089j -0.00600275+0.0100572j -0.00101792+0.0056966j -0.0167797-0.00109732j 0.00410241+0.00120481j -0.00521602+0.000850171j 0.00199703+0.00257706j 0.00720647+0.00149955j 0.00573026-0.00252238j -0.00133599-0.00208874j -0.00816193-0.00498472j 0.00834781+0.000446141j 0.000636112-0.00448425j 0.00093573-0.00103645j 
0.00162998+0.00100533j 0.00576239-0.000381089j -0.00373951+0.00338659j 0.00304382+0.000730446j -0.00119563-0.000858526j 0.000485492+4.6078e-05j 0.00182048+0.00253107j 0.00297761+0.00187703j -0.000166293-0.000870521j 0.0029937-0.00576421j -0.000367644-0.00232964j 0.00119928-0.00274897j -0.00934143+0.00120469j -0.00215813-0.000360643j -0.000302808+0.00189785j -0.00269614+0.00474411j 0.00177511+0.00340067j 0.000302726-0.000171464j -0.0029499+0.00658473j 0.0044802+0.00479936j -0.0021069+0.00177906j 0.00307789+0.00807482j 0.00363549-0.00134775j 0.0039373-0.00062422j 0.00179021+0.00315253j -0.000670234-0.00674963j 0.00335935+0.00447589j -5.46076e-05-0.00270422j 0.00724494-0.00402326j 0.00628493+0.00907608j -0.000811602+0.00524912j 0.00122872-0.015246j 0.000118541+0.00408745j -0.00512591-0.00429977j 0.00247178-0.00574484j -0.00210022+0.00452709j -0.000127055+0.00310646j -0.00225938-0.00726067j -0.00112738-0.00376315j 0.000996026+0.00482487j 0.00687328+0.00699402j 0.00531203+0.00673427j 0.00494399+0.00778889j -0.00980545-0.00013411j -0.00637439-0.00356992j -0.0148199-0.0020856j -0.00348544-0.00634622j -0.00245227+0.00204546j -0.0038119+0.000474937j -0.00224324+0.00505832j 0.00593178-0.00114823j -0.00036463+0.00184195j 0.00816272-0.00128101j 0.0041726+0.00599571j 0.00420679-0.00076116j -0.00148182+0.000849247j 
-0.00186707-0.00490132j -0.00611023+0.00122965j 0.00350376-0.00255034j -0.0041543+0.00224421j -0.000325241+0.000952708j -0.00195384+0.00197004j -0.00328349-0.000873954j 0.00135176+0.00122046j 0.00487495+0.000101362j -0.00208165+0.00232355j 0.00167006+0.000415505j -0.00184589+0.00292924j 0.00617754-0.00340058j -0.00428422+0.00236867j 0.00138409+0.0025845j 0.00212698-0.00150125j 0.00378199+0.000980812j -0.0048595+0.00233547j -0.00278319+0.00543006j -0.00470158-0.00228387j -0.00155419-0.00134432j -0.00509674-0.00159344j 0.00925217-0.000530451j 0.00745577-0.000933875j 0.00207576+0.0033023j 0.00121635-0.000868311j -0.00203762-0.0017227j -0.00373241+0.000877597j 0.00612878+0.00759918j 0.00637857+0.0109783j -0.00713955-0.00396501j -0.0150177+0.00180433j -0.00344882-0.00244489j -0.00234569-0.00675301j -0.00387504-0.00276204j 0.00431404-0.00307979j -0.00247007-4.25702e-05j -0.00505483-0.000648825j -0.00827673+0.0002421j 0.0132769+0.00268918j 0.000667831-0.00181488j -0.00300617-0.0105887j 0.00362046-0.00749801j -0.00720164-0.0027169j -0.00393884+0.00657323j 0.00355349-0.00441589j -0.0156599+0.0027713j -0.0139187-0.00614038j -0.00532445+0.00318856j -0.00344263+0.00101589j 0.00188829+0.00454563j 0.000995906-0.00048373j -0.00753646+0.00252324j -0.000430643-0.00488282j -0.00433393+0.00359031j -0.00482431-0.00369007j 
-0.0025028-0.00319628j -0.00134768-7.50241e-05j -0.0012414-0.00146473j 0.000977959+0.00203219j 0.000741903+0.00241778j -0.00630699-0.00147286j 0.000992688-8.59517e-05j 0.000408943+0.00610062j -0.00580029-0.00236046j -0.00205898-0.000247697j -0.00340739-0.00238585j 0.00377485+0.00258651j 0.00130556+0.0059398j 0.00379719-0.00300664j 0.00378801+0.00109891j 0.0022869+0.000428865j -0.0122193+1.48359e-05j -0.00841913+0.00336091j -0.00758239-0.00157006j -0.00120105+0.000733091j -0.000164627+0.00257202j -0.00806736-3.35442e-05j -0.00950659+0.000436268j 0.000613085-0.000243833j -0.0106227+0.00609257j -0.00386435-0.00246041j -0.00363549+0.00632497j 0.000313415-0.00383675j 0.00039782+0.00327119j -0.000987215+0.0076896j 0.00215464-0.000278471j -0.00389411-0.00102075j -0.00678205+0.0060008j -0.00732239-0.00315271j -0.00184987-0.000871576j -0.006966+0.00106002j -0.00171377+0.0165143j 0.00697863+0.00924859j -0.000596298-0.00307479j -0.0107615-0.00157657j -0.0117031-0.000867275j 0.00334089+0.00887098j -0.00894036-0.00588476j 0.000462132-0.00956478j 0.00935566-0.00423733j 0.00566748-0.00174238j 0.000373792+0.00176006j -0.009624-0.00306208j 0.00276181-0.00326586j 0.00821034-0.00110068j -0.00456323+0.00403281j -2.55461e-05-0.00308414j -0.00113714+0.00232198j 0.00119149-0.00073539j -0.00499523+0.00159464j -0.00426148-0.000644187j 
-0.00138895+6.13882e-05j 0.00383739-0.00172934j 0.000491306-0.00155682j 0.00139503-0.000553088j -0.00296271+0.000152544j -0.00373933-0.00201758j 0.00178877-0.00051052j -0.00480561-0.000868532j 0.00134839-0.0021042j -0.000330764+0.00274548j 0.00371956+0.00143231j 0.00131314+0.0027962j 0.00145889+0.000821924j 0.00049164-0.00116131j -0.00211759+0.000305336j 0.00217225+0.000667685j 0.0014635+0.00122114j -0.00131722-0.00134618j -0.00183327-0.00601191j 0.00212275+0.00266439j 0.00258404-0.0014135j -0.00218188+0.00213241j -1.69665e-05+0.00153209j -0.00747578+0.00245485j 0.00609754+0.000905273j 0.0011233+0.00187896j -0.00101782-0.00140172j 0.00484589+0.000798102j 0.00130688-0.00479221j -0.0071265-0.00400831j -0.000378067-0.00273151j -0.010905+0.00345284j 0.00878071-0.00115996j -0.00883618-0.000449433j -0.00758299+0.00307535j 0.0148465+0.00686639j 0.00515135+0.00436862j -0.00219352-0.00246809j 0.000354613-0.00609132j 0.00285125-0.00759642j -0.0121081+0.000898937j 0.000981496+0.000748213j 0.00866168+0.00312662j -0.00828044+0.0012675j -0.00108035-0.00399456j 0.00763979+0.00647866j -0.00102511-0.003437j 0.00461428+0.00169182j 0.00179703-0.00327542j 0.00688666+0.000907523j -0.00542743+0.00284995j -0.000804693+0.000346986j -0.00173727+0.00270808j -0.00363442+0.00208193j -0.000144443-0.00313878j -0.00190838+0.00220361j 
0.00130112+0.000624438j 0.00018-0.00302736j -0.00180444-0.00241387j -0.00150194+0.00128468j 0.00307103+0.0013515j -0.00267519+0.000857857j -0.00107696-0.00126373j -0.000643225+0.00446036j -0.00754865-0.00333598j 0.00200029+7.50115e-05j 0.00248331-0.00316228j 0.00450148+0.000545898j -0.00144128+0.00224666j 0.00350516-0.00193885j -0.00187038+0.00125083j 0.00179674+0.0032333j 0.00346956-0.00412195j 0.00139331+0.00287584j -0.00197881-0.00166509j 0.0011926+0.00669109j -0.00385799+0.00166623j 0.000273567-0.00163658j -0.00163063+0.00409495j -0.00393231-0.00419117j 0.000822071-0.00338175j -0.000927423+0.00138407j -0.00273426+0.000190757j -0.00401319+0.00290295j 0.000823679+0.00579587j -0.00145797+0.00264303j 0.00293683+0.00134067j -0.000845147-0.000250947j -0.0047467+0.00260386j -0.00717783-0.00708194j -0.00213745-0.00230902j 0.00562552-6.67673e-05j -0.00728441+0.00169454j 0.012278+0.00134602j -0.018083-0.00326881j -0.00208376+0.0113118j -0.00636398+0.00638982j 0.00654436-0.00357029j -0.0065834+0.00736319j -0.00301424+0.00159186j -0.00888683+0.004096j -0.00431959-0.00281678j 0.00914353+0.00244895j -0.00677043+0.00547849j -0.00686552-0.00244953j -0.000204741+0.000956522j -0.00232576+0.00119025j -0.0104557+0.00869177j -0.00178804+0.00362716j -0.00417968-0.000740691j -0.00268803-0.00246971j 0.00648269-0.00297314j 
-0.00374505-0.00260058j -0.0025261-8.51195e-05j -0.000283451-0.000944133j -0.000646125+0.0018928j 0.00349142-0.000461315j -0.00542967-0.000334078j 0.00317945+0.00262536j -0.000109823+0.0021547j -0.00341759-0.00299256j -0.00422752+0.000588864j 0.00552616-0.00111292j 0.00146415-0.00533853j 0.00456107-0.00208231j -0.00211771+0.00119916j 0.000804021+0.00101917j 0.00204483+0.00230952j -0.00153476-0.00194084j -8.2518e-05+0.00369291j 0.00185653-0.000233648j 0.0107511+0.00198683j -0.0076791+0.00420738j -0.00266683+0.00144053j -0.00104293-0.00241613j -0.00353261+0.00580149j 0.0064756+0.00138748j -0.00194133-0.00112557j -0.0002259+0.00248429j 0.00775279+0.00415775j -0.005404-0.00577215j -0.00544177+0.000720764j -0.00329887-0.000637472j -0.00136449-0.0054539j -0.00419621-0.00576321j -0.0147968-0.00374487j 0.00130559-0.00199828j 0.00302956-0.00591067j -0.00133244+0.00676634j -0.00551712-0.00346559j -0.00437851+0.000915792j -0.000295075-0.00609115j 0.00882066+0.00744033j 0.0118226-5.29728e-05j 0.000444342-0.0018136j 0.019152+0.0108827j 0.00548194+0.00317977j 0.00121585-0.00382432j 0.00428859-0.000661701j 0.0069782+0.00256737j -0.00756786+0.0023004j 0.00273828+0.00527891j 0.00196796+0.000835975j 0.00760916-0.00184919j -0.00193159+0.00465898j -0.00281173+0.00341022j 0.000455859+0.00243901j -0.00505901-0.000315101j 
