7.65443e-12+2.22109j 4.47455e-13+0.226717j 2.77412e-15-0.651811j 1.50969e-14-0.25973j 3.42504e-15+0.0755905j -1.72967e-15+0.15762j 1.96706e-15+0.012852j 6.89322e-16-0.0473221j 8.01535e-16-0.0475349j -4.42208e-15-0.0289113j 6.92922e-15+0.0686067j -1.35605e-15-0.0167539j 1.42739e-17-0.0247508j 1.46721e-16+0.0165511j -5.4912e-16-0.0189997j 2.13919e-16-0.0171791j -4.47781e-15+0.0326807j -1.12765e-15-0.0284984j -3.19267e-15+0.0056348j -3.1839e-16-0.0255962j 1.22545e-15+0.0111611j -2.82426e-16+0.0183473j 2.01941e-15+0.00919084j 2.0836e-15+0.036882j -4.64378e-16-0.00820215j -4.0784e-15-0.0162344j -2.10443e-15-0.00167349j 2.11885e-15-0.00908934j 4.67953e-17+0.0169179j -3.08529e-15+0.00281053j 8.46124e-16+0.0129203j 8.78844e-15-0.00522947j -1.84867e-13+0.0186142j 1.48347e-15-0.0174145j 5.10274e-16+0.00726465j 8.01617e-14+0.00997903j 5.67764e-15+0.00317258j -8.24258e-15-0.0237115j 2.9064e-14-0.0288299j 7.90957e-16-0.000816655j 3.62792e-16-0.00662787j -1.8397e-14+0.0202206j -1.73272e-15-0.00769922j -1.44764e-15+0.0160538j 3.33957e-15-0.0174464j -4.66509e-15+0.0262521j 7.49769e-15-0.0145682j 1.34645e-15-0.00642323j -8.27744e-17+0.00156621j -6.01915e-15+0.00571403j -4.11966e-15-0.0372495j -1.7359e-15+0.0120186j 1.07408e-15-0.00382653j 9.6522e-15-0.0130153j 2.57264e-15-0.0250546j 2.64791e-15+0.011816j -3.97492e-13-0.0426269j -2.9795e-15-0.0257536j -2.97368e-15+0.00227628j 9.45438e-16+0.00910115j 1.90007e-16+0.00458016j -3.80766e-16+0.00392484j -5.51269e-16+0.0109021j -7.88719e-17-0.00703806j 1.7865e-15+0.0496502j 1.22562e-15-0.039059j -4.65535e-16+0.000677556j -1.60133e-14-0.0255114j -4.18256e-16-0.00086685j -8.10016e-16-0.0420286j 8.58635e-16+0.0413838j 1.10045e-15+0.0200639j 2.13702e-18+0.0330564j 1.72865e-15-0.0322548j -4.14156e-15-0.0521552j 7.41814e-15+0.0434863j -9.04161e-14-0.0514597j 
1.78185e-14+0.0032416j 2.57214e-15+0.0331633j 7.1613e-16+0.0681126j -1.53035e-16-0.0134458j 2.50535e-15+0.000428368j -5.04672e-15-0.124086j -5.32329e-15-0.0861426j 3.01314e-15+0.0757876j 2.79169e-15-0.0234854j 3.30236e-14+0.114339j 3.33259e-14+0.27953j 1.06972e-13+1.53467j -1.69607e-14-0.255086j 6.84661e-14+0.619517j -1.72211e-14-0.120433j -1.53621e-14-0.262708j -2.88077e-14-0.104731j -2.39156e-15+0.228121j 9.68118e-15+0.0514474j 1.32208e-14+0.175803j 2.00657e-14+0.0336181j 6.66125e-15+0.716919j -1.54723e-14+0.251872j 1.58337e-14+0.0976373j 2.66263e-14-0.0919101j -1.62057e-15+0.171041j 1.09554e-14-0.283984j 3.60062e-15-0.0261473j 9.81117e-15-0.0653145j 2.23746e-14+0.0620303j -1.48337e-14+0.0433578j 2.13691e-14-0.0212193j -1.2349e-13+0.0122097j 8.35129e-15-0.0037332j 2.59214e-14-0.0352209j 1.76047e-13+0.0213709j -1.65556e-14-0.0237138j 6.62827e-14+0.0393029j -1.74824e-13+0.134284j 5.52146e-14-0.0350992j 1.87348e-14-0.0343529j 4.26088e-14-0.0578257j 1.64066e-15+0.0309965j 4.23158e-15-0.0272133j -4.76052e-15-0.0111105j -1.76799e-15+0.00601361j -6.25578e-15+0.0248928j -3.2792e-15-0.0265459j -1.79003e-17-0.011755j -6.72706e-14-0.0677948j -5.47663e-15+0.0930044j 6.13578e-15-0.0103706j -7.63328e-15-0.0644405j 6.26437e-15-0.0130581j 7.08861e-15+0.0201176j -4.42396e-15-0.0107115j 1.87241e-13+0.020366j -6.16769e-15-0.0564811j 1.78266e-15+0.0180511j 3.20781e-15-0.00492126j 2.04385e-15-0.0360214j 2.86224e-15+0.0198944j 2.75445e-17+0.0312778j 6.20692e-18+0.0127701j -1.93509e-15-0.0384054j 1.41738e-15-0.0173582j -3.45701e-15+0.0284716j -1.08763e-14-0.019398j 1.60122e-16-0.00928607j 2.24833e-15+0.0163449j 2.78827e-15+0.0268153j 3.54376e-16-0.0164653j -1.58828e-15-0.00393513j -1.85833e-15-0.0307568j -2.4676e-16-0.00915754j 4.11987e-15+0.0213966j -6.35432e-14-0.0356991j 
8.11598e-14+0.0229124j 3.11814e-15+0.0113492j 1.78993e-15+4.94022e-06j 7.44117e-16-0.0795651j 2.39407e-15+0.0255578j 3.23969e-16+0.0319995j 6.63513e-15-0.163444j 5.10612e-15-0.137487j 4.30247e-16-0.009016j -2.70224e-14-0.127819j 1.52439e-14+0.0507017j -2.34268e-14+0.312498j 2.10567e-14-1.11988j 4.05569e-14-0.633043j -5.61706e-16-0.330259j -3.13085e-14-0.25382j 2.58119e-14-0.198871j 1.44397e-14+0.0601249j 2.76752e-15-0.23427j 2.40576e-14+0.248063j 3.05333e-13+0.913478j 1.19316e-14+0.0604039j -2.30135e-14+0.0197792j -1.96246e-14-0.125639j 1.30085e-14-0.215073j -7.35751e-14-0.23582j -6.68353e-15-0.0305015j 1.98296e-14-0.0157637j -6.41866e-15-0.0376157j 8.13608e-14+0.203997j -3.67451e-14-0.0581699j 7.32468e-14-0.030415j -1.24003e-12+0.123867j 2.71933e-14-0.00833113j 7.13539e-14-0.156942j 5.71065e-13+0.0678617j 2.98534e-14+0.0332083j 1.76515e-14+0.0188463j -2.48798e-15+0.00803164j -8.09829e-14+0.0679815j 8.74556e-15-0.0140727j -3.88347e-14+0.0493184j 7.55288e-15+0.149792j -1.01236e-14+0.0588568j 4.23905e-15+0.00461322j -1.69966e-14+0.0385276j 3.59849e-15-0.0130781j 1.11692e-14-0.0516224j 6.52797e-16-0.0112337j -3.74297e-14-0.0266929j -7.72081e-15+0.0104887j -1.56938e-14-0.034645j -1.28187e-15-0.0230599j 1.22383e-14-0.0503575j 4.79195e-15+0.0349678j 6.81434e-15-0.018479j -1.85806e-13-0.0194401j -6.86739e-15-0.0875345j -7.39669e-15-0.0228121j 9.28024e-16+0.00930826j 1.10183e-15-0.0025076j 3.9026e-15+0.038316j -1.26896e-15-0.0371686j 2.45504e-15+0.0305884j 1.10525e-15-0.0215578j 1.81177e-15-0.0279505j 8.29182e-15-0.0597466j -1.27874e-14-0.015971j -4.18016e-16-0.0425597j -1.86569e-15+0.0182512j -6.06111e-16+0.0410496j 1.78911e-16-0.000974525j 2.26316e-15-0.0199814j 1.73787e-15-0.0386221j -2.33395e-16-0.0281845j -6.60503e-16+0.0383172j 2.33447e-14+0.0162478j 
4.23584e-14+0.0136465j 3.28605e-15-0.0226575j -3.41501e-16+0.0172051j -2.23744e-15-0.0267057j -1.80413e-15+0.11045j -1.86179e-15+0.0360038j -3.84274e-15-0.0609651j -2.60947e-15-0.0279484j -7.2359e-15+0.184566j -1.64632e-14-0.0448384j 1.90768e-14+0.0267209j 1.98763e-14-0.366306j -3.16197e-14-0.665934j -3.50763e-15+0.872733j -1.03599e-14-0.630283j -2.08263e-14-0.388799j -1.03906e-13+0.322624j -4.47566e-14+0.0298106j 4.3769e-14-0.227868j -1.64714e-14+0.100431j -2.14743e-15-0.0249938j 5.50691e-15-0.280484j -3.73485e-14+0.602163j 2.13918e-14+0.196411j 2.01986e-14-0.0632499j 2.5758e-15+0.0360314j 8.08715e-15-0.155213j -9.85639e-14+0.122751j -3.22177e-15+0.0837614j -1.56442e-14-0.0693829j 1.0698e-14-0.0912342j 1.96315e-14+0.136135j -4.15441e-13+0.0502314j 1.03938e-14-0.0454255j 1.7776e-14-0.00715513j 5.99513e-13+0.0735802j 1.89665e-14+0.00179622j 1.09608e-15-0.123938j 5.16996e-14-0.0801779j 1.55236e-14-0.0303898j -6.1233e-15+0.0524843j -2.51129e-14+0.00789815j 1.73426e-14+0.124717j -7.98939e-15-0.0240855j -5.99107e-15+0.024749j -7.97967e-15+0.0056619j -1.62996e-14+0.0269268j -2.24833e-15-0.0155685j -2.3961e-17-0.0954321j 3.63924e-14+0.0235342j 6.64772e-15+0.0178708j -5.70297e-15-0.0236776j 4.50428e-15+0.0513839j 9.25251e-15-0.0529882j 6.33532e-15+0.0575047j -8.57554e-16+0.0669272j 1.44863e-14+0.00217856j -9.3915e-15-0.0785291j -1.45616e-14-0.054906j 2.21195e-15+0.00479129j 2.02949e-15-0.0363901j -7.36276e-15-0.0711735j 6.53901e-16-0.0249173j -1.03771e-15-4.84572e-05j 2.43759e-16-0.0741826j 1.33783e-15-0.00386163j 4.12417e-15-0.0472982j 6.77236e-15+0.0114715j -2.43849e-15-0.0271721j -1.69065e-15-0.00687738j 8.43338e-16-0.00855858j 8.72953e-16+0.0286785j -1.28461e-15-0.0123497j -1.0722e-15-0.0125411j -1.96538e-16+0.0107742j -1.39574e-15+0.0109273j 3.59802e-14+0.0225431j 
4.6743e-14+0.0131544j 1.7091e-15+0.0145798j 2.69613e-15+0.0237427j 3.20089e-15+0.00764312j -4.79052e-16-0.0134077j 5.22367e-15+0.057164j 1.77693e-15-0.0626039j -9.52572e-16+0.031669j 1.18952e-15+0.146735j -1.20367e-14-0.0637623j -1.74604e-14-0.0265144j -1.11662e-14-0.0402905j 8.33025e-15-0.175781j -3.56058e-15+0.111124j -3.00028e-14+0.957251j 1.0184e-13-0.263897j -2.02921e-14+0.472963j -5.98419e-14-0.322152j -3.22963e-14-0.164306j -1.45588e-14+0.639123j 3.80124e-14+0.108708j 1.41932e-14-0.131091j -1.35207e-14+0.415664j 1.92137e-14+0.243612j -2.20582e-14+0.195021j 5.45365e-15-0.0562069j 2.04272e-14-0.208741j -7.14374e-14+0.146449j -9.92647e-16-0.0101348j -4.15874e-14+0.111472j 2.87018e-14+0.400908j -3.70623e-14+0.0512646j 1.73913e-13-0.0141238j -2.26009e-15-0.153845j 1.96419e-14-0.00850648j 2.15002e-13+0.030549j -1.43646e-14-0.0874074j 8.10843e-14-0.181879j -1.10539e-13+0.0141093j -8.86548e-14+0.0804368j 2.86085e-14-0.101805j 1.67871e-14-0.0358737j -7.63821e-15+0.0735959j 4.80352e-15-0.0321372j -3.60641e-15+0.0280172j 5.64291e-16-0.060442j -3.89769e-15+0.0177628j 3.0515e-15-0.0743665j 1.63863e-15-0.0543605j 3.05625e-14+0.0127791j 2.09004e-14+0.0399041j 1.14053e-14+0.0188414j 6.67293e-15+0.0526205j 4.88266e-15-0.0407207j 7.90213e-15+0.0177503j 2.60942e-16+0.0265449j 4.05062e-13+0.0425984j -1.76456e-15-0.0396383j 5.71166e-15+0.0343817j 8.73764e-15+0.0372266j -5.02249e-15+0.0290946j -3.55129e-15-0.0310312j -1.17198e-15+0.0274947j -3.67859e-15+0.00693401j 1.24829e-15-0.0249177j 2.48598e-15-0.0163895j -1.96259e-15-0.0141515j 2.21266e-14+0.0282575j 3.56937e-15-0.029481j 4.61164e-15-0.0315191j 2.25572e-15+0.0241276j 1.29202e-15+0.00532891j 1.64553e-15+0.0411601j 1.04138e-15-0.00536339j 2.55918e-15+0.00541008j -4.11751e-16+0.0138388j -1.04018e-14-0.00524729j 
-5.68829e-14-0.0144627j -7.05052e-15-0.0167166j 1.19282e-14+0.0358996j 1.03896e-14+0.0329802j -5.85393e-16-0.00217382j -2.69618e-15-0.0330692j -1.65644e-14-0.055439j -1.77892e-15-0.0242318j 3.0605e-16-0.025296j -2.52491e-14-0.0764851j -5.85764e-14-0.156683j -2.23234e-14-0.0292051j 3.93494e-14+0.164905j -8.73804e-15+0.00797009j -6.71848e-16-0.299626j 1.16087e-13+0.540582j 5.8937e-15+0.931464j -1.65814e-13+0.252991j -1.39679e-13-0.93479j 1.54924e-15+0.0551105j -1.77293e-13-0.303161j 8.00145e-14+0.373713j 3.38281e-14+0.102283j 9.40268e-14+0.195185j -2.64701e-14-0.0631535j 2.22656e-15+0.0222865j -7.7871e-15+0.065027j 4.56015e-15-0.143079j 8.11725e-14+0.307518j -1.63989e-13-0.279668j 3.60251e-14-0.0822077j -1.04946e-13+0.0835567j 2.60682e-12-0.26496j -1.04993e-14-0.181502j 8.04383e-14-0.214466j -1.06616e-12-0.122731j -1.03043e-13-0.133337j -2.0606e-14+0.112764j 7.69936e-14+0.0175124j -7.72689e-14+0.0817293j -1.41166e-14+0.0126251j 4.15753e-14-0.0464323j 4.48348e-15-0.0320178j -5.17933e-15-0.0425134j 2.31205e-15+0.00601454j 1.83587e-17-0.001221j 1.24447e-15-0.0316035j 2.16245e-14+0.0605881j 9.14576e-15+0.027718j -1.95145e-14-0.0243288j 3.48541e-14+0.0700689j 4.77966e-14+0.0660705j 1.61281e-14+0.0291085j -8.57465e-15+0.0139377j 8.92297e-15+0.0351457j -4.90445e-16-0.0105233j 7.07963e-13+0.0731415j -1.00794e-14-0.0313476j -6.59027e-15-0.0218463j -4.70956e-15-0.0202733j 7.50021e-15+0.030951j 1.06141e-14+0.0197159j -1.20973e-14-0.0264703j -8.31983e-15-0.0371108j -1.09844e-14-0.025045j -2.68901e-15+0.00371151j -8.77748e-15-0.0469745j 2.73052e-14+0.027047j 9.01205e-15+0.032932j 1.6539e-14+0.0534738j 1.42798e-15-0.00691559j -5.40427e-15-0.0243317j 4.86158e-15+0.00267567j 1.72066e-15+0.00744882j 3.74683e-15+0.00948027j -8.40667e-16-0.0100296j -8.65101e-15-0.0049301j 
-8.86998e-16-0.000136636j -1.96964e-15+9.01859e-05j 1.63202e-15-0.028165j -2.87858e-15+0.00672576j 3.8051e-15+0.00638034j 1.47721e-14-0.0838338j 4.35928e-15+0.0212475j -7.69765e-15+0.0132882j 1.79385e-15-0.04671j 3.71679e-15-0.0146185j 3.62328e-15-0.0349371j 5.72905e-15-0.0318312j -1.82894e-14+0.032754j -4.6655e-15-0.0758606j -3.99886e-14-0.0268667j 1.36364e-13-0.842921j -2.14658e-13+0.273206j -1.24701e-13+0.66743j -7.78171e-14+0.538201j -2.17127e-14+0.0956247j -3.43428e-14-0.276937j -7.22027e-14+0.289086j 2.03303e-14-0.155254j -6.08579e-15+0.0048934j -1.03738e-13+0.417816j 3.13639e-14-0.0215136j -7.1577e-14+0.303792j 7.6377e-14-0.146434j -5.03752e-14+0.285993j 7.57331e-14-0.0247048j 3.08372e-15-0.328283j -5.87117e-14+0.192473j 1.39191e-13-0.00463524j -1.72054e-14+0.0685945j -1.30185e-13+0.138876j 1.61455e-12+0.198961j 3.35738e-14+0.0412284j -2.48589e-14+0.0668732j -3.11664e-14+0.0318519j 9.64618e-15-0.00836211j 6.05753e-14-0.126611j 1.53724e-15+0.0152775j -4.34225e-16+0.0150188j -3.43929e-15-0.00499971j -1.05578e-14-0.0235075j -5.10156e-15+0.0106493j -3.69942e-14+0.0649217j -1.09435e-14+0.000909333j -1.04976e-14+0.0507876j 4.67006e-16+0.015199j 6.90679e-15-0.0193592j -1.5018e-14+0.0191217j 6.66137e-15-0.0223842j 2.27126e-15+0.0207903j 4.72287e-15-0.0511992j 7.05883e-15-0.0331057j -2.63623e-13-0.0286272j 5.72318e-15+0.0120066j -2.18927e-15-0.0165167j -2.19027e-15-0.0557242j -7.80621e-16-0.00026342j 2.25986e-15-0.0102929j 1.92798e-16+0.00968141j 5.87424e-15+0.000418898j -1.72373e-15+0.0164311j -7.37628e-15+0.0278454j 6.08452e-16-0.00403524j -8.08815e-15-0.0162495j 5.30666e-15-0.0320842j 9.68231e-16-0.0182488j 4.80263e-15-0.0265669j 7.02363e-15-0.0336449j 1.51525e-15-0.020618j 1.73877e-15-0.00915585j 1.43899e-16-0.0196447j 2.46405e-15-0.00762255j -3.35663e-15-0.00365985j 
-8.22137e-14-0.0245818j -3.63677e-15+0.00514605j 3.81998e-17-0.00249969j -4.53367e-15+0.0187128j -1.24791e-14+0.00837873j -1.52501e-14+0.0121232j -1.71382e-14+0.0312908j 1.1271e-14+0.0123293j 7.02014e-15+0.0249869j -9.42715e-15-0.059612j 1.02472e-14-0.0407407j 2.53362e-14-0.0649218j -1.44635e-14-0.0402256j 2.22007e-14-0.0790626j 1.29762e-14+0.106682j 3.67012e-14+0.0101156j 1.25728e-13-0.672539j 1.41714e-13+0.574005j 2.35987e-13-0.682558j -2.67834e-14+0.314255j -9.2557e-15-0.425073j 1.17976e-13-0.420515j 1.30353e-13-0.242432j -4.93816e-14-0.354849j 1.1814e-13-0.315199j 1.05664e-13+0.2694j -1.03355e-13-0.00340042j -8.93745e-14-0.0372415j -7.96507e-14+0.397123j 6.57502e-16+0.170542j -4.56473e-14-0.0649884j 1.36489e-13-0.307036j -3.9505e-13+0.0217481j 1.51001e-14+0.0308302j 1.14775e-13-0.115686j 6.58233e-13+0.0822417j -5.69529e-14-0.171405j 1.3192e-13-0.0996369j -1.55559e-13+0.0768129j -3.63092e-14+0.00203021j -5.94562e-14+0.0801125j 7.12544e-14-0.0924104j -1.14877e-14-0.0536252j -1.86466e-14-0.00361461j 3.10584e-15-0.0835235j 1.68501e-14-0.0461948j -1.21219e-15+0.0467552j 4.26854e-15-0.0257612j -1.98705e-14+0.00151054j 1.71705e-14+0.0242068j 2.44204e-14-0.012213j 3.99111e-15-0.0559626j -8.82649e-15+0.0812489j -3.32342e-14+0.0373841j -1.56829e-14+0.0769624j -1.50761e-14+0.00107942j 2.38673e-13+0.0246215j 2.79135e-15+0.083779j -8.39369e-15+0.0185704j 2.48816e-15+0.0205386j -1.26035e-14+0.0196858j 1.37365e-14+0.0179767j 2.2702e-14-0.0320828j -6.60142e-15+0.0400451j -9.99356e-15-0.0254041j -1.35189e-14+0.0180519j 1.73356e-15+0.00787495j 4.39116e-15+0.00509243j -1.00433e-14-0.0260231j -5.73365e-15+0.00197416j 2.81165e-15+0.0103229j -9.30547e-15-0.0136111j 3.9618e-15-0.00439975j -2.57936e-15-0.0092717j -5.0809e-16+0.019219j 4.98428e-15-0.0241362j -3.50726e-15-0.00332868j 
-1.36109e-12+0.0126406j 1.35971e-12-0.0122224j 2.06942e-12-0.0186282j -2.18523e-12+0.0196222j -4.50912e-12+0.0405483j -7.27981e-12+0.0654746j -9.43674e-12+0.084841j 6.06237e-12-0.0545522j 6.79547e-12-0.0611872j -2.47292e-13+0.00226477j 1.07794e-12-0.00962843j 1.53555e-11-0.138151j -5.95222e-12+0.0535718j 1.06164e-11-0.0955292j 1.51592e-12-0.0137612j 3.61196e-11-0.324837j 9.00658e-12-0.0792042j 6.21693e-11-0.559655j 4.6214e-11-0.414667j 5.43732e-11-0.489886j 1.23882e-11-0.111177j 7.77551e-11-0.698801j 7.67007e-11-0.689084j -1.98577e-11+0.179128j -8.40678e-12+0.0760039j 2.89851e-11-0.260992j -4.52066e-11+0.406762j -4.91438e-11+0.440357j -1.40786e-11+0.125122j -2.39268e-11+0.215618j -1.5496e-11+0.139745j 5.22052e-11-0.468705j -1.30448e-11+0.105628j 5.75736e-12-0.0518235j 7.66245e-12-0.0682519j 5.15381e-12-0.0502028j -1.73215e-11+0.156781j 1.95769e-11-0.175978j 1.42602e-11-0.127972j -9.76646e-12+0.0868019j -1.06605e-11+0.0955307j -7.04965e-12+0.0630178j -1.09703e-13+0.00113569j -3.8575e-12+0.034689j 5.15166e-12-0.0461318j 1.06807e-12-0.0094945j 5.4854e-12-0.0492441j 4.06033e-12-0.0365121j -4.75639e-12+0.0428279j -8.09113e-12+0.0733668j 1.16577e-11-0.104763j 4.14561e-12-0.0374661j 2.34358e-12-0.0212274j -2.31385e-13+0.00202013j 4.6018e-12-0.0415686j -8.86016e-12+0.0797786j 5.34133e-12-0.0524202j 2.01914e-13-0.00195995j -4.15098e-12+0.0373725j 2.20183e-12-0.019889j -4.03475e-12+0.0362237j 4.84903e-12-0.0437245j 7.65858e-12-0.0688066j -2.09614e-12+0.0187961j -7.54856e-12+0.0679392j -5.61703e-12+0.0504938j 2.72546e-12-0.02451j 2.2107e-12-0.0200074j -4.04015e-12+0.0363674j 1.9604e-14-0.000195506j 2.46554e-12-0.0222074j -4.62615e-12+0.0416442j 1.40399e-12-0.0126158j -2.41148e-12+0.0217108j -3.71809e-13+0.00331608j 1.75303e-12-0.0157421j -1.59658e-12+0.0145953j 
-1.58451e-14-0.00410595j -9.23074e-16+0.00144117j 7.29405e-15-0.0450935j 2.37324e-15-0.00433701j 9.51545e-15-0.0634972j 3.86856e-15-0.00085471j -3.15999e-17+0.0154028j -4.63857e-15+0.0536812j -1.06439e-15+0.00668851j -3.01935e-16-0.11897j -3.85689e-15+0.101893j -1.01558e-14-0.0456205j -2.31737e-15-0.0406608j -1.19756e-14+0.0535178j -2.2293e-14+0.287706j -2.70667e-14+0.110258j -1.53835e-13+0.0809865j -7.60299e-14+0.579478j -1.38039e-13+0.428773j 1.18728e-13-0.374371j 5.74416e-14+0.594601j 4.16422e-14-0.597251j 9.74523e-15-0.212057j 1.88087e-14-0.56149j -1.66366e-13+0.866349j 7.48199e-14+0.469945j 8.06012e-14-0.238174j -1.88076e-13+0.334123j 5.4825e-14-0.212744j -1.13988e-14-0.137211j 6.36087e-14-0.0814553j 2.82225e-14-0.391906j -3.92726e-13+0.0219027j -7.09467e-15-0.146937j -5.0493e-14+0.149092j 5.35721e-14+0.0085395j -1.70899e-14-0.0393684j -8.71366e-14+0.0758468j 1.41649e-13-0.0610663j 7.4064e-14-0.0290024j 8.08292e-14-0.171633j 1.26489e-13-0.128171j -6.57766e-15-0.0720575j 1.39335e-14-0.0707627j -1.66155e-14-0.0422818j -4.45609e-15-0.0140984j -2.15741e-14+0.0590272j -1.5192e-14-0.0012839j 1.05746e-14-0.105688j 4.45746e-14+0.0241566j 6.8715e-15+0.00482935j -2.47332e-15-0.00411567j 8.82557e-15+0.00782756j 1.28744e-14-0.0169076j 1.21826e-14-0.0402641j 2.93519e-15-0.00386221j -4.48882e-13-0.0487278j 4.77826e-15+0.031026j 1.15255e-14-0.024996j -3.37112e-15+0.0548807j 5.12121e-15-0.0321309j -8.05181e-15+0.045875j -1.78555e-14+0.111769j 7.23465e-17+0.00196231j -3.7141e-15+0.0396049j 4.0377e-15-0.00263575j 4.15147e-15+0.00248045j -5.56249e-15-0.00252338j 7.31615e-15-0.065684j 6.72134e-15-0.0557357j -2.53734e-17-0.0208215j 6.89642e-15-0.0365923j -3.98681e-15+0.0270063j -1.35099e-15+0.016581j 1.99869e-15+0.00497275j -3.50806e-15-0.00195198j 1.633e-14+0.010487j 
5.58932e-14+0.0162986j 5.89218e-15+0.0093706j 1.54227e-15-0.0220465j 2.47406e-15+0.00103708j 2.92371e-16+0.0467906j -1.12773e-15-0.0149783j 8.0334e-16-0.0162894j 5.34593e-15-0.119719j 4.86218e-15-0.082646j 1.41143e-14+0.0395549j -1.23253e-14-0.0784076j -7.93189e-15-0.0404493j 1.49094e-14-0.0450851j 1.01477e-14-0.0574777j -2.26865e-15-0.245349j 7.49509e-15-0.264986j -1.50143e-14+0.158458j -9.99863e-15-0.0123158j 1.00779e-14+0.0815774j 1.99965e-14+0.4425j 1.03797e-13+0.429004j 1.754e-14-0.312193j -2.70443e-14-0.176131j -1.50189e-14+0.120558j 5.01632e-14-0.333942j 1.93543e-14+0.345328j -5.67081e-14+0.793403j 3.10332e-13-0.371658j 1.16294e-14-0.014819j 1.26328e-13+0.26103j 5.32723e-15-0.408428j 3.92602e-13-0.220524j -7.23685e-12+0.710129j 7.87429e-14-0.0403929j 1.48461e-13-0.257474j 1.22726e-12+0.145046j 1.10701e-13+0.239649j -9.27598e-14-0.122362j 1.16087e-13-0.183248j -1.34822e-14-0.00908702j 2.44469e-14-0.05567j 3.77507e-14-0.0510637j 7.35306e-15+0.217459j -2.76888e-14+0.0431135j 1.05696e-14+0.10862j -2.03886e-14+0.0642835j -1.6545e-15-0.0384583j 6.05054e-15-0.0210369j 6.91351e-15+0.0802402j 2.10162e-14+0.0438324j 8.28326e-15-0.110324j -2.94834e-14-0.0136461j -6.93031e-15-0.0396294j 8.02429e-15+0.00193284j -7.36804e-16-0.0694658j 3.63919e-15+0.0298845j -6.00163e-13-0.0641167j -1.85671e-15-0.063263j -5.8768e-16-0.0186572j -9.66655e-15-0.133809j -8.36253e-15+0.034809j -1.95517e-15-0.00675611j 1.54962e-15-0.0902925j 5.40416e-16+0.00184713j -2.56452e-15+0.0317974j -2.40593e-15+0.00675219j 1.30998e-14-0.0652893j 2.2604e-15-0.00179986j 4.25327e-15+0.00928372j -5.53467e-16+0.0220649j -4.26023e-15+0.00349829j 1.4797e-15-0.0115747j -1.34436e-15-0.0284399j 3.29668e-16-0.0205117j -2.15322e-16-0.0488593j -3.52068e-15-0.00213681j 9.09327e-15+0.00660418j 
8.87052e-15+0.00515336j 7.89974e-15-0.0339617j 2.59653e-15-0.0138584j 5.46758e-16-0.00536476j -4.34778e-15+0.00724722j -2.08263e-15+0.00562502j 2.18046e-15-0.0080433j 6.63475e-15-0.0128339j 3.1969e-15-0.00109146j 6.63871e-15-0.0710555j 1.00844e-14+0.0118616j -7.45693e-15+0.0394066j 1.88834e-14-0.105478j 2.17153e-14-0.073986j 2.45715e-14-0.0738704j 5.42016e-15-0.0401828j 1.92966e-14-0.16693j 1.44805e-15+0.0960738j 3.07285e-14-0.171799j 9.27645e-14-0.483959j 7.74743e-16+0.305303j 2.07778e-15+0.0829914j -1.82584e-13+0.719034j -4.40902e-14+0.461673j 1.39445e-14-0.000334913j -9.01781e-15-0.290686j -1.65575e-13+0.181782j 3.27454e-13-0.497033j -1.20501e-13+0.771312j -1.2307e-13-0.253742j 7.9513e-14+0.090287j 2.2577e-13-0.116655j -4.48539e-12+0.442348j 6.6515e-14-0.207838j 1.16761e-13-0.137112j -3.76055e-13-0.0572617j 3.90453e-16+0.414361j -1.46341e-13+0.451127j 4.01547e-14+0.131334j -2.04624e-13+0.173389j -7.24106e-14+0.13948j -1.45425e-14+0.0517578j 1.56695e-14-0.0355588j -2.56366e-14+0.101155j 4.52787e-14-0.235859j -1.00722e-14+0.0115306j 5.01716e-14-0.0354386j 1.06715e-14-0.0171954j 4.41784e-15-0.0779326j 3.42274e-15+0.00306722j -5.48554e-15+0.0369557j 5.35941e-15-0.0404096j 1.02885e-14-0.11101j -2.1903e-14+0.0298133j -1.92713e-14+0.0868785j -6.68712e-15-0.0422821j 1.2324e-13+0.0127564j -1.22582e-15+0.0125428j 3.0024e-15-0.060248j -6.97001e-15+0.0742025j 1.55769e-14-0.0626573j -8.60724e-16+0.0346818j 1.18204e-14-0.036009j 1.59205e-16+0.000503543j -1.99501e-15-0.00885806j -1.24177e-14+0.0308425j 1.42927e-14-0.0287276j -9.32584e-15-0.0135859j 1.47622e-15-0.0239786j -3.15595e-15-0.000242533j 2.02652e-15-0.00731746j 1.24686e-15-0.000251882j 3.68919e-15-0.0160255j -1.11543e-15+0.0105326j 1.22315e-15-0.00481132j -3.36164e-15+0.00137446j 4.60353e-14+0.0309921j 
