-0.158004-0j -0.124635-0j -0.136531-0j -0.0910205-0j 0.853296-0j -0.105101-0j -0.157652-0j -0.066472-0j -0.141008-0j -0.132944-0j -0.0940056-0j -0.068652-0j -0.0560541-0j -0.031709-0j -0.0071464-0j 
0.0216218-0j -0.0318258-0j -0.0522652-0j -0.0143024-0j 0.0241201-0j -0.0680583-0j -0.0603507-0j 0.102227-0j 0.0192961-0j 0.0949656-0j 0.0128641-0j 0.00578106-0j -0.0143136-0j -0.0121385-0j 0.000977938-0j 
-0.0418704-0j -0.0330278-0j -0.0361802-0j -0.0241201-0j 0.0127964-0j -0.00157614-0j -0.00236422-0j -0.000996841-0j 0.0331375-0j 0.0312423-0j 0.045593-0j 0.0332965-0j 0.0412-0j 0.0312335-0j 0.0106124-0j 
0.0249667-0j -0.0931926-0j 0.0215737-0j -0.0680583-0j 0.00157614-0j 0.00560519-0j 0.00140975-0j 0.000594401-0j -0.0197594-0j 0.0881546-0j -0.0271864-0j -0.0198542-0j 0.116251-0j -0.018624-0j -0.00632803-0j 
0.03745-0j -0.0840572-0j -0.0290827-0j -0.0603507-0j 0.00236422-0j 0.00140975-0j 0.00540756-0j -0.00418708-0j -0.0296391-0j 0.0251135-0j 0.116036-0j 0.0833107-0j -0.0368504-0j 0.0251064-0j -0.00949204-0j 
-0.0157903-0j -0.0124556-0j 0.0640759-0j -0.102227-0j -0.000996841-0j -0.000594401-0j 0.00418708-0j -0.00290715-0j 0.0124969-0j -0.0553308-0j 0.0171942-0j 0.141119-0j 0.0155375-0j -0.0553152-0j 0.0040022-0j 
0.0334963-0j 0.0264223-0j -0.111062-0j 0.0192961-0j -0.0331375-0j -0.0197594-0j -0.0296391-0j -0.0124969-0j 0.113969-0j -0.0280032-0j 0.0135451-0j 0.00989192-0j 0.0491134-0j 0.0629624-0j 0.0381377-0j 
-0.0315806-0j 0.0464846-0j 0.0245247-0j -0.0949656-0j 0.0312423-0j -0.0881546-0j -0.0251135-0j -0.0553308-0j 0.0280032-0j 0.0442759-0j -0.0127704-0j 0.0260893-0j 0.0864051-0j 0.0533488-0j -0.0359566-0j 
-0.0223309-0j 0.050122-0j -0.0192961-0j -0.0128641-0j 0.045593-0j 0.0271864-0j -0.116036-0j 0.0171942-0j -0.0135451-0j -0.0127704-0j 0.132004-0j -0.0338795-0j -0.0124232-0j 0.0453934-0j 0.083827-0j 
0.0163082-0j 0.0128641-0j -0.0394209-0j 0.00578106-0j -0.0332965-0j -0.0198542-0j 0.0833107-0j -0.141119-0j 0.00989192-0j -0.0260893-0j 0.0338795-0j 0.0152253-0j 0.00907263-0j 0.0927362-0j -0.0612186-0j 
0.0133156-0j -0.0195996-0j 0.011506-0j -0.0143136-0j -0.0412-0j 0.116251-0j -0.0368504-0j -0.0155375-0j 0.0491134-0j -0.0864051-0j 0.0124232-0j 0.00907263-0j 0.102327-0j -0.046834-0j 0.0957316-0j 
-0.00753242-0j -0.00594165-0j 0.00584949-0j 0.0121385-0j 0.0312335-0j 0.018624-0j -0.0251064-0j -0.0553152-0j -0.0629624-0j 0.0533488-0j 0.0453934-0j -0.0927362-0j 0.046834-0j 0.0505805-0j -0.00758799-0j 
0.00169762-0j 0.0013391-0j 0.00146691-0j 0.000977938-0j -0.0106124-0j -0.00632803-0j -0.00949204-0j -0.0040022-0j 0.0381377-0j 0.0359566-0j -0.083827-0j -0.0612186-0j 0.0957316-0j 0.00758799-0j -0.013024-0j 
