-0.530587-0j 0.653218-0j -0.00537139-0j 0.0309701-0j -5.81459e-06-0j 8.09576e-05-0j 2.72007e-08-0j 0.000498887-0j -0.00450118-0j 2.90325e-07-0j -6.89087e-06-0j 1.72032e-07-0j -3.18478e-05-0j 0.000443423-0j 2.58048e-07-0j 1.23175e-06-0j -2.92355e-05-0j 1.15403e-06-0j 
3.64936e-07-0j 2.23423e-09-0j -0.000267093-0j -2.00272e-06-0j 0.0365777-0j 0.000387872-0j 0.00269255-0j -0.00109811-0j -9.50763e-06-0j 0.254152-0j 0.00381136-0j -0.000288408-0j 0.000116122-0j 1.23136e-06-0j -0.000284992-0j 0.000402258-0j 6.03242e-06-0j 2.13278e-05-0j 
1.59018e-06-0j 1.72032e-07-0j 1.94756e-05-0j 2.58048e-06-0j 9.2381e-05-0j 1.73104e-05-0j 3.87073e-05-0j -0.00967652-0j -0.00148047-0j -0.037477-0j -0.00993127-0j 0.984897-0j 0.000505991-0j 9.4813e-05-0j 0.000367209-0j 0.00175281-0j 0.000464487-0j 0.00164221-0j 
-3.13822e-05-0j -2.31071e-07-0j -0.000228546-0j -2.29782e-06-0j -0.000345043-0j -7.57731e-06-0j 5.8047e-07-0j 0.0748479-0j 0.000983171-0j -0.00993127-0j 0.00209915-0j 0.0147699-0j -0.00188988-0j -4.15026e-05-0j 5.50682e-06-0j 0.000464487-0j -9.81775e-05-0j 2.46272e-05-0j 
-0.00271413-0j -0.000443423-0j -0.00963605-0j -0.00261286-0j 0.00104436-0j -0.00265699-0j -1.49913e-05-0j -0.0163733-0j -0.00807494-0j -0.000160009-0j 0.00123767-0j -9.4813e-05-0j -0.346225-0j 0.880848-0j 0.00860813-0j -0.000678859-0j 0.00525097-0j -0.000636025-0j 
0.0181769-0j 0.000226407-0j 0.0192364-0j 0.000644823-0j 0.00024241-0j -7.41553e-05-0j -1.29797e-07-0j -0.00807494-0j 0.000912246-0j -2.44806e-05-0j 1.62575e-05-0j -8.20908e-07-0j -0.0803639-0j 0.024584-0j 7.45308e-05-0j -0.000103862-0j 6.89746e-05-0j -5.50682e-06-0j 
2.38527e-06-0j 2.58048e-07-0j -0.000858272-0j -0.000113719-0j -0.00828085-0j -0.00155167-0j -0.0052335-0j 0.000160009-0j 2.44806e-05-0j -0.0182067-0j -0.00482471-0j 0.000367209-0j -0.0459393-0j -0.00860813-0j 0.979483-0j 0.00262921-0j 0.000696731-0j 0.00246332-0j 
-4.70732e-05-0j -3.46607e-07-0j 0.0100718-0j 0.000101263-0j 0.030929-0j 0.000679216-0j -7.84837e-05-0j -0.00123767-0j -1.62575e-05-0j -0.00482471-0j 0.00101979-0j 5.50682e-06-0j 0.171583-0j 0.00376805-0j 0.0146887-0j 0.000696731-0j -0.000147266-0j 3.69409e-05-0j 
-1.99883e-06-0j -1.22374e-08-0j -2.44806e-05-0j -1.83561e-07-0j -0.000116122-0j -1.23136e-06-0j -2.75341e-06-0j 0.00601459-0j 5.20754e-05-0j 0.0232944-0j 0.000349333-0j 0.00157968-0j 0.0384967-0j 0.000408222-0j 0.00158104-0j -0.00220326-0j -3.30409e-05-0j -0.000116817-0j 
-0.000224695-0j -2.92355e-05-0j -0.00163639-0j -0.000290723-0j -0.0024705-0j -0.000958692-0j 7.34419e-05-0j -0.00590777-0j -0.00137128-0j 0.000783878-0j -0.00292779-0j 0.000464487-0j -0.0135315-0j -0.00525097-0j 0.000696731-0j -0.254063-0j 0.948927-0j 0.00311587-0j 
0.0024915-0j 2.30354e-05-0j 0.00884565-0j 0.000135736-0j -0.000958692-0j 0.000138028-0j 7.78782e-07-0j 0.0150302-0j 0.000419485-0j 0.000146884-0j -6.42956e-05-0j 4.92545e-06-0j -0.00525097-0j 0.000756013-0j 7.38817e-06-0j -0.0476066-0j 0.0208389-0j 3.30409e-05-0j 
-2.18961e-06-0j -1.34054e-08-0j 0.000787872-0j 5.90762e-06-0j 0.00760161-0j 8.06079e-05-0j 0.000271875-0j -0.000146884-0j -1.27175e-06-0j 0.0167133-0j 0.000250639-0j -1.90762e-05-0j -0.000696731-0j -7.38817e-06-0j 0.000840669-0j 0.184379-0j 0.00276503-0j -0.000127967-0j 
-1.06672e-05-0j -1.15403e-06-0j -0.000130646-0j -1.73104e-05-0j -0.00061971-0j -0.000116122-0j -0.000259656-0j -0.00071558-0j -0.000109481-0j -0.00277143-0j -0.000734419-0j -0.00164221-0j -0.00339429-0j -0.000636025-0j -0.00246332-0j -0.0117582-0j -0.00311587-0j 1.01854-0j 
0.000210518-0j 1.55007e-06-0j 0.00153314-0j 1.54142e-05-0j 0.00231462-0j 5.08301e-05-0j -3.89391e-06-0j 0.00553501-0j 7.27056e-05-0j -0.000734419-0j 0.000155232-0j -2.46272e-05-0j 0.0126777-0j 0.000278408-0j -3.69409e-05-0j -0.00311587-0j 0.000658595-0j 0.0152744-0j 
1.01359e-05-0j 6.20548e-08-0j 0.000124139-0j 9.30822e-07-0j 0.000588845-0j 6.24415e-06-0j 1.39623e-05-0j 0.00067994-0j 5.88704e-06-0j 0.00263339-0j 3.94914e-05-0j 8.83056e-05-0j 0.00322524-0j 3.42006e-05-0j 0.000132458-0j 0.0111725-0j 0.000167548-0j 0.000592372-0j 
