0.448996-0.00552081j -0.0968782-0.526927j 0.190498-0.29275j 0.275684-0.152276j 0.106693-0.160891j 0.181675+0.140055j 0.103708-0.0300259j -0.334339-0.00718302j -0.0998658-0.0347575j 0.190937-0.129533j 0.101376+0.16681j 0.269061+0.164743j 0.173001+0.304598j 0.12853-0.517392j 0.445134+0.0347082j 
-0.00558119+0.0247896j -0.01225-0.00412634j 0.0384996-0.0232645j -0.00163235-0.0557057j -0.0316605-0.0091186j -0.0378339+0.0101083j 0.0131025+0.0543761j 0.00547321-0.0434963j 0.0265686-0.0488751j 0.0332538+0.0187301j 0.0337035-0.00189219j 0.0140686-0.0549894j -0.0315989-0.0315165j -0.0135864+0.00141513j -0.000164777+0.0247288j 
0.0381026+0.0201055j -0.000616854+0.0132555j -0.0254111-0.0270657j -0.0395842+0.0416524j 0.0203037+0.00985314j -0.0206085+0.00897141j -0.019333-0.00109884j -0.00924984+0.000944944j 0.0184948-0.00229224j -0.0210246-0.00926174j 0.0197042-0.0111122j -0.0416024-0.0398434j -0.0230121+0.0286741j 0.00188479+0.0124675j 0.0379883-0.0214082j 
0.0155924-0.00855449j 0.0250986+0.0258314j -0.0226706-0.00405876j -0.0151887-0.0251821j 0.0272636-0.0263493j 0.0541404+0.0380758j -0.0116773+0.0728886j -9.938e-05-0.00263319j -0.0139326-0.0722533j -0.0521089+0.0404273j -0.0281912-0.0256172j 0.0159143-0.0251758j 0.0219396-0.00454646j 0.0240705-0.0269598j -0.0167066-0.00731751j 
0.00957146+0.00414726j -6.74039e-05+0.00231799j -0.00743075-0.00731369j -0.00885791+0.00799821j 0.00752066+0.0116092j -0.00345517+0.00432345j -0.00812918-0.00265083j 0.000369999+0.000102688j 0.00765427-0.00305639j -0.00367588-0.00459937j 0.00673346-0.0120235j -0.00923077-0.00758806j -0.0067384+0.00775156j 0.000313063+0.00215758j 0.00962437-0.00438851j 
0.00498826+0.00760154j -0.0054672+0.00744827j -0.0141903-0.00396279j -0.0372634+0.00491957j 0.0722989-0.0313535j 0.0183564-0.0184521j -0.024508+0.0317119j -0.00594825-0.0186284j -0.014975-0.0250366j -0.0302335+0.000279678j -0.0672411-0.00120665j 0.0118845-0.0344466j -0.00388098+0.012881j -0.00322772+0.00154036j 0.0182592-0.00302836j 
-0.0154877+0.00757438j -0.0159928-0.0096263j 0.0067995+0.00791329j -0.0258124-0.00317933j 0.0673076-0.0222724j 0.00459716-0.0357597j -0.00965656+0.00642418j -0.00316918-0.0234762j -0.0241615+0.0025966j -0.00439242-0.0204707j -0.0753077+0.00649878j 0.0211883-0.0129873j -0.00548549+0.00342875j -0.0189102+0.00883765j 0.0149388+0.00721347j 
-0.00307216-0.0308879j -0.00415345-0.00237563j -0.0383207+0.0395356j 0.0622912+0.0496273j 0.0163598+0.00880845j -0.038327-0.0442641j -0.0698362-0.0059204j 0.0258825+0.0145475j 0.0455442-0.00231465j 0.0316744+0.000243946j 0.0156738-0.0121413j -0.0226746+0.0312812j 0.020654+0.0450495j 0.00722497-0.00340528j 0.00992868-0.0241991j 
-0.0236527-0.0129756j 0.00794865-0.00344459j -0.00386687+0.0224814j 0.00743754-0.0115665j 0.00414719-0.0381006j 0.0265926-0.0485085j -0.00649102+0.0273184j 0.0103313-0.00129643j -0.0165002-0.0110009j 0.00964596+0.0402277j -0.0322011+0.0302943j 0.0304594-0.0125946j 0.0127616-0.0132348j -0.00120093-0.0218124j -0.0119716+0.0185964j 
-0.000946465+0.0232266j -0.0114301-0.00565578j 0.0353726-0.0344941j -0.0169209-0.038029j -0.0244615+0.0538433j -0.000124962+0.0473513j 0.026466-0.0462103j -0.00631384-0.00255597j 0.00966224+0.0239816j -0.0042747-0.0382398j 0.0317062-0.0237561j 0.01845+0.0121658j -0.0230708-0.0245133j -0.00434188+0.0156645j -0.00413018+0.0180723j 
-0.0271714-0.0185576j 0.00170618-0.0112639j -0.00129862+0.0190371j 0.0403789-0.0201033j -0.0185365+0.0338073j 0.0102673-0.0304403j -0.0289794-0.0185379j 0.0287138+0.0109216j 0.025782+0.000968884j 0.0342814+0.0134311j 0.0212596-0.0146919j 0.0330245+0.0248265j 0.00694873-0.00881603j 0.00210169-0.0188635j -0.0148352+0.0228518j 
0.0363065-0.0116098j 0.0355358+0.015549j -0.031471-0.0180153j -0.0202405+0.00237011j -0.0273774+0.0156045j 0.0482329+0.0472582j 0.0253417+0.0335547j -0.00342213+0.0138038j -0.0133411-0.0472189j -0.0210632+0.0471505j 0.032484-0.0394886j -0.0328835-0.0184048j 0.000476763-0.00122316j 0.0184619-0.0251923j -0.01098-0.00969773j 
0.0304413+0.0157187j -0.0123164+0.00688558j -0.00315714-0.0461511j -0.0454727+0.0252735j 0.0160013+0.00176313j 0.0205044+0.0283485j 0.012187-0.0452933j -0.027937+0.00467747j 0.00218946+0.0306868j -0.0416881-0.0148674j -0.00962726+0.0061316j -0.0127041-0.00824285j -0.0294846+0.00921185j 0.00706947+0.0285235j 0.0125153-0.00620609j 
0.0230175-0.0133925j 0.0292819-0.00179248j -0.0172609-0.00486567j -0.0199309+0.00399179j -0.0181224+0.0176259j 0.043168+0.0304197j 0.0463157+0.0153885j -0.00433123+0.00723054j -0.0352397-0.0230761j -0.00277245+0.0295837j 0.0089779-0.0354246j -0.0336915-0.000825628j -0.000340197-0.00665433j 0.000489246-0.0183928j -0.0116112-0.00589307j 
-0.0132087+0.0189436j -0.0131104+0.00737713j 0.0210664+0.00049878j 0.00718699-0.0222119j -9.63668e-05-0.0115899j -0.0377326+0.00306713j -0.0170356+0.0160391j 0.00121018-0.0113085j 0.0165314-0.00378649j -0.00182029-0.0220612j 0.00697017+0.017171j 0.0200869-0.0122726j 0.00399348-0.00535161j -0.000707623+0.00718094j 0.00641643+0.00254195j 
