0.465522-0.0853809j -0.116551-0.441625j 0.00826159-0.130025j 0.2778-0.0530448j -0.0993421-0.264043j -0.17297+0.0753799j 0.11101+0.0143391j 0.192652+0.0325205j -0.105403-0.35954j -0.0376897+0.0457755j -0.203655-0.00263185j 0.0906407+0.00151735j 0.0352299+0.0452412j -0.115546+0.354752j -0.196511+0.0291442j -0.113686+0.0086784j -0.169863-0.0805209j 0.110134-0.259241j 0.270421+0.0654548j 0.00198272+0.122833j -0.142539+0.436242j -0.45913-0.111967j 
-0.000758269-0.00069208j -0.00183284-0.0228305j -0.0330176+0.0225599j 0.0182794+0.0193552j 0.0103893+0.00598894j 0.0345703-0.0497004j -0.00249811-0.0311977j -0.0350251-0.0102472j -0.0194446+0.01674j -0.045994-0.0385728j 0.0303366-0.0887266j 0.022587-0.0212274j 0.0289701+0.00309742j -0.0650571+0.00458182j -0.0517479+0.0515109j 0.053222-0.0102155j 0.0309982+0.0533848j -0.0339705-0.0238297j 0.00167711+0.0547851j 0.0354331-0.0542924j 0.000357236+0.0196363j -0.0344699+0.0197359j 
0.0030162-0.00667764j 0.0140552+0.0164341j 0.00773004-0.00842353j -0.0541708+0.0169994j -0.0686203-0.0229178j 0.0374528+0.0438217j 0.0241545+0.0102848j 0.0465884+0.0193572j -0.0225331-0.0122278j -0.0159146+0.0722054j -0.0113472-0.014498j -0.00233458+0.048636j -0.0555211+0.0231298j -0.0594028+0.00521107j 0.0136701+0.00541911j -0.0361794+0.026943j 0.0317073-0.00504267j 0.0399701+0.0329015j -0.040615-0.0359014j 0.0561639+0.0216414j 0.024686-0.0145862j -0.0107609-0.00225756j 
-0.0155139-0.00950865j 0.00199078+0.00268385j -0.01813-0.0145673j 0.021784+0.0491003j 0.0676765-0.013372j 0.0430658+0.00857655j 0.0225801+0.0521818j 0.00558432+0.0498446j -0.0155935+0.0518571j -0.0216703+0.0431136j -0.0308229-0.0313932j -0.0514172+0.0372937j -0.019529-0.045665j -0.00356242+0.0120568j 0.0298857+0.0700976j -0.0869136-0.0164128j -0.0135638+0.0179088j 0.0115409-0.0743284j 0.0173062+0.0407295j 0.0387899+0.00800703j 0.0190976-0.0120506j -0.0102362+0.0219442j 
0.00308457-0.00402097j -0.0173866-0.0114617j 0.0108763+0.0389115j 0.00801329+0.00368878j -0.0340085+0.0108869j -0.0279844-0.0631051j -0.0282736-0.0349991j -0.0275715+0.0179217j -0.00461517+0.0232344j -0.061806+0.029979j -0.07223-0.0985045j 0.000532722-0.0448611j 0.0251754+0.00199886j -0.0609526+0.0864143j 0.00783114+0.0852842j 0.0443495-0.049998j 0.0915959-0.0217092j -0.0285102+0.0415083j 0.0280741+0.0251699j -0.0233506-0.0752266j 0.0240588+0.00648046j -0.00605067+0.0458777j 
0.0118053+0.00961902j -0.00011992+0.0202254j 0.0794162+0.0295351j -0.00884623-0.00930276j 0.0140586-0.0416037j 0.00499145-0.0468588j 0.0402763+0.0766421j -0.0474743-0.00512227j -0.036817+0.00169918j 0.0537223+0.015482j -0.0010017-0.00633538j 0.0340549-0.0920704j -0.0182209+0.0528348j -0.00176658-0.0199043j -0.0674257+0.00630257j -0.0483697-0.00385295j 0.0863992+0.0120721j 0.010771-0.0416194j 0.0172963-0.0276218j -0.0357542-0.00868798j 0.0179183+0.0046514j 0.00933616+0.00586093j 
-0.00943786+0.00987674j -0.00446607-0.00202801j -0.00723644-0.00108614j 0.0645071-0.0141825j 0.0848489-0.0782742j -0.00240946-0.0406978j 0.0566988+0.0290698j -0.0177029+0.0363975j 0.0273382+0.0427013j 0.00766025-0.0360596j 4.83334e-05+0.000531534j -0.0316275-0.000459365j -0.00759853-0.0349471j 0.0273556-0.0432633j 0.017955+0.0352946j -0.0572285+0.0294267j -0.00265328+0.0406124j -0.084167-0.0784068j 0.0650849+0.0150147j -0.00875033+0.000700001j -0.00445074+0.00226432j 0.00933854+0.0095189j 
0.00949119-0.00682341j -0.0180955+0.00511593j 0.0351532-0.0117662j -0.0180108-0.0266162j 0.00888135+0.040534j -0.0867727+0.0129813j -0.0457489+0.00459659j -0.0683455-0.00944408j 0.0045975-0.0201957j -0.0157585-0.053491j 0.00409146-0.00725317j -0.0339462-0.091672j 0.0516262-0.0148359j 0.0391518-0.000165719j -0.0483303+0.00354033j 0.0390778-0.0737883j -0.00661565-0.047901j 0.0139332+0.04056j 0.00583298-0.0101019j -0.0787362+0.0312286j -0.00061987+0.0197529j 0.011364-0.0107307j 
-0.0057698-0.0477658j -0.0254085+0.00480262j 0.0191625-0.0746852j -0.0274034+0.0294524j -0.0279432-0.0388187j -0.089575-0.0192814j 0.0420877+0.0500142j 0.0118585-0.0870773j 0.0629336+0.0882809j 0.0231502-0.00062342j 0.0747045-0.0994255j -0.00018101-0.0390336j -0.0644161-0.0339468j 0.00641635+0.0255659j -0.0239817-0.0209729j -0.0286935+0.0339223j 0.0240941-0.061742j -0.0319948-0.011535j -0.00861109+0.00651031j -0.0080392+0.0386307j 0.0167039-0.0109397j 0.00155561+0.00457707j 
-0.00915182-0.0201078j -0.0184618-0.0136757j -0.0401175+0.0117444j -0.0153332+0.0373623j 0.0126358+0.0749409j 0.0159237+0.0173953j -0.0884533+0.0139362j 0.0297771-0.0662832j 0.000725091+0.0108227j -0.0212677+0.045277j 0.0277922-0.0278317j 0.0507928+0.0395085j -0.0191621-0.0443916j 0.0143149+0.0518444j 0.00824922-0.0468079j 0.0239214-0.0541693j -0.0434284+0.0109779j 0.0667056+0.0149018j -0.0206491+0.0485461j 0.0183174-0.0172758j -0.00272536+0.00336502j -0.0151768+0.00938955j 
0.0100536-0.00369912j 0.02409+0.0149778j 0.054843-0.0215066j -0.0419749+0.0372269j -0.0412755+0.0329297j 0.0305486+0.00600518j 0.0376236+0.0272863j -0.0132614+0.00362132j -0.0571079-0.00419766j 0.0563995+0.0244314j -0.010679+0.0119327j -0.00169018-0.0478366j 0.013847+0.0719449j -0.0217105+0.013098j -0.0464698+0.0181928j -0.024518+0.0111979j 0.0376975-0.0444159j 0.0684266-0.0235319j -0.0550268-0.016342j 0.00972858+0.00922037j 0.0139264-0.0168479j -0.00321371-0.00625627j 
-0.0353714-0.0210654j -0.0021333+0.0196026j -0.0371632-0.0514904j 0.00117515+0.0553636j -0.0326425+0.0241471j -0.0291263+0.0540122j 0.05214+0.0099908j -0.0502084-0.0528476j 0.0672576+0.00394501j 0.027409-0.00153454j -0.0305326-0.0901051j -0.0199357-0.0175902j -0.0489688+0.037396j 0.0206864+0.01641j -0.0337668+0.00744869j -0.00295306+0.0307513j -0.0352725-0.0472811j 0.00983659-0.00608585j -0.0168518+0.0207619j 0.034039+0.0211214j 0.00186343-0.0217597j -0.0011725+0.00169747j 
0.0253129+0.00614295j 0.0332781-0.00868646j 0.0454427-0.0274821j -0.0185963+0.00984773j -0.0220497+0.0200667j 0.0345278-0.0249206j 0.0313405-0.0279835j 0.0221518+0.0528596j -0.0723708+0.0111395j 0.0317656-0.0210982j 0.00835297+0.0666382j -0.0329348-0.016047j 0.0745237+0.0365274j -0.0330771+0.000530505j -0.000721547+0.0392999j -0.00168475+0.0242128j 0.0225612-0.0361714j 0.0186638-0.0291386j -0.0470095-0.012145j 0.00160261+0.00206995j 8.30618e-05-0.0102776j -0.00410921-0.0107024j 
0.0183714-0.00937806j 0.00393683-0.014064j 0.0233175-0.0215547j -0.014957+0.000768234j -0.00289038+0.00218742j -0.00512123-0.0300712j -0.00592792-0.00704561j 0.0362636+0.00587536j -0.028186+0.0356639j 0.00186902-0.00978599j 0.0423868+0.0225666j -0.00802572-0.000558925j 0.0312225-0.0221161j -0.0153209+0.0111057j 0.0114503+0.00435044j 0.000414225+0.00310478j 0.0127786-0.0190883j -0.00221976-0.0107636j -0.0193151+0.0019105j -0.0090037+0.00465635j 0.00173597+8.56713e-05j -0.00387459-0.00261256j 
