-0.0122166+0.0812254j 0.085733+0.0150075j -0.0223654+0.0405073j 0.0322247+0.0304653j -0.00981371+0.00142165j 0.000609594+0.0124354j -0.017356+0.00615598j -0.0134462+0.0228753j 0.00416465+0.0152126j -0.0225637+0.00211352j -0.0117083-0.0019657j 0.00304832+0.00800878j -0.00965835-0.00706878j 0.000356331-0.00269704j 0.000733019-0.00351956j -0.00734536+0.016434j -0.000828631-0.000260196j 0.0109159+0.00238065j -0.00628646+0.0134634j 0.0160252+0.00502309j -0.00144829+0.00923205j 0.00701768+0.01724j -0.0107057+0.0264701j -0.00552344-0.00484304j -0.0178409-0.0212844j -0.00142861+0.00242045j -0.0251579-0.00353094j 0.00830119+0.0212541j 0.00595144+0.00980381j 0.00319361-0.0117619j 0.0111196-0.0111972j -0.0141048-0.000196625j -0.00907963+0.0138199j 0.00464082+0.0040742j -0.00656836+0.0100355j -0.0351113-0.000766357j 0.00219662+0.0166769j -0.00607815+0.019932j 0.0211561+0.00396574j -0.027974-0.0206744j 0.0223485-0.0101122j -0.00592235-0.0115526j 0.0128448-0.0265873j 0.000418343+0.0141201j 0.00728796-0.00682623j 0.0250479+0.0011426j 0.00480284-0.0064874j 0.0104894+0.00146957j -0.0267498+0.00875553j -0.0127717-0.0179121j 0.016821+0.00309166j 0.0114903-0.00878678j 0.0212844-0.00881278j -0.00951123-0.00103369j -0.0105436+0.0156908j 0.00366724+0.0378157j -0.00571817-0.00509895j 0.000703965+0.0027219j -0.00329543-0.00167937j 0.0143646-0.0212616j -0.00313037+0.00952736j -0.00804824-0.00364574j -0.011128-0.0181976j -0.0103997-0.0250117j -2.59735e-05-0.000295288j -0.00121649-0.000679404j 0.00209865+0.00255937j -0.0165249-0.0319267j 0.00667454+0.0166585j 0.000918661+0.00974288j 0.00172413-0.0181376j -0.00557256-0.00936669j 0.00032203+0.0153505j -0.00149626-0.0123016j 0.00509905+0.0129903j -0.0124474+0.00991776j 0.0107698-0.0401507j -0.0144593-0.000985168j 0.0175538-0.00433663j -0.00196049+0.0125986j 0.0187246-0.00415653j 0.0256671+0.0114314j 0.0334649-0.0153106j -0.00627021-0.000939671j 0.00470027-0.0107251j -0.00049231+0.00364902j -0.00229448-0.00829148j -0.0195193+0.00620586j -0.00981761+0.0256176j 0.000948431+0.00450069j 0.00971727-0.00229099j -0.037921+0.0300137j 0.0227018+0.04447j 0.0895634+0.0159411j -0.0162086+0.0866667j 
0.000979904+0.00598919j 0.00451299-0.00170986j 0.00778306-0.00109977j -0.00403414-0.00258983j 0.00160877-0.000497186j -0.00776803-0.00931141j -0.00668731+0.00797221j 0.0147525+0.000815632j -0.0061552-0.00288422j -0.00098254-0.00967079j -0.00122358-0.00322148j 0.00338809-0.00738105j 0.00290733+0.00250694j 0.00309011-0.000562375j -0.00171496-0.000810846j -0.00240319-0.0108532j 0.000294796-0.00254194j 0.0045982+5.64951e-05j 0.0081656-0.0109405j 0.00764177-0.00674608j 0.00203574-0.00164433j 0.00456289+0.00966136j 0.00353253+0.00700119j -0.0106887+0.00319764j 0.0157256-0.00652215j 0.00887602+0.00858065j -0.000538863+0.00273693j 0.000301748-0.00205465j 0.00664508-0.00391053j -0.00463662+0.0014899j -0.00401006+0.00424706j -0.00190131-0.00346928j 0.00519936+0.00968517j 0.00195396+0.00179905j -0.00110999-0.00210207j 0.00817531+0.00181558j -0.000305703-0.00337163j 0.00582878+0.0101744j -0.00139564+0.007325j -0.0100686-0.0128954j 0.0153706-0.0023657j -0.00400157-0.00218022j 0.00604254+0.00619684j 0.0099045-0.000104852j 0.00628122+0.00610487j -0.00749742+0.0161068j 0.00660943-0.00305005j -0.00369431-0.000260844j -0.00761505-0.0104997j -0.00300374+0.0102376j 0.00294084+0.00567246j -0.00788705+0.000419203j -0.00169163-0.00888322j -0.00138503+0.00296368j 0.00430338+0.00159731j -0.0105534-0.0102066j -0.00423905+0.00187049j 0.0113683+0.0026293j -0.00735906-0.00198411j 0.00168177-0.0028771j -0.000462305+0.0025294j -0.000538086-0.00208716j 0.00407796-0.00621664j -0.00291173+0.011321j -0.0104309+0.000908079j 6.39512e-05+0.00456724j 0.00747135-0.00482888j 0.00909859-0.00286384j -0.0108429+0.0090799j 0.00166001+0.00530835j 0.0129271-0.00650603j -0.0036713+0.00562895j 0.00377952-0.000755426j -0.00827637+0.0106263j 0.00569055-0.00484831j 0.00619464-0.00426566j -0.00147193-0.000334112j -0.0100737+0.0124336j 0.00443321-0.00625673j 0.00924354+0.00454932j 0.003544-0.00220676j -0.00271362-9.70032e-05j -0.00490526+0.00895079j -0.01407+0.00424726j 0.00766456+0.0137454j 0.0178622+0.00511175j 0.0145575+0.00776519j -0.00416804-0.0065548j 0.00544769-0.00429097j -0.00181183-0.0134184j -0.0129564+0.00582238j -0.00410255-9.66622e-05j -0.00693978-0.0126879j 0.00744162+0.00257095j -0.00513499+0.00802385j 
-0.00108967-0.00152635j 0.000746702+0.00213932j -0.0054842-0.00103518j -0.000722837+0.00314745j -0.00546945-0.00395997j -0.00260392-0.0019308j -0.00655213-0.000829988j 0.00399324-0.00117985j -0.00573976-0.00698161j 0.0052778-0.0106692j -0.00477509-0.00183158j -0.00526177+0.00777771j 0.00969279-0.00131078j -0.00497487+0.00409962j -0.00578117+0.000313956j 0.00110527-0.00186318j -0.0018891-0.00119068j -0.000178809-0.0036341j 0.00022116-0.000610037j -0.00318912-0.00320775j -0.00244993-0.00518135j -0.0147262+0.00402521j -0.003045-0.00990305j -0.00570715-0.00202939j 0.00716979+0.00351316j 0.000172898+0.00699621j -0.00322968+0.00942874j -0.00305566-0.00208336j 0.000366074-0.000648649j -0.00460824-0.00905673j -0.0034028+0.00545633j 0.00453128-0.00144085j -0.00369871+0.00468675j -0.00304426+0.0085302j 0.0150488+0.00456964j 0.00734039+0.00383207j 0.00943563-0.0111042j -0.00754349+0.00234011j -0.00172032+0.000586762j 0.00521387-0.00107157j -0.00273396+0.00265616j -0.0144777+0.011189j -0.00153416+0.00326885j 0.00770366+0.000478673j -0.00909569+0.00534748j 0.00178428-0.000981903j -0.0107434+0.000597406j 0.00511864-0.00738866j 0.0116147+0.0101465j 0.00813414+0.00781011j 0.0094056+0.00294801j -0.00491345+0.00384199j -0.00584802-0.00760876j -0.00881264+0.00149448j -0.0024738+0.00214572j -0.00785682+0.00741176j -0.00837232+0.00273009j -0.00350029+0.0026244j -0.00662747-0.0082283j 0.00781047+0.00244736j -0.00348384+0.00573134j -0.000194376-0.0078178j 0.00691071+0.0109104j -0.0104597-0.00467967j 0.00588068+0.00718906j 0.00405856-0.0142824j 0.00576711+0.00312382j -0.00840925-0.00627173j 0.0103191+0.00572088j -0.0020314-0.0073932j 0.00523281+0.0132854j 0.00352529-0.00563664j 0.00870044-0.0107045j -0.0030447+0.00136306j 0.00293104+0.00129865j 0.0041658-0.0125984j -0.00138635+0.000194772j 0.00388095+0.0226322j 0.00171582-0.00457583j -0.00987893+0.00156174j 0.0189071-0.00703045j -0.0111115-0.00333963j -0.000678098-0.00857896j 0.00318713+0.0146407j -0.0055291+0.00459513j -0.0100874+0.00293343j -0.005543-0.000950169j -0.00257727-0.00174471j 0.00375176+0.0130288j -0.00573098+0.00300397j 0.000993202+0.0100299j -0.0145768+0.0125061j 0.00556944+0.012496j -0.00658714-0.00264138j 0.00227817-0.00555518j 
-0.00129619+0.0159101j 0.0176162+0.00269953j 0.00417854-0.0138398j -0.00555668-0.00295673j -0.00519946-0.0017193j 0.00578292+0.00820554j 0.00428874-0.00117135j -0.00454347+0.00487763j -0.00297347-0.00217901j -0.00479174+0.0116818j 0.00367329-0.003426j 0.00684281+0.0113385j -0.0150028-0.000655893j -0.0055268-0.000629132j 0.00106578-0.00623239j -0.00383509+0.0108025j -0.000239969+0.00721799j -0.00348301-0.00726437j -0.00827004+0.0114705j -0.00183143+0.010668j 0.000602329+0.00831135j -0.00222396+0.00407725j -0.00305718+0.012506j -0.00365262-0.00591011j 0.00356381-0.00635137j -0.0104808-0.00410634j 0.000759403+0.0034339j -0.000501316-0.00371433j -0.00140532+0.00770689j -0.00815256+0.0051193j 0.000992117+0.00318973j -0.00561463-0.00411889j -0.00392096-0.00809148j 0.0117476+0.00769049j 0.00225406+0.00229503j 0.00294336-0.00961867j -0.00121002-0.00224912j -0.00437331+0.00547018j 0.0131427+0.0136125j -0.00933975+0.00480618j -0.00110894+0.00454866j -0.0217047+0.00489261j 0.0169482-0.00677214j -0.00604827-0.00461734j -0.00320395-0.00859805j -0.00562911+0.00918729j -0.0035942-0.00565282j -0.00485215-0.0115828j -0.0250703-0.00589343j 0.00883713+0.00495717j -0.00795921+0.00952513j 0.00336605-0.00476146j 0.00898246-0.0207494j -0.008531-0.0193295j -0.00178904+0.002865j -0.00433262+0.00813629j -0.0233448-0.00704244j -0.0150985+0.000159564j -0.0123052-0.00790369j 0.00137116-0.0079918j -0.0116245+0.010572j -0.00179833-0.00523752j -0.000621206+0.000728247j -0.00307732-0.00344675j -0.00721173+0.00951206j 0.00680835-0.0168989j -0.0101293-0.00138873j 0.00614276-0.00936494j 0.0104404+0.0229604j 0.00253018+0.00570722j -0.00626203-0.0163889j 0.00019479+0.00295663j 0.00475689-0.00995164j 0.00708487+0.00431584j -0.00937412-0.00178621j -0.00577229-0.0193246j -0.0100225-0.0176354j 0.00709467+0.00495097j 0.00850929+0.00161629j 0.0176049-0.00362614j 0.00830855-0.0156722j 0.0149536+0.00698793j 0.00287847+0.000139736j -0.00244843+0.0192864j 0.00307824-0.0119581j -0.0050866-0.00186451j 0.00293541+0.00206654j -0.00854553-0.00162401j -0.00362528-0.000916492j -0.000395625-0.00131362j -0.00736408-9.51001e-05j 0.0101385-0.00511489j 0.00212365-0.00900978j 0.0170724-0.0013516j -0.000567508+0.0110612j 
0.00215515+0.0255278j 0.025594-0.00571986j -0.0156033+0.0111391j 0.0152658+0.0106422j -0.0139834-0.00265346j 0.00060983+0.00286436j -0.0098144+0.00281613j 0.00115598+0.00105857j -0.00573521+0.00858895j -0.00167666+0.000910575j -0.0084531-0.000719756j 0.00512564+0.00559562j 0.00872605-0.00226745j -0.00373066+0.000150148j 0.00297633+0.00266683j 0.00219572+0.00349502j -0.00816157-0.000838556j -0.00197948+0.00506705j -0.00631855+0.01253j 0.00224011+0.0109569j 0.000693033+4.04346e-05j 0.0169614+0.00350088j 0.000434615-0.0013099j -0.000564427-0.000833132j 0.0026736+0.0039097j -0.00173254+0.00233131j -0.00179306+0.00125363j -0.00516098+0.000214751j -0.00271755+0.00809573j -0.00515513-0.00154325j 0.00496729+0.00104879j 0.00210672-0.00139471j -0.00615684+0.000194785j 0.00621612+0.00485436j 0.00482385+0.00664748j -0.0105039+0.00593507j -0.00297221+0.00919946j 0.00616773-0.00965539j -0.00896467+0.000510066j -0.00714796-0.010823j 0.0124764-0.00339849j -0.00812112-0.000420861j 0.00197115-0.000752089j 0.0133459+0.00428449j -0.00261453-0.00211491j 0.00253881+0.00498089j 0.00069441+0.0001004j 0.00119671+0.00318909j -0.0119238-0.000170867j 0.000801232-0.000243222j -0.00433734+0.00546355j 0.00586907-0.00533402j -0.0049744-0.00717207j -0.00108803+0.0052647j -0.00788988+0.00163339j 0.00205919+0.0117645j 0.00442271+0.00574977j -0.0106776-0.00298326j 0.0103385+0.00796338j 0.00417254-0.0144228j -0.00647139+0.00218791j -0.000992141-0.0025007j -0.00222198-0.0163284j -0.00309416-0.00499944j 0.00855374+0.000247942j 0.000562423-0.00368693j 0.00137606-0.00617921j -0.00394277-0.0103569j -0.00117985+0.00915335j -0.00384096-0.00499642j 0.00433117-0.0162137j -0.00107875-0.00193508j 0.00225093+0.00551218j -0.00287561-0.00294848j 0.00761301-0.00373501j 0.00772485+0.00802266j 0.0029734-0.00246434j -0.0127075+7.42928e-05j 0.0087987-0.00305222j -0.00236631+0.00278332j 0.00508578+0.001403j 0.0123843+0.00889305j 0.0141406+0.00645709j -0.00223395-0.0024746j 0.0092967-0.00221929j 0.00700576+0.0046464j -0.00421962-0.00881428j -0.0159071+0.00017561j -0.0112047-0.000252254j 0.00311636+0.0138232j 0.0123741-0.00299188j -0.0145872+0.00117417j 0.00614463+0.0151297j 0.0295153+0.00425466j -0.00650396+0.0339044j 
0.00120121-0.0209495j -0.0215982-0.00378148j 0.00132824-0.00738978j -0.00633746-0.0106897j 0.00226665+0.000831453j 0.00451836-0.0031775j 0.00781093-0.00326765j 0.0174015-0.00241202j -0.00470905-0.0107348j -0.00232752+0.00177459j 0.00802375+0.0013263j -0.00259636+0.00840102j -0.0125174-0.00907809j 0.00112041+0.00145044j -0.00192897+0.000586988j 0.0015341-0.00479847j -0.00151833+0.00455928j -0.00193382-0.00154442j -0.00125878-0.003812j -8.93988e-05-0.00143167j -0.00391129+0.00733294j -0.00412732+0.000738931j -0.00345098-0.00480689j -0.00559068+0.00144039j -6.23088e-05+0.00145907j -0.00459719-0.0126724j 0.00569899-0.0104039j -0.00178589-0.0148786j -0.00568872+0.000926541j 0.00213753-0.0161674j -0.00243726-0.0040248j 0.00406934+0.00256599j 0.00886565-0.00576004j -0.00900228-0.0106867j -5.90328e-06-0.0119093j 0.00540433-0.0190001j 0.00976052-0.00625618j -0.00609658-0.0086523j 0.00363371-0.00412277j 0.0163835+0.00893852j -0.000766199+0.00793592j -0.0144218+0.00624207j 0.00432779+0.00565901j -0.000115393+0.00526363j 0.00062607+0.000330947j -0.00943633-0.00460296j -0.00140601+0.00549879j 0.00306124-0.000745743j -0.00571803+0.00603485j 0.00222075+0.00447856j -0.000928078+0.00623074j -0.0018751+0.00233463j 0.000379805-0.0064716j -0.00392835-0.00667983j -0.00150924-0.00461015j 0.00171123+0.00241709j 0.0120822+0.0019521j -0.00188265+0.0151188j 0.00434728-0.00162049j -0.0146335+0.00566511j -0.00778192+0.00583944j 0.0127963-0.00652399j 0.0180163+0.009663j 0.0194827+0.0123605j 0.00118978+0.00700406j -0.0046658-0.00792991j -0.00390347-0.0158464j 0.0051669+0.00473472j 0.00795193-0.00109002j 0.00227614-0.0116776j -0.00503996+0.0112258j -0.00358822-0.00133664j 0.0116482-0.0117184j 0.000681756-0.00783305j 0.0145631-0.00764545j 0.00867351-0.00160633j -0.0209755-0.00222558j -0.0050022+0.00918256j 0.00544218-0.00661772j 0.000683108+0.00830888j 0.0150577-0.00451567j -0.00951314+0.0140097j -0.00600434+0.00431586j 0.000222012+0.00693479j -0.00252259-0.00280237j 0.00168762-0.0046949j -0.000498318+0.0137782j 0.0179244+0.00335845j -0.00923544-0.00182089j -0.00733949-0.00338152j 0.00066466+0.0104944j 0.0126285+0.0019814j -0.0114733-0.0212849j -0.0284006-0.00491935j -0.00227043-0.0249678j 
0.0110194+0.00199173j 0.000489942-0.00991057j 0.000770292+0.000294988j -0.00727807-0.00169603j -0.000121846-0.00647581j -0.0123123-0.00505352j 0.00103712-0.0013279j 0.0036369+0.0029695j -0.00251575-0.00489251j 0.00445091+0.00348437j -0.00666202-0.00227047j 0.00198449+0.0085061j -0.00125356-0.0064934j -0.00950712+0.00609823j -0.00130912-0.0102078j -0.00973135+0.0015153j 0.00713262-0.00352121j 0.00168927+0.000541545j 0.00769176-0.00880452j -0.00827608+0.00607494j 0.0137849-0.00946233j -0.00580673+0.00108774j 0.0019996-0.00615721j 0.00313944+0.0035604j -0.0024024-0.0076629j -0.000476137+0.00393186j -0.000736479-0.00946113j -0.00306231+0.00514377j 0.00761934-0.0032753j 0.0093424+0.0024063j -0.00136695-0.00241688j 0.00711583+0.000324063j -0.00385343+0.00210326j 0.0014571-0.00510292j -0.000648426+0.00215033j 0.00429774-0.000785127j 0.00257447-0.00246893j 0.00889226+0.00326183j 0.00243673+0.00200527j 0.00616299+0.00154783j 0.00481403-0.00867317j 0.0026217+0.00187173j 0.010727+0.00343828j 0.00858882-0.0138537j 0.00253419-0.000409426j 0.00599722-0.0120403j -0.00919369+0.00523522j -0.00234061+0.00218875j 0.000245644+0.000784345j -0.00260317+0.00755755j 0.00499384-0.00340077j 0.00796156+0.00438214j 0.00346413-0.00476495j -0.00017956+0.00346042j -0.000983959-0.00288114j -0.00824965-0.00260952j 0.011181-0.00232631j -0.00482852+0.0085102j -0.00430821-0.0015704j 0.0165568+0.005446j -0.00167077-0.00936153j -0.00127316-0.00203255j 0.0057114+0.00536292j -0.000808536+0.00190707j -0.0028758+0.000976021j 0.00328342+0.00156141j 0.00666325-0.00556012j 0.00303768-0.0112154j -0.00268408+0.00614471j -0.00736984-0.0152271j 0.00786491-0.0191161j 0.0103431+0.00228614j 0.0110236-0.00148533j 0.00320758+0.00287226j 0.00903137-0.0120602j -0.000790033+0.0052289j -0.0134362-0.00258446j -0.00873984-0.00451352j 0.00225164+0.000802727j 0.00978632+0.00169182j 0.0018304+0.00384301j -0.00336169+0.00369001j -0.00323393-0.00116246j 0.00667532+0.00239919j 0.00666591+0.0121229j 0.00181685+0.00135231j 0.0128007+0.0112234j 0.00421557-0.00805987j 0.00364739+0.00972889j -0.00987719-0.00387605j -0.0033489+0.00159934j -0.000966625-0.0123836j -0.00896368+0.00458224j 0.00685657-0.0025201j 0.00832919+0.00674544j 
0.00196295+0.00506953j 0.00631381-0.00134944j -0.0041541+0.00550656j 0.00872928-0.0012057j -0.00116758-0.00160379j 0.00917858+0.0026516j -0.00907598+0.00242621j 0.00478442+0.0149255j 0.00352984+0.00430185j -0.00181606-0.00869284j 0.00369504+0.00390763j -0.00652772-0.009407j 0.00876419-0.00974975j 0.00745384-0.0129293j -0.00175229+0.000891224j 0.00985362+0.000639605j -0.0047993-0.00406911j -0.00133809-0.000433754j -0.00417696+0.00731858j 0.0060074-0.0036699j -0.0103187+0.0170766j 0.000937861+0.00140687j 0.000363664-0.00338563j 2.51562e-05-0.000644173j 0.00495502-0.00696177j -0.00731438-0.000792955j -0.00461313-0.00682564j -0.00298597+0.00439721j -0.00292837+0.00356394j -0.000549391-0.00487265j 0.00248611+0.00345804j -0.00592321+0.000125466j -0.00577877+0.00406111j -0.00626405+0.00101512j -0.0072775-0.00139792j 0.00402986+0.00311646j -0.00539649+0.00369169j 0.0081122+0.00441211j 0.0116924-0.00382086j 0.00472382-0.00740763j 0.001613-0.0141875j 0.00609268-0.00271347j -0.0039937-0.00619587j -0.00076163-0.0105791j 0.000934927-0.00224498j 0.000912524-0.00276541j -0.013474+0.00741785j 0.00212069+0.0027195j 0.0111361+0.0108139j -0.0120938+0.00571422j 0.000167725-0.00519505j 0.00597289-0.00262778j -0.00561842-0.00469253j 0.00634641+0.00838522j -0.00425058+0.00396226j -0.00910698+0.00278849j 0.00301946-0.00160135j -0.00336914+0.00186052j -0.0127588+0.00553297j 0.0148976-0.000467794j -0.00210878-0.00351412j -0.00212922-5.63886e-05j -0.00171919-0.00186068j -0.00842692-0.0099458j 0.003106+0.00648782j 0.00448977+0.00577919j -0.00188566-0.00238372j -0.00351482-0.000439209j 0.0039679+0.0015852j -0.00984907-0.00135561j -0.00029527-0.0158396j 0.00900831+0.00143623j -0.00245051-0.00065983j 0.00621213-0.00904724j 0.00275995-0.0164134j -0.00523958-0.00259274j -0.00837453+0.000545682j -0.00795271-0.00285685j 0.00839657+0.000173909j 0.0120091-0.0031167j 0.00137167+0.00453152j 0.0112008+0.00622404j -0.0040395+0.000970459j 0.00251369-0.0015158j 0.00270967+0.00359055j 0.000885786+0.00596875j 0.000389771+0.00168866j 0.00530696+0.00430363j -0.000832952+0.00606982j 0.00820799+7.02276e-05j 0.0020245-0.00299061j -0.0111688+0.00207135j 0.00255607+0.0155091j 0.00841869+0.00496458j -0.0062952+0.00579793j 
0.00431803-0.000292545j 0.00102588-0.00454978j -0.00344882-0.00536452j -0.00516431+0.00125625j 0.000192388-0.0108725j -0.00356031-0.00489827j -0.00377053+0.000535873j 0.00875683-0.00319808j -0.000609543-0.00879794j -0.000181041+0.00189632j -0.0100099-0.00847651j 0.000382176+0.00230533j 0.00232379+0.0125813j 0.00278841+0.000495073j 0.00540405-0.00854564j -0.00480499-0.00513849j 0.0065146-0.00343712j -0.00229317-0.00243444j 0.00017212-0.00736117j -0.00670024-0.000944258j 0.00260605+0.0011986j -0.0100448+0.00229164j -0.000652698+0.00830283j -0.00581506+0.00445006j -0.00598292-0.0112548j -0.000454499+0.000278865j -0.0050367-0.00376347j -0.00294079-0.000530324j 0.00528414+0.00255774j 0.00659757+0.00227703j 0.000587285+0.00344019j 0.00814046+0.00228938j -0.00637626-0.00748273j 0.000618672-0.000549864j -0.00150871+0.0100837j 0.00932932-0.000575798j -0.00136361-0.012268j 0.0100251+0.00552877j -0.00625611+0.00223795j 0.00956781+0.00121235j 0.00130295+0.004182j -0.000743059+0.0100413j -0.00151825+0.000425503j -0.000124802+0.00272587j 0.00263461-0.00176552j -0.010597+0.00737476j -0.000556173-0.00845747j 0.00369075+0.00176318j -0.00509529+0.0085861j -0.0162576+0.00322555j 0.0060407+0.00266903j -0.000376352-0.00014627j -0.00250593-0.00559405j 8.58255e-05+0.00726192j -0.012112-0.000603072j 0.00833667-0.00457219j 0.0167805-0.00732298j 0.00966067-0.00791082j 0.00166541+0.0109592j 0.00397846-0.0117997j 0.00344335+0.00074154j -0.0117677-0.0136772j 0.010066-0.00924247j -0.00985856-0.00684913j -0.00686414-0.000731951j -0.00698592+0.000652196j -0.00769562+0.00333046j -0.0079895+0.0125952j 0.00516487+0.000123843j -0.0151666+0.00683658j -0.00232969+0.0105397j -0.0169461-0.0115823j 0.00756879-0.00670314j 0.00858539-0.00341202j -0.00367981-0.0035243j 0.00217986-0.000485241j 0.0156341+0.00549277j -0.00227198+0.00360159j 0.00899-0.0040244j 0.00259938+0.0252868j 0.00382726-0.0130894j -0.00416248+0.00663164j -0.0103662+0.00733532j -0.00595101-0.00486042j 0.00840486-0.00638128j -0.00039242-0.00357347j -0.00785183-0.0086258j -0.00684445+0.0120575j 0.00090786-0.0041134j 0.00293681-0.0017714j 0.00181877-0.00448472j 0.00569558+0.00698141j 0.00171192+0.000848625j -0.000935674+0.00154179j -0.00366231+2.64738e-05j 
-0.00489821+0.00307754j -0.000156055+0.00429815j -0.00418184+0.00808588j 0.00426605+0.000755879j 0.00549012+0.000698814j -0.000779239-0.00510939j 0.00299579-0.00341974j -0.000301342+0.00547959j 0.00346026-0.00630453j -0.00352533+0.00012267j -0.0121997-0.00763976j -0.00447841+0.00958682j 0.00264308+0.000752269j -0.00309435+0.00398936j 0.0105271+0.00777388j -0.00978591-0.00530441j -0.000444206+0.00337004j 0.00682308+0.00122684j 0.00221994-0.00343034j 0.00106927+0.00226694j 0.00535074-0.00513592j 0.000876139-0.00522083j 0.000247516+0.00939004j 0.00649728-0.0019561j -0.000427546+0.0113649j 0.00406585-0.00813196j 0.00405556-0.00198894j -0.00474249-0.00183916j -0.00336751+0.00645805j -0.00346305-0.00767047j -0.00256859+0.00672302j 0.00590554+0.0013831j 0.00413377+0.00169686j 0.00128754+0.00323681j 0.00530191+0.00185807j 0.00869513+0.00656853j -0.000230309+0.00653798j 0.0038284-0.00654399j 0.0106142+0.000179335j -0.00236224+0.0035754j 0.00184108-0.00345178j 0.0138509-0.000928376j 0.0047856-0.00740007j -0.00463077-0.00522155j 0.00501005+0.0038941j 0.00140158+0.00534201j -0.00606881-0.00451353j -0.00692069-0.00114962j 0.00685579-0.00463706j -0.00597084-0.00874291j -0.0044717+0.00492319j 0.00870352-0.00819689j -0.00238587+0.000169312j 0.00600681+0.000189314j 0.00060389+0.000764187j -0.00450175-0.0039532j 0.000214105+0.00863957j 0.00240008-0.0107712j -0.00506719+0.00872207j 0.00284441+0.00444128j 0.00114176-0.00275089j -0.00212629+0.00160273j -0.0110521-0.00810045j -0.00509876-0.00125614j 0.00408582+0.00310958j 0.00976273+0.0078317j -0.00736188+0.00187029j -0.00507818-0.00031433j 0.000331647+0.000333614j 0.00213872+0.00142378j -0.00461979-0.00989395j -0.00118271+0.00328829j -0.00641981+0.00276568j 0.00168702-0.0114253j 0.00493968-0.0085409j -0.00739806+0.00301207j -0.0054971-0.00185159j -0.0093754-0.0052644j 0.00941115-0.00315099j 0.0187191-0.00417724j -0.00159232+0.00411621j 0.00763382-0.00471605j 0.00156973+0.000872848j 0.000282099-0.00270805j -3.95558e-05-0.00571046j 0.00148205-0.00307996j 0.00180945+0.00575611j 0.00490891+0.00972005j -0.00677455+0.011666j 0.00328976-0.00347387j 0.00182002-0.00478918j 4.48519e-05+6.01405e-05j 0.00359404-0.0106622j -0.0076399+0.00507408j -0.00444768-0.00769009j 
0.00469535-0.00474192j -0.00475271-0.00738529j -0.0071537-0.00215957j -0.00823026+0.00039355j 0.00200005-0.00363974j 0.000511601-0.00272039j 0.00185056-0.00265449j -0.00845372+0.0033036j 0.0130395-0.00164051j 0.00288543+0.00304804j -0.00385875-0.0155267j -0.00225356+0.00767608j 0.0016739+0.00932367j 0.00264934+0.00483931j 0.0158903+0.00787984j 6.85416e-05-0.00491804j 0.00323917+0.00443497j -0.000247617+0.00512154j 0.00430935+0.00577932j -0.0113087+0.00638292j 0.00311134+0.00137899j 0.00329364+0.00894165j -0.00886715-0.00141928j -0.0015758-0.000473103j -0.000578877-0.00269064j 0.00975743+0.00182705j -0.000343679+0.0028106j -0.000678999+0.00522796j 0.00522293-0.000173003j -0.000967907-0.00330482j -0.00985462-0.00200931j 0.00313233+0.0069003j -0.0053562-0.00397654j 0.00387769-0.00327283j 0.000473444+0.00746742j -0.00302058-0.00355244j -0.00266365-0.00263702j -0.00625807-0.00469402j 0.000500155+0.00268844j -0.000631733-0.000194232j 0.00325022+0.00208071j 0.00456071-0.000323386j 0.00351643+0.00432838j -0.00262118+0.00127785j 0.00300132+0.00240321j 0.00109865-0.00705714j -0.0104896-0.000774415j -0.00527547-0.00642321j 0.000703891-0.00862802j 0.00599221-0.00832156j -0.00497093+0.00995361j -0.00269365-0.0121166j -0.00597883+0.00222039j 0.0100105-0.00495523j 0.0105315+3.12992e-05j -0.000250261-0.0128328j 2.2982e-05-0.00226694j 0.000174175+0.00296589j 0.00117151-0.00244861j 0.00976166-0.00570882j -0.00749695+0.00767283j -0.00545317+0.00266126j 0.000497045+0.0044772j -0.00648299+0.00525333j -0.00541779+8.79908e-05j -0.00525551+0.00268609j 0.0106385+0.00292961j 0.00236625-0.00230982j 0.00466091+0.00114767j -0.00485822-0.0022863j 0.00212155-0.00145618j 0.00179364+0.0063799j 0.00114325-0.00293414j -0.00127933+0.00163501j 0.00376267-0.00259956j -0.00164913+0.000534802j -0.00220972+0.00179874j 0.000219295+0.00309869j 0.00139939-0.00572193j 0.0105484-0.000431446j -0.00867264-0.00280632j 0.000870867+0.00753284j 0.00867236-0.00102084j 0.00301866+0.00414645j 0.0042704+0.00648975j -0.00352678-0.00229427j -6.8895e-05+0.00682548j 0.0105125-0.00121151j 0.00151936-0.000972057j -0.00571708-0.00640766j -0.0019115+0.00456935j -0.00244136-0.000838044j -0.00488096+0.0163616j 0.00219571-0.00562825j 0.00738908+0.00908721j 
