-0.00382496-0.0206169j -0.0361295+0.0297113j -0.0126278+0.0745293j -0.0568508+0.0690908j -0.0644181-0.0118562j 0.127469+0.010468j -0.0237355-0.050502j -0.155684-0.0434449j -0.00134163-0.133848j -0.0232673+0.020449j -0.0863361+0.000173772j 0.0817807+0.212384j -0.0434556-0.259762j -0.218477-0.0364189j 0.120956-0.12474j 0.278404-0.141068j -0.0256191-0.1837j -0.0977779+0.195063j -0.00687729+0.0503295j 0.251851+0.0891993j -0.243402+0.105611j 0.120461-0.0840857j 0.042952+0.122704j 0.0170399+0.0132499j -0.0604426+0.165049j -0.263644+0.116325j -0.234912-0.0448192j 0.0226125-0.0326917j -0.034156+0.032542j -0.000667913-0.0102171j -0.0241248+0.0227579j 0.00249686-0.0152202j -0.0229536+0.0233923j -0.0131862-0.0328341j 0.0210918+0.010372j 0.00764649+0.00833902j -9.99495e-05+0.0489437j 0.0253526+0.00554356j -0.0100326+0.00403108j -0.00542509-0.0304895j -0.072507+0.0130429j 0.0376581-0.00764533j -0.0188872-0.0209095j -0.00302871+0.00342519j 0.00311741+0.0479534j 0.0407404-0.0121569j -0.0107534+0.00987302j 0.028148+0.0221395j 0.0193046+0.0392679j -0.0306342+0.0150376j -0.028908-0.0252216j -0.0290844-0.0333712j 0.0245623-0.0561027j 0.0231876-0.0307594j 0.0301671-0.00322174j -0.0035667-0.0121409j 0.00858706-0.018651j -0.000125393-0.00228849j 0.00775874+0.0110019j -0.0155586-0.0109415j -0.00777235+0.022534j 0.00831343+0.0161476j 0.0173942+0.00327203j 0.00567322+0.00828874j 0.0148481+0.0226948j 0.0403885+0.045974j 0.0406117-0.0383248j -0.00513894-0.0078114j 0.00805773-0.0110435j 
0.00758157-0.000488228j 0.00377647-0.00355603j -0.00346531+0.00405536j -0.00530961+0.00265752j -0.00818501-0.00583501j -0.0136223-0.00405485j -0.000805285+0.00684191j 0.00277394-0.00539285j 0.000820887-0.00364138j -0.00171157+0.00542287j 0.00741408-0.00296145j 0.000443345-0.0161284j 0.00449047-0.0106467j 0.00510539+0.0112988j -0.0134732+0.0097975j 0.0165159+0.00522484j 0.0250218-0.004892j 0.00121507+0.00332769j -0.00733158-0.00456581j -0.00842344+0.00503312j 0.0121477+0.0145244j 0.00958933-0.000688061j 0.00814551+0.0081035j 0.00717957-0.0177949j -0.0151252-0.00588553j 0.00793407-0.00210013j -0.00498493+0.00377344j -0.0016741+0.00510384j 0.00490148+0.00228281j 0.00650523-0.00374027j -0.00466118-0.000604058j 0.00352288-0.00447703j 0.00970819+0.00212403j -0.0178762-0.00121175j -0.00617946-0.0135835j 0.0036567-0.0123924j -0.0103127-0.00999957j -0.0213079-0.0127291j -0.01219+0.00952776j -0.0117074-0.007533j -0.00491248-0.00895348j 0.00703322-0.00377812j 0.0176944+0.0304778j -0.0024941+0.00951974j 0.0240166-0.0220667j 0.00226304-0.0188992j -0.0245965+0.0225211j -0.00330774+0.000434695j -0.0155895-0.00669187j -0.0113239+0.00175016j -0.0538957-0.021534j 0.0193525+0.014149j 0.000784322+0.0207899j 0.0196656+0.0080194j -0.0196277+0.0079126j 0.0188307+0.0123027j -0.0165663-0.000923558j -0.0188462-0.000723326j 0.0026062+0.00180163j -0.00543765-0.000177575j -0.00772653+0.00598786j 0.0116872-0.00294247j 0.00447294-0.00422991j 0.000249764-0.0090379j 0.00523445+0.0090701j -0.0114952-0.00167426j 0.00395252-0.0062434j 0.00821399-0.000661087j 0.00294374+0.00498447j 
8.60582e-05-0.00218515j -0.00236905+0.00627001j -0.0081904-0.00600386j -0.000307664+0.00209464j 0.00982747-0.00700456j 0.000682552+0.00387003j 0.00849498-0.0100165j -0.000581058-2.61608e-05j -0.000286002+0.000735574j 0.00573669+0.00304272j -0.00559953-0.0138754j 0.00697594-0.00827843j 0.00490062+0.00325234j 0.00803747+0.00424223j -0.0252968-0.00383783j 0.0262747-0.00683752j 0.00693514+0.00302804j -0.000968674+0.000491627j -0.000993053-0.0252116j -0.0148687+0.00415465j -0.0110129-0.029304j 0.0221681-0.00585028j -0.00326111-0.00450968j -0.0190444+0.0104689j 0.00700114-0.00449673j -0.00172719+0.00302645j 0.000300471-0.00137077j 7.76638e-05-0.00161171j 0.00236172+0.00126478j -0.000672526-0.00263914j -0.0050165-0.0030466j -0.00371908+0.00513904j -0.00795887-0.000426064j -7.96065e-05+0.00269389j 0.0034126-0.00782189j 0.00276273-0.00033632j -0.00026691+0.00214848j 0.00106635+0.0061089j 0.0013297+0.00181849j 0.00933023+0.00454607j 0.00412006+0.00603851j -0.00238834-0.00342174j 0.000323915-0.0198428j -0.00772768+0.0136729j 0.00585295+0.00764529j 0.0023304+0.00608496j 0.0212012-0.0328997j -0.00442498+0.0096239j -0.00195516+0.0232974j 0.00461098+0.000887282j 0.0107487+0.0161747j 0.00818407-0.00637338j 0.0126644-0.0158806j -0.00691025-0.0149397j 0.0112926-0.0120638j 0.00113469+0.0143069j 0.0190111-0.0233775j 0.00840819-0.00187453j -0.0130652-0.00365932j -0.00187552+0.0120666j 0.0114979+0.0111439j -0.00255887+0.000833824j -0.00132323-0.00372377j 0.00591557-0.00212872j 0.00382094+0.000140394j -0.00320293-0.000328598j 0.000898627+0.00184633j -0.00329504+0.00187484j -0.000157787+0.000280033j 
-0.000730754+0.00112816j 0.00620642+0.00402733j 0.00316941-0.00527401j -0.000692664-0.0027522j 0.0141855+0.00346548j 0.0181351+0.0123105j 0.00109221-0.020056j 0.00557028-0.00107616j -0.000798974+0.016812j -0.015185-0.00354723j 0.00420381+0.0176753j 0.00302616+0.0158111j 0.00743991+0.00974471j -0.00978545-0.016344j 0.0128221-0.00418999j -0.0110062-0.0153269j -0.0183354+0.00576267j -0.00565592+0.00874969j 0.00572937+0.0116149j 0.00948887-0.00113371j -0.00261008-0.00768422j -0.00411762+0.00226417j -0.00759427-0.00080475j 0.00146506+0.0162863j 0.0136149+0.00626012j -0.00720976-0.0108401j 0.00358586-7.33701e-05j -0.000355042-0.0107123j 0.000939467-0.000698433j -0.00129195-0.0110308j -0.00140916-0.00156159j 0.00497205-0.00375026j 0.000795433-0.00507133j -0.00782078+0.0028427j 0.00505555-0.00119523j -0.00648933-0.00573235j -0.0150945-0.00164942j -0.014247+0.00806996j 0.0138495-0.00106398j 0.00842269-0.00222323j -0.0181453-0.0049311j -0.0111887-0.0131663j 0.00670505+0.0111771j -0.0233832+0.00222584j 0.0184569-0.0224867j -0.00625077-0.0311525j -0.00840879+0.00244184j -0.0292916+0.0352295j -0.00917213+0.0155979j -0.0109717+0.00391421j -0.014443-0.00171394j -0.0344484-0.0280726j 0.00647198+0.00968004j 0.0028367+0.0223982j -0.00429829+0.00976094j 0.0195112-0.0240953j 0.0047962-0.00928091j -0.0183855+0.00771743j -0.01463+2.74611e-05j -0.00892387+0.00984605j 0.00374127+0.00633946j 0.00953947+9.50464e-05j 0.00593799+0.000702092j 0.00403155-0.00201242j 0.00785423+0.00178645j -0.0131775+0.000678077j -0.00239016-0.00833685j 0.00464019+0.00336219j -0.00339135+0.00302258j 
0.00481071+0.000463399j -0.00288962-0.00289505j -0.00582377+0.00476775j -0.00340997+0.000472078j -0.0102677-0.000118404j -0.00155635-0.00904741j -0.010734+0.0123793j 0.0183362+0.00976051j 0.0104529+0.00175898j -0.00817723-0.0109373j -0.0192232+0.00532816j -0.00600277-0.0046285j -0.021867-0.00744352j -0.023567+0.00817687j 0.0242445-0.00061132j -0.0107511+0.0233469j 0.00737128-0.00428971j -0.000316028-0.0155064j -0.00726117+0.010411j 0.0012475+0.00332585j -0.00251784+0.00974211j 0.00357661-0.000845137j 0.00410317-0.00284634j 0.0070766-0.00798614j -0.0074611+0.0046033j 0.00753624-0.00235741j -0.00726439+0.00119246j -0.00179732+0.00591788j 0.00194082+0.00532272j 0.00611806+0.00728901j -0.00210098+0.00438461j 0.00199359+0.00516777j 0.00403238+0.00185228j 0.00907303+0.00118066j -0.00211526-0.00188029j 0.000208702-0.00284725j -0.00523833+0.000506438j 0.00856471+0.00998203j 0.029821-0.0189122j 0.0113039+0.00874088j -0.00256704+0.00340024j -0.0150319-0.020495j 9.53961e-05+0.0174651j -0.00588658-0.0111269j -0.00448449-0.0133656j -0.0293133-0.00611812j -0.00573804+3.0849e-05j -0.000478941+0.0067417j 0.008505+0.0188474j -0.00214642-0.00212969j 0.0041402+0.015436j -0.0102782-0.00722211j 0.0103663+0.00822102j -0.023805-0.0169513j 0.00277656+0.0119389j -0.0106465-0.0144193j -0.00142961+0.0033618j -0.00337535+0.00593203j -0.00362402+0.00747524j 0.00539676+0.00259154j 0.0132424-0.0080191j -0.00794142-0.00308523j -0.00578854+0.00342704j -0.00200224+0.00743486j 0.000367436-0.000139268j 0.00509934+0.00167977j -0.00229809-0.00309012j 0.00162511+0.00222961j 0.00152625+0.000198917j 
0.00160574+0.001655j -0.005392+0.00381815j 0.00259583-0.00283731j -0.00316996-0.00261762j -0.00166132-0.00268515j 0.000495756+0.00311094j -0.00677561+0.00687123j -0.0119828+0.00100775j 0.00277696-0.0094384j 0.0159532+0.00893098j 0.000478625-0.0256509j 0.00379099+0.0040225j 0.00347416-0.00521799j 0.000646012-0.0152742j 0.00660374+0.0149714j -0.025158-0.00256187j -0.0201609-0.00634508j 0.00335364-0.00200648j 0.0124304-0.00241488j -0.00144851-0.00528863j 0.00631638-0.00603116j -0.0137321+0.0167621j 0.00152411+0.000709528j 0.00908852+0.00611984j 0.00296497-0.0030144j -0.00281442+0.00477657j 0.00383032-0.00129667j 0.00149719+0.00136334j 0.00510628+0.00211629j -0.000499304+0.00556973j -0.0118456+0.00808619j -0.00225339+0.00256478j 0.0159199+0.00182444j -0.0124836+0.00905408j -0.0138227-0.0183694j 0.00380842-0.018564j -0.0109887+0.00301223j -0.00305508-0.00166636j 0.00631994-0.00318525j 0.00321498+0.00746569j 0.00582594+0.00879328j 0.00884859-0.00743547j 0.0231808+0.0162266j -0.00575651+0.00944146j 0.00317745-0.0171739j -0.0140198-0.0128676j -0.00909954+0.015177j -0.00516114-0.00510589j -0.0190736+0.00793829j -0.00805128+0.00181107j -0.0483743+0.00566482j 0.0191259+0.01584j 0.0192834+0.0196725j -0.000261968-0.0231559j -0.0162001+0.00257463j 0.00434562+0.0123591j -0.00165669-0.00523416j -0.00585663-0.00282284j 0.0110602+0.00580274j 0.00576498+0.00527387j 0.0105736-0.00310361j 0.00349539+0.000408156j -0.00309765-0.00923853j 0.000645869-0.00336061j 0.00772926+0.00831971j -0.000734253+0.00200322j 0.0064436-0.00659127j 0.00811158-0.00012669j 0.00516998+0.00854651j 
0.00127868-0.00240965j 0.00207308-0.00071772j -0.00189079+0.00153233j -0.00149311-0.00142407j 0.00158058+0.00274303j 0.000735904+0.00414942j -0.00381022-0.00196265j 0.0194657-0.00342936j 0.00438419+0.0144439j -0.022947+0.000793429j 0.00264903+0.0248182j 0.00024302+0.0149242j -0.00506234+0.00473959j -0.0235326-0.0076827j 0.0176182-0.00607669j -0.0078606-0.00309666j -0.00106874+0.000695682j -0.00720384+0.0020904j 0.00509723+0.00902583j 0.00121014-0.00675924j 0.00128208-0.00194249j -0.00429478+0.000692785j -0.00368329+0.00212203j 0.00852104+0.0025555j 0.00269149+0.00385519j 0.00484253-0.00423333j -0.00297957+0.000356565j -0.000406306-0.00319039j -0.000205595-0.000570418j 0.000412646+0.00146668j 0.002007-0.0017658j -0.00520791-0.00209276j -0.00159154+0.00125232j -0.00661619+0.000573182j -0.00333478-0.00143199j 0.00582226+0.000840737j 0.00968732-0.00179362j -0.0025961-0.0161601j -0.0333227+0.0225637j -0.0186444-0.00218534j 0.0191415-0.000781105j 0.0309777+0.0223717j -0.00586085-0.0255856j 0.0243296+0.00922156j 0.0066571+0.0273904j 0.034904+0.0219633j 0.0139403-0.00193564j 0.0126482-0.030888j -0.0130935-0.0283648j 0.00846186-0.000162254j -0.00708373-0.0124815j 0.0518974+0.0302144j -0.0103295-0.00904407j 0.025547-0.00589521j -0.00541958-0.0189788j 0.00610198+0.0371722j -0.0040849+0.00346585j 0.0134485-0.00918295j 0.0120626-0.00568998j 0.000927541-0.00710893j -0.00878637+0.00391254j 0.00159854+0.000462428j 0.00106311-0.00516307j -0.00173855-0.00970169j -0.00267852+0.00292015j 0.00218951-0.00177029j 0.00737736+0.00836133j -0.00159626-0.00386263j 0.00397969-0.000643242j 
-0.0074406+0.00202707j -0.00608422-0.00541011j 0.00195923+0.00464129j -0.000186507-0.00569847j 0.0112785-0.0020254j 0.026079+0.000358066j -0.00182865-0.0236135j -0.00437879+0.0024952j -0.0176059+0.00330894j 0.00422343+0.00203667j -0.000606556+0.00066741j -0.0101634-0.00555318j 0.00621102+0.00452439j 0.010098+0.0158506j -0.00275478-0.0223534j 0.00522774+0.00443315j -0.005045+0.00983068j -0.00259672+0.0064373j -0.0125369+0.00770959j 0.00471998+0.00960544j -0.00390721+0.00554173j 0.00178943-0.007315j -0.00746351-0.0080934j -0.00634198+0.00559159j 0.0141018-0.0020133j -0.0056401-0.00345809j 0.00513405+0.000736743j 0.0047206-0.00164792j -0.00332071-0.00608666j -0.00450191+0.00829172j -7.59097e-05+0.00761589j -0.00608586+0.00722947j 0.0121741+0.000705163j 0.000622524+0.00545131j -0.00908075-0.0106949j 0.00373144-0.00635992j -0.00443384+0.00208892j 0.00250109+0.00491387j 0.00950462-0.00332108j 0.00114985+0.0176253j 0.00664068+0.0116176j 0.00783444-0.00380606j 0.00542591+0.0107905j 0.00575351-0.00101912j -0.0273125+0.00319718j -0.01476+0.000629475j -0.000567273+0.0174325j 0.0144382-0.0218436j -0.00114221-0.00478494j -0.00400897+0.000287847j -0.0277604+0.00904347j 0.019854+0.0252447j 0.0147785+0.00902444j -0.0183532-0.0335437j -0.00986865+0.00643469j -0.000919036+0.0155345j -8.9578e-05+0.00365986j 0.00277961-0.006112j 0.0135701+0.00479304j 0.00885427-0.00351454j 0.00348546-0.00876524j -0.00566455+0.00456378j -0.00658588-0.0044612j 0.00069025+0.000404992j 0.00338644+0.00410416j 0.00904923+0.00270484j 0.00504594+0.000669185j 0.00467267-0.0037239j 0.00268585+0.00405688j 
0.00286805-0.0028968j -0.0018004+0.0054922j -0.00211188-0.00793672j 0.00147881-0.00315769j 0.0029098-0.000619191j 0.00329586-0.00323629j -0.00138501+0.00573741j -0.00556752+0.00250753j -0.00256515-0.0161136j 0.0228988-0.00956606j -0.00974423-0.0244641j -0.000142466-0.0176081j 0.0015966-0.00508071j 0.00769609+0.0195881j -0.000745159+0.00181398j -0.0164408+0.0248481j -0.00999716+0.0005667j 0.00522145-0.0114794j -0.00758385+0.0059511j 0.0104873-0.000854369j 0.00520417+0.00249778j -0.00676993+0.00884136j 0.000103967-0.00164961j -0.00508094+0.00103043j 0.00744437-0.00667031j -0.00314225+0.00620784j -0.00246378+0.00157938j -0.00146032+0.000102644j 0.00283178+0.00157268j -0.00106035-0.00167205j -0.00371549-0.00704459j -0.00413623-0.00342203j -0.0113059-0.000343832j -0.000652968-0.000884603j 0.0140694+0.00347077j 0.00404783+0.0101851j 0.0115998-0.00954959j -0.00870831-0.00139607j -0.0184802+0.0264722j -0.0151961-0.00447567j -0.0239768-0.00553383j -0.0075943+0.0152513j -0.0126835-0.0187569j 0.00148911-0.000624128j -0.00189975+0.0197963j 0.0300924-0.000501229j 0.0244968-0.0212651j -0.0162583-0.00436745j 0.000406319-0.0163668j 0.0105114-0.00371587j 0.0156007-0.0188511j -0.00976778-0.00371385j -0.0176805-0.00846261j 0.0204221+0.0161091j 0.00883861-0.00500263j 0.0138976-0.00426935j 0.00465738+0.0038806j 0.00144028-0.000746082j -0.00944177-0.00465739j -0.00546843+0.00300491j -0.00817332+0.00981926j 0.00154696-0.00123676j 0.00244843+0.00172802j 0.00247118-0.00556124j -0.00655957-0.00536498j -0.00201552-0.000502512j -0.000790439+0.0052873j -0.00769+0.000635311j 0.00149252-0.00293759j 
0.00428381-0.000490075j 0.00516781-0.000638616j -0.0133-0.00395432j -0.00970022+0.012321j 0.0133673-0.0101323j 0.00728519+0.000160024j -0.000678189-0.000537633j 0.00362473-0.0117191j 0.0397134+0.00782241j -0.00519248-0.0114369j -0.000461346+0.00380012j 0.00968413-0.0109441j -0.00934388-0.0125785j -0.0103651+0.00375546j 0.00358608+0.00824434j 0.000227425+0.0113857j 0.0185396-0.0168917j 0.00597863-0.0119388j 0.00984408+0.00173379j 0.0186491-0.0101942j -0.0102345-0.0233457j -0.000472953-0.0107683j -0.00803899-0.000834504j -0.0134078+0.00888897j -0.00653985+0.004389j -0.00264632-0.00510139j 0.00574894+0.00346106j -0.00105229-0.000159253j 0.00684549+0.00876615j 0.00600625-0.0015659j -0.0019972+0.0048156j 0.00679668+0.00507406j 0.00571484+0.00560804j -0.00223693+0.0118261j -0.0188175+0.0079846j -0.0122507-0.0154387j -0.00171722+0.00596857j -0.0108511+0.00313276j 0.0155395+0.0180069j -0.00413199+0.0104089j 0.0116009+0.0183103j 0.00801797+0.0177741j 0.0159212-0.00782639j 0.00744782+0.0185341j 0.00497512+0.00573535j -0.00690384-0.00140191j 0.0128311+0.00243576j -0.0210671-0.011064j -0.0108893-0.0254198j -0.00358859-0.00272417j -0.00998358+0.00115535j 0.00512524+0.0102056j 0.0096964-0.0050023j 0.00435702+0.00283434j -0.00863041-0.0127186j 0.0107109-0.00518574j 0.00261898+0.00104415j 0.000316796+0.00357622j 0.0128432-0.00272124j -0.00298625+0.000994135j 0.016081-0.000567754j 0.00353827+0.000696408j -0.000222371-0.00264578j -0.0078283-0.0050116j -0.000993331+0.00256095j 0.00328696+0.00292308j 0.00301411-0.000565147j 0.00758424+0.000577998j 0.00251396+0.00579827j 
0.00104205-0.00442637j 0.00707313-0.00787143j 0.00727529-0.00600546j -0.0139312-0.00134463j 0.00025003+0.011493j -0.0329973+0.00960949j 0.0154794+0.0234993j 0.0147594-0.00723712j 0.0142635-0.00420161j 0.0100991-0.0144387j 0.0027016-0.00520354j 0.0178348+0.0174862j 0.0118619+0.01581j -0.0054928-0.00417994j -0.0134772+0.00986153j -0.00512387+0.0010058j -0.00319141+0.0101761j -0.0111834-0.00751259j 0.00506942-0.00539106j 0.00544273+0.00853298j -0.003155-0.00464408j -0.00427248+0.00664088j -0.00465595+0.00234104j -0.00624325+0.00821837j -0.00344675-0.00286058j 0.00552351-0.00789833j -0.0013448+0.00646445j -0.00477899-0.00381391j -0.00186789+0.00430935j 0.00246644-1.77986e-05j 0.0120421+0.00101657j -0.00392958+0.0128323j -0.0102719-0.00659536j 0.00699476-0.00815513j 0.0119474-0.00861093j 0.0213138+0.00807685j -0.0055277-0.0127952j -0.000608064+0.00965916j 0.00144881+0.0113249j -0.00101725+0.0144496j -0.0282438+0.00718452j -0.0144706-0.0143753j -0.0249121+0.0273606j -0.00538817+0.00315085j -0.0192413+0.0160667j -0.0169339-0.0072828j -0.00605511-0.00394628j 0.0210798-0.004873j 0.0120156-0.00430163j 0.00139472-0.00287161j -0.0111137+0.00532777j 0.00173076+0.0145217j 0.003192-2.52383e-05j -0.0186724-0.00986865j -0.00352167+0.0225881j 0.0063638+0.0109163j 0.00193537-0.00539265j -0.00601565-0.00316299j -0.00635504+0.00142084j 0.00496648+0.00581738j -0.0146664+0.00771646j -0.0112852+0.00726531j -0.00470894-0.000826429j 0.0109505-0.00264658j 0.00137295-0.00368741j 0.0012349+0.0020136j -0.00211021+0.00219624j -0.000653801-0.000478093j 0.000550549-0.00363559j 
0.00325736+0.000335539j 0.00577598+0.00255561j 0.003791-0.00718593j -0.00636561+0.00206419j 0.00509679+0.000814965j -0.00122834-0.00375901j 0.0006494+0.0018562j 0.0048218+0.00536512j 0.00544476-0.000272447j 0.00641259-0.0152568j -0.00564198-0.00445329j 0.00267284-0.000539609j 0.0063946+0.0015396j 0.00361026+0.00104389j -0.00344535+0.00186054j 9.77503e-05+0.00803459j -0.0003437+0.00301281j -0.00108218-0.00536526j 0.000795273+0.00166345j 0.0075186+0.00359386j 0.00179114-0.00153197j 0.000585422+0.00283341j -0.00340501-0.000468896j -0.0064557+0.00478734j 0.00254404+0.000783206j -0.00232016-0.00272049j -0.0012117+0.000537288j -0.00290582-0.00245991j 0.00237527+0.00272022j 0.00230752-0.0117344j 0.000600879-0.00398153j 0.0138368-0.00630361j 0.00222749-0.00546798j -0.00684773-0.00258655j -0.0137449+0.00177915j -0.0174183-0.00780048j 0.00468614+0.0240827j 0.00291249-0.0395242j -0.0390477-0.0456204j 0.00165271-0.0460918j 0.0474512-0.0395842j 0.0213681-0.0130232j 0.0173011-0.00265507j 0.00579067+0.00174069j 0.0582727-0.0466936j 0.00437478+0.0169888j -0.0406218+0.0301164j 0.0318406+0.0245792j -0.00207204+0.045848j -0.000939554+0.00837228j 0.00709288-0.00224378j 0.0273727-0.0142231j 0.00332304+0.00853786j 0.00894329+0.00809258j -0.00579524-0.0136915j -0.0175211+0.0286969j -0.0103421-0.00429253j 0.0122846+0.000206677j 0.00561208-0.00637521j 0.00189192-0.0124137j -0.00146502-0.00717577j 0.0141809-0.0073538j 0.00916767-0.00329259j -0.00765404+0.00300507j 0.0086893+0.00986681j -0.0134685-0.00759702j 0.00196302-0.00650874j 0.00301489+0.00292683j -0.00506257+0.000814311j 
-0.00108455-0.00648482j -0.000845024-0.00123082j -0.00868306-0.000478982j 0.00763136+0.0047639j 0.00214641-0.00237164j 0.010108+0.00989224j 0.00541195-0.00662872j -0.0023409-0.00155026j 0.000373136+0.00339864j -0.0054171+0.00290985j 0.000312814+0.00330749j -0.00164761-0.00835208j -0.0114303-0.011869j -2.82165e-05-0.00152448j 0.00898261+0.000495986j -0.00160209+0.00664973j 0.0107337-0.0154955j 0.00980128-0.00388041j 0.00410718-0.00181153j 0.00312301-0.0132937j 0.000938404-0.00286309j -0.0073622-0.00539261j -0.00141609+0.00169748j -0.0055743+0.00145773j 0.00470323+0.00703656j 0.0024311+0.00532505j -0.000216955-0.00352098j 0.00310861+0.000887426j 0.000201852-2.39822e-05j -0.00366046+0.00988723j 0.00256615-0.00581032j -0.0145403-0.00449481j -0.0145143+0.00545805j -0.00126165-0.0302665j 0.0346109-0.0471514j 0.0492757+0.0189348j -0.0162043-0.0109619j 0.0287021-0.00952794j -0.0288982-0.0245929j 0.0184145-0.0041504j -0.0370265-0.0163232j -0.0195054-0.0371103j -0.027444+0.0308104j -0.025028-0.0311604j -0.0176236+0.00451298j 0.0101841+0.00904657j -0.0129804-0.00431344j 0.0319191+0.00208471j 0.0133225+0.0406922j -0.00677661+0.00715124j -0.0119696+0.0145139j 0.011029-0.00717118j -0.0112931+0.0166484j -0.00939708-0.0128854j 0.0121043+0.0187357j 0.00275384+0.0196668j 0.000228972-0.00751398j -0.000221472-0.00837171j -0.0134096+0.0118645j 0.00880576+0.00575543j -0.0295546+0.00766826j -0.00469762+0.00142057j -0.00755678+0.00215633j 0.0192655+0.00154416j 0.00520837-0.00699953j -0.00631193-0.000491306j 0.00400971+0.00279688j -0.014106-0.00131876j 0.00615197-0.00628656j 
-0.0285385+0.0152189j -0.00412048-0.0179748j -0.0101099-0.00597412j 0.00224898-0.000326827j -0.00384463+0.00962903j 0.00013534+0.00508528j 0.0150593+0.00524553j -0.00769691-0.0217136j 0.00642311+0.0129724j 0.0186685-0.00751238j -0.012919+0.0122172j 0.00929735+0.0143145j -0.00474466-0.00886435j 0.00392546+0.000869105j -0.00177541+0.00254045j 0.00162319+0.000741637j 0.00389022+0.0103875j -0.00595805-0.00527342j -0.00144945-0.00703394j -0.000882759-0.00184734j -0.00274361+0.00585007j -0.0016105-0.00567826j -0.00011579+0.00034251j 0.000758763-0.00476433j 0.00137886-0.00168387j 0.00109635+0.000778718j 0.0045233-0.00562143j 0.00488019-0.00383735j -0.00379956-0.00365774j -0.0102858+0.028708j -0.00402897-0.00438495j -0.0388424-0.00716369j 0.00788431+0.0200848j -0.0199781+0.00768481j -0.0330066-0.032982j 0.00552887-0.029921j -0.021039+0.0160478j 0.0130008-0.0167707j -0.00847037-0.0109372j 0.0214175-0.0179118j 0.0242248-0.0172157j 0.000668177-0.027463j -0.00609326-0.0237294j -0.0283677-0.0219535j -0.00861222-0.000568259j 0.015611+0.0061326j 0.0234796-0.00583005j -0.0257427-0.0111397j -0.0148141+0.0170681j -0.0187973+0.0118645j -0.00228146+0.00121604j 0.00436277-0.00995761j -0.00333311+0.00642974j 0.013416-0.0132595j 0.00748006-0.0174087j -0.00602367-0.00890406j -0.00204119+0.0113389j 0.00200503-0.00173082j -0.00141789+0.0178687j -0.000780668-0.0012898j 0.00225702-0.0148494j 0.00877536-0.00477861j -0.00902642+0.00709749j 0.000732961+0.00775444j -1.26011e-05+0.00183543j 0.00372223+0.000381825j 0.0109632+0.00254309j -0.00129764-0.00616585j 0.00863755-0.00178894j 
0.0141613+0.0121681j -0.0343327+0.0312872j -0.0104576-0.00362235j -0.00259922-0.00434353j 0.00457048+0.0136124j -0.0116967+0.00591111j -0.00911045+0.00646525j 0.00841748-0.0238865j -0.00123439-0.000274891j -0.0248138+0.0289717j -0.0314206-0.0096513j 0.000533347+0.000938616j 0.0103867-0.0031902j 0.00418496+0.00703221j -0.000366396-0.00183769j -0.00793185+0.00237262j -2.32385e-05-0.0123651j -0.00295059+0.00117958j 1.65691e-05+0.0155416j -0.00133502+0.00465496j -0.00273668-0.0169629j -0.00317002+0.00591277j -0.0032237-0.0164852j -0.000220129+0.0026662j 0.00257166-0.00815407j -0.000603421+0.0140112j -0.00158266+0.00163391j 0.00111466+0.00683476j 0.00248211-0.00396336j 0.00039373+0.00822996j -0.0163556+0.0290777j -0.00170526+0.0099664j 0.00661273+0.000529771j -0.00672201-0.00292909j 0.00507925-0.0120814j 0.00626859-0.00413614j -0.00271908+0.00174737j 0.00430518-0.00500595j -0.00610188+0.00399981j -0.00118-0.00774664j 0.0148946-0.00173392j 0.00489478-0.00642685j -0.0173741-0.0105557j -0.0012891-0.00588193j 0.00359311+0.0123012j 0.00587088-0.00726533j -0.00129662+0.00182801j 0.00956549+0.00637155j -0.000602331+0.000722478j -0.00351268+0.0122462j 0.00548551+0.0105782j 0.0068904-0.00138702j 0.00104479+8.08158e-05j 0.0058114+0.00349275j 0.0019346+0.00387719j 0.00111536+0.00351812j 0.000856064+0.00595459j -0.00476322-0.00797941j -0.0061288+0.00358088j 0.00275992+0.00207256j -0.00399031+0.0046443j 0.00255253+0.00646671j -0.00413963-0.00256877j 0.00186627+0.00121785j 0.00225206-0.00307264j 0.00237387+0.00181279j 0.00135495+0.00292168j -0.00261922-0.000935163j 0.00662511+0.00251225j 
