-0.493004+0.137115j 0.363274+0.607j 0.158316+0.00154036j -0.379001+0.596746j -0.487709-0.149765j 0.140923+0.163683j -0.16242+0.252176j -0.127837-0.0358185j -0.239259-0.0013403j -0.126145+0.0345599j 0.158221+0.253583j -0.141983+0.160432j 0.0455041-0.0449432j -0.0553249-0.040178j 0.132622+0.0908186j -0.0542498+0.0589901j 0.0627923-0.180203j -0.0693292-0.027433j -0.0676523+0.0849253j -0.0499768-0.011135j -0.0941094+0.0161535j 0.0452252+0.00794698j 0.0751424+0.04197j 0.07922-0.0387515j -0.0451787+0.00663301j 0.0911385+0.0197751j -0.0515518+0.00871055j 0.065602+0.0876907j 0.0682272-0.0255717j -0.0576083-0.183102j 0.0513043+0.0546313j 0.134455-0.0860053j -0.055288+0.0395925j 0.0447187+0.0447179j 
0.00852615-0.0269196j -0.111822-0.0428067j 0.10092+0.0718358j 0.0781569+0.0925962j -0.0231296+0.0157822j -0.0584663-0.0517222j -0.0222584-0.000618904j 0.1202-0.0785721j -0.0949844-0.0657666j -0.0325454+0.140336j 0.00822655+0.0214479j 0.0680152+0.036807j 0.0349968-0.0149311j 0.00728606+0.020593j -0.0712987+0.0234126j 0.0156791-0.0317554j 0.00206086+0.0620143j -0.0332047-0.0510953j -0.048408-0.00433007j 0.0584945-0.0267005j 0.012057+0.0818062j 0.0658308-0.148554j 0.00366271+0.180713j 0.17074-0.0520265j 0.119531-0.111162j -0.0838992+0.0170901j -0.00925159+0.0641133j 0.0213576+0.0461289j 0.0585406+0.0148969j -0.0580785+0.0184738j 0.0237787-0.0244566j -0.000446979-0.0749169j 0.0214622-0.000238608j -0.00302736+0.0382318j 
0.0319912-0.0335482j 0.14279+0.0881864j -0.0933915-0.0162607j 0.0214413-0.0332278j 0.048061-0.0608637j -0.0332662-0.100198j -0.091517+0.0398495j 0.0590331+0.0140984j 0.0158637-0.044098j -0.0117054+0.0224945j 0.0265133+0.072257j 0.0918458-0.0155039j 0.0926127-0.0333031j 0.0844737-0.0319375j -0.105497-0.0156819j -0.00749922+0.00707234j 0.00636893+0.0510687j -0.0527602-0.10284j 0.102088-0.078658j -0.015215+0.123713j 0.0781672+0.101208j 0.170194-0.0953633j 0.117212+0.0451269j 0.188849+0.0679226j 0.0833383+0.0717546j 0.0450265+0.0371991j -0.133121+0.0172379j -0.0674439+0.109249j 0.0413124-0.00584785j -0.00701379+0.00173054j -0.0639859+0.0142217j -0.0716772-0.0486375j 0.0608994-0.00898078j 0.0236376+0.0176079j 
-0.0350175+0.0483814j -0.029742+0.0540597j 0.0351179-0.0784014j 0.0285211-0.0890933j -0.0385698+0.0151739j 0.0165363+0.0320058j 0.0452867-0.0314039j 0.0192355+0.0511135j 0.0507216-0.0137093j -0.0569791-0.0260839j 0.0162781-0.0393695j -0.0720044+0.029797j 0.184481+0.0446159j -0.00478797+0.00396685j -0.0495769+0.0495796j -0.0124482-0.158784j -0.0738871-0.126021j -0.113083+0.114022j 0.00655865-0.100737j 0.183134-0.129322j 0.00759476+0.0927226j 0.0657796-0.0378436j 0.105092+0.0372329j 0.198759+0.0254304j -0.0780809-0.0661899j -0.123097-0.0788199j 0.0114074+0.0670011j -0.0991721+0.0698809j -0.108222-0.0914538j -0.120101+0.0484125j -0.0635831-0.00962895j 0.054824+0.0486421j 0.0526617+0.0593839j -0.0805818-0.0138935j 
0.00967749-0.0190761j -0.0545605-0.0155045j 0.0264748+0.030905j 0.0134898+0.0715856j 0.0239276+0.00704183j 0.0911074-0.0811681j -0.0611616-0.052269j -0.0591791+0.122583j 0.0868407+0.0654775j -0.00516932-0.0840877j -0.0447715+0.0993371j 0.0289633+0.0310557j 0.158632-0.0995143j 0.105505-0.0727325j 0.0404276-0.00665741j -0.136763+0.00550014j -0.0492914-0.0360122j -0.0132749+0.0881953j 0.0728503-0.19115j 0.128988-0.00561903j 0.102649-0.0210874j -0.0248483-0.0164116j 0.333864-0.00134659j 0.0649239-0.0594487j 0.0589178+0.0363544j 0.0565768-0.11628j -0.0181811+0.0221815j -0.0604537+0.110751j -0.0919791+0.0523198j 0.0395471+0.0379084j -0.0922895+0.0400853j 0.00344498-0.0328629j 0.0726519-0.0208347j 0.000950838+0.0304511j 
-0.00377478+0.00393399j -0.0117591-0.0103434j 0.0154629+0.0184926j -0.0286614-0.00878247j -0.0100751+0.050964j 0.00481425-0.0175311j -0.0350121-0.0141188j -0.0557705+0.0134637j -0.0624516+0.0655126j 0.0379416+0.0144376j -0.0773665+0.00874112j 0.0413349-0.0182774j 0.00729625+0.0273926j -0.0368312+0.0040988j -0.00602495-0.0113998j -0.0427414+0.0394553j 0.00423314+0.0132325j -0.0428401+0.0700743j -0.0159888-0.0493332j 0.0264052+0.0193607j 0.0137189+0.085361j 0.0357847-0.0533592j -0.0303662-0.021249j -0.0939264+0.0312099j 0.00288898+0.00383808j 0.0353111-0.00641633j -0.0688815+0.0329944j -0.0657893+0.0497223j 0.019583-0.0078486j -0.0105728-0.073068j 0.00565103-0.0718281j -0.0113217+0.0521554j 0.0507298-0.0309065j -0.00994469+0.106847j 
0.0120891-0.00586686j 0.00447847+0.0101943j -0.059555+0.000239895j 0.0491905-0.00565579j -0.0484288-0.0513071j -0.0195899+0.025045j 0.0249684+0.0426695j 0.0185004-0.0555444j -0.00702627-0.0961531j -0.0101171+0.0417319j -0.0174025-0.103014j -0.0110584+0.0616233j 0.020437-0.0183382j 0.0257454+0.0577344j -0.00553408+0.0234428j 0.0138348+0.0418246j -0.0509703+0.00525864j -0.0293911+0.0047312j -0.0011375-0.0304921j -0.000697594+0.0234399j -0.0519945+0.00776539j 0.00253471+0.0607465j -0.0295076+0.0214416j -0.024613-0.019669j 0.00165048+0.00179585j 0.0437197-0.0232097j -0.0851557-0.088944j -0.0984882+0.00687743j 0.0098705-0.0777773j 0.00855827-0.0196779j -0.0091939-0.042058j -0.000383448-0.00535135j 0.0243028-0.127547j 0.0473497+0.011471j 
0.022167-0.00487318j -0.0408093+0.0451188j -0.0294075+0.0520458j 0.0135052+0.0199594j 0.0170864+0.0827936j -0.0292177+0.0187344j 0.0255309+0.0803248j -0.0337252+0.00938624j -0.0373124+0.00324468j 0.0520037+0.00233861j -0.125533-0.00541748j 0.0261662+0.00587093j 0.0204859-0.0141674j 0.029576+0.0193021j -0.0150027+0.0261227j 0.0644881+0.0120791j -0.0213503-0.0301742j 0.020507+0.00110952j -0.00115457+0.0400268j -0.0152981+0.00670998j 0.0107326+0.0110487j 0.00935324+0.0381479j 0.029462-0.00247636j -0.0075097+0.0283522j -0.0303989-0.0260861j -0.0641827+0.0125775j -0.0553322-0.0129087j 0.00961274+0.0666538j -0.0125021+0.0112081j -0.0191599+0.0623837j -0.0290369-0.0340611j 0.0484274+0.0182884j -0.0365512-0.0576816j 0.0487486-0.0342074j 
0.00826061-0.012978j 0.0177467+0.0317517j -0.0570719+0.0490265j 0.0613248-0.0337468j -0.0447358-0.0362009j 0.00306297+6.57497e-05j 0.0458598-0.00437796j -0.00769029-0.00119927j -0.0585215-0.018195j -0.0130148-0.020961j -0.0180616+0.00667769j 0.00549546-0.00794988j 0.0233848+0.052469j -0.055984-0.0433138j 0.0162232+0.00366427j 0.0267502-0.0278926j 0.0198102+0.0260051j 0.00249989+0.0148848j -0.0165506-0.0814956j 0.0419951-0.0513593j -0.0401081+0.0357173j 0.0532512-0.0102058j 0.0065517-0.00664691j -0.00886577-0.0313333j -0.00904132-0.0758616j -0.0371009-0.0352127j -0.00254072+0.17429j 0.0758566+0.0158864j -0.0565716+0.0370579j 0.0358004+0.00593596j -0.00559645-0.00574547j -0.0216913-0.0562672j -0.00906856+0.0866141j -0.0689741+0.0526357j 
0.0180211+0.0255476j -0.00825342+0.0748705j 0.00652355+0.061455j 0.0172139+0.0177492j 0.0852629+0.011149j -0.034721-0.0265741j 0.0311238-0.0174806j 0.0318793-0.0138696j -0.0744073-0.00883041j -0.0913191-4.19687e-05j 0.0451158-0.0638779j -0.0531282-0.00113423j 0.0339866+0.00631989j -0.0260877+0.0112221j -0.0493192+0.0151217j 0.0124998-0.00711838j -0.044535-0.0394107j 0.0228649+0.00356495j 0.0715641+0.00521511j -0.0192599+0.0288234j 0.0166556+0.0440257j -0.00466246-0.038226j -0.0153903-0.0667234j -0.0161457+0.0654035j -0.0482582+0.0602883j 0.031783+0.13218j -0.0582188+0.10218j 0.0461144+0.0437231j 0.065187+0.0372695j 0.0268379+0.0247865j -0.0319545-0.0518016j 0.066035+0.0280805j 0.0526108-0.0179557j 0.0100372+0.0416109j 
-0.0093025-0.0489539j -0.00971454+0.00305731j 0.0134839-0.00578223j 0.00392697+0.00894857j 0.0335511+0.0699139j 0.0341571+0.0167072j -0.011895-0.0179193j -0.00758958-0.0216301j 0.0208984-0.0521444j 0.0329797+0.0234622j 0.00737268-0.0143734j 0.0262489+0.0260237j -0.0173857+0.0180001j -0.0357373-0.0239321j 0.0439087+0.00491269j 0.000971804-0.0138194j -0.0387799-0.0244205j -0.00409521+0.0500165j 0.0220133+0.0305565j 0.0234804+0.028514j 0.0843651-0.0305477j 0.0477178+0.0110387j -0.0191535-0.0607023j 0.00521305+0.0617762j -0.074679-0.0499727j -0.0599307+0.0912994j -0.0324086-0.072841j 0.0509511+0.0232627j 0.0783661+0.00184449j 0.057572+0.0503402j -0.0481059-0.0533645j 0.0701031-0.0272982j -0.00727195+0.0290833j -0.0253828+0.00669072j 
-0.00121561-0.00612779j 0.00130903-0.0369359j -0.050351-0.0265479j 0.0158047-0.012097j -0.0818423-0.0361527j 0.0155762+0.020929j -0.0190454-0.000226717j -0.00708147-0.0657743j 0.0439667-0.0488268j 0.0130208+0.0309911j 0.00069498-0.0549046j 0.0221274+0.0513696j -0.0220104-0.00974322j 0.0283078-0.0316621j 0.0383357+0.00510952j 0.029073-0.0231846j -0.0028012-0.0140067j 0.0249879+0.0394716j 0.0222932+0.0507618j -0.0347948-0.00534017j -0.0137484+0.00425977j -0.122652-0.00865435j 0.0214671-0.0409973j -0.00590431+0.125117j -0.000574438-0.0240794j -0.0824428+0.0444239j -0.0496381+0.0748755j -0.0131937+0.0959358j 0.0406182+0.0381846j -0.0279698+0.0553981j -0.0434658-0.0260497j 0.0628719-0.00333518j -0.0526764+0.00768513j 0.0211709-0.0521858j 
-0.000662356+0.0455425j 0.0240837-0.0227286j 0.0254536-0.00659026j -0.0271994-0.0237745j -0.0393652-0.0669248j -0.0296152-0.0305487j -0.0136617-0.0172201j 0.00686395+0.0134628j -0.0803264+0.0200368j -0.0419234+0.0299541j 0.00681994-0.0604067j -0.0318262-0.00855769j 0.0246501+0.00958943j 0.00960508+0.00445895j -0.0511041+0.00647933j 0.0478094+0.0271334j 0.0113168-0.0305569j 0.0413788+0.00568113j 0.010324+0.0406688j 0.0354117+0.0356892j 0.119834+0.0110436j 0.0955598-0.0117819j 0.0246203-0.00059153j 0.0148217+0.0217158j -0.0159973+0.00758335j -0.0247511+0.0110892j -0.030479+0.0249581j 0.111385+0.0835813j -0.038885+0.0223842j -0.0358741+0.0466188j -0.0320079-0.00967642j 0.0622737+0.0529051j -0.0502248-0.0146362j 0.0324122-0.00572304j 
0.0275923-0.00308777j 0.0277724+0.0492085j -0.0232966+0.0806366j 0.0474018-0.0332432j -0.0250733-0.0224723j -0.0273184-0.0149036j -0.0345696-0.0165043j 0.016653+0.0166191j 0.0251459+0.0707703j -0.0371385+0.0213667j 0.0295421-0.00392896j -0.0356346-0.00672822j -0.0225903-0.00439195j -0.0346268+0.00992669j 0.076949+0.0231736j 0.0365899-0.0290375j -0.0623168+0.0400946j 0.00224277+0.0186855j -0.0935078+0.0199991j 0.0438497-0.0473476j -0.0218942+0.00390905j 0.0266082+0.0950247j -0.00115967+0.0126941j 0.0237046+0.0120314j -0.120966-0.0127397j -0.0843456+0.0788478j 0.0232479-0.0876695j 0.00181179-0.0186815j 0.0306712-0.0612103j 0.0730934+0.0424399j -0.066596-0.0349534j -0.00671408-0.0981308j -0.0382293-0.0142526j 0.00411169-0.0245056j 
-0.0387746-0.0134233j -0.0262198-0.0370979j 0.000202826-0.0600836j -0.0245158+0.0168597j 0.0214853+0.0306598j -0.0273599-0.0292984j -0.0451369+0.00282504j 0.0298255+0.0279549j 0.0330525+0.0547467j -0.032138-0.000453501j 0.0492746-0.00481409j -0.0429932-0.0197632j 0.0440491-0.0172353j 0.0148235+0.0100404j 0.0624474-0.0228909j 0.0390515-0.0264186j -0.0334954+0.00182074j 0.0371218+0.0487346j -0.0118004-0.0603729j -0.0775437-0.0207927j -0.103481-0.0442712j 0.0388496+0.0377369j -0.0367369+0.0230754j -0.0183286-0.0140204j -0.147197-0.165915j -0.0898763-0.029955j -0.121934+0.0428052j -0.0435336+0.0262991j -0.0200227-0.0205105j 0.066131+0.000259192j -0.0684133-0.0105273j -0.046847-0.0816072j -0.0137545-0.0385401j 0.0178963-0.00498458j 
-0.077159+0.0221452j 0.0153393-0.0490518j -0.0265337-8.13056e-05j -0.0177469-0.0483536j -0.0759737-0.0202797j 0.0199412-0.038803j -0.0014804+0.071476j 0.00461266+0.0872794j 0.0327313-0.00195604j 0.00484158-0.0881113j 0.00149801+0.0713194j -0.0187816-0.0398j -0.00595734-0.00900404j -0.000829611+0.0174686j 0.0288206+0.0212229j 0.0280785-0.0241287j -0.0777901-0.000416351j -0.0345221-0.0102858j 0.0252371-0.0025757j -0.0516332+0.0140712j -0.029464+0.0542698j 0.0574754+0.0199015j -0.0242519-0.0446339j -0.0235497+0.0450167j -0.0599881+0.0173233j 0.0267032+0.0547784j -0.0507768-0.0155217j -0.0280804-0.00337936j 0.0345556-0.0120412j 0.0799139-0.000476111j -0.0274477-0.023779j 0.0252879-0.0226789j -7.31685e-05-0.0170723j -0.00600219+0.00864507j 
-0.120611-0.0404156j 0.027321+0.0308707j -0.00205545+0.0096151j 0.0360642-0.0244242j 0.125112-0.00751443j -0.00817277-0.0344018j -0.0709709+0.070266j -0.0144618+0.020387j 0.00187624-0.0047668j 0.00917271+0.0243232j -0.0508189-0.0854032j -0.0164588+0.0332272j 0.00767912-0.00172449j 0.0244183+0.014876j 0.00111701+0.0281479j 0.0475688-0.00614458j 0.00383539-0.00730157j -0.0530311-0.0555232j -0.0161345+0.0013751j -0.0327902-0.00679848j -0.0366591+0.0748887j 0.0466027+0.0218013j 0.0459417-0.00619804j -0.0430013-0.0189832j 0.0526153-0.00982112j -0.0159308-0.082306j 0.0337041+0.000853129j -0.015958-0.00424735j -0.063872+0.0404634j -0.00065256+0.00786079j 0.0454719+0.0183861j -0.00742215+0.0264164j -0.0273196+0.00778194j -0.0073098-0.00399121j 
-0.0510542-0.0512173j -0.0268065-0.0305613j -0.0747328-0.000337332j 0.0262412-0.0294595j -0.0523645+0.0516327j 0.00990615-0.0404694j -0.0142838+0.0221039j -0.0047887+0.049407j -0.0214894-0.000159217j -0.00521153-0.0488858j 0.0130022+0.0217837j -0.0100684-0.040325j 0.0748864-0.0447167j 0.0306918+0.0713747j -0.0243867-0.0317944j -0.00470981+0.0111791j 0.0241083-0.026904j -0.0187246-0.0123764j -0.0459316+0.00925555j 0.099389-0.00578522j 0.0133475+0.0884722j -0.0363806+0.063278j 0.0021328-0.0439727j 0.00205395+0.0457817j 0.0384681+0.0639908j -0.0105444+0.0870788j 0.0976136+0.00496471j 0.048475+0.00959168j 0.0186347-0.0114949j -0.0259021-0.0259163j 0.00366501+0.0107351j -0.0222752+0.0336941j 0.0283814-0.0721928j 0.0760764+0.0430344j 
0.00638504+0.00776981j -0.0161732-0.0161027j 0.000346952-0.0152923j -0.015493+0.0169811j -0.0057681+0.00797664j -0.0163118-0.00120263j 0.0036398+0.00995134j 0.0123342+0.00795592j -0.000502359+0.00585424j -0.0127242+0.00716165j 0.00170724-0.00949613j -0.0166986+0.00182499j 0.0692764+0.0355742j 0.0246443-0.00258802j 0.0386835-0.0599804j 0.00937702+0.00214073j 0.0443246-0.00380175j -0.0511294+0.033953j 0.0410962-0.0731468j 0.153409+0.0175398j -0.092054-0.00528239j 0.0539787+0.118622j 0.0133415-0.0492671j -0.0167438-0.0517137j 0.0514569-0.120384j -0.0899599+0.00599721j -0.152039+0.0213829j 0.0385316+0.0697838j -0.0545893-0.0344539j 0.0428636+0.000275267j 0.0135601-0.00139136j -0.0429675-0.0571237j -0.0221332-0.00293026j -0.068068+0.0379685j 
-0.0120147-0.0105711j -0.0112148-0.00408073j -0.028749+0.00034863j 0.0114716-0.00393652j -0.0126546+0.0103417j -0.00613004+0.0194627j 0.0429013-0.0129188j -0.0261798-0.0206984j -0.040745-0.000121631j -0.0257102+0.0208049j -0.0436181-0.0126412j 0.00722565+0.0198771j 0.0143396-0.0170494j 0.0145558-0.00475411j -0.0222591-0.0500617j -0.0326422+0.0437872j 0.0278539-0.0474097j 0.023671+0.0144782j -0.00784506-0.032301j -0.0154254+0.0914041j 0.0563934-0.113604j 0.0912152-0.0927051j -0.0212213+0.0509811j -0.0233737-0.051965j -0.0905371-0.0901349j -0.0543639-0.111982j -0.0151646-0.0902362j 0.00841581-0.033183j -0.0236783+0.014887j -0.0300974-0.0468195j 0.0320127+0.0421578j -0.0199737+0.0517909j 0.0143485+0.00459163j 0.0150259+0.0168476j 
0.0206386-0.0309981j 0.0254205+0.0151894j 0.000517015+0.0594699j 0.0245038-0.0373419j -0.0393406+0.0141892j 0.0419382-0.0199621j -0.0505569-0.00559233j -0.0307465+0.000245441j 0.0341212-0.0537047j 0.0289902-0.0272874j 0.0469546+0.00161585j 0.0257296-0.0295458j 0.0177892+0.00436749j -0.0138955+0.0381019j -0.0426672+0.0825853j 0.0728848-0.012797j -0.0663226+0.00231272j 0.0163514-0.0191816j 0.0390466+0.027289j -0.125866-0.0417968j 0.0887225-0.0279457j 0.149052-0.166735j -0.0157833+0.0118398j -0.0356518-0.020939j -0.0427088+0.0371574j 0.100312-0.0431429j -0.0785757+0.0221609j 0.00897218-0.0570645j -0.0376857+0.0503955j 0.0374644+0.00235005j -0.0400848-0.027405j 0.0627081+0.0206838j 0.0125419-0.0104675j 0.0439635+0.0161607j 
