0.0187798+0.00959049j -0.0110071+0.00970149j -0.00438011+0.00898905j 0.00479213+0.00634065j -0.00583117-0.0090342j -0.00913091-0.0310869j -0.00103742-0.0351035j -0.00359631+0.0126767j 0.00184251-0.0230756j 0.00408566-0.0119114j 0.00573858+0.0123398j -0.019216+0.0113341j 0.0261022-0.0243786j -0.0300612+0.0366193j -0.0267532-0.00296276j -0.0148969-0.0326876j 0.0243358-0.0164147j 0.00792529-0.0173687j 0.00422595-0.00150382j -0.000342248+0.00407113j -0.0309302+0.0204975j -0.00252683-0.00273953j -0.0174546+0.00823061j 0.000487424+0.000136504j -0.00566281-0.000536895j 0.0312562-0.00813895j -0.00298208+0.00414738j 0.0116488+0.00208178j 0.0149091-0.00313788j -0.0156263-0.000547478j 0.0107276-0.00395858j -0.00630597-0.00318262j -0.00753239-0.00208715j 0.00235047-0.00885323j -0.0150072-0.0124343j 0.033144+0.00962653j 0.00130095-0.0147232j 0.00176441-0.001312j -0.00218277-0.016937j -0.0072907+0.00100538j 0.0074526-0.0132922j 0.00645578-0.00944179j -0.000187272-0.00504455j -0.00731029-0.00214368j 0.00022868-0.00941155j -0.00126134-0.00184373j 0.0103023+0.00494881j 0.00416154+0.00557954j 0.00890209-0.0051443j 0.000494068+0.00642974j -0.00665269-0.00779779j -0.0121613+0.00719887j 0.000740441+0.00417314j 0.00652041+0.000381178j -0.010863+0.00432359j 0.00363124-0.003932j 0.00826574+0.00612555j -0.00494745+0.00222501j 0.00453209-0.0112464j 0.000541983-0.011904j -0.0072203+0.00136699j -0.0143246-0.00478883j 0.00365508-0.00292357j -0.00592027+0.00181622j 0.00782041+0.00433779j 0.00989078-0.00197088j -0.00196976-0.00130991j 0.00471362-0.00677051j 0.00202391-0.00680921j -0.00291964-0.00181026j 0.00573397+0.00686788j -0.00533163+0.00207877j -0.00646026-0.00273027j 0.00513862+0.0054755j -0.00562442-0.000382483j -0.00412601-0.000337044j 0.00477692-0.00629521j -0.00114095-0.00262645j -0.00446741+0.00577507j -0.00367305+0.00203824j 0.00968569+0.00794209j -0.0030811-0.00979929j -0.0100202-0.000742508j 0.00020958-0.00880511j -0.00458299+0.000161295j -0.00177061+0.00478721j 0.00517085-0.00191665j 0.00227932+0.00634951j 3.28471e-05+0.00587534j 0.00384124+0.00662091j -0.00774203+0.00609999j -0.0115262+0.00721033j -0.0157299-0.00837385j -0.00183928+0.00345618j -0.00474723+0.00404956j -0.00308437-0.00501926j 0.0113225+0.000160104j 
0.00899942-0.000411177j 0.00473719+0.00553765j -0.0213875+0.0128204j 0.0440021-0.00932147j 0.0399636+0.026285j 0.0107038+0.0172504j -0.00438672+0.00762439j -0.0213394-0.0149953j -0.0175144+0.0141852j -0.0253196-0.0100572j 0.0259177-0.00514358j -0.010114+0.00993236j -0.00248266+0.00352862j -0.00480981+0.0189651j -0.0015203+0.00713719j 0.00422887-0.00698499j 0.0204355+0.0129404j -0.0256563-0.0127254j 0.00213541-0.0154929j -0.0117316-0.0069014j -0.0186165+0.00204065j 0.0137994+0.0126919j -0.00442504-0.0286476j -0.00910898+0.0273324j 0.000457818+0.0116089j -0.00036243+0.00544093j -0.00124571+0.00226558j 0.00759045-0.00820958j -0.00054859-0.00703492j 0.00602926-0.00919077j -0.000503548+0.00700476j 0.00188829+0.00242212j -0.00106887+0.00783503j 0.000423748-0.00972596j -0.00480906+0.00290544j -0.0062528-0.0116155j -0.0139092+0.0116092j -0.00586474-0.0218587j 0.00435067+0.00335746j 0.00172835-0.0149795j -6.44851e-05+0.00598912j 6.40455e-05-0.00926061j -0.00147669-0.00990237j -0.00144835+0.00152567j 0.00500602+0.002039j -0.00625116-0.00374307j 0.00129404-0.000902205j -0.0116273+0.0054171j -0.0067378-0.00599816j -0.0130749+0.00654424j -0.00930978-0.00851674j -0.00235143-0.00503434j -0.0064729+0.0013506j -0.000284593+0.0109868j -0.00493796-0.00547651j 0.00671995+0.0119244j -0.00232786+0.01521j 0.0161816-0.000547837j -0.000396867+0.0070811j 0.00465546+0.0065424j -0.00467159-0.00411492j 0.0106376+0.011545j -0.00847445+0.00648014j -0.00700443+0.00638183j 0.00660887+0.00891203j 0.00586464-0.0096114j -0.00421231+0.00925863j 0.00554058-0.00361447j -0.00154059-0.000998909j 0.00112172-0.00162419j 0.00693984-0.00211719j 0.00106277-0.0035004j 0.00271798-4.65131e-05j -0.000141392+0.0020773j 0.000103098+0.00366446j -0.00104878-0.00197528j -0.00500553-0.0110474j -0.00188548+0.000193898j -7.50228e-05-0.00556425j 0.000564193+0.0078767j 0.000600406-0.00104522j -0.00194938+0.0108102j -0.00659255+0.000749721j -0.00247738+0.000441285j -0.000566375+0.0023735j 0.00867699-0.000598233j 0.00213921-0.0017088j 0.00136019+0.00588616j 0.00317237+0.00473246j -0.000632167+0.00376402j 0.00439659-0.00356433j -0.00124714-0.0018773j 0.00230361-0.00443303j -0.00370084-0.000336635j 0.00634913-0.00235292j 0.00721415-0.00101721j -0.00365131+0.00156178j 
-0.0033991+0.00340347j 0.00453236-0.0239739j -0.0166312+0.0072958j -0.00903024-0.00538313j -0.00294161+0.0276282j -0.00919205+0.00716519j 0.0323497+0.00702405j -0.00833204-0.00593259j 0.0116194+0.0160985j -0.000190395+0.0412315j -0.0118925-0.0345166j 0.00894541+0.00366705j -0.013093+0.0127464j 0.00822283+0.0136024j -0.0148936+0.00933397j 0.0320365-0.0192122j 0.00559519+0.019229j 0.00978165-0.00292305j -0.0181828+0.00161319j 0.00945746+0.0164639j 0.00033792-0.0250452j 0.00485758-0.0167513j 0.00276949+0.0173495j 0.00363228+0.00870708j -0.00537504-0.0140912j -0.00661616+0.00340757j -0.00215934+0.00715183j -0.00542022-0.00536853j -0.00572547-0.031603j -0.0127959+0.0246996j -0.0112669+0.0261325j -0.000899839+0.00721359j -0.00387847+0.00575157j 0.00758337-0.00115055j -0.00840549+0.00928412j 0.00770957-0.0034993j 0.00220741-0.0120241j 0.00105259-0.00024235j 0.00410314-0.00827734j -0.000153718+0.00255733j -0.00227534+0.00189742j 0.000699693-0.0072635j -0.0028847-0.000127345j -0.00118175+0.00114937j 0.00834267+0.000341751j 0.000670616-0.00463848j 0.00115401+0.00373065j 0.00278768-0.00306913j -0.0112738-0.00221467j 0.00163452+0.00809571j -0.0052719+0.0135167j 0.00803787-0.00435975j 0.00519687+0.00138335j 0.000985595+0.00247885j -0.00565817+0.00731992j 0.0135342-0.00144002j 0.00750628+0.00938173j 0.00634744-0.00139542j 0.00499847+0.0020154j 0.00398087+0.000570575j -0.00832219+0.00362603j 0.00626094-0.00258309j 0.00951157-0.00590691j -0.00924601+0.0106963j 0.00533547+0.000529043j -0.00013771+0.0103874j -0.00939103+0.00990493j -0.00814797-0.00928653j 0.00111998+0.00416168j -0.00148048+0.00263042j -0.00477929-0.00351961j -0.00526077+0.00179204j 0.00714405+0.00534061j -0.0038966-0.00173702j -0.0129164-0.00105726j 0.00431177+0.00119577j 0.00177027-0.00373151j 0.00114802+0.000859744j 0.0050982+0.00693168j -0.00265352+0.00383474j -0.000618357+0.00548302j -0.00238595+0.00323249j -0.00711178-0.00935671j -0.000365061+0.00796261j 0.00395401-0.00389063j -9.34704e-05+0.00665231j -0.00313566+0.000222907j -0.000995281-0.000884672j -0.0019927+0.00330445j -0.00275307-0.000166975j 0.009085-0.0050084j -0.00336589+0.00392977j -0.00213613+0.00225485j -0.0094117+0.000979015j -0.00787957-0.00283353j -0.00707646+0.00170717j 0.00961512-0.00264059j 
0.00662201+0.00583365j -0.000503513+0.0199239j 0.0167588-0.00137127j 0.0116602-0.00453148j -0.0111622-0.0205215j -0.00784577-0.0452001j 0.00375439-0.000434292j 0.00346675+0.00519901j -0.0145804+0.0269068j 0.0140846+0.029009j 0.00266236-0.0378464j 0.00479675+0.00860028j -0.00461829+0.00824389j 0.00480619+0.00260866j 0.00158173-0.0212464j -0.0167169+0.0127445j -0.00702229-0.0103105j -0.00653249+0.0156152j 0.00673262-0.0072856j 0.00685005-0.00903086j -0.0104243-0.0234011j 0.00442878+0.012806j 0.00746809+0.0022861j 0.00288909+0.0350685j -0.000977566-0.0217592j 0.00598854-0.0212229j 0.00148286+0.0174117j -0.00809824+0.0139203j -0.00366478-0.0229266j -0.00283318+0.00730143j 0.000481348-0.0032801j 0.0028167+0.00554795j -0.0143862+0.0207667j 0.000612372-0.00853712j 0.00566408+0.00421948j -0.0096344+0.0121743j -0.00435209+0.00772209j 0.000547002-0.00433243j -0.00594312-0.00361268j -0.00284479-0.00545334j 0.000254932-0.00508398j 0.00260942+0.00771711j -0.00019665-0.00958336j 0.00391745+0.000908118j -0.0030642+0.00254238j 0.00498973+0.00757142j -0.00152986-0.00524496j -0.00622519-0.0085915j 0.00290528+0.000167108j -0.00220164-0.00305681j 0.0035089-0.00682773j 0.00825523+0.00566273j 0.0017236-0.00735297j -0.00468702-0.00296853j 0.00861468-0.00686986j -0.00930905+0.000973097j -0.00210774-0.00782909j -0.00253759-0.00348767j 0.00417956-0.000845025j 0.00531389-0.000620777j 0.0051743-0.000204191j -0.00613256+0.00169284j 0.00574497-0.00384833j 0.00953619-0.00328782j -0.008212+0.0066176j 0.00294951+0.00360638j -0.00868593-0.0151324j -0.00256337+0.00390761j 2.94252e-05+0.00217881j -0.00440726+0.000904191j 0.0083984-0.00433493j -0.00402004-0.000534201j -0.000134569+0.000863959j -0.00200703+0.000882613j -0.00485467-0.000486018j -0.00820551+0.0021558j 0.000905451-0.00298223j 0.00401517+0.00520715j 0.00373944+0.00693215j -0.00552631+0.00323001j -0.0039133+0.00310838j 8.1646e-05-0.0014353j -0.00851926-0.00395437j -0.00198657-0.00232511j -0.00107528-0.00359166j -0.00545722-0.00105618j 0.00259938-0.000578168j -0.00238998+0.000841579j -0.0020217+0.00286362j -0.000759584+0.00511223j -0.00281545+0.00432187j 0.00426304-0.00369502j 0.00326488+6.85418e-05j 0.0137803+0.000121616j 0.0016565-0.000708531j 0.00226538+0.00249605j -0.00360842+0.00540416j 
0.0077641-0.0115911j 0.00467047-0.00218517j 0.0215856+0.034105j -0.00942833-0.0444617j 0.0493154-0.0451365j 0.0192892-0.0132093j 0.0273008-0.00639608j -0.0299745+0.0244917j 0.0161007-0.00393946j -0.0143097+0.0183471j 0.00215337-0.00366514j 0.00491754-0.00160859j -0.0102668-0.00154311j 0.0206445-0.00713826j 0.00169861+0.00502333j 0.000571232-0.0167674j 0.0262646-0.0176814j 0.00197398+0.0145426j -0.000798209+0.00430648j -0.00168288+0.00784414j 0.00131303+0.014701j 0.0038869-0.0180478j -0.00414641+0.00900273j 0.0005262-0.0248833j 0.00190084-0.0022463j -0.00676278+0.00721001j 0.00366963-0.00452334j -0.00358448-0.000276853j -0.000252446-0.00710764j -0.00220547-0.00354667j 0.000185795-0.00166149j 0.00102536-0.0029669j 0.00251179-0.000353913j -0.00115773+0.0022232j -0.00488251-0.00265884j -0.00069247-0.00206248j -0.00520242-0.00842493j 0.00886508+0.000582113j 0.00349883+0.00385874j 0.00429141+0.00979499j -0.00614016+0.000578223j 0.012657+0.00433425j -0.00141446-0.00169899j -0.00144476-0.00816027j -0.00993612+0.00268878j -0.000386837-0.00268794j -0.00519541+0.000505583j 0.00160588-0.00254404j 0.0086374-0.00449231j -0.00619725-0.0160325j -0.00327062-0.00452709j 0.00077968+0.00346872j -0.0137121+0.00218075j -0.00712146-0.00660746j 0.00593241-0.00297254j -0.00915088+0.00837716j -0.0102505-0.00038878j 0.0024391+0.0189064j -0.00756123-0.00465968j -0.00265025+0.0105366j 0.00546977-0.00731434j -0.0157326+0.0114376j -0.00754672-0.00198885j -0.0111465-0.0102655j -0.0104829+0.0149148j 0.00651947+0.00827235j -0.00872017-0.00629233j 0.00660948+0.0063019j 0.000836047-0.00158809j 0.000904107-0.00470073j -0.0031679+0.00770824j 0.00270082+0.00351984j 0.00113579+0.00493008j -0.0042141-0.000225252j 0.0036494-0.00201919j -0.000229528+0.000125852j 0.00877731-0.00467663j -0.00335399-0.00238409j 0.0061855-0.00198975j -0.00326374+0.000263272j -0.00345792-0.00288452j -0.00709979-0.00116712j 0.00218465-0.00399065j -0.00232309-0.00586607j -0.00191674-0.00250987j 0.00545444+0.00720224j -0.00284542+0.00615766j -0.00295931-0.00134859j -0.00195611-0.00112214j -0.0026537-0.00563296j -0.000964104+0.00488419j 0.00271353-0.00312412j 0.00140249+0.00460454j -0.00952635-0.00187715j -0.00342858+0.00233728j 0.000483028-0.000545835j 0.00478451-0.000450576j 
-0.0082696-0.00793729j 0.00250499-0.00702903j 0.00969565-0.00144805j 0.0019462+0.00222905j 7.06914e-05+0.00187148j -0.0240275-0.0231398j -0.0152755-0.0281206j -0.000397992+0.0026466j -0.00511185-0.0138671j 0.0132139+0.0064138j 0.00963829-0.0124057j -0.00492565-0.01659j -0.0125336+0.0121982j -0.0288238-0.00952894j 0.0166774+0.0393365j 0.00835069+0.00979446j 0.00369418-0.017314j -0.010055-0.00810239j 0.012987-0.0123432j -0.0132018-0.0155963j -0.00320303-0.00438449j -0.00469161+0.00141666j 0.013265-0.0105241j 0.00143078+0.0270407j -0.0011537+0.00845887j -0.00127474+0.00132073j 0.00459435+0.00423538j 0.0100508+0.00991819j -0.00158651-0.000389953j 0.00223667+0.0102287j -0.00810434+0.0353847j -0.0046098-0.00216317j 0.00117131+0.024628j 0.0152363-0.0283396j -0.00299557-0.0212827j 0.0162928+0.00420161j 0.00653636+0.0207635j -0.00236728+0.00519723j 0.00957879+0.0715994j 0.00106759+0.00419855j 0.00556259+0.0106566j 0.00570983-0.00799892j -0.00430832+0.00296295j 0.00668283+0.000451367j 0.00855995-0.00954353j 0.00191847+0.00184874j 0.00461238+0.00224722j 0.00698841-0.00877709j 0.00246407+0.00245499j 0.00260331-0.000996411j 0.00158538-0.00205612j 0.000958633+0.0038783j -0.00315632-0.00378841j -0.000154862-0.00483245j 0.00274872+0.00314554j -0.00478352-0.00277621j -0.0003721-0.00205272j -0.00668247-0.00165505j 0.00201431-0.000606689j -0.002032-0.00102291j -7.29694e-05+0.00618678j -0.00342488-0.00468903j 0.0026763-0.00342303j -0.00309861+0.00772022j -0.0089503-0.00278955j -0.00106697+0.00758992j -0.000154718-0.00142228j 0.00438271-0.000412307j 0.00331888+0.00219355j -0.00378923-0.00460791j -0.00515116-0.00294014j 0.00258586+0.00296617j -0.0044501-0.00288158j -0.00352353-0.00373933j 0.00522729+0.00389203j -0.00129655-0.00473622j 0.00322674+0.00478058j 0.00912629-0.00903362j -0.000255938-0.00173094j 0.00453971+0.00243966j 0.000980045-0.00633799j -0.00272359-0.00429553j 0.00402298+0.00397878j 0.0140552+0.00196505j -0.00827456-0.00741952j 0.00154243-0.000133392j -0.00554763+0.00369743j 0.00280089+0.00253659j 0.00551283+0.00253167j 0.0274701-0.0090528j -0.014363+0.00238165j -0.00813008+0.00560384j -0.0077359-0.000250323j -0.0302325-0.00773999j 0.0236091+0.0202583j -0.0166741-0.0224316j -0.0190663+0.000269002j 
-0.00794611-0.0148437j 0.00508608-0.00491272j 0.0144026-0.0113708j -0.0214742-0.0014127j -0.0260639-0.0312262j -0.00258651+0.00719094j 0.00599849-0.0143598j 0.0108241+0.0104231j -0.00490637-0.00879802j -0.0043592+0.00876944j -0.00493892+6.97835e-05j -0.00117271+0.000111567j 0.00980915+0.00288793j 0.0110778-0.0158326j -0.0231838-0.0133576j -0.0088875-0.0197892j -0.00574575+0.00212113j 0.00938959-0.0196217j -0.0140398-0.023131j -0.0014462-0.0152319j 0.00495877+0.00554129j 0.0070762+0.00204678j -0.00456657-0.0337288j -0.00659595+0.0368722j -0.00531102+0.025596j -0.000273765+0.0182134j -0.00896184-0.00195012j 0.00737524-0.0196195j -0.000884289+0.00726166j -0.000179087-0.00373991j -0.00578205+0.00543764j -0.00155853+0.00647814j 0.00110127-0.0217091j -0.00960069+0.00897275j 0.00115515+0.0160901j -0.0022417-0.0104746j -0.00531858-0.0246333j 0.00368269-0.00892707j -0.011437-0.0396479j 0.00425465-0.00249061j 0.00472825+0.0112274j -0.00171343+0.00847599j 0.0021421-0.00547855j 0.00400668+0.00106782j 0.00155392-0.000248748j 0.00975315-0.00552103j 0.00201158-0.0025827j -0.00148004+0.00560267j -0.000683026+0.00129887j 0.0182301+0.00442746j 0.00346767-0.00931175j -0.000852496+0.000990069j 0.00356984-0.00495342j 0.00579041-0.00193945j 0.00126835+0.0123464j -0.00472832-0.00268293j 0.0010731+0.00849887j -0.00696207+0.00470417j 0.0034016-0.00069063j -0.00282875+0.00978964j 0.00160827+0.00493964j -0.00719006-0.00852j -0.00348492-0.00526359j -0.000251753-0.0065509j -0.00773798-0.00625416j -0.00354692+0.00293485j 0.0040193-0.000643066j -0.00530787+0.00631351j 0.000240697+0.00116066j 0.00573226+0.000303654j -0.00623197-0.0013408j 0.000781818+0.00100911j -0.000923643+0.00351665j 0.000550198-0.000763267j -0.00104581-0.00325206j 0.00319264-0.00278712j 0.00672803+0.000824724j -0.00690758-0.00300177j 0.005476+0.00788459j -0.0030299-0.00915702j 0.00502899+0.00423787j -0.000265534-0.00470835j 0.00068746-0.0030409j -0.0019565+0.000628687j 0.004562+0.00434885j -0.00480845-0.00110423j -0.000549167-0.00288246j -0.00250613-0.00555398j -0.0116681+0.000269774j -0.0164856+0.00507251j 0.017452-0.00234613j 0.00655378+0.00104751j 0.00053026+0.0026871j 0.0180171+0.00384657j -0.0138661-0.0147822j 0.00988691+0.0112994j 0.0129575-0.00038279j 
0.00361784+0.00109306j 0.00312858+0.00230143j -0.0015615+0.0104639j -0.00264447+0.0126844j -0.00101681+0.0033754j 0.0202541-0.00717577j 0.00559597-0.000665907j 0.00620507-0.00869031j -0.00431339+0.00517035j 0.00502345-0.015236j 0.0211059-0.0178974j 0.028769-0.00153292j -0.00190781-0.0109247j -0.00833213-0.0185401j -0.035122+0.00903453j -0.0189192+0.0292133j 0.0126431+0.0100125j -0.0110394-0.00319286j -0.00758525+0.0189414j 0.00989236-0.0156303j 0.000556477-0.00104626j -0.00291486-0.00340621j 0.00194486-0.0016078j -0.00388146-0.0132919j 0.00235698-0.00457397j -0.00533104+0.0102625j -0.0134502-0.00390543j -0.00223591-0.00768407j -0.00274394+0.00677627j 0.00473711+0.0145751j -0.0107258-0.0311764j -0.00551259+0.0119569j 0.00857826+0.00927793j -0.0142126-0.0103641j -0.00561391-0.0199713j 0.0138574+0.0505949j -0.00914736+0.00327265j -0.00943669-0.0217529j -0.0267517+0.0261065j -0.0020329+0.00277244j -0.00154996+0.0078065j 0.0010509+0.0129245j -0.0122075+0.00647239j -0.000582982+0.00268522j 0.00263932+0.0124034j 0.00190441-0.00329582j -0.00666861+0.0108672j -0.000672408+0.0135217j 0.000596209-0.000259027j 0.00319344-0.00270238j -0.00750459+0.00893192j -0.00014833-0.0019599j 0.00172672+0.00246637j 0.00723135+0.000297641j -0.00335252-0.00258581j -0.000326996+0.00448028j -0.0124748+0.00642855j -0.00253625+0.000667583j -0.00348302-0.00255071j -0.00595393-0.000759768j -0.00294101-0.00228125j 0.00463314+0.000711467j 0.00400148-0.00533125j -0.000916462-0.00640858j 0.00348731+0.00398476j -0.00171591+0.000304744j -0.00363544-0.00348093j 0.00847141-0.000633803j 0.00233247-0.00286146j 0.00288349+0.00197739j -0.00326207-0.00778657j 0.00537014-0.00861482j -0.00492082-0.00326724j 0.000731305+0.00355283j 0.00378726-0.00512424j -0.00835097-0.00681981j 0.0079907+0.00167668j 0.00158302-0.00460027j -0.00353514-0.000688753j 0.00609963-0.00931857j -0.0173472+0.00139679j 0.00770261-0.00802996j -0.00866549+0.00501063j 0.0104358-0.00813409j -0.00147979+0.016327j -0.00528185-0.0100453j 0.00587383+0.00169984j 0.00173192+0.00465505j -0.0280851+0.00886923j -0.0141808+0.00862158j -0.0111637+0.00542287j 0.0144625+0.00233009j -0.0128577+0.00804669j 0.0200515-0.00626866j 0.0161019+0.0133465j -0.0270124-0.0115767j 0.0194065+0.0284223j 
-0.0118412+0.00622912j 0.00390616-0.0205616j -0.000352755+0.0263532j 0.0102967+0.0379839j -0.00453989+0.0259113j 0.015447-0.0338723j -0.0124391-0.0447127j 0.0135847-0.000405931j -0.0170125-0.0177848j 0.0121934+0.00420069j 0.0153827+0.0146981j 0.0123822-0.0421509j 0.00211239+0.0662531j 0.0025108-0.083709j -0.0117532+0.0312036j -0.0239019-0.0341707j -0.0213029+0.0284362j -0.0209132-0.0340677j 0.014277+0.030353j -0.0158334-0.00795328j -0.00860398-0.00594297j -0.0245874-0.0120852j 0.00396802+0.0135641j 0.00452427-0.00121411j -0.0201968+0.0131576j 0.0141207+0.00137662j 0.0280866-0.00578142j 0.0121327-0.00758061j 0.0118536+0.000122187j -0.0202127+0.00339477j 0.00972533-0.00332607j -0.00545968+0.00877767j 0.00722979-0.00815932j 0.0235464-0.0154436j 0.0504517-0.0149839j -0.0326993+0.0307234j -0.00547815-0.00824633j 0.00974304+0.000426456j -0.0201492-0.0114456j 0.00331196+0.0110441j 0.0106285-0.000927224j 0.0102809-0.0234004j 0.00641211-0.024321j 0.00792946-0.00143503j 0.0161706-0.0229549j -0.0224431+0.0129098j 0.0094276-0.0163922j 0.0108645-0.0156505j 0.00264598-0.00038683j 0.00913869-0.017785j 0.00349468+0.00347689j 0.00488321-0.00921796j -0.00432066-0.00173842j -0.0184792+0.0132775j 0.000216549+0.0148716j 0.00102497-0.00665053j -0.010907+0.00373926j 0.0123783-0.0081745j -0.0081969+0.0166843j 0.00477823-0.000721478j 0.00466554-0.00886654j -0.000840438+0.0133118j -0.00780863+0.00926641j 0.00407895-0.003827j -0.0013665-0.000165566j -0.00445234+0.00389397j 0.00434105+0.00424792j -0.00710174+0.0129979j -0.00234346+0.00909595j -0.00387099+0.000986374j 0.00532067+0.00110975j -0.00354158-0.00352729j -0.00523553+0.0025512j 0.0119327+0.00345531j -0.00609386-0.00238686j -0.00544749-0.00741145j -0.00228599-0.0122756j 0.00160715+0.00618937j -0.00331574+0.000218656j 0.00018741-0.0074571j 0.00658163+0.00905405j 0.00249076-0.0142251j -0.00471166+0.00677088j -0.00282804-0.00730735j 0.00246149-0.00707777j 0.000861673-0.000617653j 0.00380387-0.00813623j 0.00190109-0.00828965j -0.0119629-0.00842787j -0.00743551+0.0110532j 0.00739952-0.00378066j 0.00947092+0.00929214j 0.0154583-0.00894302j 0.0181453+0.00675356j -0.0509165+0.012362j 0.00363413+0.0267329j -0.0379716+0.0254587j 
0.00260467+0.00963015j -0.0202873+0.0175451j 0.00121164-0.00581293j 0.000758762-0.025039j 0.0187383+0.00305369j -0.0127365+0.0150691j -0.00644549+0.014866j -0.006241-0.00324736j -0.00841589+0.00484676j 0.0171232+0.00930883j 0.0248099+0.0232282j -0.0304617+0.0352191j 0.010134-0.0225401j 0.0165981-0.0601328j -0.00342544+0.0947234j -0.0502621+0.0855526j 0.0140882+0.0460722j -0.00379863+0.0194828j 0.00167589-0.00302993j 0.008019+0.00514227j 0.00194672-0.00867194j 0.0074876-0.000287952j 0.00180081+0.0116662j -0.000271991+0.00415628j 0.00981712+0.0127356j -0.00730247+0.00267376j -0.00983827+0.00189875j -0.00113515-0.00816548j -0.00215583-0.00520146j 0.0104157+7.59836e-05j 0.0062587+0.014843j 0.0108-0.00524438j -0.0130765-0.0223104j -0.0179243-0.0139888j -0.00885552-0.0371427j -0.0338269+0.0205121j -0.0146638+0.0255659j 0.0135714-0.0152908j -0.0340171+0.0417181j 0.0090476-0.0123357j -0.0129755-0.00189946j -0.0214705+0.0181565j 0.000684937-0.0115853j 0.000355315-0.00413735j -0.0166661+0.00500113j 0.00587354+0.0058483j -0.0122926+0.00303448j -0.0169393+0.012929j -0.00624954+0.00349864j 0.0101013-0.00964051j -0.00302045-0.00576857j -0.00294387-0.00442012j 0.00557696-0.00633785j 0.00750996+0.00367543j -0.00118031+0.00500695j -0.00066096+0.00425514j -0.00591683+0.012594j 0.00202844-0.00891337j -0.00356543+0.00449398j -0.00422403+0.00583526j -0.00381152-0.0124684j 0.00287716-0.00155642j -0.00145499-0.00143394j 0.00685905-0.0137185j -0.000306746-0.00392598j 0.00641197+0.00124017j 0.00256507-0.00548938j 0.00420463+0.0106216j 0.00909884+0.00237162j -0.00231609-0.00190477j -0.00721084+0.00592635j -0.0107362-0.00514859j 0.00404757-0.00216769j -0.00621333+0.00790463j 0.00433536-0.0039846j -0.00387658+0.000552976j 0.0170292+0.00220743j -0.0137523-0.000339753j -0.000163287-0.00296216j -0.00191082-0.00422159j -0.0126188+0.0068593j -0.000761378-0.0175195j -0.00535529+0.00485714j -0.0046571+0.000332821j -0.00622624+0.00729109j -0.00897754+0.0135557j -0.00100344-0.00864785j 0.018479+0.00497092j 0.0027603-0.00287404j 0.0116184+0.00211766j 0.00979574+0.00160026j 0.0282281-0.019955j 0.0133505-0.00150748j -0.000416258+0.0141393j -0.00588904+0.0191435j 0.0405434-0.0250404j 0.00800728+0.0285401j 
0.000879451-0.0159472j 0.00239034+0.0020279j -0.00547077-0.000218718j 0.00168088+0.00889325j 0.00127773+0.00601735j -0.00208615-0.00807142j 0.0211466-0.0141175j -0.0142433+0.000962773j 0.0134964-0.00289747j -0.0113619-0.00774075j -0.00355982-0.00932447j 0.00610345-0.00412228j 0.0077369-0.0534413j 0.00315668+0.0286358j -0.0868406+0.0375451j -0.0285721+0.0369528j 0.0326278-0.059014j -0.00213137-0.00102167j 0.0117468+0.000730118j -0.00888181-0.0055954j -0.00572765-0.00674933j -0.00554975+0.00212927j 0.00260279+0.0140594j 0.00215905-0.00331078j -0.00662875-0.00947582j 0.00175765+0.0120474j 0.00398418+0.0216766j 0.00290475+0.011967j -0.0006413+0.0226631j -0.0186877-0.00484965j -0.00450532+0.0177452j -0.0167351+0.0109806j -0.00351726-0.0252407j 0.000290556+0.0231197j 0.0156978+0.0256481j 0.00171661-0.0233635j -0.0210428-0.00869235j -0.00589649+0.0195251j -0.0383504+0.00237422j -0.000706143+0.00740238j -0.00415124+0.0027446j 0.00337492-0.00597613j -0.00969193+0.00840407j 0.00154262+0.00119877j 0.000660618+0.0033698j 0.000756049+0.000985494j -0.00174238+0.0133681j 0.00520348-0.0058063j 0.00225326+0.000848467j -0.0092402-0.00585245j -0.00305749+0.00838153j 0.000686732+0.00398199j -0.00729297+0.00265985j -0.00244785+0.00121466j 0.000271991-0.00505659j -0.000694755+0.00258077j -0.000654686-0.00160466j -0.00172947+0.0054365j 0.00671733-0.00228898j 0.00255453-0.00142647j 0.000389982+0.0121291j 0.000272761-0.00577443j 0.00202493-0.000947783j 0.00295965+0.00426463j -0.00528499+0.00316512j -0.00308798-6.51048e-05j 0.00258428+0.00233155j 0.00194038-0.0101831j -0.000308004-0.0081676j 0.000527256+0.00339304j 0.0052893+0.000358299j 0.012254-0.000750447j -0.006864-0.00409193j 0.00641893+0.00415842j 0.00421909+1.71456e-05j -0.000706049-0.0105422j -0.000532014-0.00411978j -0.000104574-0.0124639j -0.00516087+0.00522549j 0.00852879-0.00647725j 0.00207016-0.0111696j -0.00171586+0.00830299j -0.00298944+0.00817294j 0.014684-0.0119319j -0.00543503+0.0129145j -0.00164444-0.00948087j 0.00974459-0.0076433j 0.0193514-0.0139388j -0.0221549+0.000260931j 0.00178603+0.00798082j 0.0184687+0.0139199j 0.0092894-0.00183771j -0.016064+0.0110715j 0.030114-0.00972781j -0.0129598-0.0182522j 0.0105293-0.023459j -0.00648782-0.0173541j 
