-0.285078-0.0390157j -0.06454+0.0967795j 0.190355+0.60956j -0.292692-0.169256j 0.250041-0.122j 0.0165493+0.130542j 0.477223+0.233822j 0.154327-0.0319634j 0.0482048-0.00757196j 0.107976+0.0584714j 0.0272583-0.00639671j 0.0256017-0.0219146j 0.0374294-0.0483778j 0.0266712+0.00958797j -0.00652692-0.0446424j 0.0164025+0.0190287j -0.0338928+0.0105783j -0.0794565+0.0183578j 
-0.00582671-0.00185354j 0.000313192+0.00700712j -0.00880226-0.00135748j 0.00516525+0.00489318j -0.0144916-0.00474388j 0.00300664-0.00138946j -0.0035187-0.000669337j 0.0047741-0.00505122j -0.000841614-0.00168519j -0.0214516+0.00788932j 0.0413459-0.0529044j -0.0323094+0.0421648j -0.031474-0.00315356j 0.0539609+0.0476839j -0.0381329-0.0370257j 0.0144742+0.00499363j -0.0015229-0.00511715j 0.00603431+0.00596746j 
-0.0114304-0.00184082j 0.00254912+0.0140452j -0.0171697-0.0373892j 0.022778+0.0111175j -0.0100951-0.0042066j 0.0178171-0.013041j -0.0111681+0.0089725j -0.00708004+0.0571389j 0.0465172-0.0168546j 0.0392914+0.0137192j -0.0106236-0.0566848j -0.0288194+0.025184j -0.00573971+0.0551349j -0.0688602-0.00870708j 0.0126144-0.00528082j 0.0208682-0.0192404j -0.00481666+0.0416765j -0.00504374-0.0222893j 
-0.000434805-0.00587968j -0.0190585-0.0108726j -0.0478356+0.00503773j -0.018067+0.0166274j -0.00896226-0.0120438j 0.00115199+0.0171214j -0.00898961-0.00183567j 0.0659184+0.000297557j 0.0148357-0.0258944j -0.0310896-0.0263388j 0.0299346+0.0232729j 0.00622757-0.00976973j 0.011767-0.00959466j 0.00520103+0.00164585j -0.0206261+0.0219371j 0.0154486+0.000155654j -0.00272339+0.00590542j 0.00845148-0.00331666j 
-0.0479013-0.000824414j -0.0170664+0.00868877j -0.0289911+0.0044629j -0.0158191+0.00955586j 0.00323676-0.00146247j -0.0077016+0.0120181j 0.0060791-0.00627956j -0.0730032-0.0105664j -0.0206813+0.0602776j 0.0376715+0.0451901j -0.0547108-0.0121226j 0.0199648-0.00687279j -0.0348491+0.0216113j 0.00193096-0.00219325j 0.0321008-0.0361963j -0.0143832+0.0230521j 0.0077949-0.0322985j 0.000501089+0.0174527j 
-0.0053304+0.00525279j 0.00155166+0.00494234j 0.000367933+0.00547452j 0.000903446+0.000998386j -0.0111207-0.00172167j -0.00289125-0.00157387j 0.00558284-0.0101936j -0.00542029+0.00581576j 0.00711971+0.00764497j -0.00250047-0.0103899j 0.000226754-0.00516702j 0.00625575-0.000394391j 0.020005+0.00172287j 0.0314613+0.0066104j -0.0109197+0.00987605j -0.0123967-0.0294961j -0.00807547-0.0122382j -5.82025e-05-0.0194132j 
-0.00380307-0.000994769j -0.00476074+0.00237372j -0.0057068-0.000675928j -0.000634747+0.00647041j 0.0133743-0.0153959j 0.0141482+0.00650247j -0.00852774+0.0251826j -0.00282955+0.00723302j 0.00167392+0.0188802j 0.00609974-0.00938543j 0.0110861+0.0120839j 0.00582785+0.0149014j 0.0106374+0.0168013j -0.00483684+0.0109514j -0.0248691-0.0170072j 0.034834-0.00661433j -0.0199535-0.0147011j 0.0385837-0.00906412j 
0.0084631+0.00456232j -0.00120782-0.00571779j 0.00375453-0.000732868j -0.00364-0.00426097j 0.00077276-0.00697221j -0.00452691+0.0059128j 0.0018888+0.00371402j 0.0197884+0.00554777j 0.0125334-0.0194137j -0.0101047+0.00520746j -0.00229869-0.0098138j 0.00438259-0.00671734j -0.0238707-0.010086j -0.00507221+0.00941107j -0.0108868-0.00561241j 0.0317936-0.015871j -0.0154918+0.000731933j 0.0378073-0.0336694j 
-0.00375922+0.00300373j -0.00149031+0.00515669j -0.00194601+0.00374933j 0.00482335+0.00801117j -0.00638157-0.0210099j 0.0276027+0.00207035j -0.00617431+0.0472879j -0.000845336-0.000326867j 0.000451307-0.00205075j -0.00450325+0.0038474j -0.002798-0.00686305j -0.00301975-0.00417653j 0.00170389-0.0107419j 0.00511527-0.00830909j 0.019748+0.00756654j -0.0312682+0.0171954j 0.0108804+0.00381505j -0.0284956+0.00670854j 
-0.00122977+3.72614e-05j -0.0133581-0.00391905j 0.00515022-0.00564403j -0.0237399-0.00576586j -0.0143011-0.00576897j -0.000323222+0.0256821j 0.0181499+0.0182664j -0.00383808-0.0116115j -0.0112226-0.0146095j 0.000267287+0.00667072j -0.0214733-0.00667208j -0.0103328-0.00618752j -0.0154989+0.0104003j 0.0116865-0.0172267j 0.00534525+0.00504938j 0.011087-0.0197143j 0.011986-0.011101j 0.00250902-0.00510661j 
-0.0021267+0.00401769j 0.00653199+0.00530758j -0.0061339-0.000244104j 0.0107093+0.00258419j 0.0123079+0.000816231j 0.00646966-0.00706815j -0.0094767+0.00321039j -0.00826003+0.00435178j -0.00452027+0.0102003j 0.00668048+0.00128038j -0.020782-0.0135572j 0.0194183+0.0147579j -0.0055741+0.0156635j 0.00630621-0.0211985j -0.00425229+0.00827018j 0.00627044+0.00651741j 0.00510653-0.00227209j 0.0029179+0.0127107j 
0.0038642-0.00439923j -0.0156101-0.00980157j 0.0036998+0.000294701j 0.00975439+0.00629648j -0.00122394-0.00142579j -0.0103095-0.00704689j -0.00797268+0.0047923j 0.0128955-0.00883498j -0.00487606-0.0253569j 0.00518252+0.00164647j -0.00718661+0.0110311j -0.00152503+0.0175595j 0.0155796-0.0418196j -0.00238909-0.0134209j -0.0223572-0.0091432j 0.00278213+0.0214371j -0.0254363+0.0273029j -0.000409844-0.00015448j 
-0.00606626-0.00420816j -0.00695906-0.0090218j 0.0090404+0.0060203j 0.0156074-0.00105527j -0.000460986-1.66222e-05j -0.0254251-0.019305j -0.010315-0.016826j 0.00387105-0.00271535j -0.00402983-0.0108951j -0.00871243+0.00535658j -0.00207999-0.00308609j -0.019413-0.0095697j -0.0115088+0.000851091j 0.00388005+0.00128731j 0.00933069-0.00182613j -0.00413216-0.0179729j 0.0074904-0.00303298j 0.000361541-0.00858545j 
-0.000547921+0.00896712j 0.00913433+0.00166521j -0.00679465+0.00113837j 0.0289966-0.000352385j 0.0169642-0.0120949j -0.00114303-0.0238435j -0.0187937+0.0106605j -0.00425732-0.00296861j -0.009739-0.00644907j -0.00079446+0.0030232j -0.0145886-0.00619102j -0.0132244-0.00232992j -0.0106245+0.0200591j 0.0155398-0.0121713j 0.00326991+0.00200411j 0.00488409-0.0203788j 0.00419833-0.0119113j 0.00813572-0.012389j 
-0.00520836+0.0135015j 0.00863843-9.12172e-05j -0.0029933-0.00749099j -0.00564902-0.0010045j -0.0019745+0.00793381j -0.00242962+0.00151167j 0.00514452-0.00895902j -0.0122059+0.000504j 0.00181333+0.00818265j 0.00843496-0.00226748j 0.0127614-0.0196114j -0.0100624+0.0222391j 0.00266542+0.00650006j 0.0228847+0.0123585j -0.0166485-0.0116079j 0.00333762+0.00461573j -0.00255757-0.00027366j -0.00597623+0.00714138j 
0.00344714-0.00644745j 0.0307618-0.00660425j -0.00749404+0.00689111j -0.0246321+1.7509e-05j 0.00815469-0.00288858j 0.029106+0.003283j -0.000137495-0.006018j 0.00593271+0.00244356j -0.00538833-0.00907195j -0.000753721-0.00330315j -0.00133552-0.001864j -0.00492728-0.0029632j -0.00323704+0.00124248j 0.00380282-0.00100242j 0.00206757-0.000307533j 0.00319891-0.000291163j -0.00359323+0.000953628j -0.00189704-0.00303456j 
0.00314297+0.0117806j 0.00434124-0.00395316j -0.00105637-0.00506401j -0.00141862-0.00185979j 0.00232712+0.00704752j -0.00824984-0.000654731j 0.00178699-0.0124777j 0.000774388-0.00128279j -0.00271889+0.00234528j 0.00277241-0.00535686j -0.0241058+0.011503j 0.0208503-0.0091575j 0.0028621+0.00626317j -0.0195198-0.0245202j 0.012071+0.0121995j 0.00661461-0.00274112j 0.00385084-0.00368821j 0.00827556+0.00748216j 
-0.0117471-0.0188496j -0.0192115-0.000882838j 0.0127451+0.00662128j -0.00997355+0.00355954j -0.00916112+0.00344496j -0.00915057+0.00930247j 0.00222478-0.00885604j 5.32094e-05+0.00592384j 0.00310847+0.00581863j 0.00795587+0.00425067j -0.0117131-8.77018e-05j 0.0116257+0.00278825j 0.00496644+0.0140558j -0.000509704-0.0130175j -0.00396707+0.0100655j 0.005643-0.00236603j 0.00294451-0.00350813j 0.00438827+0.00626455j 
0.0160586+0.0110209j -0.009325+0.0312361j -0.0161155+0.000597968j 0.0295969-0.00734677j 0.00153157+0.0089673j -0.00366994+0.00124107j 0.013075-0.0010966j -0.0132545+0.0240875j 0.00869618-0.0110379j 0.00189291-0.0190954j -0.00119292-0.0108601j -0.0185752-0.00167951j -0.00927761-0.00407945j 0.00621706-0.0103301j 0.0177371-0.00440132j 0.000487766-0.00584505j 0.00550364-0.0134168j 0.00198382+0.000548516j 
-0.00350852+0.000519093j 0.00422568-0.00806977j -0.00354886+0.00482637j -0.00817415+0.00622775j 0.00521922-0.00250672j 0.00789062-0.00209394j -0.00202233-0.00320441j -0.00531652+0.00851483j -0.0253188-0.0228628j -0.00255715-0.005111j -0.0160057+0.00904552j -0.0179779+0.0132716j -0.0270706-0.0425548j -0.000575341-0.0253544j -0.00663073-0.0052282j 0.000852129-0.00851784j -0.00656445+0.0127832j 0.00943977-0.00883647j 
-0.0140147+0.000490089j -0.00660514-0.00108474j 0.00620942+0.00135576j -0.00729541+0.00362961j -0.00397141+0.00198525j -0.00436958+0.0052238j 0.000734554-0.00293272j -0.00769336+0.01317j 0.00708626+0.00773552j 0.0121206-0.00415707j -0.0111543-0.0248187j 0.00448769+0.0226686j 0.00712825+0.0188565j 0.0232435-0.0126122j -0.0130488+0.00155546j 0.0082433-0.00388331j -0.00132551-0.00653766j 0.00132394+0.00584671j 
-0.010493+0.0301038j 0.00165393-0.024806j 0.0128271-0.00861219j -0.0188931+0.0075016j -0.00649862-0.00304499j -0.00931335+0.00227219j -0.000485+0.00109144j 0.00838794+0.0256307j 0.0123328-0.000198233j -0.00578709-0.0213023j 0.00430757-0.00666063j -0.016706-0.00466907j -0.0158124-0.00220849j -0.00398273-0.00748489j 0.024709-0.0076454j 0.000118823-0.00107536j 0.00665981-0.0161413j 0.00636104-0.000777479j 
-0.00025882+0.0424616j 0.0230025-0.0124961j -0.0120446-0.0247116j -0.00699821-0.0080326j 0.00409816+8.18319e-05j -0.00994009-0.00160209j 0.0057356-0.00116558j -0.0104562-0.02645j -0.00881515-0.00195751j 0.0156323+0.00717345j -0.00485063+0.0119336j -0.00747999-0.00264152j 0.00423909+0.00422141j -0.000426342-0.00249159j -0.00546267-0.00291796j 0.00701106-0.00116183j -0.00533595+0.00110431j 0.0032509-0.00350515j 
-0.00171442-0.00292965j 0.00591215+0.00374598j -0.00542325-0.000838883j 0.00355619-0.00255533j 0.00315679-0.00132366j 0.00324656-0.00153317j -0.0027884+0.000111524j -0.0126672-0.00703486j 0.00431605-0.0002705j 0.02289+0.0167805j -0.00100678+0.00817657j 0.00936252-0.0046553j 0.00695318-0.00561643j -0.00678636+0.00720416j -0.0140217+0.0108063j 0.00400176+0.00100641j -0.0089112+0.01624j 0.00784863-0.013473j 
0.0177667+0.0169574j 0.0114033-0.00591342j -0.00344197-0.0101677j 0.000591648-0.00387836j 0.00223345+0.00338534j -0.00010745-0.00126295j 0.00266988+0.00126376j 0.0158641-0.0130747j 0.00356847+0.00357717j -0.0337164+0.00801273j 0.00318686-0.0222687j 0.0246618+0.00493818j -0.00738027-0.0119593j 0.00209889+0.00626708j -0.00164955+0.00993921j -0.0169524+0.00241675j 0.00778827+0.00717504j -0.00995426+0.00609233j 
-0.0186414+0.0025443j -0.00505558+0.00450278j -0.00242472+0.0011189j -0.0033529+0.00224635j 0.000148842-0.000674577j -0.00333061+0.00272421j 0.00208937-0.00200888j -0.0327413+0.010467j -0.00990003+0.01771j 0.0193387-0.00302785j -0.00806172+0.00539691j -0.0144787+0.00581309j -0.0018118+0.00593441j 0.000137101-0.00803224j 0.0101905-0.0112627j -0.00649883-0.00303883j 0.0050608-0.0119854j -0.00185766+0.00874503j 
