-0.075525-0.0079506j 0.0926124+0.0815491j 0.0649327-0.0791855j 0.17289+0.0266422j 0.450693+0.00952264j 0.00343876+0.042398j 0.0423541+0.678809j 0.0950562-0.120394j 0.487529-0.060314j -0.0460485+0.0267141j -0.0692159+0.0222744j -0.0498786-0.0166757j 0.017474-0.00472983j -0.0724951+0.0141201j -0.0480407-0.0621948j -0.00624842-0.000958374j 0.000979099-0.00702936j -0.050101-0.0858324j 0.0678474+0.0403845j -0.00419248+0.00121632j 0.0177606-0.00118232j 0.0579896-0.0884547j 0.0462301-0.0665621j 0.0279474+0.0394645j 
-0.0310372-0.0291177j 0.0124386-0.000596425j -0.00286947+0.0133301j -0.0112126-0.00329232j -0.013973-0.00404924j 0.000865125-0.0131333j -0.00450569+0.0117095j 0.000355914-0.00436882j -0.0083395+0.000630588j -0.0153576+0.0418406j -0.0174278+0.0155971j 0.0159286+0.00264961j 0.0303269-0.0177441j 0.00912912-0.0119599j 0.0229582-0.0157208j 0.00840573-0.0133492j -0.0645995+0.0400737j -0.00366224+0.00686584j -0.0215855+0.0318861j -0.0128408+0.0119078j 0.00295244-0.0107947j -0.00312972+0.0104054j -0.039101+0.00700348j 0.032154-0.0116139j 
-0.0011782+0.0070673j -0.0155681-0.0113578j 0.0145965-0.0153781j -0.00585623+0.0397962j 0.00180206-0.00702769j 0.0290556+0.0233403j 0.00420599+0.00439553j 0.0141308-0.00759205j -0.00766284-0.00211787j 0.0528798+0.0361403j -0.00353951+0.0109388j -0.0242517-0.0401151j 0.159131+0.0252258j 0.052345+0.0053111j -0.0189881-0.000599218j -0.0337026-0.032841j -0.0219016+0.00625342j -0.00261949-0.000142308j 0.0129248+0.0155313j -0.0114309-0.00358883j 0.0180696+0.0566042j -0.00248432-0.00153947j 0.0160134+0.0288533j -0.00874632-0.0116309j 
0.00985903-0.0018914j -0.0119962+0.0178254j -0.0145737-0.0104059j -0.0299643-0.0223798j 0.0068295-0.000886353j -0.0193018+0.0258444j 0.00246423+0.00630069j 0.0168386+0.00564194j -0.00346597+0.00371641j -0.0388538+0.0735924j -0.00547941-0.0311237j 0.0674945-0.0142025j 0.0447052-0.0953601j 0.0142503-0.0169244j 0.00702665-0.0129221j 0.0434118-0.0453809j -0.00715738+0.010238j 0.000733127+0.000568576j -0.0161812+0.0122915j 0.00567057+0.00215341j -0.0689862-0.0247918j 0.0076458+0.00105007j -0.0609762+0.00464084j 0.0337142-0.00665486j 
0.00585754-0.000348833j 0.00199948-0.00408036j 0.00100643-0.00346213j -0.0193485+0.0155096j -0.00967367+0.00326333j -0.00385863+0.0142433j -0.010492+0.0154898j 0.00830371-0.000449339j -0.0127722-0.0184085j -0.0247993+0.0504274j -0.0232576+0.0137247j 0.00285752+0.0254633j 0.0131332-0.0281001j -0.0102155-0.00645174j -0.000208593+0.0209693j 0.0085706-0.0197873j -0.00414995+0.0268284j -0.0145883+0.0272468j -0.010137+0.0131631j -0.0339737+0.029572j -0.0119554+0.00164173j 0.0026186+0.0410084j -0.0217104-0.0155735j 0.0197717+0.0471955j 
-0.00279092+0.00327933j -0.00191361-0.00393363j -0.00149899+0.00523851j 0.0147783-0.0178761j 0.0193256-0.00886783j -0.00581565-0.00337864j -0.00379251-0.0139728j 0.00549762+0.00413057j -0.00627485+0.00679972j 0.000615569-0.0231675j 0.0101053-0.0224186j -0.00310738-0.00976846j -0.0188542-0.004554j 0.0159516-0.0150475j -0.0114521-0.00776838j 0.00323613+0.00122355j 0.0157933+0.0126164j -0.0210183-0.0216977j 0.0113635+0.0111698j 0.0305004+0.0337747j -0.00109296+0.00117583j -0.0176957+0.0134967j -0.0061413+0.0100627j 0.0147803+0.00294785j 
0.00696432-0.0175817j -0.00513923-0.0130171j -0.0153306-0.00128937j 0.00283753-0.00408809j -0.00443328+0.00689051j 0.00249207+0.000801317j -0.00400034+0.0185317j -0.00264717-0.00943553j -0.0309173-0.00795625j 0.0113347-0.0305442j 0.00226974-0.00944413j 0.000297811-0.0190673j -0.00109126+0.0140903j -0.0111736+0.00483226j -0.000131819-0.0119387j -0.00235928+0.00943757j 0.0159674-0.0136721j -0.0144606+0.00226724j 0.00376129-0.0165872j 0.0119494+0.0322208j 0.00370056+0.00471545j -0.00619163-5.31705e-05j 0.00320584+0.0296605j 0.00658729-0.000641257j 
-0.00262623+0.00190573j 0.000191566-0.00404722j -0.00436254+0.00134028j 0.0019321+0.00498146j 0.0124913+0.006139j -0.000220113-0.000938666j 0.000915959-0.0111188j 0.000195582+0.00471465j 0.00224666-0.00788204j -0.0142987-0.009683j -0.0214107-0.0174779j -0.00456277+0.000594466j 0.00647738+0.00772697j -0.017125-0.0205513j -0.00423357+0.00995811j 0.00163702-0.00132935j -0.00260966-0.0019744j -0.0250067+0.0163569j 0.0107959-0.0145254j -0.015819+0.017772j -0.00145001-0.00273748j 0.0142906+0.00876779j 0.0031262+0.00527229j -0.00192883-0.0181543j 
0.000684873+0.00659637j -0.00750742-0.0098585j -0.00396194+0.0092812j -0.00287848+0.00611396j 0.00675529-0.0148697j -0.00158897+0.0292249j 0.00575366+0.000129663j 0.0368609+0.0122185j -0.0151785+0.00970924j -0.0113086+0.00586172j -0.000722088-0.00150145j -0.00148399+0.0127666j 0.00713385-0.0153405j 0.0219524-0.00832493j 0.00345232+0.00478896j -0.0074695-0.00850827j -0.0125746+0.0171997j 0.0232661-0.0257622j 0.00757412+0.01827j 0.0113026-0.0345266j -0.00390403-0.000652573j -0.0145047-0.0170998j -0.00899214-0.0102808j 0.00358554-0.00886046j 
-0.000101658-0.0118094j 0.0146475-0.0016317j -0.00398434-0.0190147j 0.0019487+0.00365044j -0.00803372+0.0207961j -0.00169895-0.000817345j 0.0104863-0.00819372j 0.00983282+0.00133127j 0.0146891-0.0126938j 0.00387315-0.0270932j 0.010785-0.00735676j -0.0123577-0.00491917j -0.0106965-0.01345j -0.00713988+0.00950572j -0.0140375-0.00464029j -0.00146694-7.25984e-08j 0.0191387+0.0146233j 0.00865485+0.00906435j -0.00996681+0.00696431j -0.0229576-0.0229536j -0.00121428+0.00481719j 0.0111826-0.0104431j -0.0123165-0.00392287j -0.0151897-0.00977833j 
0.00152005+0.0352611j 0.00161999-0.000775503j -0.00159361-0.0032121j -0.00268288+0.00186433j -0.00304119+0.00563407j 0.00327404+0.0083915j 0.0023368-0.00452911j 0.013953-0.00359973j 0.000520605-0.00476276j 0.00296257-0.0116466j -0.00742969+0.00109043j 0.00407272-0.00880616j -0.00143722+0.0142569j -0.00356937+0.00830385j -0.00662243+0.00937411j 0.00613518+0.0116472j 0.0137739+0.013765j -0.00711124+0.0143259j 0.000691428-0.00384737j 0.0119915+0.0172941j 0.00760922+0.00742268j 0.00518009+0.00804488j -0.00227424+0.0143942j 0.00631335+0.0112449j 
0.0050152-0.0147539j -0.00381186+0.0161174j 0.0183711-0.00131729j 0.00630575-0.0166403j -0.0197388-0.00120198j -0.00478658-0.00423658j 0.0021865+0.0269657j -0.00399715-0.00903499j -0.0137614+0.0101335j -0.00643874-0.0140877j 4.22025e-05-0.00576385j -0.0118872+0.00717383j -0.0123471-0.0170806j -0.000213566+0.00421503j -0.00853091+0.00706184j -0.00515885-0.00564437j 0.010416+0.00535107j 0.00720862+0.0056318j 0.00127112+0.00419067j -0.0117441-0.014751j -0.00385804+0.00265642j 0.0093185-0.00972386j -0.0113988+0.00211282j -0.0114885-0.00371861j 
0.00371099-0.0165187j -0.00361297+0.00267569j 3.30907e-05+0.00249995j -0.00288942+0.0146275j -0.00400896-0.0108373j 0.00127752-0.000385523j -0.00295607-0.0100285j 0.00624006+0.0150658j 0.0302831-0.00837602j -0.00644455-0.0118292j -0.00730657-0.00118992j 0.00763288-0.00350264j 0.00136057+0.0264434j 0.0265493+0.000555928j -0.0107843+0.0213868j 0.0120894+0.0201706j -0.0182373+0.0207378j -0.00349277-0.0137415j 0.0226584+0.00114042j 0.0284773+0.000361792j 0.0116587-0.000162988j -0.00576728+0.00757905j 0.0185726+0.0169195j 0.00230912+0.00716605j 
0.000152578-0.00271871j -0.0181422+0.000259229j 0.000994345+0.0184265j 0.0108146-0.0163208j -0.00300989+0.0136314j -0.00198442+0.00663273j 0.00257272-0.0225719j 0.0200904-0.0195343j 0.0254363-0.00255499j 0.0107468+0.00399572j -0.00293195+0.00796616j -0.00675384-0.0106521j -0.00609508+0.00574413j -0.0239773+0.0141993j -0.015265+0.00833531j 0.0131652+0.00297284j 0.0255818+0.0178717j 0.0128417+0.029876j -0.0176225+0.0157317j -0.0334299-0.00289564j 0.00467812+0.00338485j 0.0202304-0.00283158j -0.0171429-0.0211467j -0.00969647-0.00558489j 
0.0025633-0.00137737j -6.61993e-05-0.00288349j -0.00437727-0.000662699j -0.000890439+0.00875797j 0.000787772+0.00843597j 0.00328825-0.00377941j 0.00233046+0.00484779j -0.00338745+0.000276596j -0.00218866-0.00565771j 0.0123216-0.0123936j -0.00308261+0.0135091j -0.00872314-0.007285j -0.0138418-0.00277452j -0.0160536+0.0125722j 0.0051775+0.00115676j 0.00437852-0.00682922j -0.000131087-0.00375012j -5.99204e-05+0.0164226j -0.0075518-0.00792872j -0.0171018+0.0126241j -0.00860806+0.000986552j 0.0110574-0.00132913j -0.00410081+0.00561047j -0.00857018+0.00729931j 
-0.00057842+0.000413519j -0.00188156+0.0190779j 0.0179821+0.00264281j -0.0148856+0.00274908j 0.0258059+0.0223316j 0.00255536+0.0186148j -0.000806928-0.00660355j -0.00353354-0.0100583j -0.0103316-0.0213601j -0.0073281+0.00571719j 0.0218039-0.0170548j 0.0213585+0.00224285j 0.0325685-0.00151573j 0.00293814-0.00367181j -0.012249-0.0244272j -0.0137611+0.0232165j 0.0289025-0.021588j -0.0197698+0.0012j -0.00854047-0.00801427j 0.0121763+0.00905413j 0.0185442+0.0157239j -0.00688158+0.011937j 0.00839454+0.0050016j 0.00845386+0.00929432j 
0.000922117+0.00718375j 0.00266161+0.00211724j 0.00419508-0.00740745j -0.0294197-0.00559374j 0.00629645-0.0146165j 0.00398743+0.0207744j -0.000649026+0.00126388j -0.00237471-2.56931e-05j 0.00665471+0.0142496j 0.020496-0.00482901j -0.00871977+0.0122525j -0.0135947-0.00997629j -0.026169+0.0110411j -0.0206925+0.00868437j 0.0157296+2.20215e-05j 0.0097688-0.0156867j -0.0185854-0.0215529j -0.0116374+0.0137013j -0.00236798-0.0214506j -0.0150867+0.0336297j -0.0168381-0.0148796j 0.0118974+0.00803743j 0.0123176+0.00425695j -0.00565985-0.000522389j 
-0.00702808-0.0237387j 0.013968-0.00685435j -0.00212128-0.0161362j -0.0125812-0.0122591j 0.00615015-0.00179188j 0.00692872+0.0208588j -0.000237667-0.0135303j 0.0256042-0.014478j 0.00303938+0.00319725j -0.0020389-0.000594602j -0.00361625-0.00522065j 0.00683536-0.00405527j 0.000428133+0.00905248j 0.000192538+0.000262717j -0.0110488+0.0114554j 0.00841941+0.0105796j 0.0270333+0.0122402j -0.00503669+0.0092496j 0.00205833+0.00606534j 0.0173488+0.0112109j 0.00854756+0.00679946j 0.00365766+0.0117362j -0.0067264+0.00169479j 0.0141728+0.0066227j 
-0.00299494-0.0358965j -0.00670353-0.00372114j -0.00395154+0.00787393j 0.00172567-0.00426708j 0.0119105-0.00904337j -0.00226077-0.00458716j -0.00486451-0.00919772j -0.00214501+0.00497997j -0.00392303+0.00377158j 0.00316995+0.0201129j -0.00722435-0.00763989j 0.00767671-0.00731121j 0.0098801+0.00355785j -0.00436403-0.00597919j 0.0150048-0.0140365j 0.00185067-0.00810093j -0.0122233-0.0101325j -0.00546325-0.00339621j -0.00939862-0.00541665j 0.00294671+0.0098429j -0.00265607-0.0142459j -0.0042622-0.000565605j 0.000306456-0.00636416j 0.00919688-0.0142155j 
0.00101696+0.000872247j -0.0104107-0.000459265j -0.00163566+0.00698287j -0.0142414+0.00710647j -0.0359409+0.015825j -0.00237833+0.00708688j 0.00796462+0.0300818j 0.00294798-0.00635842j -0.00459662-0.0086011j 0.00945754+0.00130662j -0.00577086+0.00576009j 0.0100615-0.0177862j 0.00705221+0.0376208j 0.00455875+0.007283j -0.0124738+0.0162127j 0.0231352+0.0198871j 0.00581426+0.0197349j -0.0079573+0.0108463j 0.00227726+0.00518212j 0.00705759+0.0197589j 0.0164162+0.000664833j 0.00577489+0.0156874j 0.00735009+0.00102272j 0.00720354+0.00849841j 
0.00104143+0.0045077j -0.00578547-0.017777j -0.0215992+0.00308165j -0.0178575-0.0151015j 0.0032456+0.00446454j 0.00366083+0.00396106j 0.000926899+0.00182012j -0.0137122-0.0159864j -0.00420177+0.00854909j -0.00234375+0.007172j 0.0180382-0.0227964j 0.0115428-0.0039555j 0.0280875-0.0109841j 0.0109755-0.00190274j -0.0089223-0.0261142j -0.00864129+0.0156865j 0.00153834-0.0258795j -0.004371-0.0132033j -0.0103271-0.00184723j -0.00290438-0.0160465j 0.0148124-0.00162609j -0.0129916-0.00731621j 0.00771896+0.002931j -0.00467925-0.0153056j 
-0.00166864+0.00054273j 0.00482755+0.00201404j 0.00333475-0.00634522j 0.000950546+0.00320729j -0.00320747-0.00250948j 0.0152171+0.0146185j 0.0057539+0.00355145j 0.0177777-0.0160122j -0.0102706+0.0096988j -0.00106377+0.00394901j -0.0151555+0.0173601j 0.0160036-0.0244538j 0.0490948+0.015504j 0.0103362+0.00429347j 0.00299415+0.0120993j 0.0220111+0.0218336j -0.019194+0.0114323j -0.00288057+0.00176933j -0.00349008-0.0143975j -0.00888298+0.0115125j 0.011991+0.00381949j -0.00331506-0.00803839j 0.0163763+0.0104387j -0.0125768-0.00431446j 
-0.00609944-0.0107706j -0.0106392+0.00263461j 0.00746005+0.0130528j -0.0204479+0.0325305j 0.00514614-0.00705999j 0.0151947+0.020832j 0.000582507+0.000823985j 0.00256975+0.00324737j 0.00377547-0.00181268j 0.00289799+0.0116308j 0.000806129+0.0184547j -0.012206+0.0260523j -0.0119628-0.0160049j -0.00454182-0.00240481j 0.00385693+0.0086078j -0.017792-0.00889747j -0.0154456+0.00113195j 0.00557612+0.00482139j 0.00555957-0.00186461j -0.0127984+0.00188268j -0.00467138+0.00800884j 0.000226968+0.00348337j 0.0110384-0.00933059j -0.0132992+0.0248671j 
-0.00133862-0.000824651j 0.00373462+0.00106535j 0.00334745-0.00179886j 0.0170305+0.00165353j 0.00113146+0.000503456j 0.00740146+0.00228119j 0.00427514-0.000427275j 0.0139133-0.00367764j -0.0120122+0.00159578j 0.0218363-0.0491612j 0.00531173+0.0149897j -0.023585-0.0401104j -0.00239812+0.053811j -0.00371408+0.0246693j 0.0032967-0.0153234j 0.0209725-0.0045356j -0.00752019-0.0206482j -0.00346357-0.00473546j -0.0143446-0.00310747j -0.00441565-0.00900273j -0.0102966+8.54067e-05j -0.00794342-0.00580367j -0.00417298+0.00664912j -0.00294608-0.0056425j 
-0.000403226+0.0012109j -0.00217694+0.0036845j 0.00264476-0.000520421j -0.00593197+0.012954j -0.00202941+0.00196061j 0.0123657+0.0100827j 0.00637574+0.0058136j 0.0051961-0.00262627j -0.00469694-0.0015209j 0.00977371-0.0368948j 0.00835476-0.009938j -0.0126339-0.00145662j -0.0318117+0.00155664j -0.00570623+0.00260471j -0.00503959-0.00631131j -0.011398-0.0111935j 0.0117762-0.00442279j 0.000209368-0.000831372j 0.00937289+0.00361548j 0.00631086-0.00408367j -0.0137078+0.00861921j 0.0100111-0.0025086j -0.0143366+0.0165735j 0.00818002-0.0137816j 
