-0.00363817-0.00742501j 0.00778366-0.00151407j 0.00380585-0.00483258j 0.00658819+0.00749894j -0.00349673+0.00157279j 0.00259069-0.00110406j 0.00847394+0.0072642j -0.00317919+0.00765364j -8.23513e-05+0.00308747j -0.00516939-0.000485147j 0.00230688+0.00322711j -0.00910301-0.00202229j -0.000266771-0.00747573j 0.00407854-0.00290409j -0.00261839+0.00218754j -0.00229416-0.00280673j 0.00432963-0.00205359j -0.00213329+0.000125229j 0.00419014-0.00218791j 0.00115318-0.000109226j 0.000141097-0.00199074j 0.000777602+0.00512195j -0.00497773+0.00293029j -0.000389656+0.00308391j 0.000823475+9.08805e-05j -0.00132265+0.00395827j 0.000991186+0.0024562j -0.000105485-0.000814885j 0.00101741-0.00838903j -0.00038583+0.00239904j 0.00119629-0.00241731j -0.00201432-0.0010303j -0.000110082+0.00144251j -0.00360548-0.000474281j -0.00604456-0.00395906j -0.0025158-0.00321958j -0.00492767-0.00522882j 0.00440689+0.000602535j 0.000389+0.00217053j -0.0048312-0.00183588j 0.000179117-0.00199654j -0.00146387+0.0041666j -0.00029158-0.00493709j -0.00120628-0.00871472j -0.0109571+0.00610875j -0.00296468+0.00739461j -0.00408521-0.00169245j 0.0133008-0.00815409j -0.00271498-0.00274844j -0.00196546-0.0268353j -0.00643897-0.00282007j 0.00180592+0.0298938j -0.00570295-0.0369124j -0.00112414-0.00909528j -0.0413088-0.0462955j -0.0350544+0.0489135j 
0.0014329-0.000114388j -0.000902832+0.00121712j -0.00275943+0.00520113j -0.00632059-0.000236028j 0.00493228-0.00271886j 0.00229553+0.00240334j -0.00348822+0.00254646j 0.00125262-0.00931928j 0.00995426+0.00647804j 0.00644693-0.00135459j 0.00417404+0.00496949j 0.00185627+0.00623327j -0.00134462+0.00633699j 0.000363003+0.00206916j 0.00614457+0.00125931j -1.63174e-05-0.00368495j 0.00457252+0.00205912j -0.00684353-0.00293756j -0.00827271+0.0051297j -0.000282251+0.000710802j -0.00240016-0.0028034j 0.00641537-7.30948e-05j -0.00101426+0.00627921j 0.000827126-0.00325374j 2.11994e-05+0.00330757j -0.00152643-0.00277384j -0.00203464+0.000676305j 0.00149621+0.00522361j 0.000895533+0.000709624j 0.00734872-0.00521096j 0.00371792-0.00410048j -0.00709868+0.00187171j 0.00279525-0.0124326j -0.0112561-0.0116487j -0.00960529+0.00323203j 0.00195014-0.00495536j -0.00480684-0.000849775j -0.00417494-0.00348871j -0.0042299-0.0110809j -0.000126639+0.00023927j 0.00820246+0.0110783j 0.0106358-0.0133658j -0.00295595-0.0146931j -0.00261726-0.0213337j 0.000429406-0.0162165j -0.0236681-0.0180572j -0.00825902+0.0393921j -0.0376668-0.0226951j -0.0329298-0.0110934j -0.0105833+0.0153765j -0.0112834-0.00735013j -0.015556+0.0141508j -0.000499669-0.00963125j -0.0142377+0.0026926j 0.0036745+0.00667806j 0.00930216-0.000713432j 
0.00108025-0.00300228j 0.00399052-0.000294012j 0.00244379-0.00170105j 0.00530435+0.00389349j -0.00600299-0.00118928j -0.00219131+0.00119408j 0.00185053-0.00129104j -0.0021247+0.00378271j -0.00201867-0.000489048j -0.00854648+0.00426604j -0.00660225-0.0041118j -0.000758309-0.00269864j -0.000262593-0.00919583j -0.00508056-0.00775647j -0.000948337-0.00927084j -0.00421611-0.000887299j -0.00305246+0.0026037j 0.00573541+0.00327158j 0.00405597-0.00137632j -0.00789189+0.00328602j 0.00310941+0.00142351j 0.0036758+0.00798622j 0.0028426-0.00263655j 1.6467e-05-0.00794046j -0.0023004-0.0155069j 0.00469574-0.00153386j 0.00463923+0.00655665j -0.00119269-0.00265636j -0.0098473+0.00277734j 0.00416706-0.00697982j 0.0107596+0.0067849j -0.00281939-0.00343086j 0.00706582+0.00701659j 0.000863903+0.00288175j 0.0074693+0.00749039j 0.00293546+0.00395949j -0.00382976-0.00677953j -0.00555447-0.025065j -0.00175687-0.00159313j -0.003432+0.0182556j 0.0111114+0.0146923j 0.0163853-0.00511901j 0.00182091-0.00997048j -0.00698445-0.0313623j -0.0127203-0.037532j 0.017812+0.028456j 0.0139975+0.0235023j 0.0152153+0.0133301j -0.0107199-0.00684413j 0.0336827+0.00113206j 0.0284068+0.00183361j -0.0254027+0.00809055j 0.00676813+0.000145396j -0.00375927-0.00977232j 0.00571021-0.00871545j -0.00376826-0.00763572j 
0.0013623-0.000877818j 0.000536815-0.00164101j 0.00671008+0.000459958j -0.00632136+0.00352637j 0.00271867-0.00298531j 0.00320827+0.00148084j 0.00250473+0.00668777j -0.00415547-0.00225081j 0.00974649+0.00200158j -0.00201295-0.00754041j 0.00599391-0.00508456j 0.0045604-0.00157466j 0.0056722+0.00598843j 0.00970149+0.00186216j -0.00456887+0.00338615j -0.00371993+0.00135409j -0.00255088-0.00511609j -0.00261889+0.00313705j 0.00563022+0.000655004j -0.00192253-0.00106889j -0.00460077+0.00025795j -0.0107642-5.47906e-05j -0.00110635-0.00132582j -0.00580363+0.00473095j 0.0010523+0.00135995j -0.00318253-0.00362559j -0.00429305+0.00657524j 0.00600128-0.00693094j -0.00322161-0.000227045j 0.0108368-0.00369104j -0.00204579-0.000446795j -0.00433793-0.00545919j -0.00266332-0.0137891j -0.0108905-0.00389562j 0.00910202+0.00696672j 0.000724924+0.00747132j 0.00514552-0.00432933j -0.010634+3.86021e-05j -0.00123085-0.00179806j -0.00523007+0.00784105j 0.00464359-0.00280621j -0.00458329+0.0125179j -0.00216908+0.0078061j -0.0036403-0.0196215j -0.0211141-0.0132792j -0.00264507-0.0299518j 0.0270884+0.00828231j -0.00303117+0.0289808j 0.012727+0.0111329j 0.0193579-0.00962066j -0.0422685+0.00102615j 0.00256133-0.00710079j 0.00362541+0.00936769j 0.0268253+0.00463982j -0.000122297+0.00579604j -0.00165719-0.00994444j 
-0.00591174+9.9425e-05j 0.00502189-0.00438255j 0.00197065-0.00156335j -0.00272325+0.00016213j -0.00436758-0.00425945j -0.00666715-0.000587913j -0.00473769-0.00438129j -0.00377351-0.0013465j -0.00520083-0.000294653j 0.00686941+0.00134762j 0.0123362+0.00500661j 0.00607049+0.0040291j -0.00258343+0.000618875j 0.00303674-0.00173654j -0.00267018-0.000262687j 0.00621342-0.00257659j 0.00129181-0.00233024j 0.00146922-0.00268084j 0.00586182+0.00820996j 0.00979026+0.00212148j -0.00722406-0.00316768j -0.000172894+0.00464419j 0.00476635-0.00414895j 0.000368993-0.00788571j 0.000515824+0.00294439j -0.0136838+0.00212186j 0.0112644-0.00556801j -0.00207953+0.00663746j 0.00442884+0.00287052j 0.0114971-0.00403333j -0.000234028-0.00103397j 0.00244498+0.00523529j 0.0021467+0.000124872j -0.00212773+0.0145817j 0.00369569+0.00497942j -0.00478995-0.0028341j 0.0116592-0.00781975j -0.00128116+0.00631593j 0.00985409-0.0126391j -0.00679382+0.00221572j 0.00399593+0.0253111j -0.00844762+0.00135223j 0.00467174+0.0137519j 0.00331039-0.031025j -0.00635851+0.0199109j 0.00479301+0.023373j -0.0122038+0.0393258j -0.0171856+0.00731345j -0.0185319+0.0175136j -0.0189993-0.00795688j 0.0137423-8.33816e-05j -0.000956735-0.00573104j -0.00523645-0.000255785j 0.0115734+0.013778j -0.00593104-0.00637167j -0.00694528+0.00216301j 
-0.00186713+0.00038675j -0.00192619+8.29074e-05j -0.00386362+0.000144359j -0.000995702-0.00126052j 0.00266637+0.00182917j -0.00255735-0.000556451j -0.00100379+0.00257291j -0.00334603+0.00184124j -0.00529157+0.00426752j 0.00384868+0.0058863j 0.0088074+0.0036095j 0.00115824+0.00242724j 0.00271792-0.0029101j -0.00585806-0.0131942j 0.00422465+0.00406774j 0.00240725-0.00770382j 0.000820943+0.00157095j -0.00539-0.00676665j -0.00401855+0.00189845j 0.00949358+0.00268963j 0.000680916-0.00602242j 0.0139988+0.0124972j 0.00675941+0.00433939j -0.00456946-0.00847847j -0.00852432+0.00243974j 0.00487097+0.0167981j 0.00670855+0.00365319j -0.00431482+0.0147975j 0.0104577+0.00545313j -0.00499815+0.000627672j -0.0040473+0.0149325j 0.00347876+0.0045978j 0.0010609+0.00870533j 0.00849188-0.00535792j -0.0135855-0.0146475j -0.00594449-0.0134573j -0.00315859-0.000196731j 0.00803466+0.00685963j 0.00160081-0.00195298j -0.00348803-0.0122636j 0.0207998-0.00394291j -0.025082-0.0220659j 0.00234214+0.00673466j 0.00555569+0.025235j -0.000663359+0.00980292j 0.0496705-0.0117081j 0.0385646+0.000252716j 0.000922837-0.0223292j -0.00893427+0.0127221j 0.0307326-0.0123462j -0.00965622+0.00400084j -0.0145289+0.00126252j -0.000196693-0.00273382j 0.00817793-0.000427435j 0.00578692-0.00325333j -0.000174463+0.00388006j 
-0.00112198+0.00241531j -0.00409289+0.000548047j -0.00136599+0.00149596j -0.0020908-0.00119661j 0.00528096+0.00623766j 0.00385681-0.00793054j 0.00155225+0.00133917j 0.00726059+0.00488263j 0.0111763+0.00362513j 0.00442264-0.00127057j 0.00306817+0.0101295j 0.00180987+0.0101268j -0.0015707+0.00207623j -0.00296687-0.00399865j -0.000343855+0.00632057j 0.00569224-0.00650056j -0.00252964-0.00263301j 0.000747766-0.000619739j 0.000682922+0.011365j 0.00886227+0.00714742j 0.00470379-0.00759593j -0.00143623-0.00461103j 0.000521138-0.00290552j 0.00283062+0.0105903j -0.00508958+0.0116215j -0.000282989-0.00515748j -0.0101434-0.00242577j 0.00118771+0.0074822j 0.00987659-0.00731302j 0.00891361-0.000847804j -0.00619232-0.00132364j -0.0050715+0.00732726j -0.0110541-0.0196122j -0.00278305-0.00688614j 0.00196814+0.00583909j 0.00785886-0.00932853j -0.0129454+0.0060714j 0.00201773+0.015768j -0.00912314+0.00784533j -0.00566468+0.00154404j -0.01535+0.010554j -0.00954723+0.00478142j -0.00629405-0.00845612j -0.0230689+0.00219325j 0.0424689-0.0104951j -0.000734008-0.0264343j -0.0012275+0.00188366j -0.00834248+0.0113408j 0.0053819-0.00478375j 0.00643577-0.00818383j 0.039257-0.00802522j -4.53199e-05+0.00757188j 0.00185805-0.00178082j -0.00436139-0.00334649j 0.00524867-0.00587806j -0.0049526+0.0080702j 
0.00440176-0.0024677j -0.00104414-0.00109544j 0.00466745-0.0002292j -0.00304747+0.00795247j -0.00235215-0.00415792j -0.00160415+0.00150767j -0.00411242-0.00384315j -0.00594879-0.00330235j 0.00270547+0.00561016j 0.00153852-2.42791e-05j 0.0040928+0.00295001j 0.00210589+0.00375922j 0.00667607+0.00239438j 0.00626014-0.000738559j 0.0042071+0.00784442j 0.00859014+0.00377047j -0.00408446+0.0087565j -0.0039676+0.000189505j -0.00593257+0.000952976j 0.00374662-0.00484968j 0.00289793+0.0105905j -0.00170088+0.00211835j -0.000950528+0.00888233j 0.00956802+0.00239976j 0.00812868+0.00864053j -0.00443869-0.00298583j 0.00236792-0.0117954j -0.0116768-0.00436476j -0.0018532-0.0049162j 0.00434203+0.00184434j -0.00873132-0.00581528j 0.00208659+0.0149999j -0.00915636-0.00530129j 0.00400259+0.0087229j -0.00391488-0.0100816j 0.00422357-0.0193642j 0.00301818-0.00405443j 0.0195975+0.0089411j 0.0101063-0.00753171j -0.0052257-0.0062017j -3.1924e-05+0.00248261j -0.00792709-0.0092842j 0.0109162+0.0113265j 0.0142848+0.0223292j 0.0266449-0.0053405j -0.00339715+0.00535358j -0.0419926+0.0129895j 0.0209396+0.00178995j -0.000503508-0.0115153j 0.0192526+0.00353876j -0.0107798+0.000272308j -0.017217+0.00252701j 0.00507048+8.97986e-05j 0.006369+0.0030952j 0.00262955+0.0100455j -0.0019935-0.00838325j 
0.00370609+0.000164593j 0.00194863-0.00606034j 0.00257516-9.87009e-05j 0.00247828+0.00617328j 0.00322722-0.000523587j 0.00147238+0.00401878j 0.00604369+0.00399583j -0.00212987-0.00647954j -0.00108477-0.00261675j -0.00559447+0.000855787j 0.0024553+0.000810163j 0.000864004+0.00176958j 0.00766114+0.0071647j 0.00634697+0.00586485j -0.00130203-0.00106111j 0.00169673+0.00195614j -0.0091213+0.00428305j 0.00225798+0.00225337j 0.00571348+0.000211789j 0.0014561+0.00194498j -0.00386267-0.00634438j -0.00866914-0.00703012j 0.00139805-0.00143744j 1.67855e-05-0.00376664j 0.00122712+0.00729952j -0.0022574-0.00595448j 0.0026046-0.0020294j 0.00384507+0.00298137j -0.000622174+0.00317347j -0.000450369-0.00356919j -0.00524672+0.00646887j -0.0043493+0.00308224j -0.000435619+0.0113704j -0.00353611-0.0135281j -0.00164752+0.00447496j -0.00390729+3.89827e-05j 0.000806568+0.00161256j -0.00211523+0.0076932j -0.000352061+0.00253698j 0.00647555+0.0106005j -0.0024799-0.00276065j -0.0178298+0.00312451j -0.00189736-0.00241419j 0.000679083+0.0121497j -0.000729946-0.00763981j -0.0259049-0.00047209j -0.0458594-0.0122631j -0.00799351-0.00597939j 0.00583032+0.00939621j -0.00435827-0.00337446j -0.00873471-0.00377831j -0.00499774-0.00865321j 0.00954624-0.0154981j -0.00324081+0.00198576j -0.00165345-0.00143758j 0.00104823-0.00873271j 
-0.000734826-0.00266002j 0.00401534-0.00135508j 0.000669531+0.00157j -0.00377559+0.00284985j -0.00267733-0.00131581j 0.00216512+0.00429686j -0.000568753+0.00415929j -0.000626784-0.00708538j 0.00919275+0.00115682j 0.00331447-0.000762049j 0.00595145+0.0104261j 0.00259322+0.00152112j -0.00029935+0.00418508j 0.00588684+0.00196338j -0.000951852+0.00202844j 0.00213816+0.00648169j 0.00267612-0.000776865j -0.00630448+0.00163998j 0.00372231+0.00701693j 0.00216933+0.00969458j -0.00914429+0.00222609j 0.00622634+0.0033755j 0.0105544-0.00459357j -0.00507-0.00351382j 0.00109191+0.00385837j -0.00312724-0.000679598j 0.00799331+0.00247897j -0.000989278+0.00383072j -0.00155019+0.00106569j -0.00551348+0.00424443j 0.00124434+0.00777564j 0.0150017-0.00480763j 0.00973212-0.00475449j 0.00800153+0.0146704j -0.00128875+0.00236785j -0.00991587-0.00133725j -0.0137771-0.00331123j -0.00120653+0.0144519j 0.025654+0.00362887j -0.0110775-0.00505626j -0.00993914+0.00465879j 0.000200489-0.00944065j 0.0401886+0.0168219j -0.0154022-0.0120313j -0.000594672+0.0234678j -0.00641364-0.00784742j 0.00672238-0.016198j -0.0112706+0.000163253j 0.0198846-0.010758j 0.00262333+0.00142223j 0.0148614+0.00289182j -0.00835123+0.00107169j 0.000468094-0.00225776j -0.00200888+0.000169966j 0.00307757-0.00114297j 0.00302968-0.00669984j 
-0.00272874+0.00229038j -0.00191214+0.000939381j -0.00261967+0.00090506j -0.0030149+0.00778178j 0.00133898-0.00167271j -0.0079852-4.53159e-05j -0.0019909-0.00219031j -0.000550116-0.00247612j -0.00352157-0.00389922j -0.000443934-0.000265043j 0.00602101+0.00928637j 0.00910041+0.00143703j 0.000376145+0.000225481j 0.00502462+0.00585068j -0.00966329-0.0124779j -0.00142517-0.00593341j -0.00512031-0.00324467j 0.00614247+0.000335773j 0.010906+0.00119552j -0.00165091+0.00734234j -0.00825409-0.00240226j -0.0100382-0.0100145j -0.0036105-0.0156705j -0.000605388-0.00745796j 0.00386595-0.00579718j 0.00198394+0.00323872j 0.00461825+0.00584301j -0.00056919-0.00813908j -0.0041831-0.00274705j 0.00956107+0.0135774j -0.000243776+0.00313739j -0.00153701+0.00204323j -0.00168465+0.0089307j 0.00846848+0.0134924j 0.0125058+0.00955446j 0.00101917-0.0106708j -0.0137131-0.00852354j 0.00261127-0.0174603j 0.00826279-0.00863087j 0.0021445+0.0172723j 0.00366173-0.00601846j 0.00198295+0.0023713j 0.0211473+0.00458716j -0.0385178+0.00427875j 0.00411773-0.0126053j -0.0169645-0.014347j 0.0170977-0.00807474j 0.0172251-0.00799464j 0.000686672-0.00435561j -1.33996e-05-0.000105355j -0.00990286-0.000552239j 0.0124079+0.0011301j 0.0036854-0.00710438j 0.00135288+0.0124557j 0.00280967+0.00422478j 0.000975516+0.0103366j 
-0.00265524+0.00360377j 0.000100072-0.00222773j -0.00155054+0.00100314j 0.005469+0.00206695j -0.00120216-0.00265277j -0.0034117+0.0016616j 0.00439265-0.00118363j -0.000669789-0.00326996j -0.0102857-0.00356728j 0.00178696+0.00520444j 0.00898721+0.00621405j -0.00088195-0.00871867j -0.00752629-0.0037921j -0.00412947-0.00303216j 0.00865646+0.00300073j 0.00621295+0.00679517j -0.00472699+0.00209069j 0.00375351-0.00282324j 0.00707936+0.002435j 0.00862884-0.000181938j 0.00336015+0.00533449j 0.00925849-0.000256976j -0.0062605-0.0158623j -0.00231091-0.00609811j -0.00461982-0.00464527j -0.00148179-0.00129259j 0.00461741+0.00918195j -0.000308974-0.00733328j 0.00462993+0.00741303j 0.00945589-0.00725852j 0.00729467+0.00899255j 0.000142724+0.024643j 0.00576223-0.0141031j 0.00739988-0.00794311j -0.00400265+0.0106449j -0.00576755+0.00119283j -0.00705546-0.00339219j -0.00776605-0.0124147j -0.0159909+0.00261469j -0.00343998+0.00436188j 0.0154482+0.0223898j -0.0185405+0.0270097j 0.0344304-0.0353276j -0.00492673-0.00162731j -0.00100818-0.00420482j 0.0080069+0.00532458j -0.0125733-0.00466424j 0.00165403-0.0140416j 0.0110228+0.000172389j -0.00484036+0.00555895j -0.0105867-0.00893305j -0.00363823-0.00930145j -0.00726365+0.00131318j 0.00468059-0.0028047j -0.00217127-0.00908004j 0.00769809+0.000417226j 
-0.000139895-0.000914067j -0.00172629+0.00032994j -0.000172728-0.00167124j -0.00493907-0.000687112j -0.00316843-0.000282008j -0.00292552-0.00428722j 0.00172261+0.00139668j -0.00860066+0.00202565j 0.00250433-0.00449758j 0.00268+0.0112723j 1.76011e-05+0.00279185j -0.000456297+0.00190246j -0.00229166+0.00535576j -0.00459305-0.0158023j -0.00316445-0.00514326j -0.00257784-0.00457495j 0.00842586-0.00253629j -0.00283845-0.00726455j 0.00225935+0.0113541j -0.00380009+0.00316292j 0.00686255-0.0191802j 0.00848518+0.0020604j 0.00415145+0.00113062j -0.00549745+0.00146487j -0.00987875-0.00692495j -0.000629216+0.00170656j -0.00564418-0.00743221j -0.0008388+0.0107633j 0.00634041+0.00593952j 0.00177983+0.00122138j 0.00533264+0.0161498j 0.00482817+0.00140101j -0.0107835+0.00033766j -0.001135-0.00701823j 0.0113259+0.0127959j 0.00627417-0.0022437j -0.0020933-0.00946863j -0.0154529+0.0114333j 0.00186958+0.000362458j 0.00238467+0.00873664j 0.00978397+0.0196981j -0.0242818+0.0163831j -0.0207301-0.0189119j -0.0207818-0.0194622j -0.00795044+0.000893756j 0.000209362-0.00814382j -0.0105718+0.00647317j 0.00268117+0.00705911j 0.000163857+0.00518173j -0.00075405+0.00114469j -0.00836637+0.00653459j 0.0175707+0.0180283j 0.0151795+0.00889252j -0.00747646+0.00601433j -0.00320394+0.00906213j -0.00334586-0.0023073j 
0.000384095-0.00303664j -0.000667407+0.00112989j -0.00118539+0.0013356j 0.000237271+0.00640337j 0.0027232-0.00596016j -0.000648574-0.000814644j 0.00397539+0.00083264j -0.00160607-0.00431089j -0.00846911+0.00132212j -0.00399075+0.0025189j 6.5744e-05-0.00611152j 0.000273616-0.00736699j 0.00339093-0.000290911j -0.000246045-0.00367465j -0.00826365-0.0108503j 0.000637095-0.00615553j -0.000303183+0.00844894j 0.00399701-0.00478927j 0.00972469+0.00173712j 0.00562384-0.0056133j -0.00685478-0.00821165j -0.00421329+0.0097254j 0.00667934-0.00455267j 0.00275189+0.0142345j -0.00245475-0.00810416j 0.00136778-0.00233572j 0.0109504-0.00520889j 0.00264239+0.00540305j 0.00729885-0.00169057j -0.0120357-0.00912405j 0.000935729+0.0155638j 0.0023799-0.010398j 0.0020405+0.00155845j -0.00316565+0.00623832j 0.00162886+0.00767692j -0.004779+0.0146099j -0.00087244-0.00613437j 0.00723003+0.00547983j 0.00668187+0.0280852j 0.0131034+0.00514711j -0.013237+0.0190441j -0.0063841-0.0168352j -0.00823352+0.000532412j -0.00172702-0.00257245j -0.00944867+0.000857585j -0.0143495+0.0149271j -0.0155371+0.00511325j 0.0110511-0.0119401j 0.00536349-0.00569562j -0.00415285-0.00711438j -0.00752028-0.0115455j -0.0182492-0.00968311j -0.0112847-0.0135985j 0.00718344+0.00205599j 0.00335363+0.00245835j 0.00375871+0.00189683j 
0.00059924+0.00148696j 0.00387889-0.00479365j 0.000976277-0.000226927j 3.14317e-05+0.00188457j -0.00391881-0.00273669j 0.00557478-0.0021118j -0.00123595-0.00648326j -0.0075941-0.00545479j 0.00389815-0.000721734j -0.00223979+3.85423e-05j 0.00241857+0.00260634j -0.00370113+0.0112837j 0.00863902+0.00516198j 0.00266165-0.00801518j -0.00137397-0.00754156j 0.000618951-0.00600021j -0.00844653-0.000294152j 0.00277769+0.00788314j -0.00296229+0.00919013j 0.00134609-0.00124435j 0.000909367+0.00451699j 0.00589774-0.00593921j 0.00230384+0.00396986j -0.00623545-0.0111509j -0.00411828+0.0087171j -0.00309899+0.00611827j 0.00349205-0.00219471j 0.00142323+0.0125668j -0.0021763-0.000878465j -0.000396743-0.00794068j 0.00391345-0.00701287j 0.00368665-0.0088542j 0.00932779-0.0183864j 0.00504986-0.00415731j 0.00482757-0.00677765j -0.00252991+0.00384389j 0.00112264+0.0264988j -0.0040599-0.00166706j 0.00521685+0.0206261j -0.0232448+0.00636869j -0.000286029-0.0309806j 0.0249799-0.0119903j 0.0274075-0.0431239j 0.0104031+0.0068241j 0.00256923-0.0116738j -0.00086717+0.0073077j 0.00458846-0.00316708j 0.00867626-0.00976672j -5.57877e-05+0.00013864j -0.00651734-0.00830837j -0.00767019-0.00258335j 0.000278372+0.015277j 0.00172978+0.00430128j -0.0137752+0.0037022j -0.00959723-0.00135537j -0.00208378-0.0104575j 
0.00308028+0.00260231j 0.00154795+0.000432967j 0.0022672+0.00234118j 0.000392526-0.0041745j -0.00193756+0.00212163j 0.00278607-0.00624457j 0.00324947-0.00429377j 0.00260433-0.00284265j 0.00637277+0.00439162j -0.00227086+0.00543902j -0.00808154-0.000808906j -0.00659025+0.00569959j -0.00371175+0.00861853j 0.00147834-0.00394255j 0.00189701-0.00101905j 0.00407257+0.00174577j 0.0021057-0.000471708j 0.000586956-0.00413546j 0.00448402-0.00118591j -0.00372801-0.00725578j 0.011235+0.000551471j -0.00169409-0.0070585j -0.00281375+0.00167444j 0.00765662+9.02751e-05j -0.00532495-0.00114272j -0.00157821-0.00539092j 0.00148932-0.00389203j -0.00599489-0.00715687j 0.000227917-0.00295897j -7.68516e-05+0.0132407j -0.000677202+0.00328039j 0.000166282+0.00452099j -0.00567559-0.0111169j 0.00360209+0.0106817j -0.000927584+0.0119828j 0.00774772-0.0169967j -0.00364057-0.0149441j -0.00385155-0.0141563j 0.00208048-0.0119648j 0.0143144-0.0084995j 0.035614+0.0149433j -0.00214242+0.0168296j -0.00781506+0.0453008j -0.0251904+0.00948982j -0.0181182-0.00576977j -0.00544013+0.0207682j 0.0160325-0.0165197j 0.00351045-0.0055835j -0.00553657-0.0105815j -0.00321201-0.00305831j -0.0209555-0.00881303j -0.0048574-0.00258023j -0.00368573+0.00808108j -0.0192634-0.00655833j -0.00807567-0.00291286j 0.0028613-0.00875287j 
-0.00305523+0.00170531j 0.000933433+0.000631916j 0.00270969-0.00176049j -0.00127047-0.00467168j -0.00496605-0.00263343j 0.00387071+0.00171948j -0.0053019+7.95409e-05j -0.000638076+0.00245385j 0.00329186-0.00334705j 0.0060781-0.00437517j 0.00200293-0.00798751j 0.000217547+0.000207816j -0.00538215+0.00640234j -0.000886762-0.000247476j -0.00226536+0.00159919j 0.000149099-0.00275245j 0.000143423-0.00765676j 0.00349913+0.0016306j -0.000862903+0.00183705j 0.00339456-0.00286666j -0.00785347+0.00263293j -0.00184483+0.000255565j -0.00257442-0.00917355j -0.00949106+0.00337119j -0.00948866+0.00253755j -0.00544715+0.00962084j -0.00438107-0.00301182j 0.00801828+0.00473965j 0.00602559-0.00100738j 0.00357783+0.0113524j 1.10859e-05+0.0102832j 0.00897849-0.00852605j 0.00889619-0.0160961j -0.0116275+0.00970478j 0.011846-0.00373353j -0.00435208-0.00438851j 0.00289641-0.010426j -0.000366495-0.0143196j 0.0044124-0.00109827j -0.0155548+0.0141799j -0.0151414-0.00457486j 0.00616777-0.00640278j -0.0313589-0.000508715j 0.0113727+0.0145674j 0.0239489+0.00882486j 0.0102233+0.0130207j -0.00800867-0.00160679j 0.0255983-0.00928723j -0.0283298-0.0100827j 0.00945497-0.0140943j -0.00572504-0.00224429j -0.00659522-0.0142168j -0.00746412+0.00470354j 0.00747083-0.00585558j -0.00483998-0.00381591j 0.00114507-0.00120502j 
-0.00322783+0.00580477j 0.00515848+0.00282381j -0.000489975+0.00413884j 0.00234858-0.00372915j -0.00120378+0.000504887j -0.00017534+0.00629106j 0.00395476+0.00123274j 0.00229844-0.000807021j 0.00328169-0.00523323j 0.00581786+0.00391j 2.92638e-05-0.0025453j -0.00243317-0.00630092j -0.00446263+0.00649131j -0.00219035+0.00445228j -0.00894857+0.000404364j -0.00367967+0.010413j 0.00417976-0.000119363j -0.00213478+0.00343416j -0.00248647+0.0077813j 0.00694739+0.00417516j -0.00252417-0.00262294j 0.00136362-0.00525676j 0.00742653-0.0110194j -0.0031565+0.0164519j 0.00162492-0.00320466j -0.00324076-0.00967094j -0.00626742-0.0133197j 0.0034136+0.00836738j -0.00667792-0.0112477j -0.00253248-0.0114007j -0.017998-0.0104026j -0.00367766-0.00458915j 0.0052888-0.000515699j 0.00254437+0.0159685j 0.00428389-0.00138768j 0.00890971+0.00773904j 0.00294835+0.0134649j 0.0115416+0.0055028j 0.0354704+0.0198569j -0.00722741-0.000442262j 0.00848142-0.0166466j -0.0299161+0.0211871j -0.0141147-0.0091274j -7.27403e-05-0.0136422j 0.0137886+0.00177345j 0.0159368+0.00128758j -0.000997892+0.0109009j 0.00666197-0.0223882j 0.00729168+0.00793069j 0.0202421+0.0113772j -0.00171057+0.00167155j 0.000530792-0.0167575j -0.00203545+0.00190285j 4.64511e-05+0.000955439j -0.00227422-0.0122188j 0.0123902+0.000594868j 
0.0013263+0.000769095j -0.000610683-0.00117237j 0.00238847-0.00188527j -0.000168067-0.00607346j -0.00131638+0.00127162j 0.000948366-0.00562061j -0.00295535-0.00138417j 0.00654889-0.00113191j 0.000705028-0.00173512j -0.00084331+0.00283639j -0.00815694+0.00707581j 0.000728627+0.000713986j 0.000991266+0.000209114j 0.00269662-0.000615283j -0.0131472+0.00577408j 0.00460437+0.00311409j 0.000534745-0.00345555j -0.00498457-0.00438002j 0.00625456-0.0114704j 0.00185857-0.00182549j -0.00533596-0.0104493j -0.00606631-0.00240376j 0.00522781-0.00568359j 0.00600707+0.00591239j 0.00307585+0.00759886j 0.00116772+0.00187175j 0.0226176+0.0185899j -0.00739987-0.00899719j 0.00797875-0.00428017j -0.0153724-0.0146197j 0.00222825-0.00553041j 0.0018485+0.00474425j 0.00558473+0.0082581j 0.0183834+0.0045338j 0.00211075+0.00137799j -0.00391474+0.00723957j -0.0190922+0.0122483j 0.00805187+0.00242025j 0.020181+0.0196192j 0.0142164+0.0291055j -0.0101143-0.0115122j -0.0334805-0.00214386j -0.00234697-0.00804841j -0.00573475-0.00295279j 0.0119156-0.0176811j 0.00161491-0.00754875j -0.00624227-0.00407573j -0.00534814+0.025779j -0.0101645-0.0167684j -0.0119465-0.00357515j -0.00709405+0.00189018j 0.00669495+0.00658036j 0.00133679+0.00963856j -0.00602611-0.00579324j -0.00438379+0.0040311j -0.00436307-0.00410264j 
