-0.0646069-0j -0.00657323-0j -0.00664135-0j -0.00378315-0j -0.000546051-0j -0.00468141-0j -0.000675703-0j -0.00273082-0j -0.00039416-0j -0.0026667-0j -0.000471411-0j -0.00311115-0j -3.92842e-05-0j -0.00190518-0j -0.000549979-0j -0.00272226-0j -0.000336792-0j -4.58316e-05-0j -0.00112287-0j -2.8066e-05-0j -0.000481232-0j -0.000198498-0j -4.01026e-05-0j -1.65415e-05-0j -0.00205914-0j -0.00034319-0j -0.00232604-0j -0.00021016-0j -4.28987e-05-0j -0.00189921-0j -2.52783e-06-0j -0.000387674-0j -0.00191889-0j -0.000237401-0j -0.00166181-0j -0.000316535-0j -4.84593e-05-0j -0.00137092-0j -0.000193837-0j -0.000319815-0j -2.85549e-06-0j -0.000438016-0j -3.95668e-05-0j -0.000276968-0j -0.000195846-0j -0.000169607-0j -3.99768e-05-0j -0.000228487-0j -2.3315e-06-0j -3.4621e-05-0j -0.000139919-0j -7.30026e-05-0j -2.35566e-06-0j -4.47048e-05-0j -2.04006e-06-0j -2.85608e-05-0j -9.12533e-06-0j -1.68296e-06-0j -5.37715e-07-0j 
1.85688e-05-0j -0.0103918-0j 0.0101357-0j 6.27575e-05-0j 0.040268-0j 1.3455e-06-0j 0.000863331-0j -8.82469e-05-0j -0.0566231-0j 4.4237e-05-0j -0.00074527-0j 8.94185e-07-0j 0.00887789-0j 3.16045e-05-0j -1.50645e-05-0j -4.35938e-05-0j -0.000532446-0j 0.000179453-0j -5.45901e-05-0j 0.00634267-0j 0.000734433-0j 0.000919689-0j -0.0087488-0j -0.0109556-0j -0.00660719-0j -0.000542561-0j -0.000129313-0j 3.48628e-06-0j 0.00316352-0j -0.00609401-0j 0.00115057-0j -1.06188e-05-0j 0.00594381-0j 6.82321e-08-0j -9.23859e-05-0j -0.000500421-0j 6.19153e-05-0j 0.00856914-0j 3.2155e-06-0j 0.000488086-0j 2.25185e-05-0j 0.00550011-0j 0.00291781-0j -7.58643e-06-0j -3.13625e-06-0j 4.87474e-08-0j -0.0028459-0j 0.00070367-0j 0.00106121-0j 4.42344e-05-0j -4.5215e-06-0j 0.000451652-0j -0.00103505-0j -2.90213e-06-0j 1.6088e-05-0j -0.00410291-0j -0.00263346-0j -0.00149222-0j -0.000957786-0j 
2.14415e-05-0j -0.00593678-0j 0.00579045-0j -0.00692813-0j -0.00099682-0j -0.000148537-0j -2.13715e-05-0j 0.00974203-0j 0.00140168-0j -0.00737417-0j 0.0407055-0j -0.000149058-0j -0.000107947-0j -0.00526836-0j 0.000822799-0j 0.00726695-0j 0.0290814-0j -2.18198e-06-0j 0.00909998-0j -7.71208e-05-0j -0.0401136-0j -0.050232-0j 0.000106377-0j 0.00013321-0j 3.94427e-05-0j 0.044747-0j 7.71958e-07-0j -0.000773762-0j 0.00748702-0j 3.63792e-05-0j -9.27757e-06-0j 0.000875772-0j -3.54826e-05-0j -1.51438e-05-0j 5.51513e-07-0j 0.0412716-0j 0.000146533-0j -5.11549e-05-0j -0.000713665-0j -0.0402543-0j -1.81577e-07-0j -3.28338e-05-0j 0.00690551-0j 0.000625682-0j 0.000696075-0j -1.08192e-05-0j -0.0067353-0j -0.0580343-0j -8.55699e-06-0j 0.000104688-0j 0.00100352-0j -0.0372494-0j 8.34608e-06-0j 0.000644114-0j -1.29725e-07-0j -0.00971023-0j -0.00623252-0j 1.20325e-05-0j 7.72306e-06-0j 
7.5807e-06-0j 4.45159e-05-0j -4.34187e-05-0j -0.00739963-0j 3.69802e-06-0j -0.000158645-0j 7.92842e-08-0j 0.010405-0j -5.2e-06-0j 1.80597e-05-0j -0.000922052-0j 3.65049e-07-0j 2.66044e-07-0j 1.29025e-05-0j -1.86379e-05-0j -1.77971e-05-0j -0.000658746-0j 5.37769e-09-0j -2.22863e-05-0j 1.90071e-07-0j 0.000908646-0j 0.00113785-0j -2.62176e-07-0j -3.28308e-07-0j 1.39451e-05-0j 2.32418e-06-0j 2.72928e-07-0j 0.0788726-0j -8.39075e-05-0j 1.2862e-05-0j 1.71192e-08-0j 4.54881e-08-0j -1.2545e-05-0j 0.00154366-0j 1.94989e-07-0j 2.14367e-06-0j -1.64221e-06-0j -1.8086e-05-0j 0.0727466-0j -2.09083e-06-0j 3.35051e-10-0j -1.16085e-05-0j -7.73905e-05-0j 3.24982e-08-0j -0.0709536-0j 0.00110285-0j 7.5483e-05-0j -3.01433e-06-0j 1.57896e-08-0j -1.17325e-06-0j -0.102293-0j -1.93475e-06-0j -1.54004e-08-0j -0.065657-0j 2.39372e-10-0j 0.000108823-0j 6.98483e-05-0j -2.22027e-08-0j -1.42508e-08-0j 
-1.78679e-06-0j 0.00150518-0j -0.00146808-0j -6.03884e-06-0j -0.0118744-0j -1.29471e-07-0j -0.000254584-0j 8.49156e-06-0j 0.0166973-0j 0.000614514-0j 0.000107947-0j 1.24215e-05-0j 0.0394137-0j 0.00043903-0j 2.18198e-06-0j -0.000605579-0j 7.71208e-05-0j 0.000796688-0j -0.000758332-0j 0.0281585-0j -0.000106377-0j -0.00013321-0j -0.0388406-0j -0.0486379-0j -3.28689e-06-0j -0.0113449-0j -6.43298e-08-0j -3.35467e-07-0j -0.000932877-0j -3.0316e-06-0j 0.0104768-0j -0.000222039-0j 2.95688e-06-0j -6.56564e-09-0j -4.59594e-08-0j -0.0104638-0j -1.82579e-05-0j 4.26291e-06-0j -3.09412e-07-0j 0.0102059-0j 0.000205048-0j 2.73615e-06-0j -0.000860421-0j -0.000158632-0j 3.01785e-07-0j -4.69072e-09-0j 0.000839214-0j 0.0147137-0j 0.00966307-0j -1.30441e-05-0j 4.35081e-07-0j 0.00944402-0j -0.00942489-0j 2.79258e-07-0j 0.000146493-0j 0.00120989-0j 0.000776568-0j -0.0135878-0j -0.00872134-0j 
-1.89517e-06-0j 0.00106061-0j -0.00103447-0j 0.00123114-0j -0.00410983-0j 2.63951e-05-0j -8.81133e-05-0j -0.00173117-0j 0.00577907-0j -4.51492e-06-0j -0.0146202-0j -9.12624e-08-0j -0.000906096-0j -3.22562e-06-0j -0.000295526-0j 4.44928e-06-0j -0.0104452-0j -1.83154e-05-0j 5.57158e-06-0j -0.000647346-0j 0.0144076-0j 0.0180419-0j 0.000892921-0j 0.00111815-0j -3.48628e-06-0j 5.53749e-05-0j -6.82321e-08-0j -0.00650421-0j 0.06206-0j -3.2155e-06-0j -0.00011743-0j 1.08378e-06-0j 3.13625e-06-0j -0.000127298-0j -4.87474e-08-0j 5.1074e-05-0j 0.00121461-0j 4.5215e-06-0j -0.00599903-0j -4.98151e-05-0j -2.29829e-06-0j 2.90213e-06-0j 0.0572398-0j 7.74287e-07-0j 0.00585117-0j -9.0946e-05-0j -0.055829-0j -7.1818e-05-0j -0.000108309-0j 0.000867763-0j 0.00843558-0j -4.60965e-05-0j 0.000105639-0j 0.00541439-0j -1.64198e-06-0j -0.0804882-0j -0.0516615-0j 0.000152299-0j 9.77536e-05-0j 
1.57931e-07-0j -0.000177696-0j 0.000173317-0j -5.10305e-05-0j 0.00211388-0j -1.09408e-06-0j 4.53209e-05-0j 7.17569e-05-0j -0.00297245-0j 3.76244e-07-0j 0.00121837-0j 7.6052e-09-0j -0.0143911-0j 2.68801e-07-0j 2.46276e-05-0j -3.70773e-07-0j 0.000870447-0j -0.000290894-0j -4.64298e-07-0j -0.0102815-0j -0.00120066-0j -0.00150351-0j 0.0141818-0j 0.0177591-0j 2.90523e-07-0j -9.27757e-06-0j 5.68601e-09-0j -5.6993e-06-0j -0.0158772-0j 2.67958e-07-0j 0.0422495-0j -1.81577e-07-0j -2.61354e-07-0j -1.11544e-07-0j 4.06228e-09-0j -8.55699e-06-0j -0.000310742-0j -3.76792e-07-0j -5.25664e-06-0j 8.34608e-06-0j 0.000826891-0j -2.41844e-07-0j -0.014644-0j -1.29725e-07-0j 5.12707e-06-0j -7.96912e-08-0j 0.0142831-0j 1.20325e-05-0j 0.038968-0j -0.000222005-0j 7.39166e-06-0j 7.72306e-06-0j -0.0380075-0j 4.74435e-06-0j 0.00059076-0j 0.0205918-0j 0.0132169-0j -0.0547952-0j -0.0351703-0j 
-5.88575e-09-0j 9.95081e-06-0j -9.70554e-06-0j -1.98922e-08-0j -0.000198051-0j -4.26481e-10-0j -4.24615e-06-0j 2.79715e-08-0j 0.000278491-0j -1.40218e-08-0j 7.1364e-07-0j -2.83429e-10-0j 0.0027243-0j -1.00176e-08-0j 1.44251e-08-0j 1.38179e-08-0j 5.09849e-07-0j 5.50677e-05-0j 1.73034e-08-0j 0.00194634-0j -7.03263e-07-0j -8.80656e-07-0j -0.00268469-0j -0.00336189-0j -1.08272e-08-0j 5.19534e-07-0j -2.11905e-10-0j -1.10504e-09-0j -1.55593e-05-0j -9.98622e-09-0j -0.0250151-0j 1.01681e-08-0j 9.74008e-09-0j -2.16275e-11-0j -1.51392e-10-0j 4.79182e-07-0j -3.0452e-07-0j 1.40422e-08-0j -1.01921e-09-0j -4.67372e-07-0j -0.000489586-0j 9.013e-09-0j -1.43508e-05-0j 7.26446e-09-0j 9.94093e-10-0j -1.54514e-11-0j 1.39971e-05-0j -6.73806e-07-0j -0.0230722-0j -2.1756e-07-0j 1.43318e-09-0j -4.32483e-07-0j 0.0225035-0j 9.19885e-10-0j -0.000349777-0j 2.01795e-05-0j 1.29522e-05-0j 0.0324431-0j 0.0208237-0j 
0.0387658-0j -0.00383182-0j 0.00398498-0j 0.00226999-0j 0.000327644-0j -0.002729-0j -0.000393897-0j 0.00163856-0j 0.000236506-0j 0.00160009-0j 0.000282858-0j 0.00186677-0j 2.35715e-05-0j -0.00336439-0j 0.000330001-0j -0.00158692-0j -0.000594746-0j 2.75001e-05-0j 0.000673753-0j -4.95621e-05-0j -0.000280531-0j 0.000119104-0j -2.33776e-05-0j 9.92532e-06-0j 0.00123554-0j 0.000205923-0j 0.00139569-0j 0.000126101-0j 2.57403e-05-0j -0.00110713-0j 1.51676e-06-0j 0.000232614-0j 0.00115138-0j 0.000142447-0j -0.00293461-0j -0.000184522-0j 2.90768e-05-0j -0.00079917-0j -0.000112996-0j 0.000191897-0j 1.71337e-06-0j 0.000262821-0j -2.30652e-05-0j -0.000489101-0j 0.000117512-0j -0.000299512-0j 2.39871e-05-0j -0.000133195-0j -1.35913e-06-0j -6.11376e-05-0j -8.15649e-05-0j 4.38034e-05-0j 1.41345e-06-0j 2.6824e-05-0j -3.60257e-06-0j -1.66494e-05-0j 5.47543e-06-0j -9.81074e-07-0j 3.22643e-07-0j 
0.0378103-0j -0.00398498-0j 0.00402386-0j -0.00229351-0j -0.00033104-0j 0.00273973-0j 0.000395446-0j -0.00148642-0j -0.000214547-0j -0.00161667-0j -0.00028579-0j 0.00182076-0j -2.38158e-05-0j -0.001155-0j 0.000321868-0j 0.00164936-0j -0.000204178-0j 2.68223e-05-0j -0.00321742-0j -1.70148e-05-0j 0.000291568-0j -0.000568764-0j 2.42974e-05-0j -4.7397e-05-0j -0.00124834-0j -0.000208057-0j 0.00136129-0j -0.000127408-0j -2.60071e-05-0j -0.00115138-0j -1.53248e-06-0j 0.000226881-0j 0.00116262-0j 0.000138936-0j 0.000972549-0j -0.000191897-0j 2.83601e-05-0j -0.00074621-0j -0.000117512-0j 0.000193769-0j 1.67114e-06-0j -0.00278456-0j -2.39871e-05-0j 0.000162092-0j 0.000118659-0j 9.92604e-05-0j 2.42212e-05-0j -0.000124368-0j -1.41345e-06-0j 2.02614e-05-0j -7.61598e-05-0j -0.000464093-0j 1.42725e-06-0j -0.000284198-0j 1.19392e-06-0j -1.5546e-05-0j -5.80116e-05-0j -9.16059e-07-0j -3.41837e-06-0j 
-0.00604367-0j -0.0281676-0j 0.0292934-0j -0.000353896-0j 0.00486808-0j 0.000425458-0j -0.00585246-0j -0.000255456-0j 0.00351397-0j -0.000249458-0j 0.00207928-0j -0.000291034-0j 0.00052717-0j 0.000524516-0j 0.00242583-0j 0.000247405-0j -0.00437195-0j 0.000615031-0j -0.00010504-0j -0.00110844-0j -0.00206217-0j 0.000875527-0j -0.000522832-0j 0.000221977-0j -0.000192623-0j 0.00151373-0j -0.000217591-0j -1.96595e-05-0j 0.000382445-0j 0.000172604-0j 4.53081e-05-0j 0.00170994-0j -0.000179503-0j -2.22078e-05-0j 0.000457512-0j -0.00135641-0j 0.000432018-0j 0.000124592-0j 1.76164e-05-0j 0.00141063-0j 5.11809e-05-0j -4.09743e-05-0j -0.000342699-0j -0.00359536-0j -1.83205e-05-0j 4.66946e-05-0j 0.000356396-0j -0.000979111-0j -4.05994e-05-0j -0.000908372-0j 1.27162e-05-0j 0.000321997-0j 4.22221e-05-0j -4.18193e-06-0j -0.000107614-0j -0.000247373-0j 8.13529e-05-0j -2.93062e-05-0j 9.63783e-06-0j 
-0.00589471-0j -0.0292934-0j 0.0295792-0j 0.000357564-0j -0.00491853-0j -0.000427131-0j 0.00587547-0j 0.000231737-0j -0.0031877-0j 0.000252043-0j -0.00210083-0j -0.000283861-0j -0.000532633-0j 0.000180068-0j 0.00236604-0j -0.000257139-0j -0.0015009-0j 0.000599872-0j 0.000501603-0j -0.000380531-0j 0.00214331-0j -0.00418096-0j 0.000543403-0j -0.00106002-0j 0.000194619-0j -0.00152942-0j -0.000212228-0j 1.98632e-05-0j -0.000386408-0j 0.000179503-0j -4.57776e-05-0j 0.00166779-0j -0.000181255-0j -2.16604e-05-0j -0.000151623-0j -0.00141063-0j 0.000421369-0j 0.000116336-0j 1.83205e-05-0j 0.00142439-0j 4.99194e-05-0j 0.000434119-0j -0.000356396-0j 0.00119153-0j -1.84992e-05-0j -1.54749e-05-0j 0.000359874-0j -0.000914227-0j -4.22221e-05-0j 0.000301041-0j 1.18735e-05-0j -0.00341153-0j 4.2634e-05-0j 4.43071e-05-0j 3.56641e-05-0j -0.00023098-0j -0.000861926-0j -2.73641e-05-0j -0.000102112-0j 
-0.00468141-0j 0.000462737-0j -0.000481232-0j 0.0262079-0j -3.95668e-05-0j -0.0315074-0j 4.75676e-05-0j 0.0189179-0j -2.85608e-05-0j -0.000193229-0j 0.00326572-0j -0.000225434-0j -2.84653e-06-0j 0.000406289-0j 0.00381-0j 0.000191639-0j -0.00686658-0j -3.32095e-06-0j -8.13634e-05-0j 5.9852e-06-0j -0.00323885-0j 0.0013751-0j 2.82311e-06-0j -1.1986e-06-0j -0.000149205-0j -2.48675e-05-0j -0.000168545-0j 0.00292701-0j 0.000297183-0j 0.000133699-0j -1.83167e-07-0j -2.80908e-05-0j -0.000139043-0j 0.00330641-0j 0.000354387-0j 2.22831e-05-0j 0.000335703-0j 9.65089e-05-0j -0.00262282-0j -2.31738e-05-0j -2.06909e-07-0j -3.17386e-05-0j -0.000266298-0j 5.90646e-05-0j 0.00272765-0j -0.00695215-0j 0.000276941-0j 1.60848e-05-0j 1.64131e-07-0j -0.000705859-0j -0.00189325-0j -5.28977e-06-0j -1.70691e-07-0j 0.000622628-0j 4.35052e-07-0j -0.000192224-0j 6.32161e-05-0j 1.18476e-07-0j -3.89628e-08-0j 
