0.328373-0.139949j 0.143993+0.336238j -0.184966-0.0997308j 0.0907103-0.270369j 0.163077-0.120194j 0.139371+0.0285575j 0.0428823-0.0259613j 0.137816+0.0162137j -0.16097+0.0271632j -0.050718-0.04204j -0.0535804+0.0960727j 0.0076132+0.0100198j -0.0713299-0.0175324j 0.164677+0.144858j -0.0622663-0.0150414j 0.0116667-0.0266654j -0.135482-0.116438j 0.0223081+0.177181j 0.116148-0.257736j 0.205677+0.0528891j 0.215253-0.263026j 0.260686+0.213566j 
0.00731643-0.00386514j 0.00200971+0.00697563j 0.00808848+0.0077664j 0.000244805+0.00132263j 0.0111133+0.0062704j -0.000258708+0.00303012j 0.00104351+0.00632137j -0.000121782-0.00598725j 0.00932899-0.00808626j 0.0102281+0.00886027j 0.015395-0.00987463j 0.00196024+0.00509081j -0.00520318+0.00347292j 0.0051905+0.00992821j -0.00401299+0.0128594j 0.00426011+0.00391172j 0.000272546+0.00466725j -0.00208393-0.00927746j -0.00108872-0.00738243j -0.00565453+0.00670478j -0.00264496-0.0010548j 0.000663883-0.00328581j 
0.00303223-0.00205475j 0.00271167+0.0022727j -0.00846942+0.00621108j -0.00274013-0.00946773j 0.0115338+0.00130598j -0.000191861+0.0155j 0.00654469+0.00608741j -0.00163478-0.00022252j -0.0123964-0.00015123j -0.00467095-0.0124064j -0.00599377+0.0120975j 0.00626697-0.016638j 0.00399244+0.0129753j -0.00901623+0.0083766j 0.0150891-0.0116056j 0.0103004-0.00278949j -0.0152321-0.00576986j 0.00863052-0.0010032j 0.00589706-0.00801243j 0.00241037-0.00628276j 0.00280986-0.00345902j 0.00410721+0.00316908j 
-0.00048494-0.0058732j 0.00563758-0.00229592j -0.00478143-0.00148796j 0.00825877-0.00178775j 0.00235968-0.00324118j 0.00579597+0.0131219j 0.00695683+0.00630838j -0.00840498-0.00230987j 0.00605268-0.00179368j 0.00595997-0.00729817j 0.00533793-0.00714267j 0.00179645+0.00061073j 0.00683665-0.000401625j 0.0102136+0.00241094j -0.000376397+0.0070319j 0.00762214-0.0037624j 0.00183131+0.00147787j 0.00112311-0.00477436j 0.0013036-0.00437359j -0.00523082+0.00224196j 0.00320141-0.000922138j 0.00018407+0.0016052j 
3.68745e-05-0.00393172j 0.00448767+0.00139074j 0.00840609-0.00537796j -0.000943339-0.000861757j 0.00653002+0.00371486j 0.00223913-0.00277741j -0.0129155-0.00238465j -0.00225138-0.000689556j -0.00500667+0.00353198j 0.0140227-0.00700966j -0.00872711-0.00768225j -0.00526947+0.00502019j 0.00171146+0.00793225j 0.00178942-0.00211189j 0.00260716+0.00175004j -0.00211873+0.0135322j 0.00280343+0.00426013j 0.00406713+0.00794198j -0.00124051+0.00433764j 0.00213386+0.00284401j -0.000321711+0.000396348j 5.52738e-05+0.000128969j 
-0.00730328+0.00512821j -0.00471716-0.00700742j -0.00391341-0.00434053j -0.00638239+0.00220781j 0.00205092-0.0126343j -0.0043289-0.0110486j 0.00241488+0.00852309j 0.00535887+0.00476582j 0.0173966-0.00313767j -0.000781779+0.0122111j 0.00181733+0.00126397j -0.00395499+0.018512j -0.00203961-0.0141992j 0.00447258-0.006424j -0.0141608+0.0114023j 5.12146e-05+0.00560534j 0.0160389-0.0016263j -0.00763665-0.00530139j -0.00332837+0.00696318j 0.00158442+0.002571j -0.00155626+0.00381149j -0.0040001-0.00198254j 
-0.00201121-0.00141347j -0.00062936-0.0028094j -0.00337382+0.00567637j 0.00326803-0.0128696j 0.00323504+0.0171168j 0.00971021-0.00487279j -0.00919543+0.00289323j -0.00614985+0.00535066j 0.00526418+0.00272712j -0.00306629-0.00833387j -0.00511518-0.00490009j -0.00239463+0.00287298j -0.00275326-0.00346035j 1.11379e-05-0.00911851j -0.000871742+0.00437501j -0.00280267+0.0105259j 0.00115801-0.00189875j 0.0144468-0.00155475j 0.00543274-0.00720629j -0.00210218+0.00807976j -0.000934724+0.00157662j -0.00305909-0.000590736j 
0.00181543-0.00130438j 0.000262479+0.00264234j 0.00670837+0.00454278j -0.00914988+0.000951207j 0.018888-0.011093j -0.00193823+0.00265952j 0.0138696+0.0125358j 0.00161193+0.00130923j 0.00167947-0.0102942j -0.00239833+0.00107877j 0.00194432+0.00149798j 0.00589323-0.00293704j 0.00269403+0.00375564j -0.000690013+0.0060198j 0.00670673+0.000773966j 0.0120475-0.00354453j -0.00349139-0.000785355j -0.00446093-0.0125938j -0.00563319-0.00501491j 0.000932147+0.000469072j 0.00117675-0.00172938j 0.00181841+0.00156753j 
0.00204644-0.00718811j 0.00751134+0.0026424j -0.00671596+0.0104472j -0.000116712-0.00476726j -0.0141289-0.00551865j -0.0125359-0.00499054j -0.000190036+0.00604875j 0.0176622+0.0189527j -0.00369632+0.00203531j 0.00553427+0.0145119j 0.00243803-0.0311187j 0.000771288+0.0298896j 0.0111409-0.00729669j 0.00117872-0.00996983j -0.00799168+0.0082368j 0.000681259+0.0075874j 0.0138658-0.00696893j -0.00922509+0.00577743j 0.000344206-0.000907844j 0.00603302+0.00785511j 0.00694717-0.00271825j 0.00171102+0.00667093j 
-0.00049283+0.00485532j -0.00455559-0.000116013j -0.00423849-0.0117571j -0.00275042+0.00102347j 0.00174655-0.00512873j 0.000273361-0.0116627j -0.00633321-0.00173001j -0.0170107-0.0159972j 0.0125669-0.015232j 0.0128637-0.00735137j 0.000577082+0.004105j 0.00553939+0.000656216j -0.0210277+0.00371835j 0.01561-0.0103696j 0.0065044+0.0239698j -0.00394996+0.00393921j 0.0116166+0.00240157j -0.00411304+0.00430209j 0.000191094+0.00313667j 0.00967383+0.00818212j 0.00282223-0.00339655j 0.0028284+0.00246675j 
0.00129693-0.00109664j 0.000484037+0.00134536j 0.00448731+0.00112142j 0.00139997+0.00060916j 0.00190333+0.00188662j 0.00233305+0.00177998j 0.000100143-0.000164101j -0.00290991-0.00167811j -0.0011646-0.00119325j 0.00360535-0.00204042j 0.00159715-0.00563172j 0.000384643-0.00211427j 0.00183641+0.00259493j 0.00295481+0.000789247j 0.00226232+0.0007806j -0.000441543-0.000305037j -0.00124559+0.00311262j 0.000666255-0.000222557j -0.00113799-0.00153925j -0.00210702+0.0021373j -0.000633172-0.000632225j 0.000399114-0.000714357j 
0.0033261-0.0024587j 0.00342195+0.00562007j 0.0107266-0.00713491j -0.00187302+0.0046518j 0.00302051+0.0120052j -0.00813362-0.0129254j -0.0204977-0.00377106j 0.0039445+1.83513e-05j -0.00629758+0.00929186j 0.00441136+0.00574114j -0.00398157+0.00546356j -0.00801019+0.00123616j -0.00491453+0.00750787j -0.00949994-0.0013901j -0.00461035-0.00576086j -0.012813+0.0185501j -0.003098+0.00501614j 0.0104673+0.0128225j 0.00305594+0.00431059j 0.00405726-0.0012611j -0.000218629+0.00193697j -0.000363493+0.00113647j 
0.00204047+0.000172345j -0.0021262+0.00293075j 0.0144984+0.00585002j 0.000368567-0.00362132j 0.0125347+0.00631082j 0.00695052+0.00714768j -0.000196812-0.000625957j -0.0102997-0.00606596j -0.00489762-0.00422201j 0.0153789-0.0050137j 0.00163993-0.0213937j -0.00174869-0.00881997j 0.00587635+0.0131521j 0.00933423+0.00221374j 0.0100974+0.00282775j -0.00146731+0.00108046j -0.00548649+0.0125279j 0.000748154-0.00447703j -0.00995401-0.00296272j -0.00855984+0.00628265j -0.000238431-0.00317087j 0.00253071+4.44762e-06j 
-9.22586e-08-0.00118034j 0.00177647+0.000300183j -0.00488947+0.00408211j -0.00893289-0.000210617j 0.00740852-0.0165456j -0.00725632+0.00306262j 0.0156081+0.0101536j 0.0112709+0.00637486j 0.000912337-0.00585083j -0.00764355+0.0071209j -0.000233295+0.0060543j 0.00583882+0.00474718j 0.00298845-0.00371494j -0.00470826+0.00512117j 0.00047175-0.00124752j 0.0124088-0.00632437j 0.000522628-0.00836421j -0.00980236-0.00846125j -0.0025933-0.00179259j 0.00545304-0.00384346j 0.00363199-0.00119147j 0.00156598+0.00373079j 
-0.00570097+0.00963232j -0.0104765-0.00545556j 0.00390651-0.0102791j -0.00185431+0.00641729j 0.0086343-0.0112718j 0.00482441-0.00539904j 0.00618783+0.0033492j -0.0193793-0.0108033j 0.012329-0.0137622j 0.00237536-0.00737071j 0.00659522+0.00577111j 0.00153702-0.00926305j -0.00541047+0.00277583j 0.011529-0.00477728j 0.0066102+0.0101962j 0.00157881-0.00619987j 0.00352169+0.0102406j -0.00330374-0.0112853j -0.00700477+0.00537908j -0.00595217+0.00393814j -0.00538545+0.00183216j -0.00214285-0.0057712j 
6.57274e-05-0.00174875j 0.00386887+0.000975892j 0.00682051-0.00995028j -0.000492416+0.0108874j -0.00566853-0.0144653j -0.00178051+0.00439449j 0.00379069-0.00824965j 0.00487407-0.00595572j -0.00820831+0.00256223j 0.00759086+0.000352668j -0.00531859+0.000442013j -9.31161e-05-0.00177676j 0.00580318-8.66596e-05j 0.00409561+0.00568793j 0.000424296-0.00643493j -0.00204706-0.00774561j 0.00181565+0.00269128j -0.0121979+0.00973729j -0.00404443+0.0114411j 0.00142377-0.00538966j -0.000405914-0.000517808j 0.00169766-0.000690714j 
-0.00249267-0.00117366j -0.000711772-0.00249235j 0.00192808+0.00507672j 0.000580803-0.00836148j -0.00213478+0.00286381j 0.0129501+0.00106561j 0.00587593-0.00568789j -0.00212149+0.00379331j -0.000637312+0.000175686j -0.00383925-0.00575023j -0.011507-0.00760037j -0.000216307-0.000722216j 0.00112638-0.00873168j 0.00361109-0.00700847j 0.000764654-0.00122551j -0.000837572-0.00524715j -0.000229612-0.00403813j -0.00278092-0.00313758j 0.00012723-0.000151745j -0.00431491+0.00995708j -0.00351253-0.00156741j 0.000105671-0.00290953j 
-0.00280863+0.00563159j -0.00570132-0.0020172j 0.00439025-0.00905835j 0.000643051+0.0029829j 0.00243365+0.00652672j 0.00142798-0.00939005j -0.0120226-0.00503478j -0.0126451-0.00720505j 0.00576206-0.000904159j 0.00338793-0.00338108j 0.000739317+0.0052856j -0.00617369-0.00464139j -0.00934354+0.00576302j 0.0018088-0.00502792j 0.00092083+0.00474786j -0.00607807+0.00596563j 0.00222016+0.00834116j 0.00432773-0.00212569j -0.00409589+0.00508633j -0.00177839+0.000679276j -0.002384+0.00223699j -0.00192806-0.00200438j 
0.00257285-0.00908552j 0.00700625+0.00257406j 0.00972937+0.00543535j 0.00738154-0.00600904j 0.00298949+0.0105749j 0.00778717+0.00607529j 0.000100058+0.00312523j -0.00199267+0.00552784j -0.00514575+0.00380296j 0.00504018-0.00813939j -0.00636674-0.0245117j 0.000152127+0.000911425j 0.0132938-0.00171065j 0.00406656-0.00269054j 0.00282564-0.00287393j 3.72799e-05+0.00328532j 0.00101196+0.00350383j 0.00600753-0.00134142j -0.000213764-0.00366794j -0.00799049+0.00967477j -0.00433663-0.00132745j -7.10697e-06-0.00429311j 
-0.00603059+0.011057j -0.0103675-0.00758498j -0.014464-0.00699834j 0.00474369+0.00173657j -0.00954299-0.00406153j -0.00212032-0.00446483j -0.000401709+0.00115026j -0.00895641-0.0042317j 0.00986176-0.00390044j -0.0053853-0.00253638j 0.00845716+0.0103192j 0.00071592-0.00113446j -0.00597261-0.00366324j 0.00334043-0.00619155j -0.00151788+0.00590254j -0.00076358-0.00297949j 0.00556776-0.000193321j 0.00308678-0.00312179j 0.00234895+0.00440166j -0.00383696-0.00417907j -0.00378307+0.00221162j -0.00248629-0.00472774j 
-0.000337817+0.00880227j -0.00808169+0.00319433j 0.0179197-0.00492539j -0.0128769+0.0113601j 0.0108813-0.00472742j -0.0112263-0.0149283j -0.00734562-0.00170737j 0.00413583-0.00337211j -0.00409976-0.00491989j 0.00669508+0.0105023j 0.00275397+0.00287986j -0.00219793-0.00226573j -0.00410199+0.011679j -0.00643385+0.00283417j 0.00438078-0.00128098j -0.00584608+0.006163j -0.0017111+0.012354j -0.00600224+0.00145188j -0.010377+0.00519885j 0.0080534-0.0016165j -0.0061537+0.00424114j -0.00239581-0.00467209j 
-0.00557474+0.00581161j -0.005647-0.00775014j -0.0171512+0.000764923j 0.00319694-0.00608611j -0.00839057-0.00100777j 0.00525982+0.00288131j 0.00391829-0.00121581j -0.00534913-0.00114598j 0.00817045-0.000548192j -0.00757633-0.00354036j 0.00200747+0.0107227j 0.000734383-0.000869528j -0.00564685-0.00721846j 0.00286642-0.00425928j -0.00324153+0.00429944j 0.00152976-0.00553717j 0.000998803-0.00644445j 0.00208923-0.00245356j 0.00575605-0.001937j -0.00125888-0.00101153j 0.00164731+0.000394119j -0.00116453+0.000823612j 
0.00273087-0.0102402j 0.00994431+0.00214318j 0.00192612-0.00182961j 0.00446244+0.00102361j 0.000275626+9.20993e-05j 0.00375555+0.00520988j 0.0027415+0.00147885j -0.000601724+0.000165212j -0.000149216+0.00240345j -0.000627487-0.00457203j -0.00351673-0.00137118j 0.00084025+0.000883774j 0.00252868-0.00355824j 0.00275+0.00153768j -0.00186705-0.0012327j 0.00331864-0.000721834j 0.000901128-0.00426274j 0.00149981+0.000581851j 0.00314197-0.000919472j -0.00212667+0.000791243j 0.0044122-0.00207079j 0.00173263+0.00404834j 
