-0.0419928-0j -0.00663964-0j -0.0052491-0j -0.0034994-0j -0.000757642-0j -0.00087485-0j -0.000309306-0j -7.29041e-05-0j -7.73265e-05-0j -6.44388e-06-0j -2.40149e-07-0j -0.039256-0j -0.0061201-0j -0.00474061-0j -0.000684248-0j -0.00432757-0j -0.000765013-0j -0.000510008-0j -6.37511e-05-0j -0.00044168-0j -9.01576e-05-0j -4.50788e-05-0j -5.31259e-06-0j -6.50656e-06-0j -4.19997e-07-0j -1.32287e-08-0j 
-0.000445977-0j 0.0067032-0j -5.57471e-05-0j -3.71648e-05-0j -0.0355866-0j 0.000883224-0j -3.28493e-06-0j -0.0104946-0j -0.00363204-0j -0.00186827-0j -0.000175042-0j 0.000400408-0j -0.0059341-0j 4.83538e-05-0j 0.0308671-0j 4.41408e-05-0j -0.000741762-0j -0.000494508-0j 0.0088137-0j 4.5051e-06-0j 0.00406709-0j -4.37088e-05-0j 0.00147931-0j 0.000899544-0j 0.000195599-0j 1.29829e-05-0j 
-0.00127449-0j -0.000201514-0j 0.0151537-0j -0.000106207-0j -2.29945e-05-0j 0.00252562-0j 0.0026976-0j -2.21265e-06-0j 0.000448818-0j 1.8603e-05-0j -7.28855e-09-0j 0.00347995-0j 0.000542532-0j -0.0399738-0j 6.06569e-05-0j 0.000383628-0j -0.00645075-0j 4.5211e-05-0j 5.65137e-06-0j -0.00748784-0j -0.000760228-0j -0.00114833-0j 4.70948e-07-0j -0.000110306-0j -3.5415e-06-0j 1.17269e-09-0j 
0.000183956-0j -0.00276493-0j 2.29945e-05-0j 1.53297e-05-0j 0.0146787-0j -0.000364311-0j 1.35497e-06-0j 0.00432878-0j 0.00149814-0j 0.000770623-0j 7.22012e-05-0j -0.000502287-0j 0.00744396-0j -6.06569e-05-0j -0.0387208-0j -5.53719e-05-0j 0.000930495-0j 0.00062033-0j -0.0110562-0j -5.65137e-06-0j -0.00510191-0j 5.48299e-05-0j -0.0018557-0j -0.00112842-0j -0.000245366-0j -1.62862e-05-0j 
0.00220905-0j 0.000349281-0j 0.000276131-0j -0.0529331-0j 3.9856e-05-0j -0.00659362-0j 1.62712e-05-0j -0.000549468-0j 4.06779e-06-0j 3.38983e-07-0j 1.26331e-08-0j 0.00206508-0j 0.00032195-0j 0.000249382-0j 3.59951e-05-0j -0.0326163-0j 4.02438e-05-0j -0.00771455-0j 3.35365e-06-0j -0.00332888-0j -0.000679505-0j 2.37139e-06-0j -4.00402e-05-0j 3.4228e-07-0j 2.20941e-08-0j 6.95899e-10-0j 
-0.000390508-0j 0.00290386-0j 0.00464317-0j -3.25423e-05-0j 0.000669759-0j -0.0363949-0j 0.000826558-0j 9.70104e-05-0j -0.0130727-0j -0.00108939-0j 6.41345e-07-0j -0.000365057-0j 0.00267664-0j 0.00419338-0j 0.000604878-0j -4.02438e-05-0j -0.0318255-0j 0.000223053-0j 8.48308e-05-0j 0.000785498-0j -0.0075811-0j -0.00566544-0j 9.44211e-06-0j -0.00165577-0j -8.88481e-05-0j 4.12372e-08-0j 
3.25423e-05-0j -0.000736257-0j 4.06779e-06-0j 2.71186e-06-0j 0.00795815-0j -9.70104e-05-0j 2.39697e-07-0j -0.0352379-0j 0.000812225-0j -0.0128674-0j -0.00243597-0j 3.04214e-05-0j -0.000678646-0j 3.67374e-06-0j 0.00718723-0j 3.35365e-06-0j -8.48308e-05-0j -5.65538e-05-0j -0.0308138-0j 3.4228e-07-0j 0.000947-0j -4.9987e-06-0j -0.0106084-0j -0.00314492-0j -0.00211897-0j -0.000235565-0j 
-0.00249538-0j -0.000394555-0j -0.000311923-0j 0.0597942-0j -4.50222e-05-0j 0.00744829-0j -1.83802e-05-0j 0.000620691-0j -4.59506e-06-0j -3.82922e-07-0j -1.42706e-08-0j -4.61709e-05-0j -7.19816e-06-0j -5.57567e-06-0j -8.04778e-07-0j 0.000729234-0j -8.99769e-07-0j 0.000172482-0j -7.49808e-08-0j 7.44271e-05-0j 1.51924e-05-0j -5.30194e-08-0j 8.95219e-07-0j -7.65269e-09-0j -4.93979e-10-0j -1.55589e-11-0j 
-0.00203747-0j -0.000322153-0j -0.000254684-0j 0.0488218-0j -3.67605e-05-0j 0.0060815-0j -1.50074e-05-0j 0.000506792-0j -3.75185e-06-0j -3.12654e-07-0j -1.16519e-08-0j -0.00190468-0j -0.000296945-0j -0.000230012-0j -3.31994e-05-0j 0.030083-0j -3.71181e-05-0j 0.00711537-0j -3.09317e-06-0j 0.00307033-0j 0.000626729-0j -2.1872e-06-0j 3.69304e-05-0j -3.15696e-07-0j -2.03781e-08-0j -6.41849e-10-0j 
0.000441126-0j -0.00328026-0j -0.00524502-0j 3.67605e-05-0j -0.000756573-0j 0.0411124-0j -0.000933696-0j -0.000109585-0j 0.0147672-0j 0.0012306-0j -7.24476e-07-0j 8.16194e-06-0j -5.98443e-05-0j -9.37555e-05-0j -1.35239e-05-0j 8.99769e-07-0j 0.000711554-0j -4.98703e-06-0j -1.89664e-06-0j -1.75621e-05-0j 0.000169498-0j 0.000126668-0j -2.11106e-07-0j 3.70196e-05-0j 1.98646e-06-0j -9.21981e-10-0j 
0.00205859-0j 0.000325491-0j 0.000257323-0j -0.0493277-0j 3.71414e-05-0j -0.00614452-0j 1.51629e-05-0j -0.000512044-0j 3.79073e-06-0j 3.15894e-07-0j 1.17727e-08-0j -0.00184824-0j -0.000288146-0j -0.000223197-0j -3.22157e-05-0j 0.0291916-0j -3.60182e-05-0j 0.00690453-0j -3.00152e-06-0j 0.00297935-0j 0.000608157-0j -2.12239e-06-0j 3.5836e-05-0j -3.06341e-07-0j -1.97742e-08-0j -6.22829e-10-0j 
-3.67605e-05-0j 0.000831691-0j -4.59506e-06-0j -3.06337e-06-0j -0.00898968-0j 0.000109585-0j -2.70766e-07-0j 0.0398054-0j -0.000917506-0j 0.0145353-0j 0.00275172-0j -6.80162e-07-0j 1.51732e-05-0j -8.21373e-08-0j -0.000160692-0j -7.49808e-08-0j 1.89664e-06-0j 1.26443e-06-0j 0.000688933-0j -7.65269e-09-0j -2.1173e-05-0j 1.11761e-07-0j 0.000237183-0j 7.0314e-05-0j 4.73758e-05-0j 5.26676e-06-0j 
0.000360178-0j -0.00267832-0j -0.00428254-0j 3.00148e-05-0j -0.000617739-0j 0.0335681-0j -0.00076236-0j -8.94757e-05-0j 0.0120573-0j 0.00100478-0j -5.91533e-07-0j 0.000336704-0j -0.00246875-0j -0.00386769-0j -0.000557898-0j 3.71181e-05-0j 0.0293537-0j -0.000205729-0j -7.8242e-05-0j -0.000724489-0j 0.00699228-0j 0.00522541-0j -8.70875e-06-0j 0.00152717-0j 8.19474e-05-0j -3.80344e-08-0j 
0.00178279-0j 0.000281884-0j 0.000222848-0j -0.0427191-0j 3.21654e-05-0j -0.00532131-0j 1.31315e-05-0j -0.000443443-0j 3.28287e-06-0j 2.73572e-07-0j 1.01954e-08-0j 3.29861e-05-0j 5.14261e-06-0j 3.98345e-06-0j 5.74961e-07-0j -0.00052099-0j 6.42826e-07-0j -0.000123227-0j 5.35689e-08-0j -5.31733e-05-0j -1.08539e-05-0j 3.78789e-08-0j -6.39575e-07-0j 5.46735e-09-0j 3.52916e-10-0j 1.11158e-11-0j 
-0.00036391-0j 0.00270608-0j 0.00432692-0j -3.03258e-05-0j 0.000624141-0j -0.033916-0j 0.00077026-0j 9.04029e-05-0j -0.0121823-0j -0.00101519-0j 5.97663e-07-0j 0.000326726-0j -0.0023956-0j -0.00375308-0j -0.000541366-0j 3.60182e-05-0j 0.0284838-0j -0.000199633-0j -7.59235e-05-0j -0.000703021-0j 0.00678508-0j 0.00507057-0j -8.45069e-06-0j 0.00148191-0j 7.95191e-05-0j -3.69073e-08-0j 
-3.00148e-05-0j 0.000679073-0j -3.75185e-06-0j -2.50123e-06-0j -0.00734004-0j 8.94757e-05-0j -2.2108e-07-0j 0.032501-0j -0.00074914-0j 0.011868-0j 0.00224677-0j -2.80586e-05-0j 0.000625936-0j -3.3884e-06-0j -0.006629-0j -3.09317e-06-0j 7.8242e-05-0j 5.21614e-05-0j 0.0284205-0j -3.15696e-07-0j -0.000873448-0j 4.61046e-06-0j 0.00978448-0j 0.00290065-0j 0.00195439-0j 0.000217269-0j 
-0.00147072-0j -0.000232542-0j -0.000183841-0j 0.0352414-0j -2.65351e-05-0j 0.00438986-0j -1.08329e-05-0j 0.000365822-0j -2.70823e-06-0j -2.25686e-07-0j -8.41081e-09-0j 0.00266811-0j 0.000415965-0j 0.000322205-0j 4.65063e-05-0j -0.0421407-0j 5.19956e-05-0j -0.00996732-0j 4.33297e-06-0j -0.00430097-0j -0.000877931-0j 3.06387e-06-0j -5.17326e-05-0j 4.42231e-07-0j 2.85459e-08-0j 8.99112e-10-0j 
-0.000315155-0j 0.00234353-0j 0.00374723-0j -2.62629e-05-0j 0.000540522-0j -0.0293721-0j 0.000667065-0j 7.82912e-05-0j -0.0105502-0j -0.000879184-0j 5.17591e-07-0j -5.83117e-06-0j 4.27548e-05-0j 6.69822e-05-0j 9.66191e-06-0j -6.42826e-07-0j -0.000508359-0j 3.5629e-06-0j 1.35503e-06-0j 1.2547e-05-0j -0.000121095-0j -9.04958e-05-0j 1.50822e-07-0j -2.64481e-05-0j -1.4192e-06-0j 6.58695e-10-0j 
3.03258e-05-0j -0.00068611-0j 3.79073e-06-0j 2.52715e-06-0j 0.00741611-0j -9.04029e-05-0j 2.23371e-07-0j -0.0328378-0j 0.000756903-0j -0.011991-0j -0.00227005-0j -2.72272e-05-0j 0.000607388-0j -3.288e-06-0j -0.00643257-0j -3.00152e-06-0j 7.59235e-05-0j 5.06157e-05-0j 0.0275783-0j -3.06341e-07-0j -0.000847566-0j 4.47384e-06-0j 0.00949455-0j 0.0028147-0j 0.00189648-0j 0.000210831-0j 
0.000469904-0j 7.42983e-05-0j 5.8738e-05-0j -0.0112598-0j 8.47809e-06-0j -0.00140258-0j 3.46117e-06-0j -0.000116882-0j 8.65292e-07-0j 7.21077e-08-0j 2.68729e-09-0j -0.00171364-0j -0.000267161-0j -0.000206942-0j -2.98695e-05-0j 0.0270656-0j -3.33951e-05-0j 0.0064017-0j -2.78293e-06-0j 0.00276238-0j 0.000563868-0j -1.96783e-06-0j 3.32262e-05-0j -2.84031e-07-0j -1.83341e-08-0j -5.77471e-10-0j 
2.62629e-05-0j -0.000594189-0j 3.28287e-06-0j 2.18858e-06-0j 0.00642254-0j -7.82912e-05-0j 1.93445e-07-0j -0.0284383-0j 0.000655498-0j -0.0103845-0j -0.00196592-0j 4.85931e-07-0j -1.08402e-05-0j 5.86818e-08-0j 0.000114804-0j 5.35689e-08-0j -1.35503e-06-0j -9.03352e-07-0j -0.000492198-0j 5.46735e-09-0j 1.51267e-05-0j -7.98458e-08-0j -0.000169452-0j -5.02347e-05-0j -3.38469e-05-0j -3.76275e-06-0j 
0.00025999-0j -0.00193332-0j -0.0030913-0j 2.16658e-05-0j -0.000445908-0j 0.0242307-0j -0.0005503-0j -6.4587e-05-0j 0.00870345-0j 0.00072529-0j -4.26991e-07-0j -0.00047166-0j 0.00345826-0j 0.00541791-0j 0.000781512-0j -5.19956e-05-0j -0.0411191-0j 0.000288189-0j 0.000109603-0j 0.00101488-0j -0.00979489-0j -0.00731984-0j 1.21993e-05-0j -0.00213928-0j -0.000114793-0j 5.32791e-08-0j 
-8.3068e-05-0j 0.000617704-0j 0.000987686-0j -6.92234e-06-0j 0.00014247-0j -0.00774184-0j 0.000175824-0j 2.06358e-05-0j -0.0027808-0j -0.000231734-0j 1.36426e-07-0j 0.000302932-0j -0.00222113-0j -0.00347975-0j -0.000501941-0j 3.33951e-05-0j 0.0264095-0j -0.000185094-0j -7.03943e-05-0j -0.000651822-0j 0.00629095-0j 0.0047013-0j -7.83526e-06-0j 0.00137399-0j 7.3728e-05-0j -3.42195e-08-0j 
-2.16658e-05-0j 0.000490181-0j -2.70823e-06-0j -1.80549e-06-0j -0.00529832-0j 6.4587e-05-0j -1.59584e-07-0j 0.0234604-0j -0.000540758-0j 0.0085668-0j 0.00162181-0j 3.9305e-05-0j -0.000876821-0j 4.74653e-06-0j 0.00928601-0j 4.33297e-06-0j -0.000109603-0j -7.30684e-05-0j -0.0398119-0j 4.42231e-07-0j 0.00122354-0j -6.4584e-06-0j -0.0137063-0j -0.00406328-0j -0.00273774-0j -0.000304354-0j 
6.92234e-06-0j -0.000156615-0j 8.65292e-07-0j 5.76861e-07-0j 0.00169284-0j -2.06358e-05-0j 5.09878e-08-0j -0.00749572-0j 0.000172775-0j -0.00273714-0j -0.000518175-0j -2.52443e-05-0j 0.000563154-0j -3.04854e-06-0j -0.00596411-0j -2.78293e-06-0j 7.03943e-05-0j 4.69295e-05-0j 0.0255699-0j -2.84031e-07-0j -0.00078584-0j 4.14802e-06-0j 0.00880309-0j 0.00260972-0j 0.00175836-0j 0.000195477-0j 
