0.0118986-0.0408963j 0.0764835-0.0511033j 0.124647+0.0920636j 0.0113344-0.150109j -0.0807088+0.0220058j -0.240894-0.206458j 0.0319382+0.117688j -0.0730432+0.237937j -0.15615-0.221299j 0.00256733-0.130404j 0.0938148-0.256903j 0.440345+0.0294043j 0.233437-0.0597549j 0.0833119-0.145689j -0.0749302-0.110183j -0.302288-0.475837j -0.255444+0.0458257j 0.385193+0.481883j -0.495281+0.376653j 0.260971+0.031904j -0.0263129+0.574672j -0.475318-0.0754915j 0.315015+0.715563j -0.0109434-0.0740925j 0.214845-0.676419j -0.626239-0.0725114j 0.544914-0.0132336j -0.185426+0.466785j -0.149074+0.0586763j -0.551745+0.121108j 0.123445-0.151911j 0.0260362-0.218238j -0.0787656+0.0971384j -0.136857+0.353318j 0.00268743-0.257906j -0.0943317+0.35368j -0.0381274+0.0146724j 0.363499+0.0962115j -0.326078+0.406013j -0.0167792-0.0272965j 0.639419+0.50031j 0.104708+0.588451j -0.149305+0.702775j 0.0671533+0.0751243j 0.793701-0.569184j 0.366681-0.36913j 0.335731-0.129004j 0.502909-0.53059j 0.0776587+0.0195744j -0.413172-1.1296j 0.066204-0.353095j 1.03788-0.336728j -0.0189386-0.426879j 1.02244+0.0575423j 0.180694-0.737825j 0.520048-0.646825j 0.105809+0.770284j 0.247484+0.0677529j 0.151726-1.05053j -0.216288+0.349058j 1.22462+0.0681065j -0.476988+0.566423j 0.539256+0.988248j -0.246941-0.0630706j 0.193033-0.076868j 0.317668-0.396112j -0.280335+0.334503j -0.471017-0.379037j 0.133407-0.912162j 
-0.125546+0.110006j 0.170472-0.035631j 0.340951-0.124389j -0.56193+0.13044j 0.231129-0.0559248j 0.681748-0.104201j -0.205628-0.0293591j -0.363697-0.454644j -0.225154-0.276494j -0.178918+0.00887561j 0.303333-0.243699j 0.398026-0.380684j 1.19129-0.0817196j -1.22316-0.0446251j 0.672457+0.726667j 0.235536-0.24806j 0.564939-0.786783j -0.278388-0.185752j -0.00121643+0.406982j -0.125615+0.432946j 0.72441-0.630205j 0.136326+0.0115697j 0.108699+0.825359j 0.217217+1.84059j -0.219643+0.116492j -0.562409-0.154582j -0.174681-0.22286j -0.31042+0.184114j -0.131307-0.0267492j 0.164532-0.0337919j -0.210457-0.292719j -0.234859-0.333245j 0.0619349+0.430741j -0.457121-0.822349j 0.0389917+0.184189j -0.335479-0.346212j -0.0836553-0.0378744j -0.364369+0.647637j 0.0901906+0.135484j 0.332283+0.343219j 0.484467+0.414612j 0.503389+1.19531j -0.403884-1.02661j 0.699424-0.0901418j -0.478102-0.798328j -0.1604+1.30786j -0.543436-0.0224512j 0.115432-0.781504j -1.06371+0.161015j 0.402667+0.346525j 0.643875+0.250051j 0.254425-0.134957j 0.257974-0.591651j -0.127681+0.0159901j -0.390766+0.548785j 0.187345+0.0521244j 0.110707-0.041848j -0.220055-0.272176j -0.391604-1.04782j -0.281875-0.272731j 0.252747+0.429224j 0.757105-1.1142j 0.860083+0.198797j 1.60886+0.45811j 0.284131-0.342336j 0.330908-0.166467j 0.152574-0.0825083j 0.0309211-0.498707j -0.0150181+0.124615j 
-0.43451+0.392152j 0.391817+0.189654j 0.248713-0.0967932j -0.624416+0.0791153j -0.125207+0.663544j 0.0276224-0.272027j -0.523539-0.543821j 0.695215-0.45745j -0.609608+0.661119j 0.380903-0.019836j 0.248487+0.334945j 0.514265-0.319663j 0.190242-0.173261j -0.16745-0.2166j -0.286347-1.75814j 0.243438-0.212945j -0.356181-0.330374j -0.586421-0.581582j 0.144499+0.00379657j 0.0534803-0.547393j -1.03127-0.306745j 0.659344+0.707694j -0.729636+0.270429j -0.468295+0.508492j 0.113374+0.730521j -0.769561+0.0395858j -0.366135+0.0556462j -0.274369+0.303084j -0.485622-0.212183j 0.36457+0.509101j 0.216141-0.570646j -0.167241-0.188074j 0.674693+0.547283j 0.279037-0.456662j 0.302846-0.999372j -0.536672-0.353045j -0.35535-0.171021j -0.784432-0.238184j 0.99886+0.482787j -0.667418+0.145146j -0.278342+0.402251j 0.403923-0.0443999j -0.069727-0.497271j 0.00268487-0.676375j -0.181245-0.297128j 0.314044-1.36554j 0.939763-0.370524j 0.212071+1.00734j -0.0187937+0.898298j -0.170572-0.0671253j -0.198112-1.0521j 0.762093-0.197597j 0.70475+0.679545j 0.347749-0.567606j 0.562921+0.929941j 0.254288+0.571739j -0.285477-0.277118j 0.0813862+0.391392j -0.539094+0.203738j -0.672874+0.524307j -1.03998+0.0819375j 0.364286+0.119905j -0.610531+0.456182j 0.202082+0.577755j -0.28316-0.667416j 0.74764-0.615527j 0.0746302-0.284629j -0.194715-0.675299j -0.520867+0.0432578j 
-0.313853+0.222908j 0.0837802+0.246873j -0.453885+0.173994j 0.770559+0.0318207j -0.711869+0.37079j -0.320278+0.22147j 0.129389+0.825012j -0.358583-0.208931j -0.797493+0.233566j -0.401139-0.173311j 0.10472+1.21439j -0.014152+0.0351074j 0.689544+1.23814j -0.59005+0.424126j 0.366751+0.547638j -0.247184+0.0404756j 0.00662659-0.469783j 0.0795677-0.161409j -1.1854+0.122084j 0.573783-0.237036j -0.822076-0.161206j -0.0670379-0.419389j 0.588554-0.383022j -0.703335-0.119471j 0.120531+0.355472j 0.289339+0.241174j 0.138915+0.629872j -0.235223+0.405363j -0.30436-0.359903j -0.254224+0.0711228j 0.416972+0.431261j 0.269327+0.597146j 0.195502+0.246249j 0.844561+0.878896j -0.0836924+0.107002j -1.08302+0.432348j 0.830595+0.414793j 0.0346099+0.366821j 0.205341+0.211822j 0.477128-0.297514j -0.588339+0.497039j 0.868255+1.03404j -0.655538-0.703329j -1.44224+0.854074j -0.351833+0.725708j -0.549565-0.630604j -0.550112-1.51773j 0.536152-0.216397j -0.92403-0.208762j -0.393725+0.159767j 0.234533-0.406065j 0.0199628-0.457233j -0.135988-0.0290564j 0.532564+0.210063j -0.220782+0.827755j 0.873419-0.590072j -0.0890546+0.000894315j 0.045893-1.03573j -0.726786+0.527079j -0.0333719-0.356789j 0.325812-0.294505j -0.319183+0.299148j -0.302428-0.313447j -0.331736+0.654141j -0.477499+0.670584j 0.0569665+0.249972j -0.390891-0.226112j -0.305982-0.438923j -0.0454881-0.218213j 
-0.289813-0.0263111j 0.221485+0.293789j 0.0493285-0.130528j -0.0848431+0.138969j 0.00907546+0.210911j -0.231003-0.957543j 0.299108-1.24496j -0.0401606+0.363094j 0.318719+0.381285j -0.88309-0.802854j 0.114466+0.169797j -0.131761-0.0318864j -0.215008-0.200296j -0.402404+0.0652j -0.3856+1.43227j 0.964577-0.390911j -1.51705+0.141677j -0.370662-0.276314j -0.309861+0.336717j -0.217057+0.072674j -0.0304035+0.0363503j -0.577353+0.688129j -0.576103-0.187744j 0.230928-0.206578j -0.0519165-0.0801313j -0.529332-0.057713j -0.50069-0.0175666j -0.26814+0.0767308j 0.000802219-0.313444j -0.0431398+0.137555j 0.230837-0.311913j -0.0946359+0.197099j 0.609537+0.0179135j -0.245496+0.233186j 1.69766-0.500066j 0.323713+0.136448j -0.000724808-1.17629j 0.524945-0.590835j 0.356747-0.644322j 0.0630853+0.953385j -0.228431-0.185837j 0.138574+0.468453j -0.15258-0.0658918j -1.05105-0.277537j 0.0454089+0.239747j -0.285846+0.513587j -0.229066-0.382835j 0.926467-0.541842j 0.823684-0.204221j -0.49298+0.428019j 0.445438+1.11599j -0.420551-0.0611185j -0.334779-1.35723j 0.774576-0.783962j 0.425732+0.492356j 0.00251628+1.01942j -0.427216+1.21676j -0.436645-0.06007j 0.258505+0.102927j -0.0967226+0.219262j -0.214423-1.00977j -0.0993998+0.02546j -0.461639+0.00524918j 0.0290328-0.25389j 0.262167-0.476613j 0.136738-0.294839j 0.119674-0.376284j 0.127802-0.377889j -0.0762817-0.0905474j 
0.527+0.343284j -0.349287-0.635367j -0.527915+0.0663884j 0.377151+0.776721j -0.368283+0.178209j 0.357355+0.673991j 0.374007-0.641334j 0.433647+0.393298j -0.807634-0.584626j -0.234168-1.20661j 0.202213+0.0691185j 0.533351-0.604977j 0.0381401+0.719628j 0.473217-0.496997j 0.881677+0.105795j 0.789981+0.480129j 0.0139675-0.258722j -0.00537562-0.705375j 0.510656+0.373741j 0.548311+0.471968j -0.315997-0.00516081j 0.555213-1.12268j -0.288359-0.288738j -0.236272-0.0128013j -0.106479-0.802471j 0.0757189+0.823639j 0.0130338+0.287154j 0.347337-0.227458j -0.242835+0.689224j 0.2018-0.099618j -0.714508+0.720153j 0.120012+0.128504j 0.687024-0.525296j 0.204753+0.819861j -0.391908+0.693424j 0.330008-0.240343j -0.626225-1.38189j -0.186906-0.42007j 0.0510902+0.801523j -0.838901+0.237337j 0.359633-0.13311j -0.204066+0.516063j 0.355967-0.504981j 0.58202-0.79965j 0.536639-0.103084j 0.674436-0.0725787j 0.442158+0.0425619j 1.20688+0.370971j -0.354593-0.254521j 0.674809+0.845985j 1.04664+0.323841j -0.110762-0.308915j -0.231225+0.881839j 0.724412-0.25052j -0.148734+0.120092j -0.549335+0.338663j -0.127125-0.298923j -1.0595+0.0620334j -0.606668+0.331281j 0.405944-0.334244j 0.675959+0.916546j -0.0959878+0.156541j -0.0779755+0.302385j -0.513741-0.0942784j 0.389438-0.0678291j -0.832601-0.375405j -0.12706+0.0218445j -0.30445+0.294414j -0.12832+0.160047j 
-0.41663-0.59774j -0.38301+0.622057j -0.450872+0.0771665j -0.680237+0.6518j 0.725082+1.07709j -0.566845-0.143461j -0.826837+0.300535j 0.108522+0.263808j 0.352869+0.1828j 1.03709-0.588962j 0.896992-1.28492j -0.18215-0.0419269j 0.354906-0.591161j -0.36863+0.649252j 0.20645+0.015726j -0.4132-0.455189j -0.464726+0.315959j 0.609391-0.999176j -0.564729-0.324265j -0.0597197-0.465807j -0.0479671+0.227799j -0.417618-0.164324j 0.235871+0.642121j -0.33431-0.325j -0.017105+0.335127j 0.0565468+0.232515j -0.330291-0.357279j -0.0188465-0.102994j 0.775997-0.51956j -0.0198478+0.0902181j 0.809055-0.0156326j -0.580184+0.935898j 0.832449-0.880733j -0.529271-0.21953j -1.35955-0.0301658j -0.207995+0.505536j -0.175802-1.56239j -0.690889-0.57955j -0.585826+0.427588j 0.587693-1.08502j 0.568658-0.761193j -0.76402-0.00911413j -0.4572+0.601081j 0.810089+0.466319j 0.460286-0.748503j -0.688318+0.876694j -0.71122-0.347839j -0.287144+0.509327j 0.444565+1.06242j 0.563191+0.509216j -0.206593-0.373725j 0.0643146+0.320843j -0.767269-0.296064j -0.115622-0.121807j 0.330378+0.0490297j 0.58373+0.220403j -0.393659+0.331491j 0.0848571-0.827778j 0.0513168+0.444987j -0.552557-0.228481j 0.420345+0.0189348j 0.0483204+0.142812j 0.257783-0.14096j -0.449664+0.167446j -0.608031-0.320039j 0.0119567-0.00344285j 0.388772-0.0857172j 0.345442+0.123596j 0.0966604-0.0128132j 
-0.164925+1.01805j -1.23271+0.437388j 0.665298-0.498289j 0.153989-0.317443j 0.496391+1.28187j 0.713966-0.579014j -0.623403-0.714039j -0.86749+0.882553j -0.436151-0.297096j 0.302442+0.476402j -0.294584+0.502521j 0.748678+0.764733j 0.805849-0.330536j 0.271132-0.920243j -0.0548634-0.192229j -0.222574-0.413862j -0.406102-0.0517077j -1.05749+0.117306j 0.0616382+0.245157j -0.322587+0.29647j -0.130945+0.157522j 0.0168789-0.383512j 0.537392-0.174846j -0.312865+0.0201574j -0.0228267+0.0663041j -0.285044+0.159712j -0.147614+0.01224j 0.337076+0.0290872j -1.21478+0.473741j 0.0979186+0.0856735j 0.740519+0.613568j -1.21442+0.430006j -1.11386-0.643539j -0.153592-0.486066j 0.0187295-0.365668j -0.229201+1.74175j 0.604816-0.355901j -0.863794-0.642947j 0.236115-0.685342j 1.24323+0.696678j 1.02603-0.357361j -0.216937+0.182764j 0.170482+0.171981j 0.254443+0.442445j -0.094322+1.52128j -0.0551418+0.0284553j 0.577232+0.282374j 0.299177-0.230433j -0.921816+0.378817j -0.347429-0.492645j 0.123307+0.533073j -0.123011+0.158644j 0.320764+0.617946j -0.552243-0.537989j 0.05918+0.0846862j 0.105677-0.240298j -0.445241+0.234657j -0.424191+0.274822j -0.0948853+0.0245511j 0.0147545+0.527525j 0.241682+0.146787j -0.0215073+0.0335836j 0.111137-0.139545j -0.162028+0.156526j -0.06931+0.259962j 0.0634902-0.0665298j 0.0993947-0.0238873j -0.0502665-0.167336j -0.0628653-0.157952j 
0.0314323-0.12754j 0.174974-0.0734669j -0.0178564+0.151961j 0.329596-0.0824904j -0.140414-0.163615j 0.391727-0.293581j -0.212686+0.0466489j -0.319589-0.193759j 0.428464-0.0327736j 0.107188+0.0256311j 0.170221+0.309665j -0.731328+0.249607j -0.181838+0.298729j 0.0205307+0.420468j 0.0378714+0.0848215j 0.471985+0.171209j 0.458522-0.0694005j 0.538655-0.523546j -0.260408+0.337419j -0.0995025-0.0334729j -0.0697596-0.392903j 0.844613+0.26507j 0.627818+0.53196j -0.0880435-1.03393j 0.870309-0.685952j -0.764173+0.0352271j 0.0799827+0.562686j 0.641417+2.04697j -0.0506058+0.132109j -2.00716-1.13708j 0.114418+0.00314845j 0.123685-0.0450311j -0.147301+0.0386862j -0.168658+0.0136004j 0.150035-0.0291109j -0.18898+0.00037474j -0.00624297+0.0132919j 0.040436+0.117916j -0.268188-0.236429j 0.0335983-0.0118351j -0.337548+0.128687j -0.287876+0.0264617j -0.408824-0.167852j -0.0918314+0.0463837j -0.116468+0.534662j -0.0410583+0.205323j 0.0908207+0.210014j 0.191509+0.2869j -0.789746-0.126784j -0.273009+0.175941j -0.203914-0.0701099j -0.204811+0.103307j -0.121996+0.0455984j -0.315971-1.08247j 0.0180725+0.453628j -0.151979-0.0166441j -0.469586-0.188169j 0.0398688+0.604829j -0.721582+0.520995j -0.141498+0.284908j 0.837322+0.210006j 0.360288+0.307987j -0.245785+0.39852j 0.145043+0.452691j 0.418515-0.553043j 0.0613793+0.412863j 0.554488+0.237225j -1.02997-0.563283j 0.486791-0.9872j 
-0.0586404+0.00766293j -0.0882529-0.0945377j 0.0847307-0.0892394j -0.119341-0.15682j -0.0209556+0.15643j -0.269807-0.0560574j 0.0527824+0.106897j -0.0740894+0.281123j -0.11589-0.182457j 0.00845548-0.0378232j 0.133458-0.194206j 0.23306+0.254303j 0.250643+0.0068437j 0.241339-0.148027j 0.0222379-0.00838529j -0.0146446-0.240374j -0.167112-0.243267j -0.177321-0.175653j 0.260254+0.311134j 0.113264+0.0811308j -0.181195+0.140641j -0.0764244-0.429268j 0.294297-0.344011j -0.700346+0.130313j -0.195358-0.42265j 0.20348+0.532399j 0.368287-0.103732j 1.39823-1.00542j 0.02982-0.0198435j -0.233899+1.40049j 0.0368791-0.00323568j -0.167383-0.063746j 0.0566815+0.113742j -0.00775813+0.107226j -0.112688-0.163187j 0.10168+0.263237j -0.0128956+0.0166499j 0.197055-0.0337259j -0.267507+0.270303j 0.000777094-0.0848844j 0.13178+0.330227j 0.060629+0.401953j -0.147482+0.46735j 0.0862352+0.0672658j 0.639969+0.105821j 0.259164+0.0905917j 0.288212-0.112247j 0.37685-0.150308j -0.265193+0.905839j -0.0251014+0.169894j -0.0618087+0.149113j 0.150975+0.247464j 0.00128767+0.0734547j -1.14512+0.0623782j 0.554235-0.0406558j 0.0519091+0.151741j -0.278716+0.606614j 0.910339+0.256222j 0.444139+0.833658j 0.170871+0.39787j 0.68367-0.916504j 0.437888-0.347139j 0.189364+0.635947j 0.803525-0.203443j -1.02303-0.948603j 0.907071-0.00015511j 0.829284-1.07692j -1.63324+1.5265j -0.849786-1.10109j 
0.0176422+0.0461215j -0.216094-0.0797995j -0.0180994-0.441434j -0.107045-0.015936j 0.152733+0.265965j -0.0652352+0.569263j -0.132909-0.0806565j -0.282952+0.269708j 0.185628+0.222246j 0.237596+0.280822j -0.0111087-0.164455j -0.63639-0.421346j 0.407541+0.0635011j 0.385957-0.144321j 0.0460951+0.324292j 0.442084+0.473818j -0.0756318-0.388722j 0.824037-0.0987674j 0.503434+1.2861j 0.825421+0.381172j -0.269585-0.115968j 0.177544-0.140303j -0.186482-0.550675j -1.33928-0.413789j 0.81666-0.0219468j 0.650328+0.407807j 0.0817804-1.58912j 0.138518-0.11293j 0.0448067-0.124899j 0.321868-0.563926j 0.0189062+0.354912j -0.220218+0.230376j 0.0673044-0.106853j 0.0588562-0.520159j -0.331207+0.118899j 0.416126+0.0078085j 0.00496684+0.0206276j 0.0764403-0.238549j 0.168327-0.356085j 0.0165864-0.375264j -0.0241324-0.663285j 0.281719+0.0455093j 0.436788+0.029098j 0.283105-0.0374597j 0.0667689-0.196539j -0.20248+0.523933j 0.0320294-0.166968j -0.1526+0.470886j -0.233368+0.344838j -0.727809-0.0415167j 0.0194122-0.330688j -0.330232+0.188874j -0.418742-0.527599j -0.0736501-0.638367j 0.521115-0.264877j 0.205626+0.271296j 0.241213-0.126802j 0.410372+0.349836j 0.455457+0.543463j -0.247382+0.221059j -0.0382154+0.373213j 0.271632-0.870758j -0.578828-0.205136j 0.283537+0.143656j -0.539315+0.284727j -0.444232-0.72967j 0.656332+0.209806j 0.436943+0.237184j 0.391438-0.12744j 
0.0673267+0.000331489j 0.0775079+0.165503j -0.232103+0.174654j 0.0251571+0.132212j 0.0806385-0.142489j 0.290036-0.0958603j -0.00542594+0.0657037j 0.242928+0.00660964j 0.0330926-0.121574j 0.108106-0.224159j -0.251432-0.0826975j -0.0190774+0.358274j -0.0397415-0.278676j -0.0229038-0.216792j 0.212382-0.0968183j 0.178-0.304957j -0.204014+0.116355j -0.210193-0.490504j 0.555932-0.393607j 0.102349-0.503179j 0.102025+0.148256j -0.0822329-0.125188j -0.425883+0.147635j -0.0346644+0.892817j -0.319207-0.604407j 0.281735-0.691396j -1.10003+0.370867j -0.209604-0.00941329j -0.0569298+0.000599146j -0.226451-0.177403j 0.30232-0.0379575j 0.249127+0.258318j -0.000294598-0.116152j -0.539814-0.11022j 0.0530457+0.366321j 0.0613718-0.478319j 0.0445693-0.00545893j -0.333793-0.127886j -0.299742-0.234192j -0.50603-0.00269596j -0.543868-0.160876j 0.151722-0.296113j 0.159907-0.22272j -0.0688061-0.333172j -0.112508-0.197186j 0.558818+0.287488j -0.15447-0.0371007j 0.464097+0.165356j 0.248204+0.378347j -0.322527+0.940296j -0.383984-0.243595j 0.142058+0.329058j -0.574584+0.20825j -0.77486+0.0261784j -0.220154-0.694979j 0.565925-0.253045j 0.0224717-0.192864j 0.87986-0.838422j 0.784081-0.291376j 0.40712+0.58887j 0.205106-0.095787j -0.913104-0.724273j -0.520177+0.854262j 0.204367-0.693373j -0.0557024+1.32689j -1.49616+0.325326j 0.624496-0.913952j 0.77557-0.182908j -0.497122-0.124452j 
0.286198-0.00652281j 0.451333+0.0177801j 0.0904498+0.0134899j 0.322575+0.55208j -0.0639352+0.308296j -0.134845+0.173744j 0.0198964-0.403527j -0.361449-0.641928j -0.317384+0.167738j 0.0604704+0.198795j -0.819236-0.119092j -0.0132255+0.19088j 0.515986-0.0238558j 1.07056-0.548918j 0.730695+0.112981j 0.594307+0.551542j -0.526876-0.274791j -0.185636-0.31019j 0.246667+0.662631j 0.173261-0.448401j 0.185762+0.155582j 0.822719+0.119674j -1.19658+0.291762j 0.53827+0.872861j -0.600653+0.527257j -0.187893+0.0908126j -0.320724+1.60387j 0.657136+0.730561j 0.22759+0.0506182j -0.616712-0.800612j -0.435949-0.116937j 0.0572008-0.163656j 0.198824-0.429309j 0.453412+0.116454j 0.198314-0.19436j -0.0896505-0.042351j -0.0357942-0.0359139j -0.0998665+0.950754j 0.319815-0.0278688j 0.173128+0.0669153j -0.324469-0.34442j 0.0828584+0.389596j 0.607614+0.213884j 0.117196-0.180625j 0.61833+0.266562j 0.234496+0.476234j 0.168855+0.0356976j -0.575539+0.465016j 0.0676717+0.50394j -0.139569+0.114854j -0.124701-0.169734j -0.166372+0.491386j 0.266104-0.0934618j -0.151484-0.0803271j -0.606461-0.554951j 0.407029+0.432621j -0.602934+0.330342j -0.581634-0.255353j 0.189415-0.223021j -0.373964+0.338534j -0.273554+0.538508j -1.14719+0.441649j -0.147388+0.931436j 0.749323+0.0503189j -0.240436-0.633095j 0.285661+0.479548j -0.54198-0.0559941j -0.508192+0.578615j 0.675506-0.394266j 
0.223413+0.032979j 0.273561+0.176664j 0.112808+0.264423j -0.187065+0.150046j -0.178095-0.0899845j -0.330918+0.1081j 0.295909+0.293659j 0.337876-0.0326964j -0.0900701+0.147545j 0.220539-0.21117j -0.541525-0.499945j 0.0440671-0.413128j 0.112907-0.0391248j 0.233805+0.324506j 0.0778808+0.587447j 0.20834+0.282074j -0.289905+0.179746j 0.270449-0.491053j -0.716637+0.269551j 0.428166-0.671768j 0.163553-0.355335j 0.384281+0.964176j -0.412793-1.26258j -0.849343+0.832827j -0.0583448-0.562973j -0.535832+0.0187412j -0.30087-0.459291j -0.211191+0.680276j 0.132663+0.252185j 0.139374-0.751435j -0.0560459-0.511061j 0.215126-0.111699j 0.275767+0.322419j 0.0493583+0.575038j -0.0484732+0.324536j -0.102816+0.113632j 0.150933+0.00239406j -0.44624-0.323529j 0.0845082+0.106584j -0.336986+0.365853j 0.605666-0.4483j -0.262301-0.11917j -0.235893+0.355109j -0.19085-0.161464j -0.555953+0.224628j -0.361117+0.0273959j -0.287946+0.220984j -0.0651345-0.638023j -0.600866-0.365392j -0.684681-0.281445j 0.713588-0.227241j -0.411256+0.240242j 0.0958297+0.824048j 0.228561-0.529771j 0.137155-0.362537j -0.456051+0.191755j -0.347254-1.20239j 0.733165-0.648119j 0.138326+0.659105j -0.129285-0.916367j -0.705057-0.928506j -0.0736008-1.61619j -1.04011-0.384768j -0.36262+1.09191j 1.04623+0.124216j -0.70217-0.521233j 0.806132-0.091396j -0.372631-0.509276j 0.360763+0.738692j 
-0.0396399+0.101502j -0.170711+0.0955332j -0.213442-0.209731j -0.0293146+0.430513j 0.0744657+0.198076j 0.0431998-0.134421j 0.0586384-0.444038j -0.148262-0.377448j -0.0052391-0.336541j -0.487621+0.458084j 0.589935-0.139125j -0.180123+0.564759j -0.0691652+0.472916j 0.746935+0.476276j -0.0111715-0.149098j -0.380682+0.215729j 0.566054-1.07142j 0.028902+0.00536988j 0.199037+0.338846j -0.220167+0.997016j -0.258349+0.686036j -0.284994-0.00389308j -0.619983+0.5324j 0.279004+0.0519242j -0.957414+0.059628j 0.63909-0.0321304j -1.45285+0.999611j -0.101763-0.0744079j -0.0810784+0.0250683j 0.161962-0.121152j 0.362208+0.0570981j 0.0767972+0.341483j 0.363475-0.0678942j -0.402208-0.0461055j 0.184412+0.0668462j 0.27254-0.0386301j -0.146368-0.0852485j -0.838234-0.149835j -0.0770692+0.31654j 0.484049+0.055554j 0.0270219+0.289319j -0.494811-0.127545j -0.425218+0.407568j 0.372346+0.377117j -0.263445+0.662958j -0.32931-0.00436314j 0.226301-0.154154j -0.392523-0.40078j -0.462519+0.388962j 0.384482-0.337572j -0.116425+0.0484189j -0.312436-0.80177j 0.301161-0.309729j -0.0232389+0.125482j 1.20565-0.0785824j -0.729467+0.749561j 0.107111-0.179883j 0.325989-0.111363j 0.27244-0.516483j -0.665721+0.18176j -0.00303546-0.16738j 0.17855-0.665554j -0.555869-0.646159j -0.393535+0.416055j -0.170507-0.0708714j -0.492374+0.406779j -0.0887573-0.473191j -0.32392-0.46556j -0.0699635+0.631006j 
0.0555605-0.303964j -0.119013-0.0974896j -0.447235+0.330263j 0.531199-0.27294j 0.0799421-0.20366j -0.565838+0.158921j 0.174362+0.236216j 0.324509+0.773233j 0.248263+0.238626j -0.0927406-0.0866683j 0.233928-0.166803j -0.0181135-0.304338j -0.973235-0.183745j 0.33441+0.163802j -0.597033-0.546633j 0.677496-0.138736j 0.361164-0.573313j -0.557868-0.471776j -0.0560129+0.612939j -0.219985+0.883762j 0.373608+0.0380126j -0.974827+1.04918j -0.510921+1.3106j -0.534007+0.200459j -0.239791-0.823456j -0.303913+0.661405j 1.10246+0.221001j -0.535881-0.694753j 0.0337319-0.163083j -0.155798+0.553375j 0.151611+0.149179j 0.415035-0.0132722j -0.591792-0.229648j 0.311811+0.335681j -0.22345+0.018436j 0.259574-0.00958082j 0.0466594-0.03847j 0.391324-0.577609j 0.0838101-0.194758j 0.0626522-0.0700051j 0.162382-0.240689j -0.426891-0.898902j 0.267067+0.184022j -0.286273+0.239904j 0.0402992+0.147833j 0.0125865-0.801347j 0.050371-0.113698j 0.617134+0.473945j -0.180448+0.742309j 0.21948+0.195399j 0.637783-0.0296214j -0.549032+0.00938599j 0.129367-0.48461j 0.226035-0.169286j 0.0311404+0.199683j 0.0961492-0.151537j -0.101085-0.75976j -0.535109-0.0176657j 0.6366-0.491819j 0.644788+0.243141j -0.415695-0.338389j -1.02913-0.0861657j 0.574271+0.557216j -0.0206231+1.04191j -0.103692-0.0909196j -0.162726+0.219415j -0.0740226+0.546492j 0.562576-0.232085j -0.356826-0.0909886j 
0.156486+0.0451565j 0.113142+0.204879j -0.109659+0.299673j 0.0493172-0.122857j 0.147593-0.176004j -0.19811+0.00319904j -0.234698+0.264951j -0.0568925+0.320739j -0.157954+0.0220929j 0.481912+0.126517j -0.0862921-0.476705j 0.462124-0.116788j 0.307824-0.0859825j 0.114565-0.274568j -0.260103+0.347721j 0.0560908+0.230588j -0.636062-0.172736j 0.24913-0.0223338j -0.248578-0.467219j 1.13709+0.107827j 0.506975+0.0713991j -0.177263+0.549285j 0.859978-0.276048j -0.474209-0.397766j 0.414965+0.327997j -0.230884-0.703502j 0.927742+0.286474j -0.383924+0.096044j -0.0876829+0.116045j 0.268303-0.206239j 0.42871-0.226218j 0.398568+0.125108j -0.210935-0.204688j -0.451772+0.184905j -0.147766-0.259163j -0.0461463-0.218313j -0.122299+0.237643j 0.037725+0.381295j 0.126853+0.196827j -0.0919663-0.657878j 0.408899+0.59337j -0.236929+0.205064j 0.0130586+0.194084j 0.601297-0.43159j 0.449038+0.13994j -0.188412+0.0359957j -0.154432-0.515842j -0.00373+0.183907j 0.59982-0.019812j 0.252931-1.04566j 0.0783351+0.61163j -0.916627-0.288369j -0.682254-0.515731j 0.563907+0.46067j 0.604754-0.778387j 0.700706+0.875615j 1.01441-0.222054j 0.242459+0.434933j -1.10145-0.589769j 0.621368+1.13053j 0.81735-0.286077j 0.689731+0.0143165j -0.298466-0.436397j -0.338661-0.0956483j -0.530366+0.962948j 0.67081+0.424318j -0.409738+0.421099j 0.0264227+0.140688j -0.227166+0.505908j 
