-0.00754277-0.0423504j 0.0540604-0.0303974j 0.0435279+0.00561929j -0.00342912+0.10485j 0.0257971+0.0339412j 0.0305173-0.052889j 0.0380605-0.101173j 0.0214726-0.0236768j -0.0499507+0.0873179j -0.0197629-0.170293j 0.0264413-0.0474208j -0.00178229+0.0617999j -0.00169848-0.0593325j -0.0333516-0.0918676j 0.181538-0.147882j -0.110265+0.031142j 0.105307+0.0273595j 0.0365521+0.0178688j 0.0250515+0.190067j -0.0053022+0.138885j 0.0219329+0.00860683j 0.0215762+0.195916j 0.025203+0.224416j 0.0896853+0.0488834j 0.175306+0.000529414j -0.286594+0.0412452j 0.197439-0.117581j 0.0126185+0.0172241j -0.130988+0.14465j 0.132659-0.0188847j -0.0687012-0.324888j 0.0511262+0.0350689j -0.00717946-0.0603609j 0.507989+0.0823545j 0.214025-0.0203012j -0.0317906-0.0120648j -0.267189+0.301174j 0.0770469+0.378426j -0.0489294+0.122508j 0.0147296+0.326719j 0.243191-0.291016j 0.435616-0.109132j -0.461705-0.429556j 0.0312501+0.177944j -0.439469-0.0282228j 0.157078-0.719524j -0.352998+0.124295j -0.0432979-0.179167j -0.480303+0.366941j 0.675077+0.540499j -0.783663-0.28058j 0.152254-0.559648j 
0.189451+0.238653j 0.216794+0.049361j 0.118276+0.117948j 0.361648+0.0829878j 0.241525+0.38126j -0.17249-0.0656817j 0.277893-0.326088j 0.121136-0.0425045j -0.0408224-0.101118j 0.08261-0.14613j -0.193234-0.00148353j -0.304967+0.238131j -0.243268+0.194478j -0.486505-0.614783j 0.441251+0.117326j 0.481395-0.50251j -0.311122-0.136774j 0.325855+0.105638j -0.274008+0.308209j -0.113652-0.07582j -0.297224+0.462788j -0.174098-0.141949j -0.0636143-0.0321372j -0.136569+0.149667j -0.200554-0.241803j 0.0897561-0.130994j -0.555171+0.229086j -0.461666+0.0363582j -0.278986-0.476845j 0.0347026-0.191289j 0.0281595-0.289362j 0.141272-0.0175913j -0.0681254-0.349576j -0.118761-0.160547j -0.31372+0.071858j -0.0400398+0.0338865j -0.167848-0.23929j -0.178741+0.0433592j 0.210728+0.133359j -0.106517-0.108655j 0.042022-0.24014j -0.233179+0.0682629j -0.16368+0.29193j -0.0290655-0.0328545j -0.104678+0.0446355j -0.150094+0.194572j -0.173845-0.0512852j -0.0739505-0.149653j -0.209669-0.237995j -0.170377-0.0733635j -0.116032-0.234052j -0.04553-0.0681232j 
-0.0338959-0.39015j -0.125251+0.348654j 0.282536-0.183806j 0.232315-0.223055j 0.186559+0.219695j -0.193186+0.244623j 0.0595245+0.225541j -0.227623-0.0445197j 0.0721309+0.366976j -0.202078-0.152035j -0.149328-0.456884j -0.088845-0.248676j -0.482217+0.342975j 0.0417902-0.275912j 0.269112+0.207034j -0.0173326+0.306204j 0.258717-0.166901j 0.0499118+0.275926j -0.105428-0.229806j -0.312914+0.512192j 0.35053+0.15793j -0.357537-0.134635j 0.668186+0.00785143j -0.153337-0.13089j -0.270048+0.0873899j -0.143599+0.020318j -0.305726+0.00210911j 0.119613-0.0543606j 0.0507008-0.0226377j -0.231899+0.41326j 0.354083+0.0731685j -0.245637+0.099649j 0.0186225-0.165194j -0.311248-0.151864j -0.36207+0.232645j 0.236195+0.272727j -0.0650374-0.207913j -0.106041-0.0470436j -0.0616335+0.0638073j 0.0964164-0.112602j -0.301903+0.057992j 0.0356013+0.416371j 0.0649824-0.0527765j 0.341924-0.0965905j 0.213912+0.0995059j -0.140626+0.095485j -0.0659814+0.152265j 0.10688+0.105923j -0.0157063+0.204466j 0.112493+0.136451j 0.12529+0.135083j 0.0876521-0.0353297j 
-0.309566+0.308366j 0.377249-0.163748j 0.253822+0.353188j 0.173414-0.581243j -0.303488+0.306743j 0.625068+0.00576964j -0.347343-0.0805845j 0.0355347+0.286318j 0.0223423+0.519184j 0.00221686+0.0684539j 0.280138+0.0420968j 0.197831-0.625035j -0.527904-0.106541j 0.274212+0.295622j -0.0254656-0.280131j -0.304123+0.111829j -0.343458+0.0600957j 0.43672-0.014138j 0.543589+0.374277j 0.141678-0.186052j 0.161596+0.0711429j 0.118423+0.255138j -0.217807+0.408006j 0.239184-0.0318276j -0.00640162+0.231094j -0.02423+0.0731074j -0.245537+0.00466842j -0.347708+0.235434j -0.188032+0.143897j -0.177933-0.309481j -0.110398-0.365033j 0.065007+0.0848781j -0.17415-0.357779j 0.0657591-0.0581234j 0.0885403-0.0398033j 0.103132+0.0283962j -0.201559+0.0126219j 0.151351-0.228272j -0.161918+0.118324j -0.177666+0.00490548j 0.269425+0.0308958j 0.0617941+0.0483361j -0.348028-0.0265575j 0.0498752+0.0586421j 0.0536894+0.0475994j 0.209219-0.179016j 0.0793222-0.0618492j 0.0727872+0.0222641j 0.316988-0.105617j 0.177757-0.0416117j 0.122746-0.0617688j 0.0337288-0.0463785j 
0.318478-0.538013j 0.616069+0.0606568j -0.510742+0.337576j -0.423266-0.370038j 0.0651054+0.182756j 0.28812+0.0228066j -0.240396-0.634461j -0.471682+0.236696j -0.0184332+0.121728j -0.312987+0.501602j -0.616805-0.106764j 0.349477+0.271884j -0.0291968-0.40614j -0.0433985-0.183935j 0.0142292+0.496398j -0.433867-0.430825j 0.0201554+0.11372j -0.286504-0.00158575j -0.661008+0.170396j 0.00409073+0.0317366j 0.0681909-0.0155296j -0.174707+0.438496j -0.172588+0.0244863j 0.148755+0.211124j 0.0122739+0.00355958j -0.188164-0.378496j 0.196964+0.19746j 0.233778+0.0619349j -0.11218+0.0744472j -0.0882398+0.31665j 0.118465-0.22498j 0.0269261-0.025339j -0.0719962+0.178412j -0.0578856+0.219272j -0.0355128+0.0205622j 0.10411+0.0435104j -0.113191-0.0712867j -0.182708-0.193866j -0.0817053+0.0880349j 0.00714142+0.0702069j -0.010403-0.114416j 0.0146275-0.0158218j -0.0564998+0.179869j 0.00768695+0.0912447j 0.0170839+0.0367908j -0.0931666-0.0928978j -0.00897344-0.0582687j 0.0412678-0.0167243j -0.027544-0.147323j -0.103805-0.0737002j -0.00283353-0.10343j 0.0701641-0.0179906j 
0.0718554+0.00773082j -0.0140943+0.140451j -0.110079+0.0867208j -0.0690915-0.106437j -0.0532776+0.00932263j 0.040299+0.0737978j 0.0579844+0.0715444j 0.0430763+0.031838j -0.125766-0.141214j 0.215384+0.127047j 0.0560403+0.0926708j -0.0534911-0.112091j 0.0653604+0.0686663j 0.115386+0.0191145j 0.0415014+0.270474j 0.0765901-0.169212j -0.0905055+0.153294j -0.0222663+0.0144405j -0.135935-0.172885j -0.175128-0.26615j -0.0594864-0.0490079j -0.22277-0.253352j -0.284373-0.165931j -0.185331-0.0441843j -0.158488+0.1468j 0.438233-0.301189j -0.219681+0.298245j -0.0850164+0.0712093j 0.0897049-0.248137j -0.388707-0.26464j 0.208436+0.434949j -0.0593711+0.0119866j 0.108896-0.145544j -0.51942-0.319768j -0.228643+0.0141594j 0.00930542+0.312822j 0.440455-0.588884j 0.294061-0.423583j -0.200246-0.210463j 0.0644772-0.283943j -0.508249-0.126249j -0.65304+0.136485j -0.241654+0.607892j 0.0882573-0.0353546j 0.346379+0.65616j -0.424015+0.042802j 0.141067+0.581219j -0.861791+0.100172j -0.0825983+0.546514j 0.443332+0.349537j -0.19589-1.90961j 1.60611+0.637866j 
0.034563+0.158874j 0.044735+0.0309721j 0.183206-0.209835j -0.433902+0.165107j -0.0179027+0.0137237j 0.0784485+0.0495103j 0.418415+0.0115462j 0.00683494+0.0748549j 0.0308961-0.202864j 0.389913-0.138102j -0.0352752+0.0555368j -0.249055+0.275154j 0.180381-0.0584955j 0.254247+0.00551346j 0.341568+0.254804j 0.266059-0.108861j -0.312117+0.0815608j 0.041428+0.0195968j -0.195393+0.0964103j -0.0501268+0.39959j -0.0565466+0.064841j 0.0784363-0.357898j -0.470409+0.272472j -0.184219-0.155721j 0.36209+0.0853688j -0.0504824+0.127748j -0.151817+0.103592j -0.0363765+0.219002j 0.163886+0.0124404j 0.128626-0.498572j -0.0478629+0.224988j -0.0834339+0.0261087j 0.248858+0.683345j 0.745805+0.0132086j 0.504182+0.238237j 0.307613-0.146801j 0.363586+0.357451j -0.162498+0.222487j -0.654222+0.10226j 0.265002+0.0268827j 0.543707-0.516982j 0.100386-0.402342j -0.133392-0.727531j 0.451204-0.239334j -0.709623+0.333934j 0.370412+0.30853j 0.166459+0.2406j -0.422996-0.192509j -0.626283+0.35187j -0.609878-1.59234j 0.190948-0.583389j -0.00890468+0.194136j 
0.146733+0.0691808j 0.0189857-0.278448j 0.0872061-0.324972j -0.0198766+0.368178j -0.0469044+0.175669j -0.116807-0.0762255j -0.0154841-0.016112j -0.196718+0.188101j 0.415943-0.0778669j -0.103166-0.284399j -0.10031-0.44071j 0.224228+0.279785j -0.0776295-0.0875484j 0.145417-0.0107905j -0.164336+0.336345j 0.152955-0.014649j -0.334345-0.0730369j -0.275778-0.201525j -0.256512-0.193455j 0.107791+0.292654j 0.315208+0.0699795j -0.380331+0.356202j 0.181573-0.630734j 0.180966+0.0789941j -0.15753+0.0377171j 0.0512272-0.0272668j 0.237723+0.288678j 0.280056+0.244856j -0.115844+0.0337752j 0.332235+0.659432j 0.47138-0.0437689j -0.425172+0.185878j -0.209927-0.343382j -0.756647+0.348143j -0.19909+0.00286794j -0.140833+0.0741704j -0.0935807+0.607251j 0.265009-0.0661374j -0.409638-0.335061j 0.315571-0.0332334j 0.0512891+0.816197j 0.124325+0.402481j -0.378382-0.623482j -0.626965-0.0831815j -0.856338-0.303067j -0.682063-0.555248j -0.430346+0.931449j -0.547309+0.504838j -1.03163+0.140429j 0.19879-0.845111j -0.43018-0.368037j 0.847051+0.214278j 
-0.0461967+0.00584945j -0.130238-0.271394j 0.151751-0.22508j -0.155227+0.406889j -0.0385321+0.155882j 0.0751523-0.122761j 0.493149+0.141229j -0.0686171-0.0103628j -0.0064803-0.116139j -0.0934549-0.332704j 0.212214+0.117031j -0.132218+0.383194j 0.0661323+0.177865j 0.0870368-0.286077j 0.231728+0.263526j 0.0823527+0.365166j -0.020461-0.155722j 0.563918+0.0681007j 0.389914-0.151882j 0.283493-0.14372j 0.181551-0.121152j 0.0492832+0.371112j 0.216978+0.0997282j 0.244503-0.574115j -0.318358+0.00132673j -0.0909084+0.0991556j 0.018672-0.51243j -0.295633+0.149551j 0.14593+0.000359813j -0.00178664-0.437563j -0.496498-0.168671j -0.232726-0.393946j -0.0835672-0.286006j -0.298081+0.227906j -0.840163-0.118606j -0.124998+0.446353j 0.496765+0.758389j 0.748526-0.421082j 0.0373184-0.586528j -0.460394-0.265336j 0.457855-0.568701j -0.467076+0.462525j 1.00787-0.122653j -0.0118517-0.656067j 0.459359-0.504301j -0.625103+0.132432j -0.133642-0.239913j -0.394276-0.603652j 0.543226-0.673417j -0.690221+0.653837j -0.0219953+0.033009j 0.409082+0.375356j 
-0.0950612-0.0652704j -0.214351-0.231531j 0.12454-0.00861833j 0.106844-0.239226j -0.0430003+0.378336j -0.207212+0.0926398j 0.229621+0.228362j 0.130678+0.0316322j -0.0251083-0.189153j -8.41046e-05-0.463986j -0.0961167-0.0335954j -0.301461-0.177003j 0.229499+0.0776689j -0.538426+0.0644295j 0.201786-0.0836683j 0.161208-0.0500581j 0.384393+0.186433j -0.426734+0.220468j 0.611483-0.424517j 0.0820395-0.183261j -0.0107744-0.172674j 0.151143-0.865503j -0.00919307+0.311546j -0.25821-0.147917j 0.544668-0.351093j 0.396092-0.176556j -0.000428599-0.0218482j 0.0426767-0.150789j 0.39622+0.24846j -0.619144-0.090401j 0.25392-0.567472j -0.042634-0.343272j -0.200477+0.358758j -0.0971422+0.14899j -0.136767+0.125244j -0.406555-0.52382j 0.416194-0.489381j -0.148676+0.468848j 0.952943-0.544698j 0.438832+0.100726j 0.00295643+0.802011j 0.753375-0.271796j -0.297941-0.0767169j 0.916453-0.373922j 0.411933-0.103039j -0.0415456+0.313063j -1.05057+0.359906j -0.106318+0.821783j 0.199002-0.570959j -0.627924-0.323213j 0.594049+0.323034j -0.219939-0.492615j 
0.121226+0.0550444j 0.385283+0.257334j 0.0115312+0.0661237j -0.45704+0.246886j -0.11229-0.169896j 0.0857095+0.292867j -0.108581-0.297983j 0.118681-0.264216j -0.0705052+0.222289j -0.112424-0.281654j 0.124723+0.275572j 0.112884+0.316211j -0.138023+0.135864j -0.198589+0.335323j 0.0432466+0.209135j 0.205644+0.548902j -0.56169-0.462615j -0.203462+0.0558365j 0.317844-0.030159j 0.130098-0.0100657j -0.0374904-0.486489j -0.079685+0.206773j -0.0299169-0.687774j 0.0936489-0.308841j 0.330867-0.285399j 0.848205+0.1733j 0.673042+0.0408856j 0.00183959+0.0789979j 0.0742246-0.0136289j 0.196048-0.116232j -0.0992447-0.0147426j -0.150077+0.941985j 0.915087+0.158132j 0.518014+0.65282j -0.614089-0.135988j 0.122081-0.34691j 0.262572+0.115307j -0.0613692-0.297845j -0.243048+0.0680399j -0.360898+0.375034j -1.08881-0.167436j 0.518963-0.634266j -0.410152+0.998358j -0.191425+0.414005j 0.540986-0.16658j 0.474921+0.390884j -0.780547-0.154739j 0.146359+0.185183j 0.900146-0.45996j 0.18653+0.370398j -0.404265+0.0602697j -0.199329+0.600523j 
0.0262265-0.0369681j -0.0500894-0.0346999j -0.0803911+0.0210328j -0.169072-0.0462377j -0.307807-0.135761j 0.0488265+0.0142879j 0.191401+0.142315j 0.0411106+0.0553849j -0.0951157-0.247593j -0.290822-0.2066j 0.0511833+0.129825j 0.157942-0.152498j -0.0222594+0.0368957j -0.408061-0.476157j -0.422195-0.262863j 0.096946+0.135812j -0.377079-0.286139j -0.253061-0.307848j -0.0510692-0.11573j -0.172984+0.00818612j -0.0488066+0.188205j -0.0999586-0.762417j -0.451679+0.236065j -0.168378-0.0562661j 0.348768+0.289971j -0.102806-0.21823j 0.49335-0.239017j 0.192708-0.141382j -0.985855-0.324627j 0.708245+0.294845j -0.655041-0.659698j 0.00409816-0.902632j 0.33992-0.299708j -0.591796-0.714724j -0.261072+0.250677j -0.184634+0.00886001j 0.548099-0.590811j 0.0638254-0.191792j -0.303787+0.309761j 1.10483-0.204481j 0.771335-0.365501j 0.170898-0.294966j 0.258586+0.0328749j -0.457854+0.686506j 1.09064-1.48525j 0.175453-0.0108888j -0.228405-0.0270681j 0.119133-0.140437j 0.142084+0.140331j -0.152038-0.0759552j 0.0934798+0.242979j 0.0420117-0.0579675j 
