0.0684226+0.0436129j -0.0273605-0.111944j -0.0215574+0.277177j -0.139973+0.318726j 0.341666+0.134598j -0.185631+0.104965j -0.00436002+0.09305j -0.114976-0.129494j -0.11526+0.111433j -0.0986801-0.0287523j 0.206222+0.151158j -0.0226998+0.0707124j -0.00499198-0.0405591j 0.0327842-0.121217j -0.0600977-0.125412j -0.109021+0.110322j 0.0331068+0.0219632j 0.0768207+0.0572767j -0.0111958-0.017404j 0.0114498-0.00506207j -0.0755825+0.0211898j -0.0595199+0.0903771j 0.029689-0.0325385j 0.0908737-0.0497518j 
-0.0274834-0.0339705j 0.0125028-0.0149699j -0.0388526+0.0189086j 0.0201788-0.0593811j -0.059039+0.00227183j -0.0358305+0.0389494j -0.170449+0.0848191j -0.013466+0.0208815j 0.0750183+0.0322375j 0.0325936-0.0215183j 0.104877-0.0248798j 0.0782912+0.0669106j -0.174122-0.0755181j -0.0366773+0.178833j -0.047316+0.0329392j 0.000412821+0.107339j -0.0982535-0.084533j -0.0795451-0.0807289j 0.00281356+0.127394j -0.00428149-0.0912928j 0.119226-0.0882688j 0.0620712+0.0925183j -0.047631+0.0456046j 0.0117801-0.0137559j 
-0.0188245-0.000150418j 0.00731081-0.0737828j -0.00984774-0.0543342j 0.00425974-0.0393388j -0.0778713-0.0292254j -0.00636814-0.0336184j -0.0810249+0.00474911j 0.101629+0.0359812j 0.0223714-0.0823937j 0.0535024+0.000562415j 0.13571-0.0144888j 0.0580276+0.0395779j -0.0435501+0.0526666j -0.0243764+0.0890403j -0.0737234-0.0956088j -0.0442798+0.197798j -0.0177548+0.0691113j 0.088749+0.0128763j 0.1101+0.0438359j -0.0108515-0.0342542j -0.122632+0.018348j 0.0476676+0.0820088j -0.0164961-0.104376j 0.0753508-0.0397817j 
-0.0110488+0.012427j 0.0425181-0.0513706j -0.0178384-0.0059903j -0.00524677-0.0446973j -0.0396468+0.0451099j -0.112017+0.112893j -0.0162113+0.0472506j -0.11779+0.00133888j 0.052265-0.0279455j 0.00477969-0.00724224j -0.192415+0.0698033j 0.0885434+0.0561043j -0.038805-0.0401736j 0.0185005+0.114588j -0.127653-0.000684478j -0.0984266-0.171695j 0.0625208+0.0753409j -0.0212426+0.00682828j -0.00981631-0.0409066j -0.0150518-0.0215235j -0.0117209+0.100795j 0.0906465+0.127106j -0.0712932+0.0654849j 0.0638402-0.0926146j 
0.00850011-0.00181645j -0.0212817-0.00998806j 0.0422236+0.0512766j -0.0345241-0.0114109j -0.0359257+0.0205142j 0.0357065-0.00987208j 0.0428616-0.0344692j 0.0718225+0.0622127j -0.0222442-0.0307361j 0.0707806-0.00538847j 0.014517+0.0371503j 0.0284702-0.032451j 0.0457284-0.0311662j 0.0120701-0.0463657j -0.123041+0.0593301j -0.0131012+0.0278529j 0.291995-0.109784j 0.145218-0.0586479j -0.0796233-0.0258923j -0.000217537+0.0260231j 0.087406+0.303584j 0.0134179-0.0485571j -0.105392-0.107071j -0.0541074-0.163737j 
0.00744992-0.013234j 0.0139405+0.0303156j 0.00266595+0.0839723j 0.0230795-0.0305008j 0.0241347-0.00895234j -0.0265057-0.00228334j -0.0747291-0.0656673j -0.0354979+0.00868365j -0.0143694+0.0413554j -0.00859152-0.0289985j -0.00420031+0.100813j -0.018995+0.0411119j 0.00754909-0.0655471j -0.047507-0.00387498j 0.0112775-0.0106971j -0.126473-0.0732435j -0.0351528-0.346734j -0.00354935-0.121174j -0.0397962+0.0246269j 6.89995e-05+0.0191824j 0.300642-0.0197765j -0.19262+0.00944417j -0.0620317+0.066368j -0.147071+0.08236j 
-0.016181+0.00199804j 0.0271652-0.05098j -0.00899223-0.00461746j -0.0129947-0.0796723j -0.0125683-0.0253265j -0.0526361+0.00454013j -0.0491585+0.0588726j -0.074493-0.0297126j 0.0502852+0.0192193j -0.0170656+0.0135476j 0.0538516-0.045781j 0.0534151+0.0106114j 0.0519294-0.265642j 0.0377764-0.00724503j 0.00345507+0.0943463j 0.0436799+0.0629886j -0.0748159+0.0904435j 0.0184348+0.0657427j -0.115096+0.0192836j 0.2381+0.0606655j 0.0065508-0.0385609j 0.147454+0.0557644j 0.0101392+0.0413618j 0.0682737-0.0286314j 
-0.0111979+0.0103526j -0.0146521+0.00629859j -0.0343353+0.0180204j -0.0229753-0.0214016j -0.0110353+0.0378461j -0.00172562-0.0473067j 0.105461+0.12959j 0.0908617+0.00366287j 0.025208-0.120672j -0.0034694+0.028277j -0.0345474-0.0510687j 0.0530953-0.00966759j -0.1265-0.227682j 0.0441968-0.266278j 0.053717+0.0051862j 0.114257-0.0281675j -0.0282039+0.0296328j 0.110767-0.0509072j -0.192504+0.0954861j 0.256448-0.0382639j -0.014419+0.0097965j -0.112352-0.0431738j -0.00279289-0.048381j 0.0169085+0.0530642j 
-0.019446-0.0257998j 0.0618014+0.0298435j 0.0703098-0.0416367j 0.0497026-0.0386089j -0.0207389-0.0199018j 0.0124362-0.0699534j -0.121903+0.0636456j 0.0875665+0.012705j 0.0883259+0.046915j -0.0422281-0.0273549j 0.048294+0.0216831j -0.00305111+0.0770312j 0.300467-0.0327714j 0.146429+0.0202683j -0.130863-0.00180219j -0.0255888+0.102798j -0.129939-0.033858j -0.029439+0.0233164j -0.0841177-0.196014j -0.00921629+0.319511j -0.020758-0.0280927j -0.0781023+0.111142j -0.00453799-0.0344044j 0.0324288+0.101374j 
0.00650535+0.0287067j -0.0364743-0.0164176j 0.015314+0.0223905j -0.0353186-0.00301085j -0.0236655+0.0475583j 0.0539582+0.107986j 0.0161648-0.0443044j -0.0830539+0.0594471j -0.0276317+0.0146351j -0.0301743+0.0224519j 0.0335764+0.021602j 0.0142752-0.0452523j 0.0115731-0.110348j 0.0259639+0.0225343j -0.0538387+0.203976j -0.0754848+0.0286257j 0.030135-0.0439878j -0.0671464+0.0521145j -0.120477+0.00885011j 0.0802823+0.0224488j 0.105186+0.0344093j 0.192281+0.060173j -0.0446897+0.0727931j -0.0407062-0.0839312j 
0.00709963-0.006664j -0.0275187-0.00661418j -0.0445097-0.0174714j 0.00402954+0.017742j 0.0280461+0.0239321j 0.00695878+0.00619608j 0.0455386-0.00244362j 0.0678972+0.0338009j 0.0129594+0.00189274j -0.00710899-0.00928721j 0.0312407-0.00203363j 0.0359316-0.0321492j -0.128934+0.0413599j -0.115832+0.000939819j -0.0616043+0.0404553j -0.0603723+0.0352637j -0.187587+0.00343623j -0.055714-0.049868j 0.0267542+0.136019j 0.000234771-0.0835028j 0.0397011-0.111648j 0.0273335+0.185895j 0.0124818+0.00426758j 0.0389008+0.0769165j 
0.0182689-0.0191557j 0.0121874+0.0662408j 0.00239966-0.0522733j 0.00458115-0.0111078j -0.00413312-0.0289722j -0.0116799-0.0190731j 0.00117266+0.0304601j 0.0570176-0.00726091j 0.0150684-0.00829267j -0.001884+0.011839j -0.0888645-0.0432807j 0.0105917+0.0204372j 0.0188136+0.0154676j -0.00874774-0.0335131j -0.00773676+0.0189051j 0.0319546-0.083736j -0.0212909-0.0487034j -0.0279431-0.04288j -0.00345845-0.00447112j 0.0163196+0.0238142j 0.0248386-0.0203102j -0.0692067+0.0404614j -0.0570907-0.0456037j -0.00120382-0.0115709j 
0.00926559+0.0139297j -0.00759988+0.0153694j -0.0136324-0.025849j 0.00641902+0.0188221j 0.0456368-0.0121543j 0.00129217-0.0565927j 0.00535355+0.00741663j 0.074694-0.0229185j -0.00564423-0.0244903j -0.002162-0.00715215j -0.0129007+0.0433877j -0.0027466+0.00589574j -0.0696241+0.0256811j -0.098334-0.0545597j -0.0672521-0.053419j -0.010965-0.00375617j 0.0345345+0.0456078j -0.0370614-0.0879966j 0.0204167+0.0413624j 0.0435925-0.0657166j -0.0402143+0.0446361j -0.0700712+0.107927j -0.0734386-0.00602972j 0.0881929-0.0205857j 
0.000162734+0.0151814j -0.0185389-0.0343136j 0.00994814-0.0116127j -0.0160108+0.0124288j -0.011522+0.00192529j 0.0329426+0.0345332j 0.0184915-0.0267277j 0.0183926+0.0238129j -0.0558094-0.00128447j 0.0162241+0.0363886j 0.0163879+0.0320918j -0.0319574-0.0343892j -0.00245234+0.00582079j 0.0327331-0.0321441j -0.0258918+0.0304881j -0.0368181+0.0604937j -0.0230906-0.0185336j 0.0461787-0.0106047j -0.0351215-0.0355565j -0.0104975-0.000622548j 0.0242166-0.0134954j 0.0510429-0.0360947j 0.0555677+0.0171284j -0.0571756-0.000883684j 
-0.0158196+0.00849959j -0.00431066+0.0446829j 0.00753569+0.0274283j -0.000126728+0.0161952j 0.0538221-0.00781367j -0.0261414-0.00958309j 0.0610961-0.0216454j 0.0715108+0.00311397j -0.0223535+0.0194583j -0.0227607+0.00862599j -0.0863077-0.0210477j -0.0180775-0.0427343j 0.0208961+0.0309124j -0.0418781-0.0135721j -0.13235+0.066172j -0.0138874-0.0519599j 0.018522+0.0348643j -0.0215892-0.037775j 0.0123264-0.0481514j 0.00495971-0.0252529j 0.00168651+0.0889066j 0.0230199+0.127854j -0.046987-0.0535946j 0.0415287+0.0216795j 
-0.0217552-0.00457205j 0.0136112-0.0139157j -0.0117399-0.0283446j 0.00302156+0.0264057j -0.0332663-0.0269703j -0.0499465-0.0219149j -0.0133561+0.0131106j -0.0116705-0.00361643j 0.00952378-0.0104971j 0.0189511+0.0165592j -0.0328542-0.0240356j 0.0505983+0.02002j -0.00233643-0.0689564j -0.0481183+0.0428159j 0.00883269-0.016327j 0.0191531-0.0528246j 0.0113666+0.0128164j -0.0383339-0.0179594j -0.0221954-0.0137296j 0.0274332-0.0504027j -0.010392+0.029392j -0.0414099+0.0623287j -0.0525327-0.0292858j 0.0628234+0.030109j 
-0.0131463+0.0060146j -0.0121776-0.0161535j 0.00393269-0.00716455j 0.0232482-0.00831201j 0.0369474+0.0276049j 0.0412661-0.00286559j 0.00343002-0.0072501j -0.010368-0.0056876j -0.0109302+0.00929984j 0.0286559+0.0188998j -0.0114404-0.030558j -0.0406262+0.0101744j -0.0447284+0.0539075j 0.055773-0.0153924j 0.0928416+0.0328857j 0.0344829+0.00279161j 0.0225445-0.00223954j 0.0215965+0.0862909j 0.0275808+0.0579403j -0.0183494-0.0176325j -0.00509198-0.00763541j 0.0476772-0.123615j 0.0348765+0.0259332j -0.0373169+0.000978494j 
-0.00144249+0.00493753j -0.0235995-0.00346209j -0.00412212+0.00870719j -0.0104867+0.0165661j -0.01621-0.0284907j 0.0334277+0.00498205j -0.0285529-0.024586j 0.0137766+0.0345885j 0.00389672-0.00103981j 0.0281643-0.00560097j 0.0152735-0.000880651j -0.0783518-0.00983938j -0.0793712-0.0283002j 0.0545978-0.0239309j 0.114966+0.0161475j -0.00253844+0.0359767j -0.00743736-0.0439433j 0.0143731+0.041893j -0.0153082+0.0241619j 0.0126016-0.0598777j 0.0294678-0.0873383j 0.0231896-0.129404j 0.0440414+0.0237145j -0.0591147-0.0115451j 
0.0117819-0.0101851j -0.037668+0.0180938j 0.00602035-0.0378926j -0.0356449+0.0103418j 0.0276682-0.00908498j 0.044524+0.00339309j 0.0135666+0.00874246j 0.0387052+0.0177413j 0.00178131+0.00197571j -0.021819-0.00570344j 0.0294401-0.023125j -0.0454962-0.0400931j -0.00990021+0.0203833j 0.0586475-0.0602359j 0.0671675+0.0301065j 0.0317804+0.068109j -0.0246235+0.0100462j 0.0486901+0.0240255j 0.0152431-0.0114237j 0.00417542-0.00724327j -0.000377939-0.0589033j 0.0425317-0.0944378j 0.0385872+0.012685j -0.0205091-0.0150854j 
-0.0217965-0.0237778j 0.0380486-0.0136204j 0.00621557-0.0108554j 0.0270522-0.0429614j -0.06783-0.0325749j -0.0143492-0.0291757j -0.0704943+0.0438157j 0.0105411-0.030037j 0.0406976+0.0307015j -0.0513081-0.00977504j 0.0101488-0.0228833j 0.0117469+0.0465043j 0.046636-0.0741242j 0.0210779+0.00899732j 0.0213915+0.00771315j 0.051814+0.0324379j -0.0124345+0.00969182j 0.0401728+0.0208494j -0.055886-0.0206952j 0.0261545+0.0464745j -0.00750449+0.00400333j 0.0164746-0.0255229j -0.00629718-0.0109416j 0.00609786+0.00361184j 
0.0156536-0.0159349j 0.0204004+0.0653401j 0.0135446-0.0233251j 0.0542852+0.0457052j 0.0538928+0.00306188j 0.0329489-0.0512565j -0.0737539-0.064081j 0.0737128+0.0269488j 0.0281674+0.0370924j 0.0123493+0.00314879j -0.00498458-0.0383058j -0.0782425-0.0261775j 0.0109987-0.0232435j 0.019617+0.06321j 0.0795082+0.00566382j 0.0279654+0.033122j 0.0127787-0.00021596j -0.000129224+0.0176034j 0.0175048+0.0158299j -0.0133053+0.0321726j 0.0118325-0.0358457j 0.0432303-0.0931021j 0.009703-0.00242546j -0.0256932+0.00381803j 
-0.0154242-0.00463597j 0.00154446-0.0289742j -0.00408315-0.0220117j 0.00206463-0.0179733j -0.0388759-0.0150034j 0.000287829+0.00222332j -0.0109379+0.0125596j -0.0117562-0.00449008j 0.0174219+0.0079569j -0.0133804-0.0100484j 0.000617296-0.015159j 0.00646388+0.00560859j -0.00236474-0.0257261j 0.0136461+0.00935335j 0.0152728+0.0231601j 0.0199523-0.00026468j 0.00787614+0.00178476j -0.00031265+0.00801813j -0.0169294-0.00101553j 0.0190483-0.00568668j 0.00855834+0.00734305j 0.0095537-0.0172039j -0.0145288-0.0103253j 0.00183546+0.00914448j 
-0.0059896-0.00364637j 0.000673016+0.0296526j 0.00318283+0.015734j 0.00102373+0.0330117j 0.0334566-0.00115219j -0.00429023-0.0720599j 0.0088594+0.0416152j 0.0494368+0.00593025j -0.0147211-0.00924219j -0.00478536-0.000457031j 0.0303732-0.0195424j -0.011975+0.0019239j 0.0321632+0.0197547j 0.0123842-0.066455j -0.0150478-0.0863181j 0.00864385+0.0320901j -0.02922-0.0459908j 0.0232746+0.0699343j 0.00752444-0.0295718j 0.000742784+0.0127746j -0.0229706+0.000124941j -0.0495984+0.060692j 0.00441313+0.0665584j 0.00675286-0.0477959j 
-0.018346-0.00857325j 0.0322055-0.00341226j -0.0172916-0.0375047j 0.0268037-0.000560002j -0.0313481-0.0299945j -0.0752864-0.0505887j 0.0321372+0.0214137j 0.0183331-0.0135509j 0.00930104-0.0222822j 0.00331582-0.0106082j -0.0630721-0.0391785j 0.00959051+0.0235312j -0.0250175-0.0165139j -0.0548554-0.0189966j -0.036915-0.073269j 0.0384857-0.0790421j -0.0113186-0.000278938j 0.0438694-0.0044978j -0.00307236+0.00284416j 0.00934408-0.0440792j -0.025039+0.0252795j -0.0510361+0.0377789j 0.0433968+0.00257427j -0.0284074-0.00524402j 
-0.00234574+0.0226694j -0.0196968-0.0473122j -0.00149784+0.0199741j -0.0258286+0.0139131j 0.036226-0.00913438j 0.0179066+0.024287j 0.0146939-0.0168113j 0.00143745-0.0299534j -0.01972+5.67669e-05j 0.0192586+0.000325311j 0.00468053+0.0322806j -0.0326438+0.0231263j -0.0204201+0.0501984j -0.000591664-0.0483643j -0.00804981+0.0443853j -0.0175078+0.0231185j 0.00490677+0.00286375j -0.0121514-0.00915096j 0.014733+0.00244698j 0.000210467-0.0292889j 0.00583258-0.00216413j 0.00986017-0.00436429j -0.0164149-0.00940139j 0.0117793+0.00929922j 
0.0133081-0.00975172j 0.0125917+0.0345803j 0.00686063+0.00706904j 0.0270781+0.00172747j 0.0338717+0.00435074j -0.00356336-0.0146023j -0.0466579+0.00137526j 0.0635053-0.00786091j 0.0225954+0.0184787j -0.0011127-0.000113403j -0.0180742+0.0110809j -0.0225658+0.0308835j 0.0137386+0.00232097j 0.00425168+0.00240639j -0.0129455+0.00733668j 0.0152677+0.0303805j -0.019638+0.0254317j 0.0470219-0.0510684j -0.000379449+0.000374779j -0.00707821+0.0418273j -0.0080443-0.0162148j 0.0080601-0.0491876j 0.0349762-0.0382704j -0.0326822+0.0264102j 
