-0.16051-0.146037j 0.489944-0.109676j 0.0694602+0.655206j 0.432785-0.0422994j 0.0561356-0.120885j 0.118203+0.0556751j -0.078137-0.032622j -0.0462744-0.00866669j -0.00572359+0.00128781j -0.00399551+0.0163839j -0.0360387+0.0347831j -0.0377448+0.0500936j 0.00550694+0.0560436j -0.011391-0.0159191j -0.011731-0.0141809j 0.0365805+0.0270089j 0.0290912-0.0279113j 0.00983601+0.0304754j -0.0339742-0.0273273j 0.0135667-0.0106476j -0.0122479+0.0460957j 0.0463941+0.047567j -0.031905+0.0113355j 0.0259734-0.0199718j -0.00107247+0.00815339j 0.0265744-0.0272939j -0.0057934+0.00624998j -0.00767555+0.0386799j -0.0241239+0.0397035j 0.0192742+0.0385117j -0.0430627-0.0368867j -0.0367311-0.0179849j -0.0237497-0.0149452j 0.0149094+0.0637144j -0.0308237-0.021094j -0.0352411-0.0301617j 
-0.0665116-0.000431804j 0.013126-0.0509916j -0.02268+0.000954016j -0.0374053+0.0539014j 0.0259553-0.0344285j 0.100201+0.00196458j 0.0304615-0.0569081j -0.00839359+0.0207656j 0.124122-0.0339053j -0.0587596+0.033458j 0.104783-0.0606511j -0.172127-0.0942118j 0.0771353-0.0453608j 0.00614962-0.00562287j 0.0518387-0.0912466j 0.0480608-0.0707448j -0.00739396+0.00161893j -9.45745e-05+0.0651j 0.1122+0.219233j -0.015789-0.107951j -0.0434359-0.0408966j 0.00831343-0.0230083j -0.00483942-0.0109018j -0.0152413+0.0168577j 0.0531916+0.00776331j 0.0230787+0.0215914j 0.0243478+0.134269j -0.0135833-0.0938894j 0.141058+0.328042j 0.0912495+0.0667971j 0.0867468+0.11392j -0.0201533-0.0450023j -0.0391851+0.143117j -0.0332735-0.0113671j 0.16562+0.0968279j -0.191227-0.186417j 
0.0916122+0.0125986j 0.0348485+0.0266779j 0.0179903-0.0214638j -0.0362038+0.00925611j 0.0215479-0.0152968j -0.0226854+0.00870308j -0.0285019-0.0522671j -0.0593243+0.057293j -0.10538-0.0213423j 0.0113901+0.0188645j -0.00397252-0.0462432j -0.0568467-0.0525965j -0.0851606-0.123257j -0.0182547-0.0559011j 0.103399+0.104851j 0.0389785+0.0990441j 0.00639661+0.131925j 0.0343218-0.0986603j -0.0222324+0.0322618j -0.139457-0.0920293j -0.0812771+0.0122389j -0.189767-0.0174586j 0.146029+0.129198j -0.00296845+0.155882j 0.115077+0.0639622j -0.138615-0.0951968j -0.110796-0.15432j 0.0081686+0.153448j 0.0727911+0.0785061j 0.0208797-0.0214577j 0.0447801+0.117042j -0.109181+0.0254328j -0.0740745-0.0837196j 0.121789+0.0869495j -0.03539-0.0533584j -0.043835+0.00668886j 
0.0451297-0.0636307j 0.0639619-0.00154073j -5.77306e-05+0.01437j -0.0324256-0.0202365j 0.0100281-0.0435849j -0.00154194+0.0390692j -0.0665097+0.041742j -0.0681954+0.0640541j -0.141716+0.00977919j -0.0257195-0.0954311j -0.0265309-0.0232592j 0.0666876+0.0419728j -0.0382198+0.00887217j -0.036071-0.0497924j 0.0269271-0.00543885j -0.022962+0.0350069j 0.0417368-0.0205758j 0.0421334+0.127447j -0.0144939-0.102037j -0.0775966+0.0120555j -0.0220218+0.0286122j 0.17147-0.0070403j 0.0980073+0.0515456j 0.019122-0.191555j 0.0238908+0.0824231j 0.0142035+0.0611884j 0.132854+0.22754j -0.105048-0.268932j -0.122273-0.0713844j 0.0499991-0.0829314j 0.162904+0.0189574j 0.145255-0.0210948j 0.0939797+0.134898j -0.140855-0.179931j 0.0268109+0.072045j 0.0908146+0.0435242j 
-0.0724225-0.0275652j 0.0185054-0.0124721j -0.0072-0.0175441j -0.104947-0.0103581j -0.000518414-0.000602581j 0.0114487-0.0199488j 0.00163403+0.0445612j 0.0256675+0.0122048j -0.0172723+0.00639374j 0.0787692+0.0598434j -0.0742831-0.0300994j 0.156299+0.0725612j 0.0020847+0.126385j -0.0235317-0.013932j -0.0484266-0.0993182j -0.0655154-0.0824465j 0.118222+0.0592976j -0.0585674-0.0326194j 0.0692792+0.0524024j 0.00295552+0.0996804j 0.103201+0.0866719j 0.00773691+0.102644j -0.0544336-0.0549241j 0.0865149+0.236194j -0.0285149-0.178213j -0.0227009+0.123432j -0.0576466-0.121057j -0.118758+0.0539652j 0.0385168+0.0284125j -0.109013+0.0614978j -0.0656936-0.19578j -0.074438-0.0783263j -0.0570671-0.101375j -0.136453-0.091348j 0.125882+0.0917004j 0.106279-0.0641721j 
-0.0580613+0.0149978j 0.0154374+0.028489j 0.0212697+0.00851761j -0.0462552+0.000769317j -0.0311184+0.0233059j 0.00543094+0.00664496j 0.0128024-0.013305j -0.080038+0.000365894j 0.186931-0.105239j -0.0946926+0.0362851j -0.0383592+0.0595732j 0.0388538-0.0688249j -0.00665821+0.0702442j -0.125162+0.0859979j -0.0134701-0.0359041j -0.0148314-0.0156037j -0.0336033+0.0868914j -0.00367095-0.112096j -0.0020577+0.13018j 0.0728546-0.0316796j -0.103002+0.170551j 0.0266142+0.156195j 0.071501-0.211139j 0.168476-0.220386j -0.284529+0.0815985j 0.0455509-0.131536j 0.257332-0.164445j 0.0159754+0.12261j -0.00403678-0.0503124j 0.103012+0.0722601j 0.185135+0.12778j 0.0104216+0.216658j 0.0414499-0.26438j -0.101183+0.00855833j 0.242091+0.0200544j 0.0220715-0.0300165j 
-0.0987373+0.0846281j -0.0380558-0.0194953j -0.00646316+0.0090953j -0.00164144+0.0368371j 0.110325-0.0271792j 0.0570156-0.0525576j 0.0941683-0.11667j 0.255611-0.0634471j 0.0978745+0.0391182j -0.0115447+0.108123j -0.0966632-0.0254136j 0.21117-0.093566j 0.108409-0.203595j 0.110556-0.173432j -0.171725+0.0920637j -0.0194033+0.0305807j -0.0511755+0.134322j -0.00786231-0.125476j 0.0243339-0.0674916j 0.235695-0.106031j 0.216728-0.16539j 0.123688-0.0607654j -0.0436926-0.184315j 0.0559289-0.0439247j -0.0723674+0.0281076j 0.101486-0.0451821j 0.00193807+0.0248899j 0.102747-0.0295946j -0.00906699+0.0492812j -0.206923-0.0270058j -0.0718013-0.000173516j 0.0649355+0.0337662j 0.0346843+0.0838762j -0.0614587+0.07655j -0.0869545-0.0219866j 0.0556972+0.0441933j 
-0.100467+0.00965378j 0.120566-0.1404j -0.0190851+0.00751718j -0.173551+0.132371j -0.0454232+0.0737464j 0.0222538+0.0492119j 0.166015-0.0951243j -0.132584+0.0631754j 0.142358+0.0889946j -0.0221802-0.200151j -0.0431206+0.0510135j 0.0215251-0.145341j 0.183074-0.14404j -0.0613006+0.0355111j -0.0424687+0.0797243j -0.0494228+0.0857822j 0.0388626-0.0273028j 0.00163997+0.0664233j 0.0571046+0.0685944j 0.0497632-0.0544331j -0.132046+0.0581784j 0.100031-0.0928929j -0.0186554+0.1473j 0.0131937-0.00832724j 0.0851103+0.00970882j 0.0410238+0.0544843j -0.105102+0.0245885j -0.109318-0.0798851j 0.265491-0.118995j 0.0451324-0.122273j 0.0466837-0.0373602j -0.0118799-0.0968228j -0.0465922-0.0347791j -0.00202525-0.146153j 0.281296+0.0440945j -0.0444402-0.0383662j 
-0.0357627+0.00376731j -0.0439786-0.0196764j -0.00727827+0.00328j -0.00592137+0.00876061j 0.0893227+0.0246539j 0.0308125+0.00783226j -0.00741669+0.00443274j -0.00422947-0.00501788j -0.0306614+0.0176721j 0.0482361-0.0126626j -0.000590587+0.0167459j 0.0468717+0.0172275j 0.0616863+0.0247605j -0.0314399+0.0203085j 0.0603215+0.0300343j -0.00618522+0.000584499j 0.0104397-0.00588052j -0.0203896-0.0162605j -0.0642983-0.0680517j 0.038965+0.0360933j -0.0557271-0.0221149j 0.0169283+0.00493126j -0.076679-0.0286086j 0.0725841+0.0578638j 0.0984625+0.0202212j 0.0219579+0.0245986j 0.0355713-0.0326039j 0.0141447+0.0285757j -0.00699055-0.106096j -0.0539934-0.0659038j -0.0345198-0.100585j 0.00814663-0.00112135j 0.144899+0.0677966j -0.00974488+0.0226765j -0.0899329-0.143251j -0.0968116+0.0613258j 
-0.0164028+0.00442959j 0.00872599+0.0198988j -0.0181847-0.0361097j 0.00769134-0.0284468j 0.0155407-0.019891j 0.0168677+0.000742289j -0.00251733+0.0127691j 0.0366965-0.0103544j 0.00514833-0.0300247j -0.031454+0.00711121j -0.00921081+0.0146887j 0.0113261+0.0163019j 0.0290695+0.0324828j -0.015165+0.00248412j -0.00898049-0.0186423j -0.0372911-0.0251943j -0.0402351-0.0212063j -0.0104985-0.00501926j -0.0333253-0.0235452j 0.0415919+0.0125232j 0.0505886+0.0233614j -0.194957+0.0901433j -0.119564-0.0980247j -0.0776689-0.157585j -0.15129-0.00458642j -0.242775-0.06131j 0.303364+0.153886j 0.106212+0.0283441j -0.11363-0.0639838j 0.0331643+0.0639648j 0.239194+0.183478j 0.0106999+0.17039j -0.00868+0.0268623j 0.0264854+0.00188359j -0.0392659-0.013996j 0.00159113+0.0283537j 
0.0585142-0.0392511j -0.0253627+0.0926823j 0.0234337-0.0573096j 0.00309043-0.0291821j -0.0233515-0.0224854j -0.0300943-0.00101317j -0.0374152+0.0592713j -0.0293104+0.0294034j -0.0327193-0.0361881j 0.0670684-0.0050246j 0.0153443-0.0189132j -0.0271209+0.0391055j -0.0557973+0.0939091j 0.0142538+0.0597691j 0.0036283-0.0644326j 0.036682-0.0545547j 0.0586794-0.0445726j -0.0484004+0.0225767j 0.0287476-0.0237242j -0.032457+0.0137654j -0.0351763+0.128611j 0.275377-0.15102j 0.0599293-0.13774j 0.0963932-0.345764j 0.0566291+0.061437j 0.174606-0.166929j -0.281696+0.119977j 0.0575193-0.137987j 0.0114934-0.0440217j 0.038319-0.0436428j -0.104531+0.0707891j 0.134255-0.0196419j -0.059333-0.0893025j 0.0248848-0.0457148j -0.0103923+0.0544096j 0.0461552+0.0355707j 
-0.055223-0.0120352j 0.165966-0.0325433j -0.00755282+0.0104049j -0.0579899+0.0260321j -0.0670734+0.00443946j -0.0402409+0.00355614j 0.102766-0.0266569j 0.0501645+0.0242302j 0.0195456+0.0549967j 0.0924363-0.0441412j -0.0557014-0.00854295j 0.0575115-0.0267667j 0.0414317-0.0148782j 0.0562012+0.0116662j -0.109375-0.00447872j -0.0655471-0.0137444j 0.063655-0.0121933j -0.0702805-0.0409791j 0.0758575+0.0217464j 0.00230519+0.0287931j 0.124026+0.0568398j -0.19429-0.0361294j -0.123984-0.00301246j -0.106823+0.00784402j -0.0361858-0.146809j -0.276022-0.0902663j -0.158343+0.0172617j 0.069046+0.107719j 0.0955252-0.129105j -0.058767+0.0101228j 0.0277339+0.107104j -0.0935722+0.0198872j -0.262092-0.170084j 0.15557-0.0347884j 0.0344474+0.0769123j 0.14791+0.040093j 
0.0320137-0.138977j 0.0740553+0.0163763j 0.00962479-0.0321374j -0.0423377-0.118548j -0.0522413+0.169516j -0.0540377+0.0948972j 0.0289176+0.0410822j -0.0360011-0.109814j -0.00942312+0.0174148j 0.075201+0.0823705j -0.0530334+0.0635929j 0.000915742+0.139546j -0.00403354+0.148213j -0.0543418-0.0493441j -0.0245441+0.107128j -0.0272122-0.0462063j 0.0963877+0.00213773j -0.0576019-0.0377569j 0.0723813-0.0932045j -0.0575605+0.111324j 0.0550337-0.203402j -0.00280582-0.0226365j -0.0406175-0.29033j 0.0491132+0.0697398j 0.00414725+0.115598j -0.0185435-0.0757761j 0.0185046+0.102739j -0.00383963+0.0750564j 0.241636-0.014305j 0.0580875-0.0514888j 0.0453191-0.0141199j -0.0155511+0.0375556j 0.0493226+0.22895j 0.0339369+0.126372j 0.00186224-0.131739j -0.0796561-0.017745j 
0.150064-0.103826j 0.0934631-0.037568j 0.0218283-0.00922959j 0.0168823-0.039989j -0.288669+0.0555478j -0.103272+0.0583031j 0.0193683-0.0109552j 0.020371-0.0932023j 0.0745761+0.0469266j -0.101288-0.0270626j -0.021849+0.101161j -0.0620711+0.0251068j -0.195462-0.0166467j 0.0518044-0.0128641j -0.183632+0.127569j 0.0272517+0.0546622j -0.0643109-0.0525431j 0.0820434+0.0377307j 0.0306616-0.0812221j -0.0583741+0.0149881j 0.0851927-0.181914j 0.042675+0.00467597j 0.201248+0.0732638j -0.162333+0.0235454j -0.225101+0.0716101j 0.123243+0.00879579j 0.0076535-0.0939508j -0.108954-0.0338268j -0.0112187-0.143545j 0.104994-0.0329368j -0.0588131-0.0327699j 0.019359-0.0210086j -0.0664531-0.0381926j 0.0495105+0.0115155j 0.0437654+0.0904774j 0.282587+0.0793878j 
