-0.0175136-0.0876132j -0.113512+0.0801044j 0.00463938-0.0128843j 0.0899091+0.0620923j -0.029047-0.0261458j 0.0306597-0.0396269j -0.0950051-0.0481142j 0.0300556+0.0477892j -0.0308281-0.0626299j -0.0683948+0.111524j 0.0856223+0.16606j -0.148672-0.00570985j -0.014522-0.142555j 0.151766-0.0126521j 0.0678763+0.13556j 
-0.112933+0.0436327j -0.0566114+0.0814333j -0.118869-0.195974j 0.0591624+0.129979j -0.0987582+0.178194j 0.0601973-0.2161j 0.0424746-0.100209j -0.0405248+0.0750804j -0.154524+0.0733014j 0.0438306+0.153738j 0.155938+0.18143j -0.0437079+0.0206098j 0.0901726+0.0034094j 0.0562298+0.00769907j -0.0574556+0.0145156j 
0.270918-0.122721j -0.142755-0.0186614j 0.126099-0.0260511j 0.0346082-0.0548061j -0.0389172-0.0224149j -0.301348-0.0146239j -0.0726483-0.0549098j -0.313027+0.158131j 0.0647137+0.0598411j 0.125553-0.0265314j -0.0306683+0.0891253j 0.153418-0.000248121j -0.111043-0.109504j 0.0925021+0.0833943j 0.184066+0.0144411j 
0.138487-0.260855j -0.0525835+0.0477588j -0.0690347-0.108406j -0.109131+0.194799j -0.0537693-0.175451j -0.380186+0.0341088j 0.0482073-0.176392j -0.189084+0.0383167j -0.0996482+0.0708964j -0.0812102-0.0500871j -0.00233249-0.00860277j -0.0390245+0.00747j 0.0640707+0.154041j 0.207667-0.0820727j -0.156796-0.0275055j 
0.111094-0.0272525j -0.0154559-0.042465j 0.127476+0.00843804j 0.0347963-0.110816j 0.011468-0.0649332j -0.0259199+0.017227j -0.0883357+0.0518391j -0.0600119+0.0238006j 0.00461085+0.0225379j 0.0781019+0.014638j -0.0211884-0.0184216j 0.0327725+0.00757075j -0.00165123-0.0507349j -0.0289913+0.0357699j 0.17044+0.0776172j 
-0.0368588+0.00673849j -0.00498031+0.102871j -0.0885913-0.11366j -0.0939281-0.0139634j 0.0395041-0.0736231j 0.0130884-0.0551919j 0.0874363+0.057423j 0.0200437-0.0500421j 0.0265904+0.050788j -0.041487+0.0449726j -0.0143228+0.00410925j -0.0637156-0.0176029j 0.0910628+0.108464j 0.0463927-0.0530343j -0.141132-0.0181917j 
0.0987745-0.0817618j -0.027919-0.100287j 0.0780074+0.119962j -0.00154299-0.074812j 0.0504171-0.0492793j -0.00364596+0.0474016j -0.0652347+0.0209227j -0.00528892+0.0276483j 0.0263227-0.0567859j 0.0444632-0.0617003j -0.0235974-0.0840108j 0.036748+0.0196612j -0.030919-0.0428057j 0.000824618+0.00222362j 0.0823911+0.0343853j 
0.091207-0.023435j 0.114098-0.131213j 0.0591572+0.0115678j 0.0373822-0.00479056j 0.00358658-0.017535j -0.0296207+0.0581949j 0.025756+0.0448464j -0.00889728+0.00542469j -0.0400516-0.0116701j 0.023904-0.0554314j -0.0439017-0.0399276j 0.0199199-0.0251722j 0.00487863+0.0436377j -0.0392139+0.0144363j 0.100845+0.00583187j 
0.133983-0.124191j -0.0696372-0.0169555j -0.00516253+0.0119091j 0.00363878+0.00720038j -0.0484479-0.0136974j -0.0830947+0.00221654j -0.0282473+0.0139604j -0.0706569+0.0462989j 0.0324064+0.00689951j 0.0188101+0.0112066j 0.023533+0.000905403j 0.00259203+0.0143838j -0.0436519+0.000173913j 0.030387+0.000413393j -0.00648937+0.0197421j 
0.0681932-0.0398538j 0.0318882+0.0783365j -0.0271288-0.107123j -0.0548202-0.0102948j -0.0508012-0.0422556j -0.0997425-0.0387991j 0.0259119+0.0344427j -0.00849132-0.0229405j -0.0183688+0.090629j 0.0015896+0.00287349j -0.0227411+0.0488727j -0.0171285-0.0544099j 0.0143753+0.0779716j -0.00529971+0.0159683j 0.0200454-0.001907j 
0.0229206+0.0395495j -0.0708138+0.0699926j 0.0678733+0.0271559j 0.0491973-0.0313324j -0.033027-0.0221344j -0.0123956-0.0654242j -0.0829084+0.0113826j 0.0386411+0.0248361j -0.0376999+0.0192236j 0.034501+0.0107862j -0.0172075+0.00675092j 0.0535332+0.0249643j -0.0707602-0.0776503j -0.0191458+0.0213697j 0.0831399+0.0467949j 
