0.0656593-0.103643j 0.0988638+0.0186753j -0.0432616+0.0648805j -0.0304771+0.291974j -0.00956305+0.107553j 0.182485-0.0327493j 0.185267-0.24014j 0.182398+0.00855022j -0.355764+0.0332667j 0.166748-0.336484j -0.0236008-0.0943923j 0.0349661+0.147408j 0.146295-0.0643279j 0.172412-0.165223j 0.510348-0.00259867j 0.0438629-0.0457372j -0.0485817+0.104572j -0.00452377+0.0120814j -0.195284+0.233955j -0.0566908+0.124038j 0.045576+0.0755416j -0.0611754+0.409324j -0.215688+0.298369j 0.156848+0.338956j 0.164945+0.119903j -0.366342-0.648787j 0.290031+0.143683j 0.0435827+0.0330811j -0.513132-0.212934j -0.188509+0.327544j 0.676043-0.10604j 0.0560558+0.0978204j 0.141629-0.182599j -0.274473+0.41614j 0.181071+0.201411j 0.252492-0.151365j -0.422688-0.157529j -0.0818186+0.0298849j 0.128343+0.407477j -0.35211+0.0198749j -0.0498223+0.754653j 0.472902+0.587795j 0.917285+0.0105605j 0.0667119+0.476984j 0.762149-0.292762j 0.751535+1.38325j 0.236554-0.479343j -0.103872+0.530051j 0.292234-0.610425j -0.938312+0.257186j -0.99257-1.64007j 2.40296-0.939874j 
-0.146838-0.203783j -0.314098+0.460103j 0.172262-0.111396j -0.111813+0.464311j 0.371271+0.114231j 0.562536+0.214576j -0.0593939-0.199371j -0.751781+0.54124j 0.205773-1.19771j 0.532582+0.571133j -0.0744842-1.90877j -0.0837716+0.78111j -0.0543941+0.396988j -0.500016+1.48027j 0.474944+0.139003j -1.82422+2.11427j -0.922751-2.29651j 1.44856+0.376286j 0.686425+0.063952j -0.137978+0.639573j -0.454117+0.803972j -0.61689+2.76974j -0.471649-0.675753j -1.3157+2.91346j 0.691448+1.39138j 1.72014-1.16506j 1.49658+0.660109j 1.00182-0.97851j 1.42455-1.25452j 0.696955-0.0842038j -0.487518+2.90602j -0.453755-0.181948j 0.213938-0.625547j -0.500794-1.21343j -1.25568+0.750859j -1.468-1.27232j -1.46055+3.11595j -0.20245-1.08316j -0.376526+1.17677j 0.128047+1.34115j 0.158438+0.242709j 0.51994+0.347002j 0.568474-0.1354j 0.147682+0.630247j -0.613567+1.22277j 0.252703+0.287603j -0.457764-1.15598j 0.367695-0.706627j -0.0614118+0.227215j -0.103185+0.0467643j 0.193724+0.270876j 0.243408-0.0187461j 
-0.152807-0.299045j -0.338503+0.517225j 0.372335+0.0876678j -0.348914+0.24847j 0.0333296+0.629086j -0.717247+0.325224j 0.00614771-0.597895j -0.0544266+1.05587j -0.0425891-0.555908j 0.0145493+0.700934j 1.31346-1.02187j -1.25463-0.238993j -0.242415+1.45441j -1.48506+1.61727j 0.626959+0.95297j -1.47126+2.36189j 0.733925-0.796427j 1.05162+0.0649169j -0.971706+0.112578j 0.30513+0.953557j 1.12027-0.498876j -1.27801+3.00924j 0.828642-1.07929j -0.297913+2.49125j -1.6485-0.00824897j 2.55211-0.820133j 1.51845+1.42485j -0.382003+0.446794j 0.644232-1.90756j -0.111039-0.124923j -1.23524+2.78159j 0.558158+1.22789j 0.437753+0.136331j 0.632-0.339362j 0.741526-0.194207j 0.703726-1.47902j 0.333598+2.95602j -0.0413169+0.0499564j -0.769454+1.16464j 0.536811+0.983053j 0.740657+0.419154j 0.191875+0.0788267j 0.238037+0.419638j 0.244811+0.750808j -0.559886+0.277723j -0.157751+0.0319563j 0.101074-1.21029j 0.252746-0.161555j -0.341928+0.675872j -0.203888+0.211327j 0.270618+0.251481j 0.350046+0.269374j 
-0.174461-0.0224328j 0.651704-0.551626j -0.576526+0.714523j 0.280706-0.688267j -0.0847164-0.368749j -0.905788-0.291508j -1.41696-0.29928j -0.0757606-1.55029j -0.849822+1.73743j 0.73719-0.582765j -1.05349+1.10546j -0.282413-0.590932j 1.09838-0.0591941j -0.202732-1.27705j 0.295015-0.671285j 0.751766-3.22236j -2.04005+1.82756j -0.256678+1.01926j -0.150065-1.41582j 0.739238-1.31154j 0.950797+0.0302288j 1.4069-3.09494j 0.109998+0.427792j 0.246046-2.26899j 0.267152+0.00844487j -2.15157+2.00083j -1.74857-0.117993j 1.08544-0.424858j -1.01338+1.48361j -0.0487038-0.257112j -0.581535-3.24553j 0.198262-0.152901j -0.777008+0.470076j -0.236344+0.363484j 0.15828-0.0999599j -0.809311+1.33109j 0.72662-2.50892j -0.882004+1.43852j 0.473381-0.470189j 0.206967-1.59939j -0.545236-0.862409j -0.0927099-1.08725j 0.890559+0.357979j -1.00195-1.5624j -0.346552-0.66414j -0.781742-0.0278411j 0.0355665+0.830701j -0.461685+0.648973j 0.166347-0.205741j 0.229097-0.665095j 0.516787+0.266645j -0.31603+0.317487j 
0.100787+0.77665j 0.632225-0.246565j 0.0570916-0.0281654j 0.0539057+0.0162973j -0.747043+1.10332j -0.723587-0.914344j 0.801129+0.249434j 0.606168-1.19887j -0.808661+0.707947j -0.0639942-0.512397j -1.88613+1.25476j 0.376778-1.20319j 0.740501-1.0641j 1.59735-2.64378j 0.115421-1.5962j 2.3917-3.57317j -1.94372+3.08841j -0.1497+1.92076j -0.247375-1.37513j -1.31143-0.795054j -0.0690301-0.938062j 2.53913-4.26126j 0.60738-0.430319j 1.6176-2.03685j -0.391796+0.809807j -3.33208+1.99972j -1.0671-0.935527j 0.618227-0.114894j -1.16904+3.59596j -0.671498-0.853465j 2.02299-4.50112j -0.559783+0.649879j -0.0216926+0.573107j -0.68688+1.1437j -0.0294022-0.673932j -0.604294+2.50106j 1.78771-3.34138j 0.319126-0.119042j 0.0221024-0.332069j 0.716752-1.20526j 0.654986+0.504637j 0.508296-2.12783j -0.131844-0.372633j 0.14857-1.26177j 0.528207-1.28673j 0.376276-0.222703j -0.424239+0.768671j -0.21618+0.703749j 0.325127-0.0713768j 0.218064-0.159582j -0.146712-0.493938j -0.106411-0.471278j 
-0.0935296+0.485609j 0.991935-0.104202j -0.716626+0.216871j 0.0538693+1.03375j -0.0323989-0.199522j 1.96329+0.0319537j 0.161886-0.821595j 0.988772+0.0226097j -1.35329+0.788456j 1.62917-0.421364j -0.921522+0.753342j -0.222062-2.04436j 1.42356-0.678962j 1.27044-1.54113j 1.01193-0.0744423j 2.93306-1.87971j -1.71108+1.18554j -0.421725+0.42255j -0.219228-1.0022j 0.384723-1.9374j 1.43593-1.17901j 2.47673-2.53732j 0.116408-0.430843j 2.16084-2.2331j -0.145454+0.0646925j -3.16642+0.212438j -1.87873-0.580711j -0.369198-0.337745j -1.26997+1.16415j 0.577301+0.718439j 2.60545-2.41807j -0.00079149-0.176232j -0.151226+0.0210322j -0.740457+0.0500917j -0.145072+0.198811j -1.26675+0.148537j 3.10253-1.52998j -0.231441+0.335739j 1.87037-1.07629j 0.98362-0.774478j 0.597318-0.321439j 1.46981-1.38547j 0.196563-0.956053j 0.847969-1.45749j 0.634222-0.938272j 0.412802-0.0263084j -0.798848+0.274278j -0.16482+0.116492j 0.94492-0.386956j 0.452633-0.151245j 0.0396042-0.506412j 0.210144-0.41211j 
0.0747801-0.195147j -0.336084+0.110852j 0.172667+0.023405j 0.115155+0.264312j 0.227663-0.231795j -0.145881+0.047264j 0.124418-0.00220723j -1.51385+2.68053j -0.702132+0.464643j -0.50966-0.233502j 0.844552-0.584204j -0.529676+1.29945j 0.47466+2.80884j 0.799761+0.394103j -0.308643+0.270373j -1.58866+1.67709j 0.0844463-0.602716j -0.729729+0.754184j 0.774514+1.44873j 0.030863-0.266341j -1.52034+0.703892j -1.11815+0.151651j -0.00575839-1.04387j 0.198886+2.44577j -0.379792+0.307788j 0.883992-0.719915j 0.0415596-0.119179j 0.469815+0.549872j 0.286386-0.567455j -0.579002+0.220657j -1.26258+0.741838j -0.154653+0.298296j -0.135917+0.06995j 0.301757-0.360184j 0.202115+0.739169j 0.482338-1.0859j -0.150724+1.37628j 0.152218+0.163229j -0.11595-0.26833j -0.107678+0.423792j -0.278924+0.132301j -0.43826+0.53339j 0.000113022-0.427702j -0.0157478+0.745707j -0.10158+0.503983j -0.120996-0.198509j 0.167233-0.277833j 0.297037-0.384625j 0.0400344-0.114507j -0.147913+0.0541697j -0.0704898+0.0373478j 0.045452+0.0809456j 
0.49741-0.590149j -0.706419+0.294827j 0.372237+0.358354j -0.525524+1.11485j 1.82169+0.213566j -0.71645+1.99479j -0.372981+0.411475j -0.601879+1.13157j 1.06982-2.14014j 0.348592-1.29432j 1.5516-2.09141j 0.290562-0.39247j -0.524166-0.0318394j -0.695173+2.39233j -1.20189+1.08785j -2.45594+2.677j 0.874676-1.85573j -0.64773-0.0463029j -0.833488+0.576595j -1.58688+0.697646j -0.352521+0.974496j -2.58382+2.12505j 0.561856+0.0943109j -1.51442+0.634729j -0.37568+0.445342j 1.68371-0.155702j 0.667166-0.0965819j -0.905905+0.478369j 1.86775-1.35318j -0.487924-0.18344j -3.36012+2.33286j -0.879103+0.0231402j 0.435249-0.330789j 1.69892-1.04957j -0.748702+0.387858j 0.699922-1.0084j -1.68182+2.47322j 0.329386-0.632252j -0.417131+0.473365j -0.542393+0.819175j -0.216145+0.145023j -1.35928+0.963601j -0.589658-0.134155j -0.802683+1.2225j -0.880107+0.979799j -0.266289-0.206698j 0.209422-0.472371j 0.651333+0.127995j -0.416496+0.0141027j -0.277204-0.185302j 0.146592+0.10722j 0.00557822+0.285995j 
0.150217+0.352521j -0.741914-0.852649j 0.875623-1.8564j -0.144384-0.919308j 1.4354-0.193748j -0.656494+0.305946j -0.566501-0.782346j 0.0998042-0.489113j -0.653118+0.131412j -0.0335815-1.47421j 1.04724-1.14692j -0.176857-0.718071j 0.352814+0.404132j -0.332369+0.247765j 0.0339658-0.0235523j -1.74989-0.177977j -0.259515+0.589542j -0.0582805-1.05882j -0.112735-0.12271j 0.0311761-0.356033j 0.819281+0.319021j -1.04165+0.945654j -0.285656+0.568647j -0.426061+0.372926j -0.181607+0.691494j -0.104048-0.297249j 0.187308+1.55199j -0.108867+0.707512j -0.0857973+0.145776j -0.869968+0.176984j -1.49219-0.291241j -0.195423-0.0909631j -0.0282818+0.168264j -0.35915+0.277448j -0.333368+0.639239j 1.09112-0.212957j -1.43407+0.194174j 0.356642-0.525316j -0.0656032+0.136455j -0.585868+0.0976321j -0.386196+0.289993j -0.469277+0.263243j -0.138049+0.514654j -0.139498+0.160867j -0.227687+0.276462j 0.334959+0.40005j -0.184932+0.0449602j -0.0845564-0.211302j -0.494314+0.0472784j -0.391161+0.284977j -0.606222-0.379819j -0.176497-0.277587j 
0.993833-0.628429j -1.08664-0.267113j -1.02409-0.77657j -0.851681+1.38604j -0.591473+0.906172j -0.166987-1.34661j -0.515835-0.394896j 0.151046+0.629295j 0.429801-0.409265j 1.03776+0.317944j 1.79623-0.0173402j -1.48457+0.618519j -1.39085-0.0361475j -0.272193+0.0728736j -0.394722+0.54579j -2.59762+0.921647j 1.77345+0.427878j 0.08846-0.458516j 0.0891663-0.76675j -1.35964-0.48519j -0.492715+0.392083j -2.02503-0.301038j 0.515833+1.19575j -1.82888+0.29121j -0.120217-0.406302j 2.27633+0.717719j 0.154578+0.82473j 0.0958843+0.852382j 2.19131-0.314937j -0.688312-0.333641j -3.03711+1.57692j -0.279924-0.21512j 0.259184-0.305824j 0.342685-0.601635j -0.203375-0.629405j 1.29665-0.729802j -1.74797+1.10879j 0.702573-0.593848j -0.79234+0.434523j -0.564982+0.484552j -0.476299-0.192867j -1.45391-0.0879583j -0.135386+0.357853j -0.783577+0.649604j -0.933868+0.316145j 0.164892-0.266604j 0.367932-0.545676j -0.133285-0.212267j -0.410937-0.211796j -0.602573+0.00401651j -0.501316-0.341557j -0.113575-0.0224762j 
-1.51411+0.685477j -1.12788+0.0997994j -2.22136+0.695417j 0.582979+1.85536j -0.0142652+0.0698649j 0.588949+0.283019j 0.184212-0.615141j 0.323582+1.15053j -0.649837+0.0629196j 0.836575+0.0710965j -0.680328+0.795651j 1.45515-0.0945588j -0.11495-0.72059j 0.234446+0.654353j 1.35908+0.140145j -0.169905-0.267338j -0.56739-0.271984j -0.116104+0.834945j -0.34199+1.29705j 0.861424+0.076659j 0.0630484+0.185073j 0.597869-0.0756672j -0.654424+0.511702j 0.57717+0.159484j -0.215904-0.0266785j -0.755871-0.49522j 0.202601-0.0620868j -0.00290696-0.614606j -0.422712-0.181425j 0.189827-0.271097j 0.662534+0.0266716j -0.105836-0.0736398j 0.775078+0.304189j -0.149683+0.0686786j -0.0168529+0.157017j -0.204072+0.118798j 0.561439-0.145992j 0.117204+0.292007j 0.223517-0.305204j 0.314755-0.246213j -0.186271+0.399822j -0.063197-0.159736j 0.478456-0.20607j -0.00237743+0.210415j -0.069382+0.10347j 0.109997+0.618868j -0.180168+0.135024j -0.310447-0.109828j -0.387416+0.656892j -0.347493+0.509004j -0.393419+0.17715j -0.0720337+0.0381626j 
2.3027+2.23812j -2.26676+1.81541j -0.41466-0.777618j 0.0519756-0.290942j 0.236361+0.889563j 0.44635+0.108912j 0.916447-1.22814j -0.92331-0.394321j 0.22677-0.254474j -0.934286+0.0474148j 0.369656-0.709093j 0.250966+0.794858j 0.483875-0.0467111j 0.236707+0.466719j -0.21568+0.149693j 0.98735-0.473767j -0.675463-0.0259634j 0.142894-0.267478j -0.12894-0.670067j 0.13376+0.151838j -0.00938826+0.126685j -0.425508-0.663182j -0.169569-0.368337j -0.336721-0.0371358j -0.138144+0.0671767j 0.626413+0.0536151j -0.442423+0.252279j -0.310732+0.159746j -0.0156792-0.146785j -0.316489-0.475172j 0.309893+0.387597j 0.00107051-0.0119154j -0.112624-0.149705j -0.25365-0.26385j 0.0406059+0.00560149j -0.300395+0.235466j 0.355272-0.164141j 0.546165+0.0967461j 0.025911-0.368837j -0.0370467-0.127905j 0.183055+0.136323j 0.0658281-0.0105404j -0.098868-0.375745j -0.284218-0.135751j -0.150316-0.055418j 0.186256+0.160277j 0.11156+0.119279j -0.0659023+0.0782119j 0.169651+0.235575j 0.114368-0.0859808j 0.252179+0.170501j 0.00256821+0.265128j 
