-0.00483188-0.00578322j 0.0047064-0.0407168j -0.00661174+0.00333322j -0.00863025+0.0325174j 0.00912955-0.00202361j 0.00184294-0.00426945j -0.00445978-0.0280007j 0.00263779+0.00665056j 0.00996535-0.0283611j -0.00589508-0.00227105j -0.00964265-0.00048366j -0.00447056-0.00433014j 0.00347329-0.0140783j -0.00931635+0.0110163j -0.00654447+0.0131186j -0.00135969-0.0155951j -0.0115326+0.0193762j 0.011073-0.00594272j 0.00437642+0.0520844j 0.00541507-0.0108465j -0.00672197-0.00213737j -0.00218862-0.0206109j -0.00917179-0.007861j 0.000619016-0.0233312j -0.00731058-0.0101579j 0.00063745+0.00786947j -0.000255426+0.00553663j -0.00281006-0.0136402j -0.00774176-0.017022j -0.00119462-0.00960592j -0.00328263-0.0167028j -0.0104754+0.00814276j 0.0359271-0.00680259j -0.00289755-0.0107405j 0.015744-0.00509023j -0.0156757+0.00120686j -0.0245686-0.0440304j 0.02262-0.0164281j 0.00894846+0.00241596j -0.0320613+0.044141j -0.0112419+0.0347679j -0.0432254-0.0107272j 0.00528159+0.00425391j 0.0111364+0.0370861j 0.0114831-0.00210515j 0.00710028+0.00449833j -0.0198784+0.0167537j -0.000631373+0.00878065j -0.0192871+0.0332775j -0.00566119-0.0556812j 0.0177903+0.00985632j -0.0245286+0.0131662j 0.0434145-0.02157j -0.0256948-0.0219713j -0.0012313+0.0273378j -0.0280239+0.0874548j -0.0642412-0.0256087j 0.00659591+0.00044691j 0.011353-0.00831813j -0.0207918-0.044989j 0.00952136-0.0450949j 0.0137534+0.0313115j -0.00876825-0.0209849j -0.0154427+0.0094369j -0.0131622-0.0228197j -0.0158828+0.0167699j -0.00773841+0.000851482j 0.0146185+0.0109263j 0.00432956+0.0147167j 0.00348181-0.000316854j -0.0129593-0.000797449j -0.00514458-0.0162041j 0.00132105+0.00746218j -0.00524682-0.0193513j -0.008664+0.0240317j -0.0207859-0.00627507j -0.00134692+0.0018241j -0.00989273+0.00402241j -0.00722533+0.015045j -0.0203759+0.0319124j -0.00670198-0.00132499j -0.00504105-0.00904574j -0.0129773+0.00453575j 0.0224186-0.0176848j -0.00958375+0.052843j 0.0960314-0.010347j 0.0557073+0.0245644j -0.0117784+0.00609268j -0.00140267+0.0321833j 0.0336507+0.0819397j -0.136174+0.0771892j -0.0664303-0.0578347j 0.0165362-0.138707j 0.0232098-0.216354j -0.0244905-0.425166j 
-0.00602437+0.140106j -0.0326043+0.0199376j -0.0175145-0.0178295j 0.0254615-0.0345363j -0.0237438+0.0555j 0.0341175+0.0276389j 0.0381936-0.0156104j 0.0100451-0.027562j 0.00892579+0.111518j 0.038015-0.0456898j 0.023831-0.0483037j -0.00987528+0.00671625j 0.0104894+0.00796831j -0.00990777+0.0191048j 0.0182522-0.00343682j 0.0147028+0.0215399j 0.0449643+0.00633988j 0.00415735+0.0213053j -0.0276071-0.0267949j 0.0151454-0.0511117j -0.0180052-0.0669635j -0.0168968-0.0301353j -0.00197342-0.0197263j -0.00414189+0.0264807j 0.00629543+0.102306j -0.0210971+0.0960012j -0.0404752+0.0187192j 0.010099+0.0599333j 0.0155935+0.125175j 0.0131077+0.00167261j 0.0501916-0.00602177j 0.042129-0.119148j -0.0660175+0.123926j -0.251905+0.0420899j -0.0418101-0.0210879j 0.0455286+0.104549j 0.0633519+0.0465757j -0.0687145-0.0502358j -0.0367843+0.225876j 0.0835023+0.0485238j 0.0295419-0.175529j -0.0358913+0.0758354j -0.35566-0.0224206j 0.018472+0.00875888j -0.145939-0.0627179j -0.0404761+0.121018j -0.0467905-0.0890063j 0.0230339-0.0786892j 0.0394005+0.110951j 0.00413596-0.0142662j -0.0124432-0.0283675j 0.179343-0.0954927j -0.0678156-0.044435j 0.128443+0.0371142j -0.0954836-0.137442j 0.015678-0.0210617j -0.046828-0.0461036j -0.0967262-0.0199805j -0.126925+0.111605j 0.0402704+0.120022j 0.0482231+0.104524j 0.0116431-0.0674701j 0.0501524-0.0394613j 0.0646643+0.0248679j 0.0448776+0.0312966j -0.00423224+0.000201243j -0.0180188-0.0182014j 0.0331754-0.0156663j -0.0198752-0.0289841j -0.0240988+0.0229138j -0.0411799+0.0566123j 0.0514888+0.00838664j 0.0433299-0.0172366j -0.0181294-0.0276657j -0.060931-0.00191241j 0.0342933-0.0508287j 0.0345809+0.0667573j 0.0250573+0.0306208j 0.0199089+0.0743433j -0.0140871-0.0730858j -0.00797152-0.0216031j 0.0874704-0.0180853j -0.0217951+0.0352963j 0.0170696+0.0315597j 0.0141298-0.0355644j -0.0328011+0.0795683j -0.0608522-0.0873486j 0.00217391+0.0137963j -1.78476e-05+0.000500208j -0.0781726-0.0171278j -0.0172133+0.0253917j 0.0321292-0.0437426j -0.0125601+0.0311393j -0.0372925-0.0571574j -0.012713+0.0461349j 
-0.0173036+0.0140806j 0.00287964-0.0494679j 0.00274599-0.0233378j 0.0512194-0.000830974j 0.0143756+0.00512464j -0.00311039-0.0363986j 0.0148072-0.0183293j 0.0101163-0.00577189j 0.0362609+0.0287297j 0.00417569-0.0334694j -0.0060548-0.0350673j -0.00667479-0.00937728j -0.0150746-0.0297462j -0.0138581+0.028362j -0.0180543-0.000347195j -0.0204093+5.75779e-05j 0.00898579+0.0240888j -0.0280913+0.0469893j -0.00504144-0.0186563j 0.0154008-0.0181375j -0.00758189-0.0166185j -0.00370123-0.0416322j 0.00279576-0.054732j 0.0347105-0.0550498j 0.000955357+0.0482991j -0.0167759+0.029941j -0.0162164+0.00226545j 0.0109135+0.0177134j 0.00608228+0.03053j 0.00959885+0.0138109j -0.0151347+0.0337452j 0.00270808-0.00107583j 0.0470451+0.00920571j -0.0500743+0.0429747j 0.0228486+0.00493342j 0.00421539+0.00474112j 0.0100901-0.0214594j 0.0234685-0.0175781j -0.0201748+0.0544148j 0.011999+0.0679856j 0.0130962-0.0862303j -0.08543+0.0291676j -0.13536-0.00647363j 0.0159258+0.0278072j -0.119284-0.0233011j -0.0919099+0.0700316j 0.0369381-0.0592957j -0.0556435-0.0114555j -0.044483+0.0627361j -0.0466298-0.0648616j -0.00149738-0.0924281j -0.0559597+0.0187369j -0.109031-0.0611587j 0.0498514-0.0151494j 0.067707+0.017115j -0.0283073-0.0561931j -0.0352706-0.0212164j -0.25977-0.00796775j 0.150335-0.0210383j -0.0722146+0.0369596j -0.0722718-0.0601263j -0.0274165-0.0833073j -0.00842072-0.0274667j 0.0246664-0.0498527j 0.0384559-0.0167193j 0.0554408+0.0355036j 0.00454681-0.049233j -0.0623988-0.0080714j 0.027823+0.00353994j 0.0304734+0.0249488j 0.0416103-0.0773877j -0.00894059+0.0157758j -0.0182576+0.00783529j 0.0322029+0.0501609j 0.00743001+0.0124528j 0.0221275+0.0238371j 0.0487671-0.00372855j -0.0568068+0.0189503j 0.0396963-0.0326521j 0.0783805+0.00219597j -0.00437341-0.0261431j -0.0324523-0.0035815j 0.0110355+0.0107636j -0.00985773+0.106262j -0.0386806-0.0462741j -0.0360657-0.0573359j 0.0486102+0.0222863j -0.00675484+0.0087876j 0.00277061-0.00412623j 0.129057-0.0494339j 0.0794332+0.0556948j -0.0404378+0.0327278j 0.0468415-0.00722996j 0.0415889+0.233673j 0.0504493-0.0953832j 
0.0101874+0.079546j -0.0390762+0.0530401j 0.0233955-0.0174595j -0.0344122+0.0114094j 0.0186697+0.00745589j -0.00677102+0.0554567j 0.044456-0.0629548j -0.046123-0.0851073j 0.0205438+0.0435997j 0.001817-0.00276211j 0.00364083-0.015665j -0.0328969-0.0265885j -0.0237951-0.00647879j -0.033327+0.00360151j -0.00015957+0.0200706j 0.00248475-0.00694916j -0.0146116+0.00966168j -0.0272055-0.0341196j 0.0028899+0.00252845j -0.00259046+0.00775691j -0.0174188+0.144619j 0.0112339-0.0741291j -0.0163046-0.0574026j -0.0174363-0.0282926j -0.00395715+0.0501826j -9.9893e-05-0.00399731j -0.00606962+0.0217567j -0.0100903-0.0260967j -0.00202438+0.0114526j -0.00790274-0.000742291j 0.0365436+0.125323j 0.0200286-0.0834255j -0.110165+0.0643037j -0.109323+0.0111457j -0.0693315+0.0403922j 0.142394+0.0806897j 0.08534-0.0711836j 0.00540598-0.00231063j 0.00212815-0.0565407j 0.0142665+0.0551354j -0.0956584+0.0175509j -0.205571-0.00513121j 0.000805195-0.00881374j 0.0560026+0.0113008j 0.156902-0.0191875j 0.00122732+0.0826123j -0.0142732+0.055777j -0.0690208+0.0606309j -0.0834619+0.0193358j -0.0835791-0.113622j 0.108392-0.0448406j -0.137952-0.000892692j -0.131279-0.00214759j -0.0262459+0.00891472j 0.0474444+0.0144574j -0.0394353-0.172597j -0.0170793+0.0201866j -0.0487959-0.0111398j -0.0587998-0.00429475j 0.0195375+0.0578531j 0.0437957-0.0772924j 0.00733256-0.0187876j 0.050388-0.082386j -0.0185765+0.0685185j -0.0306203-0.000332196j -0.057471-0.0419797j -0.054696+0.0106981j 0.100355+0.05261j -0.0575547-0.0246451j -0.0147763-0.004303j -0.0094767+0.0302178j 0.0187206+0.00453751j -0.00668811+0.0322252j -0.0184125-0.0412157j 0.0426222-0.00512805j 0.00881934+0.0185743j 0.00332504-0.0403575j 0.00893025-0.0143222j -0.0112452-0.0311683j -0.00508958+0.000563227j 0.0476527-0.0258321j 0.0766976-0.0306102j -0.0462451-0.00472237j 0.054798+0.0413112j -0.00636426-0.081601j 0.0609302+0.0331126j 0.00762966+0.0117526j -0.00756549+0.00699547j -0.000385586-0.00734618j -0.0439705+0.0108358j -0.149893+0.059401j -0.0509422-0.021664j -0.00819719+0.082355j 0.0226868-0.156428j -0.0571125-0.146411j 
0.0746372-0.0106461j -0.0109365+0.172038j 0.0921968-0.0130428j 0.0284599-0.00551816j 0.00173362-0.156015j -0.00328226+0.124508j 0.0345555+0.0587731j -0.0352956-0.0499418j -0.0490834+0.0102492j 0.00281822+0.0135379j 0.0210964-0.0202566j -0.0123484-0.00409303j 0.00204234-0.0482103j -0.00255391-0.000167529j 0.00143505+0.02557j -0.00245148+0.0194499j 0.019383-0.0453567j 0.00330026-0.010398j 0.0149853+0.000337535j -0.000629856-0.023882j 0.0248903+0.172123j 0.0142957-0.0135858j 0.0204389-0.0373658j -0.044925+0.203098j -0.0195701+0.0132747j 0.0341929-0.0489203j 0.0129065-0.0415475j -0.0244478-0.0295503j -7.12156e-05-0.0311852j -0.0169649+0.0125267j 0.0268992+0.23058j 0.0275162-0.023404j -0.262962+7.77763e-05j 0.168111-0.00474338j -0.108916+0.0385944j 0.256087+0.0540711j 0.14606-0.120976j 0.00793487+0.0164986j -0.0138074-0.1119j 0.0312684+0.0247857j -0.0241836-0.163627j -0.209644+0.0182872j 0.160005+0.0273466j -0.0583232+0.0781425j -0.168223-0.017193j 0.0126199-0.0895889j -0.0993053+0.0147176j 0.0529983+0.0787391j 0.00543138+0.0207588j -0.0238348-0.0230466j 0.0235986+0.0420414j 0.0447721-0.00866528j 0.0430035+0.0275072j 0.00664086+0.0183312j -0.0153046-0.0182576j 0.0392582+0.0227661j 0.0900621+0.0258262j -0.07934+0.00896726j 0.083971-0.060771j 0.000100713-0.0251048j -0.0405006-0.124963j -0.0169716-0.00815015j 0.0151143-0.0690032j -0.0384356-0.0185434j -0.0448586+0.0632446j 0.00419469-0.0452436j 0.00770883-0.0765774j -0.00834411-0.0296219j -0.0923529-0.0314385j -0.0552576-0.0284995j -0.00932747+0.00872073j -0.00682389-0.0013038j -0.00898661+0.00575748j -0.0171372-0.0260062j 0.0132102+0.0197015j 0.0164919+0.0170811j 0.00340581-0.00551559j 0.00295786+0.00283254j -0.0139256-0.00964797j -0.00573871+0.0163656j 0.048844-0.0136989j 0.0466228-0.0205767j -0.0104868-0.0115896j -0.00657036+0.0567337j 0.00290146+0.0377595j -0.0672085+0.0360643j -0.066532+0.0245085j 0.00864579+0.0154887j -0.00177297+0.0110839j -0.0682995-0.0657199j 0.0732873+0.00752193j 0.0701957-0.0507849j -0.0213069-0.017005j -0.0454702+0.0168893j 0.0166394+0.136595j 
0.0292302-0.110444j 0.0395172+0.0453533j 0.0448197+0.0208382j 0.0179346+0.0149948j 0.0214722-0.111062j -6.22583e-05-0.0247335j 0.00320348-0.0223974j 0.0273968-0.0833437j -0.0256656-0.0301202j -0.0288475+0.00067223j -0.021806-0.00931343j -0.00416736-0.0237213j 0.016355-0.0023018j -0.0182777-0.00125353j -0.00546724+0.0190396j -0.0058262-0.000946384j -0.000119678+0.0386546j 0.0209935-0.0107026j -0.00480981-0.039002j 0.00197018+0.0178287j 0.0099177-0.00382523j -0.00956188-0.0252191j 0.0292948-0.0907244j 0.00723887+0.101545j -0.0369373+0.0782575j 0.025848-0.0689107j 0.0210869-0.0218712j -0.023464-0.0512622j -0.0243297-0.0720071j -0.0081061-0.0285778j -0.0240045+0.114927j -0.00880879-0.00188856j -0.0545959-0.0154024j 0.227583+0.0351251j -0.00857357+0.0130067j 0.092773+0.0096585j 0.0274394-0.0382485j 0.0771951+0.0193961j -0.0195666+0.0905717j -0.03914+0.0469145j -0.0455675-0.0186692j -0.125727-0.0154718j -0.17629-0.0188073j 0.0589737-0.0633725j 0.0327632+0.00443679j -0.0334459+0.0166484j 0.029049+0.00708939j -0.0937288+0.0117166j -0.0454898-0.0196813j -0.0696844-0.000491418j -0.0491773-0.0188098j 0.0162319-0.0203162j 0.0782583-0.0129262j -0.0213165-0.00664085j -0.0123577-0.00689516j 0.00506629+0.0458884j -0.0114489-0.0145798j 0.0636588-0.00246461j 0.0328844-0.0459349j 0.00345347-0.06307j 0.00736779-0.0245771j 0.0215396-0.00835193j -0.0167436+0.00716429j -0.0598891+0.000185645j -0.021375+0.0269126j 0.00820458-0.0276541j 0.0116861-0.0117411j 0.0129511+0.00681309j -0.072069+0.032459j -0.00359912-0.084841j -0.0477606+0.0213884j -0.0521995-0.0631736j -0.0153202+0.0111735j -0.0229648-0.0336853j 0.0517349-0.0332446j -0.0183914-0.0387197j -0.0945971-0.0349413j 0.0228201-0.0614302j 0.0164829-0.0284024j -0.0211488+0.035042j -0.019786+0.0412131j -0.0288003+0.0759049j 0.0343183+0.0992988j -0.0326706-0.141931j -0.0111605-0.0480071j 0.000570403+0.0589128j 0.0256926-0.0832354j -0.0101947+0.0108316j 0.0181273+0.0125548j 0.073875+0.00345325j 0.0359348+0.0111876j -0.0829365+0.0591549j 0.0239531+0.0834066j 0.0292114+0.0655907j 0.0169033-0.0717848j 
0.00615853+0.00122744j 0.014355+0.0229104j 0.00338011+0.0147145j 0.0286714+0.00570557j 0.00770614-0.0527302j 0.000599911-0.0581355j 0.0102998-0.0181109j 0.0119027+0.00573308j 0.00141156+0.0185122j -0.0140481+0.00882616j -0.0151566-0.0111036j -0.000125115-0.0217712j 0.00753198-0.00182095j -0.00126589-0.0170939j -0.0128149-0.0259465j -0.00243031-0.0182632j 0.00320244+0.0188211j -0.00914782-0.0140753j -0.0115097-0.00555986j -0.00117623-0.0294702j 0.0096454-0.038237j 0.00917592-0.00215771j 0.00641929-0.050696j 0.00921579-0.0224706j 0.0026303+0.023223j -0.00187768-0.0215134j 0.0089128-0.00457011j -0.00325196-0.0138155j 0.00396228-0.00893678j -0.00205447+0.0199853j -0.0131042+0.0540979j 0.00272745+0.0117072j -0.0232429-0.0365632j 0.0591042+0.00463907j -0.0241582-0.00410386j 0.0272231-0.0255424j 0.00930903-0.0330766j -0.000276965+0.0012997j -0.0202375+0.0495555j -0.00124491-0.0125342j 0.00424535-0.00662052j 0.0293661-0.0154309j -0.0987883-0.012799j 0.0302805-0.0319681j 0.00437067+0.00658305j -0.0615665-0.00819409j 0.0973701-0.00979936j -0.0618328+0.0102561j 0.0264429-0.0204796j 0.0265345+0.00336763j -0.047413-0.0239659j -0.130214+0.0200866j -0.109703+0.00501622j -0.0349466-0.0112912j 0.10117+0.0185061j 0.0326839-0.0430107j 0.106782+0.0246548j -0.0228731-0.00106573j 0.00303591-0.0439258j 0.0499661-0.0230583j 0.000192945-0.0405727j -0.0135629-0.0735006j -0.0300966+0.00995583j -0.0373265-0.0515404j 0.0290437+0.00161006j 0.00571909+0.0105487j 0.0561797-0.0210052j -0.0155617-0.023723j -0.019126+0.011552j -0.00281522-0.0016885j 0.000155055-0.0185206j -0.0188697-0.00348409j 0.0431917-0.0136952j 0.018254+0.021758j 0.0343289-0.0365976j -0.00690325-0.033113j 0.000283352-0.0386117j 0.0355973-0.00752066j -0.00539673-0.0152115j 0.0387969+0.00812471j 0.0508761-0.0424408j 0.00823918+0.010732j -0.00839701-0.0563549j -0.00278678-0.00744769j -0.0142169-0.113887j -0.0439787-0.0191049j -0.0409951+0.0123717j 0.00639403+0.00354238j -0.00453852-0.00563044j -0.0938108-0.0467515j 0.0523567-0.0299745j 0.0827001-0.0449666j -0.0294762-0.0405292j -0.0427757-0.0140244j 0.0123201+0.183673j 
-0.00233074+7.09529e-05j 0.00221645-0.0165301j 0.0217859-0.00905925j -0.0178843-0.0212606j 0.000598445-0.00347953j 0.0153685-0.0221771j -0.0306312-0.00368436j -0.0023993+0.0304344j -0.00917626-0.0188263j 0.00355236+0.0154423j 0.00636317+0.0128532j -0.00341158-0.0160309j -0.0106406-0.00269959j -0.00659994-0.0321886j 0.0110697-0.00698111j -0.0210049+0.00396278j -0.0143686-0.0319544j -0.0147429+0.0266304j -0.0301341+0.00442653j -0.0200687-0.0370451j -0.00319576+0.00171898j 0.0167949-0.0126244j 0.00933578-0.00131217j 0.00783064-0.0359517j 0.0120036-0.0157237j -0.00100824-0.0322433j 0.00600066-0.0259215j -0.000802943+0.0362077j 0.00116104+0.0306612j 0.00274451+0.000867571j -0.0230051+0.0159636j 7.21486e-05+0.0310315j 0.0293883-0.0640516j -0.00404026+4.707e-05j -0.00749373+0.0752886j -0.0245506-0.0474313j -0.0306922+0.0127255j 0.0138038-0.0108804j 0.0281045-0.0897009j -0.00614942-0.0214182j 0.00125031+0.0152043j 0.00102309-0.011645j 0.119934-0.00424565j 0.0130162-0.0526859j 0.0604906+0.0133781j -0.00618722-0.0143403j 0.0573674+0.0171634j -0.0525046-0.0117828j -0.0100553-0.00267791j -0.0238874+0.0146117j -0.0313288+0.0279621j 0.0719133-0.0636171j -0.047985+0.0397059j 0.0564544+0.0297644j -0.0316235-0.0927812j 0.0174591-0.0575112j 0.0803228+0.0514829j 0.019551+0.00658572j 0.0479649-0.0152333j 0.0128223-0.0323987j -0.0206833+0.041834j -0.0277523+0.0107556j -0.0246502+0.0807135j 0.0069309-0.0456622j 0.0262104-0.00107622j -0.0213835+0.00668564j 0.0330524+0.0237656j -0.024066-0.0366344j 0.0447158+0.009144j 0.0178489+0.002749j 0.0250147-0.0112139j 0.0142387-0.00118446j 0.0468448-0.0165214j 0.0397417+0.0163308j 0.0297498-0.0577717j 0.0170697-0.080649j 0.0738988-0.0172499j -0.102824+0.0573668j 0.150558-0.0418642j 0.117046+0.0296223j 0.182132-0.023493j 0.00498322-0.00253657j -0.0399775+0.159013j 0.0279729+0.317077j -0.0865155-0.162653j 0.0536703-0.0717242j 0.0460357+0.142011j 0.00836513+0.019589j -0.000487647+0.00395625j -0.0661117-0.0654782j -0.102869+0.0758387j -0.0292914-0.0571013j -0.00218507+0.0187793j 0.0120298-0.0664426j -0.0337842-0.0646593j 
0.0276488-0.0189442j 0.00657055+0.0393185j 0.019282-0.0232805j 0.0426554-0.0203771j -0.0205462-0.0541485j -0.00201793+0.0179595j 0.00474115+0.0365557j 0.00289198-0.00277062j 0.000842366+0.00358544j -0.00263563-0.0176239j -0.00837411-0.0327797j 0.0316713+0.0125628j 0.021638+0.0205591j 0.0180438-0.00857946j -0.00866991-0.00459404j 0.00863823+0.00730452j 0.0262983-0.0117922j -0.00990649+0.0104669j 0.0155659-0.00743199j 0.00908464-0.0547235j 0.0186149-0.00196832j -0.000606362+0.035433j 0.00382076+0.0446292j -0.0108782+0.0461346j 0.00478856+0.00526832j -0.000461167-0.0191715j 0.0123712-0.0224691j 0.00106146+0.0128194j -0.0053638-0.0280499j -0.00217716+0.0150557j -0.00931141+0.0131377j 0.00663471+0.0352536j -0.0427437-0.00802586j 0.0760235-0.000660217j -0.0266432+0.0377059j 0.0424339-0.00778156j -0.0183583+0.0509879j 0.00672652+0.00573686j -0.00616118+0.0283816j -0.0312202-0.0847245j 0.0383294-0.0724262j 0.0784677+0.00398102j 0.0114535-0.00208808j -0.0251664-0.0346141j -0.134864+0.0121586j -0.0446657-0.049848j 0.00888866-0.048062j -0.0366613-0.00697032j 0.00867233-0.0466271j 0.000123615+0.0800543j -0.0834515-0.0194427j 0.00671643-0.00348505j 0.0429363+0.0298946j -0.0283543+0.0259723j 0.0181599-0.0246082j 0.0397603-0.106306j 0.0501492+0.0475534j -0.0934249-0.0130731j -0.013383-0.00489176j 0.0215006+0.050378j 0.000334829+0.0111203j 0.0131943-0.132065j -0.0673975+0.0723901j -0.0309697-0.0886168j -0.00200313+0.0991521j 0.0950985-0.0626236j 0.0663098+0.00937873j -0.0908396-0.0727914j -0.027716-0.0502677j -0.0287824+0.0217105j 0.0850044-0.0478665j -0.0503849+0.0654719j -0.0532017-0.012136j 0.0175669+0.115001j -0.0142318+0.0355609j 0.0517008+0.135552j 0.0119461+0.0425082j 0.0582869-0.0254964j -0.0512157-0.0454347j -0.0129574-0.0619766j 0.0464343-0.0511119j -0.00440126-0.0500602j -0.0140933-0.0542876j 0.0268175-0.0303412j -0.0333441-0.056568j 0.123128-0.00733129j 0.0639475+0.0372499j -0.000759319-0.0133156j -0.00592428-0.0190262j -0.0459015+0.0550613j -0.21628+0.0216366j -0.071131-0.00627355j 0.0318411+0.0147103j 0.0339871-0.164274j -0.064314-0.166298j 
0.00192699-0.0269719j 0.0029272+0.00247593j -0.0127645+0.0154975j 0.00644668-0.00633622j -0.00149147+0.00142495j -0.023683-0.00408147j 0.0114009+0.00144129j -0.00599467+0.0132515j 0.00858743-0.0143836j -0.00736436+0.0262268j -0.00944024+0.016929j 0.0247957+0.00339984j 0.00693908-0.02363j -0.00755207+0.00581853j 0.0215897+0.0265514j -0.0157101-0.0267227j -0.00220839+0.00170089j -0.00524553+0.00289873j 0.0299951-0.0123623j -0.000809654+0.00978729j 0.00742257+0.0213232j -0.00343525+0.0201354j -0.00356728+0.0316705j 0.000749009-0.00256009j -0.00608706-0.0152513j -0.000395906+0.0102278j 0.0177647+0.0274422j 0.018452-0.0196161j -0.00730436-0.0259301j -0.00433427-0.0112701j -0.00295543-0.0213286j -0.00958242+0.0248816j 0.00725581-0.0132917j 0.0457309-0.00896053j 0.00491381+3.34723e-05j -0.0151366-0.0171198j -0.014702+0.00441805j -0.0035023+0.0230808j -0.000489509+0.00946499j -0.0134297-0.000822418j 0.0120264-0.0102282j 0.0326072+0.00946104j 0.0378767-0.0018477j -0.0120409-0.0288674j -0.00301547+0.00288808j 0.000645706-0.00834323j -0.0572633+0.0115179j 0.0385525+0.0276564j -0.0431493+0.0640449j -0.0113489-0.0771636j 0.058332-0.00413563j -0.0694164-0.0168754j -0.0110096-0.0310028j -0.0313272-0.0339358j 0.0267293-0.0248529j -0.0231071+0.0443477j -0.0167548-0.00934715j 0.0197678+0.0179942j 0.0319292+0.0219669j -0.0507462-0.0547639j -0.0265544+0.0781009j 0.0117035+0.0226544j 0.00302885-0.0216176j -0.00364355-0.0259636j -0.0136333+0.0653078j 0.0639513-0.0327467j 0.00361623-0.0349655j -0.0270812-0.0181327j 0.0198087-0.0159653j -0.0241936-0.0319799j 0.0826014-0.0815815j -0.0124121-0.00250877j -0.0623831-0.00798343j 0.0172982+0.110696j -0.00998606+0.0740417j 0.120529+0.123142j -0.13753+0.0996936j -0.0884504-0.051534j 0.078567-0.0630241j -0.109758-0.0190738j -0.0683039+0.0529984j 0.095616-0.00220047j 0.0160411+0.225625j 0.0534898-0.000385198j 0.0396848+0.0946225j -0.0157838+0.0944426j -0.0233372-0.0922138j 0.002567-0.0020561j -0.00647813+8.35243e-05j -0.0111436+0.0246292j 0.0131475-0.00346849j 0.03378-0.0126287j -0.00831272-0.0121217j -0.0112022-0.00512309j 0.00154803+0.0318553j 
0.00686977-0.018964j 0.00810463+0.0160145j 0.00571803-0.0234532j -0.0105793-8.32716e-05j -0.00528534-0.0291366j -0.00371161-0.0457438j 3.80846e-06+0.000334109j 0.00440906+0.00894117j -0.0109192-0.00144111j -0.0191537+0.0267729j -0.0176546+0.0142302j 0.0046181-0.00893588j 0.00600106+0.0244326j 0.0175692-0.0208813j -0.0242987-0.0136546j 0.0165689+0.0224008j 0.0203509+0.0149062j -0.0144151+0.00637139j 0.0160341-0.0118294j 0.00175311+0.0138854j 0.00726283+0.0276213j -0.00205263+0.0229275j 0.0145134-0.0150808j -0.00129376+0.0095836j 0.00835812+0.0229089j -0.00228309-0.0214118j 0.00318147+0.0384675j -0.000606872-0.0178428j 0.0042276+0.011062j 0.00332569-0.00325174j -0.0153631+0.00933034j 0.00178456+0.0306815j -0.0138643-0.0250132j 0.0571606+0.00638282j -0.0120491+0.0357219j 0.00722452-0.00281997j -0.0216118+0.000725138j 0.0181651+0.00630753j 0.000576869+0.0255006j -0.0132381+0.0409636j -0.0198955+0.0638671j 0.0101107-0.0240148j -0.0159721-0.00710351j 0.0199919-0.0218097j 0.103611+0.0193664j 0.0413343-0.0104593j 0.0209632+0.00718505j -0.0157912-0.00350677j -8.1841e-05-0.0283412j -0.0147706+0.00609133j -0.00763232-0.00619862j 0.0212129+0.00525257j -0.0244271+0.0185529j -0.0025091+0.00577639j 0.00694918+0.0276232j 0.0358212-0.0466481j 0.0776495+0.042894j 0.0148002+0.00917214j 0.0680818-0.0296905j -0.0279314-0.0300827j -0.0457959-0.0338575j -0.0146821-0.0111051j 0.000879794-0.0592802j 0.0144959-0.038528j -0.0302845+0.00481691j 0.0542978-0.0159321j -0.0169989+0.000326568j -0.0228432+0.00548551j 0.0395519-0.0423215j -0.102486+0.0710375j 0.0710949-0.0421273j 0.0486297+0.0514367j -0.021392-0.0470961j -0.0122574+0.0937827j -0.182119+0.113327j 0.154892+0.0481145j 0.056815+0.216479j 0.145454+0.0751183j -0.0295111+0.104346j -0.0197165-0.234652j 0.121005-0.101855j -0.0265358+0.00731086j -0.0152659-0.0324166j -0.00168379-0.0264629j -0.0429079-0.101j 0.0665119-0.0224351j 0.0289857+0.110017j -0.00929543+0.0401012j 0.00306363+0.0769612j -0.0135809-0.0444003j -0.0336583+0.0283492j 0.00350349-0.0362901j -0.0153609-0.0692192j 0.0039463-0.0233841j -0.0105909+0.0149339j 
