0.634465-0j 0.569295-0j 0.030081-0j -0.09911-0j 7.86335e-05-0j -0.000709467-0j 2.64198e-08-0j -6.27075e-07-0j -0.00437196-0j 0.0252077-0j -6.69305e-06-0j 9.31886e-05-0j 3.83469e-08-0j 1.67094e-07-0j -3.96597e-06-0j 0.000430693-0j -0.00388591-0j 2.5064e-07-0j -5.94895e-06-0j 2.10035e-07-0j -2.83962e-05-0j 0.000395366-0j 2.30082e-07-0j 1.1209e-06-0j -2.66045e-05-0j 1.06507e-06-0j 
0.00388591-0j 3.8939e-05-0j 0.0110673-0j 0.000192145-0j -0.00127276-0j 0.000143786-0j -2.22776e-06-0j 1.47944e-06-0j 0.0156572-0j 0.000524844-0j 0.000279033-0j -8.53585e-05-0j -1.82985e-07-0j -1.40896e-05-0j 9.35681e-06-0j 0.421944-0j -0.0476681-0j 0.0012792-0j -0.00084951-0j 6.06632e-05-0j 0.00118384-0j -0.000362146-0j -1.09791e-06-0j -9.45156e-05-0j 6.27674e-05-0j -5.08233e-06-0j 
2.5064e-07-0j 2.5104e-08-0j -0.000110455-0j -1.309e-05-0j -0.00150713-0j -0.000230584-0j -0.00508326-0j -0.00134705-0j 2.37778e-05-0j 3.15052e-06-0j -0.0046862-0j -0.000878104-0j -0.00489143-0j 0.000356668-0j 9.45156e-05-0j -0.00836102-0j -0.0012792-0j 0.951365-0j 0.252108-0j -0.0271359-0j 0.000676729-0j 0.000126806-0j -0.0144287-0j 0.0023926-0j 0.00063403-0j 0.00227343-0j 
-5.94895e-06-0j -3.94019e-08-0j 0.00173801-0j 1.46192e-05-0j 0.0116576-0j 0.00015313-0j -0.00134705-0j 0.000284722-0j -0.000279033-0j -2.80541e-06-0j 0.017503-0j 0.000384374-0j -7.33538e-05-0j 9.45156e-05-0j -1.99775e-05-0j 0.0646725-0j 0.00084951-0j 0.252108-0j -0.0532875-0j -0.000406941-0j -0.00252759-0j -5.5507e-05-0j -0.000216379-0j 0.00063403-0j -0.000134013-0j 3.40933e-05-0j 
-2.10035e-07-0j -1.1905e-09-0j -3.15052e-06-0j -2.11293e-08-0j -2.11343e-05-0j -1.82985e-07-0j -4.72578e-05-0j -7.08697e-07-0j 0.00089379-0j 6.70182e-06-0j 0.00599573-0j 6.3579e-05-0j 0.000174118-0j 0.0271126-0j 0.000406591-0j 0.00700647-0j 6.06632e-05-0j 0.0271359-0j 0.000406941-0j -0.0577238-0j -0.000567094-0j -6.0135e-06-0j -2.32902e-05-0j -0.00200498-0j -3.00675e-05-0j -0.000107813-0j 
-2.83962e-05-0j -3.32346e-06-0j -0.000282377-0j -4.19715e-05-0j -0.000931171-0j -0.000216138-0j 7.13335e-05-0j -0.000266431-0j -0.00133191-0j -0.00023663-0j -0.00284374-0j -0.00110353-0j 0.000103537-0j 0.000451153-0j -0.00168506-0j -0.00510023-0j -0.00118384-0j 0.000676729-0j -0.00252759-0j 0.000567094-0j 0.921686-0j 0.357666-0j -0.0474572-0j 0.00302643-0j -0.0113037-0j 0.00287569-0j 
0.000395366-0j 3.15146e-06-0j 0.00232969-0j 2.63371e-05-0j 0.00236903-0j 6.61184e-05-0j 1.33665e-05-0j -5.85095e-06-0j 0.00719979-0j 0.00011048-0j -0.00110353-0j 0.000158882-0j 1.09791e-06-0j 8.45374e-05-0j -3.70047e-05-0j 0.0129757-0j 0.000362146-0j 0.000126806-0j -5.5507e-05-0j 6.0135e-06-0j 0.357666-0j -0.0514952-0j -0.000503239-0j 0.000567094-0j -0.000248235-0j 3.0494e-05-0j 
-2.30082e-07-0j -1.30413e-09-0j 0.000101395-0j 6.80014e-07-0j 0.00138351-0j 1.19786e-05-0j 0.0046663-0j 6.99777e-05-0j -2.18275e-05-0j -1.63667e-07-0j 0.00430182-0j 4.56167e-05-0j 0.000254105-0j -0.000327412-0j -4.91e-06-0j -0.000126806-0j -1.09791e-06-0j 0.0144287-0j 0.000216379-0j -2.32902e-05-0j 0.0474572-0j 0.000503239-0j -0.0572615-0j -0.00219635-0j -3.29373e-05-0j -0.000118103-0j 
-1.1209e-06-0j -1.12268e-07-0j -1.68135e-05-0j -1.99256e-06-0j -0.000112788-0j -1.72561e-05-0j -0.000252202-0j -6.68327e-05-0j -0.000106338-0j -1.40896e-05-0j -0.000713335-0j -0.000133665-0j -0.000366058-0j -0.00159507-0j -0.000422687-0j -0.000617766-0j -9.45156e-05-0j -0.0023926-0j -0.00063403-0j -0.00200498-0j -0.00302643-0j -0.000567094-0j -0.00219635-0j 0.9893-0j 0.262161-0j -0.0101671-0j 
2.66045e-05-0j 1.76211e-07-0j 0.00026456-0j 2.22534e-06-0j 0.000872417-0j 1.14597e-05-0j -6.68327e-05-0j 1.41262e-05-0j 0.00124787-0j 1.25462e-05-0j 0.00266431-0j 5.85095e-05-0j -5.48955e-06-0j -0.000422687-0j 8.93422e-05-0j 0.00477843-0j 6.27674e-05-0j -0.00063403-0j 0.000134013-0j -3.00675e-05-0j 0.0113037-0j 0.000248235-0j -3.29373e-05-0j 0.262161-0j -0.0554123-0j -0.00015247-0j 
1.06507e-06-0j 6.03694e-09-0j 1.59761e-05-0j 1.07145e-07-0j 0.000107171-0j 9.27903e-07-0j 0.000239641-0j 3.59375e-06-0j 0.000101041-0j 7.57629e-07-0j 0.000677807-0j 7.1875e-06-0j 1.96838e-05-0j 0.00151562-0j 2.27289e-05-0j 0.000586998-0j 5.08233e-06-0j 0.00227343-0j 3.40933e-05-0j 0.000107813-0j 0.00287569-0j 3.0494e-05-0j 0.000118103-0j 0.0101671-0j 0.00015247-0j -0.0594389-0j 
