1-1.61559e-27j 0.145681+0.00266325j 0.0275921+0.0305364j 0.0545681+0.0186238j -0.0193421+0.0567958j 0.0367958-0.0314446j 0.00026575+0.00858529j 0.014494-0.023647j 0.0129581+0.0125574j 0.0345312-0.00234494j -0.0361026-0.00918739j -0.00454743-0.0368696j -0.0202564+0.0314599j -0.0194384-0.0187885j 0.00349708+0.0126992j 0.00257137-0.00319996j -0.00826778-0.000773272j 0.00766807-0.00682545j -0.00101482-0.00108864j -0.00048103-0.000278594j -0.0139619-0.0173473j 0.0121376+0.000528349j -0.0109024+0.0241903j -0.000769782+0.00189834j -0.000857504+0.00111016j -0.00885466-0.000591603j 0.0358255-0.0017659j 0.00548615-0.0212824j 0.0110969-0.0115354j 0.014391+0.0264795j -2.66378e-05+0.000182245j -0.00198238+0.002586j -0.00580637+0.0190536j -0.0161897-0.0116373j 0.00980559-0.00882263j -0.00624625+9.92344e-05j 0.00540335-0.00335088j -0.00421976-0.00366699j 0.00561632+0.000902219j -0.000345801-3.29536e-05j 
-0.00454743+0.0368696j -0.0190626-0.0604285j 0.0631558+0.0383321j 0.00786742-0.0246465j -0.00901644-0.065087j 0.00278379-0.0153528j 0.0541139-0.0749858j -0.0258126+0.0573033j -0.28422+0.166957j -0.263786-0.412536j 0.0675457-0.413932j -0.104324+5.21805e-15j -0.0433639+0.156137j -0.215416-0.131561j -0.0385959+0.0213296j -0.0174356+0.0211107j -0.0151713-0.028766j 0.0266799-0.0255607j -0.00797205+0.013591j -0.0144611-0.0841886j -0.0546354+0.0181431j -0.0806487-0.00100007j 0.0507905-0.0162047j 0.0148295-0.0159139j -0.00413341+0.0170415j 0.0015807+0.0276481j -0.0174572+0.033882j 0.0113334+0.100962j 0.0253385-0.0815348j -0.00938758+0.0984498j -0.0119405-0.00687461j 0.0182597-0.000877673j -0.0178279+0.0045864j -0.0146969+0.0567706j 0.0267977+0.00497261j -0.0368166+0.0342379j -0.00433592+0.0532267j 0.00352535+0.0285262j 0.0142436+0.0338575j 0.00440212+0.000947204j 
-0.0202564-0.0314599j 0.00324284-0.0161829j 0.0320517+0.0359098j -0.00591413-0.0322833j 0.00959683+0.0173097j -0.032143+0.0235847j -0.179525-0.0357018j 0.0790917-0.504182j -0.0369612+0.219355j -0.418299+0.138132j 0.170858+0.00909713j -0.0433639-0.156137j 0.0712728-6.66134e-16j -0.0653137+0.0365992j -0.0311184-0.0287157j 0.0183457-0.0569632j 0.0834762+0.0335128j 0.041392-0.070693j 0.0168979-0.0366264j -0.0649983+0.0209251j 0.0175838-0.0522375j 0.0244474-0.0493723j -0.00176159-0.118j 0.0106478+0.0366557j 0.016698+0.0302092j 0.00764376-0.0341365j 0.0238743+0.0520659j -0.0179174-0.0488366j 0.0258157-0.0474591j 0.0351053-0.00765509j 0.0187249-0.0203877j -0.00199168-0.0290806j 0.0474494+0.0589037j 0.030861+0.0406292j -0.0267189+0.00902619j -0.0226677+0.0175225j -0.00644666-0.00271272j 0.0648234+0.0384402j 0.0314271+0.0345024j -0.0371814+0.00972214j 
-0.0194384+0.0187885j 0.0129102+0.00824119j 0.00841376-0.118364j 0.00735669-0.024244j 0.0210423+0.0561167j -0.000172361+0.00591528j -0.362703+0.158172j 0.165449+0.242513j -0.0762593-0.0817698j -0.123094-0.0154407j -0.38175+0.0337404j -0.215416+0.131561j -0.0653137-0.0365992j 0.0520305+9.85323e-16j 0.0642759+0.00418181j 0.124983-0.0550842j 0.147212-0.0238586j -0.0392644+0.0557646j 0.0215376+0.0227227j -0.0996484+0.0535424j 0.0597739-0.0273322j 0.0245024-0.0770599j -0.0475944+0.0854495j 0.00894695-0.00826726j 0.0124675-0.0286895j 0.0155245+0.0119841j 0.0222753-0.014454j 0.0108628+0.00283444j -0.000680105+0.0398193j 0.0311194-0.052709j -0.00151431+0.00624072j -0.0226306+0.0271304j 0.0088414-0.0140508j -0.00345107-0.0484826j -0.0196517+0.0272951j 0.0238327-0.0185824j -0.00483886-0.0200251j 0.00680701-0.0171356j -0.0330189-0.0312336j -0.0110346-0.0067782j 
0.00349708-0.0126992j -0.0171389-0.0461052j -0.0269009-0.0534569j -0.0269468+0.0152088j 0.0311765-0.0430502j 0.0269682-0.00898176j 0.204651+0.56138j -0.26306-0.0723004j -0.346661+0.268492j -0.107716+0.0112808j -0.0172307-0.030831j -0.0385959-0.0213296j -0.0311184+0.0287157j 0.0642759-0.00418181j -6.384e-05+1.38778e-15j 0.019642-0.169879j -0.0624502-0.0604476j 0.00923026+0.141098j -0.00570177-0.0220084j 0.0385805+0.0651982j -0.0630198+0.0276338j 0.0226494+0.0464914j 0.0207902+0.0888524j 0.00385842-0.0215631j 0.0114164-0.0183444j 0.00546233+0.00624753j -0.0435034-0.0395245j 0.0115404+0.0140792j -0.0258838+0.000179387j -0.0382701-0.0129496j -0.0207997+0.0122813j -0.00983028-0.0023559j -0.0449256-0.0336585j -0.0189672-0.018048j 0.0439129+0.00425293j 0.0135834-0.0133298j 0.0137107+0.00664903j -0.0589777-0.0263361j -0.032692-0.0215386j 0.0370843-0.0385847j 
0.00257137+0.00319996j 0.00921474+0.0215629j 0.00977841+0.0265975j -0.004194-0.0317605j -0.0110217+0.00608659j -0.0256206+0.0550299j -0.0221917-0.050411j 0.0137505-0.0273842j 0.0401251-0.0214338j -0.017385+0.0169509j 0.0336549-0.00891707j -0.0174356-0.0211107j 0.0183457+0.0569632j 0.124983+0.0550842j 0.019642+0.169879j 0.00659381+6.10623e-16j 0.0380989+0.00927305j -0.02426-0.00875817j -0.00126364+0.00387396j -0.0171151+0.00772056j -0.00744591-0.0212225j 0.0147722-0.000284727j -0.0453172-0.0138181j 0.00802005-0.00588563j 0.0097505-0.0176494j 0.00320794+0.00251774j 0.0174829-0.00292273j -0.0330615-0.00236567j -0.0581906-0.0214222j 0.00975461-0.00963056j 0.00325541+0.0268804j -0.00256225+0.0246965j 0.0380209-0.0485336j 0.0513356-0.0145414j 0.0652275-0.0978114j 0.111095-0.151849j 0.0346851-0.046146j -0.24082-0.148707j -0.277192-0.0762395j 0.24172-0.598743j 
-0.00826778+0.000773272j -0.0217944+0.000985593j -0.00378908+0.00274929j 0.000503433+0.00256451j -0.00948712+0.00951308j -0.00264217-0.00476546j 0.0489606-0.000213503j 0.0392961+0.000730929j -0.0663011-0.00663125j 0.0579888-0.000803285j -0.101588-0.00931747j -0.0151713+0.028766j 0.0834762-0.0335128j 0.147212+0.0238586j -0.0624502+0.0604476j 0.0380989-0.00927305j -0.0399762-1.66533e-16j -0.0377872+0.00513911j -0.00403949+0.0035603j 0.0130591+0.00463847j 0.0642072+0.00789698j -0.0385471+0.00499786j -0.00573416+0.000324965j -0.0108545-0.0113546j -0.0160257-0.0121455j -0.0170372+0.013261j 0.0375737-0.00511516j -0.0172361+0.0297725j 0.12519-0.0121116j 0.0372309-0.00756738j -0.0351277+0.0589913j -0.0163387+0.0475802j 0.0471554+0.0406731j 0.214602+0.249208j 0.216911+0.0835363j -0.275271-0.0401476j 0.132166+0.0913926j -0.00298064-0.00474145j 0.181597-0.304935j -0.350868-0.183026j 
0.00766807+0.00682545j 0.0110795+0.0175581j 0.00377901-0.0157647j -0.0138531+0.0115122j -0.000869379-0.00388032j 0.0197564+0.0218501j -0.00746741-2.50204e-05j -0.0196146+0.000678093j 0.00421637+0.0187204j -0.00188814-0.00624536j 0.046657-0.00352184j 0.0266799+0.0255607j 0.041392+0.070693j -0.0392644-0.0557646j 0.00923026-0.141098j -0.02426+0.00875817j -0.0377872-0.00513911j 0.0166779-8.32667e-16j 0.00617032-0.00045747j 0.0130546-0.0359403j 0.025232+0.00546256j -0.0486056-0.00991034j 0.0482821-0.00419686j -0.00739455+0.0238418j 0.00016117+0.0483294j -0.00660751-0.0201821j 0.0291158+0.0456865j 0.020922-0.0388871j -0.00433316-0.0589222j -0.00690825+0.000342822j 0.0665196-0.122249j 0.0316072-0.11402j 0.323382+0.136552j 0.225221-0.0574512j -0.141823-0.0293527j -0.0186428-0.118556j -0.0438529-0.031972j 0.0593068-0.515437j -0.0369144+0.344962j -0.140467-0.0675576j 
-0.00101482+0.00108864j 0.018183+0.0192169j 0.0189748+0.0214974j 0.0199356-0.0171105j 0.0134662+0.0464815j -0.0179024-0.0480354j 0.0118272-0.00211371j -0.0254464-0.00190121j -0.00345185+0.00792783j -0.0261884-0.0291971j 0.0341725-0.0202244j -0.00797205-0.013591j 0.0168979+0.0366264j 0.0215376-0.0227227j -0.00570177+0.0220084j -0.00126364-0.00387396j -0.00403949-0.0035603j 0.00617032+0.00045747j 0.0684774+1.60982e-15j -0.00931448-0.00127636j -0.00715162+0.000723433j 0.000632939+0.00171947j -0.00508989+0.000760922j 0.0340882+0.032713j -0.0159005-0.011728j 0.0646265-0.196623j 0.00897609-0.0449776j -0.0441123+0.0281922j 0.039449-0.00297163j -0.0111964+0.00106866j 0.257146+0.0627851j -0.315109-0.0549664j -0.0156034-0.0026686j -0.0235967+0.0744311j -0.0268199+0.319765j -0.00350176+0.0307316j 0.0826205-0.647652j -0.0115437-0.00225603j 0.00355387-0.0060346j 0.00137492-0.0284455j 
-0.00048103+0.000278594j 0.00405095+0.00398265j 0.0266358+0.00533019j -0.0409525+0.00243446j -0.0375473-0.0102478j -0.027375-0.0249481j -0.012569-0.0383611j 0.00365807-0.0573867j 0.0229283+0.0232173j -0.0122741-0.021008j 0.0398259-0.0442972j -0.0144611+0.0841886j -0.0649983-0.0209251j -0.0996484-0.0535424j 0.0385805-0.0651982j -0.0171151-0.00772056j 0.0130591-0.00463847j 0.0130546+0.0359403j -0.00931448+0.00127636j -0.0064981+1.82146e-16j -0.0151713+0.00310672j 0.0102528+0.0109908j -0.00201864+0.0542651j 0.00349711-0.000157606j 0.00837469+0.00578912j 0.00260337+0.0229001j -0.00578138-0.0376392j 0.0174785+0.00984292j -0.0321472+0.0999337j -0.0185956-0.000971737j -0.0358013-0.0248896j 0.0185672+0.00484742j -0.00711457-0.0584672j -0.0124074-0.0702613j 0.0125417-0.119297j 0.0861214-0.00550314j 0.00472798+0.0179799j -0.180761-0.113512j -0.159273-0.0497043j 0.10894-0.197386j 
-0.0139619+0.0173473j -0.00805667+0.0150626j -0.0171157-0.0101973j 0.0162448+0.013619j 0.0165116+0.00256755j 0.00233706-0.0120188j -0.0237323+0.0388069j 0.0861915+0.0507706j 0.0655086-0.0383353j -0.0323009+0.0276026j 0.10991-0.00842014j -0.0546354-0.0181431j 0.0175838+0.0522375j 0.0597739+0.0273322j -0.0630198-0.0276338j -0.00744591+0.0212225j 0.0642072-0.00789698j 0.025232-0.00546256j -0.00715162-0.000723433j -0.0151713-0.00310672j -0.0891356+4.95437e-15j 0.0476417-0.012091j -0.0294851+0.0350114j -0.0128392+0.0238966j 0.00368723+0.0464334j 0.0353585+0.0307885j -0.0642144-0.0653427j 0.294077+0.0277614j -0.129395+0.00232848j -0.254585-0.172032j -0.126052+0.000603407j -0.164767-0.000659864j -0.0068829+0.123242j -0.136143+0.184623j 0.102308-0.199931j -0.112059+0.0155957j 0.0449132-0.058778j -0.0543836-0.0325086j 0.357299+0.155592j 0.0694065-0.027853j 
0.0121376-0.000528349j 0.00353476-0.0148235j -0.0203371-0.00765671j 0.0247678+0.00229562j 0.0150629-0.00119774j -0.0130257-0.0295312j 0.0448724+0.00505519j 0.0460463+0.0216998j -0.0549435-0.0079804j 0.052343+0.0124543j 0.0133355-0.00335453j -0.0806487+0.00100007j 0.0244474+0.0493723j 0.0245024+0.0770599j 0.0226494-0.0464914j 0.0147722+0.000284727j -0.0385471-0.00499786j -0.0486056+0.00991034j 0.000632939-0.00171947j 0.0102528-0.0109908j 0.0476417+0.012091j -0.0539457+2.06085e-15j -0.0554549+0.0174534j 0.00834278+0.010091j -0.0145963+0.00231537j -0.0177367-0.00442249j 0.140014+0.015493j -0.133622+0.0157201j -0.318145+0.00620327j 0.081753+0.0292704j 0.113425-0.00734919j 0.0615475-0.0197531j -0.251807-0.0376665j -0.0828073+0.122644j -0.0121472+0.141519j -0.0376609-0.111988j -0.0218938+0.0841924j 0.411551+0.138264j 0.0840009+0.128396j 0.0324061-0.0915452j 
-0.0109024-0.0241903j 0.0057865+0.00132135j 0.0159766-0.0116638j -0.0191567-0.000925749j 0.00275613+0.00188142j 0.0197945+0.00866655j -0.0383803+0.00718121j -0.0100518-0.0082518j 0.0564416-0.00438724j -0.0139921+0.0382138j 0.0627904-0.00339982j 0.0507905+0.0162047j -0.00176159+0.118j -0.0475944-0.0854495j 0.0207902-0.0888524j -0.0453172+0.0138181j -0.00573416-0.000324965j 0.0482821+0.00419686j -0.00508989-0.000760922j -0.00201864-0.0542651j -0.0294851-0.0350114j -0.0554549-0.0174534j -0.0760873+2.77556e-16j -0.013214+0.0614572j 0.00121608+0.139949j -0.0856564-0.00178038j 0.348238+0.051022j 0.0765312-0.034558j 0.133851+0.0573033j -0.00524806-0.212376j 0.0254565+0.0587154j 0.0341478+0.0629292j -0.0804789-0.411624j 0.0883499+0.446452j -0.0340459-0.197374j 0.050115+0.143367j -0.0141718-0.0586933j -0.0265388-0.0216132j -0.0918263+0.0164062j 0.00892962+0.024043j 
-0.000769782-0.00189834j -0.000573353+0.0135167j 0.00755288-0.0175527j -0.00563928-0.0240865j 0.0270788-0.0105486j -0.0219322+0.0112792j 0.00966186+0.0159197j 0.0119982+0.0442057j -0.0269879-0.019453j 0.00361775+0.00794061j -0.0298002-0.00390989j 0.0148295+0.0159139j 0.0106478-0.0366557j 0.00894695+0.00826726j 0.00385842+0.0215631j 0.00802005+0.00588563j -0.0108545+0.0113546j -0.00739455-0.0238418j 0.0340882-0.032713j 0.00349711+0.000157606j -0.0128392-0.0238966j 0.00834278-0.010091j -0.013214-0.0614572j -0.425351+5.16254e-15j 0.201557-0.00420731j -0.174669+0.0150253j -0.0146531+0.0257047j -0.0535931-0.0595451j -0.00302803+0.0454198j 0.0317754+0.0208807j 0.109014+0.182774j -0.041851-0.210522j 0.0661266+0.0181368j 0.0419995-0.0376543j 0.0828232+0.0225877j 0.0372184-0.00245033j -0.372093-0.0661403j 0.0117819-0.0555846j -0.0158232+0.0532888j -0.0127814+0.0142623j 
-0.000857504-0.00111016j 0.0126546-0.00149543j -0.0295951+0.00678718j -0.02663+0.0131877j -0.0048343+0.0254977j 0.00544735-0.00480863j 0.0208395+0.0593517j -0.0104058+0.0571625j -0.0354712-0.00998755j 0.0510156-0.014764j -0.0622019+0.0085188j -0.00413341-0.0170415j 0.016698-0.0302092j 0.0124675+0.0286895j 0.0114164+0.0183444j 0.0097505+0.0176494j -0.0160257+0.0121455j 0.00016117-0.0483294j -0.0159005+0.011728j 0.00837469-0.00578912j 0.00368723-0.0464334j -0.0145963-0.00231537j 0.00121608-0.139949j 0.201557+0.00420731j -0.0924633+1.07241e-14j 0.0604848-0.0241669j 0.0629542+0.0464143j -0.0649373-0.0419911j 0.0386861+0.021408j 0.0479806+0.0354999j 0.0233867-0.0951218j 0.111235+0.102323j 0.137382+0.0312179j 0.0330684-0.0587493j -0.217537-0.0315979j 0.040647-0.0279868j 0.0854483+0.0245013j 0.0551388-0.114328j -0.046569+0.127181j -0.000817801+0.0470146j 
-0.00885466+0.000591603j -0.0109412+0.00109435j -0.028804+0.0210498j -0.0836746+0.0166751j 0.024743+0.0376313j -0.0487027-0.0231722j -4.72034e-05+0.00555554j -0.012571-0.0295559j -0.0177737+0.0116516j -0.0298562+0.00716437j 0.0349006-0.00410407j 0.0015807-0.0276481j 0.00764376+0.0341365j 0.0155245-0.0119841j 0.00546233-0.00624753j 0.00320794-0.00251774j -0.0170372-0.013261j -0.00660751+0.0201821j 0.0646265+0.196623j 0.00260337-0.0229001j 0.0353585-0.0307885j -0.0177367+0.00442249j -0.0856564+0.00178038j -0.174669-0.0150253j 0.0604848+0.0241669j -0.0834677+6.62556e-14j -0.0930745-0.0176729j 0.0250273-0.0624068j -0.0366294+0.0226691j 0.0286543+0.0222325j -0.111518+0.0234394j 0.14481-0.00415394j 0.0553336+0.00755376j -0.0484492-0.00445561j 0.0219191-0.10383j -0.0132267+9.76585e-05j -0.0647928+0.174457j 0.0156561+0.0121313j 6.66376e-05-0.00903313j -0.00838041+0.000578914j 
