-0.000398747-0.0175981j 0.0101083-0.0159482j -0.010208+0.000518681j -0.0183247-0.0393406j 0.00508459+0.0011069j -0.00265296+0.0144077j -0.00712065+0.0354579j 0.00268865-0.0129187j -0.00139585+0.0201184j -0.00859134-0.00722983j -0.0106438+0.020112j -0.0128497-0.00564333j 0.022127-0.00243281j -0.0112905+0.0058052j 0.0133145+0.0030389j -0.00246558+0.00393468j -0.0100115+0.019134j 0.00576816-0.0187649j 0.00578457+0.00955846j -0.00191404-0.00147055j -0.00306863-0.00185699j -0.00264653-0.00421267j 0.0292054+0.000282779j 0.0148254+0.00842054j -0.0132014+0.00422185j 0.00530103-0.0217851j -0.000340024+0.00383032j -0.00799761-0.00951957j 0.00947872+0.0064083j -0.0210977-0.000285138j 0.00560099+0.0125918j 0.00131092+0.0165194j -0.00270142+0.0012961j 0.00506882+0.00012333j 0.00284162-0.00695083j 0.0143963+0.0184531j -0.00274724-0.0220494j 0.00218126-0.0111619j 0.00279275+0.00330056j 0.000518589-0.014363j 0.00676244-0.0207633j -0.00659903+0.0132726j -0.00926894+0.0218893j 0.0112372+0.000580061j 0.0157901+0.00387177j -0.00213234+0.00424412j -0.00708981-0.015619j 0.0219751+0.00367888j -0.00402955-0.0210275j 0.00711836-0.0188279j 0.0160475+0.00777722j 0.00633921-0.0442105j -0.0147687-0.0182112j -0.0367086+0.00857266j -0.0272369-0.023634j -0.0184558+0.00231263j 0.00142438-0.00608744j 0.0229102+0.0219199j -0.0051816-0.0151276j 0.0104779-0.0120186j -0.00318807-0.0120013j -0.0116675+0.0175919j 0.0140773+0.00288816j -0.0156297-0.00098605j -0.00718268+0.0154049j 0.0255195+0.0113499j -0.00137645+0.00239906j 0.0216412+0.00209192j -0.0208214+0.0358815j 0.012259+0.00629541j -0.0231318+0.00582288j -0.00135365+0.00944004j 0.0173316-0.00269354j 0.0201433-0.0881533j -0.0877089+0.00502257j 0.0320178-0.0692318j 0.0103029-0.0227306j 
-0.002122-0.0187121j 0.0157146+0.00405297j 0.0209379+0.0162673j -0.0317342+0.02152j -0.0011478-0.0466014j 0.015021-0.0157744j 0.0249259+0.0188333j 0.00530119-0.0232142j 0.00641838+0.0105342j -0.0152755+0.0250853j 0.0217608+0.0555772j -0.0172924+0.0146353j -0.0142987+0.00352706j 0.00674904+0.0149972j 0.0323907+0.0218093j -0.0490035+0.0358718j -0.0228217-0.0160881j -0.0592386+0.00346868j 0.0478975-0.0410208j -0.0160299-0.0315947j 0.0058723+0.0480657j -0.0105472+0.00368527j 0.016557-0.0133955j 0.0403779+0.0212936j 0.030558-0.0553328j -0.0194297-0.0105972j 0.0327712+0.0121284j 0.00660591-0.022178j 0.0272425-0.0140598j -0.0176546+0.0339408j 0.00258225-0.0029283j 0.0402088-0.00506992j -0.0332822+0.0298897j 0.0316405-0.0191472j -0.0659002+0.0473954j -0.0496752-0.00682153j 0.0598041-0.00371747j 0.0217416+0.018422j -0.0889238-0.0448347j 0.00743033-0.0166278j 0.00239546-0.0134245j -0.0384692-0.0376112j 0.112944-0.016805j 0.0376988-0.0780753j 0.0144624+0.0169455j -0.0568346+0.0863284j 0.0441107+0.0109343j -0.0565681-0.09244j -0.0445086+0.0143818j -0.0340357+0.0628082j 0.00598914-0.0474655j -0.0624004+0.0273473j 0.0324132-0.0511326j 0.0147219-0.0235528j 0.0448863+0.00136631j 0.0628992+0.0550044j -0.00538763-0.04373j -0.0501832-0.0519669j -0.00966419-0.0575236j 0.0557159-0.0806409j 0.00768526+0.0775246j 0.0662114-0.0270316j -0.0719889-0.0759596j -0.0456182-0.0699179j 0.0491189+0.00327895j 0.0397836+0.0187764j 0.00869211+0.0365322j -0.0949452-0.000417163j -0.00866574-0.0579337j -0.0471906-0.0220735j 0.0782514-0.00904977j 0.0135356+0.0865849j -0.0285317+0.0244382j 0.0627069+0.0238689j -0.0247629-0.0480675j 0.0175607-0.0264112j -0.0304724+0.00885527j 
0.0043544+0.0150313j -0.00656407-0.00383281j -0.0228258-0.0122989j 0.0271998-0.0129063j 0.0221182-0.0110178j 0.0371716-0.0111831j 0.0311085-0.00127944j -0.0206502+0.00802845j 0.0192416+0.0653671j -0.0707431+0.0121997j 0.0373129+0.00829905j -0.0207383-0.00460494j 0.0174603-0.00360649j -0.00334227-0.0342781j 0.0226644-0.0214204j -0.0270714+0.0080555j 0.0816411-0.0610939j -0.0165978+0.00255267j 0.0764054-0.0229421j -0.0392003-0.00916962j 0.024397-0.00534196j -0.0331594-0.0927711j 0.0396284-0.0320012j 0.0308628+0.0761403j -0.0601181-0.0289291j -0.107498-0.0392088j -0.0211043+0.0193324j -0.04504+0.0136068j -0.0037136+0.0206623j -0.0546939+0.0113534j -0.0765191-0.0456203j -0.00395135+0.021449j -0.0558574-0.0625866j -0.113319-0.0752823j -0.0309237+0.00170334j 0.0365677+0.000450317j 0.0894817+0.0291202j 0.0187169+0.000356388j 0.0264153-0.0627175j 0.0891164-0.064132j 0.00396394+0.0177321j -0.0335095-0.0766569j 0.0185899+0.00941011j -0.0411492-0.10048j -0.0627222+0.0999829j -0.0317224+0.0182434j -0.0078051+0.0945413j 0.0232335-0.0621677j 0.0325771+0.00694059j -0.0335801-0.0245363j 0.019572-0.00894726j -0.0736086+0.0283884j 0.0479569-0.0157455j -0.0144001-0.0430459j 0.0510098+0.0308014j 0.102358+0.0724561j 0.0384938-0.0490494j -0.111165-0.0864319j -0.0223813-0.0419219j 0.0581638-0.0396837j -0.00115409+0.107953j 0.0430701-0.053819j -0.0462559-0.0781235j -0.0457456+0.0425576j -0.0302089-0.0355615j -0.00389013+0.108887j 0.0622942-0.00407074j -0.0266833-0.0203528j 0.0429127+0.0206806j -0.0246201-0.000829038j 0.0013497+0.0538256j -0.0244367+0.00551214j -0.0752806-0.0372075j 0.0548877+0.0151505j 0.00121915-0.0352359j 0.00177683+0.0030705j -0.00224273+0.00567643j 
-0.0115822-0.00568655j 0.00572693+0.00150753j 0.0161489-0.0210107j -0.0123046+0.0110748j 0.00545908-0.0428045j -0.00370665-9.49489e-05j 0.0270756+0.01756j 0.00626447-0.0228106j -0.0258301-0.0326089j 0.00159453-0.00445517j -0.0356579-0.0102881j -0.0212389+0.0597607j 0.0304158-0.0236349j -0.00653104+0.0427229j 0.0185403+0.0141764j -0.00636199-0.041482j -0.090883-0.036716j 0.0390677+0.00819222j 0.00913696+0.0235966j 0.0608419-0.0424116j -0.0133786-0.0418925j 0.0148656+0.0622906j 0.0273756-0.0143861j -0.0038235-0.0318534j -0.0456274-0.00797803j -0.0482292+0.00188231j -0.0260421+0.0246603j 0.023443+0.059061j -0.0378752-0.0454139j -0.00893311+0.0404209j 0.0120779+0.0523739j -0.0679399+0.024698j 0.029988+0.0416639j 0.0224735-0.0122005j -0.070766+0.0461895j 0.0153569-0.0172753j -0.015415+0.00466557j 0.0767393-0.0124024j 0.0725149-0.0286527j 0.0826484-0.0112882j -0.032568+0.000599776j -0.0287434+0.0177756j 0.0880104+0.0300592j -0.0665067-0.00824939j 0.0406136-0.056537j 0.0230236+0.0488483j 0.0422543+0.110036j 0.00215414-0.0379818j -0.0277723-0.113542j -0.0390405-0.0434216j -0.00620211-0.0908308j -0.0324758-0.0523495j 0.0450038+0.00618356j -0.131966-0.0602995j -0.0592436+0.00314513j 0.0578863-0.0243072j 0.100609+0.0435886j 0.0223894+0.0188423j -0.0051276-0.0525716j 0.0965258-0.133881j 0.103488+0.0736758j 0.0282688+0.0585815j -0.00602293-0.015962j -0.0169257-0.0416589j 0.0815513-0.0112375j 0.0312206-0.00183429j -0.0567763+0.0615553j -0.0220794+0.0306014j -0.0808611+0.0108765j -0.0113873+0.0167165j 0.0492089+0.00583155j -0.00302064+0.0681849j -0.0076934+0.0369716j 0.050831-0.0252157j -0.0624873-0.064936j 0.0140179-0.0269034j -0.0161219+0.0110595j 
0.00176702+0.00817784j -0.0174607+0.00485124j 0.0114791+0.0026558j 0.0101756+0.0250204j 0.0028711-0.00343834j -0.0154342-0.00128905j 0.0137528-0.0247349j 0.0335862+0.0143726j 0.000169736+0.00612123j 0.0328617-0.00904563j -0.0324301+0.0100405j 0.00988502-0.00232292j 0.00440023+0.0025947j 0.00058436-0.0388375j 0.0030359-0.0469793j -0.0268514-0.00024189j 0.00820891-0.0464401j -0.0357239+0.0233891j -0.0302549-0.0575308j 0.0434172-0.0702814j -0.0645698+0.0295121j -0.0416445-0.00529787j -0.090292-0.00639203j 0.0551128+0.0622648j -0.0138688-0.0353296j -0.0410594-0.0253485j 0.0197798-0.00713331j -0.0666102-0.000238067j -0.00524782+0.0481592j 0.0347364-0.0368195j -0.00958036-0.0670212j 0.0260035+0.0751934j -0.0674354-0.0557349j -0.0587985-0.0859076j 0.0725237-0.017527j 0.0658731-0.0233825j 0.0345528-0.0286743j -0.044391-0.00703389j 0.0334909-0.0535412j 0.00688432-0.0117034j -0.0350771-0.0544735j 0.0649334-0.0300848j -0.0359705+0.0185266j -0.0425199+0.0119553j -0.0610446+0.0358349j -0.03403-0.0237188j 0.00536912-0.0366019j 0.0749503+0.112646j -0.0195537+0.150009j 0.0640594-0.00686806j 0.0545563-0.0525924j 0.0154063-0.0553593j 0.0437343-0.00235586j 0.0877279-0.0253495j -0.0590762+0.0547036j -0.101791+0.0855347j -0.0565825-0.0397898j -0.038889-0.0463177j -0.0238296+0.0303442j 0.0172221+0.057365j -0.0272187-0.0966401j -0.14556-0.105052j -0.0636132+0.064971j -0.0916744+0.0186959j -0.0565404-0.0370212j -0.0336964+0.0258141j 0.00454609-0.023287j -0.0161873+0.0411946j -0.039659+0.0106748j -0.0193956+0.0309136j -0.0456679-0.0402704j 0.0285056-0.0285442j 0.0313992+0.00506972j 0.0431777-0.0152378j 0.023721-0.0149349j 0.00687479+0.00538357j 0.01715+0.00926005j 
0.0205515-0.0054773j 0.0193941+0.0184505j 0.0178223-0.0132411j 0.0145048+0.0120878j -0.00757436+0.0147121j -0.0165508-0.0179164j -0.023428+0.0287088j -0.0169277+0.000314135j -0.0410692-0.0193629j 0.00815874+0.0143881j 0.0189485+0.021653j -0.0179481-0.0354915j -0.0420585+0.0157264j 0.00167413+0.00870676j -0.000976317+0.000248354j -0.00306311+0.00802949j 0.0296211+0.00806543j 0.0027907-0.00349348j -0.00177799+0.0191748j 0.0227229+0.0198933j 0.0424665-0.0229655j 0.024737-0.00776968j -0.0135963-0.00601597j 0.0288622-0.000590912j 0.0916987+0.0126712j -0.0091584-0.00401532j 0.0499686-0.0104242j 0.0339875+0.00685205j 0.00828149-0.0147145j 0.00206467+0.0403416j 0.00685124-0.00901659j 0.040238-0.0252995j -0.050998+0.0963361j 0.0986644+0.0177532j 0.0431686+0.0315467j -0.0667879-0.0309197j -0.0159085-0.0148184j -0.00631759-0.0308768j -0.0450984-0.023027j -0.0568206+0.0212744j -0.0202279+0.0111119j -0.0352373+0.0417212j 0.0629108+0.00629531j 0.0842886-0.0272038j 0.0385773-0.00821815j 0.00880098+0.0275225j 0.0410321-0.013975j -0.0791299-0.0580981j -0.0304437+0.0771948j -0.0412058+0.0551024j 0.00507422-0.0537887j -0.0583233+0.0139915j 0.0267501-0.0215601j 0.0572459-0.0180585j -0.0304743-0.0355607j -0.038029+0.102086j 0.0737923+0.0665316j 0.00970072+0.0286533j 0.00684266-0.0240036j 0.0614343+0.00459862j -0.0170961+0.0306492j -0.013662-0.035098j 0.0349305+0.00747926j 0.0168176+0.0124619j 0.0943458-0.0270019j -0.0148553-0.034831j 0.0216374+0.00777639j -0.0635812-0.0102866j -0.00133184-0.0433103j -0.0102947-0.0122677j 0.058828-0.0420172j 0.0468818+0.0265959j 0.0336139+0.0429038j -0.035776+0.0172529j 0.00210222+0.00683811j 0.0103719-0.00612616j -0.00775247-0.00667924j 
0.0125289-0.0106801j 0.00445038+0.00267795j -0.00882379+0.0246209j -0.00714125-0.0251648j -0.00993318-0.00655098j -0.015043-0.0181687j 0.00462325+0.0106764j 0.00507572-0.00194659j -0.00175089+0.0456342j -0.02264-0.0169963j -0.0110795+0.0211193j 0.0534901-0.0101241j -0.0189748-0.0218817j 0.0140172-0.025194j -0.0429964+0.0546009j -0.0264989+0.064201j -0.0275452-0.0706779j -0.00206165+0.0132593j -0.0506846+0.0251675j -0.0131057+0.0130304j -0.00677932+0.0362783j -0.0188555-0.039277j -0.00134019-0.00961447j 0.0259661-0.0292814j 0.0441749-0.0336613j -0.0642829-0.0119496j 0.0545837+0.00961637j -0.048141-0.0229159j 0.0432998+0.0647752j -0.0354088+0.0447613j 0.0610498-0.0232993j -0.00780448+0.0203059j -0.00928296-0.000675264j 0.00394961-0.0969142j 0.0551062+0.000803167j -0.0644983-0.0155397j 0.00576208+0.0484985j -0.0340936-0.00201445j -0.0417897+0.0241187j -0.0903285-0.0740684j -0.0112996-0.0892279j -0.0336927+0.0278957j -0.0381053+0.0608391j 0.0185071-0.0638055j -0.0265876+0.0242252j 0.0164822+0.00674467j 0.0192969-0.0321601j -0.0361307+0.0353538j -0.000710249+0.0227861j 0.00169024+0.000631667j 0.0585052+0.027763j -0.031356-0.00816933j -0.0664017-0.0841779j 0.0105364+0.0157799j -0.0727612-0.0120203j -0.0629525-0.011196j 0.0616544+0.023895j -0.0121428+0.04883j -0.0105568+0.0326987j -0.00438144+0.00483501j 0.0384407-0.0533596j -0.0541834-0.0671863j 0.0630836-0.0551969j 0.0309847-0.0130568j -0.00921222-0.00311506j 0.0257529-0.0105991j 0.00320225-0.0661734j -0.0188076+0.0111696j 0.00619018-0.0231086j 0.0269611-0.000392153j 0.00958805-0.0272682j 0.0156713-0.0161209j 0.0119449+0.0161754j -0.0458531-0.0163636j -0.0166922+0.0608516j -0.00206413-0.00402062j 0.00223042-0.0197142j 
0.00743234-0.00378552j 0.0115106+0.00931359j 0.0170265+0.00529583j 0.0142009+0.0215234j -0.0198114-0.000798064j 0.00341069+0.00576152j 0.0134511+0.0110115j -0.00498516+0.00821207j -0.00764399+0.0123702j 0.00784054+0.0174343j 0.0460125+0.0251884j -0.00489348-0.0206456j -0.0618947-0.0287312j -0.00532849-0.00402557j 0.0120245+0.0931933j -0.0171146+0.0341389j -0.0245668-0.0785045j -0.0458609-0.00832421j 0.0502593+0.0133444j -0.0102981+0.0746926j 0.0473836+0.00331733j 0.0404383+0.0163099j 0.0457776+0.00460256j -0.151076-0.0716626j 0.109656+0.0521979j -0.0909657+0.0127044j -0.0266025-0.00791375j -0.0972243+0.0367556j -0.0553338-0.0759236j -0.0573302+0.0081323j -0.0763315-0.00800312j -0.0393893+0.0259975j 0.0649577-0.0146051j -0.0315774-0.00383122j -0.0371432-0.0463594j 0.0591072-0.0638483j 0.0649101-0.0866735j -0.0296823+0.0180416j -0.0413629+0.00184671j 0.0123912-0.0169175j 0.050259+0.131382j -0.00862401+0.0203061j -0.107388-0.116475j -0.0637749+0.0828932j -0.0244247-0.0552452j 0.090628-0.0965634j -0.0128956-0.0626898j -0.0365538+0.0209169j 0.00234605-0.00796011j 0.0455149-0.0506321j -0.00413104-0.00586364j -0.0626567-0.0654402j -0.116952+0.0759706j -0.130015+0.0990053j 0.137511-0.00770929j 0.0230051+0.0834385j 0.0314206-0.0207312j -0.0817043-0.0960965j 0.0582731-0.0603726j -0.088569+0.0321977j -0.00358291-0.088849j -0.0251364-0.0519796j -0.00478651-0.0268767j -0.0306511+0.0481772j -0.0400092+0.0509505j 0.00142928+0.0552265j 0.03713-0.0397382j -0.0239409-0.0284868j 0.0478888-0.0429109j 0.0236199+0.0356729j -0.00647278+0.00521287j 0.0127034-0.00796202j -0.00360483-0.00348973j 0.00769784+0.0106251j 0.00443704+0.03152j 0.00583039+0.0107283j 0.01079-0.000119582j 
0.00280686-0.00434794j 0.00274484+0.00187879j 0.00261148-0.0115301j -0.0120894+0.0103917j 0.0200262-0.0120833j 0.00106066-0.00155861j -0.00229069-0.00697996j -0.00771954-0.0324258j 0.0101817+0.014018j 0.0141184+0.00996772j 0.0197929-0.0139756j -0.0219298+0.01689j -0.0317513+0.0102949j 0.0139499+0.0315117j 0.0318226-0.0133159j -0.0334538+0.0362102j 0.0174773-0.0383345j -0.0784116+0.00441578j 0.0127388-0.0677029j -0.000724915-0.0170836j -0.00532091+0.0555899j 0.025509+0.0520522j -0.0927552-0.0114232j 0.0718494+0.0126579j 0.0333127-0.0527104j 0.0385112+0.0353414j 0.0405129+0.0580509j 0.016656-0.067468j 0.107001-0.0496784j 0.00346551-0.0500422j -0.0616985+0.0245632j 0.0840829-0.00735663j 0.0809189-0.0269437j -0.00398194-0.0241678j -0.0228513+0.0290305j 0.0458921-0.0880921j 0.112275+0.00374082j -0.0600495+0.0338364j -0.136311-0.0292436j -0.0140104-0.0545546j 0.0157504+0.00408553j 0.0443776+0.0164796j 0.046253-0.0374796j 0.0124856-0.0150656j -0.00735114+0.077298j -0.0726946+0.137816j -0.0320975-0.11301j 0.0632564-0.092352j -0.00167558-0.0111031j 0.0676653+0.0868461j -0.0106806+0.055616j 0.0113482+0.0310081j 0.0137639+0.0136279j 0.107603+0.13755j 0.0233068-0.000646611j 0.0935265-0.0620255j -0.225571-0.00281973j 0.0152933-0.112572j -0.0314993-0.0124475j -0.0523591+0.112851j -0.0288033+0.0345409j 0.0718878-0.0180451j -0.132401-0.000446747j -0.122881-0.0652798j -0.0026312-0.0247084j -0.0880976-0.00502397j 0.0623667+0.139507j 0.0113152-0.0527036j 0.0336423+0.049045j -0.0675898-0.0274638j -0.00642223-0.0425517j -0.00463815-0.0300581j 0.0198799-0.0407009j 0.0388028+0.0337818j 0.033331-0.0423061j 0.00438625-0.0086392j -0.0102761+0.0177359j 
-0.00996147+0.0154969j -0.0124609-0.0174337j -0.0240926-0.00358489j -0.000169388+0.00788142j 0.00841443-0.0132792j 0.0293683+0.0157099j 0.0279882-0.0311532j -0.013257+0.0239482j 0.0464641-0.0195162j -0.014838+0.00205285j 0.0523727-0.0270638j -0.0206559+0.052713j -0.0150838-0.0102109j 0.0314884+0.0473016j -0.00123555+0.0241854j -0.00520319-0.0538945j -0.0323547-0.0261879j -0.0487532-0.0236629j 0.0403662-0.0161706j -0.0456449+0.0231539j 0.0644683-0.0145773j 0.0181815+0.0945523j 0.0582681-0.00942101j -0.0789484-0.00766576j -0.0341622+0.0354471j 0.0148124+0.0204384j -0.127291-0.00533243j -0.0284154+0.040761j -0.104345-0.0443028j -0.0182482-0.0935583j -0.0495954-0.0521149j -0.00516189+0.0438595j 0.0412025-0.0381268j -0.0259396+0.0153234j -0.0430623+0.00234778j -0.0171505-0.0460862j -0.0162033+0.0447475j -0.0120239+0.0282259j -0.0362453-0.0252415j -0.0359546-0.0276436j -0.0584121-0.0343738j -0.053343-0.0630294j -0.0555566-0.0214919j -0.0941398+0.0181365j -0.019183-0.0246879j 0.00192682-0.0511091j 0.0281382+0.0159534j 0.0161434+0.0791329j 0.0722318-0.0460444j 0.0995766-0.0336941j -0.074414-0.0143743j 0.0151131-0.0304402j -0.00178032+0.140101j -0.0525186+0.047437j 0.120204+0.018845j 0.0294336-0.106117j 0.0776308-0.0265501j -0.0843389-0.0721893j -0.00319375-0.0257104j -0.0279317+0.0454946j -0.0319616-0.0212701j -0.0263223+0.0295696j -0.131571-0.0209395j 0.00844885-0.0276891j -0.043563+0.0450491j 0.00771871+0.033883j 0.0403008+0.048644j -0.00375597-0.00510977j 0.0594775+0.0345791j -0.0285039-0.0147133j -0.019644+0.0429271j -0.00119215-0.00474694j -0.0202979-0.0339581j 0.063053+0.0306641j 0.0374078-0.0329342j -0.00343348+0.0219503j 0.0042727+0.0281002j 
-0.00218105-0.013247j -0.0247957-0.00340703j -0.00380173+0.0531635j -0.0413891+0.00846589j -0.0130799+0.0114691j -0.0220526+0.0159129j -0.00537036-0.025785j 0.0229096+0.00609471j 0.0328559+0.0130751j -0.0103748-0.00491075j 0.00607814+0.0475081j 0.00815513-0.0044711j -0.0154647+0.0222674j 0.0443273-0.0195438j 0.101538+0.044748j 0.0335427+0.0331036j -0.0453103+0.0160882j 0.0356943+0.0281934j 0.0163823+0.0102418j 0.00635098-0.0350778j 0.0356971-0.0234331j 0.0362667+0.00258541j -0.025543+0.0351479j -0.0184861-0.067213j 0.0622583-0.0802915j -0.00335721-0.0160664j 0.0361759-0.0598952j 0.0451178+0.00570089j -0.0287344+0.0329504j -0.020623+0.00848169j 0.00662308+0.104636j -0.0744926-0.103309j 0.0257177-0.00342656j -0.0481688+0.0311549j -0.0272371+0.00503384j 0.0181824-0.0194495j 0.00245315-0.0235189j 0.00324192+0.0143587j 0.0461921-0.0229164j 0.00261071+0.1273j 0.0517674+0.0775398j -0.010485+0.0229709j -0.02282-0.0458859j 0.00472546+0.0284435j -0.00153452-0.0556499j 0.00462077+0.0287597j 0.00939118+0.111423j -0.00198546-0.140964j -0.0528384-0.0139865j -0.0954158+0.0429664j 0.0232724-0.0338011j -0.0400584+0.029024j -0.0805389+0.0840136j -0.0139454+0.00358754j 0.0191076+0.0183788j 0.0153916+0.0341137j -0.0127042-0.00761337j 0.000364759-0.0162645j -0.014533+0.00120377j -0.0521842-0.0468923j 0.009624-0.0367389j 0.0437247-0.00358627j -0.0528324+0.0152404j -0.00225719+0.0959433j -0.0173739-0.0134469j 0.0135879-0.0170429j -0.0480761-0.00608498j -0.00726979+0.0227579j -0.0355347-0.0827843j -0.0216915-0.0215187j 0.0139997-0.0147303j 0.00657449+0.00285945j 0.0215652+0.00481261j -0.00893309+0.04704j 0.0430297-0.00713217j -0.000963068-0.000910522j -0.0119493+0.00185124j 
-0.0183622-0.0108479j 0.0130406-0.00431002j 0.0182654+0.00804175j -0.0106806+0.00412835j -0.000900094-0.0328453j 0.0371258+0.0138681j 0.0257567+0.0334811j 0.0372599-0.0206133j -0.0282614+0.0331595j -0.0138265-0.0115714j -0.0106385+0.0216721j 0.00470494+0.0171212j 0.0497557-0.037998j -0.0294148-0.0138756j 0.031885+0.00228076j -0.039647+0.061186j 0.00188654-0.00910893j 0.038792-0.0168j -0.037177-0.0139401j -0.0280962+0.110308j -0.0355487-0.0161197j -0.0577403-0.0978525j -0.0984349+0.0341318j -0.0779105+0.00513935j 0.0108437-0.00285591j -0.0766265+0.076173j 0.0569017+0.112208j 0.00416292-0.0117386j 0.0971635-0.0153854j -0.0370219+0.00485006j 0.00421061+0.0691738j -0.0465059+0.0118228j 0.045965-0.00924966j 0.0541804-0.0195838j -0.00598274-0.0390331j -0.000358429-0.0499642j 0.0540457-0.00397721j 0.0188705+0.0630186j -0.0437973+0.0468424j -0.0161528-0.0235056j 0.0724793+0.00569545j 0.0778723+0.0712659j -0.0947382+0.0293737j -0.0810338-0.108798j 0.020578+0.00107694j 0.0936488+0.00740429j -0.0508923-0.203556j -0.0611552-0.0174625j 0.000637979-0.0024153j 0.00868662-0.0402924j 0.0506177+0.0558344j -0.136204+0.067635j -0.108604-0.0558385j -0.07323+0.0880115j -0.0134173-0.0405406j 0.0413052-0.0277967j -0.13051-0.0303559j 0.137171-0.0819526j -0.0061817-0.00446163j 0.0278184+0.0297127j -0.0522947-0.0721018j 0.0439133-0.00978498j 0.044848-0.0155509j 0.000858766-0.0259958j -0.0422175+0.107443j 0.00945808+0.0112556j -0.00430481+0.00431684j 0.0535338-0.0335274j 0.017222-0.0123508j 0.0527047+0.00629353j -0.00721362+0.0493652j -0.0974948+0.0166363j -0.0653862-0.0415389j 0.0342525-0.0064827j -0.017208+0.000437413j -0.00962443-0.0130088j -0.0233077-0.00150455j 
-0.0171221+0.012123j -0.00526329-0.0120762j -0.0132777-0.00118541j -0.000565203-0.00219078j 0.0284635-0.0270993j 0.0460798+0.00911413j 0.00615574+0.00819079j -0.0103407+0.00178411j 0.0125955+0.0251926j -0.0407458-0.0281121j 0.00315486-0.00341377j 0.00891568+0.0159139j 0.0372868+0.0479614j -0.0263864-0.025589j -0.00247572-0.0288225j 0.00803804+0.032756j 0.00296399+0.0770704j 0.01963-0.0150506j 0.00825661+0.0231518j -0.0782745-0.000277941j -0.0624197+0.0320478j -0.0704658-0.105808j -0.0106651+0.0297638j 0.0499203-0.0298815j -0.0371228-0.0454557j 0.0825051+0.00289161j -0.00951567+0.00766699j 0.0781538-0.0718066j 0.0545325+0.155963j 0.0580569+0.00387108j 0.0817783+0.0686938j -0.0132135-0.0127735j -0.00716188-0.00155894j -0.0620264+0.13347j -0.0796638-0.0408058j -0.0113185+0.0877124j -0.0975107-0.000770998j 0.0262956+0.0559227j -0.00791299+0.067262j -0.0637345+0.0160459j 0.0234881+0.0131196j -0.00749529+0.00954508j -0.0342406+0.000388517j -0.0401316+0.0049967j -0.0359386-0.0872481j -0.071077-0.0077263j -0.00713904+0.0905634j 0.0150649-0.0239765j -0.0711446-0.00310864j -0.0578035+0.0583651j 0.0282956+0.0656321j 0.0703707+0.0839037j -0.101359+0.0484063j 0.0708417-0.0150699j -0.0332409-0.0355164j 0.00696143-0.0900803j -0.0203948-0.0719358j 0.0688812+0.0897672j -0.00202841+0.0605405j -0.0958701-0.0316976j -0.0690422-0.00371836j 0.0112593+0.0304308j -0.0130731+0.0229658j 0.107029+0.0515333j -0.0605654-0.0107319j 0.0110423-0.00589772j -0.0293831-0.00222956j 0.0886287+0.00151812j -0.0298311-0.0122596j 0.0214929-0.00342231j -0.0309523+0.0660951j -0.0836298+0.00740676j -0.0267918-0.0335979j 0.0227066+0.00999682j 0.024635-0.0252661j -0.00587499-0.00361875j -0.0185564+0.00708458j 
-0.00975574-0.00119577j 0.00239972+0.0041705j 0.0151694-0.0141525j 0.00992538+0.0322092j -0.0146762+0.000740727j -0.0136654+0.0334278j -0.0131919+0.00650088j 0.00920041+0.00680378j -0.0309802-0.0336854j 0.0615583-0.0288983j -0.00269735+0.00412197j -0.0168416+0.037874j -0.0227646+0.00597745j 0.0194985+0.0259058j 0.0146616+0.0185175j -0.00437986-0.00622716j -0.0357781+0.0587208j -0.0230962-0.00600238j -0.0385265-0.0767145j -0.0164561+0.0111789j -0.0408283+0.0141176j -0.0214181+0.103824j -0.0758069+0.0348026j 0.000233567+0.023342j 0.0387438-0.0424717j 0.045204-0.000373501j 0.00668487-0.0688436j -0.0500903+0.0042094j -0.01048-0.0347644j 0.0213567-0.0422532j -0.0395876-0.0474995j 0.0557358+0.1379j -0.0878114-0.022329j 0.047674-0.0098727j -0.0241226+0.00547245j -0.0460175-0.062998j -0.0787248+0.0919504j 0.025798-1.24402e-05j -0.0531643-0.0591611j -0.127877+0.0602885j -0.0492344-0.0659296j -0.0568375-0.0787055j -0.0816997+0.0207287j -0.0271033-0.032797j 0.0134948-0.026539j 0.0460789-0.062674j 0.141173-0.120473j -0.0173609+0.090346j -0.0903306+0.128992j 0.0917285+0.0710443j 0.02396-0.0747739j 0.0129518+0.0018988j -0.00365009-0.0310998j 0.0679048+0.0213675j 0.0215975-0.00806161j -0.123653+0.0838598j 0.0218516-0.149649j -0.0344195-0.0013405j -0.0148936-0.042797j 0.028377+0.0338635j -0.0906075-0.0887795j -0.0832422-0.0104275j -0.0528148+0.00856585j 0.0475023-0.00112293j -0.00597355+0.107492j 0.073031+0.00455697j -0.0333208+0.0158915j -0.0121695+0.0390849j 0.0130033-0.0320791j 0.0167403+0.0320642j -0.0240779+0.0410744j -0.0175928+0.0259051j 0.00128788-0.000265702j 0.0399116+0.00818221j 0.00618194-0.0272225j -0.00347976+0.00277464j 0.00896445+0.0172644j 
