0.0535237+2.83627e-16j 0.0565008-0.00108335j 0.000174941-0.000889223j 0.158286-0.000927901j -0.90078+0.00326126j -0.105972-0.00498145j 0.0119436-0.00761841j -0.0497088-0.0130516j -0.0054869+0.00797837j -0.00438461+0.0108453j -0.0875646-0.0141034j -0.0276664-0.00779872j 0.260201+0.0340576j -0.0107251-0.0124836j -0.0546643+0.000593687j 0.0218254-0.0256956j -0.0115317-0.0173595j -0.0132963-0.00768083j 0.0012909-0.00703289j -0.00208941-0.0082128j 0.0436658-0.0132061j -0.0108149-0.0212404j -0.0179017+0.00852493j 0.000874872+0.00419638j -0.00674205+0.025289j 0.0320171-0.0140083j -0.00121332-0.00627461j -0.0405773-0.0087727j -0.0485929-0.000361424j -0.0259377+0.0447654j -0.0594541-0.000310694j 0.0377331-0.00359149j -0.0281172-0.00340643j 0.0917772-0.0620284j 
-0.0276664+0.00779872j -0.0672019-0.00162656j -0.00137712+0.00220919j -0.046916-0.0036079j 0.0366558+0.0392459j 0.0668742+0.00675161j -0.0285699-0.00774012j -0.00614077-0.00288079j -0.00279644-0.000365914j -0.0108977+0.000427844j -0.00949065+0.00102408j 0.0169002-3.46945e-16j 0.158172-0.021797j -0.0121443-0.010265j -0.148003-0.0109983j 0.00864473-0.104694j -0.0107561-0.00859764j -0.0501514-0.0131936j -0.00463068+0.00880141j -0.0599722-0.0465561j 0.0636697-0.041329j 0.00809791-0.0115813j -0.0238785+0.0168721j 0.0167193+0.0100871j 0.000970271+0.00732339j -0.0306629-0.0533153j -0.0269506-0.00339901j 0.000645031-0.00380228j -0.111202-0.00748074j -0.0260957+3.72588e-05j 0.0168139-0.0313675j 0.0874364+0.433833j 0.0193222-0.0379263j -0.398906+0.101057j 
0.260201-0.0340576j 0.00757562-0.00789842j 0.00943464+0.000168202j -0.0297491-0.00581038j 0.0428685+0.0146031j -0.0918342+0.00354114j 0.133356-0.00542671j 0.0268383+0.001272j 0.0188029+0.00190806j -0.00969832+0.000830653j 0.0275142+0.00227738j 0.158172+0.021797j 0.0748089-2.52402e-16j 0.0111245-0.208694j 0.0355158+0.0064167j 0.00368869+0.0575619j -0.0083021-0.00388459j 0.00449537+0.00232689j 0.0103701-0.00236305j 0.0204042+0.0304663j -0.0269423+0.0151582j -0.00225765+0.00421408j 0.0176952-0.0147793j 0.00203998+0.00377932j -0.00835059+0.00592918j 0.00304912+0.0316379j -0.00601014+0.00252836j 0.004446+0.0180446j 0.0375018-0.00459559j -0.0163822+0.00191737j -0.00602896-0.0675351j 0.0227092+0.0817651j 0.0636851-0.0030836j -0.0840223+0.0171704j 
-0.0107251+0.0124836j -0.00683558-0.0227775j 0.00275801+0.00241237j -0.0166559-0.0227334j 0.0828148+0.0582606j 0.00540327+0.0192298j 0.00399563-0.0459537j 0.00678422-0.0521262j 0.00298461-0.0056692j 0.00254153-0.00685843j 0.00804798-0.0677419j -0.0121443+0.010265j 0.0111245+0.208694j 0.000371912+2.77556e-17j 0.00572815-0.0774186j 4.18409e-05+0.00460787j -0.00206522-0.00756192j 0.000830013-0.0250577j -0.000539231+0.00377423j 0.00170636-0.0332653j -0.00331649+0.0294106j -0.00211464-0.00274517j 0.000787254-0.010675j 0.00116764+0.00815876j 0.00290424-0.00311212j -0.00323679-0.0181152j 0.00258067-0.0125422j 0.00169079-0.0139265j 0.00774745-0.0576857j 0.0197398-0.0219032j 0.00244214-0.0202405j -0.428984+0.100893j 0.0738949-0.0251454j -0.106419-0.423584j 
-0.0546643-0.000593687j 0.0418567+0.0044045j -0.00228301+0.00605063j 0.0155976+0.0199617j -0.000531131+0.0302664j -0.0457817+0.00159824j 0.023832-0.00383322j 0.0385231-0.00971287j 0.00284198-0.00395584j -0.00191092-0.00247438j 0.0856173-0.0220212j -0.148003+0.0109983j 0.0355158-0.0064167j 0.00572815+0.0774186j 0.131381-7.49401e-16j -0.00931766+0.0671193j -0.00225485+0.00916178j 0.019609+0.00120234j 0.0019453+0.00242472j 0.0377164+0.00346958j -0.0310923-0.00436145j -0.0110519+0.00142362j 0.0128094+0.0026223j 0.0113549+0.0187818j -0.00296457-0.00200112j -0.0209398-0.0980236j -0.0230227-0.016794j 0.0154126+0.0134622j -0.128551-0.0185252j -0.0625701-0.0204596j -0.0869434-0.448032j 0.0616464-0.0374018j 0.408883-0.10602j 0.0162037+0.0302552j 
0.0218254+0.0256956j -0.0484175-0.0249786j 0.00242115-0.00149829j -0.0617286-0.0228344j 0.018799-0.0241668j 0.00158228+0.0544442j 0.00336051-0.0875309j -0.00669892-0.0766815j 0.00488758-0.0173214j 0.00103384-0.0022989j -0.0191013-0.101825j 0.00864473+0.104694j 0.00368869-0.0575619j 4.18409e-05-0.00460787j -0.00931766-0.0671193j -0.0044904+1.38778e-17j -0.0086033+0.00268877j -0.00531065-0.00258325j 0.00129706+0.00795883j -0.00555713-0.0102952j -0.00951342+0.0137273j -0.0144685-0.00394572j 0.00619465-0.0111787j 0.00625206-0.00636627j 0.0111671-0.0101244j -0.0119491+0.0346512j -0.00684869+0.0196189j -0.0141386-0.0111493j -0.00794523+0.0538137j -0.0233444+0.0138361j -0.44591+0.100142j 0.00261864-0.0356033j -0.100688-0.44105j -0.00562745+0.0289183j 
-0.0115317+0.0173595j 0.0083164-0.022422j -0.0148496+0.0378276j 0.00311975-0.0270186j 0.0133485-0.054337j -0.00108776+0.00481829j -0.00469932-0.000952994j 0.00614442-0.00297646j -0.0563823+0.0129334j -0.11794+0.0369034j 0.0290362-0.0125706j -0.0107561+0.00859764j -0.0083021+0.00388459j -0.00206522+0.00756192j -0.00225485-0.00916178j -0.0086033-0.00268877j 0.0422335+8.33777e-14j -0.0203323-0.0116374j 0.00131736-0.00975208j -0.0118718-0.00695279j -0.0075555+0.0030309j 0.0106112-0.000113986j -0.00775939-0.0062854j 0.00666961+0.00509587j -0.00530309-0.0201653j -0.0274462-0.00217281j -0.0542385-0.0921393j 0.279517+0.383355j 0.0906389-0.0244336j -0.382884+0.296252j 0.0181655-0.00361465j -0.0230028-0.0115568j -0.0306693+0.00129302j 0.0120658-0.00878822j 
-0.0132963+0.00768083j 0.00278241-0.0115369j 0.048236-0.0428607j -0.0137806+0.00574958j -0.0123237+0.008575j -0.0226558+0.0132281j 0.00647947-0.0102303j 0.00389467-0.00379362j 0.0468028-0.0371295j -0.0475466-0.0105111j -0.00790458+0.0185729j -0.0501514+0.0131936j 0.00449537-0.00232689j 0.000830013+0.0250577j 0.019609-0.00120234j -0.00531065+0.00258325j -0.0203323+0.0116374j -0.0554114-4.96825e-15j 0.0197805-0.00244002j -0.0547159-0.021865j 0.0258225-0.0459113j 0.00658734-0.00195351j -0.0403473+0.0300913j 0.325284+0.186562j -0.0480041-0.0239219j 0.208323+0.149934j -0.148646+0.343009j -0.14908+0.17085j 0.180941-0.151673j -0.0598614-0.130956j -0.00249483-0.00303836j 0.0100811-0.000310777j 0.027798-0.00062898j -0.013594+0.00573923j 
0.0012909+0.00703289j -0.0168762-0.00732705j 0.0383055+0.0460033j -0.014806-0.010979j -0.0493875-0.0162106j -0.00431235-0.00340018j 0.00940552-0.00192804j 0.00593759+0.0074495j -0.0243838-0.0460316j -0.0141521-0.120506j 0.00693812+0.0344819j -0.00463068-0.00880141j 0.0103701+0.00236305j -0.000539231-0.00377423j 0.0019453-0.00242472j 0.00129706-0.00795883j 0.00131736+0.00975208j 0.0197805+0.00244002j -0.0271133+9.97813e-15j 0.00302751-0.0115719j -0.00660651+0.00335481j -0.0041827-0.00473653j -0.00651677-0.00740874j -0.130265-0.0729476j 0.0493091-0.00657575j -0.0176194-0.0242695j 0.161935-0.18378j -0.317049+0.248691j 0.0193186+0.0874894j -0.276541-0.358049j 0.0193953+0.0317533j -0.00601825-0.00331163j -0.00950323-0.0119417j -0.00966306-0.00331277j 
-0.00208941+0.0082128j -0.0206515+0.00402857j -0.0114855+0.014629j -0.000439394-0.0095666j 0.0177359+0.00117501j -0.026205+0.0391672j 0.0205619-0.0436633j 0.0176334-0.03032j -0.00821768-0.00492365j 0.0208819+0.00589364j -0.032494+0.0348279j -0.0599722+0.0465561j 0.0204042-0.0304663j 0.00170636+0.0332653j 0.0377164-0.00346958j -0.00555713+0.0102952j -0.0118718+0.00695279j -0.0547159+0.021865j 0.00302751+0.0115719j -0.135198-3.96905e-15j 0.10478-0.11896j 0.029993-0.0154173j -0.0404875+0.055236j -0.230484-0.136189j -0.0215365+0.00686133j 0.297319+0.226826j 0.141191-0.18797j 0.0929561-0.0505692j 0.149213-0.348499j 0.050637-0.0106347j -0.0261488-0.00322833j 0.0272827+0.000525582j 0.0567095-0.0110618j -0.0286739+0.023705j 
0.0436658+0.0132061j -0.0391148-0.000601924j 0.0336214+0.0180407j -0.00925831+0.011504j -0.0217616-0.0214801j 0.0231527+0.0465864j -0.0222851-0.0421507j -0.030591-0.00665839j -0.00565288-0.0422897j 0.00601901+0.0175576j 0.0296828+0.0399495j 0.0636697+0.041329j -0.0269423-0.0151582j -0.00331649-0.0294106j -0.0310923+0.00436145j -0.00951342-0.0137273j -0.0075555-0.0030309j 0.0258225+0.0459113j -0.00660651-0.00335481j 0.10478+0.11896j -0.074404-5.2458e-15j -0.0871782-0.0127013j 0.0548556-0.0170403j 0.101237-0.085263j -0.0029814-0.0274412j 0.262714-0.377842j 0.131174+0.081451j 0.053625+0.029693j -0.308461-0.249795j -0.0684536-0.0301311j 0.0392809+0.07252j -0.0190106-0.0242821j -0.0529042-0.0153832j 0.0141356+0.0161969j 
-0.0108149+0.0212404j 0.000971271-0.0169914j -0.00706887-0.00927441j -0.0340565+0.0291476j 0.0117614-0.0187941j 0.0108063+0.00944747j -0.00427286-0.00994412j 0.046059-0.0465535j -0.0429688+0.0427156j -0.0251069+0.0253873j -0.0147595+0.0308313j 0.00809791+0.0115813j -0.00225765-0.00421408j -0.00211464+0.00274517j -0.0110519-0.00142362j -0.0144685+0.00394572j 0.0106112+0.000113986j 0.00658734+0.00195351j -0.0041827+0.00473653j 0.029993+0.0154173j -0.0871782+0.0127013j 0.467965-1.7189e-13j 0.0553736+0.00292828j -0.00270652+0.0695503j -0.0138236+0.490155j 0.0464168-0.0243155j -0.0200733-0.0162667j -0.0245348+0.0186896j -0.0590313-0.0251934j -0.00424383-0.018205j -0.00762355+0.00263479j -0.00398322-0.0085186j 0.000125012-0.00459466j 0.0038034+0.00239126j 
-0.0179017-0.00852493j 0.0290162+0.0138773j 0.0323182+0.0311025j -0.0180582-0.0177055j 0.000648385+0.0112708j -0.00785357-0.0182341j 0.00956785+0.0234433j 0.0181683+0.00887627j -0.0107593-0.0311837j 0.0230922+0.0451705j -0.014001-0.0273299j -0.0238785-0.0168721j 0.0176952+0.0147793j 0.000787254+0.010675j 0.0128094-0.0026223j 0.00619465+0.0111787j -0.00775939+0.0062854j -0.0403473-0.0300913j -0.00651677+0.00740874j -0.0404875-0.055236j 0.0548556+0.0170403j 0.0553736-0.00292828j 0.0333841-3.33067e-15j 0.206298-0.425134j -0.000686455+0.0811855j -0.12799+0.0596501j 0.390536+0.217918j 0.0761792+0.0548086j 0.0871125+0.068421j 0.03107+0.0146683j -0.0216055-0.0341104j 0.00912786+0.0130287j 0.0223773+0.00895692j -0.00541265-0.00854267j 
0.000874872-0.00419638j 0.0159372-0.00905445j -0.0510822+0.0309019j -0.0255878+0.0167413j 0.00231262-0.000318578j 0.00992458-0.018208j 0.00538188-0.00378087j -0.00168206-0.00985593j -0.0174784+0.0395996j 0.00898836-0.0284995j 0.00492393-5.55005e-05j 0.0167193-0.0100871j 0.00203998-0.00377932j 0.00116764-0.00815876j 0.0113549-0.0187818j 0.00625206+0.00636627j 0.00666961-0.00509587j 0.325284-0.186562j -0.130265+0.0729476j -0.230484+0.136189j 0.101237+0.085263j -0.00270652-0.0695503j 0.206298+0.425134j 0.0487144-2.52576e-15j 0.0305477-0.010535j 0.018721-0.0103212j -0.03825+0.0062154j 0.0057103+0.0109712j -0.0195907+0.0164969j -0.0170622-0.00227837j 0.000453052+0.00243581j -0.00267945-0.000840234j 0.000169733-0.00404562j 0.00344485-0.00310876j 
-0.00674205-0.025289j 0.0142186+0.0118598j -0.00269374-0.00482823j -0.0226872-0.0270145j 0.0236508+0.00843839j 0.00590615-0.00878662j -0.00839916+0.00180544j -0.0405903-0.0514578j 0.0471057+0.0373439j 0.024335+0.0278075j 0.0276646+0.0220154j 0.000970271-0.00732339j -0.00835059-0.00592918j 0.00290424+0.00311212j -0.00296457+0.00200112j 0.0111671+0.0101244j -0.00530309+0.0201653j -0.0480041+0.0239219j 0.0493091+0.00657575j -0.0215365-0.00686133j -0.0029814+0.0274412j -0.0138236-0.490155j -0.000686455-0.0811855j 0.0305477+0.010535j 0.480758+2.02866e-13j 0.0327113+0.0120898j -0.0212273+0.00247781j 0.0185851+0.00783067j 0.0153621+0.00696036j 0.00602986-0.00381487j 0.00755055+0.00135019j 0.00385018-0.000943878j 0.0129701+0.0073869j 0.0039728+0.00344007j 
0.0320171+0.0140083j -0.0330162+0.00342266j -0.0172472+0.0138426j 0.00733037+0.0089304j 0.000324869-0.0105781j -0.0156401+0.0750698j 0.0025676-0.0408786j -0.00192321+0.00302643j -0.0024196+0.000850109j 0.00696606-0.00581804j -0.0133372+0.0690537j -0.0306629+0.0533153j 0.00304912-0.0316379j -0.00323679+0.0181152j -0.0209398+0.0980236j -0.0119491-0.0346512j -0.0274462+0.00217281j 0.208323-0.149934j -0.0176194+0.0242695j 0.297319-0.226826j 0.262714+0.377842j 0.0464168+0.0243155j -0.12799-0.0596501j 0.018721+0.0103212j 0.0327113-0.0120898j 0.0101303+4.85723e-17j 0.00395113-0.0175889j 0.019021-0.0121368j 0.059588-0.0996079j -0.00361299-0.00861778j 0.00104858+0.00373144j 0.0120723-0.00476431j 0.00132259+0.0109253j -0.0202658+0.0275927j 
-0.00121332+0.00627461j 0.0135717+0.0105089j -0.0492619-0.0409894j -0.0175186-0.0233238j -0.00135381+0.00095875j -0.0186203+0.00209699j -0.0109607+0.00197089j -0.00329275-0.00691129j 0.035927+0.0047947j -0.0340209-0.0227219j -0.00403268+0.00958154j -0.0269506+0.00339901j -0.00601014-0.00252836j 0.00258067+0.0125422j -0.0230227+0.016794j -0.00684869-0.0196189j -0.0542385+0.0921393j -0.148646-0.343009j 0.161935+0.18378j 0.141191+0.18797j 0.131174-0.081451j -0.0200733+0.0162667j 0.390536-0.217918j -0.03825-0.0062154j -0.0212273-0.00247781j 0.00395113+0.0175889j -0.0242291-3.2474e-15j -0.014579-0.00653319j 0.0413591-0.00360053j -0.012028-0.00427477j 0.00396167+0.000290979j 0.00282226+0.0022761j 0.00103186+0.001692j -0.00620498+0.00123035j 
-0.0405773+0.0087727j -0.0522005+0.0159259j 0.0268958-0.033503j -0.0151834+0.00166467j 0.00837274-0.00281115j 0.0159035-0.0135999j 0.0207763-0.0468259j -0.00800619+0.00949855j -0.00674953+0.0820848j 0.00158025-0.00548612j 0.00276116+0.0112427j 0.000645031+0.00380228j 0.004446-0.0180446j 0.00169079+0.0139265j 0.0154126-0.0134622j -0.0141386+0.0111493j 0.279517-0.383355j -0.14908-0.17085j -0.317049-0.248691j 0.0929561+0.0505692j 0.053625-0.029693j -0.0245348-0.0186896j 0.0761792-0.0548086j 0.0057103-0.0109712j 0.0185851-0.00783067j 0.019021+0.0121368j -0.014579+0.00653319j -0.019042-1.16573e-15j 0.0245942-0.00686754j 0.0248899-0.0179795j -0.00640833-0.00568948j 0.004366-0.0025612j 0.0117313+0.000911348j -0.00301948+0.00512121j 
-0.0485929+0.000361424j 0.00946871+0.00151249j 0.00153981+0.0107277j -0.0163433-0.0345153j 0.0340532+0.0206929j -0.059262-0.0224951j 0.0344582+0.00521552j -0.00699758-0.0201688j -0.0112865-0.00645919j 0.0136205+0.00546105j -0.0817697-0.0144713j -0.111202+0.00748074j 0.0375018+0.00459559j 0.00774745+0.0576857j -0.128551+0.0185252j -0.00794523-0.0538137j 0.0906389+0.0244336j 0.180941+0.151673j 0.0193186-0.0874894j 0.149213+0.348499j -0.308461+0.249795j -0.0590313+0.0251934j 0.0871125-0.068421j -0.0195907-0.0164969j 0.0153621-0.00696036j 0.059588+0.0996079j 0.0413591+0.00360053j 0.0245942+0.00686754j 0.163069+1.26288e-15j 0.0372585-0.00414622j -0.0132186-0.00951586j 0.0287956+0.0346583j 0.0158464-0.00241559j -0.0471131-0.00559233j 
-0.0259377-0.0447654j -0.0133648-0.0432399j 0.0277399+0.0452079j -0.0091857-0.0103157j 0.0128454+0.0022863j -0.0168688-0.0287735j -0.0411294-0.0232653j 0.016429+0.000146466j 0.0727961+0.0218928j -0.00391066-0.00112946j -0.00350082-0.00293895j -0.0260957-3.72588e-05j -0.0163822-0.00191737j 0.0197398+0.0219032j -0.0625701+0.0204596j -0.0233444-0.0138361j -0.382884-0.296252j -0.0598614+0.130956j -0.276541+0.358049j 0.050637+0.0106347j -0.0684536+0.0301311j -0.00424383+0.018205j 0.03107-0.0146683j -0.0170622+0.00227837j 0.00602986+0.00381487j -0.00361299+0.00861778j -0.012028+0.00427477j 0.0248899+0.0179795j 0.0372585+0.00414622j -0.00740381-1.77636e-15j 0.00450414-9.71624e-05j 0.00402317+0.00146608j 0.00804882+0.00211198j -0.000108526-8.85608e-05j 
