-0.000270159-2.86229e-17j 0.000711158+1.47977e-05j 0.000739852+0.000110995j 0.00269686+9.00923e-05j -0.000182108+0.000149615j -0.000153748-0.000233563j -0.000607694-0.000139497j -0.0028074-5.30421e-05j -0.00161294-0.000107768j 0.000445058-0.000135977j -1.97387e-05-0.00029256j 0.000840843+9.79325e-05j 0.00162489+4.48963e-05j -0.00277149+2.25286e-05j 0.00218553+0.000280246j -0.000175597-0.000421661j 0.00129064-0.00062304j 0.00426193+0.000375844j -0.0105033-0.00066266j 0.00613414-0.00154584j 0.0211999-0.000801629j -0.882105+0.012846j 
0.000840843-9.79325e-05j 0.00073431-7.50923e-05j -0.0050375-0.000686528j 0.000982336-0.000176226j 0.00184094+4.63136e-05j 0.0037925-0.000141152j -0.0110005+0.000399536j -0.0105036-0.000223348j 0.0134669+0.000266729j -0.00618872-0.000301883j 0.00154114+6.43648e-06j -0.967556+1.61217e-11j 0.000871259-0.000300805j 0.000733158-0.000256324j 0.00576741-0.000228402j -0.0103024-0.000401144j 0.00114373+0.000146296j 0.001481-4.9217e-05j -0.000966904-0.000177684j 0.00529901-0.000690663j 0.000617759+7.39414e-05j 0.000820924+9.90905e-05j 
0.00162489-4.48963e-05j 0.00279166-0.000303553j -0.0017379-0.000575655j 4.72298e-05-0.000418943j 0.0123834-6.23133e-05j -0.00641454-0.00013932j 0.00477789+0.000259472j 0.00844991-0.000157439j 0.0249706+0.000336513j 0.969394+7.64406e-05j -0.0131098+2.35296e-05j 0.000871259+0.000300805j -0.00196276+9.22085e-15j 0.000280032-0.000102754j 0.00668596-0.000241291j -0.00117551-0.000301681j -0.00415492+0.00016187j -0.00933343+0.000353619j -0.00404216+0.000108553j -0.0047028+0.000174879j 0.000849651+0.0001619j -0.00037576+0.000137706j 
-0.00277149-2.25286e-05j -0.00965786+0.000171649j -0.000938196-0.00083207j -0.013652-0.000317851j -0.00831596+0.000173854j -0.00347163+0.00012045j 0.000297566+0.000440228j -0.0459799+0.000290111j -0.971771-0.000890469j 0.0198969-0.000310239j 0.00163763-0.000113328j 0.000733158+0.000256324j 0.000280032+0.000102754j 0.00270626+1.10231e-15j -0.00679055+0.000318957j -0.000847513-0.000345523j 0.000347039-0.000651204j -0.00224937+0.000252307j 0.0125316-0.00018462j 0.000761272-0.000616485j -0.00677007-5.37188e-06j -0.00176657-0.000106596j 
0.00218553-0.000280246j 0.00863931-0.000132595j 0.000781434-4.85733e-05j 0.0180965+0.000383365j -0.00392524-7.23472e-05j -0.00298998-0.000368113j -0.0011465+0.000146548j 0.967519+0.000606415j -0.0336223-0.000356137j -0.00904116-0.000171265j -0.00494344-5.78197e-05j 0.00576741+0.000228402j 0.00668596+0.000241291j -0.00679055-0.000318957j -9.20328e-05-4.6431e-16j 0.000471489-6.10129e-06j 0.00418179-0.000214622j 0.00632387+0.000394962j -0.0110056-0.000100126j 0.00123804-0.000124869j 0.00840128+0.000144657j 0.00278691+4.86553e-05j 
-0.000175597+0.000421661j 0.00102628+0.000295135j -0.00638385+0.000113406j -0.00141043-7.39444e-05j -0.000204972-0.000205704j 0.00229026-7.32501e-06j -0.961274-0.00248329j 0.00439748-0.000125031j -0.00332184+0.000427857j -0.00377343-0.000269264j 0.00728747-9.63375e-05j -0.0103024+0.000401144j -0.00117551+0.000301681j -0.000847513+0.000345523j 0.000471489+6.10129e-06j 0.00594283-1.97622e-14j 0.0027873+2.24433e-05j -0.00238197-8.76143e-05j -0.000399279+0.000319166j -0.000106086+0.00029836j -0.000402891-0.000262187j -0.00059703-0.000141052j 
0.00129064+0.00062304j 0.00450691+0.000994138j -0.0158534+6.36178e-05j -0.000733545-0.000407188j 0.00126061+4.74232e-05j -0.950494-0.000962869j 0.00347337-4.6749e-06j 0.00394496+0.000371703j -0.00637905+0.000100572j 0.00460616+0.000130503j 0.00907205-9.25608e-05j 0.00114373-0.000146296j -0.00415492-0.00016187j 0.000347039+0.000651204j 0.00418179+0.000214622j 0.0027873-2.24433e-05j 0.0135217-4.15737e-16j -0.0038676-0.000714737j -0.00320402+0.000422442j 0.00703554+0.00024011j 0.000827287-0.00056459j -0.000151102-0.000236111j 
0.00426193-0.000375844j 0.00156764-0.000361299j 0.00303549-0.000220956j -0.00372947-1.55414e-05j -0.941518-0.00401652j -0.00232361+3.30889e-05j -0.00299936-0.00021671j 0.00306979+7.87114e-05j -0.00535661+0.000181899j -0.0103237+6.62704e-05j -0.00340328+0.000399443j 0.001481+4.9217e-05j -0.00933343-0.000353619j -0.00224937-0.000252307j 0.00632387-0.000394962j -0.00238197+8.76143e-05j -0.0038676+0.000714737j -0.0038525+1.72171e-16j -0.00308338+2.84224e-05j -0.00281859+0.000386092j 0.00048202+0.000167261j -0.000174611+0.00014976j 
-0.0105033+0.00066266j -0.0261478-0.000997156j 0.000216954-0.000708945j 0.939959+0.00304318j -0.000606356-2.25569e-06j 0.00295349+0.000415782j 0.00245969+7.87199e-05j 0.0166573+0.000387236j 0.0100656+0.000285288j -0.00105591-0.000431454j -0.00340195-0.000362783j -0.000966904+0.000177684j -0.00404216-0.000108553j 0.0125316+0.00018462j -0.0110056+0.000100126j -0.000399279-0.000319166j -0.00320402-0.000422442j -0.00308338-2.84224e-05j 0.018868+8.95117e-16j 0.000615313-0.000461845j -0.0111591-8.19257e-05j -0.00272676-9.01842e-05j 
0.00613414+0.00154584j -0.00437827-0.000634428j 0.923726+0.00474061j 0.000934386-0.000704275j -0.00138544+0.000231572j 0.0146176-6.93649e-05j 0.00542545-0.000119053j 0.000432234-2.1643e-05j 0.00125474+0.000813073j -0.00187987-0.000592009j 0.00811439+1.6281e-05j 0.00529901+0.000690663j -0.0047028-0.000174879j 0.000761272+0.000616485j 0.00123804+0.000124869j -0.000106086-0.00029836j 0.00703554-0.00024011j -0.00281859-0.000386092j 0.000615313+0.000461845j 0.0027998+1.03043e-15j -0.00138446-0.000398955j -0.000741304-0.000111674j 
0.0211999+0.000801629j -0.908125-0.00696627j 0.00493282+0.000639858j 0.0249752+0.000989983j 0.00112266-0.000366373j 0.00446657+0.000989874j 0.0010777+0.000292256j -0.00866128+0.000142773j -0.00891463+0.000175451j -0.00223868+0.000306188j 0.00130634+0.00065025j 0.000617759-7.39414e-05j 0.000849651-0.0001619j -0.00677007+5.37188e-06j 0.00840128-0.000144657j -0.000402891+0.000262187j 0.000827287+0.00056459j 0.00048202-0.000167261j -0.0111591+8.19257e-05j -0.00138446+0.000398955j 0.0055742-4.68375e-17j 0.000729385+1.49366e-05j 
-0.882105-0.012846j 0.0206941+0.00079626j -0.00615392-0.00154458j 0.0103326-0.000665437j 0.0041322-0.000378209j 0.00137651+0.000622312j -0.000107246+0.000421244j -0.0022729+0.000279298j -0.00273708-3.08877e-05j -0.00152285+4.73246e-05j 1.62265e-05+0.000295093j 0.000820924-9.90905e-05j -0.00037576-0.000137706j -0.00176657+0.000106596j 0.00278691-4.86553e-05j -0.00059703+0.000141052j -0.000151102+0.000236111j -0.000174611-0.00014976j -0.00272676+9.01842e-05j -0.000741304+0.000111674j 0.000729385-1.49366e-05j -0.000266251-2.34188e-17j 
