-4.36062e-14-0.0948241j -2.58454e-15+0.0123531j -9.19571e-17-0.00854508j -4.9485e-19-0.0324012j -2.41094e-16-0.0149134j -1.36088e-16-0.0330858j 6.99864e-17+0.047434j 8.97013e-17+0.0143437j 3.61809e-16+0.0708476j 2.71007e-17-0.0681083j 5.28069e-16+0.0669692j 9.57725e-17-0.0266905j -1.79363e-16-0.00598666j -4.87027e-17-0.0322149j -2.01969e-16+0.0276286j 2.99476e-16-0.0491963j -4.97779e-17+0.0486995j -2.89464e-16-0.025646j 7.87408e-17-0.00601396j -1.71996e-16-0.0643685j -3.67929e-16-0.0258803j 1.14312e-16-0.0283665j 1.13282e-17+0.00046905j 1.38672e-16+0.00191526j 3.37763e-17+0.0132536j -1.6895e-19+0.00640521j 3.49375e-16+0.0126577j 8.22623e-17+0.00755977j 1.1425e-16+0.0164566j -8.86248e-17-0.0213058j -2.25601e-16-0.00493019j -1.08414e-17-0.000393021j -2.18341e-16+0.0166142j 3.38367e-17+0.00165174j 3.27426e-17+0.00470522j -9.29215e-17-0.00450664j -9.18741e-17-0.0165087j 2.15785e-14-0.0497371j 1.11427e-13+0.0482557j 8.7625e-14-0.0114504j -3.68282e-16+0.0148718j 5.87857e-16+0.000530097j 3.85825e-17-0.0115084j -2.76539e-16-0.00157123j -3.45255e-18-0.00537945j 1.75122e-16-0.00235108j -2.28847e-16-0.00141345j 6.54908e-17+0.0142397j 2.19899e-17+0.00462415j -4.52302e-18-0.00304306j 9.2223e-17+0.00521946j 1.68336e-16-0.00616929j 7.65536e-17-0.0175181j 2.45069e-17-0.000130397j 1.06973e-16+0.00150877j 1.49371e-17-0.000608614j 1.61318e-17-0.00539561j 9.34321e-17+0.019223j 9.46335e-17-0.0120508j 6.55084e-17+0.0167355j -4.59274e-18-0.0297226j -2.29781e-17-0.00464674j 1.24954e-19+0.0027209j -2.43102e-17-0.0220112j -3.3056e-17+0.00966055j -5.63637e-17+0.0183721j 4.30048e-17+7.23287e-05j -5.06432e-17-0.00493601j -6.70865e-17+0.0261494j 2.10397e-17+0.00971757j -1.33494e-16-0.0297004j -4.90514e-17+0.0172659j -3.91825e-18-0.0120185j 5.48412e-17+0.038815j 1.07649e-16+0.00715481j -1.8332e-15+0.0186503j 2.54159e-14+0.0541601j 
2.4455e-14+0.0542366j 5.77193e-16+0.00484804j -5.54387e-16-0.00824703j -1.50891e-17+0.0181862j 1.46856e-15+0.0412866j -4.61081e-16+0.0484831j 1.0383e-15-0.047875j -8.7333e-16-0.00680962j -5.54662e-16-0.056719j -1.41931e-15-0.0788344j -3.51612e-16-0.304473j -1.41027e-15+0.0489678j -4.01693e-16-0.0162428j -1.70852e-15+0.178204j -4.04022e-19-0.067836j -3.93992e-16+0.00115936j -1.30338e-17-0.00491892j 2.51914e-16+0.0893683j 1.82554e-15+0.0123794j -4.5959e-16+0.00123236j -3.88124e-16+0.00980967j -1.19972e-15-0.0195689j -4.97053e-16-0.224332j -1.07086e-15+0.000962551j 1.29971e-15+0.0842914j -2.21089e-15+0.0514396j 4.22957e-16+0.130485j 5.97388e-15-0.0157124j 5.27273e-17-0.0687422j -2.32705e-15-0.088975j -1.88342e-15-0.0583626j -1.21911e-15+0.148649j 1.73742e-15-0.154104j -2.84628e-15-0.0783251j 2.20102e-15-0.0581571j -9.16537e-15-0.0894973j -1.59244e-15-0.0240701j -4.35319e-14+0.0840051j -6.5707e-13-0.104364j -5.76446e-13-0.149534j -6.60139e-16+0.0185415j -7.6912e-15+0.0509482j 1.18211e-15+0.0231476j 1.87594e-15-0.0277558j 1.42351e-15-0.0130316j -9.43383e-15+0.119587j -1.41676e-15+0.0184796j -3.49202e-16+0.00762725j 1.23678e-15+0.101214j 4.30693e-15-0.081062j 2.01636e-15+0.0324747j -9.04899e-16+0.00374163j 6.99052e-16-0.0522764j -3.36126e-16+0.00329635j 6.61045e-16+0.0166094j -1.4504e-15+0.0423839j -1.39778e-15+0.0947693j 1.33328e-15-0.0983416j 1.11583e-15-0.137367j 6.55373e-16-0.0605082j 6.59227e-16-0.0594145j 6.21154e-16-0.135796j -1.39478e-16-0.0308486j 1.83234e-15-0.058115j 2.24238e-15-0.0362315j 2.56169e-16-0.0619054j -1.03145e-15-0.0278045j -6.39824e-16-0.0738785j 1.13822e-16-0.0943786j 1.16824e-15-0.0490023j -3.86643e-16+0.0480324j -1.55805e-18-0.0158529j -9.83091e-16+0.0272469j -1.8319e-16-0.00799576j -3.92134e-16+0.0728781j 5.22075e-16-0.0319414j 3.99699e-15+0.00682109j 
2.89997e-14+0.0557478j 2.23234e-15+0.0822165j 4.35668e-16-0.0304131j 8.05028e-16+0.00474661j 2.89687e-16-0.125023j 5.39668e-18-0.029259j -5.78526e-16-0.015793j 2.29509e-16-0.0353027j 7.48041e-16+0.139979j 2.87525e-15+0.119877j 1.96853e-15+0.106056j 1.1503e-16+0.0755746j -2.48372e-15+0.0559614j -1.97221e-15-0.0322164j -1.5906e-15+0.0194792j 3.41991e-15-0.104347j 1.33597e-15-0.109757j 1.71038e-15-0.216712j -1.29471e-15-0.0594059j -4.0335e-16+0.0625211j 2.5975e-16-0.068488j 2.48288e-16+0.13946j 1.24616e-15+0.227148j 1.31966e-15+0.102506j -3.78152e-16-0.106478j -2.66745e-15+0.144527j -6.69688e-15-0.133814j 8.12241e-15-0.228864j -1.92623e-15+0.0100858j 3.62702e-15+0.140671j 4.09664e-15+0.0219928j -7.20253e-16-0.0947141j 2.41976e-16-0.0378981j 4.36908e-15+0.161538j 2.01264e-15-0.157384j 1.45427e-14+0.148297j 3.3911e-15+0.118556j -9.36155e-14+0.0766164j 7.75557e-14+0.0860657j 1.1094e-13-0.0479834j -1.62496e-15+0.136396j 1.6842e-14-0.1105j 1.66757e-15-0.210581j -1.37833e-15-0.0994238j -2.71754e-16-0.0237642j -5.18797e-15+0.0563337j -1.34997e-15+0.0450988j 1.10528e-15+0.00578691j -2.63009e-15-0.0675314j 8.78988e-15-0.242681j 2.10536e-15-0.0215851j -5.69618e-16+0.0806239j -1.86726e-16+0.0400311j -3.40999e-17-0.0297403j -8.52476e-16+0.0348257j -6.24874e-17+0.0135567j -1.36317e-15+0.00320234j 1.04005e-15-0.00053176j 1.90103e-15+0.0121355j -2.68843e-17+0.015601j 3.72401e-16+0.0973743j 6.35775e-16+0.0121639j 7.14383e-16+0.014841j 1.53393e-15-0.0609419j 1.92633e-16-0.170302j 5.22204e-16+0.0563197j 5.82788e-16+0.0741955j 1.09672e-15+0.00833319j 9.20072e-16+0.000708195j 8.57222e-16-0.0348638j -4.40519e-16+0.021002j -3.16057e-16+0.00759384j -8.92976e-16+0.000584072j -7.9557e-16-0.0366007j -6.43988e-16+0.0244967j 1.60186e-16-0.0505635j -3.37956e-15-0.00950732j 
-4.57419e-14-0.0874166j -4.17671e-15-0.0143867j -3.67718e-15-0.0806529j -1.8595e-15-0.041542j 1.31307e-16-0.023311j -4.1936e-15-0.103054j 4.60764e-15+0.103191j -9.16307e-16-0.0338298j 2.3163e-15+0.0828852j -1.24567e-14-0.223632j 5.16022e-15+0.13363j -5.02057e-15-0.0955494j 6.75948e-15+0.150406j 3.17984e-15+0.0530817j 2.79533e-15+0.0694484j -4.87938e-15-0.156574j 5.03611e-15+0.0655942j -3.91877e-15-0.159211j 7.97485e-15+0.144379j -6.59491e-15-0.123371j -3.19768e-15-0.0575045j 4.96683e-16+0.0470389j 2.66477e-15+0.12735j -2.3895e-15-0.0231615j -3.63898e-15-0.122064j 2.75161e-15+0.0783394j 4.07593e-15+0.0206031j 4.21054e-15-0.016231j 7.82265e-15+0.151876j -2.9634e-15-0.0257519j -7.07506e-15-0.153946j 3.00469e-15-0.00536354j 1.81606e-15+0.0283753j -5.31803e-15-0.0336179j -4.41989e-15-0.170432j -1.1846e-14-0.0756345j 1.09929e-15+0.0459864j 4.08624e-14-0.0103325j -2.5762e-13-0.098026j -2.45674e-13-0.00296589j 3.70983e-15+0.160559j -3.78779e-15+0.0536472j -2.37111e-15-0.139631j 1.13315e-15+0.0455867j 1.3843e-15-0.0173117j -3.40613e-15+0.09894j -2.04404e-15-0.0616274j -4.05276e-16-0.0240284j 1.28346e-15+0.0112666j 1.49037e-15-0.0127409j 2.5926e-15+0.0406204j -1.11928e-15-0.00895277j -2.11994e-15-0.0367452j 1.70325e-15+0.0413614j 1.52393e-15+0.0451251j 4.68081e-16+0.00521422j -1.35625e-15-0.0431418j -1.56909e-15-0.0457267j -3.04019e-15-0.0524898j 3.70795e-15+0.085413j -1.5896e-15-0.00168891j 2.47938e-15+0.0475128j -3.77923e-15-0.0904092j -2.93317e-15-0.0633121j 2.55849e-16-0.0211314j 4.34249e-16+0.0265816j -3.44395e-15-0.0507034j -9.32278e-16-0.0163165j -2.76255e-15-0.056825j 5.26882e-17+0.000282444j -1.37845e-16-0.00258097j 8.61191e-16+0.0188656j -7.17919e-16-0.0220989j 1.02416e-15+0.0148385j 7.57106e-16+0.0158794j 7.40636e-16+0.0220843j 1.42903e-14+0.0277534j 
-2.239e-15-0.00104076j -8.10278e-16-0.0537837j 6.89708e-17-0.0487768j -3.893e-16-0.0102698j 9.58339e-16+0.147316j 1.19612e-15+0.029239j 1.97793e-16+0.10363j -4.10917e-16-0.130024j -2.05148e-15-0.113026j -1.00805e-15-0.100684j -2.51899e-15-0.0747377j 3.18297e-16-0.0254411j 1.07619e-15+0.0261999j 4.34992e-16-0.0695428j 3.11778e-16+0.113052j 1.39428e-15-0.210594j 1.12222e-15-0.00201488j 1.67721e-15+0.000167713j 4.4232e-16+0.137042j 2.62412e-15+0.153849j -4.4068e-15-0.180596j -1.17487e-15-0.0567799j -3.39786e-15-0.0662264j -2.55189e-15-0.0974652j 1.43105e-15+0.0619115j 3.81764e-16+0.101415j -1.50276e-15-0.00982896j 5.58295e-15-0.141157j -2.15668e-15-0.0300848j 8.7013e-16+0.0722966j -3.98155e-16-0.0334945j 1.37676e-15+0.101197j 2.16729e-15+0.0776504j -1.49469e-15-0.0102735j 1.85959e-15-0.0305797j -9.41188e-16+0.00705451j -2.47279e-15-0.0858068j -4.51058e-14+0.0786966j -5.21599e-13-0.0809663j -4.54826e-13-0.11897j -3.20206e-15-0.102332j -9.33551e-15+0.0548423j 1.43231e-15-0.00842752j 3.42537e-16+0.00184434j -1.43374e-16-0.0627888j -3.69034e-15+0.0170994j 6.21998e-16+0.0247582j -6.05845e-16+0.0364926j 2.56733e-15+0.158137j 2.95482e-15-0.138793j 3.36103e-16-0.0409215j -4.38844e-16-0.0534611j 1.74894e-15+0.142641j -2.92932e-16-0.0523947j 1.1706e-15+0.129355j -2.03668e-16-0.0520953j -6.35355e-16+0.239307j 7.29002e-16-0.0100048j -2.15964e-15+0.0137746j -8.78611e-16+0.0127928j -9.25414e-16-0.00155957j -3.68599e-16+0.0357654j 1.12693e-15-0.0233017j 2.673e-16+0.072315j 4.59757e-16+0.0923107j -6.4675e-16-0.014307j -1.14326e-16-0.0441747j -2.37461e-15-0.110691j -5.06217e-16-0.0383268j -5.62672e-16+0.0234836j 8.65453e-17-0.0538729j 5.55192e-16+0.0263036j 6.65344e-16-0.0766198j 3.03898e-16-0.0207218j 1.36994e-16-0.00811237j 7.3085e-16-0.00108562j -1.0858e-14-0.0229182j 
-2.39479e-14-0.0434458j -1.59191e-15-0.0559219j 4.46968e-15+0.0674296j -6.91401e-16-0.0629143j 3.18493e-15-0.0511536j 6.69809e-16+0.0775414j 1.9215e-15-0.0241197j 4.65654e-15+0.0734596j -1.31508e-15-0.164244j -4.56409e-15-0.00448368j -6.43665e-16-0.00839219j -3.88634e-15+0.00913914j 5.72543e-15+0.140938j 3.17034e-15-0.0147183j 2.71754e-15+0.0742226j 5.38428e-15+0.0349578j 1.4754e-15+0.0133668j 2.32953e-15+0.0840658j -1.1364e-15-0.131193j -1.32724e-15+0.141836j -7.18079e-15-0.0159551j -1.99672e-17-0.0338226j -3.81351e-15-0.0509851j -5.2795e-15-0.0937298j -5.41165e-16+0.0832182j 1.28913e-15+0.081472j 4.98586e-15+0.0737194j -4.03324e-15-0.00921104j 4.82391e-16-0.00437161j 7.85136e-16-0.00859427j -3.84054e-15-0.0313969j -5.35768e-15+0.100076j 7.35652e-15+0.174545j -6.1213e-15-0.0726503j -8.66384e-15+0.240813j -7.28943e-15-0.0211993j 1.73194e-15-0.239109j -1.69465e-14-0.0019619j 4.75471e-14+0.0301469j 5.55766e-14-0.0112478j 3.0781e-15-0.373857j 8.7457e-15-0.0444232j -8.16367e-15+0.0990548j 4.20702e-15+0.088873j -1.18322e-15+0.081639j 1.3194e-14-0.223888j 3.19053e-15+0.136057j 1.11354e-16-0.102493j -1.15604e-15+0.0546895j -2.25702e-15-0.0227049j -1.70465e-15-0.167887j 4.4984e-15-0.0207422j -1.36711e-15+0.0688941j 1.33933e-15-0.0459305j -3.27894e-15+0.0144722j 3.91798e-15+0.00315186j 4.12951e-15+0.0646594j 6.65196e-15+0.0871622j -6.68065e-16-0.107195j -3.58494e-15-0.0279149j -3.66064e-15-0.0121461j 2.68383e-15-0.050014j 8.77989e-16+0.123173j -1.91635e-15-0.0733482j 9.03537e-16-0.0139395j -1.09842e-15-0.0351064j 1.02873e-15+0.0242187j -5.52001e-17-0.0362939j 1.1028e-15+0.0582632j -1.47088e-15-0.0878998j -1.68707e-15+0.0294035j -9.1045e-16+0.0427652j 1.43977e-15+0.120605j 6.63023e-16+0.0709123j -9.20997e-16+0.00044628j -1.42609e-15+0.028397j 9.31688e-15+0.0168793j 
2.90487e-14+0.0296887j -1.57733e-14-0.0391416j -5.77528e-14-0.111144j -1.85337e-15-0.00950004j -1.2389e-14-0.0289483j -1.34662e-15+0.00405706j -3.93757e-15-0.0088085j -7.33358e-14-0.143684j -1.27091e-14-0.0408466j 2.16724e-14+0.0421744j -7.66516e-15-0.0140397j 3.90055e-14+0.0792068j -6.25546e-14-0.114047j -3.30439e-14-0.0695077j -1.85641e-15+0.00594503j -8.47196e-14-0.174356j -1.86648e-14-0.0389543j -1.8094e-14-0.0307991j 3.08026e-14+0.0534839j 1.09695e-14+0.0347045j 6.37553e-14+0.123414j -8.22887e-15-0.0183281j 1.52228e-14+0.0282535j 3.73781e-14+0.0659407j 1.94893e-14+0.0429367j -2.65132e-14-0.0479072j -4.43306e-14-0.0920823j 6.8457e-14+0.158863j -1.18732e-14-0.0223223j -8.38726e-15-0.0143172j 2.39303e-14+0.0478699j 5.19419e-14+0.117583j -5.90114e-14-0.103232j 4.59767e-14+0.0890986j 8.36824e-14+0.193502j 5.82775e-14+0.1033j -6.07817e-14-0.140121j -5.11834e-14+0.121341j -3.20512e-13+0.0127399j -3.11785e-13-0.130038j -2.80698e-14-0.0877771j -2.54975e-14-0.0733184j 8.30234e-14+0.180718j -4.0502e-14-0.0815489j -1.17083e-14-0.0179247j 3.14853e-14+0.0527652j -1.40032e-14-0.0179116j -2.90914e-14-0.0700167j 2.88744e-14+0.0603958j 5.87384e-14+0.127421j 1.34992e-14+0.0164702j -5.5412e-14-0.116677j 1.76476e-14+0.0380304j -1.58874e-14-0.0383165j 5.25563e-14+0.107508j -6.08334e-14-0.124218j -2.49796e-14-0.0455539j -7.51863e-14-0.142761j 7.2019e-15+0.0078253j 3.94588e-14+0.0774577j 3.76741e-14+0.0778428j -2.25467e-14-0.0464512j -2.19267e-14-0.0353186j 3.21253e-14+0.0592923j 2.887e-15+0.00529736j 9.78953e-15+0.0167047j -1.16408e-14-0.0221204j -1.70528e-14-0.0369473j -9.01441e-15-0.0125607j 2.33217e-14+0.0401454j 1.8077e-14+0.0386024j 1.5341e-14+0.0347085j -2.46959e-14-0.0401124j -1.67295e-15+0.00270709j 8.86125e-15+0.0174713j 2.30863e-14+0.0460125j -5.19083e-14-0.0514119j 
-6.81374e-15-0.0109504j -5.18803e-16-0.0438124j 2.98554e-16+0.0100317j -1.12233e-16-0.0630692j -4.83843e-16+0.0544339j -5.57744e-16+0.0176894j -6.81519e-16+0.0567604j 1.37149e-16-0.022577j 3.98318e-16-0.12504j 2.16174e-17-0.103692j -3.92431e-16-0.0837748j -4.92597e-16-0.0594151j 1.53586e-15+0.0799383j -4.80194e-16+0.0445007j -8.03076e-16+0.302697j 1.70917e-15-0.108496j -1.23505e-15+0.105627j -1.60807e-15+0.120484j -7.16427e-16+0.167405j -1.12844e-15-0.0340991j 8.51849e-16+0.0238309j 4.39436e-16+0.0146214j 1.59948e-15+0.0556014j 1.33066e-15-0.0425051j 2.41892e-15-0.294561j 4.85709e-16+0.164717j 2.12262e-15-0.0453225j -7.68653e-15+0.079713j 2.66097e-15+0.180915j 2.76523e-15+0.0520916j 1.32132e-16+0.131672j 6.05765e-15-0.24869j -3.16924e-16+0.127893j 1.42654e-15-0.00806106j 1.14487e-17-0.0163462j 6.10317e-17+0.0093534j 7.51175e-16+0.353078j -2.62419e-14+0.0409015j -3.38985e-13-0.0394289j -2.9936e-13-0.0935457j -5.32269e-16+0.0823941j -2.08018e-14+0.122151j 2.1954e-15-0.148037j 6.70259e-16-0.0377725j 1.90006e-15+0.0837381j -8.9514e-15+0.139179j 1.61939e-15+0.122851j 9.67909e-16-0.137925j 1.06208e-15-0.153151j -7.62539e-15+0.12113j -2.92539e-15+0.139854j 3.37827e-15-0.0533554j 2.02454e-15-0.154285j 1.5359e-15-0.015369j -4.96269e-16-0.170611j 7.25001e-16+0.0694821j -8.71649e-16-0.0172761j -1.4479e-15-0.0879793j -9.67312e-16+0.0199226j -9.76565e-17-0.0761815j -1.38905e-15+0.0332793j 2.47444e-17+0.0106199j -2.1078e-16-0.0300399j -3.49086e-16-0.0634805j -7.65166e-17+0.0413132j -7.54893e-16+0.0145364j 1.89952e-15-0.0730033j -5.96421e-16-0.00782403j -6.12361e-16+0.0829557j 8.80113e-16-0.0764316j 5.59091e-16-0.0319475j 2.62143e-16-0.0114632j 5.52054e-16+0.0284816j 1.13057e-16+0.0404934j -4.70694e-16+0.0316514j 1.70391e-16+0.017241j -1.19427e-15-0.00256451j 
-2.57537e-14-0.0652397j -3.35428e-15+0.0127189j -2.98151e-15+0.0450337j -2.12768e-15+0.0457511j 1.53896e-16+0.00133252j -3.11704e-15+0.0477811j -6.42833e-16-0.00066096j -8.3644e-15+0.128141j 3.84364e-16+0.00222761j -3.81276e-16+0.00882061j -5.43137e-15+0.0999684j 1.94233e-15-0.024057j 6.74411e-15-0.0960049j 8.49373e-15-0.129586j 5.97707e-15-0.123007j -2.47655e-15+0.0434989j 2.77133e-15-0.0504669j -4.07808e-15+0.0240668j -4.52783e-16-0.00785207j -3.73005e-15+0.0502679j 3.00349e-15-0.0498934j 4.63853e-15-0.0828641j 7.74935e-16-0.00859506j 5.24638e-16+0.000347043j -5.20056e-15+0.12286j -4.76933e-15+0.0934519j -2.80568e-16+0.0956747j -2.18879e-14+0.219555j 3.93519e-15-0.0282171j -3.66985e-15+0.0506564j -3.51636e-15+0.0089876j 5.2848e-15-0.0290923j -3.77124e-15+0.0330745j 8.11919e-16-0.0354971j -7.77969e-15+0.0999003j -1.70989e-15-0.00201885j -5.98674e-15+0.060419j -7.96208e-14+0.0785661j -1.5794e-13+0.0217643j -1.05958e-13-0.0757906j -3.48352e-15+0.0414843j -4.27233e-15+0.0102689j 1.13316e-14-0.129854j 1.02307e-15-0.0275501j -9.0152e-15+0.111178j 7.08083e-15-0.0419879j 2.00951e-15-0.0589638j 6.99157e-15-0.0640496j 1.09736e-15+0.0105235j 2.18092e-15-0.0455044j -2.76639e-15+0.0318766j 9.72612e-15-0.123388j 4.52986e-15-0.0200433j 3.76789e-15-0.0265043j 9.76164e-15-0.131682j 5.55317e-16-0.00350987j 3.42391e-15-0.0725851j -1.25806e-14+0.172258j 1.80849e-15-0.0392277j -1.92204e-16+0.0290676j -4.10824e-15+0.061604j -1.70218e-15+0.025921j -8.62491e-15+0.119553j 1.12846e-15-0.0253129j -4.79621e-15+0.0731014j -6.17001e-15+0.0991133j 9.74038e-15-0.1296j -4.80632e-15+0.0734899j -3.11531e-15+0.0324505j 6.22454e-15-0.081457j 4.8273e-15-0.0729779j -2.79753e-16+0.0201882j 2.25523e-15-0.0480919j 1.68279e-16-0.0149814j -5.91077e-16-0.00789912j -1.90821e-15+0.0267064j 8.08387e-15+0.021301j 
-1.7394e-14-0.0290715j -2.21357e-15-0.0949159j 1.35553e-15+0.0199804j -4.84378e-16+0.0227829j 1.25228e-16+0.0388712j 1.14788e-15+0.053289j -1.12636e-15-0.0623119j 6.3193e-16-0.0133128j -1.76477e-15-0.0836896j -9.2822e-16+0.00103151j -8.72612e-16-0.0320387j -4.29174e-16+0.0351366j 1.24278e-15+0.109062j -2.08856e-15+0.00232349j 1.08261e-16+0.0299456j 9.60977e-16-0.00925223j -1.8284e-16-0.0509942j 2.01446e-18-0.131615j -8.51157e-16-0.0536986j -1.2029e-15-0.117229j 1.53688e-15+0.0328642j -1.62448e-15-0.041059j 1.91167e-15+0.0174045j 6.64539e-16+0.0158804j -6.20786e-17+0.0892947j 3.22824e-15+0.235184j 4.37144e-15-0.0555972j -4.19508e-15+0.16269j 3.7593e-15+0.0296534j -8.28074e-16-0.0827348j 1.51602e-16-0.18244j 1.73072e-15-0.0282536j 8.05106e-17-0.0119493j -2.22475e-16+0.0271044j 1.02235e-15+0.0872908j -7.68506e-15-0.0721515j 2.77934e-16-0.130466j -5.27996e-14+0.0901327j -5.22981e-13-0.0767976j -4.51917e-13-0.122029j 9.05843e-16-0.0138121j 6.72211e-15-0.0469515j -2.29381e-15+0.0235763j -1.27121e-15-0.0942915j 1.75587e-15+0.112324j -7.6982e-16+0.0448354j -2.00418e-15-0.13535j 1.61409e-15-0.073803j -1.08169e-15+0.0834864j 4.3226e-15-0.161577j 2.97017e-15-0.0228377j -2.69364e-15-0.0348087j -5.80792e-16+0.0522464j 8.23563e-16+0.109951j -2.08794e-15+0.00518964j 1.88889e-15+0.0405977j -6.06894e-16-0.206338j -8.87079e-16-0.115452j -1.60451e-15-0.0495294j 1.59268e-15+0.100055j 5.66223e-16+0.131763j 4.49661e-16+0.0936714j 3.18393e-16-0.0780706j -1.94211e-15-0.156027j 1.2621e-15+0.000100474j 3.95938e-16+0.0378613j -1.08805e-15+0.101419j -1.21557e-15-0.0774117j 1.52786e-17-0.0057475j -4.19259e-16+0.0383422j -3.07479e-16+0.0219882j 1.34771e-15+0.108762j 7.10796e-16-0.0320096j 5.97064e-16-0.0321609j -1.61163e-15-0.110598j -1.42962e-16+0.0670794j 1.17371e-14+0.0279019j 
-4.85094e-15-0.0110393j -1.77036e-16-0.016943j -1.16128e-15-0.0501016j 4.42257e-16+0.00258531j 1.36354e-15+0.0703183j 8.19828e-16+0.0114864j 2.21262e-15+0.0981457j -3.14472e-16-0.00589594j -7.75302e-16-0.0539618j 2.37639e-15+0.0761065j -4.98971e-16-0.0508073j 1.60971e-15+0.0248312j -2.11447e-15-0.114629j 2.24059e-15+0.052363j 1.72463e-15+0.10318j 2.21728e-15-0.00993119j 1.61836e-15+0.0402968j 1.32297e-15+0.0159957j 3.45432e-16-0.00750126j -6.25505e-16-0.122457j -3.12684e-15-0.0366274j 1.81823e-15+0.0598067j -4.27965e-15-0.0381037j -1.93169e-15+0.0377714j -1.36584e-15+0.105711j -1.85602e-15+0.0800199j -1.39917e-15+0.00440983j 2.13967e-15-0.0708621j -4.60774e-15-0.114322j 3.09429e-15+0.0687024j 2.7427e-15+0.0317705j 7.96733e-16-0.151867j 3.89067e-15+0.115124j 4.35262e-15+0.11764j 3.31583e-15+0.0927877j 5.96892e-15+0.0375857j 5.17068e-15+0.138955j 4.59642e-14-0.041979j 2.21102e-13-0.0166444j 1.87421e-13+0.102636j 5.07502e-16+0.0572241j 2.90476e-15-0.00969521j -4.70691e-17-0.0793759j -2.39028e-15-0.184885j 3.71048e-15+0.116146j -6.67149e-15+0.0967492j -8.2656e-16-0.0590729j 2.15046e-16-0.0360983j -2.03827e-15-0.0878342j 2.29543e-15-0.139714j 5.13605e-15+0.149307j 2.20657e-15+0.225571j -5.59957e-15-0.0762538j -3.3926e-15-0.0306663j -4.33108e-17-0.102538j -3.57465e-15-0.0913624j 2.44586e-15+0.0079423j 5.22342e-15+0.102754j -3.45468e-16-0.0553452j -2.06297e-15-0.050624j 2.28589e-15+0.0829905j 1.49033e-15+0.0766076j 3.55388e-16-0.0394567j 1.888e-15+0.0535971j -1.13862e-15-0.0289893j 1.73315e-16+0.0731544j 1.67953e-15+0.0884539j -1.51285e-15-0.0596839j 1.52827e-15+0.103992j -9.03404e-16-0.0371563j 2.25842e-17-0.0216697j -3.58672e-17+0.0208476j -1.76239e-15-0.118848j -5.06071e-16+0.00781149j 1.55146e-15+0.0538238j 5.22774e-16+0.0562374j -3.59822e-15-0.0025763j 
2.80182e-14+0.0588903j 2.47412e-15-0.0156572j -5.79388e-16-0.0181847j 2.31366e-15+0.0530134j 1.18138e-15+0.0345403j 9.28963e-16+0.0338988j 7.07423e-16+0.0369906j 4.64082e-16+0.00493377j 1.81525e-15-0.035458j 3.74525e-15+0.0900971j 2.1946e-15+0.0681495j 2.51818e-15+0.0870011j -2.14956e-15+0.00671717j 3.21531e-15+0.123436j 5.2603e-16-0.0309108j 4.79685e-17+0.200785j 2.26321e-16+0.088834j 9.82845e-16-0.0531291j 1.57208e-16+0.0262888j -6.21851e-16+0.0625148j -3.91283e-15-0.11707j 1.46004e-15+0.0332636j -7.64002e-15-0.159149j -1.90174e-15-0.190559j 3.69755e-15-0.137365j -9.23082e-16-0.0542981j 3.3582e-15-0.0304282j -2.45201e-16+0.0811817j -7.78881e-15-0.0829603j -6.04975e-15-0.0732076j -2.31426e-15-0.0976979j 8.03265e-16+0.0408549j -2.26777e-15+0.116352j -7.67885e-15-0.0594608j 2.3092e-15+0.0987075j 3.69622e-16+0.00285463j -4.34163e-15+0.106039j 1.15948e-13-0.0881132j -9.0932e-14-0.121757j -1.33569e-13+0.0770505j -8.12293e-15+0.0845319j -6.66168e-15+0.026801j 9.97081e-16+0.193732j 5.26162e-15-0.0403745j 4.11318e-15-0.0119099j 1.54239e-16-0.0808142j 4.1474e-15-0.142777j -2.34799e-15+0.014377j 9.84018e-16-0.00807871j 2.79375e-15+0.0167034j -2.13779e-15+0.00894181j -1.45716e-16+0.077287j 4.20519e-15-0.110061j -3.26655e-16-0.0785023j 3.61771e-15+0.121964j -8.26203e-16-0.0765411j -8.29821e-16-0.000952159j 9.15639e-16+0.139677j 3.31645e-15+0.0399116j 6.58212e-17+0.0702435j 2.50999e-15+0.107284j 2.8584e-15+0.0298557j 1.94418e-15-0.0440459j -1.11694e-15+0.0322772j -2.0263e-15-0.0439549j 2.11592e-15+0.018711j 1.5214e-15+0.114206j 1.45979e-15-0.00405406j 1.50703e-15+0.00329718j -6.16745e-16+0.0159874j -5.73337e-16+0.0282776j 5.24942e-16+0.0118267j -2.13726e-15-0.0724199j -2.39196e-15-0.0542874j -1.15118e-15-0.0183725j 1.28692e-15+0.0137493j -2.02624e-14-0.0400591j 
