-0.288279-0j -0.356728-0j -0.208091-0j 0.108076-0j -0.0417774-0j -0.0255833-0j -0.0365552-0j -0.0150783-0j -0.0225059-0j -0.00324844-0j 0.0767293-0j 0.0110749-0j -0.0207579-0j -0.00299614-0j -0.020973-0j -0.0181631-0j -0.00302719-0j -0.00262162-0j -0.0149838-0j -0.00216273-0j -0.0047874-0j -0.000691002-0j -0.0166698-0j -0.00294684-0j -0.00024557-0j -0.0184501-0j -0.00326155-0j 0.0440222-0j -0.000271796-0j -0.00972407-0j 0.0444784-0j 0.0077821-0j -0.00171899-0j -0.0170171-0j 0.000648509-0j 0.00786275-0j -0.00601646-0j -0.000143249-0j -0.00992665-0j 0.000655229-0j -0.0105288-0j -0.00300823-0j -0.00106357-0j -0.000250686-0j -0.0017548-0j -0.0061418-0j -8.86308e-05-0j -0.00186125-0j -0.000146233-0j -0.00160224-0j -0.00108573-0j -0.000155104-0j -0.000283239-0j -9.04773e-05-0j -2.36032e-05-0j 
0.00786707-0j -0.0382472-0j -0.0735774-0j -0.0462252-0j 0.21188-0j -0.0330249-0j -0.499112-0j 0.363818-0j 0.00061418-0j -0.00847532-0j -0.00272578-0j 0.0376142-0j 0.000566477-0j -0.00781705-0j 0.00605374-0j -0.00194739-0j -0.0835381-0j 0.0268729-0j -0.00529802-0j 0.0731095-0j 0.00663983-0j -0.0916258-0j 0.000454916-0j -0.003804-0j -0.000964403-0j -0.00197816-0j 0.0165414-0j 0.000398051-0j 0.00419363-0j 0.000265367-0j 0.00425383-0j -0.0033285-0j -0.002219-0j -0.00182452-0j -0.000843852-0j -0.0355705-0j 0.000164188-0j -0.000562568-0j -0.00350989-0j -0.00901795-0j 0.00303908-0j 0.0152566-0j -0.00137294-0j 0.00386791-0j 0.0293497-0j -0.00313288-0j -0.000348071-0j -0.0254128-0j 0.00744083-0j 0.00625049-0j 0.0261971-0j -0.00644274-0j -0.0522665-0j 0.00664159-0j -0.0132508-0j 
0.0237233-0j 0.0293561-0j 0.0171244-0j 0.00294684-0j 0.00343798-0j 0.00210532-0j 0.00300823-0j 0.00124083-0j -0.178195-0j 0.000267323-0j -0.201293-0j 0.000301974-0j -0.164355-0j 0.000246561-0j -0.166058-0j -0.14381-0j 0.000249116-0j 0.00021574-0j -0.118638-0j 0.000177977-0j -0.0379053-0j 5.68644e-05-0j -0.00700081-0j 0.119073-0j -0.000103132-0j 0.00151831-0j -0.025824-0j 0.00120033-0j 2.23668e-05-0j 0.000800219-0j 0.00121277-0j -0.0204157-0j -0.0136104-0j 0.00140038-0j 1.76825e-05-0j -0.0206272-0j 0.000495111-0j 1.17883e-05-0j 0.000816891-0j 1.78658e-05-0j 0.000866443-0j -0.0238183-0j -0.00842103-0j 2.06296e-05-0j -0.013894-0j 0.000505425-0j 7.29367e-06-0j -0.0147368-0j 1.20339e-05-0j 0.000131853-0j -0.00859647-0j 1.27639e-05-0j -0.0022426-0j 7.44562e-06-0j 1.94237e-06-0j 
-0.00342416-0j -0.00423718-0j -0.00247169-0j 0.0406646-0j 0.047442-0j 0.0290522-0j 0.0415118-0j 0.0171227-0j -0.000267323-0j -0.172631-0j -0.000301974-0j -0.195007-0j -0.000246561-0j -0.159223-0j -0.000249116-0j -0.00021574-0j -0.160873-0j -0.13932-0j -0.000177977-0j -0.114933-0j -5.68644e-05-0j -0.0367216-0j 0.00101048-0j -0.0170779-0j 0.204084-0j -0.000219149-0j 0.00370378-0j -0.000173253-0j -0.044261-0j -0.000115502-0j -0.000175048-0j 0.0029281-0j 0.00195207-0j -0.000202128-0j -0.0349914-0j 0.00295844-0j -7.14631e-05-0j -0.0233276-0j -0.000117908-0j -0.035354-0j -0.00012506-0j 0.00341612-0j 0.00120778-0j -0.0408233-0j 0.00199273-0j -7.29519e-05-0j -0.0144332-0j 0.00211361-0j -0.0238136-0j -1.90313e-05-0j 0.00123294-0j -0.0252581-0j 0.000321643-0j -0.0147339-0j -0.0038437-0j 
-0.0262569-0j -0.000462474-0j 0.0370971-0j -0.00326155-0j -5.41617e-05-0j -0.00233016-0j 0.00323472-0j 0.00404185-0j -0.799607-0j 0.00119955-0j 0.00317116-0j -4.75728e-06-0j 0.181907-0j -0.000272892-0j -0.17856-0j 0.00226558-0j 0.000267871-0j -3.39877e-06-0j -0.257008-0j 0.000385557-0j -0.164828-0j 0.00024727-0j -0.00151831-0j 0.025824-0j -2.23668e-05-0j 9.69758e-05-0j -0.0016494-0j -0.00132852-0j 1.42859e-06-0j -0.000885681-0j 0.00130408-0j 0.022596-0j 0.015064-0j -2.20616e-05-0j -1.9571e-05-0j -0.0221802-0j -0.000547987-0j -1.30473e-05-0j 0.00176966-0j 1.92109e-05-0j 0.000931677-0j 0.000375232-0j 0.00932038-0j -3.24998e-07-0j -0.030099-0j 0.00164636-0j -8.07261e-06-0j -0.0158463-0j 2.60695e-05-0j 0.000717207-0j -0.0280019-0j 1.37249e-05-0j -0.0121985-0j 2.42532e-05-0j 1.05655e-05-0j 
0.00378985-0j 6.67524e-05-0j -0.0053545-0j -0.0450075-0j -0.0007474-0j -0.0321549-0j 0.0446372-0j 0.0557752-0j -0.00119955-0j -0.774639-0j 4.75728e-06-0j 0.00307213-0j 0.000272892-0j 0.176227-0j -0.000267871-0j 3.39877e-06-0j -0.172985-0j 0.00219484-0j -0.000385557-0j -0.248983-0j -0.00024727-0j -0.159681-0j 0.000219149-0j -0.00370378-0j 0.044261-0j -1.39973e-05-0j 0.000236564-0j 0.000191755-0j -0.00282699-0j 0.000127837-0j -0.000188227-0j -0.00324081-0j -0.00216054-0j 3.18432e-06-0j 0.0387283-0j 0.00318118-0j 7.90951e-05-0j 0.0258189-0j -0.000255428-0j -0.0380158-0j -0.000134476-0j -5.38174e-05-0j -0.00133677-0j 0.000643128-0j 0.00431692-0j -0.000237632-0j 0.0159746-0j 0.00227275-0j -0.0515881-0j -0.00010352-0j 0.00401615-0j -0.0271598-0j 0.00174957-0j -0.0479938-0j -0.0209077-0j 
-0.0207579-0j 0.0252745-0j -0.0149838-0j 0.0077821-0j -0.00300823-0j 0.00546737-0j 0.00258998-0j -0.00108573-0j 0.155921-0j -0.000233908-0j -0.53158-0j 0.000797462-0j -0.141504-0j 0.00021228-0j 0.145301-0j -0.373465-0j -0.000217976-0j 0.000560262-0j -0.102143-0j 0.000153232-0j 0.0331671-0j -4.97564e-05-0j -0.00120033-0j 0.0204157-0j -1.76825e-05-0j -0.00132852-0j 0.022596-0j -0.00311902-0j -1.9571e-05-0j -0.000700192-0j 0.00320272-0j 0.0530495-0j 0.0119091-0j 0.00120568-0j -4.59475e-05-0j -0.0544731-0j 0.00214526-0j -1.03148e-05-0j -0.000714779-0j 4.71805e-05-0j 0.00225009-0j -0.0205067-0j -0.0364874-0j 1.77613e-05-0j 0.0121572-0j 0.000435153-0j 3.16027e-05-0j -0.0382704-0j -1.05297e-05-0j -0.000115371-0j -0.00740125-0j 3.3147e-05-0j 0.00196228-0j 6.41041e-06-0j -1.69958e-06-0j 
0.0690461-0j -0.0171244-0j -0.00998922-0j -0.00171899-0j 0.0100062-0j -0.0012281-0j -0.0017548-0j -0.000723818-0j 0.103947-0j -0.000155939-0j 0.117421-0j -0.000176151-0j -0.478351-0j 0.000717609-0j -0.483308-0j 0.0838894-0j 0.000725046-0j -0.000125849-0j 0.0692052-0j -0.00010382-0j 0.0221114-0j -3.31709e-05-0j -0.000800219-0j 0.0136104-0j -1.17883e-05-0j -0.000885681-0j 0.015064-0j -0.000700192-0j -1.30473e-05-0j -0.00324778-0j -0.000707448-0j 0.0119091-0j 0.0552395-0j 0.00407579-0j -1.03148e-05-0j 0.0120326-0j -0.000288814-0j -4.78443e-05-0j 0.00237754-0j -1.04217e-05-0j -0.000505425-0j -0.0693226-0j 0.00491227-0j 6.0042e-05-0j -0.0404382-0j -0.000294831-0j -4.25464e-06-0j 0.00859647-0j 3.50245e-05-0j -7.6914e-05-0j 0.00501461-0j -7.44562e-06-0j 0.00130818-0j -4.34328e-06-0j -1.13305e-06-0j 
0.00299614-0j -0.00364806-0j 0.00216273-0j 0.107388-0j -0.0415118-0j 0.0754464-0j 0.0357401-0j -0.0149824-0j 0.000233908-0j 0.151052-0j -0.000797462-0j -0.514981-0j -0.00021228-0j -0.137085-0j 0.000217976-0j -0.000560262-0j 0.140764-0j -0.361803-0j -0.000153232-0j -0.0989532-0j 4.97564e-05-0j 0.0321314-0j 0.000173253-0j -0.0029281-0j 0.0349914-0j 0.000191755-0j -0.00324081-0j 0.000450192-0j 0.0387283-0j 0.000101064-0j -0.000462273-0j -0.00760858-0j -0.00170806-0j -0.000174025-0j 0.090924-0j 0.00781275-0j -0.000309642-0j 0.0204116-0j 0.00010317-0j -0.093364-0j -0.000324773-0j 0.00294115-0j 0.00523318-0j -0.0351474-0j -0.00174364-0j -6.28089e-05-0j -0.0625375-0j 0.0054889-0j 0.0208369-0j 1.66524e-05-0j 0.00106152-0j -0.0655935-0j -0.000281438-0j -0.0126854-0j 0.00336324-0j 
0.020973-0j -0.0252139-0j 0.0138646-0j -0.00786275-0j -0.00295288-0j 0.00186125-0j -0.0026584-0j 0.00523773-0j -0.157536-0j 0.000236332-0j -0.521799-0j 0.000782789-0j -0.145301-0j 0.000217976-0j 0.146747-0j 0.123519-0j -0.000220146-0j -0.0001853-0j -0.0960537-0j 0.000144097-0j -0.354445-0j 0.000531729-0j 0.00121277-0j -0.0206272-0j 1.78658e-05-0j -0.00130408-0j 0.0221802-0j -0.00320272-0j -1.92109e-05-0j 0.000707448-0j 0.0032346-0j 0.0544731-0j -0.0120326-0j -0.00120279-0j -4.71805e-05-0j -0.0550153-0j 0.000437711-0j 1.04217e-05-0j 0.000661388-0j 4.76501e-05-0j -0.000765684-0j 0.0204575-0j -0.00744476-0j -1.77188e-05-0j -0.0112491-0j 0.00213348-0j 6.44809e-06-0j 0.0130231-0j 9.74316e-06-0j 0.00213583-0j -0.036287-0j -1.12796e-05-0j -0.0363271-0j 3.14291e-05-0j 3.14638e-05-0j 
-0.00996595-0j 0.00247169-0j 0.00144182-0j -0.023721-0j 0.138079-0j -0.0169471-0j -0.0242152-0j -0.00998826-0j 0.000155939-0j 0.100701-0j 0.000176151-0j 0.113754-0j -0.000717609-0j -0.463414-0j -0.000725046-0j 0.000125849-0j -0.468216-0j 0.0812699-0j 0.00010382-0j 0.0670442-0j 3.31709e-05-0j 0.021421-0j 0.000115502-0j -0.00195207-0j 0.0233276-0j 0.000127837-0j -0.00216054-0j 0.000101064-0j 0.0258189-0j 0.000468777-0j 0.000102111-0j -0.00170806-0j -0.00792268-0j -0.000588289-0j 0.0204116-0j -0.00172576-0j 4.16868e-05-0j 0.0946776-0j -0.000343169-0j 0.0206232-0j 7.29519e-05-0j 0.00994253-0j -0.000704538-0j -0.118815-0j 0.00579981-0j 4.25553e-05-0j 0.00841937-0j -0.00123294-0j -0.0693089-0j 1.11016e-05-0j -0.000719216-0j 0.0147339-0j -0.000187625-0j 0.00859477-0j 0.00224216-0j 
-0.00302719-0j 0.00363932-0j -0.00200118-0j -0.108501-0j -0.040748-0j 0.0256841-0j -0.0366843-0j 0.0722776-0j -0.000236332-0j -0.152617-0j -0.000782789-0j -0.505506-0j -0.000217976-0j -0.140764-0j 0.000220146-0j 0.0001853-0j 0.142165-0j 0.119662-0j -0.000144097-0j -0.0930544-0j -0.000531729-0j -0.343377-0j -0.000175048-0j 0.00295844-0j -0.035354-0j 0.000188227-0j -0.00318118-0j 0.000462273-0j 0.0380158-0j -0.000102111-0j -0.000466874-0j -0.00781275-0j 0.00172576-0j 0.000173608-0j 0.093364-0j 0.00789052-0j -6.31782e-05-0j -0.0206232-0j -9.54631e-05-0j -0.0942933-0j 0.000110517-0j -0.0029341-0j 0.00106776-0j 0.0350631-0j 0.0016134-0j -0.000307941-0j -0.0127599-0j -0.00186782-0j -0.0192804-0j -0.000308281-0j 0.00520443-0j 0.0223208-0j 0.00521018-0j -0.062194-0j -0.0622627-0j 
-0.0483066-0j -0.000419712-0j -0.0342158-0j 0.00300823-0j -9.96451e-05-0j -0.0063786-0j 0.00293562-0j -0.00372793-0j -0.181907-0j 0.000272892-0j -0.00292486-0j 4.38779e-06-0j -0.329299-0j 0.000494006-0j -0.32851-0j 0.00620182-0j 0.000492822-0j -9.30379e-06-0j -0.233244-0j 0.000349907-0j 0.152026-0j -0.000228065-0j 0.00140038-0j -0.0238183-0j 2.06296e-05-0j 2.20616e-05-0j -0.000375232-0j -0.00120568-0j 3.24998e-07-0j -0.00407579-0j -0.00120279-0j 0.0205067-0j 0.0693226-0j 3.99372e-05-0j -1.77613e-05-0j 0.0204575-0j -0.0025028-0j -6.0042e-05-0j 0.00325576-0j -1.77188e-05-0j 0.00255038-0j -0.000679267-0j 0.0425687-0j 5.8833e-07-0j -0.0553752-0j 0.00149413-0j -3.68698e-05-0j -0.0433778-0j 4.79619e-05-0j -0.000661503-0j -0.0254128-0j 3.75706e-05-0j 0.0112511-0j 2.20106e-05-0j -9.74485e-06-0j 
0.00856219-0j -0.0524659-0j 0.00618051-0j 0.00106357-0j 0.00124083-0j 0.00965983-0j -0.00537639-0j 0.00044784-0j -0.064314-0j 9.64821e-05-0j -0.0726504-0j 0.000108988-0j 0.293739-0j -0.00044066-0j -0.0599335-0j -0.659844-0j 8.99106e-05-0j 0.00098988-0j 0.212032-0j -0.000318085-0j -0.0136807-0j 2.05235e-05-0j 0.000495111-0j -0.00842103-0j 7.29367e-06-0j 0.000547987-0j -0.00932038-0j -0.00214526-0j 8.07261e-06-0j 0.000288814-0j 0.000437711-0j 0.0364874-0j -0.00491227-0j -0.0025028-0j -3.16027e-05-0j -0.00744476-0j 0.00127584-0j 4.25464e-06-0j 0.000294831-0j 6.44809e-06-0j 0.0039755-0j 0.0425687-0j -0.0217-0j -3.68698e-05-0j -0.00501461-0j -0.00090331-0j 1.87949e-05-0j -0.0676168-0j 4.34328e-06-0j 4.75881e-05-0j 0.0153638-0j 5.85646e-05-0j -0.000809398-0j -1.3307e-05-0j 7.01039e-07-0j 
0.00697245-0j 6.05802e-05-0j 0.00493862-0j 0.0415118-0j -0.00137504-0j -0.0880209-0j 0.0405098-0j -0.0514432-0j -0.000272892-0j -0.176227-0j -4.38779e-06-0j -0.00283352-0j -0.000494006-0j -0.319017-0j -0.000492822-0j 9.30379e-06-0j -0.318252-0j 0.00600816-0j -0.000349907-0j -0.225961-0j 0.000228065-0j 0.147279-0j -0.000202128-0j 0.00341612-0j -0.0408233-0j -3.18432e-06-0j 5.38174e-05-0j 0.000174025-0j -0.000643128-0j 0.000588289-0j 0.000173608-0j -0.00294115-0j -0.00994253-0j -5.76443e-06-0j 0.0351474-0j -0.0029341-0j 0.000361249-0j 0.118815-0j -0.000469929-0j 0.0350631-0j -0.000368115-0j 9.74233e-05-0j -0.00610537-0j -0.00116423-0j 0.00794215-0j -0.000215659-0j 0.0729604-0j 0.00622142-0j -0.0949102-0j 9.54797e-05-0j 0.0036448-0j -0.0743472-0j -0.00161368-0j -0.0435561-0j 0.0192838-0j 
0.0281788-0j 0.0342158-0j -0.0394832-0j -0.0017548-0j -0.00799297-0j -0.00125369-0j -0.00164055-0j -0.000859768-0j 0.106113-0j -0.000159187-0j -0.234615-0j 0.000351964-0j -0.195223-0j 0.000292868-0j -0.18064-0j -0.167617-0j 0.000270992-0j 0.000251455-0j 0.273539-0j -0.000410356-0j -0.292457-0j 0.000438736-0j -0.000816891-0j 0.013894-0j -1.20339e-05-0j 0.00176966-0j -0.030099-0j -0.000714779-0j 2.60695e-05-0j 0.00237754-0j -0.000661388-0j 0.0121572-0j -0.0404382-0j -0.00325576-0j -1.05297e-05-0j 0.0112491-0j -0.000294831-0j 3.50245e-05-0j 0.00375697-0j -9.74316e-06-0j -0.000472518-0j 0.0553752-0j 0.00501461-0j -4.79619e-05-0j -0.0639-0j -0.000350208-0j -4.34328e-06-0j 0.00803677-0j 5.53454e-05-0j 0.00347326-0j 0.00595647-0j -6.96085e-06-0j -0.0590745-0j -5.15904e-06-0j 5.11659e-05-0j 
