-0.715067-0j 0.0713607-0j -0.0732757-0j -0.0416095-0j -0.00600582-0j 0.0506632-0j 0.00731261-0j -0.0300354-0j -0.00433523-0j -0.0292381-0j -0.00516862-0j -0.0341111-0j -0.000430718-0j 0.061996-0j -0.00603005-0j 0.0293684-0j 0.0109594-0j -0.000502504-0j -0.0123114-0j 0.000913287-0j 0.00519166-0j 0.000432638-0j -0.00217636-0j -0.000181363-0j -0.0225059-0j -0.00375098-0j -0.0254231-0j -0.002297-0j -0.000468873-0j 0.0204249-0j -2.76286e-05-0j -0.020973-0j -0.00423718-0j -0.00259473-0j 0.0539067-0j 0.00340415-0j -0.000529648-0j 0.0147435-0j 0.00208461-0j -0.0034955-0j -3.12098e-05-0j -0.0047874-0j 0.000425519-0j 0.00898445-0j -0.00214055-0j 0.00550183-0j -0.000436937-0j 2.50739e-05-0j 0.00245724-0j 0.00112306-0j 0.00150475-0j -0.000797901-0j -2.57468e-05-0j -0.000488612-0j 0.000307156-0j 6.61767e-05-0j 1.80993e-05-0j -9.97376e-05-0j -5.87709e-06-0j 
0.00525509-0j 0.151234-0j -0.0514843-0j 0.000305792-0j 0.197473-0j -0.00112306-0j -0.725242-0j 0.000220733-0j 0.142544-0j 0.000214874-0j -0.00363152-0j 0.000250686-0j 0.0433974-0j 0.000143742-0j -0.00423678-0j -0.000651013-0j -0.00242935-0j 0.0506303-0j 9.04773e-05-0j 0.0290312-0j 0.0110026-0j -0.131483-0j -0.00152913-0j 0.0182735-0j 0.000165398-0j -0.00263548-0j 0.000186837-0j 1.68808e-05-0j 0.0154167-0j -0.00045276-0j 0.00560652-0j 0.000154132-0j -0.00297709-0j 1.90689e-05-0j 0.000124986-0j 0.00721437-0j 0.017415-0j -0.00032682-0j -4.62097e-05-0j -0.00245597-0j 0.00633324-0j 3.51831e-05-0j -0.0422016-0j -0.00199156-0j 1.57311e-05-0j 1.27564e-05-0j 0.0143666-0j -0.0153473-0j 0.0052076-0j 0.0116499-0j -3.33559e-05-0j -0.000560614-0j 0.00522466-0j 3.59086e-06-0j -0.0304627-0j 0.00423669-0j -0.0110783-0j 0.0032794-0j 0.00119261-0j 
0.00729508-0j -0.0716418-0j -0.0735345-0j -0.000436937-0j -0.282163-0j -0.000516864-0j -0.333778-0j -0.000288845-0j -0.186529-0j -0.000307026-0j 0.00518897-0j 0.000348-0j -0.0620093-0j 0.000651013-0j -0.00588146-0j -0.00030827-0j -0.0110026-0j 0.0702847-0j -0.000617273-0j 0.131483-0j 0.00520999-0j -0.0622604-0j 0.0104324-0j -0.124669-0j -0.000236332-0j 0.00376575-0j 0.000259365-0j -2.41205e-05-0j -0.0220284-0j 0.00021448-0j -0.00801098-0j 0.000220146-0j -0.00413277-0j 2.64714e-05-0j -0.000549954-0j -0.00341756-0j 0.0241753-0j 0.000141786-0j 2.18902e-05-0j -0.00350784-0j 0.00879175-0j -0.000531729-0j 0.0199916-0j 0.00876306-0j 2.24685e-05-0j -5.61294e-05-0j 0.0205197-0j 0.00727025-0j -0.00225924-0j -0.051261-0j 1.44709e-05-0j 0.00847266-0j 0.00746232-0j -5.42694e-05-0j 0.0132158-0j -0.0186419-0j 0.00480614-0j -0.0495622-0j -0.0180241-0j 
0.0631532-0j -0.00217636-0j -0.0104991-0j 0.120138-0j -0.000180227-0j -0.437525-0j 0.000656362-0j 0.100906-0j -0.000151376-0j -0.0008774-0j 0.0149232-0j 0.00301262-0j -1.29253e-05-0j -0.000626845-0j -0.0512398-0j -0.00427659-0j 0.0106616-0j 4.43801e-05-0j 0.00521057-0j -9.2343e-06-0j 0.0727379-0j -6.30001e-05-0j -0.0886234-0j 7.67589e-05-0j -0.000675374-0j -0.000112562-0j 0.00224531-0j 0.013333-0j 0.00135376-0j -0.000622919-0j -8.291e-07-0j -0.00300507-0j 0.000374219-0j -0.0443262-0j 0.00160413-0j -0.00010382-0j -0.00450064-0j -0.0005232-0j 0.0122974-0j -0.000500844-0j 2.75638e-06-0j 0.00268533-0j 0.00124861-0j 0.000267355-0j 0.059325-0j -0.0316682-0j 0.00602353-0j -7.64705e-07-0j -8.72001e-05-0j -0.00321541-0j 0.0103288-0j 0.000447555-0j -3.68907e-06-0j -0.0530128-0j 0.00104873-0j 1.96925e-06-0j -6.42289e-07-0j -0.00538263-0j 3.29655e-06-0j 
-0.00911537-0j -0.0300325-0j -0.144882-0j 0.000180227-0j 0.116386-0j -0.000656362-0j -0.423863-0j 0.000151376-0j 0.097755-0j 0.000126642-0j -0.00214034-0j -0.000434834-0j 0.0255775-0j 9.04773e-05-0j 0.00734902-0j 0.000617273-0j -0.00152913-0j -0.0878223-0j -0.000752081-0j 0.0182735-0j -0.0104324-0j 0.124669-0j 0.0127107-0j -0.151896-0j 9.74819e-05-0j -0.00155329-0j -0.000324083-0j 9.9492e-06-0j 0.00908625-0j 8.99106e-05-0j 0.00330436-0j 0.000433744-0j 0.005164-0j -3.30766e-05-0j -0.000231536-0j -0.00143265-0j -0.0302076-0j 7.55175e-05-0j 9.17646e-06-0j -0.00691135-0j -0.0109855-0j -0.000387594-0j 0.00838053-0j 0.00368934-0j 4.42688e-05-0j -2.36311e-05-0j 0.0404291-0j 0.00304772-0j -0.00120331-0j -0.0215814-0j 7.70747e-06-0j 0.00617599-0j 0.0147027-0j -3.95586e-05-0j 0.00703895-0j -0.00784842-0j 0.00255983-0j -0.0361275-0j -0.0131383-0j 
0.0369836-0j 0.00375098-0j 0.00378985-0j 0.00215207-0j 0.000310624-0j 0.00266305-0j 0.000384377-0j 0.00155344-0j 0.00022422-0j -0.220389-0j 0.000267323-0j -0.257121-0j 2.22769e-05-0j -0.157454-0j 0.000311877-0j -0.224981-0j 0.000190985-0j 2.59898e-05-0j -0.0927999-0j 1.59154e-05-0j 0.000272892-0j 2.2741e-05-0j 0.000112562-0j 9.3802e-06-0j -0.00471924-0j 0.11463-0j 0.00131489-0j -0.000481655-0j -9.83175e-05-0j 0.00107361-0j -5.79341e-06-0j 0.00108473-0j -0.0319388-0j 0.000134201-0j 0.000939406-0j -0.0260779-0j 2.73936e-05-0j 0.000774971-0j 0.000109575-0j -0.0263482-0j 1.61419e-06-0j 0.000247607-0j 2.23668e-05-0j -0.0228182-0j 0.00011071-0j 9.58777e-05-0j 2.25986e-05-0j 1.31798e-06-0j -0.018824-0j 1.9571e-05-0j 7.90951e-05-0j -0.00601437-0j 1.33164e-06-0j 2.52713e-05-0j 1.61452e-05-0j 1.15323e-06-0j 9.51366e-07-0j 5.15848e-06-0j 3.03966e-07-0j 
-0.00653784-0j 0.0313657-0j 0.0316907-0j 0.0366032-0j 0.00524978-0j 0.0452941-0j 0.00649627-0j 0.0264216-0j 0.00378949-0j -0.000267323-0j -0.215072-0j -0.000311877-0j 0.000566714-0j -0.000190985-0j -0.250918-0j -0.000272892-0j -0.153655-0j 0.000661167-0j -0.000112562-0j 0.00040488-0j -0.219553-0j 0.000578521-0j -0.090561-0j 0.000238628-0j 0.000834251-0j -0.00657703-0j -0.000232443-0j -0.0164695-0j 0.159873-0j -0.000189789-0j -0.00019685-0j -0.000191755-0j 0.00183252-0j 0.00458881-0j -0.000166065-0j 0.00149625-0j -0.0445445-0j -0.000136997-0j 0.00374674-0j 0.00151175-0j 5.48473e-05-0j -4.37711e-05-0j -0.0363704-0j 0.00130922-0j 0.00378557-0j 0.0032784-0j -0.0367473-0j 4.47826e-05-0j 0.00108005-0j -0.0318241-0j 0.00270454-0j 0.000345081-0j 4.52467e-05-0j 0.000864115-0j -0.0262536-0j 3.91848e-05-0j 3.23258e-05-0j -0.00838814-0j 1.03282e-05-0j 
0.00054482-0j -0.00795193-0j -0.00803433-0j 3.17029e-05-0j 0.0627359-0j 3.92304e-05-0j 0.0776317-0j 2.28844e-05-0j 0.0452852-0j 2.22769e-05-0j -0.000566714-0j 2.59898e-05-0j -0.208262-0j 1.59154e-05-0j -0.000661167-0j 2.2741e-05-0j -0.00040488-0j -0.242972-0j 9.3802e-06-0j -0.14879-0j -0.000578521-0j -0.212601-0j -0.000238628-0j -0.0876933-0j -6.95209e-05-0j 0.00166743-0j 1.93702e-05-0j -7.09545e-06-0j -0.0198569-0j 1.58157e-05-0j 0.223715-0j 1.59796e-05-0j -0.000464587-0j 1.97697e-06-0j 1.38388e-05-0j -0.000379334-0j 0.00553262-0j 1.14164e-05-0j 1.61419e-06-0j -0.000383265-0j -0.0623324-0j 3.64759e-06-0j 0.00451737-0j -0.000331917-0j 1.63091e-06-0j 1.41241e-06-0j 0.00456418-0j -0.0508942-0j -0.000273818-0j 0.0039527-0j 1.16518e-06-0j -8.74861e-05-0j -0.0514216-0j 3.72281e-07-0j 0.00326081-0j -0.0445324-0j -0.0367374-0j 0.00104184-0j -0.0117378-0j 
-0.000594653-0j -0.00423718-0j 0.00415922-0j -0.00243102-0j -0.000350887-0j -4.28186e-05-0j -6.18034e-06-0j 0.00343467-0j 0.000495752-0j -0.751374-0j 0.000911385-0j 0.0041342-0j 7.59488e-05-0j 0.177863-0j -5.01462e-06-0j -0.246908-0j -0.00021574-0j -4.17885e-07-0j -0.308517-0j -1.79784e-05-0j 0.000299489-0j 2.49574e-05-0j 0.000374219-0j 3.11849e-05-0j -0.00131489-0j 0.0319388-0j 6.38084e-05-0j -0.000134201-0j -2.73936e-05-0j -0.00121277-0j -1.61419e-06-0j 0.00119045-0j -0.00154991-0j 6.51242e-06-0j -1.51045e-05-0j 0.0294582-0j 1.32934e-06-0j 0.00171346-0j -0.000123778-0j -0.0289161-0j 7.83322e-08-0j 0.0010989-0j -2.5266e-05-0j 0.00036689-0j 0.0001215-0j -1.5416e-06-0j 2.48011e-05-0j -1.48881e-06-0j -0.04162-0j -3.14678e-07-0j 0.00017488-0j -0.0266923-0j 1.46142e-06-0j 0.000112156-0j 3.56971e-05-0j -1.85426e-08-0j 2.10347e-06-0j 2.28938e-05-0j 1.34903e-06-0j 
-0.0341111-0j 0.00340415-0j -0.0034955-0j 0.0039593-0j 0.000571476-0j 0.00241681-0j 0.000348836-0j -0.00143279-0j -0.000206805-0j 0.203272-0j -0.000246561-0j -0.473043-0j -2.05467e-05-0j -0.431014-0j 0.000573782-0j -0.204178-0j 0.000522803-0j 4.78152e-05-0j 0.0855922-0j 4.35669e-05-0j 0.00024766-0j 2.06383e-05-0j -0.00010382-0j -8.65165e-06-0j -0.00107361-0j 0.0260779-0j -0.00121277-0j -0.000109575-0j -2.23668e-05-0j -0.00194351-0j -1.31798e-06-0j 0.00199566-0j 0.0294582-0j -0.000123778-0j 0.00257153-0j 0.0472078-0j -2.5266e-05-0j 0.000703314-0j -0.000198358-0j -0.0484746-0j -1.48881e-06-0j -0.000228375-0j -4.04897e-05-0j -0.0624626-0j 0.000203681-0j 0.000262456-0j 4.15762e-05-0j -2.38588e-06-0j -0.0170835-0j 5.35736e-05-0j 7.17816e-05-0j 0.00554724-0j 2.4499e-06-0j -2.33085e-05-0j 1.46524e-05-0j 3.15685e-06-0j 8.63399e-07-0j -4.75782e-06-0j -2.80357e-07-0j 
0.000105121-0j -0.0354313-0j 0.0347793-0j -0.0413477-0j -0.00593025-0j -0.000728276-0j -0.000104452-0j 0.0584182-0j 0.00837858-0j -0.000911385-0j -0.733246-0j 5.01462e-06-0j 0.0019321-0j 0.00021574-0j 0.00403446-0j -0.000299489-0j 0.173572-0j -1.06308e-05-0j -0.000374219-0j -0.000457361-0j -0.240951-0j 0.000634905-0j -0.301074-0j 0.000793329-0j 0.000232443-0j -0.00183252-0j -1.12798e-05-0j -0.00458881-0j 0.0445445-0j 0.000214389-0j -5.48473e-05-0j -0.000210444-0j 8.89275e-05-0j 0.000222683-0j 2.67013e-06-0j -0.00169019-0j -0.00216163-0j -0.0003029-0j -0.0042324-0j 0.00165909-0j 2.66159e-06-0j -0.00019426-0j 0.0410848-0j -2.10507e-05-0j 0.00415452-0j -5.27128e-05-0j -0.0403288-0j -5.05873e-05-0j 0.00238799-0j 0.000511694-0j 0.00597975-0j 0.0015315-0j 4.96565e-05-0j 0.00383501-0j -0.0580467-0j -6.30045e-07-0j 7.14724e-05-0j -0.0372273-0j 4.58376e-05-0j 
-0.0334835-0j 0.0034955-0j -0.00353029-0j -0.00400033-0j -0.000577399-0j -0.00241102-0j -0.000348-0j 0.00132576-0j 0.000191358-0j -0.205378-0j 0.000249116-0j -0.464339-0j 2.07596e-05-0j -0.146729-0j 0.000563225-0j 0.209572-0j 0.000177977-0j 4.69354e-05-0j -0.412911-0j 1.48314e-05-0j -0.000254202-0j -2.11835e-05-0j 0.000500844-0j 4.1737e-05-0j 0.00108473-0j -0.0263482-0j -0.00119045-0j 0.00011071-0j 2.25986e-05-0j -0.00199566-0j 1.33164e-06-0j 0.00201552-0j 0.0289161-0j -0.0001215-0j -0.000850501-0j 0.0484746-0j -2.48011e-05-0j 0.000661388-0j -0.000203681-0j -0.0489571-0j -1.46142e-06-0j 0.00244057-0j -4.15762e-05-0j 0.0206587-0j 0.000205708-0j -8.68039e-05-0j 4.199e-05-0j -2.4499e-06-0j -0.0160651-0j -1.77188e-05-0j 6.75026e-05-0j -0.0592814-0j 2.47429e-06-0j 0.000249089-0j 1.37789e-05-0j -1.04409e-06-0j 8.1193e-07-0j 5.08452e-05-0j 2.99608e-06-0j 
-8.76006e-06-0j 0.00898266-0j -0.00881738-0j -3.58123e-05-0j -0.0708677-0j -6.30778e-07-0j -0.00124823-0j 5.05974e-05-0j 0.100126-0j 7.59488e-05-0j -0.0019321-0j -4.17885e-07-0j -0.710028-0j -1.79784e-05-0j 1.06308e-05-0j 2.49574e-05-0j 0.000457361-0j 0.00390671-0j 3.11849e-05-0j 0.168076-0j -0.000634905-0j -0.233321-0j -0.000793329-0j -0.29154-0j -1.93702e-05-0j 0.000464587-0j 9.39987e-07-0j -1.97697e-06-0j -0.00553262-0j -1.78658e-05-0j 0.0623324-0j 1.7537e-05-0j -2.25452e-05-0j 9.5937e-08-0j -2.22511e-07-0j 0.000428503-0j 0.000268484-0j 2.52417e-05-0j -1.82342e-06-0j -0.000420619-0j -0.00302483-0j 1.61883e-05-0j -0.00510291-0j 5.33684e-06-0j 1.78987e-06-0j -2.27099e-08-0j 0.00500902-0j 0.0574911-0j -0.000605412-0j -6.35547e-05-0j 2.57622e-06-0j -0.000388271-0j -0.0564333-0j 1.65221e-06-0j 0.00720966-0j 0.000716029-0j -0.0812265-0j 0.00462379-0j -0.0520932-0j 
0.00603005-0j 0.0284655-0j -0.0292293-0j 0.0673414-0j 0.00965838-0j 0.041106-0j 0.00589559-0j -0.0243694-0j -0.00349516-0j 0.000246561-0j 0.198368-0j -0.000573782-0j -0.000522698-0j -0.000522803-0j -0.461631-0j -0.00024766-0j -0.420616-0j 0.00121639-0j 0.00010382-0j 0.00110832-0j -0.199252-0j 0.000525028-0j 0.0835272-0j -0.000220094-0j 0.000189789-0j -0.00149625-0j 0.000214389-0j -0.00374674-0j 0.0363704-0j 0.000343566-0j -4.47826e-05-0j -0.000352786-0j -0.00169019-0j -0.0042324-0j -0.000454587-0j -0.00270859-0j 0.0410848-0j -0.000124329-0j -0.00678257-0j 0.00278128-0j -5.05873e-05-0j 4.03715e-05-0j 0.0658398-0j 0.00358385-0j 0.00696458-0j 0.0089743-0j -0.0676066-0j -8.1068e-05-0j 0.000980183-0j -0.0871154-0j 0.00245447-0j -0.000318279-0j 8.32435e-05-0j -0.000797-0j -0.023826-0j 0.000107264-0j 2.93368e-05-0j 0.00773664-0j -9.52606e-06-0j 
