-0.00368367-0.00618984j -0.00352886+0.000524822j 0.00783313+0.00355895j 0.0137239+0.00349562j 0.0112031+0.00320241j -0.0122638-0.00282529j 0.000651028+0.00923447j 0.0106636-0.0160176j 0.011612-0.00834171j 0.0132521-0.00376388j -0.00119222-0.0167131j -0.0224365+0.00644314j 0.0229149-0.00890519j 0.00948487-0.0130648j 0.0165308-0.0127606j -0.0419163+0.000517723j 0.000133814-0.00564467j 0.0284057-0.0259373j 0.0118885+0.0102689j -0.0107071-0.022399j -0.0031127-0.000454932j -0.0154256+0.00299453j -0.0246798+0.0336519j -0.0190767-0.0447666j 0.0358079+0.00442515j -0.0476778+0.0188465j 0.011053+0.00744333j -0.0826523-0.000268215j 0.0299333-0.0355599j -0.0822909-0.00706297j 0.0813712-0.183627j 0.18474+0.0354957j 0.151327+0.0397368j 0.057951-0.110421j 0.0270469-0.0288275j 0.0219404-0.0174785j -0.0671247+0.0292915j 0.0640932+0.0340454j -0.00252772-0.00469901j -0.00322099+0.0106458j 0.0207703+0.0314024j 0.0199379-0.015357j 0.00413202+0.0188212j -0.0229012+0.00189672j 0.0214736-0.017072j -0.00986151-0.0114801j 0.018632+0.00602357j 0.0366803-0.00980902j 0.00567636+0.00163098j -0.0027467+0.0181683j 0.0241537-0.0063535j 0.0309914-0.00491262j -0.00768967+0.00567598j -0.00974156-0.0206869j 0.00249358+0.00741119j -0.0252618+0.0032603j -0.00457789-0.00617051j 0.00668552+0.0044432j 0.00628996-0.00331684j 0.000711971-0.00885446j 0.0132825-0.00434981j -0.0151768+0.00574282j 0.0151511+0.00546134j 0.0120836+0.000395507j 0.00449031-0.000252465j 0.0155447-0.00906278j 0.0026625+0.00267605j -0.00919718+0.010712j 0.00773656-0.0232287j -0.0603789-0.0170679j 0.14851+0.0405846j 0.178202-0.0609718j 
0.00217512-0.00600563j -0.00556586-0.00614258j 0.0035243+0.00501545j -0.00646783+0.0267995j -0.0110237+0.00851097j 0.0108612-0.0297476j 0.00262353+0.0191811j 0.017209+0.00523388j 0.014581-0.0112031j 0.0255051-0.0195281j -0.00262026-0.012467j -0.00665713-0.0197539j 0.0107646-0.0150148j 0.0196442+0.020827j 0.0113024+0.0116204j -0.00469912+0.00561378j -0.0317097+0.0627731j 0.0164764-0.00919945j 0.0242276-0.0485988j -0.02582-0.00651179j 0.0265104-0.0522793j -0.0598003+0.025726j 0.00995214-0.0309698j -0.0259137+0.00352897j 0.0930568+0.0162459j 0.0686852+0.00936792j -0.0765305-0.0744091j 0.0287398+0.0520359j -0.0239722-0.0953647j 0.00611039+0.00707326j -0.00366805+0.00214458j 0.00761985+0.048623j -0.023308-0.00288556j 0.0148688+0.0289212j 0.000283057-0.0191074j -0.0225568-0.0105745j -0.00507852-0.021434j 0.00118748-0.029855j -0.00232192-0.0126949j 0.00990159-0.0119039j 0.00202838+0.00149347j 0.00318706+0.0231095j -0.0144382-0.000641939j 0.0143824+0.00842757j -0.0181088+0.0039312j 0.00342583+0.00597868j 0.0053606-0.0106398j -0.0110192-0.00304218j 0.00953119+0.00961585j -0.0165988+0.0091693j -0.0055381-0.00430292j 0.0125454-0.0272746j -0.00491541+0.000288075j 0.0123965-0.0159077j 0.00108979+0.00311361j -0.00765559-0.00756627j -0.0358386-0.0181519j 0.0272825-0.00244495j -0.0143594+0.000172806j -0.00655-0.0230379j 0.00713255+0.0374468j -0.0107696+0.00240911j 0.0317816-0.0396049j -0.0111627-0.0253207j 0.0632014-3.95738e-05j -0.0087402+0.00119771j -0.0278038-0.0117024j 0.0475931-0.00933418j -0.0127059-0.0190138j -0.0432573+0.00913519j 0.00355225-0.00752461j 0.00985707+0.00987981j 
-0.000928146+0.00583475j 0.00330666+0.0020957j 0.000559512-0.00400722j -0.000855193-0.015424j -0.00226495+0.00173808j 0.0119582-0.00171555j 0.00531742-0.0124281j -0.00892191-0.0551308j -0.0067878-0.0273416j -0.00343994-0.0247055j 0.00894283+0.00261023j 0.0113226+0.0495458j -0.000483314-0.00774802j -0.0154977-0.0220376j -0.0185294-0.00212735j 0.0280565+0.0449919j 0.0202521+0.0171291j -0.0254286+0.00742837j -0.0178738-0.0121619j 0.0244428+0.0199151j -0.00338717+0.0317181j 0.00243985+0.050085j -0.00815516+0.0798537j -0.00808829-0.0165613j -0.00973837-0.00186007j 0.0167095+0.0254752j -0.0228927-0.111495j -0.0313296-0.0703951j 0.012966-0.00282106j -0.0190472-0.0432157j -0.0144059+0.00567554j 0.0102223+0.0116644j 0.0107522+0.0115274j -0.00407426-0.0341112j 0.000765777-0.0160278j -0.00731972+0.00159208j 0.00134309+0.00144362j 0.011153+0.0239116j 0.00359169-0.00947644j 0.00525412+0.00345746j 0.00599943+0.0149076j -0.0123448-0.00210693j 0.0146713+0.0132134j -0.00320895-0.00884894j -0.00451137+0.00934741j 0.0159262-0.00974686j -0.0182391+0.0017119j 0.00475622+0.00156886j -0.00840878+0.00111524j 0.00367821+0.00444606j 0.0131064+0.0156051j 0.0190609-0.00064426j -0.0318299+0.00554646j 0.0018723-0.0080178j -0.0144943-0.0124217j 0.0165194-0.0118284j 0.0355737+0.0240978j 0.034594-0.00925056j -0.00407252+0.00053176j 0.019718+0.00684239j -0.0290596-0.00398289j 0.0174777-0.0137368j 0.0424208+0.0114278j -0.0140697-0.00969985j -0.00804349-0.00286962j 0.0352652-0.00061933j -0.0376832+0.000757662j 0.016833-0.00182329j -0.00624891-0.00104736j -0.00138847-0.00273634j 0.00352439+0.0190713j -0.0159023-0.00709448j 
-0.000657267-0.00118774j -0.00064944+0.00126751j -0.000944333-0.0034761j -0.000592025-0.000257861j -0.0130456-0.00206318j 0.0250187-0.00670977j -0.00516207+0.00208265j 0.037898-0.00382401j 0.0150664-0.00654429j 0.0300677+0.00480846j 0.00406285-0.00404292j -0.0326424+0.0146299j 0.0273247-0.0149709j -0.00657023+0.0255149j 0.0181032+0.00737908j -0.0256493-0.0130345j -0.0167628-0.00305555j -0.00241302+0.0168239j -0.0143545+0.0197684j 0.0565781-0.0342898j 0.0314306+0.0157931j -0.037241-0.0157289j -0.0529242+0.00726118j -0.0848801+0.0208466j -0.0852305+0.0518316j 0.0421572+0.00432783j -0.00929583-0.0144548j 0.00169389+0.0139716j 0.0141181-0.012975j 0.00472597+0.0123367j -0.0131008+0.0151481j 0.00746044+0.0107837j -0.00397215-0.00489707j 0.0117076+0.00275455j 0.0040662-0.00511221j -0.00894766+0.00208145j -0.00258643-0.000498216j -0.00801262-0.0028835j -0.00433919-0.00158988j -0.00708988-0.00282138j -0.00700554-0.00494458j -0.00347296+0.00816512j -0.00478974+0.00729548j 0.00198307+0.00340394j 0.0135638+0.00473861j -0.00460401-0.00942955j 0.00399124+0.00588456j 0.00268954+0.00605694j 0.00902572-0.00462332j -0.00267212+0.0144105j 0.00974265+0.022406j 0.00870881-0.00226322j 0.00468269-0.00445016j -0.00515834-0.00456878j 0.00876125+0.0119745j -0.00806175-0.00509909j 0.00790872-0.0194349j 0.0148177-0.0272063j 0.00939728-0.0131849j -0.014089+0.0643979j 0.0259479-0.0468289j -0.00254686-0.0224283j 0.00359419-0.00049885j 0.0494533-0.0230217j -0.0102491+0.0128484j -0.00644635-0.00233764j -0.00833359-0.00938198j 0.0121177-0.0048191j 0.000520356-0.000525007j -0.00753674-0.00417768j -0.0189968-0.00111091j 0.00106748-0.00284238j 
-0.00153909+0.00182671j 0.0019355+0.00446138j -0.0089843+0.00114513j 0.00444195+0.000394625j 0.00630116+0.00934318j -0.00930275+0.00870357j -0.0128283-0.00615141j 0.0120766+0.00852941j 0.00220832+0.0206168j -0.0132159+0.00597103j 0.00150028+0.0047739j -0.016229+0.0115208j -0.0166228-0.0237132j 0.0179262-0.0218839j 0.0239084-0.0147616j -0.00854884+0.0789192j -0.0264423+0.0259335j 0.0253236-0.0379925j 0.00704246-0.0579079j 0.00742507+1.93238e-05j -0.00184522-0.0604493j 0.00736558+0.00835391j -0.00926478-0.072015j 0.0292657+0.0590465j -0.00653129+0.0166277j 0.0565471+0.103389j 0.0326899+0.0336246j -0.032938-0.087112j -0.0195644-0.000711826j 0.0147698-0.0233585j -0.0145915-0.0616006j -0.00213775+0.0265356j -0.0123542+0.00627954j -0.0126236-0.00619849j -0.00506081+0.00491246j 0.0108571-0.0272575j 0.00831584+0.0160278j -0.00682087-0.01345j -4.87337e-06+0.00292607j 0.000451884-0.00638177j 0.00692017-0.00757966j 0.00393005-0.00306467j 0.000960189-0.00519834j -0.00113898+0.00388589j -0.00182671-0.02017j 0.0101166-0.0176915j -0.00475687+0.0162806j -0.00474607-0.0142586j 0.00426523+0.006905j 0.00625189+0.00757271j 0.00341956-0.00886519j -0.0288596-0.0109597j 0.00750183+0.0195046j -0.0113475-0.00392622j -0.0100352+0.0191131j -0.0190766+0.00165179j -0.00773191-0.0344524j 0.0105944-0.000678028j 0.0205266-0.000313568j 0.0122862-0.0186445j 0.0598946-0.00684746j -0.0019221+0.015774j 0.0143041+0.0116787j -0.0345719-0.00969502j 0.0219092+0.0136229j 0.0323388+0.0252098j 0.00741384+0.0058915j -0.0260772+0.00834344j 0.0221293-0.00976273j 0.00205575-0.00696626j -0.0163128+0.000445429j -0.00780303-0.0213406j 
0.00174393+0.00354968j 0.00428752-0.00198561j -0.0121857+0.0190022j 0.000835973+0.0107591j 0.00458333+0.0289671j -0.0134842-0.00853276j -0.00228831+0.000782894j 0.0108279-0.0212862j 0.00345749-0.0145166j -0.00817899+0.00270931j 0.00451563+0.0138461j -0.0192573+0.0330505j 0.00152451+0.0192783j 0.0342428-0.0245341j 0.0353228-0.0213675j -0.0609642-0.0265791j -0.0167298+0.0369229j 0.0695922-0.0193582j 0.0371215-0.00602066j -0.00854993-0.01059j 0.0437295-0.0121621j -1.05435e-05+0.0478557j 0.0544003+0.00167415j 0.0173771-0.00498868j -0.0424721-0.0358186j 0.0175485-0.13236j 0.00761031+0.0300758j -0.0148124+0.0254951j -0.00659161+0.00455275j 0.0233553-0.00335949j 0.00859349+0.00312492j -0.00483337-0.00852691j 0.0056932+0.0274088j -0.00732458+0.0173658j 0.0104527+0.0246751j 0.0266677+0.00121097j -0.014003-0.00487594j 0.0149973+0.0045028j 0.0174189+0.00476196j 0.0126345-0.0145919j -0.0102221-0.0104166j -0.00632149-0.00784209j 0.00114496-0.00401902j -0.00743306-0.0031594j 0.0109483-0.0113273j 0.00571199-0.0162025j -0.00740025+0.00567204j -0.000643854+0.00642988j -0.0113123+0.0106321j -0.00144255+0.0173293j -0.019585-0.00193035j 0.0230325+0.0179676j -0.0140398-0.0128775j 0.00766667-0.00144548j -0.0119775+0.0107769j -0.020292-0.00183645j 0.00170497-0.00979448j 0.0184403+0.0168746j -0.0199702+0.000956432j 0.00251165+0.0111741j -0.00214128-0.0279945j -0.0525617+0.0186846j 0.0355958-0.00123578j -0.000195869-0.000963145j -0.0390314-0.00836811j -0.03486+0.012055j -0.0172334-0.000216852j -0.0116965+0.00596987j 0.0356126+7.85522e-05j 0.00388037-0.00446041j -0.00769411+0.00204208j 0.00962712+0.00442793j 
0.00251266+0.00687488j 0.00461797-0.00352853j 0.00174298+0.00564353j 0.00996873-0.0130122j 0.00760138-0.00337342j 0.00811042+0.0106093j 0.000981325-0.00287675j 0.00496735-0.00851146j 0.010116+0.0187381j 0.0163256+0.0216799j 0.00161386+0.000830557j -0.00276863+0.0180179j 0.0158661+0.0162046j 0.0110385+0.0148022j 0.0106777-0.014239j -0.0344857+0.0221115j 0.00369985-0.0252305j 0.0256057-0.00956607j 0.0386281+0.0230402j -0.0347652-0.0444074j 0.0413991+0.0222926j -0.0240208-0.0496286j 0.0420712+0.0634076j 0.0198911-0.0742742j 0.0279319+0.0887379j 0.0478351+0.0317141j -0.027224-0.102564j 0.00333998+0.0271857j 0.0132393+0.0262433j 0.00176478-0.0288187j -2.49452e-05+0.022116j 0.00341347+0.00261759j 0.0211323+0.0129324j 0.00243771+0.00488101j 0.000920193+0.00306944j 0.00803813-0.0191406j 0.00263925-0.000644157j 0.00216961+0.00915485j -0.00753415-0.00344964j -0.00686256-0.00608279j 0.00598662+0.00450854j 0.00876404-0.00241249j 0.00652458+0.00328089j -0.0116877-0.013873j 0.0277607-0.00112077j 0.00386785-0.018774j 0.0017953+0.00554768j 0.00500989+0.00240734j 0.018633+0.0150514j -0.00384121+0.0127331j 0.0245384+0.00911083j -0.0114602+0.0127583j -0.00570346-0.0139665j -0.0228706+0.00763044j 0.00243298+0.0127182j 0.0117497-0.0170414j 0.00444353+0.0194906j 0.0329677+0.0107898j 0.00989658+0.0235624j -0.0261158-0.0171046j 0.0193182-0.000989322j -0.0191726+0.0243397j -0.0525223-0.0126874j -0.0107877-0.0127012j 0.00836675-0.004654j 0.00978644+0.00604318j -0.0490288-0.00904973j -0.00928486+0.00722044j 0.0270385+0.00209479j -0.00464142-0.0111464j -0.00189364+0.00731765j 0.00830888+0.0055195j 
0.00573856+0.00667485j 0.00439302-0.00538118j -0.0092489+0.0139377j -0.01447+0.00580622j -0.0012641+0.00584797j 0.00732338+0.0229351j -0.0209149+0.00584551j 0.00298996+0.0160553j 0.00528029+0.0206108j -0.0225997+0.0559254j 0.0115148+0.00264018j -0.0177474-0.0106443j -0.0258929+0.0490566j 0.00371273-0.00667083j 0.0231103+0.00298897j 0.0442421-0.0323211j -0.0682075+0.030409j -0.0102246+0.00745833j -0.00908753-0.0143411j 0.0324429+0.0240197j -0.0150275+0.0339504j 0.012993-0.0381485j 0.0332352-0.00436681j -0.0692904-0.0315408j 0.0283778-0.0368307j -0.00679992+0.0482356j -0.0114708-0.0401112j -0.0234443+0.0130465j 0.0181137+0.0436314j -0.00163415-0.00778803j 0.027141-0.0018528j -0.00236108-0.0144255j -0.00982408+0.01276j -0.0148761+0.0170265j -0.0135731+0.0105528j -0.00112344-0.0170291j 0.00482659-0.00386618j -0.00902791-0.0118971j -0.00672726-0.0125474j -0.0029568-0.0231457j -0.00203797-0.010923j 0.00839971+0.0163627j 0.0108326+0.00355632j -0.000652119-0.00481778j 0.00784841-0.00773752j -0.00463862+0.0201098j -0.00951577+0.0154714j 0.00523835-0.00559734j 0.0032982+0.00930464j 0.0150967-0.0172029j -0.00365609+0.0113641j 0.00355546-0.0217898j -0.0330864+0.00144809j -0.0214889+0.00331784j 0.00880506-0.00346024j -0.00130246+0.0142265j -0.0208387-0.0388114j -0.031672-0.0065652j -0.0279658+0.0356437j 0.0392173-0.0157308j -0.00342175-0.0110446j 0.0211821-0.0063995j 0.00359283-0.0129668j -0.0314316+0.0139858j 0.0201061-0.00211852j -0.0293072+0.0126221j 0.000686752-0.0122303j -0.00874807+0.0149692j 0.0311738-0.00692263j -0.0116534-0.00255035j 0.00798342+0.00192389j -0.0134277+0.00883245j 
-0.00452206-0.00344283j -0.00190483+0.00497112j 0.0057723-0.0120572j 0.010893-0.00948549j 0.000309233-0.0148543j 0.00402717+0.0102365j 0.00193455-0.0140933j 0.0154136+0.0236667j 0.00994996-0.00807751j 0.0198349-0.00898731j -0.00234315+0.012147j -0.00942758-0.0319498j 0.0320792-0.00999428j -0.000863664-0.0115348j -0.000439161+0.0243896j -0.0421414+0.0231232j 0.0124652-0.0408001j 0.00198655-0.0353059j 0.0140328-0.0290439j -0.00612777+0.0540333j 0.0205267-0.00479679j -0.00301385+0.00552641j -0.0202799-0.0136317j 0.0194132-0.076407j -0.0328801-0.0414369j 0.045926+0.0279189j -0.00222375-0.0077425j 0.00685234-0.0158022j 0.000942902+0.00935927j 0.0076046+0.00183504j -0.0166535-0.000986569j 0.00230113+0.00793117j 0.00378159-0.0171336j 0.00406768-0.0150243j -6.85731e-05-0.0113282j -0.000828072-0.00709523j 0.00716961+0.0126881j -0.00638519-0.00834743j -0.00574072+0.00421472j -0.00310092+0.00945049j -0.0108731+0.00117139j 0.0128645-0.00408075j 0.0112978-0.00210368j 0.00975937-0.00265867j -0.00094069+0.00628193j -0.00456695-0.025377j 0.0131628-0.0091933j 0.0018817-0.00461028j 3.33819e-05+0.00179j 0.00586518+0.0107958j 0.0313757-0.00999079j -0.0105432-0.000332862j 0.0099381+0.00210239j -0.00416112-0.00582634j -0.0112652-0.00183292j 0.00776526-0.00931681j -0.0309089+0.0110109j 0.00242206-0.00412618j 0.0121579-0.0136232j 0.0400198+0.0189633j -0.0456393-0.0150427j -0.0448277+0.00828956j 4.3151e-05+0.00841544j 0.000289364-0.0189284j 0.00628373+0.00766763j 0.0205326+0.000599798j -0.0236084+0.00122139j 0.0060279-0.00354482j -0.00539829+0.00414334j 0.000859445-0.00507514j -0.0156819-0.00868708j 0.0103069-0.0122706j 
-0.000700065+0.000834448j 0.00136435+0.000822595j -0.00195116-0.0012505j -0.00351914-0.0034182j -0.0118952-0.00114428j 0.0207943-0.00512027j -0.00447796+0.0014363j 0.0230923-0.00565307j 0.000432187-0.00718663j 0.00336653+0.00959848j 0.0334987-0.0206292j -0.00329572+0.00748668j 0.0180611-0.0257171j 0.0218474-0.00136576j 0.029334-0.0330728j 0.0285332-0.0415861j 0.0703193-0.0610169j 0.0122645+0.000298849j -0.0673855+0.0398905j 0.0351574-0.00628924j -0.0234097+0.014228j -0.00196579-0.00023682j 0.0481363-0.0395289j -0.0236175+0.019231j 0.0146911-0.0132035j 0.00262835+0.00544625j 0.0321374-0.0254253j 0.00258302-0.0158395j 0.0263204-0.0197684j -0.0126415+0.00653716j -0.00697726+0.0169744j 0.00776931+0.00605531j 0.0026563-0.00211359j 0.00477116+0.00324203j 0.00413277-0.00239049j 0.0001251+0.00264049j -0.00205697+0.00231913j -0.0104744+0.00322929j -0.0064098+0.00636951j -0.00727755-0.00158222j -0.00793377+0.00702183j 1.11491e-05-0.000744759j -0.000676998+0.00406303j 0.00397573-0.00164105j 0.0138656-0.0165912j 0.00431558+0.00208001j 0.015752-0.0138346j -0.00114167+0.026264j -0.00731335+0.0126241j -0.0140051+0.0195053j -0.00199157+0.0370352j 0.00657376+0.0127787j 0.0193913-0.0543075j 0.00952101+0.0138641j -0.00923317-0.00196643j -0.0129942+0.0234611j 0.0242869-0.0072467j 0.000120885-0.0173587j 0.0307551-0.00467847j 0.06481-0.0526628j 0.000121497+0.00618401j 0.0251443-0.0136088j -0.00128038-0.000432207j -0.00621513+0.00672982j -0.00396864+0.00798937j 0.0249666-0.0109421j 0.00643543-0.00724616j -0.00647685+0.00289484j 0.00554069-0.00693191j -0.00478577-0.00228397j -0.0181844+0.00816891j -0.0194265-0.00452889j 
-0.00799323-0.00369363j 0.000210999+0.00975491j -0.0103254-0.00461866j -0.00451533-0.000631989j -0.00285974+0.00260442j -0.0225548+0.00458295j -0.00320202-0.0200615j 0.00115796+0.0464917j -0.0140701+0.0192524j -0.0317955-0.00806645j -0.00542854+0.0203827j -0.00385589-0.0114191j -0.015494-0.00376011j 0.0128771+0.053752j 0.0213421+0.0395877j 0.000900232-0.043636j 0.0385819-0.00960595j 0.050778+0.0434892j -0.0159114+0.0228795j 0.0252446-0.00613244j 0.0316539+0.0068172j -0.0292955+0.0414162j 0.010179+0.0629042j 0.0183698+0.0642634j -0.0176082-0.0509723j 0.0144392+0.0563176j 0.0483524+0.0397109j -0.022683-0.053319j 0.00550607+0.0383824j 0.0187176+0.0333004j 0.00319351-0.00837555j -0.0104332-0.0174593j -0.00878071-0.0195524j -0.0153061-0.0126913j 0.00108344+0.010871j 0.0115911+0.00923169j 0.00755492+0.0116416j -0.00254467-0.00279176j 0.00360219+0.0136803j -0.00398262+0.00565531j -0.0200344-0.0204229j -0.00182269-0.0299596j -0.00994032-0.0187226j -0.00733311+0.0269252j 0.0019761+0.00614982j -0.036219-0.00331294j -0.00762463-0.0145372j 0.00540415+0.00624809j 0.00600113-0.00659206j 0.0374555+0.00614913j -0.0068281+0.000361997j -0.00200153+0.00868845j -0.0197009-0.00545478j 0.0157385+0.0035766j 0.0275425+0.0134461j 0.0182491+0.00398391j 0.00226581+0.00713448j 0.0151262-0.0224635j 0.0206414-0.0205996j 4.99035e-05-0.0251239j -0.00350182-0.0208606j 0.0149248+0.0100641j 0.0253577+0.00342602j -0.0165781+0.00268873j 0.00431378+0.000337903j 0.0148008+0.0100377j 0.00362445+0.00494282j -0.0159081-0.00309153j 0.0132768+0.0126848j 0.0145448-0.00316259j -0.0107792-0.0140166j 0.000264777-0.0104783j 
0.00415682-0.000423184j -0.00101194-0.00542592j -0.00108985+0.00641728j 0.00332383+0.0126803j 0.00643423+0.0103022j -0.0134481-0.0125816j 0.0124314+0.0137641j -0.0166344-0.0049473j -0.00626252+0.0306851j 0.00610139+0.0304222j -0.0287949-0.030242j 0.00901696-0.00244532j -0.0303245+0.0239928j -0.00588795-0.0122354j -0.0284965-0.0271967j -0.015167-0.0605641j -0.0122811-0.0300005j 0.0185944+0.00015649j 0.0268442+0.0681367j -0.0164286-0.0280981j 0.0417184+0.0271983j -0.0413032+0.0158027j -0.0452732-0.0306842j 0.0153551+0.0472925j -0.0154465-0.0247258j 0.0102726+0.0538838j -0.0227515-0.0549194j -0.0110552-0.0227225j -0.0231393-0.0218771j 0.00380612+0.00148081j 0.00549715-0.000351667j 0.000605763+0.0122899j -0.00112508+0.00461569j 0.0117713+0.0237611j 0.00458186+0.0110014j -0.000946618-0.002117j -0.00602385-0.0200544j -0.00341144-0.000382882j -0.00235829+0.00119222j 0.00729801-0.0128151j 0.00183526-0.00383536j 0.0100859-0.00054964j -0.0131215-0.0139905j -0.0109856+0.00296646j 0.0228803+0.000178324j -0.0208599+0.011374j 0.0293936+0.0109311j -0.0168926+0.00920617j -0.000474836+0.00491284j 0.00466727-0.00768296j -0.0384604-0.0104604j -0.00402873+0.00534619j 0.0252143+0.00959525j -0.0137566+0.00646904j 0.00326456+0.01211j -0.0058571-0.0285502j 0.0248136+0.0178316j 0.0114274-0.0120464j -0.0119806-0.0112605j 0.0513659+0.0327369j -0.00519934-0.0109508j 0.0141611+0.0124808j 0.0240448-0.00455464j -0.0268665-0.0198653j 0.013376-0.000427377j 0.00780488+0.0119557j -0.007945+0.00182694j -0.00899386-0.00332135j 0.00611748+0.00180022j 0.00211249+0.00224344j 0.0168624-0.00223217j 0.0135806+0.0193454j 
0.00616213-0.00710204j -0.00565762-0.0063089j 0.0109467-0.00555861j 0.0227076+0.0119271j 0.0100376-0.00978941j 0.00798356+0.0217735j 0.00942794+0.0127764j 0.00182791+0.000538474j 0.0126742+0.00573818j 0.0330468+0.0144162j -0.000491034-0.0228977j 0.00284836+0.0123409j 0.0401311+0.0356722j -0.0166574-0.00165625j -0.0173245-0.0166226j -0.0154117-0.0342803j 0.0660759+0.118862j -0.00562313-0.00468734j -0.029903-0.0402433j 0.00687225-0.0197296j -0.00740389-0.0178164j -0.0259945-0.0476729j -0.0265516-0.0816654j 0.0281134+0.0124253j 0.00542899-0.0142135j 0.0327396+0.0592383j 0.0114659+0.0185873j 0.0325038+0.031228j -0.0115371-0.0264131j -0.00801078-0.0124229j -0.0189621-0.0199279j -0.000323287+0.0112593j -0.000196214-0.00796994j 0.0310771+0.0193734j -0.00300509-0.00393913j -0.0190231-0.0204126j -0.00097276+0.00201976j -0.0283603-0.0221758j -0.00536947+0.00509185j 0.00200455-0.0050008j 0.00508266-0.00499198j 0.0012389+0.00656282j -0.0013462+0.0025942j -0.0074844-0.00298304j -0.0107144-0.00840154j 0.00446875+0.016547j -0.0284837-0.0081902j -0.0137587-0.0103314j 0.00634186+0.00603463j 0.0193174+0.0154892j 0.000973321-0.0350776j 0.0269831+0.00781971j -0.0150321-0.0281973j -0.00843399-0.0112475j 0.0137663-0.00681677j -0.0328667-0.0122644j 0.0190556-0.00772574j -0.0151817-0.0176902j -0.022288-0.0326443j 0.022843-0.00421723j -0.00426343+0.0126338j -0.000540114+0.00233939j -0.0200941-0.00292648j 0.00159129-0.0102417j 0.0289474+0.0156951j 0.0133148+0.0024775j 0.00701007+0.0040755j 0.00370512-0.00155101j -0.0132537-0.00920227j -0.00687833-0.00332107j -0.0149143-0.0130492j 0.0091171-0.00481967j 
0.00619942+0.00326869j 0.00328182-0.00535083j -0.00716699+0.00770763j 0.0075416+0.00266821j 0.0146671+0.0157167j -0.01424-0.00710217j 0.00930726-0.00259298j -0.0336207-0.0161297j -0.0221574+0.0231827j -0.0269006+0.0302302j 0.00667396+0.00836584j 0.0227092+0.00574482j -0.0332159+0.0195192j -0.00692183+0.0130676j 0.00779567-0.0113219j 0.0429593-0.00168402j 0.0565912+0.0156638j 0.0156144-0.0498623j -0.0510132-0.025281j 0.0281169-0.00354367j 0.0232844-0.0839548j -0.0657329+0.05371j -0.0406866+0.00810067j -0.0435261+0.00255928j 0.0189856+0.0258482j -0.00791335-0.025255j -0.000941923-0.00796378j 0.00899623+0.0343094j -0.0174094-0.0127423j -0.0134894-0.0222836j 0.00443259-0.0170318j -0.00762972-0.00383657j 0.00369834+0.0128749j 0.007383+0.00713689j -0.00607654+0.00743943j 0.00146146-0.0075296j 0.00741827-0.0137477j -0.00356401+1.09994e-05j -0.00785018-0.00225031j 0.0202339-0.0245094j 0.0098857+0.00167362j 0.0213191-0.0204226j 0.0216421-0.00205103j -0.0110489+0.0237345j -0.00874203-0.0276695j 0.02579+0.031731j -0.00189382-0.0162615j -0.0100895+0.00406869j 0.0026216-0.00350833j -0.0090354+0.00782064j -0.00680731+0.00389827j -0.0191716-0.00413297j -0.0175048-0.0163917j 0.000960669+0.0094892j -0.0095342-0.00244167j 0.0472771-0.0336107j -0.00719076-0.00693417j -0.00596935-0.0158976j 0.0170151-0.0243195j -0.00982943-0.00823095j 0.0368622+0.00392112j -0.0225298-0.0183059j 0.027044-0.025385j 0.0335498+0.00308814j 0.0264896-0.00644969j -0.0200999-0.00184129j 0.000580993+0.00419266j 0.000259402+0.0065407j 0.00298225-0.0106692j -0.00340502+0.00309095j 0.0126138+0.00556654j -0.00930164+0.00359635j 
-0.00138387+0.00115663j 0.000926033+0.00172177j 0.000721841-0.00226899j 0.0100297-0.00337608j 0.0114884+0.00299836j -0.0147586-0.00933886j 0.0147966-0.0035507j -0.0216727+0.00266134j -0.0217809+0.027863j -0.0120956-0.00946425j 0.00713803-0.00974601j -0.0153633+0.0151411j 0.00837776-0.0312142j -0.0205084+0.0304301j -0.00696267-0.0197649j -0.0219725+0.0418874j -0.0293107+0.00596366j -0.000614042-0.0132255j 0.010042-0.0162129j 0.0468274-0.0460279j 0.0149736-0.0131079j 0.00400899+0.0119625j 0.0060597+8.8324e-05j 0.0159642-0.0551883j 0.0314861-0.0471001j 0.0108572-0.0412384j -0.0055153-0.0243529j -0.00161893+0.0064691j -0.0149204+0.00120313j 0.00728555-0.0108226j -0.00490861-0.00471769j -0.00132631-0.000200748j 0.00701665+0.0022632j -0.00365832-0.0104127j 0.000534981-0.00171116j 0.0138692-0.00339272j 0.008167-0.0057232j 0.0057692+0.00701693j -0.00855704-0.000317873j -0.0111018+0.0160382j 0.0248267-0.0106931j 0.00312104-0.00930829j -0.0104291+0.0148385j -0.0092587+0.0265148j -0.00171014-0.00628873j 0.00774949-0.000642781j 0.00479743+0.00760431j -0.00529251-0.00961573j -0.0121402-0.00686195j -0.0149671+0.0197979j 0.0101633+0.00399354j -0.0258106+0.0140465j 0.0267562-0.0169635j -0.000613566-0.0122155j 0.0531024-0.0683001j -0.0140164+0.00618324j 0.00154896-0.0108353j 0.04064-0.0192344j -0.0101685+0.014551j 0.0520254-0.0225285j -0.0228568+0.0138811j -0.0178229-0.00133772j 0.0196354-0.0120135j -0.00906656-0.000332245j 0.00680919-0.00730978j 0.0029621+0.000485061j -0.0246476+0.00583138j 0.0041775-0.00101262j 2.97834e-05+0.00355889j 0.00399924+0.000169365j 0.00839132-0.000208765j 0.0110383-0.000440181j 
