-0.00837262-0j 0.142405-0j -0.00012334-0j -0.00728015-0j -0.00121336-0j 0.143722-0j 0.0145928-0j -8.93723e-06-0j -0.00457553-0j -0.00462295-0j -0.000738374-0j -0.000746025-0j 0.0580054-0j -8.70182e-05-0j 0.0586066-0j 0.0145767-0j -8.79199e-05-0j 0.000854501-0j 0.0147278-0j -4.05372e-07-0j 0.000863356-0j -4.09573e-07-0j -0.00338904-0j -0.00419372-0j -0.00244634-0j -0.000535854-0j -0.000663086-0j 0.0407591-0j -0.0003868-0j -0.00028242-0j -6.11457e-05-0j 0.0504369-0j 0.00679319-0j -0.000349477-0j -7.5664e-05-0j 0.0294215-0j 0.00725519-0j -0.000203862-0j -5.88375e-06-0j -4.41373e-05-0j 0.00120712-0j 0.00840614-0j 0.00897784-0j 5.00366e-05-0j 0.00490358-0j -7.28077e-06-0j 0.00149373-0j 0.00523707-0j -1.93813e-08-0j -4.24712e-06-0j 0.000871344-0j 6.19171e-05-0j 3.61183e-05-0j -2.39831e-08-0j -1.39902e-08-0j 
0.000430718-0j -0.0147278-0j 6.34507e-06-0j -0.000363856-0j -6.06427e-05-0j -0.687507-0j 0.00146625-0j -4.46675e-07-0j 0.000235382-0j -0.000237725-0j 3.79846e-05-0j -3.83627e-05-0j -0.00599904-0j 4.47653e-06-0j 0.00605875-0j 0.071772-0j -4.52109e-06-0j -8.83742e-05-0j -0.0724864-0j 2.08538e-08-0j 8.92538e-05-0j -2.10614e-08-0j 0.000174345-0j -0.000209599-0j 0.000115254-0j 2.75663e-05-0j -3.31405e-05-0j -0.00421539-0j 1.82232e-05-0j 1.45287e-05-0j 3.14556e-06-0j 0.00506778-0j -0.000702565-0j -1.74666e-05-0j -3.78162e-06-0j -0.00278666-0j 0.072069-0j 9.60448e-06-0j 3.02682e-07-0j 2.07943e-06-0j 0.00594354-0j 0.000844631-0j -0.086642-0j -5.17488e-06-0j -0.000464444-0j -3.63887e-07-0j -0.00714538-0j 0.0476425-0j 9.97045e-10-0j 2.00093e-07-0j 0.00392909-0j 6.22129e-06-0j -3.42095e-06-0j -1.19866e-09-0j 6.59115e-10-0j 
-8.79199e-05-0j -0.142966-0j -0.017757-0j 7.42718e-05-0j -0.00118346-0j -0.00146625-0j -0.666074-0j 0.0025176-0j -4.80472e-05-0j 4.85254e-05-0j 0.000741282-0j -0.00074866-0j 0.000609109-0j -0.00408825-0j -0.000615172-0j -0.0146341-0j 0.00412895-0j 0.12302-0j 0.0147798-0j -0.00019658-0j -0.124245-0j 0.000198537-0j -3.55879e-05-0j 4.27842e-05-0j -2.35261e-05-0j 0.000537965-0j -0.000646747-0j 0.000428007-0j 0.000355632-0j -2.96566e-06-0j -0.00287273-0j -0.000514555-0j -0.00681994-0j 3.56535e-06-0j 0.00345362-0j 0.000282942-0j 7.6186e-05-0j -1.96051e-06-0j -0.000847067-0j -0.00189907-0j 0.0567124-0j 0.00819901-0j -9.15915e-05-0j 0.0145082-0j -0.00450845-0j 0.00101835-0j -0.0681802-0j 5.03641e-05-0j -1.41275e-05-0j -0.000559969-0j 0.0374908-0j -0.017442-0j 0.00959094-0j 1.69842e-05-0j -9.33924e-06-0j 
-5.12759e-06-0j 0.000174227-0j 0.198004-0j -4.45854e-06-0j 0.00014283-0j -4.55048e-07-0j -0.0025648-0j -0.656767-0j 2.75722e-06-0j -2.83121e-06-0j -8.55228e-05-0j 8.78178e-05-0j 3.63295e-07-0j 0.00144791-0j -3.73044e-07-0j -8.72863e-06-0j -0.00148676-0j -0.0140288-0j 8.96286e-06-0j 0.153029-0j 0.0144052-0j -0.157135-0j -2.07553e-06-0j 2.52714e-06-0j -1.4982e-06-0j 6.30777e-05-0j -7.68025e-05-0j -2.59441e-07-0j 4.55319e-05-0j -1.72961e-07-0j -0.001034-0j 3.15892e-07-0j 8.31121e-06-0j 2.10595e-07-0j 0.00125898-0j -1.87275e-07-0j -1.52877e-08-0j -1.2485e-07-0j 0.00944546-0j -0.000746379-0j -0.000105532-0j -1.01196e-05-0j 1.86141e-08-0j -0.0382171-0j 5.99935e-06-0j -0.0115007-0j 0.000128494-0j -1.10353e-08-0j -0.0226233-0j 0.0068181-0j -7.6177e-05-0j 0.0465326-0j -0.0275865-0j 0.0275459-0j -0.0163304-0j 
5.18073e-06-0j -0.000176032-0j -0.200056-0j -4.37651e-06-0j 0.000140202-0j -4.46675e-07-0j -0.0025176-0j -0.644682-0j 2.83121e-06-0j -2.85939e-06-0j -8.78178e-05-0j 8.86919e-05-0j 3.73044e-07-0j 0.00148676-0j -3.76757e-07-0j -8.96286e-06-0j -0.00150156-0j -0.0144052-0j 9.05208e-06-0j 0.157135-0j 0.0145486-0j -0.158699-0j 2.09704e-06-0j -2.52108e-06-0j 1.38629e-06-0j -6.37313e-05-0j 7.66184e-05-0j 2.6213e-07-0j -4.21308e-05-0j 1.74753e-07-0j 0.00104471-0j -3.15135e-07-0j -8.39734e-06-0j -2.1009e-07-0j -0.00125596-0j 1.73286e-07-0j 1.54462e-08-0j 1.15524e-07-0j -0.00954335-0j 0.000690627-0j 0.000106626-0j 1.00954e-05-0j -1.85695e-08-0j 0.0386131-0j -5.55122e-06-0j 0.0114731-0j -0.000128186-0j 1.0211e-08-0j 0.0228578-0j -0.00630881-0j 7.04868e-05-0j -0.0464211-0j 0.0255259-0j -0.0274799-0j 0.0151106-0j 
0.00303125-0j 0.000535854-0j 4.46545e-05-0j 0.00263573-0j 0.000439289-0j 0.000269008-0j 5.49111e-05-0j 3.23567e-06-0j -0.408602-0j -0.412836-0j 0.000267323-0j 0.000270094-0j 0.000218269-0j 3.15043e-05-0j 0.00022053-0j 2.72836e-05-0j 3.18308e-05-0j 3.2154e-06-0j 2.75663e-05-0j 1.46762e-07-0j 3.24872e-06-0j 1.48283e-07-0j -0.00244745-0j 0.00151831-0j 0.000885681-0j 0.0954513-0j -0.0592145-0j -0.000305931-0j -0.0345418-0j -0.000203954-0j -4.41574e-05-0j 0.000189789-0j -5.09886e-05-0j 0.000126526-0j 2.73936e-05-0j 0.00011071-0j -1.80272e-05-0j 7.38067e-05-0j -4.24905e-06-0j 1.59796e-05-0j -4.50679e-06-0j 3.16315e-05-0j 1.11834e-05-0j -3.75566e-07-0j 1.84517e-05-0j 2.63595e-06-0j 2.79585e-06-0j 6.52365e-06-0j -1.39965e-08-0j 1.53764e-06-0j 1.63091e-06-0j 2.32988e-07-0j 1.35909e-07-0j 8.68294e-09-0j 5.06505e-09-0j 
-0.00375098-0j -0.000663086-0j -5.52572e-05-0j -4.64244e-05-0j -7.73739e-06-0j -4.73817e-06-0j -9.67174e-07-0j -5.69913e-08-0j -0.497508-0j -0.496316-0j 0.000325489-0j 0.000324709-0j 0.000265761-0j 3.83593e-05-0j 0.000265124-0j 3.32201e-05-0j 3.82673e-05-0j 3.91503e-06-0j 3.31405e-05-0j 1.78696e-07-0j 3.90564e-06-0j 1.78267e-07-0j -0.00151831-0j 2.63137e-05-0j 0.00214515-0j 0.0592145-0j -0.00102624-0j -0.000189789-0j -0.0836614-0j -0.000126526-0j -2.73936e-05-0j 3.28921e-06-0j -3.16315e-05-0j 2.19281e-06-0j 4.74757e-07-0j 0.000268144-0j -1.11834e-05-0j 0.000178762-0j -2.63595e-06-0j 3.87032e-05-0j -2.79585e-06-0j 5.48202e-07-0j 1.93819e-07-0j -2.32988e-07-0j 4.46906e-05-0j 4.56835e-08-0j 4.84547e-08-0j 1.58005e-05-0j -8.68294e-09-0j 3.72422e-06-0j 3.95013e-06-0j 4.03789e-09-0j 3.29177e-07-0j 1.50483e-10-0j 1.22677e-08-0j 
0.00218807-0j 0.0003868-0j 3.22333e-05-0j -0.0037239-0j -0.00062065-0j -0.000380069-0j -7.75812e-05-0j -4.57152e-06-0j -0.294944-0j -0.272913-0j 0.000192964-0j 0.00017855-0j 0.000157555-0j 2.2741e-05-0j 0.000145786-0j 1.96943e-05-0j 2.10424e-05-0j 2.321e-06-0j 1.82232e-05-0j 1.05939e-07-0j 2.14763e-06-0j 9.80253e-08-0j 0.000885681-0j -0.00214515-0j 0.00247538-0j -0.0345418-0j 0.0836614-0j 0.00011071-0j -0.0965407-0j 7.38067e-05-0j 1.59796e-05-0j -0.000268144-0j 1.84517e-05-0j -0.000178762-0j -3.87032e-05-0j 0.000309423-0j 6.52365e-06-0j 0.000206282-0j 1.53764e-06-0j 4.46614e-05-0j 1.63091e-06-0j -4.46906e-05-0j -1.58005e-05-0j 1.35909e-07-0j 5.15705e-05-0j -3.72422e-06-0j -3.95013e-06-0j 1.82329e-05-0j 5.06505e-09-0j 4.29754e-06-0j 4.55823e-06-0j -3.29177e-07-0j 3.79853e-07-0j -1.22677e-08-0j 1.41563e-08-0j 
-0.000489166-0j 0.0040904-0j 0.00103701-0j 0.0833183-0j 0.00335327-0j -4.3411e-05-0j 0.000847179-0j 0.000100363-0j -0.000267323-0j -0.000270094-0j -0.399724-0j -0.403866-0j -3.52229e-05-0j 0.000486055-0j -3.55879e-05-0j 0.000208267-0j 0.000491092-0j 7.46712e-05-0j 0.000210425-0j 5.69622e-06-0j 7.5445e-05-0j 5.75525e-06-0j 0.000394956-0j -0.000245016-0j -0.000142926-0j -0.00295395-0j 0.00183252-0j -0.00967082-0j 0.00106897-0j 3.2913e-05-0j 0.133452-0j 0.00599942-0j -0.000389217-0j -2.0418e-05-0j -0.0827885-0j 0.00349966-0j 2.90912e-06-0j -1.19105e-05-0j -9.86756e-05-0j -0.0482933-0j -6.95317e-05-0j 0.000241456-0j -1.80471e-06-0j -1.16492e-05-0j 0.000140849-0j 6.12148e-05-0j 4.3135e-05-0j -1.05275e-06-0j -6.52341e-07-0j 3.57086e-05-0j 2.51621e-05-0j 7.22676e-06-0j 4.21561e-06-0j 4.04689e-07-0j 2.36068e-07-0j 
0.0582089-0j 0.00679319-0j -5.88375e-06-0j -0.000347288-0j 0.00843563-0j 0.00685604-0j 0.000696124-0j -4.26336e-07-0j -0.000218269-0j -0.00022053-0j -3.52229e-05-0j -3.55879e-05-0j -0.403271-0j 0.000604976-0j -0.40745-0j 0.000695359-0j 0.000611245-0j 4.07626e-05-0j 0.000702565-0j -1.93376e-08-0j 4.1185e-05-0j -1.9538e-08-0j 0.00032248-0j -0.000200055-0j -0.000116699-0j 5.09886e-05-0j -3.16315e-05-0j -0.00387838-0j -1.84517e-05-0j -0.00785992-0j 5.81825e-06-0j 0.00240601-0j 0.094206-0j 0.00487601-0j -3.60943e-06-0j 0.00140351-0j -0.000690359-0j 0.00284434-0j -8.15942e-05-0j -2.1055e-06-0j -0.000114862-0j -0.058442-0j 0.000428273-0j -4.76117e-06-0j -0.0340912-0j 5.06181e-05-0j 7.12561e-05-0j 0.000249826-0j 1.8442e-09-0j 2.95272e-05-0j 4.15661e-05-0j 2.95366e-06-0j 1.72297e-06-0j -1.14408e-09-0j -6.67379e-10-0j 
0.000605312-0j -0.00506161-0j -0.00128324-0j -0.00146752-0j -5.90627e-05-0j 7.64618e-07-0j -1.49218e-05-0j -1.76774e-06-0j -0.000325489-0j -0.000324709-0j -0.486699-0j -0.485532-0j -4.2887e-05-0j 0.000591815-0j -4.27842e-05-0j 0.000253583-0j 0.000590396-0j 9.09187e-05-0j 0.000252975-0j 6.93564e-06-0j 9.07007e-05-0j 6.91902e-06-0j 0.000245016-0j -4.24636e-06-0j -0.000346172-0j -0.00183252-0j 3.17593e-05-0j -0.00599942-0j 0.00258908-0j 2.0418e-05-0j 0.0827885-0j 0.000103976-0j -0.000241456-0j -3.53863e-07-0j -0.0014348-0j 0.0084763-0j 1.80471e-06-0j -2.88476e-05-0j -6.12148e-05-0j -0.116968-0j -4.3135e-05-0j 4.18466e-06-0j -3.12774e-08-0j -7.22676e-06-0j 0.000341142-0j 1.06091e-06-0j 7.47569e-07-0j -2.5498e-06-0j -4.04689e-07-0j 8.64874e-05-0j 6.09434e-05-0j 1.25246e-07-0j 1.02103e-05-0j 7.01363e-09-0j 5.71766e-07-0j 
-0.00840173-0j -0.000974307-0j 0.0116432-0j 5.01267e-05-0j 0.116407-0j 5.11604e-06-0j 0.00467229-0j 0.00169915-0j 3.15043e-05-0j 3.18308e-05-0j -0.000486055-0j -0.000491092-0j -0.000604976-0j -0.390679-0j -0.000611245-0j -4.96078e-05-0j -0.394727-0j 0.000838379-0j -5.01219e-05-0j 0.000128897-0j 0.000847067-0j 0.000130233-0j -4.6546e-05-0j 2.88754e-05-0j 1.6844e-05-0j 0.000703612-0j -0.000436495-0j -5.81825e-06-0j -0.000254622-0j 0.00113448-0j -0.00375728-0j 3.60943e-06-0j -0.0135114-0j -0.000703791-0j 0.00233088-0j 2.1055e-06-0j -3.42843e-07-0j -0.000410545-0j 0.161464-0j 0.00135968-0j -0.000383476-0j 0.00838199-0j 2.12688e-07-0j -0.000197222-0j 0.0048895-0j -0.100166-0j 0.000237894-0j 1.24068e-07-0j -1.84776e-05-0j -0.0584304-0j 0.000138772-0j 0.000122349-0j 7.13705e-05-0j 1.14628e-05-0j 6.68664e-06-0j 
-0.000353099-0j 0.00295261-0j 0.000748555-0j -0.117716-0j -0.00473768-0j 6.13334e-05-0j -0.00119694-0j -0.000141798-0j -0.000192964-0j -0.00017855-0j -0.288536-0j -0.266983-0j -2.54253e-05-0j 0.000350853-0j -2.35261e-05-0j 0.000150335-0j 0.000324646-0j 5.39005e-05-0j 0.000139105-0j 4.11175e-06-0j 4.98743e-05-0j 3.80461e-06-0j -0.000142926-0j 0.000346172-0j -0.000399463-0j 0.00106897-0j -0.00258908-0j 0.00349966-0j 0.00298766-0j -1.19105e-05-0j -0.0482933-0j -0.0084763-0j 0.000140849-0j 2.88476e-05-0j 0.116968-0j 0.00978119-0j -1.05275e-06-0j -3.32886e-05-0j 3.57086e-05-0j -0.134975-0j 2.51621e-05-0j -0.000341142-0j 2.5498e-06-0j 4.21561e-06-0j 0.000393659-0j -8.64874e-05-0j -6.09434e-05-0j -2.94233e-06-0j 2.36068e-07-0j 9.98018e-05-0j 7.03253e-05-0j -1.02103e-05-0j 1.17822e-05-0j -5.71766e-07-0j 6.59786e-07-0j 
4.99253e-05-0j 0.0807513-0j -0.00010584-0j 4.3411e-05-0j -0.000342242-0j 0.0820252-0j 0.0167247-0j -1.02433e-05-0j 2.72836e-05-0j 2.75663e-05-0j -0.000208267-0j -0.000210425-0j -0.000695359-0j -4.96078e-05-0j -0.000702565-0j -0.39352-0j -5.01219e-05-0j 0.00147413-0j -0.397598-0j -5.81368e-07-0j 0.00148941-0j -5.87393e-07-0j -4.031e-05-0j 2.50069e-05-0j 1.45873e-05-0j 0.000301486-0j -0.000187031-0j 0.000974635-0j -0.000109101-0j -3.35917e-06-0j 6.95317e-05-0j -0.000604628-0j -0.00768379-0j 2.0839e-06-0j -4.3135e-05-0j -0.0003527-0j -0.016663-0j 1.21561e-06-0j 1.0071e-05-0j -2.51621e-05-0j 0.13138-0j 0.00476674-0j 0.0103371-0j -0.000229975-0j 0.0027806-0j -6.2477e-06-0j -0.0815036-0j 0.00602998-0j 6.65793e-08-0j -3.64449e-06-0j -0.0475438-0j 0.000142668-0j 8.32231e-05-0j -4.13034e-08-0j -2.40936e-08-0j 
