-0.000463795-0j 0.182716-0j 0.0960891-0j 0.0671724-0j -0.379626-0j 0.000762599-0j 0.000540667-0j -0.0022517-0j 0.000308727-0j -0.00111197-0j 0.000530334-0j -0.0015659-0j -0.00136855-0j 0.0949003-0j 0.0663413-0j 0.0374931-0j 0.0659965-0j -0.119056-0j 0.0836547-0j 0.0466166-0j -0.137643-0j -0.263455-0j -0.217355-0j 0.0382596-0j -0.151155-0j -0.0790746-0j -0.0308918-0j -0.112015-0j -0.0778989-0j -0.103014-0j -0.055685-0j 0.200567-0j 0.0348885-0j -0.0626106-0j 0.0822428-0j -0.000170334-0j 0.0570752-0j -0.0446009-0j 0.000177388-0j -0.0802397-0j 0.289008-0j -0.0287107-0j 0.0847733-0j 0.0878414-0j 0.0515241-0j -0.0160448-0j 0.0889418-0j 0.0252316-0j 0.0175468-0j 0.00796873-0j 0.0018529-0j -0.000304555-0j 
-0.0836547-0j -0.105475-0j 0.0541086-0j 0.0378253-0j -0.0718477-0j -0.141029-0j -0.0999865-0j 0.416411-0j 0.055685-0j -0.200567-0j 0.0321498-0j -0.0949276-0j -0.0498612-0j 0.0561678-0j 0.0392648-0j -0.0216433-0j -0.0128044-0j 0.0138822-0j 0.0970484-0j -0.0527462-0j 0.155742-0j 0.100189-0j -0.0382843-0j -0.00657271-0j 0.00872752-0j -0.159902-0j -0.166636-0j 0.0646722-0j -0.0147431-0j 0.0594752-0j -0.0646006-0j 0.232679-0j -0.0201429-0j -0.00712158-0j 0.00668664-0j 0.0315002-0j -0.0093243-0j -0.00785589-0j 0.00359445-0j 0.0463264-0j -0.166859-0j 0.0595264-0j -0.175762-0j 0.0519899-0j 0.0210457-0j 0.0887374-0j 0.0500839-0j -0.256769-0j 0.0585347-0j -0.127521-0j 0.0415747-0j 0.0123437-0j 
0.189987-0j 0.0185661-0j -0.0814964-0j 0.0206523-0j 0.0376287-0j 0.0498062-0j 0.0532451-0j 0.0287556-0j -0.0625427-0j -0.0312713-0j -0.107436-0j -0.0620284-0j -0.0893819-0j 0.082511-0j -0.0209094-0j 0.0243087-0j -0.177984-0j 0.0375239-0j 0.214969-0j 0.0592419-0j 0.0342033-0j 0.107939-0j -0.00657271-0j -0.0307065-0j 0.0141779-0j -0.0578999-0j -0.0909817-0j -0.0228399-0j 0.0492676-0j 0.0529907-0j -0.0707665-0j -0.0353832-0j 0.0917827-0j -0.164712-0j 0.0252858-0j -0.321574-0j 0.0725331-0j -0.00860569-0j -0.0359357-0j -0.0246699-0j -0.0123349-0j 0.0652079-0j 0.0376478-0j -0.00696981-0j -0.117022-0j -0.404339-0j 0.0068841-0j 0.0906816-0j -0.195608-0j 0.0679081-0j -0.0466947-0j 0.0135218-0j 
-0.18045-0j 0.0733503-0j -0.0376287-0j 0.0815926-0j -0.0180568-0j -0.0321498-0j 0.0707011-0j 0.0949276-0j 0.120118-0j 0.0600588-0j -0.0250622-0j 0.0740004-0j -0.152985-0j 0.0128044-0j -0.0277644-0j -0.0466865-0j 0.00998158-0j -0.132117-0j -0.0686236-0j -0.113778-0j 0.335949-0j 0.0251796-0j -0.00872752-0j -0.0141779-0j -0.0068035-0j 0.111201-0j -0.359448-0j 0.0147431-0j 0.0114929-0j -0.0420553-0j 0.0456796-0j 0.0228398-0j 0.0142432-0j 0.0677761-0j -0.160849-0j -0.022274-0j 0.224299-0j 0.00555495-0j -0.159574-0j -0.0327577-0j -0.0163789-0j -0.0420915-0j 0.124282-0j -0.0367624-0j -0.200293-0j -0.0627468-0j 0.108035-0j -0.0585347-0j -0.0456305-0j 0.0901712-0j 0.0896804-0j -0.00872831-0j 
0.0382596-0j 0.158205-0j 0.0339726-0j -0.011545-0j 0.0652468-0j 0.129408-0j -0.0446009-0j 0.0747139-0j 0.0523891-0j -0.188695-0j 0.0899944-0j 0.0519583-0j -0.232235-0j -0.16903-0j 0.0574419-0j -0.0667803-0j -0.117549-0j -0.103085-0j 0.00657271-0j -0.00753436-0j -0.00434997-0j 0.0425806-0j 0.190245-0j 0.0688868-0j 0.132302-0j -0.132599-0j -0.0412645-0j -0.0396034-0j -0.0275414-0j 0.00712158-0j 0.00900005-0j -0.0324164-0j 0.0123349-0j -0.0221362-0j -0.0141352-0j -0.0289047-0j -0.00922473-0j -0.0803045-0j 0.0301016-0j 0.0137909-0j -0.049672-0j -0.0481445-0j -0.0277963-0j 0.0191473-0j 0.0863998-0j 0.044088-0j -0.00384833-0j -0.344491-0j -0.239569-0j 0.128643-0j -0.117806-0j 0.0503802-0j 
0.0541613-0j -0.118846-0j 0.00565587-0j -0.0122639-0j -0.022345-0j 0.0287107-0j -0.0631383-0j -0.0847733-0j -0.0360527-0j -0.0180263-0j -0.0619316-0j 0.182863-0j -0.0515241-0j -0.0617273-0j 0.133847-0j 0.0756442-0j 0.133151-0j -0.240201-0j -0.109523-0j -0.0610319-0j 0.180207-0j -0.111201-0j -0.0808637-0j -0.0441509-0j 0.17443-0j 0.0674176-0j -0.173086-0j -0.0065933-0j 0.0142223-0j 0.0188077-0j 0.0729046-0j 0.0364523-0j -0.00636973-0j 0.0114311-0j -0.0150154-0j 0.0198914-0j -0.0747247-0j 0.0514687-0j -0.0207151-0j 0.0146497-0j 0.00732485-0j -0.0759268-0j 0.224187-0j 0.177224-0j 0.136258-0j -0.0898984-0j -0.0162385-0j 0.0104181-0j -0.0224727-0j -0.251088-0j -0.190999-0j 0.141485-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.0432681-0j 0.0337779-0j -0.0370048-0j -0.0390065-0j -0.0238865-0j 0.0483752-0j 0.0517153-0j 0.0279294-0j -0.439165-0j 0.0296237-0j 0.0342064-0j 0.0197491-0j 0.0171032-0j 0.0370019-0j 0.0390034-0j 0.0442257-0j 0.0261643-0j 0.0137898-0j -0.0256087-0j -0.0286314-0j -0.0165304-0j -0.0175331-0j -0.0703517-0j -0.0770665-0j -0.0497462-0j -0.0845236-0j -0.0687365-0j -0.0442292-0j -0.0312748-0j -0.0246699-0j 0.259925-0j -0.0175331-0j -0.0427295-0j -0.0151071-0j -0.00689544-0j 0.0335153-0j -0.00506137-0j -0.092112-0j 0.0038244-0j 0.354113-0j -0.0238865-0j -0.0975995-0j -0.0563491-0j 0.0130011-0j -0.0345066-0j -0.0752971-0j -0.0130022-0j -0.0485314-0j -0.0343169-0j -0.0279986-0j -0.0153286-0j -0.00334325-0j 
-0.0216341-0j 0.121661-0j -0.133284-0j 0.0195032-0j -0.0860345-0j 0.174238-0j -0.0258576-0j 0.100596-0j -0.0296237-0j -0.270203-0j -0.0171032-0j -0.00987455-0j 0.0616025-0j 0.133273-0j -0.0195017-0j -0.0221128-0j -0.0130821-0j -0.00689489-0j 0.0128044-0j 0.0143157-0j 0.00826518-0j -0.0631508-0j -0.253393-0j 0.0385332-0j 0.0248731-0j -0.304438-0j 0.0343683-0j -0.159305-0j 0.0156374-0j 0.0123349-0j 0.0175331-0j 0.159923-0j 0.0213647-0j 0.00755357-0j 0.00344772-0j -0.0167577-0j 0.00253068-0j 0.046056-0j -0.0019122-0j 0.0238865-0j 0.217873-0j 0.0487997-0j 0.0281745-0j -0.00650056-0j 0.0172533-0j 0.0376485-0j 0.00650108-0j -0.174801-0j 0.0171585-0j 0.0139993-0j 0.0076643-0j 0.00167162-0j 
0.0752575-0j 0.0594963-0j 0.0651749-0j -0.359338-0j -0.0152037-0j 0.144267-0j -0.0294861-0j -0.0159243-0j 0.103051-0j 0.0515253-0j 0.112463-0j -0.0124138-0j -0.131248-0j -0.0213647-0j 0.117793-0j 0.0778989-0j -0.0166548-0j -0.107163-0j -0.0142432-0j -0.25409-0j 0.0280468-0j -0.0107506-0j -0.00796217-0j 0.0266075-0j -0.00620688-0j 0.0133038-0j 0.00627146-0j -0.0255357-0j -0.0199063-0j -0.0142432-0j -0.0195032-0j -0.00975162-0j 0.129036-0j -0.117392-0j -0.135434-0j -0.0191092-0j -0.0957661-0j -0.0104249-0j -0.136901-0j -0.0275818-0j -0.0137909-0j 0.0263394-0j -0.00290737-0j -0.0075068-0j -0.0239625-0j -0.00225204-0j 0.0229001-0j -0.000951661-0j -0.000741863-0j -0.000388514-0j 0.000483853-0j -2.1387e-05-0j 
0.22221-0j 0.175673-0j -0.0376287-0j 0.202849-0j -0.0448914-0j 0.0159243-0j -0.0870627-0j 0.068616-0j -0.0594963-0j -0.0297481-0j 0.0124138-0j 0.0534893-0j 0.075776-0j 0.0123349-0j -0.0664953-0j -0.0449749-0j 0.00961565-0j -0.316418-0j -0.0420553-0j -0.0280468-0j -0.12085-0j 0.00620688-0j -0.0235096-0j -0.0153619-0j -0.0183268-0j -0.00768093-0j 0.0185175-0j 0.0147431-0j 0.0114929-0j 0.061372-0j 0.0112602-0j 0.0056301-0j 0.0142432-0j 0.0677761-0j -0.399891-0j 0.0110327-0j 0.0552906-0j 0.00601883-0j 0.0790396-0j -0.0814397-0j -0.0407199-0j 0.00290737-0j 0.0125275-0j 0.167867-0j 0.0138347-0j 0.00130022-0j -0.512092-0j 0.000549442-0j 0.000428315-0j -0.00114715-0j -0.000279353-0j 1.23478e-05-0j 
-0.0626106-0j 0.153533-0j 0.168187-0j -0.0571554-0j -0.287867-0j -0.0427766-0j 0.0147431-0j -0.0246971-0j -0.0857331-0j 0.308794-0j 0.131248-0j 0.075776-0j -0.102249-0j -0.0331346-0j 0.0112602-0j -0.0648081-0j 0.101664-0j 0.0269152-0j 0.00712158-0j -0.040415-0j -0.0233336-0j -0.203553-0j -0.0123485-0j -0.0221362-0j 0.037888-0j 0.0343311-0j -0.00521755-0j -0.0396034-0j 0.121512-0j 0.00712158-0j 0.00975162-0j -0.0351234-0j 0.0123349-0j 0.0294841-0j -0.14932-0j 0.0095546-0j -0.105585-0j 0.00521246-0j -0.307141-0j 0.0137909-0j -0.049672-0j 0.00251786-0j 0.00145369-0j 0.0037534-0j 0.00601842-0j 0.00112602-0j -0.0190518-0j -0.00147593-0j 0.00452848-0j 0.000194257-0j -0.000402543-0j 1.06935e-05-0j 
0.0443483-0j 0.0346212-0j -0.0379286-0j -0.0399803-0j 0.117289-0j -0.00698236-0j -0.00746446-0j -0.00403127-0j 0.0607264-0j 0.0303632-0j -0.167963-0j -0.0969734-0j 0.185185-0j -0.00534076-0j -0.00562965-0j 0.0453298-0j -0.128474-0j 0.149308-0j 0.0036963-0j -0.0293462-0j -0.016943-0j 0.0860921-0j 0.0101544-0j -0.0789904-0j 0.244267-0j -0.0866337-0j -0.0704525-0j 0.00638394-0j 0.153567-0j 0.00356079-0j 0.00506137-0j 0.00253068-0j 0.00616747-0j -0.163572-0j -0.129171-0j -0.00483752-0j -0.0948138-0j 0.0132952-0j -0.263816-0j 0.00689544-0j 0.00344772-0j 0.0140873-0j 0.00813329-0j -0.00187655-0j -0.373619-0j 0.0108682-0j -0.0133268-0j 0.00700491-0j 0.168505-0j 0.00404125-0j -0.0157113-0j 0.000482557-0j 
-0.0532451-0j 0.0216433-0j 0.0228399-0j 0.0240753-0j 0.0147431-0j -0.0595298-0j 0.401871-0j -0.0343696-0j -0.0729088-0j -0.0364544-0j -0.0420939-0j -0.0243029-0j -0.021047-0j 0.0237091-0j 0.0249915-0j -0.178946-0j 0.0167648-0j 0.00883584-0j 0.06177-0j 0.069061-0j 0.0398724-0j 0.042291-0j 0.00785589-0j 0.00860569-0j 0.00555495-0j -0.0674965-0j -0.106061-0j -0.172385-0j -0.121895-0j 0.0152266-0j 0.0845821-0j 0.042291-0j 0.0263732-0j 0.00932433-0j 0.00425596-0j -0.0412435-0j 0.0122084-0j -0.064952-0j -0.00470625-0j 0.0294861-0j 0.0147431-0j -0.0779383-0j -0.0449977-0j 0.00833051-0j -0.0275553-0j -0.116185-0j 0.00802511-0j -0.108385-0j -0.07664-0j -0.0811657-0j -0.0544341-0j -0.0161617-0j 
-0.0767238-0j -0.0606555-0j 0.0323004-0j -0.0700389-0j -0.0428899-0j 0.0416997-0j 0.579078-0j -0.123125-0j 0.0510715-0j 0.0255357-0j 0.0294861-0j -0.0870627-0j 0.0147431-0j 0.0323004-0j -0.0700389-0j -0.24379-0j 0.0228399-0j -0.0247625-0j -0.0442965-0j 0.0240753-0j -0.0710864-0j 0.0147431-0j -0.0247625-0j 0.0131866-0j -0.0175097-0j 0.0065933-0j -0.00639365-0j -0.24379-0j -0.172385-0j -0.110127-0j 0.0294861-0j 0.0147431-0j 0.0372973-0j 0.0131866-0j -0.0123812-0j 0.0288904-0j 0.00425596-0j -0.0995267-0j 0.00329665-0j -0.0857798-0j -0.0428899-0j 0.00761329-0j -0.0224795-0j -0.0927374-0j 0.0026917-0j 0.00340477-0j -0.0927374-0j 0.00143878-0j 0.00101737-0j -0.00120829-0j 0.000239796-0j 3.23341e-05-0j 
0.103014-0j -0.25261-0j 0.0541086-0j 0.0940385-0j -0.178622-0j 0.0698539-0j 0.123125-0j 0.300992-0j -0.0275818-0j 0.0993441-0j -0.0159243-0j -0.068616-0j 0.0246971-0j 0.0541086-0j 0.0940385-0j -0.0208498-0j -0.0123349-0j 0.0332476-0j 0.0594752-0j -0.0130022-0j -0.0560247-0j 0.0246971-0j -0.103128-0j -0.00712158-0j 0.0235096-0j 0.0110449-0j 0.0085845-0j 0.0646722-0j -0.0147431-0j -0.0867932-0j -0.0159243-0j 0.0573563-0j -0.0201429-0j -0.00712158-0j 0.0166238-0j -0.0156026-0j -0.00229848-0j -0.00851191-0j -0.00178039-0j 0.115173-0j -0.414831-0j -0.00411164-0j -0.0177166-0j -0.2374-0j -0.00145369-0j -0.00183878-0j -0.2374-0j 0.00241019-0j -0.000549442-0j 0.00162232-0j -0.000129505-0j -1.74624e-05-0j 
0.000691614-0j 0.0878414-0j 0.0116295-0j -0.100168-0j -0.06134-0j -9.46302e-05-0j 0.000826637-0j -0.00211612-0j -0.000115898-0j -5.79489e-05-0j -6.69137e-05-0j -0.00149632-0j -3.34568e-05-0j -0.0117761-0j 0.101431-0j -0.0140751-0j -0.00832695-0j 0.0358611-0j 0.127901-0j -0.0175001-0j -0.391338-0j -0.0107166-0j 0.107137-0j -0.0143629-0j 0.0757572-0j -0.00957025-0j 0.0460659-0j 0.0138999-0j 0.00982871-0j 0.30029-0j -0.0214332-0j -0.0107166-0j 0.0134286-0j 0.00474772-0j -0.0177073-0j -6.55618e-05-0j -0.00309361-0j -0.0171669-0j -7.48118e-06-0j -0.12268-0j -0.06134-0j -0.0110508-0j -0.247117-0j 0.122951-0j -0.00390704-0j -0.00617564-0j -0.12142-0j -0.00313097-0j -0.00221393-0j 0.0121835-0j -0.000695589-0j -0.000117223-0j 
0.0430886-0j -0.0574419-0j -0.0123349-0j 0.068008-0j -0.00796217-0j -0.251977-0j 0.0515007-0j 0.0278135-0j 0.0590014-0j 0.0295007-0j -0.178175-0j 0.0196671-0j 0.0170323-0j -0.0629245-0j 0.346931-0j -0.0752092-0j -0.0444943-0j -0.0234506-0j -0.00758951-0j 0.0443826-0j -0.00489901-0j -0.00519618-0j 0.0708219-0j 0.0775815-0j 0.0500786-0j 0.0481445-0j -0.0464728-0j -0.0147431-0j -0.0104249-0j -0.00822329-0j -0.0103924-0j -0.00519618-0j 0.074499-0j -0.00503572-0j -0.00229848-0j 0.0333763-0j -0.00150001-0j 0.0927276-0j 0.00380853-0j -0.0159243-0j -0.00796217-0j -0.290777-0j 0.0320964-0j -0.0221094-0j 0.0196549-0j -0.0509084-0j -0.00433405-0j -0.128243-0j -0.0906813-0j -0.148544-0j -0.132675-0j -0.058174-0j 
0.127226-0j -0.169607-0j 0.00712158-0j -0.0383911-0j -0.0235096-0j -0.0278135-0j 0.152064-0j -0.119845-0j -0.0340645-0j -0.0170323-0j -0.0196671-0j -0.0847434-0j -0.00983357-0j 0.0363295-0j -0.195845-0j 0.043422-0j 0.0256888-0j -0.0692418-0j -0.0224093-0j 0.00489901-0j 0.0211092-0j 0.00300002-0j 0.209114-0j -0.0447917-0j 0.147866-0j -0.0277963-0j -0.137219-0j 0.00851191-0j 0.00601883-0j 0.0354332-0j 0.00600003-0j 0.00300002-0j 0.00822329-0j 0.00290737-0j -0.00678665-0j -0.0192698-0j 0.00086603-0j -0.0535363-0j -0.00219885-0j -0.0470193-0j -0.0235096-0j -0.0320964-0j -0.138299-0j 0.494411-0j -0.0113478-0j 0.029392-0j 0.0969181-0j 0.0740409-0j 0.0523549-0j -0.438602-0j 0.0766002-0j 0.0335868-0j 
