-0.0282646-0j -0.00456118-0j -0.00372419-0j -0.00053754-0j -0.000465524-0j -5.48625e-05-0j -2.50412e-06-0j -0.025906-0j -0.00409611-0j -0.00323826-0j -0.00215884-0j -0.000467402-0j -0.000539709-0j -0.000190816-0j -4.49758e-05-0j -4.7704e-05-0j -3.97533e-06-0j -1.48152e-07-0j -0.0168533-0j -0.0170279-0j -0.00262746-0j -0.00265469-0j -0.00203522-0j -0.00205632-0j -0.000293759-0j -0.0018579-0j -0.000296804-0j -0.00187715-0j -0.000328433-0j -0.000218955-0j -0.000331836-0j -2.73694e-05-0j -0.000189621-0j -0.000221224-0j -2.7653e-05-0j -0.000191586-0j -3.87062e-05-0j -1.93531e-05-0j -3.91073e-05-0j -2.28078e-06-0j -2.79338e-06-0j -1.95537e-05-0j -2.30442e-06-0j -2.82233e-06-0j -1.80312e-07-0j -1.8218e-07-0j -5.67929e-09-0j -5.73814e-09-0j 
0.00327181-0j -0.0249751-0j 0.000431099-0j -0.00594891-0j -0.00254901-0j -0.000913913-0j -6.9717e-05-0j -0.00291342-0j 0.0217901-0j -0.000364178-0j -0.000242785-0j 0.00502544-0j 0.00287109-0j -2.14594e-05-0j 0.000727889-0j 0.000512907-0j 8.59316e-05-0j 4.81205e-06-0j 0.00195087-0j -0.00197029-0j -0.0143869-0j 0.0145301-0j 0.000235591-0j -0.000237935-0j -0.00325101-0j 0.000215064-0j 0.00328337-0j -0.000217204-0j -0.00179836-0j -0.00119891-0j 0.00181626-0j -0.000455926-0j 2.19499e-05-0j 0.00121084-0j 0.000460465-0j -2.21683e-05-0j -0.000428358-0j -0.000105969-0j 0.000432622-0j -5.07465e-05-0j -4.65328e-05-0j 0.000107024-0j 5.12516e-05-0j 4.6996e-05-0j -5.02005e-06-0j 5.07001e-06-0j -2.21626e-07-0j 2.23832e-07-0j 
0.00377796-0j -0.0288388-0j 0.000497791-0j -0.00686921-0j -0.00294334-0j -0.0010553-0j -8.05022e-05-0j 4.92876e-05-0j -0.000368631-0j 6.16095e-06-0j 4.1073e-06-0j -8.50174e-05-0j -4.85714e-05-0j 3.63037e-07-0j -1.2314e-05-0j -8.67706e-06-0j -1.45374e-06-0j -8.14074e-08-0j -0.00221654-0j -0.00221123-0j 0.0163461-0j 0.0163069-0j -0.000267673-0j -0.000267031-0j 0.00369372-0j -0.000244351-0j 0.00368487-0j -0.000243765-0j 0.00204326-0j 0.00136217-0j 0.00203836-0j 0.000518013-0j -2.49389e-05-0j 0.00135891-0j 0.000516772-0j -2.48792e-05-0j 0.000486691-0j 0.0001204-0j 0.000485524-0j 5.7657e-05-0j 5.28695e-05-0j 0.000120111-0j 5.75188e-05-0j 5.27428e-05-0j 5.70367e-06-0j 5.68999e-06-0j 2.51807e-07-0j 2.51203e-07-0j 
0.00133571-0j -0.010196-0j 0.000175996-0j -0.00242863-0j -0.00104063-0j -0.000373103-0j -2.84618e-05-0j 0.00122425-0j -0.00915641-0j 0.000153032-0j 0.000102021-0j -0.00211174-0j -0.00120646-0j 9.01747e-06-0j -0.000305867-0j -0.000215529-0j -3.61094e-05-0j -2.02208e-06-0j -0.00394388-0j 0.000804695-0j 0.0290845-0j -0.00593429-0j -0.000476269-0j 9.71761e-05-0j 0.00657222-0j -0.000434772-0j -0.00134097-0j 8.87093e-05-0j 0.00363556-0j 0.0024237-0j -0.000741786-0j 0.000921699-0j -4.43737e-05-0j -0.000494524-0j -0.00018806-0j 9.05385e-06-0j 0.000865967-0j 0.000214227-0j -0.000176689-0j 0.000102589-0j 9.40705e-05-0j -4.37101e-05-0j -2.09319e-05-0j -1.91938e-05-0j 1.01485e-05-0j -2.07066e-06-0j 4.48038e-07-0j -9.14162e-08-0j 
-0.00220381-0j 0.0168226-0j -0.000290378-0j 0.00400704-0j 0.00171695-0j 0.000615589-0j 4.69596e-05-0j 0.00395357-0j -0.0295695-0j 0.000494197-0j 0.000329464-0j -0.00681962-0j -0.00389613-0j 2.91208e-05-0j -0.000987759-0j -0.000696025-0j -0.000116611-0j -6.53005e-06-0j -0.00131406-0j -0.0012159-0j 0.00969065-0j 0.00896679-0j -0.000158688-0j -0.000146834-0j 0.0021898-0j -0.000144862-0j 0.00202623-0j -0.000134041-0j 0.00121133-0j 0.000807554-0j 0.00112085-0j 0.000307101-0j -1.47849e-05-0j 0.000747232-0j 0.000284161-0j -1.36805e-05-0j 0.000288531-0j 7.13784e-05-0j 0.000266979-0j 3.41816e-05-0j 3.13433e-05-0j 6.60466e-05-0j 3.16283e-05-0j 2.90021e-05-0j 3.38138e-06-0j 3.1288e-06-0j 1.49282e-07-0j 1.38131e-07-0j 
-0.0023375-0j 0.0178431-0j -0.000307992-0j 0.00425011-0j 0.0018211-0j 0.000652931-0j 4.98082e-05-0j 0.00208145-0j -0.0155676-0j 0.000260181-0j 0.000173454-0j -0.00359035-0j -0.00205121-0j 1.53313e-05-0j -0.000520029-0j -0.000366438-0j -6.13925e-05-0j -3.4379e-06-0j 0.0041366-0j 0.00140765-0j -0.0305057-0j -0.0103808-0j 0.000499542-0j 0.000169989-0j -0.00689338-0j 0.000456017-0j -0.00234575-0j 0.000155178-0j -0.00381321-0j -0.00254214-0j -0.0012976-0j -0.000966739-0j 4.65421e-05-0j -0.000865066-0j -0.000328972-0j 1.58378e-05-0j -0.000908283-0j -0.000224696-0j -0.00030908-0j -0.000107602-0j -9.86673e-05-0j -7.64618e-05-0j -3.66159e-05-0j -3.35755e-05-0j -1.06444e-05-0j -3.62219e-06-0j -4.69932e-07-0j -1.59913e-07-0j 
0.00136354-0j -0.0104085-0j 0.000179662-0j -0.00247923-0j -0.00106231-0j -0.000380876-0j -2.90548e-05-0j -0.00367812-0j 0.0275093-0j -0.000459765-0j -0.00030651-0j 0.00634448-0j 0.00362467-0j -2.70919e-05-0j 0.000918939-0j 0.000647531-0j 0.000108486-0j 6.07508e-06-0j -0.000799992-0j 0.00392221-0j 0.0058996-0j -0.0289247-0j -9.66082e-05-0j 0.000473652-0j 0.00133314-0j -8.81908e-05-0j -0.00653612-0j 0.000432383-0j 0.00073745-0j 0.000491634-0j -0.00361558-0j 0.000186961-0j -9.00094e-06-0j -0.00241039-0j -0.000916635-0j 4.41299e-05-0j 0.000175656-0j 4.34547e-05-0j -0.000861209-0j 2.08095e-05-0j 1.90816e-05-0j -0.00021305-0j -0.000102025-0j -9.35537e-05-0j 2.05856e-06-0j -1.00928e-05-0j 9.08819e-08-0j -4.45577e-07-0j 
-0.000355713-0j 0.0027153-0j -4.68693e-05-0j 0.000646768-0j 0.00027713-0j 9.9361e-05-0j 7.57966e-06-0j 0.00160231-0j -0.0119839-0j 0.000200288-0j 0.000133526-0j -0.00276386-0j -0.00157902-0j 1.18021e-05-0j -0.00040032-0j -0.000282085-0j -4.72601e-05-0j -2.6465e-06-0j -0.0002121-0j -0.00392655-0j 0.00156415-0j 0.0289566-0j -2.56135e-05-0j -0.000474176-0j 0.000353451-0j -2.33818e-05-0j 0.00654334-0j -0.000432861-0j 0.000195518-0j 0.000130346-0j 0.00361958-0j 4.95685e-05-0j -2.3864e-06-0j 0.00241305-0j 0.000917648-0j -4.41787e-05-0j 4.65713e-05-0j 1.1521e-05-0j 0.000862161-0j 5.51718e-06-0j 5.05906e-06-0j 0.000213286-0j 0.000102138-0j 9.36571e-05-0j 5.45781e-07-0j 1.01039e-05-0j 2.40953e-08-0j 4.4607e-07-0j 
0.00240761-0j 0.000388526-0j -0.030522-0j 4.57882e-05-0j -0.00767015-0j -0.000449631-0j 2.13303e-07-0j 0.0022067-0j 0.00034891-0j -0.0265395-0j 0.000183892-0j 3.98138e-05-0j -0.00442324-0j -0.00472407-0j 3.83108e-06-0j -0.00078599-0j -3.25803e-05-0j 1.26197e-08-0j 0.00143558-0j 0.00145045-0j 0.00022381-0j 0.000226129-0j -0.0166799-0j -0.0168528-0j 2.50227e-05-0j 0.000158258-0j 2.5282e-05-0j 0.000159898-0j -0.00269171-0j 1.86508e-05-0j -0.0027196-0j 2.33135e-06-0j -0.00312427-0j 1.88441e-05-0j 2.35551e-06-0j -0.00315664-0j -0.000317221-0j -0.000479128-0j -0.000320508-0j 1.9428e-07-0j -4.60248e-05-0j -0.000484093-0j 1.96293e-07-0j -4.65018e-05-0j -1.47776e-06-0j -1.49308e-06-0j 4.83768e-10-0j 4.88781e-10-0j 
-0.000347508-0j 0.00536143-0j -4.57882e-05-0j -0.0295689-0j 0.000547199-0j -0.00924773-0j -0.0014218-0j -0.00031851-0j 0.00481476-0j -3.98138e-05-0j -2.65425e-05-0j -0.0257107-0j 0.0006344-0j -2.34605e-06-0j -0.00758121-0j -0.00262409-0j -0.00134957-0j -0.00012644-0j -0.000207208-0j -0.000209355-0j 0.00308845-0j 0.00312045-0j -2.50227e-05-0j -2.5282e-05-0j -0.0161591-0j -2.28425e-05-0j -0.0163265-0j -2.30792e-05-0j 0.000386056-0j 0.00025737-0j 0.000390056-0j -0.00461344-0j -2.33135e-06-0j 0.000260038-0j -0.00466125-0j -2.35551e-06-0j -0.00212914-0j 2.27485e-05-0j -0.00215121-0j -0.000774297-0j -0.000470858-0j 2.29843e-05-0j -0.000782321-0j -0.000475737-0j -0.000102378-0j -0.000103439-0j -6.7952e-06-0j -6.86562e-06-0j 
-0.00262746-0j -0.000424005-0j 0.0333092-0j -4.99695e-05-0j 0.00837056-0j 0.00049069-0j -2.32782e-07-0j -3.42781e-05-0j -5.41984e-06-0j 0.000412254-0j -2.85651e-06-0j -6.18452e-07-0j 6.8709e-05-0j 7.33818e-05-0j -5.95106e-08-0j 1.22093e-05-0j 5.06089e-07-0j -1.9603e-10-0j -0.00156667-0j 0.00153784-0j -0.000244248-0j 0.000239754-0j 0.0182031-0j -0.0178681-0j -2.73077e-05-0j -0.000172709-0j 2.68053e-05-0j 0.000169531-0j 0.0029375-0j -2.0354e-05-0j -0.00288346-0j -2.54425e-06-0j 0.00340957-0j 1.99795e-05-0j 2.49743e-06-0j -0.00334683-0j 0.000346188-0j 0.000522881-0j -0.000339819-0j -2.12021e-07-0j 5.02276e-05-0j -0.00051326-0j 2.08119e-07-0j -4.93035e-05-0j 1.61271e-06-0j -1.58304e-06-0j -5.27944e-10-0j 5.1823e-10-0j 
0.000379242-0j -0.00585102-0j 4.99695e-05-0j 0.032269-0j -0.000597167-0j 0.0100922-0j 0.00155163-0j 4.94761e-06-0j -7.47906e-05-0j 6.18452e-07-0j 4.12301e-07-0j 0.000399381-0j -9.85452e-06-0j 3.64426e-08-0j 0.000117764-0j 4.07616e-05-0j 2.09638e-05-0j 1.96408e-06-0j 0.000226129-0j -0.000221969-0j -0.00337047-0j 0.00330846-0j 2.73077e-05-0j -2.68053e-05-0j 0.0176346-0j 2.49284e-05-0j -0.0173102-0j -2.44697e-05-0j -0.000421309-0j -0.000280873-0j 0.000413557-0j 0.00503473-0j 2.54425e-06-0j 0.000275705-0j -0.00494209-0j -2.49743e-06-0j 0.00232357-0j -2.48259e-05-0j -0.00228082-0j 0.000845003-0j 0.000513855-0j 2.43691e-05-0j -0.000829456-0j -0.0005044-0j 0.000111727-0j -0.000109671-0j 7.41572e-06-0j -7.27927e-06-0j 
-0.00203522-0j -0.000328433-0j 0.0258012-0j -3.87062e-05-0j 0.00648381-0j 0.000380087-0j -1.80312e-07-0j -0.00186539-0j -0.000294945-0j 0.0224346-0j -0.000155449-0j -3.36558e-05-0j 0.0037391-0j 0.0039934-0j -3.23853e-06-0j 0.000664421-0j 2.75411e-05-0j -1.06678e-08-0j 0.00119407-0j -0.00122611-0j 0.000186159-0j -0.000191154-0j -0.0138738-0j 0.0142461-0j 2.08132e-05-0j 0.000131634-0j -2.13717e-05-0j -0.000135166-0j -0.00223888-0j 1.55132e-05-0j 0.00229896-0j 1.93915e-06-0j -0.00259867-0j -1.59295e-05-0j -1.99119e-06-0j 0.00266841-0j -0.000263855-0j -0.000398524-0j 0.000270935-0j 1.61596e-07-0j -3.82821e-05-0j 0.000409219-0j -1.65932e-07-0j 3.93093e-05-0j -1.22916e-06-0j 1.26214e-06-0j 4.02384e-10-0j -4.13181e-10-0j 
0.00205632-0j 0.000331836-0j -0.0260685-0j 3.91073e-05-0j -0.006551-0j -0.000384026-0j 1.8218e-07-0j -0.00183107-0j -0.000289518-0j 0.0220218-0j -0.000152589-0j -3.30365e-05-0j 0.0036703-0j 0.00391992-0j -3.17894e-06-0j 0.000652196-0j 2.70343e-05-0j -1.04716e-08-0j 0.00122611-0j -0.00123832-0j 0.000191154-0j -0.000193057-0j -0.0142461-0j 0.0143879-0j 2.13717e-05-0j 0.000135166-0j -2.15844e-05-0j -0.000136512-0j -0.00229896-0j 1.59295e-05-0j 0.00232184-0j 1.99119e-06-0j -0.00266841-0j -1.60881e-05-0j -2.01101e-06-0j 0.00269497-0j -0.000270935-0j -0.000409219-0j 0.000273632-0j 1.65932e-07-0j -3.93093e-05-0j 0.000413292-0j -1.67584e-07-0j 3.97006e-05-0j -1.26214e-06-0j 1.27471e-06-0j 4.13181e-10-0j -4.17294e-10-0j 
0.000293759-0j -0.00453218-0j 3.87062e-05-0j 0.0249955-0j -0.000462564-0j 0.00781739-0j 0.00120189-0j 0.000269246-0j -0.00407006-0j 3.36558e-05-0j 2.24372e-05-0j 0.0217341-0j -0.000536277-0j 1.98319e-06-0j 0.00640862-0j 0.00221822-0j 0.00114084-0j 0.000106884-0j -0.000172349-0j 0.000176974-0j 0.00256888-0j -0.00263781-0j -2.08132e-05-0j 2.13717e-05-0j -0.0134406-0j -1.89997e-05-0j 0.0138013-0j 1.95096e-05-0j 0.00032111-0j 0.000214073-0j -0.000329726-0j -0.00383732-0j -1.93915e-06-0j -0.000219818-0j 0.0039403-0j 1.99119e-06-0j -0.00177096-0j 1.89216e-05-0j 0.00181848-0j -0.000644037-0j -0.000391645-0j -1.94293e-05-0j 0.00066132-0j 0.000402155-0j -8.5155e-05-0j 8.74401e-05-0j -5.65205e-06-0j 5.80372e-06-0j 
-0.0018579-0j -0.000299817-0j 0.0235531-0j -3.53338e-05-0j 0.00591888-0j 0.00034697-0j -1.64601e-07-0j -0.00170286-0j -0.000269246-0j 0.0204799-0j -0.000141905-0j -3.07234e-05-0j 0.00341332-0j 0.00364546-0j -2.95636e-06-0j 0.000606531-0j 2.51415e-05-0j -9.73836e-09-0j -0.0011078-0j -0.00111928-0j -0.000172709-0j -0.000174499-0j 0.0128715-0j 0.0130049-0j -1.93095e-05-0j -0.000122124-0j -1.95096e-05-0j -0.000123389-0j 0.00207713-0j -1.43924e-05-0j 0.00209865-0j -1.79905e-06-0j 0.00241093-0j -1.45416e-05-0j -1.8177e-06-0j 0.00243591-0j 0.000244792-0j 0.000369732-0j 0.000247329-0j -1.49921e-07-0j 3.55163e-05-0j 0.000373564-0j -1.51475e-07-0j 3.58844e-05-0j 1.14036e-06-0j 1.15218e-06-0j -3.73313e-10-0j -3.77181e-10-0j 
-0.000296804-0j 0.00457915-0j -3.91073e-05-0j -0.0252545-0j 0.000467357-0j -0.0078984-0j -0.00121434-0j 0.000264292-0j -0.00399517-0j 3.30365e-05-0j 2.20244e-05-0j 0.0213342-0j -0.00052641-0j 1.9467e-06-0j 0.00629071-0j 0.00217741-0j 0.00111985-0j 0.000104917-0j -0.000176974-0j 0.000178736-0j 0.00263781-0j -0.00266407-0j -2.13717e-05-0j 2.15844e-05-0j -0.0138013-0j -1.95096e-05-0j 0.0139387-0j 1.97038e-05-0j 0.000329726-0j 0.000219818-0j -0.000333008-0j -0.0039403-0j -1.99119e-06-0j -0.000222006-0j 0.00397952-0j 2.01101e-06-0j -0.00181848-0j 1.94293e-05-0j 0.00183658-0j -0.00066132-0j -0.000402155-0j -1.96227e-05-0j 0.000667902-0j 0.000406158-0j -8.74401e-05-0j 8.83105e-05-0j -5.80372e-06-0j 5.86149e-06-0j 
0.000268164-0j -0.00413729-0j 3.53338e-05-0j 0.0228177-0j -0.000422261-0j 0.00713627-0j 0.00109717-0j 0.000245787-0j -0.00371544-0j 3.07234e-05-0j 2.04823e-05-0j 0.0198404-0j -0.000489552-0j 1.81039e-06-0j 0.00585025-0j 0.00202495-0j 0.00104144-0j 9.75712e-05-0j 0.000159898-0j 0.000161555-0j -0.00238328-0j -0.00240798-0j 1.93095e-05-0j 1.95096e-05-0j 0.0124696-0j 1.76271e-05-0j 0.0125988-0j 1.78097e-05-0j -0.00029791-0j -0.000198607-0j -0.000300998-0j 0.00356009-0j 1.79905e-06-0j -0.000200665-0j 0.00359698-0j 1.8177e-06-0j 0.00164301-0j -1.75545e-05-0j 0.00166004-0j 0.000597508-0j 0.00036335-0j -1.77365e-05-0j 0.0006037-0j 0.000367116-0j 7.90028e-05-0j 7.98215e-05-0j 5.24371e-06-0j 5.29805e-06-0j 
