0.277261-0j 0.00315426-0j -0.101403-0j -0.00146228-0j -0.00079839-0j -0.170762-0j -0.053178-0j -0.3372-0j -0.341424-0j 0.120627-0j -0.260202-0j 0.210684-0j -0.204946-0j 0.144006-0j 0.207506-0j 0.114202-0j 0.115632-0j 0.00093072-0j 0.0137176-0j 0.141575-0j -0.0690634-0j -0.138127-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.192259-0j -0.235468-0j 0.0563901-0j -0.333002-0j 0.0713284-0j -0.0607976-0j 0.00594403-0j 0.280567-0j 0.280567-0j 0.0230211-0j 0.0162784-0j 0.0398738-0j 0.0230211-0j 0.0411815-0j -0.297846-0j 0.0651136-0j 0.0651136-0j 0.0852537-0j 0.00112332-0j 0.0115106-0j 0.0398738-0j 0.0797476-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.116852-0j -0.379479-0j 0.175279-0j -0.0398738-0j 0.221712-0j -0.00727992-0j 0.018476-0j -0.0230211-0j 0.116852-0j -0.0140975-0j -0.134166-0j -0.328639-0j -0.09531-0j -0.0252184-0j -0.0356642-0j -0.0398738-0j 0.202394-0j -0.052207-0j -0.000687888-0j 0.528762-0j -0.0244176-0j -0.0488352-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
-0.0651136-0j -0.0797476-0j -0.0976704-0j -0.11278-0j -0.123544-0j -0.0205907-0j -0.0102954-0j -0.0651136-0j -0.0651136-0j -0.0398738-0j -0.028195-0j -0.0690634-0j -0.0398738-0j -0.0713284-0j -0.100874-0j 0.589898-0j 0.589898-0j -0.147664-0j -0.00194564-0j -0.0199369-0j -0.0690634-0j -0.138127-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
