-0.0505971-0j -0.0590299-0j -0.0361483-0j -0.0516512-0j -0.021305-0j -0.00649114-0j -0.00733253-0j -0.00598698-0j -0.00604903-0j -0.00523861-0j -0.00432163-0j -0.00138078-0j 0.400613-0j -0.000600989-0j 0.443397-0j -0.000665172-0j 0.350536-0j 0.233691-0j -0.000525865-0j 0.354169-0j -0.000350577-0j -0.000531314-0j 0.408959-0j 0.144589-0j -0.000613509-0j 0.238559-0j -0.000216908-0j 0.253031-0j -0.00035788-0j -0.000379589-0j 0.147601-0j -0.000221427-0j 0.0385054-0j -5.77647e-05-0j -0.0031278-0j 0.0531988-0j -4.60769e-05-0j -0.00341342-0j 0.0580568-0j -5.02844e-05-0j -0.00264402-0j -0.00267142-0j -0.00241365-0j 0.0449706-0j -3.89502e-05-0j 0.0454366-0j 0.0410524-0j -0.00298674-0j -3.93538e-05-0j -0.00199116-0j -3.55565e-05-0j -0.00174227-0j -0.0017244-0j 0.0507997-0j 0.0338665-0j -0.00246394-0j -4.39989e-05-0j 0.0296332-0j 0.0293292-0j -0.00123197-0j -2.93326e-05-0j -0.00101632-0j -2.5666e-05-0j -2.54028e-05-0j 0.0419076-0j -0.00124474-0j 0.0209538-0j -3.62972e-05-0j 0.017286-0j -0.000562431-0j -1.81486e-05-0j 0.0211709-0j -1.49718e-05-0j -0.000124004-0j 0.00956605-0j -1.83367e-05-0j -8.2854e-06-0j 0.00210912-0j -1.82676e-06-0j 
0.0026029-0j -0.00295027-0j 0.0018596-0j -0.00265605-0j 0.0052331-0j 0.000333928-0j -0.000366474-0j 0.000307992-0j -0.000311058-0j -0.000261821-0j 0.000203604-0j 0.000751313-0j -0.0414322-0j 3.0917e-05-0j 0.0445516-0j -3.32448e-05-0j -0.0362532-0j -0.0241688-0j 2.70524e-05-0j 0.036614-0j 1.80349e-05-0j -2.73217e-05-0j 0.0410913-0j -0.0149537-0j -3.06627e-05-0j -0.0225952-0j 1.11585e-05-0j 0.0261583-0j 1.68607e-05-0j -1.95195e-05-0j -0.0728866-0j 5.43886e-05-0j -0.0729672-0j 5.44487e-05-0j 0.000160905-0j -0.00550193-0j 2.37036e-06-0j -0.0001706-0j 0.00583342-0j -2.51317e-06-0j 0.000136018-0j -0.000137372-0j 0.000124167-0j -0.00465095-0j 2.00374e-06-0j 0.00469724-0j -0.00424572-0j -0.000149275-0j -2.02368e-06-0j -9.95166e-05-0j 1.82915e-06-0j 8.2083e-05-0j 8.87093e-05-0j 0.00510424-0j 0.00340283-0j -0.000126703-0j -2.19903e-06-0j -0.00280671-0j -0.00303329-0j -6.15728e-05-0j -1.46602e-06-0j 0.000249637-0j 1.2092e-06-0j 1.30681e-06-0j 0.00433241-0j 5.86429e-05-0j 0.00210539-0j -1.86651e-06-0j -0.00853597-0j 0.000306031-0j -9.07053e-07-0j -0.00200521-0j 3.6775e-06-0j 0.000178696-0j -0.0104643-0j 8.63892e-07-0j 4.50826e-06-0j -0.00611026-0j 2.63244e-06-0j 
-0.000531314-0j 0.000602221-0j -0.000379589-0j 0.000542164-0j -0.0010682-0j 0.00651671-0j -0.00715184-0j 0.00601056-0j -0.00607039-0j -0.00510952-0j 0.00397339-0j 0.0146621-0j 0.00420679-0j -0.0282354-0j -0.00452352-0j 0.0303612-0j 0.00368094-0j 0.00245396-0j -0.024706-0j -0.00371758-0j -0.0164707-0j 0.0249519-0j -0.00417218-0j 0.00151831-0j 0.0280031-0j 0.00229419-0j -0.0101907-0j -0.00265597-0j -0.0153983-0j 0.0178265-0j 0.0074005-0j -0.0496711-0j 0.00740868-0j -0.049726-0j -3.28447e-05-0j -0.0534084-0j -0.00663355-0j 3.48236e-05-0j 0.0566262-0j 0.00703322-0j -2.77646e-05-0j 2.8041e-05-0j -2.53455e-05-0j -0.0451477-0j -0.00560754-0j 0.0455971-0j -0.041214-0j 3.04706e-05-0j 0.00566336-0j 2.03137e-05-0j -0.00511896-0j -1.67551e-05-0j -1.81077e-05-0j 0.0495479-0j 0.0330319-0j 2.58631e-05-0j 0.00615407-0j -0.0272453-0j -0.0294447-0j 1.25685e-05-0j 0.00410271-0j -5.09569e-05-0j -0.00338399-0j -0.00365716-0j 0.0420556-0j -1.19704e-05-0j 0.0204375-0j 0.00522349-0j -0.0828604-0j -6.24683e-05-0j 0.00253842-0j -0.019465-0j -0.0102916-0j -3.64762e-05-0j -0.101579-0j -0.00241764-0j -0.0126166-0j -0.0593135-0j -0.007367-0j 
-3.09869e-05-0j -3.61514e-05-0j 6.57041e-05-0j 3.1125e-05-0j -1.30477e-05-0j 0.0007641-0j 0.000863142-0j -0.000693448-0j 0.000712056-0j -0.00183019-0j -0.000500557-0j 0.000162538-0j -2.54999e-06-0j -0.0101629-0j -2.82233e-06-0j -0.0112483-0j 2.19545e-06-0j -1.4875e-06-0j 0.00874993-0j -2.25437e-06-0j -0.00592839-0j -0.00898473-0j 2.56136e-06-0j 4.55742e-06-0j 0.0102083-0j -1.51849e-06-0j 0.0181635-0j 4.78012e-06-0j -0.00605189-0j 0.0190511-0j 9.24445e-07-0j 0.00368435-0j -2.45096e-07-0j -0.000976824-0j -1.91554e-06-0j 6.50868e-05-0j 0.0739693-0j -2.09046e-06-0j 7.10303e-05-0j 0.080724-0j 1.59329e-06-0j -1.63605e-06-0j -1.47818e-06-0j -5.41373e-05-0j -0.0615255-0j 5.559e-05-0j 5.0226e-05-0j 1.79981e-06-0j 0.0631765-0j -1.21944e-06-0j 0.0570805-0j -1.06701e-06-0j 3.13431e-06-0j -6.11545e-05-0j 4.14343e-05-0j 1.48477e-06-0j -0.0695004-0j 3.6255e-05-0j -0.000106498-0j 3.73613e-06-0j 0.047089-0j -6.22421e-07-0j 0.0412029-0j -0.121032-0j -5.04499e-05-0j 2.26246e-06-0j -0.000126947-0j -0.0573349-0j 2.11488e-05-0j 3.38921e-07-0j -0.144272-0j -7.68746e-05-0j 0.024035-0j -7.59433e-08-0j -1.1516e-05-0j -0.0873659-0j -0.0130876-0j 2.58042e-06-0j 0.00293258-0j 
3.1308e-05-0j -3.54862e-05-0j 2.23675e-05-0j -3.19473e-05-0j 6.29444e-05-0j -0.000772018-0j 0.000847261-0j -0.000712056-0j 0.000719144-0j 0.000605312-0j -0.000470718-0j -0.00173698-0j 2.57642e-06-0j 0.0102683-0j -2.7704e-06-0j -0.0110414-0j 2.25437e-06-0j 1.50291e-06-0j 0.00898473-0j -2.27681e-06-0j 0.00598982-0j -0.00907416-0j -2.55522e-06-0j 9.29879e-07-0j -0.0101838-0j 1.40506e-06-0j 0.00370601-0j -1.62663e-06-0j 0.00559984-0j -0.0064829-0j 4.53238e-06-0j 0.0180637-0j 4.53739e-06-0j 0.0180837-0j 1.93539e-06-0j -6.57613e-05-0j -0.0747359-0j -2.052e-06-0j 6.97234e-05-0j 0.0792387-0j 1.63605e-06-0j -1.65233e-06-0j 1.4935e-06-0j -5.559e-05-0j -0.0631765-0j 5.61433e-05-0j -5.07465e-05-0j -1.7955e-06-0j 0.0638053-0j -1.197e-06-0j -0.057672-0j 9.87305e-07-0j 1.06701e-06-0j 6.10079e-05-0j 4.0672e-05-0j -1.52399e-06-0j 0.0693339-0j -3.35469e-05-0j -3.6255e-05-0j -7.40605e-07-0j 0.0462226-0j 3.00266e-06-0j -0.0381251-0j -0.0412029-0j 5.17827e-05-0j 7.05365e-07-0j 2.51645e-05-0j 0.0588496-0j -0.000102025-0j 3.68098e-06-0j 0.0285988-0j -2.39671e-05-0j -0.115949-0j 2.14938e-06-0j -0.000125073-0j -0.0272379-0j -0.142142-0j -7.30323e-05-0j -0.0829992-0j 
0.0183183-0j -0.0426294-0j 0.0130873-0j 0.0187-0j 0.00771334-0j 0.00235007-0j 0.00265469-0j -0.0043236-0j -0.0043684-0j 0.0018966-0j 0.00156462-0j 0.000499903-0j 0.00150747-0j 0.000217584-0j 0.00166846-0j 0.000240821-0j 0.00131903-0j -0.00438744-0j 0.000190386-0j 0.0013327-0j -0.000633273-0j 0.000192359-0j -0.00306958-0j 0.000544073-0j -0.000443056-0j -0.00179059-0j 7.85302e-05-0j 0.000952128-0j -0.000258449-0j 0.000137428-0j 0.000555408-0j 8.01662e-05-0j 0.000144892-0j 2.09133e-05-0j 0.0011324-0j 0.000200182-0j 1.66818e-05-0j 0.00123581-0j 0.000218462-0j 1.82051e-05-0j 0.000957251-0j 0.000967171-0j -0.00174306-0j 0.00016922-0j 1.41016e-05-0j 0.000170973-0j -0.000308132-0j 0.00108133-0j 1.42478e-05-0j -0.00359679-0j -2.56777e-05-0j 0.000630776-0j -0.0012453-0j 0.000191154-0j -0.000635828-0j -0.00177937-0j 1.59295e-05-0j 0.000111507-0j -0.00022014-0j 0.000446026-0j -5.29857e-05-0j -0.000733954-0j 9.29221e-06-0j -1.8345e-05-0j -0.000314552-0j 0.000450648-0j 7.8847e-05-0j -2.62126e-05-0j -0.000129746-0j 0.000203625-0j 6.57058e-06-0j 7.96641e-05-0j -1.08122e-05-0j 4.4895e-05-0j 3.59961e-05-0j 6.63867e-06-0j 2.99967e-06-0j 7.93639e-06-0j 6.61366e-07-0j 
-0.0226678-0j -0.000376424-0j 0.0480644-0j -0.0221207-0j 0.0280909-0j -0.00290807-0j -4.67583e-05-0j 0.00263918-0j 0.00263285-0j 9.91455e-05-0j -0.00372877-0j 0.00243037-0j -0.00186539-0j -0.000269246-0j -2.93873e-05-0j -4.2417e-06-0j 0.00160604-0j -0.00108815-0j 0.000231811-0j 0.00160219-0j -0.00015706-0j 0.000231256-0j 2.66701e-05-0j 0.00333388-0j 3.84949e-06-0j 0.0021742-0j 0.000481204-0j -0.00339725-0j 0.000313818-0j -0.000490351-0j -0.00199027-0j -0.000287271-0j 0.00088116-0j 0.000127184-0j -0.00140127-0j -0.000247712-0j -2.06427e-05-0j -2.17668e-05-0j -3.84787e-06-0j -3.20656e-07-0j 0.00116554-0j 0.00116274-0j -0.00108133-0j 0.00020604-0j 1.717e-05-0j 0.000205546-0j -0.000191154-0j 1.87405e-05-0j 1.71288e-05-0j -1.26973e-05-0j -1.59295e-05-0j 0.00152776-0j 0.00229283-0j 3.31288e-06-0j -2.24459e-06-0j -0.00105523-0j 2.76073e-07-0j 0.000270072-0j 0.00040532-0j 3.89023e-05-0j -1.87049e-07-0j 0.00134003-0j 2.2506e-05-0j 3.37766e-05-0j -0.00018654-0j -0.00323944-0j 6.87701e-06-0j -1.5545e-05-0j 0.000236886-0j -0.000974077-0j 5.73084e-07-0j -0.000572657-0j 1.97405e-05-0j 0.000327793-0j -0.000172194-0j -4.77214e-05-0j -1.43495e-05-0j 5.79462e-05-0j 4.82885e-06-0j 
0.0132229-0j -0.0301946-0j 0.00944688-0j 0.012362-0j 0.00647857-0j 0.00169637-0j -0.00375069-0j 0.00156462-0j 0.00144775-0j -0.00267962-0j 0.00437294-0j -0.00467538-0j 0.00108815-0j 0.00015706-0j -0.00235729-0j -0.000340245-0j 0.000952128-0j 0.000634752-0j 0.000137428-0j 0.000881007-0j 9.16185e-05-0j 0.000127162-0j -0.0021742-0j 0.000392733-0j -0.000313818-0j 0.00250891-0j 5.66861e-05-0j 0.000629422-0j 0.000362129-0j 9.08492e-05-0j 0.000466497-0j 6.7333e-05-0j -0.00462658-0j -0.000667789-0j 0.000817409-0j 0.000144499-0j 1.20416e-05-0j -0.00174601-0j -0.000308654-0j -2.57212e-05-0j 0.000690981-0j 0.000639367-0j 0.000630776-0j 0.000122149-0j 1.01791e-05-0j 0.000113025-0j 0.000111507-0j -0.00152776-0j 9.41876e-06-0j -0.00101851-0j 9.29221e-06-0j 0.00176295-0j 0.000450648-0j -0.000270072-0j -0.000180048-0j 0.000589708-0j -2.2506e-05-0j 0.000311649-0j 7.96641e-05-0j -0.000630169-0j -1.5004e-05-0j 0.00030905-0j 2.59707e-05-0j 6.63867e-06-0j 0.000104247-0j 0.00125951-0j -0.000111399-0j 8.68721e-06-0j 5.46328e-05-0j -0.00190441-0j -9.28327e-06-0j 0.000222653-0j 4.55274e-06-0j -0.00318956-0j -0.000336656-0j 1.85544e-05-0j -2.80546e-05-0j -0.00056384-0j -4.69867e-05-0j 
-0.00295611-0j 0.00687929-0j -0.00211195-0j -0.00301769-0j -0.00124474-0j 0.0179391-0j 0.0202644-0j -0.0330038-0j -0.0333458-0j 0.0144776-0j 0.0119434-0j 0.00381597-0j -0.000243266-0j 0.00335693-0j -0.000269246-0j 0.00371544-0j -0.000212858-0j 0.000708021-0j 0.00293731-0j -0.000215064-0j -0.00977027-0j 0.00296775-0j 0.000495351-0j -8.77994e-05-0j -0.00683555-0j 0.000288955-0j 0.00121158-0j -0.000153649-0j -0.0039874-0j 0.00212026-0j -8.96286e-05-0j 0.00123682-0j -2.33818e-05-0j 0.000322655-0j -0.00018274-0j 0.00152807-0j 0.000387402-0j -0.000199427-0j 0.00166761-0j 0.000422778-0j -0.000154476-0j -0.000156077-0j 0.000281285-0j 0.00129172-0j 0.000327482-0j 0.00130511-0j -0.0023521-0j -0.000174499-0j 0.000330876-0j 0.000580429-0j -0.000596313-0j -0.000101791-0j 0.00020096-0j 0.00145916-0j -0.00485354-0j 0.000287145-0j 0.000369931-0j 0.000851175-0j -0.00168042-0j -7.19771e-05-0j -0.00123049-0j 0.000118441-0j 0.000215793-0j -0.000426026-0j -0.0024011-0j -7.2723e-05-0j 0.000601872-0j -0.000608736-0j -0.000990404-0j -3.28598e-05-0j 0.000152589-0j 0.000608109-0j -0.000251091-0j -7.2449e-06-0j 0.000274773-0j 0.00015417-0j 6.96614e-05-0j 6.05817e-05-0j 1.53589e-05-0j 
-0.00241365-0j 0.00561692-0j -0.0017244-0j -0.00246394-0j -0.00101632-0j -0.00030965-0j -0.000349786-0j 0.000569684-0j 0.000575587-0j -0.000249899-0j -0.000206157-0j -6.5868e-05-0j 0.0191106-0j -2.86692e-05-0j 0.0211516-0j -3.1731e-05-0j 0.0167218-0j -0.055621-0j -2.50855e-05-0j 0.0168951-0j 8.34411e-05-0j -2.53455e-05-0j -0.038914-0j 0.00689738-0j 5.83777e-05-0j -0.0226998-0j -1.03473e-05-0j 0.0120704-0j 3.40537e-05-0j -1.81077e-05-0j 0.00704108-0j -1.05628e-05-0j 0.00183684-0j -2.75557e-06-0j 0.0217454-0j 0.00253777-0j -2.19802e-06-0j 0.0237311-0j 0.00276951-0j -2.39874e-06-0j 0.018382-0j 0.0185725-0j -0.0334719-0j 0.00214525-0j -1.85805e-06-0j 0.00216748-0j -0.00390629-0j 0.0207647-0j -1.87731e-06-0j -0.0690689-0j 3.38333e-06-0j 0.0121128-0j -0.0239134-0j 0.00242332-0j -0.00806059-0j -0.0341692-0j -2.0989e-06-0j 0.0014136-0j -0.00279078-0j 0.00856501-0j 6.98148e-06-0j -0.0140941-0j -1.22436e-06-0j 2.41717e-06-0j -0.00398767-0j 0.00865377-0j 0.000999568-0j 3.45382e-06-0j -0.00164483-0j 0.00391019-0j -8.6575e-07-0j 0.00100993-0j 1.42463e-06-0j 0.000862116-0j 0.000456333-0j -8.74722e-07-0j -3.95242e-07-0j 0.000100612-0j -8.71426e-08-0j 
0.003658-0j 6.07452e-05-0j -0.00775636-0j 0.00356971-0j -0.00453315-0j -0.0221985-0j -0.000356926-0j 0.0201459-0j 0.0200976-0j 0.000756819-0j -0.0284632-0j 0.018552-0j 0.000301027-0j -0.00415399-0j 4.74236e-06-0j -6.54418e-05-0j -0.000259173-0j 0.000175599-0j 0.00357643-0j -0.000258552-0j -0.00242316-0j 0.00356786-0j -4.30386e-06-0j -0.000538003-0j 5.93907e-05-0j -0.00035086-0j 0.00742412-0j 0.000548229-0j 0.00484166-0j -0.00756523-0j 0.000321178-0j -0.00443207-0j -0.000142197-0j 0.00196223-0j 0.000226129-0j -0.00189089-0j -0.000479385-0j 3.51261e-06-0j -2.93724e-05-0j -7.44658e-06-0j -0.000188088-0j -0.000187637-0j 0.000174499-0j 0.00157279-0j 0.000398738-0j 0.00156902-0j -0.00145916-0j -3.02423e-06-0j 0.000397783-0j 2.04902e-06-0j -0.000369931-0j -0.000246541-0j -0.000370005-0j 2.52886e-05-0j -1.71339e-05-0j 0.000170287-0j 6.41124e-06-0j 0.00206158-0j 0.00309397-0j -6.27783e-06-0j -4.34384e-06-0j -0.000216247-0j 0.000522658-0j 0.000784395-0j -0.00142394-0j 0.000522762-0j 5.24951e-05-0j -0.000361002-0j 0.00180825-0j 0.000157191-0j 1.33087e-05-0j -0.00437133-0j 0.000458434-0j -5.28974e-05-0j -0.00131443-0j -0.00110823-0j -0.000333239-0j 0.000442327-0j 0.00011214-0j 
0.000348381-0j -0.000810733-0j 0.000248895-0j 0.000355639-0j 0.000146693-0j -0.00427298-0j -0.00482684-0j 0.0078613-0j 0.00794276-0j -0.00344846-0j -0.00284484-0j -0.000908939-0j 2.86692e-05-0j 0.0185139-0j 3.1731e-05-0j 0.0204911-0j 2.50855e-05-0j -8.34411e-05-0j 0.0161996-0j 2.53455e-05-0j -0.0538842-0j 0.0163675-0j -5.83777e-05-0j 1.03473e-05-0j -0.0376989-0j -3.40537e-05-0j 0.006682-0j 1.81077e-05-0j -0.021991-0j 0.0116935-0j 1.05628e-05-0j 0.00682121-0j 2.75557e-06-0j 0.00177948-0j -0.00313868-0j -0.000363977-0j 0.0043496-0j -0.00342529-0j -0.000397214-0j 0.00474679-0j -0.00265322-0j -0.00268071-0j 0.00483125-0j -0.000307681-0j 0.00367684-0j -0.000310869-0j 0.000560255-0j -0.00299713-0j 0.00371495-0j 0.00996924-0j -0.00669517-0j -0.00174833-0j 0.00345161-0j -0.000347562-0j 0.00115608-0j 0.0049319-0j 0.00415344-0j -0.000202745-0j 0.000400266-0j -0.00123625-0j -0.0138154-0j 0.0020343-0j 0.00242284-0j -0.00478326-0j 0.000571927-0j -0.00124906-0j -0.000143362-0j -0.00683465-0j 0.000235908-0j -0.000564387-0j 0.00171321-0j -0.000144848-0j -0.00281915-0j -0.000124436-0j -6.54492e-05-0j 0.00173096-0j 0.000782131-0j -1.44302e-05-0j 0.000172444-0j 
-0.00213383-0j 0.00487264-0j -0.00152448-0j -0.0019949-0j -0.00104548-0j 0.0129491-0j -0.0286306-0j 0.0119434-0j 0.0110512-0j -0.0204547-0j 0.0333805-0j -0.0356891-0j -0.000175599-0j 0.00242316-0j 0.000380405-0j -0.00524937-0j -0.000153649-0j -0.000102433-0j 0.00212026-0j -0.000142172-0j 0.00141351-0j 0.00196189-0j 0.00035086-0j -6.3377e-05-0j -0.00484166-0j -0.000404873-0j 0.000874564-0j -0.000101572-0j 0.00558701-0j 0.00140164-0j -7.52806e-05-0j 0.00103883-0j 0.000746611-0j -0.0103028-0j -0.000131909-0j 0.00110302-0j 0.000279641-0j 0.000281762-0j -0.00235609-0j -0.000597323-0j -0.000111507-0j -0.000103177-0j -0.000101791-0j 0.000932416-0j 0.000236389-0j 0.000862767-0j 0.000851175-0j 0.000246541-0j 0.000218732-0j 0.000164361-0j 0.000215793-0j -0.000284495-0j -7.2723e-05-0j -0.00206158-0j -0.00137438-0j -9.51636e-05-0j -0.000522658-0j 0.00237895-0j 0.000608109-0j 0.000101693-0j -0.000348438-0j -4.98727e-05-0j 0.000603118-0j 0.00015417-0j 0.000795757-0j -0.000203253-0j -0.000850356-0j 0.000201743-0j 0.000417035-0j 0.000307323-0j -0.000215585-0j 0.0016996-0j 0.000105728-0j 0.000514713-0j -0.00256983-0j 0.000430889-0j -0.000651513-0j -0.00430402-0j -0.00109117-0j 
0.000301707-0j -0.000702115-0j 0.00021555-0j 0.000307992-0j 0.00012704-0j -0.0018309-0j -0.00206822-0j 0.00336844-0j 0.00340334-0j -0.00147761-0j -0.00121897-0j -0.000389466-0j -0.00480248-0j -0.000342615-0j -0.00531537-0j -0.000379205-0j -0.00420217-0j 0.0139775-0j -0.000299788-0j -0.00424572-0j 0.000997174-0j -0.000302895-0j 0.00977905-0j -0.00173331-0j 0.000697651-0j 0.00570445-0j -0.000123656-0j -0.00303329-0j 0.000406963-0j -0.000216399-0j -0.00176942-0j -0.000126232-0j -0.000461596-0j -3.29309e-05-0j 1.86508e-05-0j 0.0301667-0j -3.9539e-05-0j 2.0354e-05-0j 0.0329214-0j -4.31496e-05-0j 1.57661e-05-0j 1.59295e-05-0j -2.87085e-05-0j 0.0255008-0j -3.34235e-05-0j 0.025765-0j -0.0464344-0j 1.78097e-05-0j -3.37699e-05-0j -5.92398e-05-0j 6.08609e-05-0j 1.0389e-05-0j -2.05104e-05-0j 0.0288062-0j -0.0958169-0j -2.93066e-05-0j -3.77559e-05-0j 0.0168036-0j -0.0331743-0j 7.34614e-06-0j 0.000125586-0j -1.20884e-05-0j -2.20243e-05-0j 4.34811e-05-0j -0.0474017-0j 7.42226e-06-0j 0.011882-0j 6.21288e-05-0j -0.0195522-0j 3.35374e-06-0j -1.55735e-05-0j 0.0120051-0j 2.56268e-05-0j 7.39429e-07-0j 0.00542447-0j -1.57349e-05-0j -7.10978e-06-0j 0.00119598-0j -1.56756e-06-0j 
0.00298674-0j 4.95983e-05-0j -0.00633304-0j 0.00291465-0j -0.0037013-0j 0.000383172-0j 6.16095e-06-0j -0.000347742-0j -0.000346909-0j -1.30636e-05-0j 0.000491308-0j -0.000320229-0j -0.0236482-0j 3.54763e-05-0j -0.000372552-0j 5.58893e-07-0j 0.0203602-0j -0.0137948-0j -3.05438e-05-0j 0.0203114-0j 2.06945e-05-0j -3.04706e-05-0j 0.000338104-0j 0.0422646-0j -5.07215e-07-0j 0.027563-0j -6.34042e-05-0j -0.043068-0j -4.13492e-05-0j 6.46094e-05-0j -0.0252313-0j 3.78512e-05-0j 0.0111707-0j -1.6758e-05-0j -0.0269086-0j -0.00314032-0j 2.71991e-06-0j -0.000417987-0j -4.87806e-05-0j 4.22501e-08-0j 0.0223817-0j 0.0223281-0j -0.0207647-0j 0.00261203-0j -2.26234e-06-0j 0.00260577-0j -0.00242332-0j 0.000359872-0j -2.25692e-06-0j -0.000243826-0j 2.0989e-06-0j 0.0293375-0j 0.0440292-0j 4.19983e-05-0j -2.84554e-05-0j -0.0202635-0j -3.63758e-08-0j 0.00342379-0j 0.00513836-0j 0.000747038-0j 2.46459e-08-0j 0.0257325-0j -2.96543e-06-0j -4.45046e-06-0j -0.00236483-0j -0.0622067-0j 8.7182e-05-0j 2.04824e-06-0j 0.00300308-0j -0.0187051-0j -7.55105e-08-0j -0.00725975-0j -2.60104e-06-0j 0.00629459-0j -0.00218296-0j 6.28785e-06-0j 1.89071e-06-0j 0.000734601-0j -6.36256e-07-0j 
-3.55565e-05-0j 8.2745e-05-0j -2.54028e-05-0j -3.62972e-05-0j -1.49718e-05-0j 0.000656445-0j 0.000741533-0j -0.00120771-0j -0.00122022-0j 0.000529777-0j 0.000437044-0j 0.000139638-0j 0.000281526-0j -0.00579024-0j 0.000311592-0j -0.00640862-0j 0.000246335-0j -0.000819374-0j -0.00506646-0j 0.000248888-0j 0.0168524-0j -0.00511896-0j -0.000573257-0j 0.000101608-0j 0.0117904-0j -0.0003344-0j -0.00208981-0j 0.000177814-0j 0.00687773-0j -0.00365716-0j 0.000103725-0j -0.00213335-0j 2.70592e-05-0j -0.000556536-0j -2.19802e-06-0j -0.00537996-0j 0.0205488-0j -2.39874e-06-0j -0.00587124-0j 0.0224253-0j -1.85805e-06-0j -1.87731e-06-0j 3.38333e-06-0j -0.00454784-0j 0.0173705-0j -0.00459497-0j 0.00828117-0j -2.0989e-06-0j 0.0175505-0j 6.98148e-06-0j -0.03163-0j -1.22436e-06-0j 2.41717e-06-0j -0.00513734-0j 0.0170881-0j 3.45382e-06-0j 0.0196221-0j -0.00299678-0j 0.00591635-0j -8.6575e-07-0j -0.0652682-0j 1.42463e-06-0j 0.0114462-0j -0.0225976-0j 0.00845369-0j -8.74722e-07-0j -0.00211904-0j -0.0322889-0j 0.00348697-0j -3.95242e-07-0j 0.0080937-0j -0.002141-0j -0.0133185-0j -8.71426e-08-0j -0.000967408-0j 0.00817758-0j 0.00369502-0j -0.000213293-0j 0.000814676-0j 
-0.000431099-0j -7.15889e-06-0j 0.000914095-0j -0.000420694-0j 0.000534237-0j 0.00528754-0j 8.50174e-05-0j -0.00479863-0j -0.00478713-0j -0.00018027-0j 0.00677976-0j -0.00441897-0j -3.54763e-05-0j -0.0229097-0j -5.58893e-07-0j -0.000360919-0j 3.05438e-05-0j -2.06945e-05-0j 0.0197244-0j 3.04706e-05-0j -0.013364-0j 0.0196772-0j 5.07215e-07-0j 6.34042e-05-0j 0.000327547-0j 4.13492e-05-0j 0.0409449-0j -6.46094e-05-0j 0.0267023-0j -0.0417231-0j -3.78512e-05-0j -0.0244434-0j 1.6758e-05-0j 0.0108219-0j 0.00388392-0j 0.000450398-0j -0.00538235-0j 6.03312e-05-0j 6.99631e-06-0j -8.36074e-05-0j -0.00323053-0j -0.00322278-0j 0.00299713-0j -0.000374628-0j 0.00447688-0j -0.00037373-0j 0.000347562-0j -5.1943e-05-0j 0.00446615-0j 3.51932e-05-0j -0.00415344-0j -0.0042345-0j -0.00635506-0j -6.02357e-06-0j 4.08118e-06-0j 0.00292479-0j 7.19829e-05-0j -0.000491054-0j -0.000736965-0j -0.000107826-0j -4.8771e-05-0j -0.00371417-0j 0.0058682-0j 0.00880688-0j 0.000339173-0j 0.00897877-0j -1.2504e-05-0j -0.00405319-0j -0.000430714-0j 0.00269986-0j 0.000149425-0j 0.00104122-0j 0.00514712-0j -0.000908546-0j 0.000313089-0j -0.0124428-0j -0.00374147-0j -0.00010536-0j 0.00125907-0j 
-0.00174227-0j 0.00397849-0j -0.00124474-0j -0.00162883-0j -0.000853627-0j -0.000223517-0j 0.000494197-0j -0.000206157-0j -0.000190757-0j 0.000353071-0j -0.000576186-0j 0.000616035-0j 0.0137948-0j -2.06945e-05-0j -0.029884-0j 4.48312e-05-0j 0.0120704-0j 0.00804694-0j -1.81077e-05-0j 0.0111688-0j -1.20718e-05-0j -1.67551e-05-0j -0.027563-0j 0.00497879-0j 4.13492e-05-0j 0.0318062-0j -7.46905e-06-0j 0.00797937-0j -4.77147e-05-0j -1.19704e-05-0j 0.00591392-0j -8.8719e-06-0j -0.0586526-0j 8.7989e-05-0j 0.0156967-0j 0.00183186-0j -1.58662e-06-0j -0.0335286-0j -0.0039129-0j 3.38906e-06-0j 0.0132689-0j 0.0122777-0j 0.0121128-0j 0.00154852-0j -1.34121e-06-0j 0.00143285-0j 0.0014136-0j -0.0293375-0j -1.24103e-06-0j -0.0195583-0j -1.22436e-06-0j 0.0338539-0j 0.00865377-0j -0.00342379-0j -0.00228253-0j 0.0113241-0j 2.96543e-06-0j 0.00395087-0j 0.00100993-0j -0.0121011-0j 1.97695e-06-0j 0.00593467-0j -3.42195e-06-0j -8.74722e-07-0j 0.00132157-0j 0.0241864-0j -0.00141224-0j -1.14464e-06-0j 0.000692597-0j -0.0365703-0j 1.22318e-06-0j 0.00282264-0j -5.99876e-07-0j -0.0612489-0j -0.00426789-0j -2.44476e-06-0j 3.69652e-06-0j -0.00714797-0j 6.19104e-06-0j 
