-0.00386104-0j -0.000682542-0j -5.68785e-05-0j -0.00335725-0j -0.000559542-0j -0.000342648-0j -6.99427e-05-0j -4.12141e-06-0j -0.00211001-0j -0.00213188-0j -0.000340502-0j -0.00034403-0j -0.000278018-0j -4.01285e-05-0j -0.0002809-0j -3.47523e-05-0j -4.05444e-05-0j -4.0956e-06-0j -3.51124e-05-0j -1.86938e-07-0j -4.13804e-06-0j -1.88875e-07-0j -0.00156286-0j -0.00193394-0j -0.00112813-0j -0.00024711-0j -0.000305783-0j -0.000195357-0j -0.000178373-0j -0.000130238-0j -2.81974e-05-0j -0.000241742-0j -3.25596e-05-0j -0.000161162-0j -3.48925e-05-0j -0.000141016-0j -1.15115e-05-0j -9.4011e-05-0j -2.7133e-06-0j -2.0354e-05-0j -2.87789e-06-0j -4.02904e-05-0j -1.42448e-05-0j -2.39824e-07-0j -2.35027e-05-0j -3.35753e-06-0j -3.5612e-06-0j -8.30947e-06-0j -8.93771e-09-0j -1.95856e-06-0j -2.07737e-06-0j -2.96767e-07-0j -1.73114e-07-0j -1.10598e-08-0j -6.45158e-09-0j 
7.78841e-06-0j 0.0126646-0j 0.001573-0j 6.77217e-06-0j -0.000107909-0j -0.000133694-0j -0.0607333-0j 0.000229558-0j -0.00104985-0j -0.00106073-0j -6.56666e-05-0j -6.63471e-05-0j -5.39581e-05-0j 0.000362159-0j -5.45172e-05-0j 0.00129637-0j 0.000365912-0j -0.0108978-0j 0.0013098-0j 1.74141e-05-0j -0.0110107-0j 1.75946e-05-0j 3.15257e-06-0j 3.9011e-06-0j 2.27564e-06-0j 0.0117547-0j 0.0145458-0j -3.79151e-05-0j 0.00848502-0j 2.62714e-07-0j 0.000254481-0j -4.69176e-05-0j 0.000604146-0j 3.25092e-07-0j 0.000314904-0j -2.73686e-05-0j -6.74895e-06-0j 1.89637e-07-0j 7.50376e-05-0j 0.000183694-0j -0.00502388-0j 0.000747593-0j -8.3514e-06-0j -0.00128522-0j 0.000436096-0j 9.28544e-05-0j -0.00621673-0j -4.87165e-06-0j 1.25149e-06-0j 5.4165e-05-0j -0.00362643-0j -0.00159037-0j -0.000927718-0j 1.54864e-06-0j 9.03372e-07-0j 
0.0071789-0j 0.000837803-0j -7.25642e-07-0j 0.00839002-0j 0.00104037-0j 0.000845555-0j 8.58529e-05-0j -5.258e-08-0j -2.6919e-05-0j -2.7198e-05-0j 0.000850939-0j 0.000859757-0j -0.0497354-0j 7.46116e-05-0j -0.0502508-0j 8.57585e-05-0j 7.53848e-05-0j 5.02724e-06-0j 8.66472e-05-0j -2.38491e-09-0j 5.07934e-06-0j -2.40962e-09-0j -1.99386e-05-0j -2.46727e-05-0j -1.43924e-05-0j -3.15257e-06-0j -3.9011e-06-0j -0.0469729-0j -2.27564e-06-0j 0.00048597-0j 7.04674e-05-0j -0.058126-0j -0.00582466-0j 0.000601357-0j 8.7199e-05-0j -0.0339068-0j 4.26841e-05-0j 0.000350792-0j 5.04488e-06-0j 5.08661e-05-0j 7.10178e-06-0j -0.00720764-0j 5.28189e-05-0j 2.94378e-07-0j -0.00420446-0j 6.24272e-06-0j 8.78801e-06-0j 3.0811e-05-0j -1.14025e-10-0j 3.64159e-06-0j 5.12634e-06-0j 3.64274e-07-0j 2.12493e-07-0j -1.41099e-10-0j -8.23077e-11-0j 
-4.58936e-07-0j 1.55939e-05-0j 0.017722-0j -3.99054e-07-0j 1.27837e-05-0j -4.07283e-08-0j -0.000229558-0j -0.0587827-0j 6.1863e-05-0j 6.25041e-05-0j 7.77936e-06-0j 7.85998e-06-0j -3.30462e-08-0j -0.000131705-0j -3.33887e-08-0j 7.93978e-07-0j -0.00013307-0j 0.00127609-0j 8.02205e-07-0j -0.0139198-0j 0.00128932-0j -0.0140641-0j -1.85767e-07-0j -2.29875e-07-0j -1.34094e-07-0j -0.00139255-0j -0.0017232-0j -2.32208e-08-0j -0.0010052-0j -1.54806e-08-0j -9.25462e-05-0j -2.87343e-08-0j 7.43881e-07-0j -1.91562e-08-0j -0.00011452-0j -1.67617e-08-0j -1.3683e-09-0j -1.11745e-08-0j 0.0008454-0j -6.68034e-05-0j -9.44546e-06-0j 9.20505e-07-0j -1.69319e-09-0j -0.00342055-0j 5.36961e-07-0j 0.00104613-0j -1.16882e-05-0j -9.87692e-10-0j -0.00202486-0j 0.000610242-0j -6.81809e-06-0j -0.00423272-0j -0.00246908-0j -0.00250564-0j -0.00146162-0j 
0.0083274-0j -3.3516e-06-0j -2.793e-07-0j -1.64857e-05-0j 0.00120681-0j -1.68256e-06-0j -3.43451e-07-0j -2.02381e-08-0j -1.03611e-05-0j -1.04685e-05-0j -1.67202e-06-0j -1.68935e-06-0j 0.000599623-0j 8.65482e-05-0j 0.000605837-0j -1.7065e-07-0j 8.74451e-05-0j -2.01113e-08-0j -1.72418e-07-0j -9.17951e-10-0j -2.03197e-08-0j -9.27463e-10-0j -7.67436e-06-0j -9.49654e-06-0j -5.53965e-06-0j -1.21342e-06-0j -1.50154e-06-0j -9.59296e-07-0j -8.75895e-07-0j -0.0820623-0j -1.38462e-07-0j -1.18707e-06-0j 7.02237e-05-0j -0.101547-0j -1.71338e-07-0j -6.92456e-07-0j -5.6527e-08-0j -0.0592357-0j 5.85197e-06-0j -9.99474e-08-0j -1.41318e-08-0j 8.68974e-05-0j -6.99486e-08-0j -1.17765e-09-0j 5.06901e-05-0j 7.24145e-06-0j -1.74872e-08-0j -4.08034e-08-0j -4.38883e-11-0j 4.22418e-06-0j -1.02008e-08-0j -1.45726e-09-0j -8.5007e-10-0j -5.4309e-11-0j -3.16802e-11-0j 
-0.00103618-0j -0.000120161-0j 0.00143595-0j -0.00121099-0j 0.0143564-0j 6.3096e-07-0j 0.000576233-0j 0.000209556-0j 3.88543e-06-0j 3.92569e-06-0j 0.0117425-0j 0.0118641-0j -7.46116e-05-0j -0.0481823-0j -7.53848e-05-0j -6.11813e-06-0j -0.0486816-0j 0.000103397-0j -6.18153e-06-0j 1.58968e-05-0j 0.000104469-0j 1.60616e-05-0j 2.87789e-06-0j 3.5612e-06-0j 2.07737e-06-0j -4.35035e-05-0j -5.38329e-05-0j -7.04674e-05-0j -3.14025e-05-0j -7.01437e-05-0j -0.0455061-0j -8.7199e-05-0j 0.000835396-0j -8.67984e-05-0j -0.0563109-0j -5.08661e-05-0j 2.11976e-08-0j -5.06324e-05-0j -0.00998315-0j -0.0328481-0j 2.37099e-05-0j 0.00103375-0j 2.62307e-08-0j 1.2194e-05-0j 0.000603021-0j -0.0123535-0j 2.93395e-05-0j 1.53013e-08-0j 1.14245e-06-0j -0.00720622-0j 1.71147e-05-0j 1.50893e-05-0j 8.80212e-06-0j 1.41371e-06-0j 8.24662e-07-0j 
6.15728e-06-0j 0.00995904-0j -1.30532e-05-0j -0.00104875-0j -4.22086e-05-0j 0.0101162-0j 0.00206266-0j -1.2633e-06-0j 3.36488e-06-0j 3.39975e-06-0j 0.00503145-0j 0.00508359-0j -8.57585e-05-0j -6.11813e-06-0j -8.66472e-05-0j -0.0485328-0j -6.18153e-06-0j 0.000181805-0j -0.0490358-0j -7.17e-08-0j 0.000183689-0j -7.2443e-08-0j 2.49232e-06-0j 3.08409e-06-0j 1.79905e-06-0j -1.86406e-05-0j -2.30665e-05-0j 0.0118043-0j -1.34555e-05-0j 2.07694e-07-0j 0.000842131-0j 0.014607-0j 0.00047508-0j 2.57008e-07-0j 0.00104208-0j 0.00852076-0j 0.00103025-0j 1.49921e-07-0j -6.22681e-07-0j 0.000607882-0j -0.0081231-0j 0.000587882-0j 0.00127487-0j 1.42191e-05-0j 0.000342931-0j -7.70528e-07-0j -0.0100518-0j 0.000743676-0j -4.11652e-09-0j -4.49475e-07-0j -0.00586357-0j 1.75953e-05-0j 1.02639e-05-0j -5.09394e-09-0j -2.97146e-09-0j 
-0.00169789-0j 0.00467047-0j -1.23067e-05-0j 5.04768e-06-0j 0.0116392-0j -9.96496e-05-0j 0.000967319-0j -1.19105e-06-0j 3.17244e-06-0j 3.20531e-06-0j -2.42165e-05-0j -2.44675e-05-0j 0.011763-0j 0.00168709-0j 0.0118849-0j 0.000478074-0j 0.00170457-0j 8.52604e-05-0j 0.000483029-0j -6.75994e-08-0j 8.6144e-05-0j -6.83e-08-0j 2.34978e-06-0j 2.90771e-06-0j 1.69616e-06-0j -1.75745e-05-0j -2.17473e-05-0j -2.82603e-05-0j -1.26859e-05-0j 0.00831811-0j -4.0532e-06-0j -3.49703e-05-0j -0.0651637-0j 0.0102931-0j -5.01558e-06-0j -2.03993e-05-0j -5.03037e-06-0j 0.00600433-0j 0.000171706-0j -2.92576e-06-0j 8.0017e-05-0j -0.080636-0j -6.22477e-06-0j 6.6683e-06-0j -0.0470377-0j 0.000212475-0j 9.90159e-05-0j -3.63111e-06-0j -3.8811e-09-0j 0.000123944-0j 5.77593e-05-0j 8.2516e-06-0j 4.81343e-06-0j -4.80261e-09-0j -2.80152e-09-0j 
-7.25642e-07-0j -0.00177611-0j 0.00678386-0j 0.000123597-0j 1.51333e-05-0j 1.24562e-05-0j 0.0173395-0j 0.0020304-0j -3.96555e-07-0j -4.00664e-07-0j -0.00180396-0j -0.00182265-0j 5.02724e-06-0j -0.000103397-0j 5.07934e-06-0j -0.000181805-0j -0.000104469-0j -0.0469986-0j -0.000183689-0j 0.000232669-0j -0.0474856-0j 0.00023508-0j -2.93723e-07-0j -3.63464e-07-0j -2.12021e-07-0j 6.68331e-06-0j 8.27018e-06-0j -0.000691976-0j 4.82427e-06-0j -2.44769e-08-0j 0.0142321-0j -0.000856277-0j -8.47264e-05-0j -3.02886e-08-0j 0.0176114-0j -0.000499495-0j 6.28797e-07-0j -1.76684e-08-0j 0.000323613-0j 0.0102733-0j 0.00143433-0j -0.000104844-0j 7.78096e-07-0j -0.0113675-0j -6.11588e-05-0j 0.000400451-0j 0.00177489-0j 4.53889e-07-0j 2.23649e-05-0j 0.000233596-0j 0.00103535-0j -0.0140666-0j -0.0082055-0j 2.76752e-05-0j 1.61439e-05-0j 
-0.000423021-0j -0.00014913-0j 4.27589e-08-0j 2.52384e-06-0j -6.13041e-05-0j 0.0144561-0j -1.5282e-05-0j 3.09831e-09-0j 1.58622e-06-0j 1.60266e-06-0j 2.55975e-07-0j 2.58628e-07-0j 0.00885297-0j -4.39653e-06-0j 0.00894472-0j 0.00146618-0j -4.44209e-06-0j -8.94857e-07-0j 0.00148138-0j 1.40532e-10-0j -9.04131e-07-0j 1.41988e-10-0j 1.17489e-06-0j 1.45386e-06-0j 8.48082e-07-0j 1.85767e-07-0j 2.29875e-07-0j -4.26841e-05-0j 1.34094e-07-0j -2.86361e-05-0j 2.11976e-08-0j -5.28189e-05-0j 0.0010368-0j -3.54353e-05-0j 2.62307e-08-0j -3.0811e-05-0j -0.0462388-0j -2.06706e-05-0j -2.97272e-07-0j 1.53013e-08-0j 0.000121417-0j 0.00128297-0j -0.0572176-0j -5.23997e-08-0j 0.0007484-0j -3.67856e-07-0j 0.000150245-0j -0.033377-0j 6.719e-12-0j -2.14583e-07-0j 8.76431e-05-0j -6.48413e-08-0j -3.78241e-08-0j 8.31433e-12-0j 4.85003e-12-0j 
0.000141491-0j 1.23067e-05-0j 0.00452257-0j -4.2064e-07-0j -0.0029508-0j -4.29314e-08-0j -0.000120145-0j 0.0013536-0j -2.6437e-07-0j -2.67109e-07-0j 6.13946e-06-0j 6.20308e-06-0j 1.01882e-05-0j 0.0201611-0j 1.02938e-05-0j 6.26606e-07-0j 0.02037-0j 0.000325653-0j 6.33099e-07-0j 0.000155113-0j 0.000329028-0j 0.00015672-0j -1.95815e-07-0j -2.42309e-07-0j -1.41347e-07-0j 4.45554e-06-0j 5.51345e-06-0j -2.44769e-08-0j 3.21618e-06-0j -0.000693176-0j -4.84366e-05-0j -3.02886e-08-0j -0.000171706-0j -0.000857761-0j -5.99372e-05-0j -1.76684e-08-0j -1.44232e-09-0j -0.000500361-0j -0.0631003-0j -3.49634e-05-0j -4.94354e-06-0j -0.000212475-0j -1.78478e-09-0j 7.87655e-05-0j -0.000123944-0j -0.0780826-0j -6.11732e-06-0j -1.04112e-09-0j 1.491e-05-0j -0.0455482-0j -3.56844e-06-0j 9.74673e-05-0j 5.68559e-05-0j 1.84501e-05-0j 1.07626e-05-0j 
3.31209e-08-0j -1.4082e-06-0j -0.00323124-0j -5.64139e-06-0j -1.15443e-06-0j 2.93931e-09-0j 2.77077e-05-0j 0.0221479-0j 1.81002e-08-0j 1.82877e-08-0j 0.000137613-0j 0.000139039-0j 2.38491e-09-0j 1.58968e-05-0j 2.40962e-09-0j -7.17e-08-0j 1.60616e-05-0j -0.000232669-0j -7.2443e-08-0j -0.0454673-0j -0.00023508-0j -0.0459384-0j 1.34066e-08-0j 1.65898e-08-0j 9.67737e-09-0j -5.0983e-07-0j -6.30883e-07-0j -3.28271e-07-0j -3.68015e-07-0j 1.11721e-09-0j -0.00218812-0j -4.06214e-07-0j -6.7176e-08-0j 1.38248e-09-0j -0.00270767-0j -2.36958e-07-0j 9.87487e-11-0j 8.06447e-10-0j -0.000154141-0j -0.00157947-0j 1.14007e-06-0j -8.31261e-08-0j 1.22195e-10-0j 0.00128878-0j -4.84902e-08-0j -0.00019074-0j 1.41076e-06-0j 7.12806e-11-0j -0.0137737-0j -0.000111265-0j 8.22946e-07-0j 0.00159479-0j 0.000930292-0j -0.0170441-0j -0.00994239-0j 
0.000105755-0j -0.00237218-0j -0.000146556-0j -6.3096e-07-0j -0.00146525-0j -0.0011922-0j 0.0113758-0j -2.13878e-05-0j -3.96555e-07-0j -4.00664e-07-0j 6.11813e-06-0j 6.18153e-06-0j -0.00147296-0j 0.00491759-0j -0.00148822-0j 0.0115602-0j 0.00496855-0j 0.00204123-0j 0.01168-0j -1.62247e-06-0j 0.00206238-0j -1.63928e-06-0j -2.93723e-07-0j -3.63464e-07-0j -2.12021e-07-0j 4.44006e-06-0j 5.4943e-06-0j 7.10178e-06-0j 3.20501e-06-0j 7.15901e-06-0j -2.37099e-05-0j 8.78801e-06-0j 0.0164921-0j 8.85883e-06-0j -2.93395e-05-0j 5.12634e-06-0j -0.000121417-0j 5.16765e-06-0j 0.0010189-0j -1.71147e-05-0j -0.0447999-0j 0.0204079-0j -0.000150245-0j 0.00024073-0j 0.0119046-0j 0.00126083-0j -0.055437-0j -8.76431e-05-0j -1.166e-07-0j 0.000735482-0j -0.0323383-0j 0.000297889-0j 0.000173768-0j -1.44286e-07-0j -8.41667e-08-0j 
