0.124547-0.222499j -0.126123+0.0325508j 0.0834258-0.146718j 0.0737588-0.0510804j 0.0132344+0.00655817j -0.0182005+0.0347834j -0.00490021+0.0089897j -0.0312647-0.0104028j -0.0202812+0.027998j -0.013521+0.015139j 0.0250179-0.0187022j 0.00384285-0.015322j -0.00458473+0.0101276j 0.00264442+0.0087969j -0.0243142-0.0019724j -0.00162911+0.0163696j -0.0150926-0.0104885j 0.0423607-0.0250959j 0.00350071-0.00200797j -0.00844888+0.00522498j -0.00149494+0.00984151j 0.00429919-0.00738786j -0.0377615+0.00420234j 0.00307276-0.00263686j 
0.0869346-0.329594j -0.0432537-0.141874j 0.065021+0.0539284j 0.0681476+0.0385732j -0.0028598+0.01223j -0.00352577+0.00783949j -0.00287476-0.0132044j -0.00721469-0.00152476j -0.00751935-0.0264791j -0.000433076+0.00674059j 0.00415385+0.00205938j -0.00562935-0.018426j -0.0136322-0.00751743j -0.00788874-0.00845124j -0.00351849-0.022125j -0.00769748+0.0139875j -0.00401504-0.000551898j 0.0100988-0.00395223j -0.020033-0.00582496j 6.75397e-05-0.01067j -0.00978933+0.00535974j 0.000393325+0.0039736j -0.00930371-0.000577771j 0.00602737+0.00732726j 
-0.0828282-0.0437591j -0.0342481+0.123537j 0.0863971+0.13735j -0.0215263-0.0570901j -0.0386287+0.0276501j -0.002742+0.000556596j -0.00166373+0.0235763j 0.00644557-0.0174973j 0.000637501+0.00109715j 0.0100993+0.00282338j -0.00636147+0.0116913j -0.0182424+0.00329902j -0.00678923+0.00699809j -0.00669956+0.00252033j -0.00611557-2.44566e-05j 0.00338779-0.00219147j -0.00425318+0.0117096j -0.00116836-0.00211532j 0.0176396+0.0316416j 0.00270365-0.035994j 0.0134043-0.0399615j 0.00246335+0.0089152j 0.00513733+0.00317385j 0.0102085+0.00901653j 
-0.190718+0.0364187j -0.154954+0.0263036j 0.038927-0.13094j 0.0485882+0.0117724j -0.00583678-0.023874j 0.0115733+0.0030315j -0.0106769+0.0124077j -0.00168214-0.024472j -0.000136678+0.034428j 0.00785774+0.000996725j -0.0146503+0.0348556j -0.0220034+0.0115786j -0.00892542+0.00149824j -0.00305205+0.00904858j -0.0150331+0.00890629j -0.00737113-0.0183168j -0.00687854+0.000772195j 0.0145532+0.0045091j -0.0164425-0.00355876j -0.00914855+0.0136441j 0.00149008+0.00496365j 0.0124387-0.0184746j -0.0148614-0.00446716j 0.0123561+0.00408129j 
0.166475+0.317493j -0.00348538+0.100321j -0.0681708+0.0646403j 0.0265052-0.0104186j -0.00431016-0.0432282j 0.00601715+0.011725j -0.0280191-0.00187851j -0.000122923-0.00792377j -0.00673949-0.00433369j 0.000469229-0.00602212j 0.0139987+0.00785082j 0.00855271+0.00995178j -0.00609033-0.017934j -0.00666998+0.00667758j -0.00176774-0.0124798j -0.0096672+0.0120259j -0.00686063-0.00288432j 0.00451769+0.0150394j 0.00882717+0.00332424j 0.00805679+0.00325991j -0.00144919-0.00855912j 0.00375954+0.00879723j 0.00904201-0.00712515j 0.0106611+0.00336208j 
0.0453242+0.09466j 0.177698-0.0764195j 0.0899233-0.221831j -0.0346336+0.0371019j 0.0251004+0.00352139j 0.0294847-0.00531799j 0.0120054-0.0146333j -0.00102688+0.0119765j -0.0196505+0.00242193j -0.00171106-0.00670043j 0.00578109+0.0111392j 0.0159629+0.000718548j 0.00604325+0.0128982j 0.00477195+0.0164126j 0.00232654-0.00827626j 0.00141854-0.00811429j 0.0236733-0.011119j 0.00559103-0.00613443j -0.0246842+0.0195876j -0.0158066-0.00709454j -0.015088-0.0107455j 0.00672401-0.00131902j -0.014355+0.00888349j -0.0230072+0.00802407j 
0.0329363-0.024803j -0.128757+0.000205233j -0.371528-0.109438j 0.0472878-0.0371847j -0.00674898+0.00800483j 0.0241787-0.00111264j -0.0338725-0.0218036j 0.0223828+0.0223738j 0.0128681+0.0127724j 0.00552494+0.00419099j -0.0256341-0.0156752j -0.0036487-0.0121852j 0.0212466+0.0219796j 0.0130885+0.00727382j -0.00274975-0.00312186j -0.00388939-0.00642176j -0.0186692+0.0130454j -0.0205013-0.0155495j 0.00055698+0.0239895j -0.0132723-0.0242403j -0.00579003-0.0276762j 0.00057529+0.00531372j 0.00917545+0.0185307j 0.000731453+0.0120318j 
0.0666465-0.0193815j 0.240485+0.075322j -0.0201614-0.029976j -0.060599-0.00175421j 0.00434859-0.0233809j 0.0685746-0.00449889j 0.0206027+0.0440349j 0.0207959+0.0371449j -0.0203231+0.0132455j -0.00419704+0.00038941j -0.026448+0.0259922j 0.0143109+0.00899862j -0.0123046+0.0125503j 0.0153759+0.0248533j 0.0152885+0.0139461j -0.00756662-0.0184706j -0.00117414+0.0192382j -0.0110673-0.0117792j 0.00352877-0.0179137j -0.0080096+0.013208j 0.00131026+0.00402795j 0.0107971-0.0229737j -0.00146335+0.00634771j -0.0247372-0.0106419j 
-0.0198057+0.170217j -0.00733658-0.14015j -0.0810422+0.148386j 0.0287997+0.0885302j 0.00291757-0.00749539j -0.0415199-0.0965586j 0.0306965+0.0313733j -0.0413327+0.00991625j 0.0400135+0.0165977j -0.00555283-0.0124757j 0.028634+0.0489029j -0.0214039+0.0036039j 0.00795461-0.00951946j 0.00879964+0.0214899j 0.0173905+0.0112746j 0.0133669-0.0142939j -0.0115148+0.00590037j -0.0132781+0.00817236j -0.00533701+0.000105776j 0.00414015-0.00418919j 0.00403312-0.0166406j -0.0121988+0.00380817j -0.00509034+0.001108j -0.00398827+0.0139606j 
-0.00302664-0.0742652j 0.0019248+0.129455j 0.0561881+0.26442j -0.0299077-0.102699j 0.0323006-0.00142599j 0.00304587-0.00380363j -0.019076+0.0146832j 0.0135825+0.0202135j -0.0264632-0.00992161j 0.00615882-0.00106001j -0.0194279+0.00142512j 0.00524191-0.00533159j -0.0268521+0.0180008j -0.00789027+0.00154245j 0.00799261-0.00439745j -0.00438453+0.00936384j -0.0155413+0.0261222j 0.00811808+0.00977744j -0.015006-0.00581417j 0.0125532-0.00749651j 0.0126061-0.00259882j 0.0024879+0.0031912j -0.00568994-0.0147752j -0.00817626-0.0129164j 
0.00184891-0.0112275j -0.0471807-0.142011j 0.0488412-0.0381023j 0.0431013+0.0424391j -0.0463452-0.0142301j 0.00382981-0.0157292j -0.0124708+0.00146811j -0.000967425+0.0204353j -0.013502+0.00826402j 0.00513614+0.00157695j -0.0203875+0.0138077j -0.0112482-0.00270244j 0.00668+0.0431756j -0.00245211+0.0197754j 0.00485942-0.012019j 0.0155268+0.0105759j -0.00575961+0.0148542j 0.00829652+0.0179421j -0.00661179-0.00522426j -0.0209647+0.00545049j -0.0198949+0.00734571j 0.0103136+0.00782856j -0.0107526-0.0192482j -0.000923969+0.000412189j 
-0.000892082+0.0721171j -0.00493027+0.036849j 0.0393653+0.022389j 0.0266482-0.0237576j -0.0363263-0.0217365j -0.0288843-0.014044j 0.0318216-0.0290096j -0.00913624-0.0337719j 0.0106654-0.0106875j -0.00166622+0.00152921j 0.0304718-0.0293757j 0.0182823-0.0085461j -0.00679789+0.0355984j -0.00555953+0.0249647j 0.00659733-0.0138606j -0.00662737-0.00568706j -0.00412479+0.0277199j -0.0184826+0.0146266j -0.0269164-0.018174j -0.0160221+0.00293393j -0.0211499-0.00476946j -0.00598518-0.00601693j -0.00836586+0.00356643j -0.00913963-0.00540149j 
-0.0265681+0.0471185j -0.0923239-0.000227847j -0.0301549-0.204345j 0.0418948+0.00168467j -0.0367198-0.00508159j 0.00585791+0.0111788j -0.0175912-0.0102899j 0.0261329+0.0193697j -0.0177445+0.0151251j 0.0050407+0.00217282j -0.0256906+0.00114955j 0.0142727-0.00796863j -0.0100553+0.0271604j -0.00895798+0.0147974j 0.00786933-0.00113136j -0.00741808+0.00291379j -0.000770897+0.00462786j -0.0221177-0.0123108j 0.0464531-0.00295542j 0.0123229+0.000155255j 0.0119839+0.0035537j 0.000497916-0.00670213j 0.04727+0.0211353j 0.0203967-0.00442819j 
-0.0245226+0.0934734j -0.0249373+0.133114j 0.126404-0.0899564j 0.00890518-0.0385932j 0.0337279-0.0154867j -0.0233319+0.0155244j -0.0122309+0.0172513j 0.0361639+0.0468313j -0.0492343+0.0130889j -0.00531052-0.000204138j -0.0288388+0.00536044j 0.0433922-0.00360298j 0.000369714-0.00374769j 0.0194725+0.00200232j 0.0101632+0.024603j -0.0169407+0.000638989j 0.0265474+0.00179694j 0.000888511-0.0186726j -0.0278418+0.00179113j -0.0132779+0.00560527j -0.0163333+0.000743566j 0.00562622-0.00992418j 0.00387743+0.0184654j -0.0221232-0.0162939j 
-0.0117564-0.0328475j -0.0220965+0.05616j -0.191721-0.0666291j 0.0362466-0.0200918j 0.0317167+0.00794132j 0.0500224+0.010047j -0.00446045+0.00526296j -0.0313112+0.00179922j 0.00503014+0.0091672j -0.000736012-0.00233726j 0.0101012+0.00727441j 0.00841444-0.00668722j 0.036191+0.0142354j -0.00455931+0.00302008j -0.0130299-0.00913317j 0.0114845+0.00561526j 0.0172565+0.0101929j -0.00847348-0.00113371j 0.0124871-0.0172105j 0.0486951+0.00459387j 0.0462819+0.013914j -0.0178017-0.00282928j 0.034512+0.0118389j 0.00980302-0.0162558j 
-0.0845588-0.0311412j 0.171653+0.0586029j 0.0736857-0.17096j -0.134909-0.0377526j 0.00372265-0.0116519j 0.0337951+0.0305167j 0.0131226-0.00992337j -0.029267-0.00740456j 0.0129388+0.0224704j 0.00161011+0.00510889j 0.0156623-0.00902465j -0.0116742-0.0205454j 0.00189235+0.00779615j -0.0454955+0.00134865j 0.0142669-0.0125384j 0.0327203+0.00211335j 0.000475452-0.0108353j -0.0385245-0.012591j -0.0242731+0.00406822j -0.0336656-0.00148547j -0.0276878+0.00716517j -0.00463317+0.00671142j 0.00242325+0.0152645j -0.0262807-0.00916674j 
0.0330034+0.0249468j -0.0150131-0.100625j 0.0570338-0.183342j -0.0179438+0.0581915j 0.000108372-0.0387439j -0.0440224+0.0351949j 0.00275059-0.0255791j 0.0158399+0.0206983j 0.0145729-0.00815116j -0.00605583+0.00656068j 0.0141563-0.0224847j -0.01335+0.00978093j 0.0226093+0.0240093j 0.0201758+0.00540258j -0.00459011-0.0150464j 0.0042455-0.00029487j 0.0159308+0.00422009j 0.0178283-0.00544341j -0.0101245+0.00756205j 0.0345854-0.00594812j 0.0330291+0.00259558j -0.00532023+0.00791647j -0.00757683+0.00225383j -0.000798388+0.00841117j 
0.00927911+0.0390562j 0.0293929-0.095374j -0.214428-0.228995j -0.0398381+0.0607288j 0.00534015+0.0270344j -0.00113487+0.0105285j -0.0288744-0.0151079j 0.0183507-0.0478955j 0.00635139+0.0182464j 0.00417302-0.00401408j -0.0281584+0.00618134j -0.00142524-0.0150106j -0.0274271+0.0105892j -0.00595876+0.00246183j 0.0231792+0.00312295j -0.00776907+0.00257754j -0.0377968-0.0252657j -0.0217785+0.000175503j -0.0282428+0.00598376j 0.0221416+0.00824048j 0.0276658+0.00698683j -0.0119511-0.00655726j -0.00342012-0.00742983j -0.0183576+0.0122846j 
-0.0358725-0.0281815j 0.130498+0.0308237j -0.0324767+0.154814j -0.0629569+0.0146779j -0.00575006-0.0308435j 0.0492629-0.010154j -0.0235198+0.0393207j -0.0263092-0.0644096j -0.0147132+0.0250461j 0.00487663-0.0023477j -0.0394036+0.0313348j -0.000277037-0.0292834j 0.0259947+0.00468906j 0.00372246-0.00411177j -0.0111763+0.00392278j 0.00462222+0.0141239j 0.0221352-0.00080524j 8.50787e-05+0.015968j -0.0156437+0.00466261j 0.00254621-0.0112208j 0.00688036-0.0159216j -0.00709943-0.00523704j 0.00129907-0.0109797j -0.0119552+0.00610604j 
-0.0412143-0.00327508j 0.114418-0.158596j 0.180914-0.164011j -0.060279+0.0446379j 0.01163-0.0263695j 0.00613681-0.0419749j 0.0132192-0.0223733j -0.033483+0.0131023j -0.00648814+0.0197346j 5.06166e-05+0.00271108j -0.00348204-0.00583249j -0.0170499-0.00547852j -0.0199266+0.0291937j 0.000434357+0.00948579j -0.0118536+0.010653j -0.0111269+0.0049684j 0.000814172-0.00100923j 0.0208812-0.0136887j 0.0432088-0.00221379j 0.00648783+0.0074241j -0.00182757+0.00542421j -0.0015836-0.0116163j 0.00500797+0.0106115j 0.0247343+0.00956415j 
-0.0441332+0.000765289j 0.0230012+0.105336j 0.309019-0.061645j -0.0213804-0.0439541j 0.00153364+0.05615j -0.0423285+0.00635489j 0.0263374+0.00513377j 0.00131296-0.000985408j -0.0139364+0.00775841j -0.000377987-0.00484603j 0.0131185+0.00621275j 0.00897092+0.000731954j -0.0292255+0.00307562j -0.0159417+0.00513071j 0.0134412+0.00601723j 0.00271049-0.00205613j 0.00638414+0.00650476j 0.0035343-0.0117976j -0.0025667+0.0194628j 0.0165071-0.0201019j 0.0146543-0.0152959j -0.00126142+0.00283432j 0.00132547+0.0134028j -0.00330339-0.00470237j 
-0.0568124+0.0177793j -0.043005-0.187582j -0.0144131+0.09553j -0.0489699+0.120141j 0.003641+0.0206213j 0.0701006-0.0546085j -0.0262218-0.000507328j -0.013075+0.0778501j -0.0107831-0.0319235j 0.00647762-0.00143708j -0.00894931+0.000332648j 0.00626044+0.028654j -0.0187319-0.00418884j -0.0135462-0.0148785j -0.0235141-0.0052299j -0.0118067+0.00257522j -0.00968607+0.00180711j 0.016718+0.0112007j -0.0287856+0.00422359j 0.000846299-0.00304612j -0.00229085-0.00506232j -0.0108843+0.0099458j -0.0027109-0.00282778j -4.40382e-05-0.00046361j 
-0.039345-0.1244j 0.013352+0.273927j -0.106367-0.0539723j 0.0184096-0.108789j -0.0136551+0.028059j -0.022541+0.0544469j 0.00795019+0.0154283j 0.00254825+0.050505j 0.0213578-0.0200269j 0.000560804+0.00191995j 0.00999518-0.0203427j -0.00544539+0.0153209j 0.00949457+0.011509j 0.01547-0.00150517j 0.0153768+0.0279779j -0.00713446+0.0176167j 0.00129721+0.0153029j -0.00935441-0.0369428j -0.0117729+0.0109132j 0.00081938-0.00704792j 0.000470453+0.0101376j -0.0137794-0.000463169j 0.00176745+0.00966107j -0.00785857-0.0363417j 
-0.138335+0.0244839j 0.345201-0.0509459j -0.0839926+0.0811467j -0.136715+0.000451609j 0.0357715+0.00659468j 0.074641+0.0232298j 0.0207027-0.0378982j 0.0351651-0.0136384j -0.00027502-0.0224856j 0.00612371+0.00455306j -0.034491-0.0202321j -0.0162488-0.00273563j 0.0151607-0.0114214j -0.00118875-0.0158124j 0.0181518-0.0200185j 0.0129558+0.000736422j 0.0171465+0.00252312j -0.0306414+0.0153617j 0.0254753-0.00505744j -0.00460805-0.00361195j 0.0124866+0.000220116j 5.71408e-05+0.0130247j 0.0130412-0.0126655j -0.0244573+0.0157358j 
