0.118276-0.0453617j -0.0873815+0.0180669j 0.0697423+0.0700623j 0.0669549-0.00382016j 0.119024+0.0859489j 0.021017+0.00914989j 0.00461496+0.0333603j 0.00787418+0.00662249j 0.0168483-0.0120464j 0.00886797+0.029816j -0.00817705+0.00541393j -0.0202794+0.00435958j 0.0145856-0.00561784j 0.00205825-0.0229473j 0.00148557+0.0223522j 0.00340892+0.0129407j 0.0170678-0.000292781j -0.0190048-0.0113238j -0.00944758-0.00315202j -0.00250776+0.00710413j 0.0273532+0.0269604j 0.00282079-0.0136862j 
-0.113663+0.0254437j 0.0242811+0.0176374j 0.0716358-0.083933j -0.0165332+0.00711748j 0.0130684-0.0710342j 0.00818592-0.054264j -0.0143278+0.0408703j -0.0227065-0.00407338j -0.0141935+0.0178108j 0.0129678-0.0384804j -0.00845438+0.00686428j 0.0164318+0.00412102j -0.00975492-0.020105j -0.0194212-0.00989601j 0.00317332+0.0106245j 0.0111817+0.00915402j 0.0389535-0.0297434j -0.0118925+0.000410443j 0.00557585+0.00485309j 0.0230364+0.00362479j -0.0211642+0.00774013j -0.00116255-0.00177094j 
-0.0904656-0.172988j 0.0727119+0.0694005j -0.0703773+0.073628j -0.0312975-0.0325537j -0.0579842+0.0740957j 0.0167147+0.0643774j -0.0129163-0.00415708j 0.00233228+0.00792473j 0.00272689-0.000371865j 0.00800894+0.0123659j -0.0447112-0.0199898j 0.014872-0.00329071j 0.000573031+0.0198246j -0.0162605+0.0231351j -0.0605313+0.0276902j -0.00829258-0.0143352j 0.00600588-0.00266972j 0.00469333+0.00304253j 0.0112423-0.00889836j -0.00391798+0.00932537j -0.00419287-0.00860868j 0.0140243+0.0138205j 
-0.0738149-0.149895j 0.01991+0.0404486j 0.0151049+0.0732036j -0.0314415-0.0359579j 0.00736068-0.0037869j 0.0268731-0.0176519j 0.0189439-0.00188635j -0.00821019-0.0124569j 0.016245-0.024911j -0.00370531+0.021891j -0.0018586+0.0353749j 0.00120528-0.00489001j -0.00194584-0.0292784j -0.0158075-0.0211064j -0.00600815+0.0214348j -0.0263348-0.0126405j -0.00565734-0.0124632j -0.00518607+0.00698672j -0.00463734-0.0010034j -0.00360778+0.0155055j -0.00166358-0.00896016j 0.00120054-0.015988j 
0.0341997+0.0269003j 0.0399731-0.0160256j -0.106919-0.0213939j -0.0168655+0.0174444j -0.0736085+0.00286934j -0.0192662+0.00539223j -0.000764861-0.0217804j 0.0284007+0.0258912j 0.00122542-0.0143607j -0.0158942-0.0112852j -0.012115-0.000750334j 0.0125937-0.0032165j 0.0324085-0.00350187j 0.033283-0.0073379j -0.00501637-0.0393367j 0.00422092+0.0142702j 4.13569e-05-0.0144087j -0.00146175-0.00339045j -0.00165437+0.00378779j -0.000966905-0.0107905j 0.0041628+0.000198579j 0.0130614+0.0173129j 
-0.037719+0.107803j 0.032568-0.0466096j -0.0308917-0.0241099j 0.018376-0.00795329j -0.012152-0.00789197j 0.000545562+0.00057515j 0.0342138+0.00451029j -0.0176944-0.00769304j 0.028483+0.0163169j -0.015113-0.0082383j 0.00443252-0.0396485j -0.0154521+0.0108189j 0.0246383-0.0236718j 0.000904893+0.017351j 0.017499+0.00196238j -0.00767374+0.00629632j -0.00999886-0.00620459j 0.00119319+0.00451772j 0.00903935-0.00528419j -0.00186818-0.00448902j 0.000516536+0.00440683j 0.000681704+0.00812309j 
0.0574425+0.153142j -0.0757938-0.0910003j 0.0234237+0.0354782j 0.0333339-9.47755e-05j 0.0194971+0.0194086j 0.0389468-0.0075276j 0.000845957-0.0190342j -0.0225725+0.0108886j 0.0216901-0.0211114j 0.0116197-0.00916419j -0.0123131+0.0147603j 0.00620871-0.0144185j -0.0115184+0.00794186j -0.0158377-0.0139371j -0.0398622-0.00532046j 0.0358619+0.0235682j 0.020971+0.0239796j -0.0114474-0.0145401j 0.00594182+0.00521694j -0.00627236-0.00213181j 0.00973458+0.0104289j 0.000327504-0.0111781j 
-0.0752482-0.179661j 0.0905522+0.0874282j -0.00685838-0.00322516j -0.0735644-0.0469295j -0.0116176-0.0235556j -0.00996796+0.0212741j 0.0390645-0.00483869j -0.00872753+0.000456741j 0.010058-0.00485458j -0.00715215+0.00565435j -0.0276955-0.00428266j -0.0141344-0.00526861j -2.68914e-05+0.0149565j -0.012423-0.0150046j 0.0258581+0.00346005j 0.00169124+0.00854465j -0.00197483-0.00478947j 0.00467101+0.00742064j -0.00452074+0.00031519j 0.00825494+0.0100256j 0.0036803+0.00833215j 0.00240429+0.014208j 
0.0401855+0.000215112j -0.0148834-0.0284676j -0.0239172+0.0369036j 0.0203196+0.021997j -0.0161822+0.042704j -0.0163311+0.0116056j 0.000432629-0.0111145j 0.00227594+0.00859486j 0.00214553-0.00719037j 0.0195062+0.01282j 0.00512248-0.00416769j -0.00217604-0.00615881j 0.00162066+0.00274702j -0.00618763-0.0106855j -0.00551078+0.00939593j 0.000773858-0.0266815j 0.0121192+0.0237946j -0.00591864-0.0113831j 0.00165228-0.00613084j -0.0075857-0.00389321j 0.00178035+0.012661j -0.00131486-0.0162496j 
-0.032149+0.0919484j 0.0186554+0.000493906j -0.0187632-0.0519091j 0.0181055+0.0397222j -0.00490962+0.0146426j -0.0169804-0.0583711j 0.00630873-0.0098619j -0.00882646+0.0444459j 0.0138262-0.0201265j -0.0138573-0.0224175j 0.00523925+0.026545j -0.00203856-0.0223464j 0.00952133+0.0234486j -0.000411111-0.00323107j 0.00157888+0.00132278j -0.0428619-0.00806262j -0.00564908-0.0137169j 0.00166199-0.00311409j 0.00505961+0.0047292j 0.00170062-0.0159353j -0.0238544-0.00034863j -0.00323959-0.00328562j 
0.0304188+0.0468134j -0.000978609-0.0723773j 0.0646214+0.18551j -0.0155825+0.0335229j 0.0870763+0.177636j 0.0345747+0.0633978j -0.00936178+0.0232594j -0.00802685+0.0164031j -0.00333882+0.000517281j 0.0116417-0.00901988j -0.00108492-0.00402866j -0.0293776-0.00641905j -0.00934567-0.00842217j 0.00702251-0.0115679j 0.000878387+0.00820155j 0.00398337-0.0123535j -0.000943944+0.0140165j 0.0149293+0.00426954j 0.00307044-0.00397514j -0.00553582-0.00387003j -0.00259192-0.0188096j -0.00661537-0.0182797j 
-0.0509692+0.0167698j -0.0150634-0.0115903j -0.0646307+0.0317989j 0.322162-0.273586j 0.0337578+0.0090807j -0.0636183+0.00873936j -0.0305937+0.009686j 0.00325189-0.0155569j 0.0185826-0.0137445j 0.000113191-0.019649j -0.0156164-0.0115232j -0.00915052-0.0197718j 0.00200742+0.00490271j -0.010689-0.0196893j 0.0131527-0.00196467j 0.00513053-0.000787668j 0.00282954+0.00159792j -0.00454079+0.00784277j 0.018087-0.00933507j -0.00462501+0.0072126j 0.0222305-0.00525079j 0.00144604+0.00473962j 
-0.333366-0.154623j 0.160035+0.0352904j -0.0134212-0.00675711j -0.0277795+0.0923396j -0.0560934+0.0262938j 0.0143098-0.00276979j -0.023053-0.031351j -0.0168495+0.0110044j -0.00963379-0.00834792j 0.0377792+0.0100596j 0.0111124+0.00250301j 0.0224073+0.017609j -0.0112791+0.00978844j 0.00356894-0.00536366j -0.00277898+0.00313168j 0.0122506+0.0342647j -0.0197255+0.00609982j 0.0237632+0.0029787j 0.00149018+0.000841107j 0.0143399+0.00572271j -0.0156764+0.0263275j 0.0214213+0.00467185j 
-0.0521253-0.0433596j 0.028632-0.00848422j -0.010592-0.0226163j 0.0726735+0.36735j 0.0161071+0.0438948j -0.0165025-0.0496943j -0.0103198-0.00276995j 0.00985354-0.00433431j -1.26316e-05+0.0372621j 0.00885749+0.0112558j -0.0297143-0.00823359j 0.018116-0.0152416j -0.0185533-0.0107047j 0.0161397-0.0263779j 0.0171302-0.0062343j 0.00357544-0.0277996j -0.00200786+0.0098808j -3.71041e-06-0.0126241j -0.00880958+0.0255857j 0.00812265-0.00467969j 0.0158565-0.00408298j 0.00226304-0.00733539j 
-0.178126+0.0154117j 0.0971581+0.00552126j -0.00949511+0.138446j -0.144348-0.294612j -0.0246046+0.048383j 0.0365419+0.0195109j -0.0194867+0.0493455j -0.00585364-0.0235195j -0.0131474-0.0203761j -0.00829754+0.0332029j -0.00501266+0.0225658j 0.0176382-0.0321897j 0.0280169-0.0414322j 0.00700191-0.0243916j -0.000467979+0.00843931j 0.00669418-0.00963757j -0.0109899+0.0156676j 0.00383268-0.0107266j -0.00551812-0.0118689j 0.0176769+0.0109178j -0.0141578-0.016417j 0.0223791-0.0317289j 
0.0616372+0.0496473j -0.0576813-0.00291968j 0.0259445+0.0673963j 0.0282669-0.136451j 0.0571735-0.0285598j 0.0162321+0.0697898j -0.0303945+0.0113707j -0.00393236+0.0144272j 0.00222491-0.021188j -0.00544564-0.0130131j -0.0237413+0.0212567j 0.0119094-0.00839501j -0.00366376+0.0175937j 0.0165581-0.00271192j 0.00623544+0.00271352j 0.00306077+0.0205764j 0.012519-0.00308293j -0.00156124+0.000821956j -0.00333495-0.0108617j 0.00220563+0.00675308j -0.00718908+0.00359687j 0.00434644-0.00220633j 
0.0450319-0.025912j -0.0469697-0.0690771j 0.0375906+0.0452709j 0.101243+0.0921876j 0.115712+0.0516736j 0.0449156+0.0128676j -0.0268565-0.0248111j 0.00659568-0.0128291j 0.0140564+0.00574847j 0.00209046+0.0199705j -0.00945143-0.00300657j 0.0335672+0.00168075j 0.0145533-0.0135222j 0.0337442+0.0161992j -0.00448681+0.0282151j -0.0150302+0.000424943j 0.0183811+0.00167936j -0.0164832-0.00776057j -0.00404486-0.00244147j -0.00661621+0.016008j -0.0119177+0.00480529j -0.00601132-0.00764424j 
-0.0424966-0.0128928j 0.0434311-0.0555043j -0.0346157+0.0111204j 0.248585+0.251395j 0.0332858+0.0111987j -0.00274752-0.000731052j -0.0219882-0.021896j 0.0138557-0.0051496j 0.0174085+0.0126923j -0.0206057+0.0218204j -0.00911432+0.0132354j -0.011725-0.0173323j 0.0391008+0.00127164j -0.0184618-0.00351301j -0.00941982+0.0284366j 0.0139451+0.0100172j 0.0120289+0.00598963j -0.014512-0.00990581j 0.0243271+0.0142658j -0.00284571+0.00327374j -0.00437078+0.0181814j 0.0115582-0.00419215j 
-0.104686+0.0910405j 0.0573101-0.0464938j 0.125529+0.0305304j -0.0871726-0.0174679j 0.114688+0.072267j 0.0683576+0.0419158j -0.000467936-0.000905342j 0.0155756+0.0230799j -0.0188917+0.00134774j -0.0115754-0.0208788j -0.00290017-0.0108547j 0.0182508+0.00144948j 0.0117718+0.0288931j -0.0228716+0.0126515j 0.00865964-0.0195721j -0.00668462-0.00137477j 0.0195332+0.00815762j -0.000240736-0.0191507j -0.0190687+0.00108932j 0.00592439+0.0059097j 0.0121681-0.000257336j -0.0225101-0.0112653j 
0.120146-0.26078j -0.10602+0.142654j -0.0280969+0.0075037j 0.185368+0.0281281j -0.0201395-0.00660979j 0.0333542-0.0149501j -0.0509979-0.0118592j -0.0154511-0.00211042j 0.0139267-0.00761656j -0.0472699+0.0155336j -0.00396952-0.0178046j -6.20579e-05+0.00744996j 0.031818-0.00949846j 0.00465896-0.0179164j 0.0177835-0.00459509j -0.013487-0.0267443j -0.00795845-0.00648732j 0.00974359+0.00952237j 0.00709066+0.00767428j -0.00666391+0.0204536j 0.00710314-0.0173084j 0.00767264+0.000653442j 
-0.258519+0.0533533j 0.0763601+0.0232593j -0.113816+0.0350143j 0.282307+0.0568386j -0.05424+0.0255458j -0.0781076+0.00655109j -0.0088022+0.0160826j -0.0076408+0.0222821j 0.032548-0.00444869j 0.0319002+0.00106766j 0.0167704-0.0152976j 0.0228963+0.00903039j -0.00456712-0.010686j -0.0107734+0.0115057j -0.00205391+0.00546358j -0.00991082+0.00772568j -0.0111775+0.0102934j 0.00361882-0.00747809j 0.0180498-0.000111955j 0.00117874+0.000150912j 0.0180096-0.00157603j 0.00399673-0.00908038j 
-0.0479022+0.0722883j 0.0213964-0.0291696j -0.0080932+0.0131643j 0.355668-0.20213j 0.00728259-0.00580659j -0.00934735+0.0330518j -0.0144735+0.0249841j 0.0240705-0.00376963j 0.0187541-0.00466206j 0.0269553-0.00364608j -0.0149222+0.0320371j 0.0191027+0.00743796j -0.018614+0.00556879j 0.0202515+0.0121426j 0.0126611-0.0219023j -0.00865796-0.00521534j 0.00151687-0.00798623j -0.0046196+7.70898e-05j 0.00880944-0.0137065j 0.00141741-0.00981217j 0.00300043-0.0108142j 0.000959923-0.00494041j 
-0.0469669+0.00676098j -0.0369006-0.00231812j 0.233698+0.0538536j 0.035732-0.053037j 0.169535+0.00687763j 0.0834425-0.0219502j 0.0207938+0.019814j 0.018402+0.0163219j -0.0114175-0.0218026j 0.039782+0.00764665j 0.0117075-0.022822j -0.0402407-0.0271395j -0.00545018-0.00884021j -0.00469036-0.00445446j 0.0176268+0.0193221j -0.00443116+0.0208085j 0.0128207+0.0096599j -0.00159224+0.00212117j 0.00278086+0.00372449j 0.0203572+0.00993584j -0.00996407-0.0173386j -0.0357476+0.0186188j 
-0.0890595-0.0801249j -0.0470046+0.0238158j 0.106259-0.12763j 0.0292419+0.0631884j 0.125336-0.122989j 0.0619354-0.0626039j -0.0272518+0.0304476j 0.00680891+0.00713246j -0.00633161+0.0226451j 0.0332929+0.0107866j -0.0159317+0.0285083j -0.025521+0.0224697j 0.0048439+0.0122057j 0.00636965+0.0219665j -0.000774995-0.0167875j -0.00108732+0.00920555j 0.00114161-0.0136482j 0.0130329+0.00436501j 0.00531591+0.00930783j 0.0144403-0.0118961j 0.000854475-0.00735583j -0.00281895+0.0265151j 
0.0843584+0.0803419j 0.0783774-0.0523947j -0.243049-0.04522j -0.0442994-0.0471462j -0.189666-0.105276j -0.0584825-0.0886759j -0.0154761+0.0567701j -0.00358617+0.00461549j 0.0111638-0.00199316j -0.0345649-0.0137907j -0.0214191+0.00868135j 0.0276354+0.00357034j 0.0174349-0.0115961j 0.018675-0.0126601j -0.0425216+0.0149482j 0.00125565+0.00238522j -0.0232417+0.00757734j 0.0317422-0.002399j 0.00435241+0.00213137j -0.0243245+0.00551964j 0.0137347-0.00272187j 0.0218364-0.00285735j 
-0.073899+0.114794j 0.0357111+0.0740195j 0.0453815-0.254215j 0.0345686-0.0551121j 0.105678-0.206324j 0.0924157-0.0770334j -0.0428723-0.0244018j 0.0199053-0.0171855j -0.000771525+0.00530054j 0.00819239-0.0562772j -0.0211932-0.0305475j -0.00235126+0.0301933j 0.0220413+0.00235084j 0.00957366+0.00273668j -0.0173251-0.0351067j -0.00348528-0.00230989j -0.00898865-0.0220695j 0.00038757+0.0250149j -0.00585342+0.00467335j -0.0085911-0.0249914j 0.00352941+0.00787652j 0.0154056+0.0256114j 
