-0.0293042-0j -0.0341882-0j -0.0209359-0j -0.0299147-0j -0.0123392-0j -0.00377128-0j -0.00426012-0j -0.00347837-0j -0.00351442-0j -0.00304358-0j -0.00251082-0j -0.00080222-0j -0.00242672-0j -0.000350267-0j -0.00268588-0j -0.000387674-0j -0.00212338-0j -0.00141559-0j -0.000306483-0j -0.00214538-0j -0.000204322-0j -0.000309659-0j -0.00247727-0j -0.000875849-0j -0.000357564-0j -0.00144508-0j -0.000126418-0j -0.00153274-0j -0.000208579-0j -0.000221231-0j -0.000894096-0j -0.000129052-0j -0.000233247-0j -3.36663e-05-0j -0.00182867-0j -0.000323267-0j -2.69389e-05-0j -0.00199566-0j -0.000352786-0j -2.93989e-05-0j -0.00154583-0j -0.00156185-0j -0.00141115-0j -0.000273267-0j -2.27723e-05-0j -0.000276099-0j -0.0017462-0j -0.000249458-0j -2.30082e-05-0j -0.00116414-0j -2.07881e-05-0j -0.00101862-0j -0.00100817-0j -0.000308688-0j -0.000205792-0j -0.00144054-0j -0.000180068-0j -2.5724e-05-0j -0.000178221-0j -0.000720272-0j -1.71493e-05-0j -0.000594194-0j -1.50057e-05-0j -1.48518e-05-0j -0.000254655-0j -0.000727736-0j -0.000127327-0j -2.12212e-05-0j -0.00010504-0j -0.000328826-0j -1.06106e-05-0j -0.000128647-0j -8.75331e-06-0j -7.24994e-05-0j -5.81288e-05-0j -1.07206e-05-0j -1.28162e-05-0j -4.84407e-06-0j -1.06802e-06-0j 
0.0273256-0j 0.000552345-0j 0.0195223-0j -0.0269282-0j -0.0337207-0j 0.00351665-0j 6.88265e-05-0j 0.00324351-0j -0.00316357-0j 4.9172e-05-0j -0.00456089-0j -0.00292741-0j 0.00226287-0j 0.000326617-0j 4.33932e-05-0j 6.26327e-06-0j 0.00198001-0j 0.00132001-0j 0.00028579-0j -0.00193121-0j 0.000190526-0j -0.000278745-0j 4.00229e-05-0j 0.000816712-0j 5.7768e-06-0j -0.00262497-0j 0.000117882-0j -0.00137972-0j -0.000378882-0j -0.000199145-0j -0.0024434-0j -0.000352674-0j -0.00106488-0j -0.000153702-0j 0.0017052-0j 0.00030144-0j 2.512e-05-0j 3.22419e-05-0j 5.69962e-06-0j 4.74968e-07-0j 0.00144146-0j -0.00140593-0j 0.00131587-0j 0.000254816-0j 2.12347e-05-0j -0.000248536-0j 2.82117e-05-0j 0.000232614-0j -2.07113e-05-0j 1.88078e-05-0j 1.93845e-05-0j -0.00185031-0j 0.000940099-0j 4.98717e-06-0j 3.32478e-06-0j -0.00129673-0j -0.000327092-0j 4.15597e-07-0j 0.000166188-0j 1.16367e-05-0j 2.77065e-07-0j -0.00162382-0j -2.72577e-05-0j 1.3849e-05-0j -0.000229232-0j -0.00132193-0j 2.0571e-06-0j -1.91027e-05-0j -0.000287054-0j -0.00119993-0j 1.71425e-07-0j -0.000233686-0j -2.39212e-05-0j -0.000397426-0j -0.00021212-0j -1.94738e-05-0j -7.02557e-05-0j -1.76767e-05-0j -5.85464e-06-0j 
-0.00426012-0j -8.61119e-05-0j -0.00304358-0j 0.00419818-0j 0.00525714-0j 0.0258507-0j 0.000505941-0j 0.0238429-0j -0.0232553-0j 0.000361462-0j -0.0335269-0j -0.0215193-0j -0.000352786-0j 0.00485281-0j -6.7651e-06-0j 9.30585e-05-0j -0.000308688-0j -0.000205792-0j 0.00424621-0j 0.00030108-0j 0.00283081-0j -0.00414155-0j -6.23966e-06-0j -0.000127327-0j 8.58307e-05-0j 0.000409239-0j 0.00175147-0j 0.000215102-0j -0.00562936-0j -0.00295887-0j 0.000380932-0j -0.00523997-0j 0.000166017-0j -0.00228368-0j -0.000265845-0j 0.00221587-0j 0.0005618-0j -5.02659e-06-0j 4.18977e-05-0j 1.06225e-05-0j -0.000224727-0j 0.000219188-0j -0.000205147-0j 0.00187314-0j 0.000474907-0j -0.00182697-0j -4.39827e-06-0j 0.00170994-0j -0.000463201-0j -2.93218e-06-0j 0.000433529-0j 0.000288468-0j -0.000146564-0j 3.66605e-05-0j 2.44403e-05-0j 0.000202164-0j -0.00240444-0j 9.2947e-06-0j 0.00122164-0j -1.81419e-06-0j 6.19647e-06-0j 0.000253158-0j -0.000609609-0j 0.000309728-0j -0.00168508-0j 0.000206092-0j 1.51217e-05-0j -0.000427225-0j -0.00211012-0j 0.000187072-0j 3.83387e-06-0j -0.00171782-0j -0.00053499-0j 6.19597e-05-0j -0.00155929-0j -0.000435526-0j -0.000516447-0j -0.000395333-0j -0.000130937-0j 
-0.00329987-0j -6.6702e-05-0j -0.00235754-0j 0.00325189-0j 0.00407216-0j -0.000424676-0j -8.31159e-06-0j -0.000391692-0j 0.000382037-0j -5.93809e-06-0j 0.00055078-0j 0.000353519-0j 0.0261257-0j -3.94427e-05-0j 0.000500992-0j -7.56361e-07-0j 0.02286-0j 0.01524-0j -3.45124e-05-0j -0.0222966-0j -2.30082e-05-0j 3.36617e-05-0j 0.00046208-0j 0.00942927-0j -6.97615e-07-0j -0.0303064-0j -1.42356e-05-0j -0.0159294-0j 4.57543e-05-0j 2.40491e-05-0j -0.0282101-0j 4.25895e-05-0j -0.0122945-0j 1.85613e-05-0j -0.000205923-0j 0.00348025-0j -3.03353e-06-0j -3.89358e-06-0j 6.58044e-05-0j -5.73579e-08-0j -0.000174073-0j 0.000169782-0j -0.000158906-0j 0.00294196-0j -2.56433e-06-0j -0.00286944-0j -3.40688e-06-0j 0.00268563-0j 2.50113e-06-0j -2.27126e-06-0j -2.3409e-06-0j 0.000223447-0j -0.000113528-0j 5.75789e-05-0j 3.83859e-05-0j 0.000156595-0j -0.00377641-0j -5.01881e-08-0j 0.0019187-0j -1.40527e-06-0j -3.34588e-08-0j 0.000196095-0j 3.29168e-06-0j -1.67242e-06-0j -0.00264658-0j 0.000159638-0j 2.37501e-05-0j 2.30687e-06-0j -0.00331416-0j 0.000144906-0j -2.07015e-08-0j -0.002698-0j 2.88876e-06-0j 4.79938e-05-0j -0.00244902-0j 2.35169e-06-0j -0.000811131-0j 2.13466e-06-0j 7.07015e-07-0j 
0.000476296-0j 9.6276e-06-0j 0.000340282-0j -0.00046937-0j -0.000587766-0j -0.0058417-0j -0.000114332-0j -0.00538798-0j 0.00525518-0j -8.16824e-05-0j 0.00757634-0j 0.00486289-0j 3.94427e-05-0j 0.0253082-0j 7.56361e-07-0j 0.000485315-0j 3.45124e-05-0j 2.30082e-05-0j 0.0221447-0j -3.36617e-05-0j 0.0147631-0j -0.0215988-0j 6.97615e-07-0j 1.42356e-05-0j 0.000447621-0j -4.57543e-05-0j 0.0091342-0j -2.40491e-05-0j -0.029358-0j -0.015431-0j -4.25895e-05-0j -0.0273273-0j -1.85613e-05-0j -0.0119098-0j 2.97224e-05-0j -0.000500738-0j 0.00596495-0j 5.6199e-07-0j -9.46795e-06-0j 0.000112785-0j 2.51252e-05-0j -2.45059e-05-0j 2.29361e-05-0j -0.000423289-0j 0.00504236-0j 0.000412856-0j 4.91741e-07-0j -0.000386408-0j -0.00491807-0j 3.27828e-07-0j 0.00460302-0j -3.22517e-05-0j 1.63863e-05-0j -8.28446e-06-0j -5.52297e-06-0j -2.26026e-05-0j 0.000543351-0j 9.86871e-05-0j -0.000276063-0j 2.02833e-07-0j 6.57914e-05-0j -2.83039e-05-0j -0.00647257-0j 0.00328856-0j 0.00038079-0j -2.30417e-05-0j -3.41716e-06-0j -0.00453609-0j 0.000476841-0j -2.09153e-05-0j 4.07064e-05-0j 0.000388189-0j -0.00568029-0j -6.92731e-06-0j 0.000352365-0j -0.00462423-0j 0.000116706-0j -0.00419748-0j -0.00139023-0j 
-0.00301236-0j -6.08903e-05-0j -0.00215213-0j 0.00296856-0j 0.00371736-0j -0.000387674-0j -7.58741e-06-0j -0.000357564-0j 0.000348751-0j -5.42071e-06-0j 0.000502791-0j 0.000322717-0j -0.000249458-0j -3.60061e-05-0j -4.78365e-06-0j -6.9046e-07-0j -0.000218275-0j -0.000145517-0j -3.15053e-05-0j 0.000212895-0j -2.10036e-05-0j 3.07288e-05-0j -4.41211e-06-0j -9.0034e-05-0j -6.36833e-07-0j 0.000289376-0j -1.29953e-05-0j 0.0001521-0j 4.17678e-05-0j 2.19537e-05-0j 0.000269359-0j 3.88787e-05-0j 0.000117392-0j 1.69441e-05-0j 0.0271376-0j -3.32306e-05-0j -2.76922e-06-0j 0.000513117-0j -6.28324e-07-0j -5.23603e-08-0j 0.0229402-0j -0.0223748-0j 0.0209415-0j -2.80908e-05-0j -2.3409e-06-0j 2.73985e-05-0j 0.000448977-0j -2.56433e-05-0j 2.28321e-06-0j 0.000299318-0j -2.13694e-06-0j -0.029447-0j 0.0149613-0j -5.49783e-07-0j -3.66522e-07-0j -0.020637-0j 3.60585e-05-0j -4.58153e-08-0j -1.83205e-05-0j 0.000185194-0j -3.05435e-08-0j -0.0258425-0j 3.00488e-06-0j -1.52671e-06-0j 2.52705e-05-0j -0.0210379-0j -2.26774e-07-0j 2.10587e-06-0j 3.16447e-05-0j -0.0190964-0j -1.88978e-08-0j 2.57615e-05-0j 2.63706e-06-0j -0.00632488-0j 2.33841e-05-0j 2.14679e-06-0j 7.74496e-06-0j 1.94867e-06-0j 6.45414e-07-0j 
0.000532515-0j 1.0764e-05-0j 0.000380447-0j -0.000524772-0j -0.000657142-0j -0.00323134-0j -6.32426e-05-0j -0.00298037-0j 0.00290691-0j -4.51827e-05-0j 0.00419086-0j 0.00268991-0j -0.00421602-0j -0.000606601-0j -8.08472e-05-0j -1.16323e-05-0j -0.00368902-0j -0.00245935-0j -0.000530776-0j 0.00359809-0j -0.000353851-0j 0.000517694-0j -7.45679e-05-0j -0.00152164-0j -1.07288e-05-0j 0.00489067-0j -0.000218934-0j 0.0025706-0j 0.00070367-0j 0.000369858-0j 0.00455238-0j 0.000654997-0j 0.00198401-0j 0.00028546-0j 3.32306e-05-0j 0.0264811-0j -7.0225e-05-0j 6.28324e-07-0j 0.000500704-0j -1.32781e-06-0j 2.80908e-05-0j -2.73985e-05-0j 2.56433e-05-0j 0.0223853-0j -5.93634e-05-0j -0.0218335-0j 5.49783e-07-0j 0.0204348-0j 5.79002e-05-0j 3.66522e-07-0j -5.41911e-05-0j -3.60585e-05-0j 1.83205e-05-0j 0.000438116-0j 0.000292077-0j -2.52705e-05-0j -0.0287346-0j -1.16184e-06-0j 0.0145994-0j 2.26774e-07-0j -7.74558e-07-0j -3.16447e-05-0j 7.62012e-05-0j -3.8716e-05-0j -0.0201377-0j -2.57615e-05-0j 0.000180714-0j 5.34031e-05-0j -0.0252173-0j -2.33841e-05-0j -4.79233e-07-0j -0.020529-0j 6.68737e-05-0j -7.74496e-06-0j -0.0186345-0j 5.44407e-05-0j -0.00617187-0j 4.94167e-05-0j 1.63671e-05-0j 
0.00035501-0j 7.17599e-06-0j 0.000253631-0j -0.000349848-0j -0.000438095-0j -0.00215423-0j -4.21617e-05-0j -0.00198691-0j 0.00193794-0j -3.01218e-05-0j 0.00279391-0j 0.00179327-0j 2.93989e-05-0j -0.000404401-0j 5.63758e-07-0j -7.75487e-06-0j 2.5724e-05-0j 1.71493e-05-0j -0.000353851-0j -2.509e-05-0j -0.000235901-0j 0.000345129-0j 5.19972e-07-0j 1.06106e-05-0j -7.15256e-06-0j -3.41033e-05-0j -0.000145956-0j -1.79251e-05-0j 0.000469113-0j 0.000246572-0j -3.17443e-05-0j 0.000436664-0j -1.38348e-05-0j 0.000190307-0j -0.00641854-0j -0.000184656-0j -4.68167e-05-0j -0.000121362-0j -3.49147e-06-0j -8.85209e-07-0j -0.00542579-0j 0.00529205-0j -0.00495304-0j -0.000156095-0j -3.95756e-05-0j 0.000152248-0j -0.000106191-0j -0.000142495-0j 3.86001e-05-0j -7.07943e-05-0j -3.61274e-05-0j 0.00696476-0j -0.00353863-0j -3.05504e-06-0j -2.03669e-06-0j 0.00488102-0j 0.00020037-0j -7.74558e-07-0j -0.000101803-0j -4.38017e-05-0j -5.16372e-07-0j 0.00611223-0j 5.08008e-05-0j -2.58107e-05-0j 0.000140423-0j 0.00497586-0j -1.26014e-06-0j 3.56021e-05-0j 0.000175844-0j 0.00451666-0j -3.19489e-07-0j 0.000143151-0j 4.45825e-05-0j 0.00149595-0j 0.000129941-0j 3.62938e-05-0j 4.30372e-05-0j 3.29445e-05-0j 1.09114e-05-0j 
-4.43762e-05-0j -8.96999e-07-0j -3.17039e-05-0j 4.3731e-05-0j 5.47618e-05-0j 0.000819258-0j 1.60342e-05-0j 0.000755627-0j -0.000737002-0j 1.14554e-05-0j -0.00106253-0j -0.000681986-0j -3.67486e-06-0j -0.00722603-0j -7.04698e-08-0j -0.000138568-0j -3.2155e-06-0j -2.14367e-06-0j -0.00632278-0j 3.13625e-06-0j -0.00421518-0j 0.00616693-0j -6.49965e-08-0j -1.32633e-06-0j -0.000127805-0j 4.26291e-06-0j -0.00260801-0j 2.24064e-06-0j 0.00838234-0j 0.00440587-0j 3.96804e-06-0j 0.00780253-0j 1.72935e-06-0j 0.00340049-0j -2.76922e-06-0j 7.0225e-05-0j 0.0256407-0j -5.23603e-08-0j 1.32781e-06-0j 0.000484814-0j -2.3409e-06-0j 2.28321e-06-0j -2.13694e-06-0j 5.93634e-05-0j 0.0216749-0j -5.79002e-05-0j -4.58153e-08-0j 5.41911e-05-0j -0.0211406-0j -3.05435e-08-0j 0.0197864-0j 3.00488e-06-0j -1.52671e-06-0j 1.16184e-06-0j 7.74558e-07-0j 2.10587e-06-0j -7.62012e-05-0j 0.000424212-0j 3.8716e-05-0j -1.88978e-08-0j 0.000282808-0j 2.63706e-06-0j -0.0278227-0j 0.0141361-0j -5.34031e-05-0j 2.14679e-06-0j 4.79233e-07-0j -0.0194987-0j -6.68737e-05-0j 1.94867e-06-0j 0.000174979-0j -5.44407e-05-0j -0.0244171-0j 6.45414e-07-0j -4.94167e-05-0j -0.0198775-0j -1.63671e-05-0j -0.0180431-0j -0.005976-0j 
0.000307448-0j 6.21459e-06-0j 0.000219651-0j -0.000302977-0j -0.000379401-0j 3.95668e-05-0j 7.74387e-07-0j 3.64937e-05-0j -3.55942e-05-0j 5.53249e-07-0j -5.13159e-05-0j -3.29372e-05-0j -0.0048937-0j 3.67486e-06-0j -9.38426e-05-0j 7.04698e-08-0j -0.00428199-0j -0.00285466-0j 3.2155e-06-0j 0.00417645-0j 2.14367e-06-0j -3.13625e-06-0j -8.65539e-05-0j -0.00176623-0j 6.49965e-08-0j 0.00567679-0j 1.32633e-06-0j 0.0029838-0j -4.26291e-06-0j -2.24064e-06-0j 0.00528412-0j -3.96804e-06-0j 0.00230292-0j -1.72935e-06-0j -0.00276972-0j -0.000651897-0j 2.82632e-07-0j -5.23698e-05-0j -1.23261e-05-0j 5.344e-09-0j -0.00234133-0j 0.00228362-0j -0.00213733-0j -0.000551068-0j 2.38917e-07-0j 0.000537486-0j -4.58235e-05-0j -0.000503054-0j -2.33029e-07-0j -3.0549e-05-0j 2.18101e-07-0j 0.00300542-0j -0.00152698-0j -1.07853e-05-0j -7.1902e-06-0j 0.00210625-0j 0.000707373-0j 4.676e-09-0j -0.000359399-0j -1.89012e-05-0j 3.11734e-09-0j 0.00263754-0j -3.06684e-07-0j 1.55819e-07-0j 0.00049574-0j 0.00214717-0j -4.44871e-06-0j -2.1493e-07-0j 0.000620787-0j 0.00194902-0j 1.92875e-09-0j 0.000505372-0j -2.69144e-07-0j 0.00064553-0j 0.000458734-0j -2.19106e-07-0j 0.000151936-0j -1.98885e-07-0j -6.58722e-08-0j 
-6.27575e-05-0j -1.26855e-06-0j -4.48361e-05-0j 6.1845e-05-0j 7.74449e-05-0j 0.000769711-0j 1.50645e-05-0j 0.000709928-0j -0.00069243-0j 1.07626e-05-0j -0.000998271-0j -0.000640742-0j 0.000496863-0j -0.00333465-0j 9.52794e-06-0j -6.39458e-05-0j 0.000434755-0j 0.000289837-0j -0.00291781-0j -0.000424039-0j -0.00194521-0j 0.0028459-0j 8.78791e-06-0j 0.000179327-0j -5.89792e-05-0j -0.000576371-0j -0.00120354-0j -0.000302948-0j 0.00386826-0j 0.00203321-0j -0.000536503-0j 0.00360069-0j -0.000233818-0j 0.00156925-0j 0.000565366-0j -0.00630784-0j -0.000785952-0j 1.06899e-05-0j -0.000119268-0j -1.48608e-05-0j 0.000477921-0j -0.000466141-0j 0.00043628-0j -0.00533221-0j -0.000664389-0j 0.00520078-0j 9.35369e-06-0j -0.00486762-0j 0.000648013-0j 6.23579e-06-0j -0.000606501-0j -0.000613479-0j 0.000311694-0j -0.00010436-0j -6.95733e-05-0j -0.000429937-0j 0.00684463-0j -1.30032e-05-0j -0.00347759-0j 3.8582e-06-0j -8.66878e-06-0j -0.000538385-0j 0.000852836-0j -0.000433305-0j 0.00479684-0j -0.00043829-0j -4.30463e-05-0j 0.000597682-0j 0.00600681-0j -0.000397843-0j -5.36353e-06-0j 0.00489004-0j 0.000748444-0j -0.000131768-0j 0.00443876-0j 0.000609295-0j 0.00147015-0j 0.000553066-0j 0.000183179-0j 
-3.13787e-05-0j -6.34274e-07-0j -2.24181e-05-0j 3.09225e-05-0j 3.87225e-05-0j 0.000190409-0j 3.72661e-06-0j 0.00017562-0j -0.000171291-0j 2.66242e-06-0j -0.000246949-0j -0.000158505-0j 0.000750491-0j 3.57443e-05-0j 1.43916e-05-0j 6.8544e-07-0j 0.00065668-0j 0.000437787-0j 3.12763e-05-0j -0.000640494-0j 2.08509e-05-0j -3.05054e-05-0j 1.32738e-05-0j 0.000270867-0j 6.32203e-07-0j -0.000870585-0j 1.29008e-05-0j -0.000457591-0j -4.14642e-05-0j -2.17941e-05-0j -0.000810366-0j -3.8596e-05-0j -0.000353173-0j -1.68209e-05-0j -1.95813e-06-0j -0.00471388-0j 4.13805e-06-0j -3.70243e-08-0j -8.913e-05-0j 7.82422e-08-0j -1.65527e-06-0j 1.61447e-06-0j -1.51105e-06-0j -0.00398478-0j 3.49802e-06-0j 0.00388657-0j -3.23963e-08-0j -0.00363759-0j -3.4118e-06-0j -2.15975e-08-0j 3.19324e-06-0j 2.12477e-06-0j -1.07954e-06-0j -7.79887e-05-0j -5.19925e-05-0j 1.48908e-06-0j 0.00511503-0j 6.84619e-08-0j -0.00259882-0j -1.33628e-08-0j 4.56413e-08-0j 1.86468e-06-0j -4.4902e-06-0j 2.28136e-06-0j 0.0035847-0j 1.51801e-06-0j -3.21687e-05-0j -3.14681e-06-0j 0.00448892-0j 1.37792e-06-0j 2.82391e-08-0j 0.00365435-0j -3.94057e-06-0j 4.56376e-07-0j 0.00331711-0j -3.20795e-06-0j 0.00109865-0j -2.91191e-06-0j -9.64443e-07-0j 
3.69802e-06-0j 7.47499e-08-0j 2.64199e-06-0j -3.64425e-06-0j -4.56349e-06-0j -9.11873e-05-0j -1.78468e-06-0j -8.41048e-05-0j 8.20318e-05-0j -1.27504e-06-0j 0.000118265-0j 7.59083e-05-0j 3.06238e-07-0j 0.00121281-0j 5.87248e-09-0j 2.3257e-05-0j 2.67958e-07-0j 1.78639e-07-0j 0.00106121-0j -2.61354e-07-0j 0.000707471-0j -0.00103505-0j 5.41637e-09-0j 1.10527e-07-0j 2.14507e-05-0j -3.55242e-07-0j 0.000437725-0j -1.8672e-07-0j -0.00140688-0j -0.000739476-0j -3.3067e-07-0j -0.00130957-0j -1.44112e-07-0j -0.000570734-0j -3.33145e-05-0j -7.81638e-06-0j -0.00882673-0j -6.2991e-07-0j -1.47792e-07-0j -0.000166896-0j -2.81618e-05-0j 2.74676e-05-0j -2.57081e-05-0j -6.60742e-06-0j -0.0074615-0j 6.44457e-06-0j -5.51172e-07-0j -6.03173e-06-0j 0.00727759-0j -3.67448e-07-0j -0.00681139-0j 3.61496e-05-0j -1.83667e-05-0j -1.29318e-07-0j -8.6212e-08-0j 2.53343e-05-0j 8.48155e-06-0j -0.000146034-0j -4.30927e-06-0j -2.27347e-07-0j -9.73558e-05-0j 3.17246e-05-0j 0.00957788-0j -0.00486629-0j 5.94402e-06-0j 2.58265e-05-0j -5.3341e-08-0j 0.00671235-0j 7.44336e-06-0j 2.34431e-05-0j -6.02358e-05-0j 6.05951e-06-0j 0.00840549-0j 7.76452e-06-0j 5.50031e-06-0j 0.00684277-0j 1.82174e-06-0j 0.00621128-0j 0.00205722-0j 
4.52913e-06-0j 9.15495e-08-0j 3.23577e-06-0j -4.46328e-06-0j -5.58911e-06-0j -8.36151e-05-0j -1.63648e-06-0j -7.71208e-05-0j 7.522e-05-0j -1.16916e-06-0j 0.000108444-0j 6.96049e-05-0j -7.2091e-05-0j 0.000737504-0j -1.38243e-06-0j 1.41425e-05-0j -6.30797e-05-0j -4.20531e-05-0j 0.000645316-0j 6.15249e-05-0j 0.000430211-0j -0.00062941-0j -1.27506e-06-0j -2.6019e-05-0j 1.30441e-05-0j 8.36271e-05-0j 0.000266179-0j 4.39555e-05-0j -0.000855519-0j -0.000449672-0j 7.78425e-05-0j -0.000796342-0j 3.39253e-05-0j -0.000347061-0j 2.82632e-07-0j 0.00137763-0j -0.00261694-0j 5.344e-09-0j 2.60482e-05-0j -4.94811e-05-0j 2.38917e-07-0j -2.33029e-07-0j 2.18101e-07-0j 0.00116455-0j -0.00221218-0j -0.00113585-0j 4.676e-09-0j 0.00106309-0j 0.00215766-0j 3.11734e-09-0j -0.00201944-0j -3.06684e-07-0j 1.55819e-07-0j 2.27922e-05-0j 1.51948e-05-0j -2.1493e-07-0j -0.00149487-0j -4.3296e-05-0j 0.000759506-0j 1.92875e-09-0j -2.8864e-05-0j -2.69144e-07-0j 0.00283964-0j -0.00144275-0j -0.00104763-0j -2.19106e-07-0j 9.4013e-06-0j 0.00199007-0j -0.00131189-0j -1.98885e-07-0j -1.78587e-05-0j -0.00106798-0j 0.00249205-0j -6.58722e-08-0j -0.000969425-0j 0.00202874-0j -0.00032108-0j 0.00184152-0j 0.000609923-0j 
-2.92354e-07-0j -5.9095e-09-0j -2.08868e-07-0j 2.88103e-07-0j 3.60775e-07-0j 9.02064e-06-0j 1.76549e-07-0j 8.32001e-06-0j -8.11494e-06-0j 1.26132e-07-0j -1.16992e-05-0j -7.50918e-06-0j 2.31462e-06-0j -0.00016036-0j 4.43857e-08-0j -3.07509e-06-0j 2.0253e-06-0j 1.3502e-06-0j -0.000140315-0j -1.97538e-06-0j -9.35433e-05-0j 0.000136857-0j 4.09383e-08-0j 8.35392e-07-0j -2.83626e-06-0j -2.68501e-06-0j -5.7877e-05-0j -1.41128e-06-0j 0.000186021-0j 9.7775e-05-0j -2.49929e-06-0j 0.000173154-0j -1.08924e-06-0j 7.54637e-05-0j -1.82438e-08-0j -7.39247e-05-0j 0.00176304-0j -3.44954e-10-0j -1.39777e-06-0j 3.33355e-05-0j -1.54221e-08-0j 1.50419e-08-0j -1.40783e-08-0j -6.24908e-05-0j 0.00149035-0j 6.09506e-05-0j -3.01835e-10-0j -5.70461e-05-0j -0.00145361-0j -2.01223e-10-0j 0.00136049-0j 1.97964e-08-0j -1.00581e-08-0j -1.22305e-06-0j -8.15365e-07-0j 1.38736e-08-0j 8.02157e-05-0j 2.91685e-05-0j -4.07557e-05-0j -1.245e-10-0j 1.94457e-05-0j 1.73732e-08-0j -0.00191307-0j 0.000971984-0j 5.62166e-05-0j 1.41432e-08-0j -5.04481e-07-0j -0.00134071-0j 7.03968e-05-0j 1.2838e-08-0j 1.20314e-05-0j 5.73089e-05-0j -0.0016789-0j 4.25204e-09-0j 5.20201e-05-0j -0.00136676-0j 1.72294e-05-0j -0.00124063-0j -0.000410906-0j 
9.20829e-09-0j 1.86132e-10-0j 6.57872e-09-0j -9.0744e-09-0j -1.13634e-08-0j -3.98247e-07-0j -7.79434e-09-0j -3.67315e-07-0j 3.58262e-07-0j -5.56854e-09-0j 5.16503e-07-0j 3.31518e-07-0j 7.62551e-10-0j 1.06438e-05-0j 1.46228e-11-0j 2.04107e-07-0j 6.67232e-10-0j 4.44822e-10-0j 9.31332e-06-0j -6.50786e-10-0j 6.20888e-06-0j -9.08377e-06-0j 1.34871e-11-0j 2.75219e-10-0j 1.88255e-07-0j -8.84575e-10-0j 3.84155e-06-0j -4.64944e-10-0j -1.2347e-05-0j -6.48976e-06-0j -8.23388e-10-0j -1.1493e-05-0j -3.58848e-10-0j -5.00885e-06-0j 5.74626e-10-0j -3.41369e-08-0j -0.000195992-0j 1.0865e-11-0j -6.4546e-10-0j -3.70582e-06-0j 4.85749e-10-0j -4.73776e-10-0j 4.43426e-10-0j -2.88569e-08-0j -0.000165678-0j 2.81457e-08-0j 9.5069e-12-0j -2.63427e-08-0j 0.000161595-0j 6.33793e-12-0j -0.000151243-0j -6.23527e-10-0j 3.16799e-10-0j -5.64777e-10-0j -3.76518e-10-0j -4.36979e-10-0j 3.70419e-08-0j -3.24259e-06-0j -1.88201e-08-0j 3.9214e-12-0j -2.16173e-06-0j -5.47204e-10-0j 0.000212671-0j -0.000108053-0j 2.59596e-08-0j -4.45469e-10-0j -2.32959e-10-0j 0.000149044-0j 3.25078e-08-0j -4.04359e-10-0j -1.3375e-06-0j 2.6464e-08-0j 0.000186639-0j -1.33927e-10-0j 2.40218e-08-0j 0.00015194-0j 7.95618e-09-0j 0.000137918-0j 4.56793e-05-0j 
0.0180175-0j 0.0210204-0j -0.037884-0j -0.0178692-0j 0.00758665-0j 0.00231875-0j 0.0026193-0j -0.00207777-0j 0.00216082-0j -0.00550742-0j -0.00149981-0j 0.000493239-0j 0.00149205-0j 0.000215359-0j 0.0016514-0j 0.000238359-0j -0.00126838-0j 0.000870363-0j -0.000183075-0j 0.00131907-0j 0.000125626-0j 0.000190392-0j -0.00147978-0j -0.00264656-0j -0.000213587-0j 0.000888496-0j -0.000381998-0j -0.00277352-0j 0.000128243-0j -0.000400323-0j -0.000534079-0j -7.70877e-05-0j 0.00014341-0j 2.06995e-05-0j 0.00112435-0j 0.000198758-0j 1.65632e-05-0j 0.00122702-0j 0.000216908-0j 1.80757e-05-0j -0.000923387-0j 0.000960294-0j 0.000867633-0j -0.000163233-0j -1.36028e-05-0j 0.000169758-0j -0.00104308-0j 0.000153377-0j 1.41465e-05-0j 0.000715761-0j 1.27814e-05-0j 0.000626291-0j -0.00182431-0j -0.000184392-0j 0.00012653-0j -0.000860495-0j 0.000110714-0j -1.5366e-05-0j -0.000322495-0j -0.00217645-0j 1.05442e-05-0j 0.000365336-0j 9.22613e-06-0j -2.68746e-05-0j -0.000152115-0j -0.00131686-0j -0.000384746-0j -1.26763e-05-0j 6.45829e-05-0j -0.000196421-0j -3.20621e-05-0j -0.000232789-0j 5.38191e-06-0j 4.45757e-05-0j -3.47227e-05-0j -1.93991e-05-0j 7.87995e-06-0j -2.89355e-06-0j 6.56663e-07-0j 
