0.118263+0.127011j 0.0966825-0.00422224j 0.0598629-0.00144325j 0.117189+0.102516j 0.00998887+0.10044j 0.0214296-0.0186145j 0.0529171+0.105209j -0.00775342-0.0229661j 0.01512+0.0813765j 0.0585814+0.140214j 0.0254098-0.0276426j -0.0129493+0.0069603j 0.00287299+0.0141585j -0.00674098-0.0271626j 0.00706024+0.0279131j -0.00824045-0.021301j 0.0009017+0.00289999j -0.0245422-0.0362687j 0.0318509+0.011439j -0.00825531+0.010583j 0.0214651-0.0183328j -0.00169318+0.00651028j -0.00424932+0.0257195j -0.0261819-0.0820069j 0.00443109+0.012296j -0.00450034-0.00585042j -0.00263492-0.00254258j -0.000823549-0.0121077j -0.00120983-0.00206874j -0.0147498-0.0177645j 0.00569126-0.00302131j -0.0136565+0.0103425j -0.0100554-0.012154j -0.0200697+0.00386803j 0.00486385+0.0115274j 0.030049-0.000128516j -0.0196985+0.00323275j 0.0112929+0.00937975j -0.0202993-0.0221809j -0.0413212-0.0685463j 
-0.111375+0.0642667j -0.194611-0.0557588j 0.0307133+0.0378345j 0.00152841+0.227226j 0.0789395-0.119521j -0.0809227+0.00349605j -0.0612211+0.0798295j -0.168896-0.0551086j 0.0901037-0.104959j 0.0383348+0.0306988j 0.00351227+0.014488j 0.00786742-0.00977969j -0.0201541+0.00485297j -0.021046+0.00709244j 0.00113877+0.0171449j 0.0018576-0.00802271j 0.0204+0.0345147j -0.0224995-0.0222867j 0.0023969+0.020557j 0.0120901-0.0359814j 0.00886851+0.000669739j 0.000430555-0.00899798j 0.00652208-0.00233951j -0.0128778-0.000250412j -0.0129096-0.00253841j -0.00199251-0.00607152j 0.00642112+0.00105498j -0.0185263+0.0155455j -0.0157908-0.00263111j -0.00273189-0.0175908j 0.00827127-0.0151091j -0.0218884-0.00523356j -0.00176929-0.022217j -0.00621377-0.0209632j 0.0337145+0.00182018j 0.0273136+0.0157039j -0.0220048-0.0207033j -0.00982067+0.00853532j -0.00481179-0.0118276j -0.00544371-0.00513859j 
-0.0399426+0.127883j 0.0554055+0.109365j 0.00573342-0.0177128j -0.294005+0.098025j 0.093177-0.0120764j -0.18498+0.172329j 0.0355447-0.00494316j 0.0385861+0.153037j 0.0437086-0.0360581j 0.0786038-0.0292363j 0.021703+0.00135142j 0.01546+0.0023106j -0.00919696-0.0194937j -0.013966-0.00494559j 0.00131965+0.0093092j -0.00192107+0.0184885j 0.00400918-0.00576562j 0.0129775-0.00952787j 0.0141246-0.0169791j 0.0123526+0.0189546j -0.00532749-0.0126589j 0.00422676+0.0248032j -0.00382455+0.0196096j -0.00561245-0.00975271j -0.0129139+0.0509068j -0.0056527+0.0118869j 0.00292165+0.0018054j -0.00207821-0.00798779j -0.00663639-0.00725677j 0.000120602+0.00381828j 0.027639-0.00777051j -0.0117467+0.0047418j 0.0181628-0.00121844j 0.00608199-0.00124676j -0.00699343-0.00357835j -0.0124757+0.00406904j 0.0120701+0.00991872j -0.00880741+0.0249819j 0.0117926+0.0138063j -0.00236864-0.0304015j 
-0.0612832-0.0530004j 0.00698351-0.020753j 0.0201524-0.00155571j -0.179082-0.0592956j 0.0783662+0.0243312j -0.0853997-0.0712494j 0.0571226+0.0256758j -0.0368617-0.10535j 0.0651762+0.0146891j 0.0108912-0.0169893j -0.0105314+0.00806229j 0.00467915-0.00810271j 0.00902018-0.00128418j 0.00577838-0.00825365j 0.00283601+0.0306441j 0.0066698+0.0377697j -0.0353117+0.0153764j 0.0276303+0.0244382j 0.00354094-0.0212011j 0.00385326+0.00143183j -0.0172293-0.0279281j 0.00564408-0.00830606j 0.00169856+0.0262621j 0.00620782-0.00571807j -0.00592468-0.037152j -0.00259889+0.0073523j 0.0159399-0.0101161j 0.00450796+0.0061035j -0.0165075-0.00350228j 0.00986754+0.00531381j 0.00260212-0.0192806j -0.00780713+0.00138603j -0.0133852+0.00538897j 0.00597232-0.00496708j 0.0081982+0.00503385j 0.00843653+0.0017783j 0.000125051-0.0110913j -0.000490748-0.00717148j -0.00275496+0.0156278j -0.00103821-0.0114239j 
0.0530801+0.0600975j 0.0115337-0.071412j -0.0324769+0.0188797j 0.0957124+0.0391059j -0.0322279-0.0530354j 0.0658579-0.0877705j -0.0905088-0.0576548j 0.112339+0.103361j -0.0297742-0.0895468j 0.0167077+0.0677062j 0.00112129+0.0417281j 0.00443329+0.0143679j -0.0216136+8.32518e-05j -0.0199851+0.0096668j -0.0218598-0.000948659j -0.0214684-0.0429325j -0.00784054+0.0306273j -0.0420259-0.01316j -0.00509087+0.00183342j -0.00589857-0.00933577j -0.00920692+0.0118396j -0.00521532-0.00130696j -0.0132398+0.0112535j -0.0108847-0.00145693j 0.00844232-0.00850514j -0.0235003+0.00545444j 0.00188867-0.015618j 0.0265871+0.00568079j 0.0190641-0.00300235j 0.00248203-0.0136639j -0.00288759+0.0183732j -0.00535682-0.00930253j 0.00135778-0.000740049j 0.00840943-0.00974448j -0.0182513-0.0169566j -0.0124985+0.0306628j 0.019935+0.00684272j 0.00246095+0.0228619j 0.0168289-0.00969342j 0.00642725+0.0028188j 
-0.0190097-0.116544j 0.0152768-0.00534222j -0.0951944-0.017411j -0.0482811-0.0972745j 0.0364983+0.0113613j -0.0440393+0.00372752j -0.0112711-0.187701j -0.0814203-0.044227j 0.0492462+0.0387055j 0.0209566-0.0744367j -0.0211153+0.0133596j -0.0172996-0.00762036j -0.0220066+0.00847497j -0.0102819+0.0158976j 0.036106-0.0378566j 0.0114389+0.00530096j 0.0376624+0.00346517j -0.0160702+0.0333389j -0.0434656-0.00712627j -0.000606283-0.00226002j -0.00316189+0.0233899j 0.0121174+0.00241397j -0.0091292-0.0201865j -0.00751774+0.0467865j -0.0041911-0.000625406j -0.00947519-0.00151987j 0.000379727+0.00378269j -0.00468445-0.0023062j 0.0123597+0.0179945j -0.00259177+0.0219391j -0.00127054-0.00439491j -0.00647172-0.00526811j -0.00269039+0.0017241j -0.00331147+0.00133185j 0.00715346+0.014226j -0.0309351-0.0165051j -0.000767648-0.0117513j -0.0107229-0.0197939j 0.0264097-0.0021155j 0.0100637+0.0471962j 
-0.0388138+0.0707954j -0.0431548-0.012227j 0.00146971-0.10709j -0.105444+0.0461629j -0.0936518-0.225783j -0.0193656-0.21449j 0.174545-0.109122j 0.185871-0.00909772j -0.143405-0.256445j -0.066165+0.104012j -0.0439063+0.00676775j 0.0401483+0.0120651j 0.0172347-0.0242023j -0.012297+0.00997592j 0.042952-0.0143849j -0.0213027+0.0122292j -0.0146136+0.0137119j 0.043843+0.0167283j 0.0242248-0.0527684j -0.0232767-0.0697391j -0.00647779-0.0449575j -0.0158117+0.0110131j -0.00942544-0.0207663j 0.0377566+0.019134j 0.0165783-0.0189874j 0.00316366-0.00343407j 0.00959895+0.0141314j 0.00616843+0.00964876j -0.0149867-0.00982623j -0.0074289+0.00937701j 0.0155827+0.0375931j 0.00532094+0.00915146j 0.0143332+0.000784104j 0.0226578-0.00154011j -0.0239902+0.0173291j -0.0164695-0.0283057j 0.0499331+0.00778015j -0.00575503+0.0128175j 0.00794709+0.0302533j 0.0399658+0.0202135j 
-0.0908704-0.0067616j -0.0169311-0.0226832j -0.0319665+0.0444545j -0.150381-0.374072j -0.0278424+0.0918871j -0.137404-0.194852j -0.148818+0.0267752j -0.00756491+0.259046j -0.0787836+0.000441303j -0.0221443+0.0765528j 0.0384555+0.0192014j 0.00456159+0.0223778j -0.00537779-0.0137907j -0.00167378-0.017326j -0.0481747+0.0114042j 0.00987396-0.0257212j 0.0233555-0.00579415j 0.0139148-0.0391387j -0.01752-0.00948844j -0.0296309-0.00547939j -0.0116541+0.02367j 0.0124031-0.00304133j 0.0110243+0.0334214j 0.0201055-0.0236318j 0.00426177+0.00971049j 0.00344682-0.000754537j 0.000886042+0.0134603j 0.00328283+0.00795047j -0.01056+0.00341381j -0.00178592-0.0223488j -0.00150071+0.00428816j -0.00602244-0.00848862j -0.00431814+0.00347657j 0.0227058-0.00728072j 0.0141725-0.0214173j 0.000514987+0.0307628j 0.0211246+0.0457508j -0.0301532+0.0141011j 0.00849422-0.0218442j 0.016092-0.0232583j 
0.0112185+0.0740531j -0.0773989-0.0116398j -0.0629626-0.0750468j 0.0651683-0.0879041j 0.0281595+0.0296088j -0.119906-0.166838j 0.107558-0.181376j -0.138056-0.0140219j 0.0602609-0.0636382j 0.12139+0.116412j -0.0481421-0.0113534j -0.000653752+0.0242992j -0.0559844+0.0265358j -0.021327+0.0267022j 0.0420272-0.0226846j 0.0123466-0.0161641j 0.0240453-0.0324214j -0.040251+0.0327375j -0.053737-0.0296044j -0.0104014-0.0407537j -0.0171594+0.015513j -0.00346075+0.0028847j -0.00625743+0.0317901j -0.00514406-0.0259041j -0.035835+0.0190991j -0.00574514+0.00275925j 0.00214677+0.00844411j -0.0141875+0.0121573j 0.0425113+0.0133484j -0.00921338+0.0282356j 0.022411+0.0137422j -0.0132434-0.00941731j -0.00409273-0.00174301j 0.00681473-0.00289513j -0.0130416+0.0303926j -0.0237022-0.0197739j -0.0316817+0.00304143j 0.0102457+0.0470622j 0.0329556+0.00647185j -0.0429869-0.0257554j 
-0.0270837+0.0598427j 0.0102381+0.0284919j -0.0826365-0.0109674j 0.0989271+0.129728j -0.0130122-0.0294042j 0.00379112+0.119574j -0.02382-0.110708j -0.131569+0.0407764j -0.0166918+0.016214j -0.0875014-0.00837592j -0.0176517+0.00794789j -0.0136976-0.00750782j 0.0035702-0.0165221j -0.0309376-0.00208085j 0.00545826+0.00527229j -0.00620539+0.00786997j 0.0538793+0.00423372j -0.0154657-0.0121168j -0.0351148-0.0356617j -0.0277668+0.0122743j -0.0207895+0.00600563j 0.00235918+0.00731195j 0.00658788-0.0154044j -0.0196318+0.0111929j 0.00165777+0.000530216j 0.0070807-0.00199964j 0.00280102-0.00386981j 0.00937678-0.00739418j -0.00565343-0.0052163j -0.0168633-0.0180433j 0.00180704-0.00683726j 0.0110898-0.00729767j -0.0028391+0.0249275j 0.0317807+0.0024215j 0.0213365-0.017121j -0.0359812+0.0120281j -0.00481428-0.00694684j -0.0217695+0.00946912j 0.0365439-0.0135635j 0.019659-0.00291689j 
-0.0195079-0.0158268j -0.00370072-0.0328339j -0.0429304-0.0404264j -0.0510995-0.0957935j 0.0452576+0.06244j 0.157836+0.0593031j 0.00555587-0.125767j 0.191041+0.0966319j 0.0811519+0.0626367j -0.0648926-0.0275765j -0.0221455+0.0259225j 0.00780369-0.0305189j -0.0253365+0.0246096j -0.0222681+0.0441296j 0.0137377-0.0366923j -0.024788-0.000521177j -0.0114291-0.0281577j -0.018968-0.0194217j -0.00888506-0.000201817j 0.051002-0.0267808j -0.0132873-0.0108118j -0.0275467+0.0294517j -0.0111492+0.0422546j -0.000620253+0.0129328j 0.0246534-0.0127635j 0.00244066-0.0277545j -0.0104961-0.0144457j 0.033421-0.0350905j -0.00457768-0.00449409j -0.0036341-0.00333261j 0.0156969-0.0697182j -0.00465567+0.00456682j -0.0273409+0.00117523j 0.0144432-0.0152503j -0.0366229-0.034315j -0.0385734-0.0161182j 0.0199606+0.0095666j -0.00186885+0.00195418j 0.0196502-0.001495j -0.00506044+0.00197329j 
0.0945357-0.0452924j -0.0716832+0.036101j -0.00419928+0.0175878j 0.0193442+0.0485094j -0.163557+0.0629989j -0.191621+0.188631j -0.0335671-0.0532144j 0.0783232+0.020954j -0.191836+0.0765241j 0.0654426-0.0672765j 0.00174289+0.0171405j -0.0091403-0.00329828j 0.0243833+0.0109502j 0.0333222-0.0169297j 0.0128955-0.0400092j 0.00530394+0.00797522j -0.0399501+0.0176923j -0.0310105+0.000380185j -4.62093e-05-0.0162453j -0.0717925+0.0261365j 0.0193651-0.00266618j -0.000312689+0.00332198j 0.0152984+0.00105921j 0.0114293+0.0117108j 0.00928805+0.0181288j -0.0109075-0.00955009j -0.026798+0.00741438j 0.0424373-0.017784j -0.00664062+0.0190621j 0.0351797+0.00348493j 0.0163423-0.0162232j -0.00226185+0.000843697j -0.00173823+0.0241848j 0.0163168+0.0117311j -0.0383146-0.022259j -0.0296816+0.0123693j 0.0164638+0.00859486j 0.0382088-0.0215457j 0.00255831+0.000161955j 0.00164107+0.00685298j 
0.0486503-0.00290566j 0.0167974+0.00424947j -0.00622262+0.00666765j 0.153327-0.0333022j 0.0072748+0.00403662j 0.140702-0.0215609j 0.0600854+0.00476594j 0.0106099-0.0169573j 0.0390108-0.056641j -0.0290048-0.0101032j 0.00987995+0.0313137j -0.0119597-0.00585513j 0.00187547-0.00670901j -0.0118851-0.0240022j 0.0515779+0.0322596j -0.0102321+0.043912j -0.00550952+0.0418276j -0.0195995-0.0059865j -0.0263282+0.0110548j -0.00383508+0.0065052j -0.0169214-0.00587135j -0.0124739+0.00016146j -0.00148524+0.0257671j -0.0228406-0.0415065j 0.00629902-0.00792425j -0.0112886+0.00210346j 0.0101466-0.00143522j 0.013965-0.00357687j -0.0123532-0.0048376j 0.00249833-0.00902648j -0.00526052+0.00177543j 0.00613283+0.00347135j 0.007592+0.0193969j 0.0148362-0.00653336j -0.0120553+0.00225101j -0.0090376-0.0175347j 0.00391812-0.00571992j 0.0052999-0.0064925j 0.0013228+0.00261681j -0.00480782-0.0307187j 
0.0257849+0.00550853j 0.0101877+0.0204459j -0.0705053+0.00866786j 0.0713869+0.0173343j -0.0810999-0.012644j -0.163871+0.0919109j -0.0508901-0.150632j -0.178194+0.0753268j -0.0915118-0.00841303j 0.0457192-0.105967j -0.0573449+0.00691651j 0.0111654+0.00859481j -0.0041993+0.0011204j 0.00416618-0.0301153j -0.00763112-0.022894j -0.0052501-0.0160948j -0.00863625-0.0258502j 0.0254937-0.00330625j 0.00207006+0.0115789j -0.0295829-0.0221556j 0.011211+0.00137483j 0.00267967-0.0345413j -0.0131695+0.00975343j -0.0278826-0.0389352j -0.0459923-0.0335084j -0.000353941-0.0246593j 0.00492081+0.0174474j -0.0413807-0.0316816j 0.00847716-0.0228566j -0.0151212-0.0302777j 0.0271079-0.00401623j 0.0171931+0.0195268j 0.0125613-0.0143846j -0.000331112-0.016961j 0.0218-0.0266011j -0.022838+0.00342415j -0.00497958+0.0173221j 0.0104459-0.00616836j 0.0119084-0.00912967j 0.0038473-0.00668813j 
-0.0435259-0.0321651j 0.0186897-0.00757492j 0.00801335+0.000766954j -0.119048+0.0414344j 0.104272+0.0382675j -0.18424-0.100274j -0.0537903+0.0158332j -0.199058-0.0783384j 0.0719406+0.0341674j 0.0635116+0.0522419j 0.0144469+0.00670091j -0.0103658-0.0172893j 0.00163766+0.0626925j -0.00669409+0.0339087j -0.0276002-0.0258921j 0.00735378-0.0630354j 0.00727726+0.0400965j -0.00597198-0.0182528j -0.0130084-0.0107102j -0.0281933-0.0137655j 0.0143871-0.0114748j -0.0174549+0.0176856j 0.0245424-0.0101029j -0.052244-0.0145865j -0.0380468-0.0115205j -0.0101319+6.66943e-05j 0.0123143+0.00483932j 0.00185835-0.00574911j -0.00172879-0.0167062j 0.00999102-0.00763945j 0.0280487+0.002373j -0.0104715+0.000925454j -0.00144202+0.00480258j 0.00265204-0.026042j 0.0237176+0.0236944j -0.0159126+0.01555j -0.0259681-0.0283344j 0.00186197-0.00889988j 0.00404863-0.0254472j -0.0206737-0.00692609j 
-0.108557+0.0128672j 0.0129589+0.0291638j -0.000821992-0.0555227j -0.0874243+0.0487638j 0.0411525-0.0610796j 0.135333+0.11056j 0.104788-0.0375149j 0.031037+0.243251j 0.0264889-0.0883815j -0.0837584-0.0746116j 0.0130919-0.00207086j 0.00343807-0.00676671j -0.0208582+0.0622887j 0.0285733+0.0543988j 0.0253743+0.00463808j 0.0113245-0.0715047j -0.0154717+0.023567j 0.0510072-0.00804251j 0.0126119-0.0231893j 0.0435511-0.024136j 0.00637811-0.0094921j 0.0178912+0.00997435j -0.00910425-0.0141313j 0.0418967+0.0252642j 0.0104081+0.0259648j 0.00518025+0.00292598j -0.0142923+0.0103649j -0.0163028+0.013708j 0.0309604+0.0116841j 0.000166814+0.00438177j -0.034864+0.0158093j 0.00635259+0.0158995j -0.00374918-0.00450193j -0.0134993+0.00531681j -0.0215164-0.0369276j 0.00199954-0.0163297j 0.0146342+0.020222j -0.0197984+0.0219804j 0.00282171+0.00491169j 0.0286141+0.0291571j 
