0.00955059+0.0055211j 0.0044738-0.00783654j -0.0038673+0.0081374j 0.00716792+0.00496169j -0.000692508-0.00533856j 0.00309413-0.00440128j 0.00906663+0.0049721j 0.00556838-0.00786886j -0.00628847+0.00759531j -0.00425639-0.0016725j 0.0102113-0.00101078j -0.00475598+0.000859304j 0.00205833+0.00338913j 0.011172-0.00443881j -0.00284781+0.00597844j 0.00219592-0.000240218j 0.00335246+0.00126937j 0.00652606+0.00306624j 0.000572864+0.00193886j 0.00116744-0.00364417j 0.0017311+0.000825958j -0.00701966+0.00553627j -0.00505063+0.00465803j 0.00812282-0.00768105j -0.00124503+0.00592457j -0.00529598-0.000513121j 0.00528608-0.00482723j -0.00171223+0.00226338j -0.00205098+0.0035785j 0.00705238-0.00160004j 0.00111925+0.0038084j 0.00322212-0.00472156j -0.00362204+0.000523196j -0.00343009+0.00219188j 0.00144171+0.000148623j -0.000328977-0.00308097j -0.00680333+0.00457609j -0.00574023-0.00203944j 0.000326246-0.00236719j 0.00054779-0.00145588j 0.00090319-0.00806469j -0.00251026+0.00504947j 0.0011508-0.000947246j -0.000269736-0.00712048j -0.000624327+0.00183003j -0.00309877+0.0040109j 0.00265246+0.00268979j -0.00250325+0.000997963j -0.00509863+0.00607784j -0.00286447+0.00195171j 0.00111091-0.00312241j 0.00648624-0.00151867j -0.00250198+0.00282709j 0.00124202-0.00535711j 0.000911777-5.7633e-06j -0.00543229+0.0044691j -0.00626066+0.00521087j -0.0150546-0.000250993j 0.00149535+0.00697095j 0.00140968-0.00174387j 0.0184253+0.00858011j 0.00506403+0.000677231j -0.00546314-0.00435958j 0.0054273-0.00482751j -0.00188203+0.00193995j 0.00266554+0.000181803j -0.0146431-0.0028366j -0.00287671-0.00984284j 0.0130789+0.002494j 0.00624548+0.00469752j -0.00663975-0.00161006j -0.00790384+0.00861491j -0.00390964-0.0125047j 0.0189578-0.00412287j 0.0091012+0.0146307j -0.00543977+0.01062j 0.0304-0.00796131j -0.0133872-0.0516599j 0.0627037-0.00665614j 0.0326586-0.0341216j 0.0190403-6.33944e-08j 0.00212476-0.0118444j 0.00995149+0.00953325j 0.00727697+0.00418176j 0.00261082-0.014031j 0.000273164-0.0152111j -0.0149691+0.000282633j -0.0120051+0.0280035j -0.00298497-0.0462322j -0.0161544+0.0140491j 0.0119561+0.0807099j -0.076471+0.0201818j 
0.000765219+0.00468681j 0.00114885-0.000612441j 0.000772874+0.00294699j -0.00517321+0.00770335j -0.00698333-0.00669523j 0.000776342+0.00626842j -0.0130166+0.0068779j -0.00258798+0.000322812j -0.0156389-0.000940499j -0.00665563-0.000614033j -0.00682954-0.00782974j 0.0086252-0.000621631j -0.00336653-0.000119187j 0.00157752+0.00702478j -0.0217898-0.00225978j -0.00652749+0.00441884j 0.00535702-0.00442927j -0.010061-0.00396674j 0.0201811-0.00984421j -0.0103345+0.000345658j -0.00149368-0.00654615j -0.00644607-0.011306j -0.00867922-0.0177928j 0.0177194-0.00882039j 0.00578253-0.00681251j 0.00874813-0.00277914j 0.00246308+0.00471161j -0.00547679+0.00264898j -0.00133933+0.00156343j 0.019162+0.00263246j 0.00458486-0.00268054j 0.00221051+0.0120996j -0.00347718-0.00801001j -0.00836549+0.00191073j -0.000765198+0.00510168j -0.0158919-0.0104129j 0.0228708-0.00207843j -0.0102895-0.0113327j 0.0154285-0.00266808j -0.0101482+0.000353967j -0.0161693-0.0104482j 0.0181233-0.00244138j -0.00308627+0.0215481j -0.00255296+0.000319081j 0.00125759-0.00616834j 0.00416256-0.00197249j 0.0177551-0.00850103j -0.0101811+0.00286389j 0.00327899+0.000645596j 0.0180228+0.00634872j 0.00925618+0.0115255j 0.00100407-0.00430953j -0.0164864-0.000383111j -0.00689553-0.00137999j -0.00594217-0.00325757j -0.00752374+0.00885951j -0.00664129+0.011708j 0.00335356-0.00477758j -0.00799967-0.00271745j 0.000994884-0.00350108j 0.0147029+0.000960979j 0.00963132+0.00430183j 0.0099621+0.00564349j 0.0102449+0.00295267j -0.00484173+0.000181478j 0.00570205-0.00242562j -0.00491834-0.0070309j 0.0244388-0.0156981j -0.0141979+0.00533682j -0.00590831-0.006285j -0.00955374+0.00263441j 0.0034644-0.004094j -0.000171295-0.00649736j -6.40232e-05-0.00154815j -0.00139077+0.00681528j 0.0108618-0.00876113j -0.00524633-0.0118201j 0.0152877-0.00868025j -0.0180127-0.000649192j 0.00833029-0.00720308j -0.0118643+0.0144324j -0.0111815-0.0149008j -0.0152652+0.00980051j 0.00882016-0.00824948j 0.0139627-0.000678176j -0.000384648-0.00764078j -0.0121558+0.00345943j -0.00379626-0.00907191j -0.00773245-0.00572573j 0.00518494+0.00503325j -0.0101419+0.00580852j 0.00441561-0.00228019j 
0.00192386-0.0059263j 0.00274553+0.00743491j 0.00406642+0.00301147j 0.000470378-0.00664092j 9.03456e-05-0.00227764j -0.00661689+0.00657647j 0.00160832-0.00613704j 0.00640884-0.00789403j 0.00508101-0.00984507j -0.00964882-0.0139183j -0.00778861+0.00415471j -0.00878335-0.00167549j -0.00152926-0.0065141j 0.00531957-0.00846953j -0.00169371+0.00817765j 0.00607878+0.00647556j -0.00905877-0.00543029j -0.00197265+0.0043115j 0.00825617-0.00657031j -0.00547769-0.00426372j -0.00185277-0.000875815j 0.00402065-0.00558574j -0.00228555-0.0126882j 0.00226523+0.0022263j 0.00158493-0.00260684j 0.000945912+0.0041062j 0.00622126+0.0100749j 0.0018483-0.00308867j -0.0102093-0.00118957j 0.0218279+0.0078019j 0.0131614+0.0122813j 0.00736021+0.00898232j -0.00323881+0.00161306j -0.00139276-0.00117887j 0.00212035-0.00182153j 0.00312425+0.0222275j -0.0100481-0.0018423j -0.0154123+0.000512584j 0.00991513-0.000548281j 0.0072386+0.0140749j -0.0156316-0.0281392j 0.00388771+0.00120518j -0.00583769+0.0169094j 0.0117878+0.00197805j -0.00484953+0.00565159j 0.0151243+0.0010916j -0.0101928-0.0202216j -0.0083797+0.0035092j 0.000608898-0.00585825j -0.00857347+0.00204164j 0.0151733-0.00146434j 0.0187722+0.00137849j 0.00907673-0.00185481j 0.00530338+0.00912985j -0.00981091-0.0109112j -0.0101152+0.0107388j -0.0111972+0.00999711j -0.012724-0.0241387j -0.0170396-0.0189326j 0.00355431+0.0182216j 0.00411879-0.00319522j 0.0106146-0.000326074j -0.0110919-4.12333e-05j 0.00483603+0.00596219j -0.00729158-0.00461101j -0.014312-0.0140236j 0.000462664+0.00742075j 0.00648602-0.0167427j -0.00294519-0.0288624j -0.00200106-0.0112239j 0.00151074-0.00588627j 0.00729607+0.00670116j -0.0043617-0.00868111j 0.0114258+0.00946131j 0.00488944+0.000675239j -0.00327063-0.0105804j 0.00134398+0.0067278j -0.00363328+0.018417j 0.0053262-0.00838155j 0.00214248+0.00713474j 0.00200595+0.000252744j 0.00494402-0.0108387j -0.000454896-0.00553856j 0.0125115+0.00565001j -0.0107202+0.00634391j -0.00762062-0.0151376j -0.000671493+0.000774786j 0.00287412+0.0242626j -0.00160898-0.00329392j -0.000418904+0.0122979j 0.00322042-0.0190691j -0.0108852+0.00649807j 
-0.00448439+0.00582159j -0.000367558-0.00200791j 0.000613579+0.00520591j -0.0117687+0.00165191j 0.00313929-0.00233401j 0.00293127-0.00137646j -0.00370964-0.00412664j 0.0026966+0.001677j 0.00899983-0.00348323j -0.00365575-0.00649373j -0.000808842-0.0151486j 0.0131583-0.0049598j 0.00341473-0.00411548j -0.00364064+0.00269387j 0.00168923+0.00566899j 0.00262164-0.00618962j -0.00357957+0.0122982j 0.0118798+0.000894876j -0.00900572-0.0022409j -0.0088203+0.000177219j 0.000219372-0.006379j -0.00543617+0.00340939j 0.00341626+0.012558j 0.0277935-0.0144105j -0.00340191-0.00540385j 0.00917371-0.0124015j 0.00341258-0.0190389j -0.0130804+0.0157925j -0.0067669-0.00898769j -0.0137087-0.000120735j 0.00302308+0.00977473j 0.00156319+0.000990484j 0.0207672-0.0120113j 0.000246352-0.00424468j -0.00911369+0.0039675j 0.00222435+0.0170288j 0.0145035-0.00849139j -0.00332533+0.00938077j -0.0169175+0.00868547j -0.00494612+0.00133505j -0.0166673+0.0173571j -0.000369153+0.00302659j -0.0021947-0.00574855j -0.00548839-0.0118319j -0.00430865-0.0084064j 0.0259784+0.0113832j -0.000179908-0.0035672j -0.00770587-0.00126378j 0.00184971+0.0119128j -0.00147257-0.00861619j -0.000755672-0.0328929j 0.0101362-0.00717094j 0.0229383+0.000964469j 0.0109405+0.00399395j 0.0100219-0.0114644j 0.000622472-0.00131636j -0.0268162+0.00415835j 0.0129609-0.000492888j 0.00773003-0.00787683j 0.00614113+0.0198611j 0.020315+0.0190255j 0.00162224+0.00108383j -0.00490059-0.0026539j 0.00819977+0.00603489j -0.00427684-0.00835954j 0.0117247-0.0150656j -0.0156627-0.0054294j -0.0172427+0.00874283j -0.015637-0.0197494j 0.00219066+0.00597314j 0.00101411-0.0146339j -0.00651457-0.0100931j -0.00718172-0.00384062j -0.00507776+0.00202794j -0.00977913-0.00147851j -0.00717705+0.017234j 0.00302699+0.00326435j 0.00472067-0.00226718j 0.000703402+0.0049353j -0.0127367+0.00414548j 0.00144845-0.0163167j 0.00162186+0.0153824j -0.0113342+0.000835622j 0.0203406-0.00917988j 0.0029307+0.0108732j 0.0050609+0.00401066j -0.00912954-0.00578067j 0.00893152+0.0109305j 0.00423009-0.0114529j 0.0037629-0.00223542j -0.00293173-0.00296283j 0.000109923-0.00240137j 
-0.00722025-0.00652224j 0.00355708-0.00231972j 0.00237088+0.00773257j -0.00424503-0.000828369j -0.00264798-0.0011839j -0.00154894+0.00585373j 0.00134724-0.00553374j -0.00218817-0.00965256j -0.00658811-0.000841985j -0.00714249+0.00428347j 0.00988758+0.00718069j -0.00533125+0.0121515j -0.00649154-0.00684392j 0.00487504-0.00697984j -0.0153435-0.00613801j 0.00104732-0.00646771j 0.00515745-0.00184629j 0.00114368+0.00489815j -0.00203335+0.00202177j -0.0156626-0.0131478j 0.000336496-0.00674559j -0.00474117-0.0109046j -0.00390635+0.00303236j -0.0112705-0.0136504j -0.00795359+0.00194892j 0.00380755+0.00539088j -0.0122037-0.00402098j -0.0117654+0.00850124j -0.00564081+0.00199224j 0.0143523-0.00321965j 0.0109837-0.00495226j 0.00254431-0.0150071j -0.0094135-0.0016136j -0.000981748+0.0165988j 0.00818953+0.00639002j 0.0290992-0.00277168j -0.00320391+0.0154911j 0.0274003+0.00729443j 0.0247432+0.00135568j 0.00129734-0.00973649j -0.00195938+0.0135143j 0.00261089-0.00934218j 0.00746309+0.0155114j -3.04923e-05-0.0239322j 0.00693327-0.00110064j 0.0131054+0.00199188j 0.0105724-0.0008387j 0.000375296-0.0212959j 0.000435505+0.0106024j 0.00808698-0.00185594j 0.000187347-0.00719832j -0.00400173-0.00366536j -0.00396615-0.00958915j -0.0124965-0.00227084j 0.00642092-0.000384043j -0.00591963+0.0193147j 0.00618036-0.0126475j -0.00578952+0.0200018j 0.0211946+0.000765323j -0.0144052+0.000651751j 0.0109179+0.0163138j 0.0137985-0.000918793j 0.0151714+0.00525225j -0.00485015+0.00952429j -0.00855286-0.0307014j -0.00324005+0.0157861j 0.00457109-0.00884645j -0.000398646-0.00760249j -0.0191665-0.0107387j -0.00665207-0.00696015j -0.00733955+0.0198135j 0.00206225-0.00942886j -0.0020277-0.0101603j 0.0034668+0.00442364j -0.00935461+0.0307768j -0.0113463+0.00913638j -0.00749746-0.00294272j 0.0187466+0.0131492j 0.00523614-0.00946504j 0.00186709-0.00680209j 0.00280135-0.00228382j 0.00168124+0.0120069j -0.00476783-0.0168221j -0.00512913+0.0070715j 0.00423744-0.00279015j -0.00491864-0.00388042j -0.000318531+0.00216499j -0.00178452-0.00211236j -0.00702715+0.00648736j -0.00546828+0.00659643j -0.0116102-0.0025417j -0.00481985+0.0127981j 
-0.00542291+9.71684e-05j 0.00268836-0.00817679j 0.00230926+0.00464849j -0.000309074+0.00120234j 0.00124066-0.00447671j 0.0046847-0.00181413j 0.00151527+0.00844927j -0.00368865-0.008912j -0.000756753-0.00319397j -0.00434215+0.0122387j 0.00252967-0.0053066j 0.00160751+0.0132713j 0.00914853-0.00797429j -0.000122162-0.00434734j 0.00521916+0.00246644j 0.0215991+0.00199776j 0.00363869-0.000397542j -0.00857417+0.0104465j -0.00612758-0.0115911j -0.000942521-0.00337818j -0.00410662-0.00807427j 0.0143346+0.0048204j -0.00239266-0.000387209j -0.0164116-0.00152135j 0.0222946+0.00220434j 0.0098191-0.00749984j 0.00422272+0.00421423j -0.00816625-0.00292616j -0.0150624+0.00450298j 0.000713515+0.00442903j 0.0154183-0.00192458j -0.0110884+0.0158967j -0.00218767-0.000586232j -0.0266089-0.00884147j -0.00190877+0.00306057j 0.0234684+0.00189982j 0.00441721+0.00913345j 0.0133738-0.00236462j -0.0144501-0.0055933j -0.00583861+0.000845104j 0.00694055+0.00965642j -0.00144328+0.00322426j -0.0117441-0.0166794j 0.00993149+0.00716765j 0.0199335-0.00234077j -0.0049541+0.010282j 0.0113598-0.0110895j -0.00678267-0.000235746j -0.00732853-0.00958169j -0.00750838+0.0011604j -0.0144912-0.0167964j 0.00802899+0.0156258j -0.0065554+0.0123487j 0.0114017+0.00748938j -0.00575781+0.00881651j -0.00677822+0.000184729j -0.00309031+0.0226806j 0.009784+0.00745202j -0.00682533-0.0162246j -0.0129558+0.0101789j -0.0131319-0.00923583j 0.00372909+0.00340798j 0.00738196-0.0131049j 0.00282127-0.00494481j 0.00355367+0.0016546j 0.00464379-0.0152868j 0.00243682-0.00227557j 0.00187993-0.014287j -0.00519981+0.00364124j -0.00685326+0.00220465j -0.00457245+0.00900587j 0.00592502+0.0131077j 0.00171503-0.0203125j -0.00369742+0.00821025j -0.00900147-0.000422771j 0.0164221+0.00754789j -0.000713061+0.0111575j 0.00970595-0.00704639j 0.00510262-0.0126635j 0.00246985-0.0010549j -0.00557873+0.00777707j 0.0103615-0.00425998j -0.00950647-0.0010949j 0.00636054-0.0101926j 0.00238425-0.0140708j -0.00622279+0.00578513j 0.00323158+0.0181053j -0.00442322-0.00206969j -0.00483731+0.00260708j -0.00348242+0.00704746j -0.00458046+0.007528j -0.00360902+0.00689259j 
-0.00409552+0.00331559j -0.00574958-0.00197047j 0.00215648+0.00516088j -0.00403985+0.00249352j -0.00186404-0.00280691j -0.00238216-0.00547465j 0.00500499-0.00363954j -0.00134757-0.00144689j 0.00244198+0.00137339j 0.000223478+0.00160697j -0.00295227-3.84754e-05j -0.00405142-0.0089527j -0.000423609-0.0103823j 0.00703097+0.00351823j 0.00166914-0.000741309j -0.00194894-0.000780504j -0.00125531+0.0175488j -0.0115613+0.00941825j 0.00699076+0.000525812j -0.0192377+0.0118818j 0.00318042-0.00517261j 0.0164308+0.00325154j -0.0102994+0.00653725j 0.00894265-0.0118076j 0.00123646+0.00219074j 0.0161597-0.0140434j 0.0185741-0.0094091j 0.00125922+0.00770879j 0.0122698+0.00478222j 0.0118405+0.00557211j 0.0102177+0.00235822j -0.00911723+0.00579912j 0.00778666-0.011639j -0.00273143+0.00767812j 0.00116521+0.0105755j 0.00573942-0.00701157j 0.00718128+0.0146017j 0.0013205-0.0103843j 0.00168518-0.00638403j 0.0157385-0.0188353j 0.00511778-0.00939109j 0.00288811-0.0057262j -0.000502922-0.0148031j 0.00675614+0.0168278j -0.00572426-0.00780401j -0.0101762-0.0144259j 0.0040269-0.0107463j -0.0142161+0.00541036j -0.00761425-0.00254877j -0.00644362-0.00622123j -0.0167252+0.00278512j -0.0082671+0.012851j -0.00538031+0.00968047j 0.020266+0.00211651j -0.00287932-9.20334e-05j -0.00328115-0.00320728j -0.01102+0.0120817j -0.00667816+0.00601022j 0.00285168+0.0100529j -0.00107501-0.0134322j -0.0158958-0.0029693j -0.0036996-0.00797303j 0.00606306-0.00855948j -0.0168713-0.00260994j 0.00763452-0.00112068j -0.0141501-0.00020389j 0.00505383-0.00866522j 0.0079063-0.000221773j 0.0153696+0.00171308j 0.00420587+0.000373624j 0.0283581-0.0112523j 0.00268043-0.00326059j 0.0136505+0.00455834j -0.00985068+0.00705014j 0.00601733-0.00552333j 0.00430935+0.0201503j 0.0136775-0.0101883j 0.00517067-0.0100179j -0.00373268-0.00687414j -0.00182884+0.0122282j 0.00642613-0.00272488j 0.00810106-0.00766804j -0.0234254+0.0135288j -0.00660635-0.00782289j -0.000780502-0.0121999j -0.00812861-0.00031932j 0.00473105-0.00118563j 0.00440668-0.00517661j 0.00143249+0.000869518j -0.0149132-0.00151375j -0.0032595+0.00309653j -0.00519572+0.00788596j 
0.00602246+0.00185695j 0.000983951+0.00920707j 0.000177437-0.00772265j 0.00103602+0.00197881j -0.00128601+0.00420545j 0.00655557+0.00262314j 0.00482433+0.00210501j -0.000404001+0.00204312j -0.000256365-0.00431843j -0.00742519+0.00356469j -0.00487915+0.00386627j -0.00655383-0.00838506j 0.00581375-0.0107552j 0.0110425+0.00660696j 0.0127381-8.29776e-05j 0.00129603+0.00696904j 0.00746024+0.00332783j -0.000856279+0.0122128j -0.00931442-0.0066332j -0.00137072+0.00602256j 0.00694391+0.0067824j -0.00499977-0.0150875j 0.0165054-0.00878912j 0.00402202+0.0206942j 3.79863e-05-0.013472j -0.0125954-0.00488909j 0.0172477+0.00765964j -0.000454769+0.00508958j 0.00806906+0.00891907j 0.0125575-0.0063965j 0.00895599+0.00315121j -0.000319411+0.0218531j 0.00888727+0.00591013j 0.000472091-0.0013263j 0.0018109-0.00177279j 0.000113878+0.00680055j -0.00236954-0.00412659j -0.00992689+0.000160552j -0.0134591-0.00132734j 0.000366229-0.0095955j -0.00110604-0.0218309j -0.0115224-0.00239136j 0.00274791+0.0192031j 0.012822+0.00611748j -0.00156882-0.00796558j -0.00566206-0.00229484j -0.0018476-0.0207621j 0.00985161+0.00184471j -6.83916e-05-0.014947j 0.00506651+0.0179735j -0.00309292+0.00348696j -0.0167405+0.000133546j 0.0178939+0.00851149j 0.00821193-0.00550203j 0.00208311+0.00992408j 0.0115029-0.00176899j 0.00697201+0.0034151j -0.0147818+0.00284519j 0.0113386+0.00604959j 0.005681-0.0050514j -0.000222998+0.000204531j -0.00768187+0.00068361j 0.0166242+0.0209377j 0.000137186+0.0114047j 0.00811667-0.00768285j -0.024225+0.0086731j -0.0135768-0.00411681j 0.0115046+0.0316226j 0.00452169-3.42922e-06j -0.010892-0.000587287j -0.00330495+0.0161063j 0.00284295+0.00521402j -0.00518599+0.0107611j -0.0010666-0.00607511j -0.0180637-0.000373228j -0.00427725-0.00732268j -0.00323513+0.00716879j 0.00608461+0.0116526j 0.015722-0.00603699j 0.00124669+0.00473588j -0.00803738+0.0152813j 0.0118718-0.013386j 0.00591163-0.00371158j -0.0168744-0.00272894j -0.000124607-0.01522j -0.00019012-0.0234373j 0.00415764-0.0124676j -0.0118259+0.0068699j -0.0204464-0.00564655j -0.00438049+0.00729829j -0.000759099-0.00371654j 0.00525452-0.0124504j 
0.000572165+0.0055952j 0.000167635+0.00656588j 0.00148806-0.00267232j -0.00111379-0.00205696j 0.00166107+0.000619057j 0.00161566-0.00334715j -0.00500918-0.000191452j 0.0016276+0.00426727j 0.00399724-0.000785706j -0.0111207-0.00726624j -0.00689722-0.00673682j 0.00167809-0.00953063j -0.000359389-0.00654261j 0.0136257-0.00170855j -0.00453421-0.0142372j 0.00219658-0.00214434j 0.00417068-0.0177701j 0.000850477+0.00651858j 0.0212164+0.00512126j -0.00847261-0.00030548j -0.00401778-0.0152195j -0.011812-0.00443423j 0.0369155+0.0129194j 0.00292767-0.0054762j 0.00609976-0.00554302j -0.00664444-0.0070854j -0.0157623-0.0148015j -0.00723713-0.0101162j -0.0187159-0.0170505j 0.00431508+0.00483588j 0.0154281-0.00317209j -0.0105296-0.00629311j 0.00517649-0.00309914j -0.013622+0.00222939j -0.000764904-0.000739641j 0.0409112+0.00326786j 0.0107331+0.0095069j -0.00251277+0.00261116j -0.0116372-0.00356449j 0.00724275+0.0201464j -0.00685715-0.00317121j -0.00975475-0.000360917j -0.00532142-0.00346112j -0.00208305+0.0126167j 0.00508205-0.00072584j 0.00646759-0.00158642j -0.00489089-0.000222517j -0.0194824-0.00680448j 0.00452349+0.00621286j -0.0118258+0.00375128j -0.00296245+0.00336661j 0.0112253+0.00124082j -0.00421077-0.0100412j 0.0176264+0.0102204j -0.000241146+0.00510126j -0.0105056-0.0193484j -0.00765647-0.0170285j -0.020014-0.00423757j -0.0114806-0.0139711j -0.000588637-0.0170472j -0.0068951+0.00223276j -0.0116673+0.00883218j -0.00570698-0.0202198j 0.00288021-0.00373634j -0.0042843-0.011568j -0.0116765-0.00165191j -0.00942454-0.00312683j -0.00938585-0.00694631j -0.0100386+0.0261546j 0.00375403-0.00180401j 3.10958e-05-0.00671275j -0.00168455-0.000485773j -0.0118989-0.00768821j 0.00246471+0.0141522j 0.00912003+0.00941386j -0.00369632-0.0179218j -0.0062143+0.00465656j -0.00330864+0.00416538j -0.000684745-0.0066964j 0.00306862+0.00036189j -0.000107177+0.0144725j 0.0040869+0.000203659j -0.0182336-0.00527916j 0.0019033-0.00426431j 0.00468793+0.00664075j 0.00542926+0.0170694j 0.00771948-0.0200142j 0.00067747-0.0158498j -0.00233975+0.0029906j 0.00484472+0.00406805j 0.00134704-0.00557608j -0.0012924-0.00993015j 
-0.00406006-0.00779711j 0.00959272-0.00365403j 0.000841666+9.63538e-05j 0.00140783-0.00295238j -0.0014799+0.00377103j 0.00866893+0.00322038j -0.000439306-0.00902519j 0.01153-0.0031167j -0.00374701-0.00369618j -0.00308426-0.00869243j 0.00658185-0.00447427j -0.000600096+0.00832508j -0.00132169+0.00728193j -0.0003386+0.00235204j -0.00691699+0.00619916j 0.00657821-0.00522101j -0.0176113-0.00033569j 0.00469718-0.00399778j -0.009122+0.00480999j 0.0176891-0.00694595j 0.00460652-0.00715245j -0.0168205+0.0118431j -0.00832521+0.0193066j 0.00749028+0.00833564j -0.00917092-0.00472597j 0.00474339-0.00445309j 0.00138288-0.0132378j -0.00177087-0.00692335j -0.0103519-0.0135864j -0.0167597+0.0028206j -0.00748817-0.00140285j 0.00972111+0.00168846j 0.0106425-0.00827996j -0.00417476-0.0135341j -0.0114439+0.00261211j -0.0045142+0.0152684j 0.0114641-0.0052094j -0.000222165+0.00648773j -0.0116249-0.00850265j 0.000447701-0.00097396j -0.00492281-0.00719258j -0.00444454+0.00243889j 0.0181956+0.00282014j -0.0137746-0.000749415j 0.00151171+0.014776j 0.0109046+0.00106981j 0.0134107+0.0111039j 0.00263418+0.00829496j 0.0090363+0.0092471j 0.00844716+0.0164769j 0.0207745+0.00241134j 0.00162314-0.0177744j -0.0168236+0.00133586j -0.00759929-0.017324j -0.0049291+0.00457818j -0.0181709+0.00774141j -0.0244475+0.0198074j -0.00443583+0.0183336j -0.0058935+0.0109779j -0.00747232-0.00107505j -0.0096006-0.0015755j 0.00722384+0.00770599j 0.0384556-0.00960328j 0.00328925-0.0141797j -0.01102+0.00794211j -0.000905478-0.00563697j 0.0222014-0.00564374j 0.0562332-0.0158451j 0.0193727-0.0250881j 0.00222427-0.00379812j 0.000791301-0.0207868j 0.0275048-0.000490289j 0.0216917+0.000291879j 0.0118724-0.0172135j -0.00546137+0.0103579j 0.0174423-0.0307259j 0.0262251-0.0132656j 0.0279191-0.0109131j -0.00346125-0.0206695j 0.0220717+0.00763982j 0.00338445+0.00539982j 0.00331795-0.0109657j -0.0179175-0.000974712j 0.00522768+0.00407911j 0.0160289-0.0135532j -0.00436999-0.0286995j -0.0133387-0.000244842j -0.00829797-0.014044j -0.0166281-0.0119592j -0.0186742+0.0137125j -0.0151422-0.00999105j -0.0151753+0.0152953j 
-0.00697297+0.00209789j 0.000593388-0.0062967j -0.000803072-0.0036126j 0.0023491-0.00261853j -0.00161687+0.00164647j 0.000985582-0.00314556j -0.0015221-0.00112458j -0.00509705+0.0128535j -0.0103056+0.00659941j 0.00771263-0.00065718j 0.00704826-0.00207111j 0.00494165+0.00526919j -0.000936914+0.00149833j -0.00410219+0.00527525j 0.0115711+0.000643611j -0.00973808+0.0072486j -0.00991457-0.00489439j -0.0132566+0.00235403j -0.00901421+0.00561402j 0.000615968+0.00494235j 0.000856971-0.00882682j -0.00536454+0.0122127j 0.000272428-2.61509e-05j -0.0036324+0.0154906j 0.00886275+0.00378501j -0.00447276+0.0158529j 0.0100116-0.00139614j 0.00492021-0.0107879j -0.00713626-0.00164114j 0.00529084-0.0094133j -0.00359897+0.00565387j -0.0103487-0.0133514j 0.00914125-0.0170893j 0.0068402-0.0266407j -0.00324972+0.00264771j -0.0110774+0.0212396j 0.00643809-0.0102621j -0.004132+0.0215334j 0.0104498-0.0137107j -0.00995464+0.00913561j 0.00512806-0.0157977j 0.00552828+0.0187559j -0.0098946+0.00855237j -0.000511379-0.0100254j 0.0123362+0.0113776j 0.00697052-0.000690746j 0.00381571+0.0150847j -0.0043559-0.0114774j 0.00809399-0.000382074j 0.00458154+0.00776244j 0.0132561-0.00799905j 0.00529905+0.00689908j 0.00197509-0.00135626j 0.000133981-0.00168497j 0.00822737+0.00307038j 0.00951357-0.0178066j 0.0222739-0.00907047j 0.0153429-0.00897197j -0.00255297-0.00350663j 0.00717164-0.00430045j -0.0168463+0.0117851j 2.66486e-05+0.0238833j -0.00013738+0.00644717j -0.0096725-0.00598433j 0.00850205+0.000435305j 0.00424018+0.00312584j 0.012312-0.00667303j -0.0338936-0.00969071j -0.00794448-0.0029466j -0.0190789+0.0198446j -0.0358476+0.014085j -0.00585614-0.00938571j -0.00858969+0.0124032j -0.00442498-0.0105331j 0.00373569-0.00375064j -0.0173764+0.0205435j -0.0152821+0.0170123j 0.00217756-0.00969732j -0.0186457+0.000868005j -0.0126127+0.0111216j -0.00514646+0.000733216j 0.00801604+0.00784467j 0.000883828-0.00851822j -0.0136833+0.0159637j -0.0127735-0.0230283j -0.00885658+0.0203596j 0.0116788-0.00685178j -0.00594303+0.0105826j 0.00977281+0.0211949j 0.0210619-0.0214626j -0.00257028+0.00755666j 0.00947652-0.00127196j 
