0.0292744-0.00791915j 0.0223568-0.0439307j 0.0110709-0.125623j 0.0247518-0.0160913j -0.0288945+0.032176j 0.00703455+0.0605377j -0.120192-0.0200783j 0.0745833+0.214804j 0.0187435-0.0478444j -0.0194838-0.0104142j -0.0313536+0.00649946j 0.0152376-0.00332626j -0.0275833+0.0361648j -0.00595619-0.0102238j -0.0168654+0.0330822j -0.00642836-0.00397635j 0.0255836-0.0432282j 0.0244435+0.0170174j 0.00662168+0.00815083j 0.0283993-0.00945392j -0.00662812-0.00661054j -0.000911787-0.0173627j -0.0101576+0.0366134j 0.0102467+0.0130285j -0.00530912+0.0306551j -0.00712671+0.0151825j 0.00447253+0.000213622j -0.0254946+0.0162079j 0.00427189+0.0267947j 0.00604487-0.00882755j 0.0112081+0.0419434j 0.0327748-0.0263648j 0.00385076-0.0489916j 0.0320913-0.058902j 
-0.024961-0.0352117j 0.0270398-0.00929004j 0.0314248+0.031929j -0.0555763+0.00447674j 0.0496527+0.063666j 0.0548804-0.0405664j -0.0470174+0.0497898j 0.0144684-0.0756843j 0.00747494+0.00465316j 0.0356256+0.0190919j -0.00784605+0.0326703j -0.0130026-0.00327774j -0.0136387+0.0247036j -0.0128029+0.0136988j -0.0140155-0.027016j -0.0032269-0.0318639j 0.00208935+0.00203407j 0.00492231+0.00172961j -0.00755929-0.00288693j -0.00769662+0.00409099j -0.0165053+0.00254659j 0.00835426-0.00406673j -0.0219644-0.0140539j 0.0155035+0.0240954j -0.00277122+0.0137911j -0.0327477+0.00993796j 0.0167488+0.0114993j 0.00163824-0.0119961j 0.00798995-0.00849886j 0.00131227+0.0132953j -0.0162553-0.012496j 0.0171863-0.0239765j 0.00443168+0.00900867j 0.0113849+0.0115976j 
0.050016-0.0503597j 0.0223302-0.0211075j 0.0160342-0.0530372j 0.0303398-0.0620847j -0.0854161+0.0900882j 0.0643199+0.0881183j -0.029822+0.126073j -0.0358543+0.0752961j -0.0120844+0.0136553j -0.00730352+0.00980407j -0.00230786+0.0158088j 0.0254777-0.0297057j -0.02325+0.0522526j -0.00154805+0.0143698j 0.0219596-0.0366194j 0.0118495+0.00329807j -0.0104538+0.00446061j -0.0131688-0.00218448j 0.00359848-0.000872843j -0.00232585-0.00428349j -0.0139634+0.0090228j -0.0192554-0.0139297j 0.00655185+0.0122401j 0.00539002+0.00193356j 0.00625713-0.00626037j 0.0126626+0.0130758j 0.000928771+0.00088805j 0.00390482-0.00666156j -0.0037055-0.0268186j 0.00304475-0.0182131j 0.018124-0.00374252j 0.00362481-0.021433j -0.018652+0.0194032j -0.0159706-0.0127878j 
-0.0411798+0.00930452j -0.0158437-0.0212708j 0.0194041-0.045306j -0.00294379+0.0799611j 0.0933432-0.042652j -0.0435304-0.0649018j -0.079133+0.110767j 0.0227937+0.0126522j 0.0265953-0.0349199j 0.00487224-0.0440495j 0.00507317+0.00452847j -0.0395289+0.00913917j 0.0191274-0.00223433j -0.00744426-0.0067236j -0.00987235+0.00344814j -0.00838246+0.0151992j 0.00728548-0.0143417j -0.00997818-0.0130363j -0.035263+0.0138349j -0.00939653-0.00151494j 0.0249709-0.00992189j 0.00856684-0.013013j -0.00434459-0.0318188j -0.0127055+0.00201571j -0.0126921-0.0135326j -0.0132259-0.00206347j 0.00405811+0.0243932j -0.0175637+0.00754736j 0.0102553-0.000631387j -0.00474601-0.0111681j 0.0120529-0.00549313j -0.0115009-0.00215857j -0.000131902+0.00605189j -0.0115951+0.0028628j 
0.025425+0.000227129j 0.0231762-0.00759021j 0.0596048-0.0397851j -0.000557208-0.00198178j -0.0230327+0.0392318j 0.0638716-0.072344j 0.0629765-0.0089345j -0.0633169+0.0755485j 0.0514889+0.0396134j 0.019029-0.0119897j -0.0259697+0.0122359j -0.0217807-0.0269736j 0.000437741+0.0223344j -0.00212013+0.00485419j -0.00573236+0.0332328j 0.0274151+0.0185677j 0.0389423-0.0130877j 0.0178614+0.0249438j 0.0226062+0.0118308j -0.0433195-0.0123602j -0.00393953+0.00897375j 0.0166355+0.00132953j -0.019664+0.0213785j 0.0164166+0.00157729j -0.0157204+0.0360643j 0.016925+0.000612612j -0.0118086-0.0125557j -0.00998417+0.00315538j -0.02227-0.0077259j -0.0147108-0.0084537j 9.98513e-05-0.00902555j 0.00983109+0.0020823j -0.00345538-0.0231086j 0.0179961-0.0135367j 
0.0213486+0.035437j 1.76208e-06+0.00732764j 0.023314+0.00975941j 0.00739379+0.010662j -0.0416647-0.0394925j -0.00767763+0.0648054j -0.0427992+0.0434067j -0.0529657+0.0336526j -0.00297171-0.013206j 0.00837324+0.022552j 0.0129555+0.0177623j 0.0141769+0.00955186j -0.00190634+0.0336291j 0.0019334-0.0380798j 0.0261523-0.00404913j -0.00574756+0.0148522j -0.0167394-0.00790383j -0.00117575+0.0392429j -0.0102661+0.00318649j 0.00305262+0.0178511j 0.00567205-0.0106667j 0.00146135-0.00313645j 0.0189804+0.00795599j -0.00464956+0.00195484j 0.00540088+0.0107493j -0.0124343+0.000770714j -0.00758895-0.00535378j 0.00525362+0.000242927j -0.000182608-0.00870989j 0.0142439-0.010624j 0.000600249-0.000125717j -0.0182982+0.030324j -0.0211187-0.00499737j -0.0209257-0.00141184j 
0.0361622+0.0362565j -0.00509261+0.00153026j -0.0288941+0.0162214j 0.024753+0.00697978j -0.0571446-0.0747834j 0.061946+0.0364374j -0.107286-0.0755466j 0.11028+0.0274963j -0.00532928+0.0475078j -0.0270319+0.00318314j -0.0142007+0.0286349j 0.0422991+0.0325934j -0.0119273-0.00735257j -0.0098684+0.039639j 0.000211455+0.0157448j 0.0105506-0.0182344j -0.00945942-0.00944534j 0.0129817+0.0424981j 0.00623002-0.0163751j 0.0123328-0.0382874j -0.00566285-0.00720112j 0.00264669+0.0120697j 0.0221057+0.00692894j -0.00867456+0.0121491j 0.0015526+0.0011998j -0.00701543-0.00151106j -0.0051351-0.00158444j 0.0128933+0.005759j 0.00292697+0.0102668j 0.0018714+0.00366764j 0.00836505+0.0213315j 0.0304907+0.00631429j 0.00438801-0.0182676j 8.05151e-06-0.0205695j 
0.0075601+0.0180328j 0.0109341+0.0254609j -0.0246606+0.0275432j -0.0845607-0.0128198j -0.0521406+0.0392298j 0.089506-0.074721j -0.155581-0.0706012j 0.0949714-0.0348743j 0.0318768+0.0236856j 0.0348611+0.0213636j -0.0155617+0.00998009j 0.0290733-0.0353139j -0.0205541+0.00892106j -0.00302947-0.00435566j 0.00380945+0.0470051j -0.00798104+0.013427j -0.0352614-0.0160448j -0.0124483+0.0198906j -0.00202807+0.000702171j 0.0172717+0.0349084j -0.0234879-0.00027428j -0.0144778+0.015389j 0.0138641+0.0115999j 0.0126582+0.0103449j 0.0223311-0.00183085j -0.0310121+0.00400758j -0.00906202+0.0208436j -0.00565172+0.0112544j -0.00569464+0.00424738j 0.00554686+0.00868726j 0.0105564+0.00635422j -0.00275633+0.0180876j -0.00711872-0.0147071j -0.0366758+0.00213854j 
-0.00327402-0.0189102j 0.0112783+0.0223594j 0.0449288-0.0343311j 0.0115796-0.088123j 0.0217446+0.037352j -0.10536-0.158943j 0.0373944-0.0573504j -0.132089+0.0849025j 0.0178601+0.0463936j 0.0054101+0.0235662j 0.0473828+0.00317193j -0.0201096-0.0218227j 0.0018458+0.01152j 0.0185435-0.00722165j 0.00733067-0.00945636j -0.00912859-0.0071151j -0.0154566+0.00055813j 0.0123926+0.00158902j -0.0203061+0.0160808j -0.0180548+0.0020944j 0.0187679-0.00670591j 0.00514685-0.0197486j 0.019331+0.00458215j -0.00175919-0.0202133j 0.0373976+0.0135407j -0.0216513-0.0196415j -0.027697+0.0280705j -0.0333915+0.0226693j -0.0146843+0.00172704j -0.00240014+0.0242928j -0.0382984-0.0119443j 0.00844801-0.0110086j 0.0263227-0.0157027j 0.00061141+0.0014497j 
0.00123242-0.0184082j 0.0436886-0.0144005j 0.0239897-0.019961j -0.0725645-0.00631385j -0.00011774+0.0233237j -0.221709-0.0788895j -0.217929+0.160587j 0.0609073-0.0737599j 0.0908019-0.0342953j 0.0156307+0.0118699j -0.00318694+0.00460901j 0.00257425-0.0171855j -0.0368224+0.0238383j 0.00383426-9.57865e-05j -0.0427254+0.0119896j 0.00379538-0.0144904j 0.0173508+0.00295129j 0.0176584-0.0162804j 0.00278157+0.00676333j 0.0264974+0.010249j 0.000934071-0.00275093j 0.0156566-0.00696407j -0.0128219+0.00115836j -0.0289266-0.0348021j -0.0165572-0.0188301j 0.0364296+0.00429362j 0.0079452+0.0315764j -0.0275974-0.00846288j 0.0224224-0.00238153j 0.0260852-0.00987587j 0.0303392-0.00168317j 0.0182578-0.00549839j -0.0209965+0.0219404j 0.0183981-0.00329747j 
-0.0700774+0.0491953j 0.0544155+0.0349594j 0.0673845+0.0220239j -0.0664556-0.0271154j 0.131455-0.158769j -0.00964638+0.165757j -0.169117-0.164043j -0.00487332+0.082905j 0.0271679+0.0241112j 0.0390737-0.0148472j -0.0268106-0.021276j -0.0278046+0.0894293j -0.022852-0.0483921j 0.00141148+0.0105412j -0.0277795+0.00140646j -0.012852+0.00459189j 0.0252979-0.0246173j 0.0204326+0.0411861j -0.0260627-0.0121241j 0.0432888-0.000232148j 0.00172198-0.00761452j 0.0190587-0.0311268j -0.00525101+0.0237065j 0.00144868+0.0113353j -0.0064743+0.00289668j -0.0164891-0.00993822j 0.00194582-0.0208001j -0.0444831-0.0312303j 0.02323+0.0105804j 0.00603943+0.0216292j 0.00942482+0.0288759j 0.00414193+0.0336154j -0.01318-0.0224056j 0.0147125-0.00815319j 
0.0259592+0.0193385j -0.0157035+0.0127664j -0.0661212+0.0942815j 0.037102+0.0365849j -0.10436-0.0136627j -0.234537+0.190822j 0.0192734+0.114345j 0.0694272-0.186263j 0.00682926-0.0330955j -0.0268976+0.0338777j -0.00448794-0.0120257j 0.0378938-0.0085077j -0.0155867+0.000219567j -0.00945704-0.0205039j -0.0119009-0.00380388j 0.0171247+0.0172607j -0.00902101+0.0201702j 0.0147457-0.00750971j 0.00520652-0.0260028j 0.0426928-0.0313414j 0.00855416-0.0279376j 0.0145707+0.0199634j -0.0167804+0.00464191j 0.0109213-0.00345364j 0.0105239-0.011209j -0.00712983+0.0212903j -0.0138112-0.0238524j 0.00768034+0.0130985j 0.0100209-0.00895726j -0.0240532-0.0101515j 0.00178753-0.0354841j -0.00600993-0.00942307j -0.00657954+0.00792484j 0.00718727+0.0282723j 
-0.0673847-0.0535655j 0.00791511+0.000113649j 0.0211025+0.0484244j -0.0319987+0.00810077j 0.163158+0.0107955j 0.075072+0.020726j -0.16571+0.239646j 0.0374949-0.197042j 0.0132474-0.00877867j 0.0284938-0.0122686j -0.00697997+0.0176678j -0.0359989-0.023922j 0.0168753-0.0120428j -0.0153406+0.0473079j -0.00986392+0.0138879j -0.0208504-0.00165442j 0.0106055+0.020568j -0.0141029-0.00725922j -0.00788233-0.0180016j -0.00727977-0.035507j -0.0054274+0.0238309j 0.00379519+0.00280852j 0.0103861-0.00853369j 0.00850705-0.00736423j 0.0247325-0.0171988j -0.0182271-0.0106791j 0.00449912-0.00959912j -0.00670596+0.0109605j 0.0126204-0.0107261j 0.0142852+0.000922138j -0.00366638-0.0482494j -0.0103701-0.0295076j 0.00286492+0.0131322j -0.00981825+0.0465553j 
-0.00416396+0.0516454j 0.056135-0.0261422j 0.0920801-0.0958351j -0.108015+0.0747372j 0.0626277-0.118811j -0.0301699+0.214982j -0.148539+0.222892j -0.0407449+0.0793172j 0.0346993-0.101719j 0.0537189-0.0518716j -0.00817699-0.0359962j -0.0159699+0.0449125j -0.0266018+0.00115494j -0.0181547+0.00588869j -0.0134298+0.00400621j -0.0108815+0.0258512j 0.00017257-0.00431584j 0.0067665+0.0101663j 0.00218217+0.0182148j 0.0196513-0.0257796j -0.00413471+0.0134182j 0.00380655-0.0241368j 0.00828929-0.00116628j 0.00731598-0.00641271j 0.0256445+0.0031677j -0.0250061+0.0104804j 0.0147625-0.0449832j 0.0020531+0.0156209j 0.00481291-0.0123575j 0.0347068-0.0347863j -0.0036747-0.00294646j 0.0139956+0.00245842j -0.0141165+0.000778113j 0.029078-0.0352461j 
-0.022947+0.00617065j -0.0473044+0.0139457j -0.117603+0.0545931j -0.0100213-0.0050737j -0.0264448+0.0235815j -0.197105+0.236542j 0.0482898-0.0611778j 0.0411848-0.054375j 0.00524741-0.0270684j -0.00822251+0.0278072j 0.038883-0.0257849j 0.0102524+0.00344778j 0.0482692-0.0204736j -0.00726982-0.00753487j -0.0125897+0.0184573j -0.0228581+0.0135996j -0.0419426-0.00569343j -0.038722+0.0196276j -0.00538416-0.0348208j -0.0445323-0.0197439j 0.0234498-0.0194074j -0.0395835+0.00263293j 0.0150927-0.00668882j -0.0603437-0.00162655j 0.000916551+0.0155798j 0.0159712+0.0162628j 0.0269569-0.0349125j 0.00758434-0.0164927j 0.00605111-0.00314833j 0.0263005+0.00964837j 0.00325688-0.00126772j -0.0255412+0.0262182j 0.0250018-0.0121741j -0.0261931-0.00111667j 
-0.0114711+0.0019855j 0.0739515-0.00433082j -0.0227494+0.0164646j -0.230662+0.118167j -0.0335928+0.0402288j 0.00375501-0.0245265j -0.175473-0.174569j 0.122288+0.0445875j 0.0916135-0.00679891j 0.0731386-0.0798647j -0.0279687+0.0195167j 0.0262467+0.00620289j -0.0398407+0.000631878j -0.00289336-0.016233j -0.0335572-0.0385617j 0.00650476+0.0122574j -0.00337783+0.0296809j 0.0287768-0.0207572j -0.00464706-0.00604545j 0.00229187-0.0117938j -0.0239692-0.0102522j -0.0143784-0.00364132j 0.00679434+0.00203191j -0.00384169+0.0154217j 0.0022229+0.00497346j -0.0140673-0.0110124j 0.0285953-0.00772194j 0.00500041+0.00312013j 0.018062-0.00288669j 0.0234356-0.00296604j 0.0347951-0.00235955j -0.00429661-0.00331861j -0.0282751+0.00559476j 0.00181965+0.004933j 
0.0164656+0.00408463j -0.0508478+0.0326297j 0.0621131-0.026791j 0.196549-0.197387j 0.0903439-0.0762699j -0.0635266-0.0211176j -0.364802+0.0142141j 0.102326+0.0299523j 0.029393+0.0750629j -0.0629227+0.0968894j -0.00783427-0.0308141j 0.00530924+0.0191174j 0.000261506-0.0257138j -0.0249392-0.0196876j -0.0127996-0.0328973j -0.00950361+0.00244707j 0.00915147-0.00898879j -0.0147003-0.0150773j 0.00107634+0.0158716j 0.0169126-0.0123627j 0.0037339+0.0135899j 0.0196407+0.0190917j -0.00496076-0.00419678j 0.0064206+0.00756922j 0.0219459+0.00347748j -0.0135272-0.00618701j 0.0229392-0.0103975j 0.00616532+0.00388232j 0.00873875-0.0112738j 0.0221143-0.00144029j 0.0321768-0.0161323j -0.0147113+0.00187745j -0.0194611+0.00908721j 0.00402238+0.00619827j 
-0.000291222+0.029836j -0.00572205-0.000522734j 0.0337005-0.0550561j 0.0564551-0.021889j 0.0257988-0.107706j 0.0921574+0.0516065j 0.0526812+0.0906816j -0.0157326+0.0454254j 0.011948-0.0123607j -0.021996+0.00268269j 0.0150838-0.0186682j -0.0179146+0.0285695j -0.00221901-0.00198482j 0.0241495-0.00106738j 0.0211959+0.010383j 0.0195379+0.0174735j 0.0329254-0.0270309j 0.0435476+0.0132595j -0.0213983+0.0114072j -0.0304715-0.00269574j -0.0919144+0.00692295j -0.0173988-0.00404938j -0.00452112+0.0159427j -0.0583425-0.00520112j -0.00880448-0.00413136j 0.00771367+0.0161086j 0.0294188-0.0128247j -0.0107414+0.00256545j -0.0077491+0.0148596j -0.0192333-0.0137029j -0.013553+0.0109146j 0.00138484+0.00678994j 0.00175442+9.46099e-05j -0.00280536-0.00882193j 
0.0529401+0.0165656j 0.0441946-0.0189702j 0.0450117+0.00936182j 0.0393145+0.00811571j -0.171772+0.0183761j -0.357972+0.115754j 0.0275361-0.0255747j -0.1295+0.0194926j 0.0449637-0.0151774j -0.00447356-0.00571582j 0.0598243-0.00926862j 0.0419428-0.0157268j -0.0204299+0.0140599j 0.00287455+0.00712414j -0.00788459+0.00138961j -0.0274682+0.00429055j 0.012406-0.000297922j 1.93656e-05-0.00494105j 0.0177839-0.0297183j 0.00762615-0.0115287j 0.00599264-0.0219823j 0.0518303-0.00310484j -0.00480142-0.00781362j -0.0256852+0.0216315j -0.0162027-0.0103599j 0.0290829+0.00387808j -0.0204338-0.0201953j 0.0130008+0.00936141j 0.0170826-0.00173898j 0.021382-0.0114017j -0.0239228+0.0128112j 0.0229213-0.00329294j -0.02564+0.00229802j 0.0182393-0.0171951j 
0.0388952-0.103976j 0.0273765-0.00243725j 0.0825889+0.166012j 0.00063586+0.0445314j -0.00972116+0.358186j -0.0723368-0.124316j -0.0353044-0.144308j -0.0600401-0.165771j 0.0142481+0.025226j 0.00434702+0.0259942j -0.00128684+0.0142803j -0.00892653-0.124698j -0.016888+0.0197858j -0.00632601+0.0120154j 0.00229272-0.0319099j 0.00535229-0.0219358j 0.0199509+0.0215504j 0.0181807+0.0070816j -0.0101939-0.0682126j 0.00929336+0.0220596j -0.0320745+0.0185419j 0.00626914+0.042782j 3.66619e-05-0.0332014j -0.0251415-0.0275605j -0.00583295+0.00417829j 0.00429704-0.0098786j 0.0131453+0.000660496j 0.00960879-0.0508541j -0.000920624-0.0119526j 0.0103605+0.031374j -0.00624996-0.0428535j 0.0231805-0.0215888j -0.014388+0.00113949j 0.0294479+0.0312239j 
