0.00132321+0.0117301j -0.0060784-0.00744772j 0.00235457-1.1538e-05j -0.000978552-0.0111005j -0.00130824-0.00348655j 0.00378485+0.00413088j -0.00221697-0.00476761j -0.00101708-0.00954065j -0.00199024-0.00892235j 0.00288604+0.00502733j -0.000723655-0.00125786j -0.00028924-0.00445352j -0.0030077+0.0051421j 0.00395518+0.0102712j -0.000916877-0.0037476j 0.00192842+0.000206484j 0.00477266+0.00980087j -0.00165364-0.00666291j 0.00199155+0.00300079j -0.00368452-0.00851297j -0.0026593-0.00294208j 0.00342321+0.01084j -4.48953e-05-0.00205712j -0.00151286+0.000430023j 0.000910229+0.000694062j -0.00176427-0.00507493j 0.00118263-0.00794642j 0.000284763+0.00228223j -0.000266483-0.00803116j -0.00226-0.000134279j -0.000952458+0.00375587j 0.00394331+0.0048082j 0.000213978+0.0101917j -0.00291325-0.00769275j -0.00109957+0.00701828j 0.000519439-0.0123097j 0.00276894-0.00685632j -0.000378932-0.00053513j -8.79183e-05-0.00235542j -0.000412053+0.00477177j -0.00505302+0.00708172j -0.000463369+0.00093108j -0.00387523+0.00807922j -0.0027096+0.000640337j -0.00220331-0.00190954j 0.00025667+0.00635251j 0.00130661-0.00223104j 0.00574563-0.00674685j 0.00475152-0.00404045j -0.00034474+0.010288j 0.00236508-0.00577499j 0.000456937-0.000177016j -0.00621196+0.00653952j -0.00361668-0.000464312j -0.00420511-0.00230754j -0.00626149+0.0134691j 
-0.00286185+0.0027695j 0.00452782-0.00200322j -0.00019765+0.00229786j 0.00851555-0.00460756j 0.00508771-0.00427528j 0.00794168-0.000457991j 0.00354293+0.000587104j -0.000862683+0.00265833j 0.00891633-0.00163519j 0.0021275+0.00114531j -0.000253256-0.00324211j -0.00300821+0.00193764j -0.00189802+0.00186762j 0.00454813-0.00190412j 0.0036728+0.00165816j -0.00043767-0.00165124j 0.000221155-0.00129544j -0.000189837+0.0013987j 0.00366161-0.00140403j 0.00349909+0.00110102j -0.0030986+0.000523425j -0.0072404+0.00077784j -0.00267673+0.00108009j 0.00288126-0.00205761j 0.000546517+0.000354085j -0.0109372+0.00537366j -0.000610599+0.00151582j -0.00411833+0.00630087j 0.00284601-0.000283462j 0.000255737-0.0017887j -0.00418845+0.00328005j 0.0066498+0.00125756j -0.00976586+0.00142479j 0.00145218+0.00169799j 0.00074483-0.00339039j -0.0112977+0.000918584j -0.000266577+0.00160683j 0.00465304-0.00335525j 0.00393695-0.000674789j -0.00201885+0.00119303j 0.000808078+0.00215834j 0.00453415-0.00192474j 0.00686185+0.00550885j -0.00473876+0.000944158j 0.00666951+0.00356799j -0.00524854+0.00110117j -0.00537393-0.003034j 0.00145545-0.000918559j -0.00557172-0.00780334j -0.00111656-0.000794043j -0.000647168-0.00613721j 0.0061991-0.000208338j 0.00193345-0.00473757j 0.012322+0.00768099j 0.00795532+0.00460281j 0.0019926+0.00128563j 
-0.00622322+0.0054061j -0.00156146+0.00198698j 0.00371635+0.00127869j 0.00530698-0.00273521j -0.00098691-0.000995233j -0.000422466+0.00323348j 0.00153027+0.000411422j 0.000775006+0.000948989j -0.00314299+0.00201975j -0.00349891+0.00177246j 0.00225949-1.92016e-06j 0.00246309-0.00271103j -0.00543828+0.00232214j -0.0037689+0.000407595j -0.00719766+0.00160255j 0.0052229-0.00321141j -0.000826321+0.000642903j -0.00895704+0.000744257j 0.000865642-0.000346366j -0.00603924+0.00285391j 0.00284852+0.00465725j -0.00326287-0.00805855j -0.00244516-0.00303653j -0.0050222-0.000111233j -0.000697085-0.0019217j -0.00144947+0.000901364j -0.00435477-0.00292483j -0.00409408+0.000479294j 0.00747084+5.19987e-05j 0.00865645+0.000473128j -0.00222016+0.00309048j -0.00173994+0.00440614j 0.00979707-0.000764939j -0.00796107+0.00182377j -0.00128268+0.000359965j 0.00108205-0.00312042j -0.0138352-0.00326935j -0.00450671-0.00415247j 0.000595252+0.00164832j -0.000586886-0.000212404j 0.00324403+0.00165901j 0.00603504+0.00437592j -0.00798262+0.00314476j -0.000132171+0.00133326j -0.00144683+0.00318122j 0.000853584+2.21636e-05j -0.00728519-0.00833416j -0.00221373+0.0073534j 0.00666309+0.00327098j 0.00241554+0.00435128j 0.00539019+0.00198952j -0.00423764+0.00245568j 0.000183951-0.00690193j 0.00231044+0.00179831j 0.00695094+0.00133968j -0.00877114-0.00406934j 
0.00369855-0.00485906j 0.00645375-0.00191619j 0.0042894-0.000589029j -0.00410019-0.000930579j -0.00379507-0.000880942j 0.00778102-0.00054642j -0.000162641+0.000492539j -0.00205719-0.00489044j -0.00343507-0.00330257j 0.00270117-0.0022054j -0.00216968+0.00427691j -0.000880268+0.00102792j 0.000575352-0.00204075j -0.0041349+0.0012678j -0.00364959+0.00397478j -0.00146988+0.00475354j 0.000954432+0.00162302j -0.0044731+0.00527648j 0.00248029+0.00261797j 0.00172084+0.000603701j 0.00398461-0.0116536j -0.00980846+0.00728931j -0.00163609-0.000364954j -0.00319663+0.00460412j -0.00322367-0.00134793j 0.00340259+0.00290194j -0.00482702+0.000560522j 0.00283301+0.00285949j 0.00462954-0.000666104j 0.00350021-0.00152878j 0.00218937+0.00953086j 0.0102373-0.000645397j 0.00386805-0.00678486j 0.00118006+0.000747953j -0.0084721+0.000300714j -0.00310281+0.00597058j -0.00175061+0.00403728j -0.0118387+0.00567025j 0.00399066-5.53233e-05j -0.00118441+9.76375e-05j -0.000968259-0.00262643j 0.00203016-0.00113642j -0.00292064+0.000112456j 0.00207177-0.00246052j 0.00558994+0.00142124j 0.00343145-0.00326584j -0.00257633-0.000467958j 0.00620013-0.00267193j 0.00390469+0.00643135j -0.00186168-0.00115269j -0.00151168-0.00417171j 0.00126919+0.00466929j -0.00975014-0.00324354j 8.98528e-05-0.00623535j -0.00251663+0.00233683j 0.0082884+0.00421436j 
-0.00238044+0.000721162j -0.00409858-0.00125626j -0.000442925+0.000715277j -0.000380792-0.00131j -0.00273475-0.00413855j 0.00409258+0.00559614j -0.00121444+0.00117248j -0.00435274-0.00522076j -0.00184382-0.0025669j 0.00554985+0.00921217j 0.00885018+0.00707723j 0.000248013-0.00172685j -0.000194772+0.00544233j -0.000563488-0.00228235j 0.000931026-0.000930645j 0.00223877+0.00396251j 0.00102931+0.000863747j 0.00594805+0.000829263j 0.00479959+0.0077128j -0.0034753-0.00097279j -0.0064547-0.00393107j 0.00175898-0.00820004j 0.00319968+0.0015427j 0.000250392-0.00500786j -0.00117721-0.000838503j 0.00634581+0.0054142j -0.00119969+0.00143487j 0.00172914+0.000472453j -0.00477719-0.00046377j -0.00127086-0.00144881j 0.00198843+0.000826067j 0.000393785+0.0128079j -0.00273181-0.00407823j 0.00296364+0.0012066j 0.00402428+0.00304488j 0.00316999+0.00939962j 0.00191757-0.000834616j 0.00482998+0.000306104j -0.00253601+0.0017833j 0.00232132-0.0072025j 0.00386623+0.0020112j 0.00237437+0.0073989j -0.000505128+0.00313411j -0.00429938+0.00636258j -0.00453096+0.00073319j -0.00105617-0.0123134j 0.00127709-0.000695891j -0.000765153-0.00206915j -0.00103384+0.006639j -0.00329479-0.00321891j 0.00319509-0.011205j 0.000939169+0.00521319j 0.00323569+0.00085247j -0.000138319-3.45636e-06j 0.000923865-0.000729018j -0.00223151-0.00362438j 
0.00149242-0.000450362j -0.00327806-0.00277296j -0.00399203-0.00384317j -0.00044569+0.00286906j -0.00197744+0.00252089j 0.000391035-0.00486869j -0.000936561-0.00146851j 0.00319403+0.0025183j -0.000578597+0.00114358j 0.0116649+0.0041092j 0.000722114-0.00293814j -0.0029967+0.000509629j 0.00800602+0.00370193j -0.0013365+0.000555502j 0.00040323-0.000679108j -0.00100248-0.000241019j -0.00132309-0.00114384j -0.00196769-0.000193236j 0.00537308+0.000615998j -0.00472208-0.0049679j 0.00772343+0.00891631j -0.00889496-0.00469243j 0.000735004+0.00197731j -0.00425472-0.000394535j 0.00609658+0.00761794j 0.00151004-0.00795325j -0.00142382+0.00320424j -0.0014717+0.00202095j 0.00103179-0.00119384j 8.03505e-05-5.67157e-05j -0.000773207-0.0106611j 0.0117417+0.00392191j -7.28679e-05+0.00177564j 0.00152423+0.00229274j -0.00154377+0.000886513j 0.00157361-0.00371429j 0.000521953+0.000494901j -0.00806127-0.0095527j 0.00245951+0.00393353j -0.00324223-0.00245532j 0.000730928-0.000912682j -0.000758155+0.00173652j 0.00160782+0.00522003j 0.0045984+0.00799998j 0.00328555+0.00712924j -0.00294123+0.000798712j 0.00205731+0.00593311j 0.00456921+0.00686295j 0.00315649+0.00198002j -0.00304417-0.00172723j -0.00625834-0.00195462j 0.00114776-0.00533549j -0.000512276+0.00563599j -0.00274018+0.00243125j -0.00072644-0.00187232j 0.0017228-0.00201375j 
-0.00150767+0.00222986j -0.000908089+0.0019545j 0.00260481-0.001154j -0.00135698-5.36407e-06j -0.00480936+0.00222809j 0.0065634-0.00486956j 0.00193604+0.00277906j -0.00755597+0.00356901j -0.00451617+0.00321365j 0.00289303-0.00706272j 0.00894114-0.00669164j 0.000514069+0.00158173j 0.000364123-0.00157852j -0.000721091+0.00244274j -0.000689104+0.000305379j 0.00587907-0.00076101j 0.00194072-0.000881541j 0.00316174-0.00328318j 0.0067542-0.00757074j 0.00129619+0.00409296j -0.0117152+0.0034599j -0.00145079+0.00323955j 0.000286924-0.00330395j -0.00357076+0.000709642j -0.00416147-0.00302344j 0.00635338-0.00351958j 0.000860841+0.0015584j 0.0010969-0.003593j 0.000810448+0.00284928j -8.06337e-05-0.000405449j 0.00563659+0.0012593j 0.00777425-0.00628144j -0.00462471+0.00135131j -0.000622338-0.00332211j 0.00398251-0.00351403j 0.0121451-0.000384351j 0.000298927-0.00198528j 0.0051538+0.00350329j 0.00136069-0.00130144j -0.0065092-0.000267916j 0.0015869-0.00220903j 0.00711218-0.00316316j 0.00180125-0.00103873j 0.00318912-0.000769417j 7.1635e-05-0.000919188j -0.0119833+0.000174888j -0.0023807-0.00427188j -0.00511152-0.00254047j 0.00866057-0.000304261j -0.00175805+0.00481507j -0.00964953-0.00193265j 0.0061202+0.000260778j -0.00159259-0.00161327j -0.0013674-0.00117167j 0.000790405+5.62292e-05j -0.00325688+5.07064e-05j 
0.00326828-0.00227284j 0.00295514-0.0043615j -0.000444602-0.00519742j -0.00362841+0.00232579j -0.00305059+0.00135321j 0.00639564-0.00489931j 0.00409347-0.00173714j -0.00215196+0.00407749j 0.00321346+0.00112464j -0.00472263+0.00780803j 0.000417332+0.000176471j 0.00641629-0.00244247j -0.0058349+0.00452175j 0.00269069-0.00132281j -0.00094226+0.00219977j 0.00275256+0.000865735j 0.00461496-0.00143786j -0.00236097-0.000531322j -0.00869754+0.00259695j 0.00537808-0.00763938j -0.0021026+0.00755849j 0.000485465-0.00274265j -0.00362579+0.000679835j 0.000314893-0.000479964j -0.0152625+0.00438124j 0.0030366-0.00371936j -0.000507256+8.60338e-05j -0.00367171+0.000283905j 0.00134592+7.87874e-05j -0.000499509-0.00236795j 0.00660272-0.00287478j -0.00398114+0.00352888j -0.00186748-0.000514385j -0.00138942+0.00201438j -0.0134476-0.00464075j -0.000410984-0.00268964j 0.000451576-0.000561557j 0.00664313-0.00396192j -0.00496443-0.00100734j 0.000680716-0.000346309j -0.0013466-0.00120148j -0.00401121-0.00226661j -0.00492113+0.00062312j -0.00939867+0.000987488j -0.00496938+0.00011493j 0.00229981-4.82713e-05j -0.0106364-0.000424437j -0.00312058+0.00456032j 0.000172865+0.000214963j 0.00157046-0.00153863j -0.0045493-0.00345495j 0.00451602-0.00212313j -0.00570512+0.00359122j -0.00340082-0.000576185j 0.000131537-8.45051e-05j 0.00613511+0.000843628j 
0.00230184+0.00139735j -0.00640481+0.00147249j -0.00739424+0.000125765j -0.00043218+0.000187489j -0.00144267-0.00218611j 0.00313411+0.00364636j 0.000724886+0.00314845j -0.00065092-0.00438463j 0.00431983+0.00181787j 0.00491781-0.00287101j 0.00180516+0.00333608j 0.00968915+0.00551463j -0.000355369-0.00405249j 0.00409151-0.000307415j -0.00241589-0.00207977j 0.00468779+0.00456533j 0.00369734+0.00550573j -0.000243698+0.000161206j -0.00791155-0.00500511j -0.00465603+0.000373839j 0.00723705+0.00119025j -0.00659255-0.00160723j 0.00293448-0.000428373j -0.000396129-0.00128483j -0.00441725-0.014401j -0.00342407-0.00295834j 0.00567788+0.00287465j -0.000289208+0.0015641j -0.00614073-0.00165785j -0.00111491-0.00288984j -0.00971367-0.00472443j 0.00012765-0.00383596j -1.39609e-05-0.000655022j 0.00296125+0.000779477j -0.00698915-0.0108041j -0.0034501-0.000135288j 0.000627402-0.00297087j -0.00367514+0.00446901j -0.00150403-0.0058175j -0.000667696-0.00242972j 0.00141519-0.00113385j 0.00124246+0.00298343j 0.00243675-0.00142715j 0.00130385-0.00253982j 0.00252564-0.00528333j 0.00294362-0.00104538j -6.06344e-05-0.00966105j 0.00389902+0.000722584j 0.000659939+0.0022159j -0.00386654+0.000914362j -0.00298194-0.00646167j -0.00275597-0.000744493j 0.005637+0.00339753j 0.00144411+0.00200349j -0.00253363-0.00293045j -0.00270113-0.00137853j 
-0.000744034-0.000224382j -0.00374031+0.00592078j -0.00265383+0.00710141j -0.000660244+0.0013843j 0.000789625+0.00195666j -0.00137813-0.00425809j 0.000563807-0.00116391j -0.0048703+0.00261007j 0.00235007-0.0055686j 0.00557488-0.00552301j 0.00132321-0.00320413j 0.00313191-0.0107888j -0.000374245+0.00277044j -0.00378038-0.00469128j 0.000555981+0.00188813j 0.00477651-0.00676167j 0.00326661-0.00456456j -0.000705936+0.000190412j -0.00572723+0.0077884j -0.00772723+0.00389752j 0.00380343-0.00462834j -0.00572223+0.00498831j 0.00371442-2.0928e-05j 0.00246241+0.00111219j -0.00649852+0.00898846j -0.00274484+0.00129197j 0.00657424-0.00298983j 0.00306426+0.00161579j -0.00539616+0.00289131j -0.00639793+0.00129227j -0.00611628+0.0051866j -0.000505029+0.000357267j -0.0023463+0.00049826j 0.0041546-0.00267508j -0.00983466+0.0120615j -0.0015105+0.0026562j -0.0048128+0.000678648j -0.000676695-0.000544747j -0.00773621+0.00158725j -0.0025956+0.000837791j -0.00202025-0.00175068j 0.00526321+0.000845478j -0.000286008-0.000497732j 0.00253447+0.00312393j -0.00236075+0.000268692j -0.00337626-0.0018966j -0.00495863+0.00640964j 0.000916339-0.00326494j 0.000926942-0.0019225j -0.000366003+0.00256811j -0.00678895+0.00475765j -0.00147161+0.000688961j 0.00691634-0.00250364j 0.0016348-0.000794835j -0.00325882-0.000151606j -0.00451377+0.000445073j 
0.00408754-0.00159184j -0.000827467+0.00168763j -0.00647708+0.00353184j 0.0057846-0.00014442j -0.00568083-0.000210179j 0.00295824-0.00303662j 0.00241784-0.00186265j 0.0095012-0.00258988j -0.00247612+0.00108281j -0.00366197-0.000413789j 0.00663157-0.000426426j 0.00292557-0.00201983j 0.00257513+0.00113154j 0.008226-0.000285084j -0.00182206-0.000418541j -0.000931939-0.00115464j 0.000173113-0.00103544j 0.00918581+0.00402565j 0.00951568+0.0050555j 0.00508301+0.00205463j 0.00729266+0.000348673j 0.00521416+0.00499908j -0.00568316-0.0020965j -0.0133496-0.00408731j -0.00538038+0.000524254j -0.00514453-0.000221377j -0.00563763-0.00352572j 0.000565353+0.00217445j 0.00417465+0.00396424j 0.00299025-0.000776905j -0.00629379-0.00236721j -0.00268781-0.000687883j 0.00470472+0.00462234j -0.001012+0.00129278j 0.000984753+0.00336971j 0.00707253+0.00308159j 0.00462306+0.00138299j 0.00529635+0.00417268j 0.00477318+0.00426925j -0.000573257-0.00185616j 0.00412613+0.0012715j -0.0042832-0.00183497j 0.00398391+0.00100644j -0.00226799+0.000830025j -0.00351059-0.0029846j 0.00129988-0.00102027j -0.00514895+0.000738251j 0.00808069+0.00267961j 0.00313623+0.00152039j -0.000100647+0.000932225j -0.0038764+0.000309761j -0.0052482-0.00279665j 0.00295655+0.000205143j 0.00402055+0.00188858j -0.00254361-0.00082999j 0.000631036+0.00109931j 
0.000532723+0.00270833j 0.00027852-0.00139735j -0.000128732-0.00598156j 0.00010208+0.00550479j 0.000813425-0.00547966j 0.00129924+0.00291197j 0.000785377+0.00193852j 0.00193191+0.00996696j -0.00225043-0.0035855j -0.00149979-0.0039365j -0.000369617+0.00704466j -0.00142533+0.00259322j -0.00106677+0.00247529j -0.0013367+0.00883818j 0.00108897-0.00232631j -0.000489545-0.000970516j -0.00086364-0.000924156j -0.00390813+0.00922281j -0.00115458+0.0111666j -0.00143535+0.00555032j -0.00269191+0.0049293j -0.00222305+0.00733459j 0.00147157-0.00632653j 0.00480635-0.0136356j 0.00237786-0.0029257j 0.00174479-0.00292742j 0.00164646-0.00700655j -0.00147582-0.000952597j -0.00153923+0.00548725j 0.000889664+0.00423557j 0.00512713-0.00406826j 0.00123859-0.00284922j -0.00424141+0.00571891j -0.002101-0.00225105j 0.000518132+0.00490773j -0.0020267+0.00894627j -0.000735529+0.0044472j -0.00405549+0.00622057j -0.00286084+0.00643774j 0.00222543-0.000405986j -0.00229393+0.0048841j 0.00140254-0.00457064j -0.00151104+0.00340185j -0.00123656-0.00233092j 0.00289213-0.0036406j 0.000790694+0.000888331j 0.000938742-0.00361258j -0.00422467+0.00655129j -0.00204871+0.00374669j -0.000750238+0.000134467j 0.00097962-0.00193546j 0.00352784-0.00451237j -0.00166237+0.00193769j -0.00269666+0.00266289j 0.00142625-0.00117013j 2.46583e-05-0.000241919j 
-0.000405907-0.00516952j 0.000901025-0.00405646j -0.00391512-0.000517527j -0.000916486+0.000432149j 0.0022402-0.00291497j -0.00111941-0.00379463j -0.00201437+0.000866083j -0.00363804-0.000457595j -0.00216003-0.00375175j 6.89642e-06+0.00204329j 0.00213535-0.000864257j -0.000925332+0.00494932j 0.0017586+0.00197143j 0.00215234-0.00372548j 0.00103354-0.00189604j 0.000927167+0.00277858j -0.00056875-0.00122412j -0.000598159-0.00152991j -0.00024013-0.00114044j -0.00149376-0.00656374j 0.000353541-0.000661941j 0.00155644+0.00539913j 0.000165757+0.00572629j 0.000422951-0.000941603j -0.000640552+0.00230024j -0.000964271+0.00588046j -0.00420702+0.00316205j -0.000370671+0.00292104j 0.00225615-0.00270164j 0.00514533-0.000192103j 0.00220278-0.000952057j -0.00283324-0.00499979j -0.000434412+0.00877542j -0.000136451-0.00353049j 0.00170369+0.000197627j -0.00217383+0.00786176j -0.00497654-0.00607435j 0.00121738-0.00468491j 0.00186327-0.00844446j 0.00254801-0.000209224j -0.000505676+0.0009255j 0.00490056+0.00107359j 0.00107808-0.00509618j -0.00136295+0.00459477j -0.0011045-0.00230894j -0.00428507+0.000458309j -0.00182981+0.00543177j 0.0025867+0.00161101j 0.000827757+0.00685813j 4.61995e-05+0.000809445j 0.00374944+0.00346445j 0.000566599-0.000108508j -0.000254305+0.00640378j -0.00214859-0.00834946j -0.00286365-0.00529179j -0.00181583-0.0018036j 
-0.000324201+0.00564058j 0.00117931-0.00376452j -0.00156275+0.00173953j 0.0010785-0.00638076j 4.40322e-05-0.0048027j 0.00208511-0.000685995j 0.0017556+0.000690036j -0.000981982+0.00397874j 0.000381872+0.000938047j 0.00137473+0.00132013j -0.00139979-0.00288129j 0.000946345+0.00238138j 0.00300422+0.0031449j -0.00111943+0.000603921j 0.000474828+0.00228574j -0.000243775-0.00408326j -0.000905145+0.00145162j 0.000306031+0.00413372j -0.000462772-0.00374621j -0.000884749+0.00259679j -0.000613634+0.00523758j 0.00185732-0.00129807j 0.00386059+0.000809437j 0.000558625-0.000706472j 0.00118636-0.00242256j 0.00301508+0.00427145j 0.00265401+0.00444789j -0.00250678+0.00738566j -0.00170189-0.00656005j -0.000489019-0.00780962j -0.00193564+0.000919483j -0.00101269+0.000407041j 0.00371807-0.00100337j -0.00376014+0.00362668j 0.00294128-0.000582846j 0.00408287+0.00483825j -0.00116815+0.0121197j 0.0018397-0.00119778j 0.00017875-0.00389069j -0.00172146+0.00233118j 0.00183298-0.00487618j -0.000919075-0.00533238j -0.00449053+0.00032122j 0.00163915+0.000240716j -0.000676204-0.00180259j -0.00142919+0.00566876j 0.00377591+0.0083051j -0.00477865-0.0012591j -0.000217567-0.00259091j -0.00239819-0.00389616j 7.87825e-05-0.00713936j -0.000919114-0.00197326j 0.00300488+0.00151744j -0.000792086-0.0022046j -0.00216816-0.00428226j 0.00331196+0.00877662j 
0.002583+0.00680176j -0.00433475-0.00259913j 0.00380268+0.00830236j -0.00145612-0.00455966j -0.00233712-0.0018062j -0.00134589+0.00136146j 0.00260391-0.00159957j 0.000486623+0.00632848j 0.00109765+0.00287517j -0.00263796-0.000397817j 0.00110997-0.00139792j 0.00105547-0.00350328j 0.00203991-0.00351829j 0.00276554+0.000708141j 0.00218799+0.00159009j -0.00289515-0.00344128j -0.0003714+0.00048067j 0.00113365-0.000522255j -0.00191545-0.00138659j 0.000858485+0.00706784j 0.00496808-0.000287367j -0.00434386-0.00269801j -0.00401214-0.00349572j -0.00132232-0.00341863j -0.00225283-0.00181654j 0.0008184+0.00333608j -0.00175587-0.0031526j 0.009163+0.00056737j -0.0014344+0.0029275j -0.00221132+0.000903796j 0.00512045+0.00582497j 0.00111672+0.00440067j -0.00324031+0.00333235j 0.00320842+0.000366781j -0.00129567-0.000931117j -0.00145589-0.00331791j 0.00726366-0.000328335j -0.00368054-0.00408387j -0.00234322-0.00151392j 0.00343327+0.000427461j -0.00693005+0.000598729j -0.00124926-0.00011014j 0.00173664+0.00419303j -0.00293217-0.00224205j 0.00204155+0.000728579j 0.00564061+0.00124226j 0.0021609-0.00573119j 0.00137974+0.00684063j 0.00641315+0.00142602j -0.000806691+0.00678586j -0.0028571+0.00236099j -0.00295562+0.00766634j 0.00189099-0.00650474j -0.00549743+0.00180123j 0.00332619-0.000268779j 0.00793049-0.00768561j 
-0.00769358-0.00404134j -0.000369595-0.00107245j -6.29795e-06+0.00219861j 0.00236805+0.00254822j -0.00377651-0.00564358j 0.0013255+0.000212781j 0.00190803+0.00495668j 0.00183654+0.00480743j -0.00247634+0.000942401j 0.00290207-3.00724e-05j -0.00523862-0.00457416j 0.00484286+0.00519968j 0.000564457-0.00055898j -0.00274706-0.00385033j -0.00158894-0.00235996j 0.00300394-0.000595552j -0.000659844+0.00100046j -0.000787683+0.00130738j 0.00182813+0.00110142j -0.00391798+0.00028228j -0.00251386+0.000220223j 0.00613854+0.00170047j 0.0061158-0.000454384j 0.00142476-0.00140105j 0.00257198+0.00201645j 0.000150411+0.00117841j 0.00449531+0.00356186j 0.00652565+0.00161719j -0.00304077-0.00122375j -0.00256913-0.00546077j -0.00342526-0.0035482j -0.00290806+0.00334817j 0.00375932+0.00211926j -0.00111984+0.00241478j -0.00562538-0.0112181j 0.00201269+0.000104511j -0.00537833+0.0056445j -0.00556738-0.00410011j -0.0104182-0.00200376j 0.000240879-0.00416414j 0.00058145+0.00433075j 0.000793474-0.0140632j -0.000746054+0.00137976j 0.00393733+0.00223615j 0.00313538+0.00595232j 1.28216e-05+0.0094891j 0.00377965-0.00196159j 0.00747952-0.000498655j 0.00224482-0.00367689j 5.65772e-05-0.00113491j 0.00327435-0.00893326j 0.00650011-0.0034362j 0.00268425-0.00455522j -0.00195949+0.00319234j -0.00695558+0.0124754j 0.00174+0.00586135j 
0.0030465-0.00244466j -0.00617028-0.00284065j 0.00739254+0.00280057j -0.00300977-0.00193133j -0.00349391-0.00311957j 0.000897607-0.00253673j 0.00058405-0.002388j 0.00775577+0.0036208j 0.00400007-0.0021454j 0.00198353+0.000367895j -0.00346657-0.000616178j 0.000366666+0.000439854j -0.00246236-0.00438225j -0.000822952-0.0015769j 0.00425696-0.00162189j -0.00240193+0.00272108j 0.000609474+0.00168162j 0.00268099+0.00170306j -0.00228815-0.000183463j 0.00314776-0.000869922j -0.000914266-0.000557372j -0.000375438+0.00227562j 0.0012784-0.000255094j -0.00222776+0.00294719j 5.00642e-05-3.01718e-05j 0.00468402-0.00356542j 0.00317338+0.00181635j 0.0024179+0.00655752j -0.0010526-0.00208201j -0.00380664-0.00263791j 0.00358798+0.00100303j 0.00327312-0.0012313j 0.00582449-0.00475473j -0.00274091+0.00345817j 0.00583539-0.00306019j 0.00782243-0.00348929j 0.00548368-0.00250248j -9.37699e-05-0.00457218j -0.00600163-0.00669672j 0.00095244+0.00382202j -0.00124533+0.00183798j -0.000281366+0.00492423j -0.00168785+0.0103126j -0.00142518+0.000114824j -0.00304564+0.00178601j 0.000773616-0.000461393j 0.00693345-0.00735796j -0.00444886+0.00795691j -0.00408959-0.00819578j -0.00111396+0.0036647j -0.00357927+0.000535683j 0.00351269+0.0033856j 0.00397535-0.00707017j 0.00491184+0.00927657j -0.00226476+0.00182896j 0.000559173-0.0125222j 
0.00311846+0.0029526j -0.000962898+0.00253186j 0.00399256+0.00421724j 0.00151936+0.00119198j 0.00042444+0.00156224j 0.000433847+0.00529713j 0.00185326-0.00136691j 0.00164013+0.00319071j 0.00445062+0.00161368j 0.00118448+0.00402786j -0.000831806-0.00352572j -0.00112875-0.0010933j 0.000443702-0.00315296j -0.000413368-0.00671166j 0.000720995-0.0022617j -0.00427089+0.000908542j -0.000316309-0.00149072j -0.000659906-0.0025323j -0.00117353-0.000209761j 0.00494823+0.000784604j -0.00505129-0.00639051j 0.00246094+0.000734508j -0.00056266+0.0063172j -0.00372157-0.0016324j 0.00147836+0.00055554j 0.00665489+0.00686063j -0.002644+0.00756298j -0.00822426-0.00824749j 0.00469444-0.00216482j 0.0026774-0.00374819j 0.00266911-0.0050508j 0.00441696+0.00153888j 0.00754794+0.00977357j -0.0030817-0.00695191j 0.00028172+0.00276909j 0.00127826+0.00718108j -0.000507697-0.0022626j 1.36821e-05+0.00506298j -0.00237814+0.00133523j -0.00582361-0.00696557j 0.00283503+0.00642833j -0.00427052-0.00438561j 0.00130335-0.0103281j -0.000849245+0.00357421j -0.00139628-0.00452354j -0.000495282-0.00376704j 0.000449138+0.00560543j 0.00246567-0.0137916j 0.00358719-0.00848556j 0.00715743-0.00368342j 0.000604264-0.00235409j 0.00533818-0.00084464j 0.00226382+0.00338103j -0.00783599+0.0109704j 0.00153613-0.00384545j -0.00394419-0.00174724j 
0.00439881+0.000805824j -0.00263526-2.90069e-05j 0.00600472-0.00377523j -0.00162862-0.00148739j -0.00105125+0.00104703j 0.0033002-0.00371958j -0.000615094+0.00186587j 0.00499155+0.00076461j 0.00281321-8.44756e-05j 0.00121158+0.00233525j -0.000626938-0.00418869j -0.00373453+0.000965705j -0.00122506+0.000695143j -0.000776988+0.00206368j 0.00172897+0.00142173j 7.65881e-05-0.000238177j -0.0009748-0.00144596j 0.00125794-0.000266583j -0.00232342+0.000508727j 0.00294376+0.00537904j 0.00514256-0.00339972j -0.00276036+0.00502892j 0.00103155-0.00211834j -0.00148903-0.00171538j -0.00401004+0.00567965j 0.00176325+0.00121391j -0.000550394+0.000205606j 0.00406118-0.00803666j -0.00442426+0.00591493j -0.00132214+0.000721053j 0.000645852-0.00443347j 0.000207296-0.0016238j 0.00659807+0.00403803j 0.00173233-0.00380054j -0.00290132+0.00713824j -0.00635232+0.00502694j -0.00415481-0.00525875j -0.00504333+0.0110644j 0.000688015+0.00341948j 0.0036802-0.00111259j 0.00256349+0.00635768j 0.000644952-0.00246129j -6.49884e-05-0.00294018j -0.00115933+0.00262699j 0.000823912-0.00419864j 0.00232512-0.00543448j -0.00726264+0.00225582j 0.00731424-0.00309263j 0.00347633-0.00573987j 0.000182877-0.000259813j 0.00827919-2.83753e-05j 0.00367008+0.00380294j -0.00446416-0.00102938j 0.00648649+0.00536029j 0.000128079-0.00415544j -0.00469158-0.00546378j 
