0.010484+0.00892571j 0.00775641-0.00478946j 0.0080689-0.00641603j -0.00382378-0.00776217j -0.00192013-0.00341039j -0.00678814+0.00022619j -0.000908873+0.0012522j 0.000811922+0.0123755j -0.0038394-0.00300949j -0.00469209+0.00174019j 0.00311401+0.0079059j 0.0141945-0.00357823j 0.00228577-0.0024843j 0.00896513+0.00892385j 0.0145726+9.30522e-05j 0.00122208+0.000840406j -0.0019957-0.00113932j -0.00712462+0.00470994j -0.00998545+0.00234866j -0.0294335+0.0076889j 0.00311401+0.0140003j 0.01337-0.0132005j 0.0173682+0.00553338j 0.0133392-0.00187582j 0.0038185-0.0249464j 0.0017655+0.00274732j 0.000680883-0.00609163j 0.000466644+0.00496713j -0.00974126+0.00145059j 0.00279354-0.00758267j -0.0104353+0.00374062j -0.00437739-0.00142235j -0.00855558-0.00962561j -0.000656705-0.00514767j 0.0132379+0.00791847j 0.00624688+0.00708634j -0.00489643-0.00280786j 0.00215589+0.000916868j 0.0110711-0.00218734j 0.000826744-0.0055727j -1.66256e-05+0.00579504j 0.00291072-0.000540672j -0.00088032+0.00543527j -0.00492278-0.00855436j 0.00168261+0.00120785j 0.000427611+0.00147076j 0.000709824-0.00151536j -0.00697874+0.0133132j 0.00345812+0.00395177j 0.00351689-0.0120137j -0.00364699+0.00744127j 0.000997128-0.0098939j 0.00343305-0.000888974j -0.0126992+0.00340838j 0.00726173+0.00543983j 0.00139599-0.00154578j 0.00360462+0.00882715j 0.0187045-0.00892981j -0.00286704+0.0258848j 0.00925335-0.0211074j 0.0146503-0.0203887j 0.0145282-0.00026713j 0.057798+0.0309312j -0.0100939+0.00875331j -0.00996655+0.0259208j -0.00484844+0.00763504j -0.0172021+0.0135199j 0.00478769-0.00266406j -0.00929467+0.0124189j 0.0219381-0.0392082j -0.000642526-0.00924376j -0.00639311-0.00986024j 0.00717823+0.00196163j -0.00361521-0.00355428j -0.00763312-0.00323913j 0.0113253+0.00710157j 0.00709436-0.00499613j 0.00857782+0.00707184j 0.00226142+0.00351264j 0.00569447-0.00468149j 0.00447111+0.010531j 0.0127422-0.00548292j -0.00938823+0.00540835j -0.00542798-0.00968895j -0.000839983+0.00805351j -0.00181413-0.0150931j -0.010564+0.0206743j -0.0153593+0.0112314j 0.00360986+0.0483096j -0.00221405-0.0221541j -0.000396478-0.0641596j 0.0622785-0.00590083j 
0.00224108+0.0100981j -0.00632379-0.00171195j 0.00101206-0.0151568j 0.025481-0.00533125j -0.00574707+0.00450987j -0.0105919-0.0182467j -0.0136895-0.0153984j 0.00526456-0.0144144j -0.0221694+0.00845476j -0.0279374-0.0077882j -0.00890509-0.000611235j -0.0106937-0.0155363j 0.019812-0.0179855j -0.0170635-0.00329975j -0.00536212+0.0139272j -0.00193969+0.00200787j 0.0223188+0.00288944j 0.0130346+0.00906435j -0.0248955+0.0120125j 0.0188631+0.0113096j 0.00289984+0.00191019j -0.0129559+0.00120893j 0.0248468+0.00144261j -0.0132108+0.0250045j 0.00243911-0.00815592j 0.0166291-0.00852278j -0.0286107+0.0102297j 0.00537661+0.00183561j -0.0098273+0.0198165j -0.00862913-0.00159087j 0.0020492+0.0032378j 0.0137567-0.0182294j -0.00360079+0.00991365j -0.0080213-0.0130573j -0.00521707-0.00278133j 0.000658953+0.00897339j 0.00263663+0.000371696j -0.0037194+0.00472982j -0.00307759+0.00189724j 0.00644706-0.00838955j 0.0128504+0.00255226j 0.00275566+0.00151228j -0.000995178+0.00560445j -0.00771049-0.0107311j -0.00949756+0.000904686j -0.00888547+0.00769779j -0.00723096+0.00116345j -0.00136789+0.00314814j -0.0102485+0.00412944j 0.00242521-0.00558472j -0.018168+0.0105054j 0.00901652-0.00699317j -0.0032611-0.00534729j -0.00754386+0.00838847j 0.0073735-0.0030589j -0.00537799+0.00409336j -0.000396495-0.00588178j -0.00693998-0.00406438j -0.0116629-0.00702479j -0.0121716-0.00144148j 0.00210976-0.00542638j 0.00936269-0.00107289j -0.00165864+0.0187334j -0.000711816-0.00390965j -0.00558713+0.0119293j 0.000681945-0.00027841j -0.00732281-0.000131238j -0.000406778+0.00743407j 0.00179012-9.75143e-05j 0.00120684+0.00185819j 0.00732435-0.00391885j -0.00447574+0.00869936j 0.00719407-0.00568714j 0.000500891-0.00332757j 0.00270573-0.00188908j -0.00573386+0.00104008j 0.00428875-0.00611902j 0.00839851+0.00808781j 0.00739561+0.00407732j -0.00616054-0.00333988j -0.00109114+0.00706784j -0.00725017+0.00664801j 0.00492873+0.00496296j -0.0069337-0.00447849j -0.00569297+0.00220549j 0.0102481-0.00251045j 0.00739586+0.0111702j 0.0076435-0.0119223j 0.00316347+0.012258j 0.0045909+0.00674066j -0.0027619-0.0146343j 0.00392002-0.00272205j 
3.88297e-05+0.00275111j -9.38802e-05+0.00553517j -0.00800493-0.00138943j 0.00225917-0.011394j 0.00335403-0.0143479j 0.00462415-0.00743539j 0.0101919+0.0141512j 0.00718743-0.00315065j 0.00335838+0.00213099j 0.0141099+0.00749465j -0.00753048-0.0146035j -0.00675476+0.00756428j 0.0206159-7.81063e-05j -0.00471315-0.00408726j -0.00856502-0.00863354j 0.000645922-0.000244567j -0.0105756-0.0108338j -0.0134752-0.027914j -0.00909564+0.025529j 9.92176e-05-0.0134869j 0.00861065+0.0355561j -0.0118174-0.0252837j -0.00337332+0.00914013j -0.0368601-0.0151777j -0.000607715-0.0234782j -0.010564-0.00739888j -0.0112392-0.00534449j 0.0135723+0.0165893j -0.00251563-0.00246601j -0.00835947-0.00993768j 0.00680261-0.00867327j 0.00319717-0.0148961j -0.00955079-0.00231198j 0.00105344+0.00630935j -0.0127859+0.0179563j 0.00494364+0.012934j 0.00380172-0.00584636j 0.00337775+0.00323661j -0.020539+0.00918522j -0.00153645-0.00388467j -0.00800108+0.00636139j -0.00155895+0.00288155j -0.0015676+0.00573348j -0.000547014-0.00429584j -0.0032349+0.00196303j 0.000831035-0.00666983j -0.00373449-0.00254797j -0.00104628+0.0193404j -0.0090233-0.0102497j 0.00535981+0.00963506j 0.000155406-0.0357937j 0.00227426+0.009472j 0.00594753-0.0103281j -0.00175116-0.0200831j 0.00860389-0.0102852j 0.00165389+0.0077697j 0.00510645+0.0120338j -0.000753489-0.0083067j -0.00687265-0.0143559j -0.00120889-0.0122935j 0.00342248-0.0122181j -0.00453606+0.0123333j 0.000770055-0.00907323j -0.000180196-0.0143331j -0.00518386+0.000358765j -0.0032223-0.0159891j 0.000364207+0.0030119j 0.00253784+0.0109161j -0.00456825-0.00415353j 0.00534842-0.00255933j 0.000843247+0.00532034j 0.00741646-0.00611054j -0.00690129-0.000712958j -0.00133274+0.00418523j 0.0078433-0.00133939j -0.00174923+0.0142928j 0.00588883+0.00337809j -0.00497703-0.0243453j -0.000646022+0.00249935j 0.0053664+0.0128546j -0.00210639-0.00204917j -0.00180308-0.0149397j 0.00254784+0.00226852j 0.00116666-0.00428474j -0.0104738+0.0111288j 0.0037237+0.00791495j -0.000572367-0.0180168j -0.00575134+0.0253461j -0.00420552+0.00908524j 0.0143726-0.0209035j 0.00193612-0.00616335j 0.00169186-0.0021455j 
0.00117271+0.00339608j -0.00252334+0.00190148j -0.0131478+0.00585863j -0.00143327+0.00609719j -0.00336721-0.00332475j -0.00297181-0.00474991j -0.000967053-0.0100559j -0.0185008+0.0176724j -0.000709149-0.0228934j 0.000141289-0.0228676j 0.00802794+0.00393097j -0.0114626-0.00245468j -0.00404685+0.0139242j -0.000915444-0.0218696j 0.00398962+0.0083863j -0.00160114-0.0044545j 0.0164164+0.00966217j -0.00904009-0.000518273j 0.0176029-0.0309591j -0.00717046-0.00108702j 0.0106254+0.0209303j -0.011763-0.00981411j -0.00524159+0.0226174j -0.00087968+0.00566219j -0.0047791-0.0593883j -0.0165918+0.0161972j -0.0168413-0.0253495j 0.00752065+0.00347753j 0.0187007-0.00175383j 0.000704272-0.00462008j -0.000681964-0.0127585j -0.0069396-0.00595732j -0.000389045-0.0181443j -0.00408241-0.0135264j 7.25437e-05+0.00963059j 0.0027746+0.00671757j -7.46651e-06-0.00820795j -0.00464714+0.00358323j -0.00459357+0.001175j -0.000565533-0.00285566j -0.00820826+0.00221067j 0.0012552-0.00189421j -0.0048183+0.000936316j -0.00457171-0.0107561j -0.000940476-0.00252539j -0.002027-0.00269695j 0.00328693-0.00190806j -0.00116862+0.00207096j -0.00307951+0.0066797j -0.00608594-0.0034104j -0.000810089-0.00641152j 0.0028878-0.00584523j -0.00092719-0.00132113j 0.00756397+0.00236307j -0.00563641-0.0173215j -0.0017606+0.00224599j -0.00886737+0.00541845j -0.0071713-0.00400904j -0.00345283-0.00808165j -0.00744612+0.0173725j 0.00519198-0.00348636j -0.00298849+0.0114378j -0.0168815+0.00229456j 0.00430756-0.000363166j 0.00897231-0.00064954j 0.00397674-0.00238952j 0.0069552+0.0031163j 0.00157738+0.000487923j -0.000169378-0.0103536j -0.00144926+0.0218036j -0.00382107-0.000504781j 0.00607056+0.00622365j -0.00384024-0.00231491j -0.0024435-0.00291967j -0.00661504+0.00186171j 0.0048932-0.00016091j 0.00120204+0.0109262j -0.00209079-0.0181055j -0.0073164-0.00785364j 0.00404657+0.0150946j -0.00275443+0.00346171j -0.00246754-0.0154757j -0.000466712+0.00492933j 0.00572796+0.0157281j 0.00481589+0.000465639j 0.00191357+0.0011274j 0.0090631-0.00216291j 0.00715652-0.00360892j 0.01188+0.0153488j 0.00060631-0.00494536j 0.00733278-0.00191169j -0.0051162+0.00197472j 
-0.00291787+0.00333925j -0.00197153-0.00399767j -0.000285714-0.0110434j 0.00397614-0.00558015j 0.0208389+0.0157124j 0.00913897-0.00559866j -0.00396251+0.0205496j 0.0169809-0.00664535j -0.0100546+0.0112255j -0.00642147-0.00181855j -0.00652896-0.000930996j -0.00173673-0.00172052j -0.0117832+0.00156924j -0.00765648+0.00796585j -0.000146211+0.00100456j -0.000889805-0.00233715j 0.000847411+0.0100692j -0.00618152-0.0057008j 0.0040498+0.0197501j 0.000738046-0.0104735j 0.0057249-0.0328061j 0.00936472-0.0217266j 0.00386276+0.00852408j 0.00021885-0.0253109j 0.0106947-0.0406635j 0.0174819-0.00561459j 0.00321262-0.0049047j -0.0181249-0.00423728j 0.00298872+0.0212296j -0.00319056+0.0015649j 0.00514636+0.0134205j 0.0150343+0.0127513j 3.70921e-05-0.0113634j 0.012636+0.0191985j -0.00397892-0.00458081j -0.0112484-0.0092433j -0.00373536-0.00867498j -0.00878922-0.012815j 0.000614412-0.0127468j 0.00919062-0.00413099j -0.00692898+0.00120016j -0.00258261-0.00229882j 0.000229069-0.00268498j 0.000142115-0.00106257j -0.00396689+0.00866931j 0.00562354-0.00164451j 0.00717956+0.00949142j 0.00713209+0.00723135j 0.00313615-0.00591143j -0.0057646-0.00632079j 0.0139897-0.00630873j 0.0125616+0.0146914j -0.00960148+0.00979524j 0.00115266+0.0187298j -0.00417828-0.0209773j -0.0123627-0.0252793j -0.00203534-0.0402653j 0.0206597+0.0289827j 0.000339571+0.00469826j 0.00524476-0.00843161j 0.0114775+0.0267626j -0.0077087-0.0172311j -0.00617764-0.0109733j 0.00239322-0.000491062j 0.00207822+0.0024565j 0.00105332+0.00539753j 2.38414e-05-0.00919444j 0.00508533+0.00755328j -0.00351946-0.00826585j 0.00604812+0.0156012j -0.00576938-0.00459345j -0.000366229-0.00489796j -0.00573919-0.00222652j -0.000476244-0.00099781j 0.00969289+0.00215176j -0.00272141+0.011667j -0.00619221+0.0029891j -6.16672e-05-0.00113664j 0.00220898+0.00727385j -0.00735115-0.00178947j 0.000894318+0.00204394j -0.00605455+0.000502903j -0.00115655-0.00250596j -0.000999419-0.0126909j -0.00371677+0.000249063j 0.000106154-0.00149324j 0.0153035-0.0219776j -0.0098609-0.0207201j -0.00959684+0.017536j 0.00339811+0.0234331j 0.00282954+0.00633052j 0.00588097-0.00660908j 
-0.000783221+0.0035752j -0.000439094-0.000603067j -0.0025651-0.00796453j 0.00701274+0.0024201j -0.00448787+0.000324133j -0.00972648-0.0108149j -0.0107861+0.002198j -0.0056242+0.00114422j -0.00159753-0.0221378j -0.00965228-0.00772192j -0.00339583-0.0173158j -0.0181256+0.0101812j 0.00616888+0.00810426j -0.0125071-0.00711013j 0.00334884-0.00234212j -0.00387142+0.0127041j 0.01384-0.00507293j -0.00586503+0.0238642j 0.0029836-0.0199097j -0.00322261+0.0176158j 0.000878799-0.00665711j 0.00706165-0.0178903j 0.018041+0.0126571j -0.0183855-0.0170524j -0.00608573+0.00912967j 0.00139971+0.00709656j -0.000647389-0.0181642j -0.00311962+0.00523053j 0.00250017+0.0117321j 0.00418216-0.00565733j 0.00419518-0.00132666j 0.000808135-0.00517293j 0.00130518-0.00613462j -0.00844191-0.00138994j -0.00922763+0.00591446j -0.00408652+0.00396849j 0.0136679+0.00130842j -0.00323664+0.00221136j 0.00843517+0.0048505j -0.0026832+0.00457853j -0.000538151-0.00388587j -0.0005041+0.00134622j -0.00645701-0.00514596j 0.00768209-0.00535014j -0.00853363-0.0215082j 0.0118886-0.00801971j -0.00719131-0.00980584j -0.000219064-0.0150901j -0.00266027+0.0169998j 0.00660729+0.0215928j 0.0162013-0.0124005j 0.00599772+0.0262295j 0.00827516-0.0133102j 0.00657006-0.00794123j -0.00111019-0.00637491j -0.00353199-0.0344258j -0.00361105+0.00312872j 4.00662e-05-0.0226328j 0.0127749+0.00227798j 0.00637074-0.00227713j 0.00355134+0.000934919j -0.00592594+0.00225747j 0.00483138-0.00155931j -0.00335081-0.00371813j -0.0107553-0.0122969j -0.000707748-0.00997256j -0.00541495-0.00875597j -0.00130518-0.000428529j 0.0075677+0.0053794j -0.00106503-0.00822485j 0.0070342-0.00909841j 0.0167685+0.00495596j -0.00679933-0.0155578j 0.00277415+0.00205018j -0.00361788-0.00141542j -0.00457805+0.0134032j -0.00934608-0.000361475j 0.0087656-0.00222604j 7.12586e-05+0.00307145j 0.00872915+0.0131048j 0.00598036+0.00646748j 0.000269606-0.00245349j -0.0118177-0.00625102j 0.00369575+0.0339227j -0.00876137-0.0177791j -0.00994363+0.00170935j -0.00840375-0.00559141j -0.00759563+0.00902751j -0.0116691+0.0172407j 0.00370908-0.00116648j -0.00148388+0.00181376j 0.00529758-0.00390647j 
0.00588546+0.00171426j -0.00604489+0.0122342j -0.00974694+0.015435j -0.000150088-0.00772659j 0.00157355-7.32752e-05j 0.00305152-0.0127245j 0.00653401-0.00897887j 0.00791891+0.0119663j 0.0018719+0.0263213j 0.0158981-0.0179861j 0.022147-0.00820412j 0.013639+0.0152525j -0.00524501-0.016786j 0.0123254+0.0134181j 0.00534438+0.0177461j 0.0014136+0.00577875j 0.00074429-0.0148651j -0.00120083+0.00191926j -0.00695525+0.0177012j 0.00946828-0.0324204j 0.0143438-0.0303855j -0.0102702+0.01568j 0.00609553+0.015151j -0.00201447+0.0338054j -0.0339956-0.0127515j -0.00600386+0.0205193j -4.37436e-05+0.0263377j -0.00335351-0.0125161j -0.00503405-0.013487j -0.0118319+0.00424913j -0.00418131-0.00107901j 0.00504083+0.0050404j -0.0143979+0.00186759j -0.0108884+0.0049768j 0.0130139+0.0112693j 0.0120174+0.000456134j -0.00985002-0.0098802j -0.00499438-0.00615147j -0.00121478+0.0165648j -0.00222173+0.00382772j 0.00833527+0.00593078j 0.000475706-0.00682122j 0.00175725-0.00813702j 0.00569409+0.0154279j 0.0100916+0.00381179j 0.0154487-0.0108362j -0.00879082-0.0054333j 0.020433-0.0188616j -6.61863e-05+0.00024413j -0.0149143+0.0150508j -0.00962532-0.00806805j 0.00202546-0.0188297j -0.0147316+0.00689756j 0.00442497+0.00699861j 0.00313668-0.0128998j -0.00791841+0.0192151j 0.0188053+0.0132877j 0.00810045-0.022437j -0.00293504-0.0237155j -0.00339533+0.0206562j -0.0123293-0.0113318j 0.00422599-0.0220384j 0.00244516+0.021986j 0.0037483-0.00346322j 0.0015118+0.00779115j -0.00377724+2.24905e-05j 0.00266757+0.0127283j 0.00220156-0.0177998j 0.00722406+0.00503917j -0.0197355-0.00207839j -0.000612888-0.00886779j 0.00440878-0.0112815j -0.00144465+0.012637j 0.000283831-0.000905564j -0.00394184-0.0133854j 0.000900124+0.0025585j -0.00450147+0.00156936j 0.0051927-0.0159464j 0.00035998-0.00858369j 0.00171002+0.000293698j 0.000184098+0.000335901j 0.00012105+0.00288422j -0.00905685+3.45342e-05j 0.000842243+0.031272j 0.0134282+0.0192806j -0.0148545-0.00528672j 0.00204603-0.00256974j 0.00319539-0.016615j 0.0107366-0.00759914j -0.00669326-0.0170567j -0.00605266-0.00906867j -0.00312476+0.00212314j 
0.00419183+0.008353j -0.00224875+0.00948818j -0.00216198-0.00480412j -0.00320462-0.00114652j -0.0166815+0.0278717j -0.00743118+0.0107968j -0.00633124-0.0209126j 0.00169783+0.0156089j 0.00193122-0.0179839j -0.000182713-0.0141421j 0.0038802-0.0237275j 0.00461332+0.00165826j 0.00360767-0.0113916j 0.00838718-0.00531734j 0.00233763+0.0297152j 0.00177641+0.00923296j -0.00616521-0.0144181j 0.00397263-0.00294367j -0.00981174-0.00571078j -0.00308838-0.0313729j 0.0144666+0.0219413j 0.0184772-0.00393895j 0.00319598+0.0161613j 0.00681531+0.00108534j 0.0138472+0.0493193j 0.00759676+0.0205721j -0.0041167-0.0114122j -0.0155189-0.00528673j 0.00701684+0.000103761j -0.00525898+0.00625081j -0.00589384-0.0143307j -0.00391555-0.00249213j 0.00601591-0.0107877j 0.0111895-0.0091092j 0.000352633-0.00104238j -0.00590366+0.00539742j 0.00160544-0.00364173j -0.00607356+0.00527381j 0.00717343+0.0142934j 0.00190511-0.00291596j 0.000525803-0.00143022j 0.00714296-0.00235105j -0.00471354-0.0102936j -0.00445689-0.00277949j -0.0053952-0.00468365j 0.004054-0.00213264j 0.00480236+0.0101919j 0.00978877-0.0153394j 0.00576842+0.0205542j 0.00683354-0.0173134j 0.0271348+0.007889j -0.00540753-0.0154735j -0.00736632-0.000616995j -0.0160066-0.00465649j 0.00326192+0.010411j 0.0175597+0.00642088j 0.0393682+0.00934034j -0.0159585+0.00870288j -0.00591017+0.00944786j -0.00254978+0.00827183j 0.00601096-0.0078985j -0.00295637+0.00516532j 0.0210514+0.00458358j -0.000254675+0.00616136j 0.00701627+0.00690631j -0.00288911+0.000441661j 0.012665-0.00506172j -0.000303592-0.00257945j 0.0105646+0.00386259j -0.01807+0.00533307j -0.00907775+0.0146698j 0.000387035-0.000122512j -0.00777936+0.0157445j -0.00332475+0.00322556j 0.00287037-0.00666678j 0.00659623-0.0167804j 0.00568333+0.0220493j -0.00513773+0.0053577j -0.00107257-0.00430183j -0.00779246+0.00754206j -0.000435642-0.00434605j 0.00437048+0.0135405j 0.00932317+0.00615768j 0.0066432-0.0155712j -0.00134262+0.0105761j -0.00477795-0.0244136j 0.0181856-0.00691475j 0.00627997-0.00259839j -0.0125305+0.0153269j -0.0110213-0.0140179j -0.00498433-0.00265577j -0.00180675+0.0086758j 
-0.00149315+0.00903606j -0.00559183+0.000636721j 0.00235061-0.0140592j 0.00916667-0.00172408j -0.000524142-0.00975868j 0.000553622-0.00088104j 0.00661029+0.00219323j 0.0122561+0.00644804j -0.0052151-0.000242334j -0.00165992+0.00878187j -0.0011013+0.0109465j -0.0153999+0.0116503j 0.00205687+0.00384041j -0.00981038+0.011384j -0.00889645+0.0324378j -0.00561074+0.00457028j 0.000225482-0.0108959j 0.00894521+0.0149125j -0.000111768-0.0380545j 0.00860508-0.0338861j -0.0117189+0.00213342j -0.00768105-0.0276329j -0.0195471+0.00975219j -0.00436013-0.0190767j 0.00655318-0.00905802j -0.00192221-2.50753e-05j -0.0030831-0.0270038j 0.00530053-0.00436507j 0.00810336-0.0120825j 0.00940253-0.00914786j 0.0145403-0.0139281j -0.00852183+0.00702532j -0.00427984-0.0303119j -0.00719239-0.0153638j -0.00282047+0.0082616j 0.00381904+0.0188736j 0.00559187-0.0197405j 0.00239905+0.0025334j 0.00236157-0.00205091j -0.0114238-0.00930661j 0.0039407+0.008947j -0.0106581+0.000250899j 0.000126268-0.0117195j 0.000162175-0.00236424j -0.00883917+0.00588799j 0.00271607+0.00957017j -0.00397383-0.00237442j 0.0110254-0.00142936j 0.0154675+0.00865588j -0.0146574+0.000263268j 0.0059056-0.00242969j -0.0071531-0.0128572j -0.00250574+0.00261811j -0.0094265+0.00679861j -0.017616+0.00855384j -0.0241192-0.00165018j -0.0157127+0.0309141j 0.00350397+0.014255j 0.0115594+0.00730542j 0.00619342-0.00249409j -0.00657035-0.0147795j 0.00889666+0.00512394j -0.015529+0.0101988j 0.00427877+0.0112012j 0.0086935+0.00529425j 0.00457532+0.013056j 0.00655911+0.00300913j 0.00351959-0.0134926j -0.00439913+0.000969615j 0.00314799-0.00335703j -0.00770776-0.00687795j -0.00755299-0.00559225j -0.00542952-0.0020384j 0.000633036+0.000264112j 0.00418719+0.00249158j 0.00722701-0.0011834j 0.00401012+0.000480892j -0.0101021-0.0148886j 0.000225928-0.0148876j 0.000268535+0.0032761j 0.00781913-0.00429104j 0.0053878-0.0158813j 0.0022679+0.000400337j 0.00130686+0.0162522j 0.00134456+0.00608817j 0.00249692+0.00826121j -0.00935396+0.0080905j -0.00186989-0.00294978j 0.00778319-0.00565855j 0.0163036-0.0112803j -0.00241727-0.0143707j -0.00831898-0.00536757j 
0.000392733-0.00746591j 0.00406318-0.00182227j 0.00256534+0.00197701j -0.00486246+0.00867245j 0.0136313-0.0194389j -0.00958825-0.0203459j -0.00805467+0.0177982j -0.00717182-0.0033708j 0.00634198+0.000428097j -0.0112737-0.0191482j 0.00351717+0.0160084j -0.00237427-0.00941077j 0.00585098+0.00964836j 0.00555324-0.0220061j 0.010533-0.00245298j -0.00660568-0.0248102j -0.00200442+0.0194142j -0.00444079-0.0175799j 0.0022404-0.0110028j -0.0186076-0.0289875j -0.0168255-0.0449262j 0.0227324-0.00942905j 0.0077071+0.00271139j 0.0175808-0.0123287j 0.0129185+0.020606j 0.00887114+0.0157076j -0.0022361-0.00325142j 0.00108486-0.00134829j 0.00185416-0.00129446j 0.0121802+0.00314248j 0.000108584+0.00756623j -0.00271031+0.000543829j -0.00175955+0.0264909j -0.00385993+0.0040558j -0.0143903-0.00725141j 0.000925226-0.011392j -0.00865292+0.0158929j 0.00701246-0.00143702j 0.00186653+0.00635639j -0.00672428+0.00364619j -0.00261631+0.00253208j 0.00469047+0.000684391j -0.00789274+0.0029553j -0.00358335-0.0112539j 0.000513112-0.0121314j 0.0037138+0.00322221j 0.0118333+7.15378e-06j -0.00301561-0.0137894j 0.00457615+0.00369363j -0.00974472+0.0139628j 7.44833e-07+0.0270879j 0.00508143+0.00313575j 0.0102842-0.0200709j 0.00629404+0.0147315j -0.00478132-0.0208335j 0.0113381+0.00265258j 0.00842778-0.000545596j 0.000178834+0.00580504j -0.00207779+0.0172382j -0.00466116+0.00391606j -0.00127086+0.0217187j -0.000556349-0.011127j 0.00675817-0.00692443j -0.00295485+0.0119412j -0.00101701+0.0107929j 0.00733387+0.0165274j -0.00253132+0.00721429j -0.00266115+0.00371004j -0.000636882-0.000482939j 0.00542259-0.00496932j 0.000632891-0.0065782j 0.00603161-0.000161128j -0.00348712-0.000330302j -0.00427199+0.000192415j 0.00567554+0.00233661j 0.00100622-0.00975794j 0.00408296+0.00677681j 0.00846189-0.00120524j 0.00174336-0.00684831j 0.00153934-0.00622494j -0.00363768+0.0059291j 0.0018895+0.00842729j 0.00288598+0.0108153j 0.00699822-0.0119032j -0.0177234-0.0137013j 0.0106497-0.0219281j -0.0149841+0.00639504j 0.00917226+0.00739732j -0.0103623+0.00121581j 0.00390672-0.00798744j 0.00277215-0.00165227j 0.00148177-0.0027211j 
0.00180642+0.00153862j -0.00437658-0.00124299j 0.00136434-0.00940557j 0.00401323-0.00333772j -0.00592616-0.00336916j -0.00352851+0.0048721j -6.95569e-05-0.00182247j 0.00446457+0.0087591j -0.0048467+0.0021766j -0.00469094+0.00190404j 0.0110188+0.0179088j -0.00335247+0.00431848j -0.00131452+0.0048383j -0.00397966-7.66664e-05j 0.00905889-0.00547161j 0.0018487+0.0175485j -0.00858073+0.00868493j 0.0010877-0.0171729j -0.0168676-0.00406681j -0.0215898-0.00159538j -0.0162787+0.00883902j 0.00266053+0.00294599j -0.00404176-0.00905978j -0.00448882+0.00589963j 0.0117264+0.000117271j 0.00187348+0.00657741j -0.00752821-0.00976395j -0.00468717+0.00784069j -0.00134841-0.00238222j 0.00195843-0.00166992j 0.006146-0.00553067j -0.00366266-0.0124309j 0.000560066-0.0017827j -2.8124e-05-0.000483962j -0.0109746-0.0108146j 0.000428241+0.00470212j -0.0118019-0.0195302j -0.00177659-0.00226596j -0.0033285-0.0127275j -0.00189708+0.00754863j 0.00155272-0.00501611j -0.00719941-0.000970216j 0.00699159+0.0380717j -0.0020629+0.00820205j 0.000426756+0.0149894j -0.00547467+0.00921947j 0.00183394-0.013952j 0.00257813-0.00769575j 0.00912101-0.00875169j -0.00426053-0.00803398j 0.00463548+0.0294547j -0.0128828-0.0106718j -0.0128588+0.0190243j -0.00277696+0.0254879j -0.00060802+0.0079663j 0.000356829+0.0166532j -0.00193244+0.0224459j 0.00550605-0.00276725j 0.00254821+0.00112108j -0.000212202-0.00184717j -0.00657567+0.0188473j 0.0102442+0.00882334j 0.00125538+0.00372501j -0.00109417+0.00674726j 0.00808547-0.000399961j -0.0144738+0.0109811j 0.00107556+0.0130133j 0.00218865+0.00485142j -0.00195986+0.00213254j -0.00833442-0.0029574j 0.00225788+0.00876332j 0.0149058+0.00122612j -0.00577355+0.0077328j 0.000311652-0.00116571j -0.00496585-0.0112318j 0.000700539-0.00117295j -0.0202393-0.00914443j 0.027708-0.000365382j -0.00091481-0.0105501j 0.00739228+0.00367079j -0.00369485-0.0276641j -0.00242519-0.0191122j -0.0236611-0.000803324j 0.00502439-0.00901287j 0.0073929-0.0049646j -0.00740858-0.0073823j 0.0062456+0.00165828j -0.00158631+0.00518266j -0.00952535+0.000693674j 0.00883951-0.00668209j -0.00226219-0.00960717j 0.00436856-0.0153803j 
