-0.0483338-0j -0.0247637-0j -0.0191819-0j -0.00909877-0j 0.218175-0j -0.0101727-0j 0.175779-0j -0.00278592-0j 0.073178-0j 0.0490893-0j -0.00196994-0j 0.0095061-0j -0.000934425-0j -0.000198221-0j -2.05179e-05-0j 
0.0170909-0j -0.0302837-0j 0.00678275-0j -0.0254712-0j -0.105276-0j 0.211517-0j -0.00829353-0j 0.207278-0j 0.00207678-0j -0.0110294-0j -0.00240905-0j -0.00454143-0j -0.00408897-0j -0.0014924-0j -0.000219171-0j 
-0.0126082-0j -0.00645976-0j 0.039754-0j -0.00237347-0j 0.0569121-0j 0.0210828-0j 0.045853-0j -0.000726723-0j -0.322409-0j -0.101736-0j 0.0132757-0j 0.00247972-0j 0.0041169-0j 0.00041081-0j -5.35221e-06-0j 
0.0139547-0j 0.00714964-0j -0.0439996-0j 0.00262695-0j -0.0629902-0j -0.0233343-0j -0.05075-0j 0.000804335-0j 0.356841-0j 0.112602-0j -0.0146935-0j -0.00274455-0j -0.00455657-0j -0.000454683-0j 5.92381e-06-0j 
0.00598057-0j -0.0242583-0j 0.00237347-0j 0.0258058-0j -0.0269958-0j -0.00996511-0j 0.172192-0j 0.032236-0j -0.00905467-0j -0.139226-0j -0.00192974-0j -0.239792-0j 0.0108123-0j 0.00868172-0j 0.00196359-0j 
0.00517933-0j -0.00917734-0j -0.0347167-0j -0.00771894-0j 0.00187639-0j 0.0636743-0j -0.00251332-0j -0.00369442-0j 0.0788232-0j 0.0564526-0j -0.312024-0j -0.00137626-0j -0.155195-0j 0.00763867-0j -6.64188e-05-0j 
-0.00661928-0j 0.026849-0j -0.00262695-0j -0.0285617-0j 0.0298789-0j 0.0110294-0j -0.190581-0j -0.0356787-0j 0.0100217-0j 0.154095-0j 0.00213583-0j 0.265401-0j -0.011967-0j -0.00960891-0j -0.0021733-0j 
-0.00573247-0j 0.0101575-0j 0.0384244-0j 0.0085433-0j -0.00207678-0j -0.0704745-0j 0.00278173-0j 0.00408897-0j -0.0872413-0j -0.0624816-0j 0.345348-0j 0.00152324-0j 0.171769-0j -0.00845446-0j 7.35122e-05-0j 
-0.00200595-0j 0.0127186-0j 0.00632483-0j -0.0353128-0j -0.000726723-0j -0.0415098-0j 0.00348313-0j 0.0246349-0j 0.0041169-0j 0.121485-0j -0.0261385-0j 0.0463516-0j -0.139557-0j -0.273894-0j 0.0137938-0j 
0.00222017-0j -0.0140769-0j -0.0070003-0j 0.0390841-0j 0.000804335-0j 0.0459429-0j -0.00385512-0j -0.0272658-0j -0.00455657-0j -0.134459-0j 0.02893-0j -0.0513019-0j 0.154462-0j 0.303146-0j -0.015267-0j 
0.000300892-0j -0.00328242-0j 0.000119413-0j 0.0200496-0j 0.000109008-0j -0.00134839-0j -0.000898928-0j -0.072678-0j 3.65625e-05-0j 0.00868172-0j -0.000261115-0j 0.135088-0j -0.0243769-0j -0.0291597-0j -0.377782-0j 
-0.000333026-0j 0.00363298-0j -0.000132166-0j -0.0221908-0j -0.00012065-0j 0.0014924-0j 0.000994931-0j 0.0804398-0j -4.04673e-05-0j -0.00960891-0j 0.000289001-0j -0.149515-0j 0.0269803-0j 0.0322738-0j 0.418128-0j 
