-0.0518893+0.000269674j -0.147506+0.00548641j -0.183401+0.00279416j 0.164952+0.00118331j 0.0488234+0.00336811j -0.0661875+0.00233782j -0.0579993-0.00291275j -0.02866+0.00169054j 0.0628198+0.00117008j 0.0577244+0.00399461j 0.053414+0.00662198j -0.535774+0.00151177j 0.124989-0.00605493j -0.29332+0.00813898j 0.560494+0.002916j 
0.109058-0.0122084j -0.0269258-0.0099318j -0.192552+0.00384344j -0.0161891+0.00143006j 0.189288-0.00425j -0.0321232-0.00564752j 0.0338795+0.00736104j 0.504932+0.00378494j 0.0208301-0.00116353j 0.0503829-0.0038791j 0.369362-0.00352727j 0.138921+0.000750831j 0.24547+0.00577667j 0.11906-0.00480119j 0.191959+0.000349887j 
0.1385+0.0139619j -0.0923873+0.00429362j -0.200842-0.0051008j 0.0196774-0.00342727j 0.186733+0.000673099j -0.186808+0.00706216j 0.221033-0.00385975j 0.09707-0.00262821j -0.429168-0.00119218j 0.108266-0.000854084j 0.457641+0.00350357j 0.0531644+0.00229403j -0.16043-0.00218512j -0.0446747+0.00172369j -0.106051-0.00158424j 
-0.0440097+0.00194146j -0.00131373+0.00197697j 0.0402692-0.00630957j 0.120445-0.00183247j -0.106825+0.000816847j -0.000925064+0.000817664j -0.159554+0.000324495j 0.175973-0.00759797j -0.111047-0.00114832j -0.696239-0.00420608j 0.0965876+0.00586395j -0.149+0.00382708j 0.0920171+0.0018763j 0.00275912-0.0067753j -0.0307186-0.000425252j 
0.0234158+0.000314441j 0.0540743-0.00122827j 0.09615+0.00301822j -0.216551+0.00209316j -0.0628857+0.00245661j 0.0560996-0.00130683j 0.119037+0.00290973j 0.0497033+0.00183441j -0.210727-0.000445379j 0.340786+0.00480265j -0.0960477-0.000200285j -0.0875177-0.00222321j -0.003123-0.00303957j -0.0211722+0.00271957j 0.0237107-0.0018495j 
0.0749342+0.00255426j 0.138872+0.00642612j 0.275572-0.00550359j -0.239974-0.0038315j -0.289515+0.000749596j 0.219387-0.00423104j 0.306839-0.00164544j 0.344323-0.000773602j -0.0201596+0.00388363j 0.0845044+5.60828e-06j 0.0590281+0.00259789j -0.294264+0.00201614j 0.169219+0.00333315j 0.0489372-0.00401502j 0.0600336+0.00131777j 
-0.0109341-0.00213448j -0.100061-0.00229448j -0.207747+0.00495561j 0.0842162+0.00217661j 0.0251095+0.0055545j 0.015375-0.0068267j -0.0848127+0.0002933j -0.107176+0.00461091j -0.216518-0.00317126j -0.0335823+0.000685114j 0.0159924+0.00562322j 0.190373+0.00148692j 0.0607226-0.00124451j 0.0517644+0.00387906j 0.0356204-0.000694975j 
0.00480214-0.00257785j 0.0356877+0.000181502j 0.0241918-0.00425232j 0.154014-0.00200799j 0.316658-0.00437112j 0.0671386-0.00329142j 0.17993+4.20336e-05j -0.19323+0.0015012j 0.264224+0.00309845j -0.0130092-0.000946889j 0.13536+0.00234048j -0.0172436+0.00126743j -0.142143+0.00237081j -0.0409853-0.00440033j -0.036209+0.00182664j 
-0.13142+0.00382578j -0.0136968-0.00682252j 0.027476+0.00579527j -0.0890605+0.00311385j -0.142739-0.00119438j -0.0972971+0.00554509j -0.207155-0.00384847j 0.251773+0.00593591j -0.238996-0.00289038j -0.0676161-0.00174356j -0.216978-0.00335612j 0.0352809-0.00269338j 0.219718-0.00390456j 0.0825335+0.00751048j 0.0437619-0.0034732j 
-0.0202331-0.00566255j -0.0152092+0.00393038j -0.0581519-0.00705448j 0.0116524-0.00206536j -0.267711-0.00503835j -0.534659-0.00298771j 0.279596+0.000312349j -0.215346-0.00240691j -0.275426+0.00505563j 0.0119965+0.00291809j -0.225842-0.00053573j 0.167726+0.000107146j 0.13752+0.00374025j 0.0665544-0.00651815j 0.239605+0.0055293j 
-0.138633+0.000859356j -0.0805949-0.00543951j -0.0805818+0.00478106j 0.40438+0.0015111j -0.204959+0.000695252j 0.252664+3.22951e-05j 0.65622+0.00245634j -0.117387+0.00375347j 0.0317424-0.00301446j -0.111418-0.000720446j 0.0200651-0.00349496j -0.0307108-0.00111114j 0.161611-0.00115103j 0.089994+0.00281241j -0.0824575-0.00237797j 
0.0223251-0.0012919j -0.126635+0.00476741j -0.368596-0.00455041j -0.0323896-0.00207071j -0.0533604-0.00362555j 0.669242+0.000103404j -0.0872324-0.000947795j -0.0282076-0.00280166j -0.251087+0.00308136j 0.0137369+0.000777472j -0.18553-0.000796149j 0.227527-0.000218067j 0.0302076+0.0013493j 0.000877403-0.00267097j 0.202934+0.00224377j 
0.368584-0.000256352j -0.0392357-0.0048019j -0.0779112-0.00146011j -0.377451+0.000397465j 0.174053-0.00207606j 0.0426853+0.00101822j -0.0109789+0.00140291j -0.476789-0.000731055j -0.0171651-0.00168803j -0.115397-0.00215857j 0.0570901-0.00119145j -0.241012+0.000358635j 0.434791+0.00183037j 0.293946-0.00302865j -0.0123724+0.00019174j 
0.374967-0.00272013j 0.0805315-0.00265759j -0.40651+0.00205898j -0.00314416+0.000940236j -0.637839+0.000232076j -0.0517276+0.000403724j -0.146893-3.01419e-05j -0.0242951+0.00250474j 0.196162-0.000375137j 0.0516856+0.00085639j 0.195677-0.0010618j -0.0952783+0.00038349j -0.230497-0.000834726j -0.0715626+0.000532414j -0.182111+0.00118845j 
0.440451-0.00430191j -0.691866-0.00438177j 0.433846-0.000257482j 0.159954-0.00011577j -0.119292-0.00177574j 0.0285641-0.00170374j -0.0566552+0.00312271j 0.00349619+0.00038135j -0.0134256-0.000674389j 0.0330654-0.00263933j -0.00354194-0.000336963j 0.0786078-0.00132369j -0.0713941+0.00320767j -0.052976-0.000739961j 0.0669332-0.00220835j 
-0.504092-0.00436572j -0.566944+0.00483157j -0.186225-0.00267626j -0.462235-0.000125005j -0.0930184-0.00171317j -0.051755-0.00341154j 0.0807601+0.000207189j 0.0116387-0.0009421j 0.147002+0.00320367j -0.03826+0.00151883j 0.1155+0.000577225j -0.0751036-0.000237758j -0.0970378+0.00109703j -0.00712092-0.00194431j -0.192559+0.00298553j 
