0.0385384-0.0526721j -0.160151+0.087944j -0.0454362-0.0108716j 0.0524925-0.0128684j -0.0250469-0.0386743j -0.042593-0.0579621j -0.0217114-0.0357475j -0.145729+0.0316946j 0.0894706-0.113126j 0.00590931+0.1164j 0.0498778-0.0350844j 0.00485026+0.182506j -0.060101-0.0778006j 0.0312045+0.156657j -0.015436-0.042992j -0.160229+0.311868j -0.0472775+0.145455j -0.237024+0.277462j 
0.0895773+0.125689j 0.092519+0.0585726j 0.197683-0.037857j 0.309082+0.11483j -0.0636191-0.105341j -0.00155345+0.0209067j 0.0333197-0.0889771j -0.0739483-0.0127088j -0.179066+0.12576j 0.157182+0.0713678j 0.0954895-0.0784691j 0.102703+0.0592813j 0.0295409-0.126815j -0.117317-0.099685j -0.196011-0.0225408j 0.203001-0.237748j -0.00703568-0.091681j 0.112286-0.163702j 
-0.111034-0.0873238j -0.0234299-0.0390213j 0.166769-0.0666633j -0.119572-0.149199j -0.0230515+0.0464087j 0.176931+0.0100718j 0.121279+0.114944j 0.046437-0.00671837j 0.0537891+0.0648223j 0.0815507+0.153211j 0.0310426+0.0959908j 0.0155508+0.0121309j -0.139967-0.0956103j 0.1075+0.244591j -0.165169+0.0133116j 0.226671-0.0477412j -0.132669-0.109747j -0.0352517-0.225596j 
0.0155416+0.0114275j 0.012085+0.0497535j -0.0262336-0.14196j -0.170234-0.0290494j -0.121648-0.0570861j -0.0449088+0.141738j -0.0996224-0.0878663j 0.0407421+0.118043j -0.0228097-0.13847j -0.289654+0.0172721j -0.0409328-0.0171464j 0.0718734-0.0373006j 0.0832971-0.0265859j -0.114669-0.0865286j 0.222783-0.11922j 0.182384-0.0477891j 0.0203867+0.156622j -0.0850367-0.217202j 
-0.0545218-0.0120104j 0.0110707-0.00720702j 0.108338-0.0666699j -0.287658+0.0382039j -0.0542015-0.0843694j 0.0771372+0.221401j -0.242478-0.0820888j 0.0353301+0.0821541j -0.0664028-0.0576915j 0.113841+0.0782715j -0.102769+0.119854j -0.0344808-0.117957j -0.00364626-0.0174177j 0.17717+0.0487228j -0.0300367-0.00978876j -0.0327323-0.0308534j 0.0129878-0.162711j 0.0517046-0.0449197j 
0.0786459+0.0543896j -0.20647+0.19268j 0.00512141+0.106017j 0.0578652+0.127657j -0.284769-0.0423194j -0.0267167+0.0846006j 0.0892491+0.15731j 0.0570171+0.0133677j 0.184453+0.215309j -0.100047-0.0822807j -0.0756226+0.12643j 0.103228-0.0997399j -0.00847196+0.00634498j -0.28145+0.196948j -0.0619887+0.0937701j -0.0436131+0.16576j -0.0508656+0.0852474j -0.0113255+0.119071j 
-0.032221+0.110094j -0.0539083-0.0556874j 0.0372414+0.203064j -0.25881-0.17747j 0.410316-0.129279j -0.0219652-0.207685j -0.16355+0.0357963j 0.230844+0.08898j 0.193771+0.0148256j -0.0655292-0.0105414j -0.0253463-0.0305762j 0.0900491-0.0201943j 0.0171822-0.0529038j -0.0242873+0.155468j 0.0281883+0.0742959j -0.0181197+0.0783211j 0.0126367-0.0109806j 0.0591408-0.0476136j 
0.107564+0.0881597j -0.0885198-0.0475918j -0.06216-0.0742895j -0.142126-0.214133j -0.165259+0.0425238j -0.185004+0.147782j 0.0648874+0.0686715j -0.0203508+0.0921573j -0.155735-0.116276j -0.0453985+0.0824922j 0.071134-0.0282519j -0.067654-0.120612j -0.0690949-0.0637803j -0.0136818+0.129605j 0.0698743-0.0638864j -0.0453752+0.0110384j 0.0510034-0.0441644j 0.121685-0.108464j 
0.15289+0.288116j -0.118316+0.0104579j -0.263227+0.222261j 0.185798+0.0154772j 0.107322+0.22332j -0.101368-0.0700544j 0.0216851+0.0286266j 0.156807-0.169893j -0.102148-0.0542214j -0.0744931-0.0350812j -0.00924682-0.0241122j -0.0372041-0.152403j -0.00331845-0.196718j -0.0697802+0.0669097j 0.071322-0.0952134j -0.0266838-0.0164835j 0.0835393-0.0618809j 0.0986171-0.128103j 
0.100801-0.0698044j -0.159361+0.220375j -0.0610378-0.019012j -0.118074-0.0383169j 0.0306991+0.033555j 0.00896406-0.165049j 0.0694579+0.032522j 0.186463+0.112143j 0.00456683+0.0168361j -0.106925-0.193102j -0.00938487-0.0893j 0.0980823-0.00273346j -0.0712256-0.287596j -0.0601436-0.291791j -0.0108661+0.0237148j 0.247372-0.112695j -0.0577243+0.0315926j -0.138378-0.0262977j 
-0.196069+0.124833j -0.172448-0.0728867j 0.0082152+0.080628j 0.00215406-0.0822045j 0.066647+0.0133396j 0.172169+0.167683j -0.140557+0.0682089j -0.135491+0.0530561j 0.00612223+0.0633946j -0.210072+0.240283j -0.0210687+0.0027823j 0.00187739+0.0565985j -0.0155283+0.207725j -0.172377-0.0218786j -0.139374-0.132189j 0.124015-0.0789059j 0.0109371-0.0933765j -0.0258127+0.0451262j 
-0.414591-0.0409909j -0.114936-0.203983j 0.148561+0.135781j 0.124207-0.0106876j 0.00970477-0.0013491j -0.137018+0.0253555j 0.125446+0.0180945j 0.156846-0.0711636j -0.0495171+0.0756003j -0.0158012-0.0341231j -0.0294349-0.0484122j -0.00841103-0.150155j 0.077525-0.0320871j -0.0351603+0.137101j -0.077738-0.171517j 0.115806+0.0194489j -0.0217789+0.117116j -0.0765848+0.0501864j 
0.115698-0.100981j 0.0719106-0.179867j 0.0921587-0.0244362j 0.0173914+0.0200752j -0.0735964-0.0737649j -0.02572-0.00799771j 0.192+0.0506067j 0.0299829-0.0892919j 0.128267+0.257114j 0.0433538-0.136851j 0.034337+0.0218851j 0.013278+0.0500804j 0.14971-0.0347363j 0.132229+0.130702j -0.0269685-0.0525434j 0.0615291+0.126058j 0.218203+0.197775j -0.207695-0.0889179j 
0.200937+0.0267189j -0.167915+0.0625648j -0.124218-0.0222429j -0.150527-0.08761j 0.000527383+0.0257063j 0.0815041+0.0380445j -0.0725345+0.0260206j -0.0919505+0.0966256j 0.0196843-0.0434116j -0.114527+0.0579201j 0.019525-0.0126436j 0.0134945+0.0584003j -0.0454444-0.0523191j 0.0100243-0.115099j 0.000980791-0.0305679j 0.047611-0.0130529j 0.0417593-0.0979373j -0.111494-0.0177943j 
0.244713+0.162824j -0.12786-0.0158612j -0.157517+0.128845j -0.0334665-0.017562j -0.0214943-0.00761947j 0.0293027+0.0835152j -0.105416+0.200129j -0.100995+0.0330354j 0.132592+0.150216j -0.0630477-0.0683523j 0.0316286-0.0263529j 0.0791722-0.0880541j -0.0613077+0.375551j 0.111396+0.0102246j 0.0268164+0.057501j 0.0330861+0.053462j 0.138731+0.0834718j -0.0630449+0.0372153j 
-0.176231-0.207734j -0.184481-0.224581j 0.0749483+0.113691j 0.0438337+0.0368484j -0.0700751-0.00201204j 0.0210954+0.0724536j 0.120078+0.109682j 0.00264442+0.00613241j 0.177471+0.0299969j -0.0608857-0.0722514j -0.0384019-0.0650084j -0.0196925-0.177151j 0.102755+0.226354j -0.0415515-0.0942858j -0.0144651+0.036543j -0.0128012-0.122876j -0.114426-0.280282j -0.0379418-0.0598768j 
