-0.272026-0.0418066j -0.930867+0.00681822j -0.118565-0.0143272j -0.0169109+0.0465757j 0.0564097+0.0279435j -0.0639014+0.0158625j -0.0162789-0.0300752j 0.0458037+0.024792j -0.0273871-0.00377581j 0.0152549-0.0111707j 0.0794889-0.00275649j -0.00571945+0.0182094j 0.0123179+0.00047273j 0.047567-0.00898566j -0.00157951+0.00822199j 0.0241603+0.0029518j -0.0349918-0.00453569j -0.0133403-0.0455265j 0.0158133-0.00324586j -0.0267626-0.0101398j 0.0231852-0.0185738j 0.0116249-0.0100142j -0.00978162-0.00995778j 0.0102315-0.00874064j 0.00614074+0.00834219j -0.0158304+0.00530085j -0.0353721+0.00318142j 0.00357843-0.0118804j 0.016172-0.0248023j 0.0246-0.0038934j 0.0258636+0.00766104j -0.00725678+0.015926j 0.0190162+0.00794775j 0.0103572-0.0147785j 0.0221222-0.000376132j -0.0196497-0.0100778j 0.00657527-0.0189926j -0.0124703-0.0267128j -0.0220703+0.00529435j 0.00700619+0.00828148j 
-0.0683536+0.0103707j 0.00828893+0.00104628j -0.0792587-0.0295811j 0.153977+0.0185086j -0.0625967-0.122654j 0.00168804-0.115839j 0.0549774-0.0272691j 0.135096-0.0481527j 0.0946583-0.00937652j -0.03757-0.0229827j -0.0758815-0.00318404j 0.114204-0.139981j 0.10398-0.0493237j 0.0632872+0.05364j 0.210858-0.0357733j 0.00276372+0.000860051j 0.00761607+0.0201238j -0.00636633-0.141079j 0.0366555-0.027471j -0.0139198+0.00650328j -0.00665584+0.0121347j 0.0243353+0.0113681j 0.12844-0.0309272j -0.0104241-0.00970484j 0.00335126-0.00252021j 0.000374246+0.00395773j 0.041664+0.00170681j 0.0934323-0.0482934j 0.0511013-0.0438839j 0.00443309-0.0251555j -0.0202107-0.0141831j -0.0120571-0.0211348j -0.0494019+0.0455148j -0.0263992+0.0304894j 0.00314889+0.00217306j 0.0105319+0.0262838j 0.00618387+0.0169398j 0.107456-0.0870741j -0.0122684+0.104407j -0.0605586-0.0297522j 
-0.0101849-0.00461848j 0.0368828+0.0116213j 0.0377026-0.181167j -0.0561305+0.0464462j -0.0721889+0.257342j -0.0469484+0.120884j -0.0482196+0.246501j -0.043556-0.00865697j -0.0241017-0.0802351j 0.0495684-0.0244105j 0.203356-0.23603j 0.010326-0.00332898j 0.0819959+0.0388502j 0.145239-0.0445913j -0.174402+0.0593197j -0.086439+0.0919849j 0.268857-0.0664541j 0.00233092-0.201656j 0.057544+0.00627812j -0.0498118+0.0363514j 0.0291403-0.0425294j 0.05238-0.0175106j -0.00920432+0.0137615j 0.0143852-0.0133127j 0.0151005+0.00165542j 0.0167931-0.0222316j -0.0671096+0.0317713j 0.0492896-0.0160026j 0.00455663-0.0398621j 0.01086-0.00600432j 0.00166303-0.00970497j 0.00372562+0.0227723j -0.0159008-0.0238735j -0.0214433+0.0161255j -0.00670577+0.00381725j 0.0016299+0.00228977j 0.0102395-0.0437519j -0.015072+0.00540292j -0.023977+0.0381167j -0.0122533-0.013684j 
-0.0581031+0.0266649j -0.0269212-0.0306261j 0.0283544-0.157237j -0.185745+0.0479803j -0.0979587+0.230644j -0.0395995+0.179597j 0.0468849+0.184723j -0.0155597-0.0546449j -0.115069-0.0762678j 0.25+0.0206954j 0.144261-0.242129j 0.0888854+0.0117208j 0.0308971-0.00261565j 0.0687962+0.00258706j 0.118537-0.0638584j 0.00213611+0.00187459j -0.273636+0.0872057j 0.0265972+0.108391j -0.0617514+0.025387j 0.0829428-0.0355892j 0.0330843-0.00657433j -0.0142167-0.0261569j 0.0818017-0.0369743j -0.00276849+0.0107295j -0.00843241+0.0386491j -0.0383677+0.0147243j 0.0729644-0.0518869j -0.00821233+0.025257j 0.0143088+0.0428839j -0.00103803-2.74167e-05j -0.0107236+0.00488761j -0.00844331+0.0100666j -0.0227054-0.0140246j 0.0218201-0.0307509j 0.0127585-0.00957941j -0.00571502-0.0245986j -0.0117893-0.0234626j -0.00134465-0.00464377j -0.020054+0.0242017j -0.0517912-0.0255236j 
-0.00884914+0.0643615j 0.0267758-0.0132347j -0.0779704-0.030032j 0.018381-0.0709224j 0.0328556+0.0442567j 0.013006+0.0537645j 0.0913703+0.0147244j -0.00752959+0.0343116j -0.0956425-0.0278599j 0.0483041+0.138645j -0.0614529-0.00850379j -0.023878+0.0489193j 0.000172228+0.0089105j 0.00488857+0.0614792j -0.206686+0.0045718j -0.0286055-0.0569825j 0.258534-0.0021363j 0.0786761-0.157218j 0.0936332-0.00599883j -0.0593072+0.00922002j 0.0327372+0.0250408j 0.0376175-0.0110219j -0.0196639-0.0229816j 0.00836789+0.00408716j -0.0141575+0.015304j -0.00121519-0.0438979j -0.0585546+0.016212j 0.0282622+0.0486698j 0.0506228-0.00602071j -0.0147732+0.01521j -0.0370478-0.0196723j -0.00981047+0.0201498j 0.0245017-0.0389016j 0.0155781-0.00206258j -0.010707+0.00759765j -0.0071582-0.0226458j 0.0161979-0.012111j -0.0251126-0.0191356j -0.0828279+0.0388241j -0.0637974-0.0529422j 
0.0239143+0.0409215j -0.0116607+0.0239085j 0.0155029-0.0437629j 0.0178356-0.0284336j 0.0991558-0.0168581j -0.0401039+0.00485894j 0.155427+0.123273j 0.0405787+0.074808j -0.112557-0.0234246j -0.0973418+0.114952j 0.214629-0.0074864j 0.106882+0.0719485j 0.19001+0.0681257j -0.108125+0.0563836j 0.141394+0.187496j -0.00398416+0.0270274j -0.254092-0.166462j -0.0126673+0.0570777j 0.00361723-0.0404679j 0.11315+0.0750431j -0.0299386-0.00712953j -0.0296152+0.00265979j 0.10755+0.0688876j -0.00169378+0.0262837j -0.0297773-0.0152735j 0.00267079-0.030334j 0.0668655+0.0521221j 0.0976947+0.045093j -0.013213+0.0181334j -0.00996548+0.0132065j -0.0134244-0.0118328j 0.00500299+0.0252662j -0.0476852-0.0467712j 0.00765631+0.0250876j 0.0158812+0.00744105j 0.00274696+0.00126155j -0.0108075-0.0233083j 0.0384393+0.0233628j -0.0317711-0.011425j -0.0347133-0.0155803j 
0.0689034+0.0325j -0.0039306+0.0112399j -0.109432-0.0666629j -0.00209368-0.0741178j 0.113641+0.2908j 0.0516188+0.0178233j 0.0904726+0.175606j 0.0131473-0.080385j -0.0698347-0.205923j -0.0114243+0.186817j -0.10282-0.0517252j -0.136962+0.00673222j 0.0103565+0.0641817j 0.0460375+0.0362086j -0.0371308-0.15084j 0.03732+0.060305j 0.018497-0.023634j -0.0921844+0.0545243j -0.0442985-0.0038924j 0.00833232+0.0698223j 0.0251059+0.0207667j -0.0564736-0.0224049j -0.0878945-0.063862j 0.0111091+0.0179352j -0.0223856-0.0238706j -0.0286611-0.0170396j -0.0166825-0.0213951j -0.0450954-0.0139576j 0.030967-0.0122999j -0.0247225-0.022881j 0.00881896+0.0229193j -0.0156079+0.00473923j 0.0340875-0.0283783j 0.0410058-0.00640167j -0.00856335+0.00381049j 0.000307953-0.0184021j 0.00199247-0.0287766j -0.0154785-0.0426083j -0.00527823+0.00900685j -0.0209009-0.0440688j 
-0.0495099+0.039088j -0.0160715-0.0269905j 0.105086-0.0991668j 0.143632+0.0451634j 0.0209824-0.00640614j 0.0418226+0.0156834j 0.0164687+0.140272j 0.0982295+0.129771j 0.067858+0.0370345j 0.0669316+0.0589844j -0.148551-0.200345j 0.148523-0.0206153j -0.0343421+0.0721257j -0.0927727+0.126053j -0.0819786+0.058937j 0.0099869-0.00052j 0.151704+0.130388j 0.153375-0.0823111j 0.127237+0.128213j -0.0268485-0.026907j 0.00760809+0.0559758j 0.0205974-0.00248905j 0.0229981+0.00919548j 0.00258261+0.0237736j -0.032517+0.00885789j -0.010703-0.0101707j -0.0156239-0.0122284j 0.129839+0.0395478j 0.0132694-0.0414651j 0.0332498+0.0139082j -0.0164595-0.00846136j 0.0290727+0.0209627j -0.0430212-0.0457042j -0.00439153+0.0276074j -0.00185472-0.000409149j 0.0155089+0.0122809j -0.0197484-0.0256263j 0.0111902+0.035404j -0.0565709-0.0369561j 0.020043+0.00937394j 
0.0824174-0.0837047j -0.00530454+0.00611016j -0.135871+0.188556j 0.053065+0.227231j -0.118734-0.0143831j -0.0270252-0.0433433j -0.00983507+0.056143j -0.191904-0.0331651j -0.0170871-0.179021j -0.024827+0.0651296j -0.0987578+0.113752j 0.140203+0.20573j 0.162401-0.00276027j 0.165486-0.217462j 0.249613-0.238815j -0.0360778-0.0106928j 0.0411934-0.0306068j -0.019016-0.259733j 0.0538924+0.121874j 0.0153151+0.0551746j 0.00890473-0.0900904j 0.0140235+0.0268122j 0.16472-0.0733604j 0.0201031-0.00878017j 0.00659738-0.00963375j -0.00691594+0.0272113j 0.0565743-0.0205168j 0.126558+0.0182134j -0.0339762-0.0477127j 0.0138753+0.0129635j 0.0446687+0.00312279j 0.00903285+0.0192953j -0.0518698-0.0402665j -0.00352883-0.036726j 0.00855749+0.00581816j -0.0251727-0.00953884j -0.00548194-0.0177991j 0.0202133-0.0268281j 0.013531+0.044627j -0.0668545+0.00456098j 
0.014343-0.072072j -0.0288967+0.024464j -0.0487939+0.0961553j 0.0500159-0.0464029j 0.0277429-0.126071j 0.00776696+0.00445846j -0.00151661-0.0968008j 0.0223298+0.0623829j 0.0281607+0.0267156j -0.184028+0.397015j 0.0786646-0.246214j -0.0862585+0.148446j 0.0513965-0.137857j 0.00247012+0.0193896j -0.109168+0.0949602j -0.0466313+0.0583318j 0.22649-0.218792j -0.107282-0.145156j 0.0206717+0.0100461j -0.0633749+0.0459956j 0.0231176-0.00765112j -0.00126414+0.0107249j -0.0265266+0.0337626j -0.0394552+0.00527053j -0.00950306+0.0202812j -0.015062-0.0143632j 0.00293336+0.0212689j -0.000759574-0.0277251j -0.00511884-0.00669073j 0.00785403+0.0113901j -0.0197967-0.010764j 0.00403933+0.00167141j 0.00995995-0.0173923j -0.00130549+0.0209571j 0.00464951+0.00674894j 0.0072533+0.00805423j 0.00277894-0.011585j -0.0147844+0.00719509j 0.00124093+0.0112197j 0.00713399-0.000712262j 
0.00712399-0.0456837j -0.00722529-0.0234172j -0.00866536+0.0449913j 0.00450034+0.0323512j -0.0440688-0.0680373j -0.0064521+0.00722861j -0.0297508-0.0648483j -0.0492609-0.00454666j -0.0312059+0.0229174j 0.134287+0.260717j -0.0856209-0.195933j 0.0922389+0.131425j -0.0330807-0.145911j -0.00591981+0.0665111j 0.0261801-0.0562798j 0.0347924+0.0308422j 0.0284882+0.101606j 0.0572728-0.0320959j 0.0167238+0.0847337j 0.00514414-0.0292559j -0.0236351-0.0095399j 0.0387652+0.0488069j -0.00935626-0.00196953j 0.0379575+0.0240724j 0.0131281-0.0128127j 0.00863921-0.0170555j -0.0269961-0.0169266j 0.0025799+0.0206334j 0.0395495-0.00748584j -0.0122827+0.0118796j -0.00193767-0.000295742j -0.00933684+0.016158j -0.0117303-0.016161j -0.000458216-0.0121462j -0.0055092-0.00358826j -0.0141383-0.00344157j 0.00557998-0.00662284j 0.0103003-0.0140209j -0.0120639+0.00016332j -0.0373896-0.014855j 
0.0087157+0.0734517j 0.0148841+0.0242142j -0.00661349-0.0534814j 0.0651748+0.118188j 0.00803863+0.119746j -0.0208261-0.0471817j 0.0494932+0.166444j -0.10589-0.0116258j -0.116687-0.149139j -0.0903429-0.282196j 0.0909456+0.263182j 0.10434+0.0356444j 0.0839244+0.17314j -0.0860863-0.0834342j 0.0539821+0.0362662j 0.00634584-0.0672709j -0.0652993-0.0686187j 0.0140173+0.00334591j 0.0522371+0.0372184j 0.0247278+0.0326434j -0.0115189-0.0195554j -0.0258149-0.0424226j 0.0257563+0.0799028j -0.0197276-0.0240817j 0.0129957-0.0317042j 0.000931662+0.0409991j 0.0490994+0.040637j 0.0119467+0.0879143j -0.0133462-0.000161042j -0.0249096-0.0136806j 0.00845468-0.0172981j -0.0388324-0.00279448j -0.0367123-0.0236938j -0.0314613-0.0298977j 0.0112142+0.010661j -0.025498+0.010884j 0.00592034-0.00297968j 0.047184+0.0137682j 0.0152645+0.0169852j -0.0735679-0.0432091j 
-0.0196553+0.0334868j 0.00663531-0.00145408j 0.0633059-0.0723881j -0.118178-0.0191776j 0.106531+0.0148572j 0.0266235+0.0105494j 0.0277929+0.053816j 0.0950197-0.0776374j 0.0389993+0.0414809j 0.0155259-0.0156937j 0.0748209+0.027391j -0.124197+0.010352j -0.113548+0.0199384j -0.0134408-0.06136j -0.0792462-0.0985442j 0.0131804+0.0112979j -0.039311-0.0384017j -0.0759376+0.105845j -0.0607437+0.0490958j 0.012575+0.086959j 0.00398638-0.0307246j -0.0134266+0.00185978j -0.0172301-0.0498045j 0.00572862-0.019892j -0.0140924+0.00693252j -0.0101908+0.00838495j -0.0186563-0.0100937j 0.0105737-0.0315448j -0.00730051-0.0207217j 0.00601775-0.0313386j 0.0314266+0.00321722j 0.0100512-0.0314161j -0.00253619-0.0145195j -0.00403974+0.0389303j 0.00252977+0.00722744j 0.0325126+0.0200975j -0.00901437-0.00550262j -0.0162161-0.0155608j 0.0161618+0.00108446j 0.0656251+0.0181645j 
-0.0693757-0.100708j -0.00592002+0.000438294j 0.0345123+0.151456j 0.09991+0.208503j -0.0315535-0.155351j -0.0030331-0.0560106j -0.0363144-0.0315461j -0.165606+0.0424754j 0.0105235-0.102002j 0.0361287+0.101391j -0.0189064-0.0235359j 0.0846926+0.236663j -0.00872394+0.0456396j -0.0615635-0.187321j -0.136679-0.0664356j 0.0159308+0.0178172j 0.00234336+0.00907542j 0.0726917+0.0494731j -0.0128406+0.171562j 0.0488923+0.06618j -0.0578271-0.0333639j 0.0342583+0.0609812j -0.0315532+0.0641116j -0.0272971-0.014683j 0.00763619-0.0002084j 0.0226849+0.00957043j -0.0256771+0.0206629j -0.0133918+0.108103j 0.0700133-0.029076j -0.02208+0.0101003j 0.0329515-0.0858863j -0.0348063-0.00670853j -0.0153799-0.0600986j -0.0605738-0.0166523j -0.000426052+0.0112798j -0.0246435+0.0135639j 0.0107765-0.00239715j 0.0289593-0.0193049j 0.00840262+0.0483016j -0.0768407-0.0842009j 
