-0.109523-0.126583j -0.323649+0.00511713j 0.0419635+0.383901j -0.251666+0.083664j -0.00257307-0.169969j -0.0959312-0.115866j -0.0199113-0.0570237j -0.0018897+0.0409499j -0.0306819-0.0226189j -0.0293772+0.00354609j -0.00420626+0.0191488j 0.0182602+0.0481484j 0.00884389+0.073995j -0.00497557-0.0269728j 0.00970248-0.024165j -0.0132566-0.0802303j 0.0437123+0.0752116j -0.0268161-0.0567438j 0.0883854+0.0703591j 0.0334246+0.00667146j -0.00490614-0.0286079j 0.0341996+0.0121527j 0.0122192-0.0141473j -0.0046651-0.00851571j 0.0149379-0.0277004j -0.00564914+0.0241223j -0.00452062+0.0129356j -0.0245587+0.00126824j -0.0132078+0.0111868j 0.0467118+0.05608j 0.0123025+0.0304977j 0.0274222+0.0286994j 0.018589-0.00526534j -0.00986014+0.0028532j -0.0548028-0.0402468j 0.00864775+0.0304251j 
0.00509177-0.00911978j 0.0196448-0.0270101j -0.00475811-0.0591875j 0.0211476+0.0876008j -0.0873944-0.0292313j -0.00768882+0.00809167j -0.00984765+0.0876976j -0.179893-0.0876844j -0.210248-0.240939j -0.319775-0.198282j 0.0293054+0.0278238j -0.14024+0.011461j 0.0803282-0.0322611j -0.0503531-0.0452504j -0.0493345-0.0181909j -0.0902035-0.0435635j -0.089279+0.0936861j -0.308698-0.158753j 0.00257053-0.0144398j -0.0928995+0.155221j -0.0199829+0.00447054j -0.0284853-0.0339773j 0.0367839+0.000625964j -0.00225184+0.00605622j 0.0561497+0.009998j -0.0238402-0.0128149j 0.0143968+0.0143315j -0.0267176+0.0065024j 0.00132828+0.00974956j 0.00891076+0.0319187j 0.0740134+0.0500795j -0.021719+0.00702871j 0.00280817-0.0316049j 0.00692918-0.0261385j -0.0105841+0.00270861j 0.0234075-0.000927526j 
-0.0972574-0.0335019j 0.0515759+0.0223456j -0.0243994+0.0296148j -0.0393872-0.0649047j -0.023421-0.0019584j -0.0568299+0.0411266j -0.124555+0.0520352j -0.00506747+0.0640268j 0.0744166+0.0249538j 0.129821+0.0628145j 0.0176101+0.0152026j 0.0741145+0.0161899j -0.0306612+0.076378j 0.191593-0.141535j 0.0521073-0.113785j 0.0970881-0.187861j 0.105552+0.154369j 0.0584842+0.198222j -0.0254109+0.173454j 0.0797034-0.063332j -0.0144348+0.031479j -0.00174256+0.00260585j -0.0349159+0.0195464j 0.0114762-0.0254959j 0.00677578-0.048481j 0.0202195+0.0197614j -0.0367619+0.0205036j -0.0234054+0.0189096j 0.00388031+0.0447581j 0.000820991+0.0718494j -0.0653272+0.0139959j 0.0200802+0.02035j -0.0504603+0.0898487j 0.00313429-0.0157381j 0.0229714-0.0203955j -0.00143804+0.0160402j 
-0.0556318-0.0340587j 0.0795766+0.0564165j -0.0659932+0.0264262j -0.0341701-0.00176317j -0.0035065-0.000315818j -0.0844776+0.0704882j -0.195461+0.0506153j -0.142044+0.0408082j 0.0425606+0.093948j -0.14201+0.101332j 0.017904-0.0769819j -0.115726+0.0519736j 0.0536652+0.00569223j 0.0846118-0.135759j -0.11877+0.0095483j -0.119377+0.292785j -0.139332-0.235693j -0.102847-0.1705j -0.00195601+0.103852j -0.188444-0.0889469j -0.0608494+0.0408527j -0.0037725+0.0121005j 0.0332995-0.0478453j -0.0476229+0.0180461j -0.0291192-0.06415j 0.0341896-0.0464004j -0.0299372+0.0331419j -0.035703+0.0483265j -0.0151724+0.0173841j -0.0108983-0.0168098j -0.0334381+0.0261175j -0.00892338-0.0113696j -0.0168728+0.0738053j 0.0303427-0.0227914j -8.49402e-05-0.00694284j 0.00337816+0.0324014j 
0.000121294-0.0162338j 0.00310973-0.0242708j -0.00311087+0.0390951j 0.0556396+0.0630923j 0.172896-0.0330064j -0.017553+0.0205763j -0.289993+0.102471j -0.2193-0.0111624j 0.0674536+0.0953696j 0.058163-0.0481142j -0.101508+0.102475j -0.0401574-0.0336124j -0.0761413-0.0101255j 0.0937718-0.0873763j -0.181941+0.0509101j 0.00459376-0.0819491j -0.106378-0.105667j -0.0580758+0.103506j -0.142582-0.230576j -0.0563929-0.105309j 0.0730035-0.1084j -0.059396+0.02888j -0.0132248+0.0455739j 0.0207615-0.0255735j -0.0663601-0.0381332j -0.0406074-0.00912508j 0.060655+0.0442783j 0.0537645+0.0330723j -0.00805347+0.0131829j -0.0616832+0.000820846j 0.0118549+0.029656j -0.0308276+0.0012587j -0.0167748-0.0204173j 0.0279606+0.0527964j -0.0167429+0.0046634j -0.0190162+0.0402359j 
-0.287005-0.0201892j 0.0572735-0.0963914j -0.0283408-0.0282846j 0.0730271+0.0961338j 0.195001-0.074975j -0.0852318+0.0647956j 0.141012-0.0023753j 0.0722987-0.172522j -0.112285-0.0180339j -0.0625054-0.00961415j 0.254905-0.0607793j 0.0607764+0.0389773j -0.240399+0.0223483j -0.000587694-0.019084j -0.181004+0.0767018j 0.0781485-0.0818593j 0.0860086+0.0894729j 0.10567+0.00670045j -0.16914-0.215461j 0.033631+0.142895j 0.0317246-0.0245422j 0.0201099-0.055546j 0.00441562-0.0562899j -0.0161232+0.0329802j -0.0597961-0.0696078j 0.0144156-0.0544061j 0.037994+0.0774135j 0.048923+0.0841208j -0.00233022+0.0313674j -0.00235422-0.0128734j 0.015568+0.0329282j 0.0101486+0.00048145j -0.0660138-0.00147418j 0.0547636-0.0324846j -0.021886+0.0224893j -0.0115229+0.0524647j 
0.0343932-0.0217006j -0.00999524-0.0177869j -0.0387601+0.0288569j -0.00742386+0.0158144j 0.0168611-0.0229984j 0.0134626+0.0178217j 0.026493+0.0938907j 0.0154781+0.0899666j -0.168978+0.285289j -0.0678509+0.112585j 0.0430791+0.0249539j -0.0682258+0.0949963j 0.077001-0.0701103j -0.204223+0.00439458j -0.160106+0.18771j -0.17583+0.248977j 0.0264565-0.180425j 0.0715874-0.0284305j 0.0373543-0.0676856j -0.0934793-0.0419385j 0.0406864-0.0974631j -0.0121333+0.0475834j 0.0347598+0.00546339j -0.018622-0.0028726j 0.0153209-0.0496981j -0.00957833-0.0263215j 0.0224678+0.0255787j 0.00897383+0.0342177j 0.0530554-0.0349682j 0.0121368-0.0207094j 0.0556552+0.000404206j -0.0119679-0.000659299j 0.0529632-0.017883j 0.0311894+0.0171925j 0.00932072+0.0123449j 0.059281-0.0380301j 
-0.015462+0.0634128j -0.0226201-0.0393488j 0.0160065+0.00521551j -0.0723526-0.0130848j -0.123437-0.01356j 0.114889-0.0619952j 0.234954-0.0759699j 0.184614-0.0854276j -0.222046-0.143986j 0.026235-0.114908j -0.124236+0.036485j -0.00189255-0.0153924j 0.0214839-0.0136015j -0.172945+0.208956j 0.0342278+0.134231j -0.000535841-0.0396864j 0.00542985+0.0364777j 0.0258729-0.0633787j 0.0417222-0.0861824j 0.0256752+0.12356j 0.060981+0.000730314j 0.0275251-0.01723j 0.00222778+0.0235103j -0.00287164+0.000850525j 0.000175003+0.0380739j -0.00834731+0.00948051j 0.0410118+0.0105339j 0.0433858+0.00245872j 0.0570024-0.0808717j 0.00924221+0.0138315j 0.0670388+0.0160812j 0.00537829+0.00839089j 0.0417639-0.00336076j -0.0246246-0.0608819j 0.0605934+0.0587319j 0.0957885-0.119617j 
0.00170136+0.0381972j 0.0647362-0.00250974j 0.0308412-0.0304668j -0.0204647+0.025764j -0.00513864-0.0422368j 0.0364408+0.0155141j -0.0958237-0.0857479j 0.0557011-0.165979j 0.112858+0.047128j 0.243033-0.113101j -0.121137-0.0352372j 0.0967044-0.0771856j 0.0153453+0.0273044j -0.0242798+0.072418j 0.0223478+0.0673525j 0.177291-0.0696762j -0.0898862-0.054177j 0.031714-0.135165j 0.0233494-0.128427j 0.0299584-0.0159888j 0.012234-0.0241253j -0.0116732-0.031406j -0.0545321+0.026937j 0.0182931+0.0152551j -0.0508174-0.0055429j -0.0182867-0.0295948j -0.00381417+0.0233393j 0.0277759-0.0127484j 0.0156515+0.0055091j -0.0277682+0.0522634j -0.0389433+0.0267939j -0.0032849+0.00508524j 0.00421411+0.00478354j -0.0105628+0.00356702j 0.025614+0.00485661j 0.0257005-0.0285665j 
0.11292+0.0712238j 0.0929505-0.0808408j -0.000500335+0.00299918j -0.068189-0.00100341j 0.00671961-0.0307173j 0.0914839-0.00737944j -0.199638+0.112711j -0.00239306+0.112191j -0.0286886+0.159849j 0.200953-0.0515348j -0.247846+0.0854868j -0.0236942-0.0201929j 0.0275848+0.136967j -0.0526783-0.0885173j -0.0939284+0.0835294j -0.00156517-0.0885278j -0.00757304+0.0488489j 0.00337737+0.109617j 0.036397+0.0457738j 0.0768928-0.124294j 0.115049-0.106891j -0.0549918+0.0201022j -0.0112503-0.0262909j 0.0276671-0.0164518j -0.0134738-0.0532012j -0.0106931-0.0323811j -0.0136246+0.0453976j 0.00832263+0.0143479j 0.046186-0.0127242j -0.0658608+0.0671783j -0.027713+0.0157352j -0.0121507-0.000122891j 0.0268637+0.0253178j -0.0381096+0.0934483j 0.0755946-0.0166389j 0.0396028-0.0392674j 
0.0874176+0.0648842j 0.00220833+0.126117j 0.0227582+0.00966486j -0.07852-0.124409j -0.154206+0.151148j 0.0501634-0.0191711j 0.0327258-0.0991257j 0.045767+0.162325j 0.0774012-0.158793j 0.00483811+0.0922211j 0.0365018-0.136945j -0.121445-0.00570292j -0.00674092+0.00494246j 0.110476+0.0192345j 0.0738537-0.102812j -0.000692703+0.0919152j -0.027476-0.0453731j 0.014695-0.048792j -0.0107286+0.160922j -0.0184322-0.026543j 0.0218211+0.0754726j 0.0148752+0.0106844j 0.043002+0.0279009j -0.0237252-0.005178j -0.00858681+0.0661361j 0.0153728+0.0175059j -0.00483591-0.0315213j -0.0135286-0.0498888j -0.0198002-0.0307483j 0.00740644-0.00400894j -0.0187223-0.00988423j 0.00544282-0.0058394j 0.000921868+0.0148459j -0.00488147-0.0243569j 0.010871+0.0195374j -0.0310406-0.0255038j 
-0.17686+0.0758772j 0.0658685-0.11705j 0.00442111-0.00728187j 0.0212055+0.126271j 0.169629-0.13728j -0.0526299+0.0885485j 0.0720733+0.00126127j 0.0356752-0.159323j -0.0952486-0.0467197j 0.0136204-0.00186216j 0.0779033-0.1921j 0.0244897+0.123911j -0.125383+0.0965277j -0.00156842-0.152236j -0.106967-0.00157443j 0.0675053-0.0196282j -0.0126719+0.0607668j 0.0424032-0.145764j 0.00521542+0.12334j -0.009687+0.125096j 0.0888304-0.0809819j 0.0313377-0.0462849j 0.0138127-0.061761j 0.00581814+0.029905j 0.0625275-0.0220031j 0.0399403-0.0499717j -0.0496917+0.0375165j -0.0352152+0.0476662j 0.00736999+0.0497536j -0.0214864+0.0156263j -0.00950144+0.0622034j -0.000711195-0.00795314j -0.00233482-0.0800668j 0.0167323+0.0234685j 0.00475354-0.0398113j -0.0525439+0.0714749j 
