0.445519+0.338045j -0.0827713+0.0612729j 0.180564+0.0334762j -0.00113191+0.0327252j 0.00975722-0.00733153j -0.0307126+0.0444586j -0.00782245+5.65189e-05j -0.0315031-0.0222074j 0.0788134+0.0059327j 0.00556298-0.00352915j 0.00336046-0.00735071j 0.00415491+0.0118224j 0.00191902+0.00702029j 0.00556585+0.00285254j 0.018508-7.90534e-05j 0.0184994-0.0221401j -0.00790805+0.0124269j 0.0164523+0.00114452j 0.0209097+0.0220404j 0.00388868-0.00600091j 0.00875074-0.0444915j 0.00221222-0.00889321j -0.00305681+0.0293074j -0.0275929+0.00526688j 
-0.0500202-0.0261004j 0.431309-0.233647j -0.223456-0.0586556j -0.0166323+0.0522921j -0.0334484+0.0330632j -0.00223156-0.00840732j -0.0197972+0.00636493j 0.0433184-0.00533969j -0.00797205+0.00328122j -0.00665134-0.0220621j -0.0147499-0.00789744j -0.0249379-0.0411804j 0.00644196-0.00257442j -0.0163482-0.0126512j -0.000898578-0.00132306j -0.0121199+0.00675954j 0.000317487+0.00545108j 0.0111994+0.00868815j 0.00563776-0.0119547j 0.00322577+0.000705564j -0.0139275-0.00341412j 0.0170738+0.00707783j -0.0164705+9.91765e-05j 0.0123786+0.0100064j 
-0.00964051-0.0353765j -0.23158-0.0384261j 0.328272+0.175327j 0.130712-0.0603395j 0.0635808-0.0301968j 0.126287-0.0400457j 0.143107-0.0686304j 0.0610407+0.0517809j -0.351371-0.0661581j -0.0225887+0.00219282j -0.0227174+0.00620879j -0.0119924-0.0124061j -0.00298784-0.000390942j -0.011252+0.0100085j -0.0224088-0.0138366j -0.00781232+0.00796422j 0.00542987+0.000581705j -0.0235849-0.0122547j 0.00694499-0.0244151j 0.00651153+0.00752815j -0.0359303-0.00347735j -0.0132067-0.068187j -0.0807106-0.0147869j 0.0731847-0.0259187j 
-0.0293138-0.0118275j 0.0744494-0.000974014j -0.0797986-0.0126722j -0.10312+0.0666286j 0.111583-0.113881j -0.195433+0.0765869j 0.0712772-0.118917j -0.420118-0.0865891j -0.229378-0.0260638j 0.0266273-0.00179708j -0.00759583-0.0114354j 0.00992064+0.0193625j 0.0120698-0.00457174j -0.0197806+0.00887291j 0.00862964-0.010708j 0.00702957-0.030959j 0.00350564+5.5621e-06j -0.0155427+0.00178992j 0.0224381+0.0168665j -0.00399623-0.00445543j 0.0643567+0.00109038j -0.0270546-0.0192014j 0.032407-0.0115093j 0.0230664-0.00382886j 
0.0117541-0.0147252j 0.093875+0.0150007j -0.101532+0.0795688j -0.134375-0.0292224j -0.0826724-0.000182192j -0.0487217-0.066004j -0.101452-0.0716997j 0.0498385+0.0388821j -0.0430418-0.0280932j 0.0161088+0.0409965j 0.0161894+0.0255724j -0.0190803+0.0332207j 0.00197519-0.00104728j 0.00825382+0.00742133j -0.00505399+0.0383337j 0.0329834+0.00757001j -0.00187726-0.00226603j -0.0134422+0.0363995j -0.041441-0.0258542j -0.000498203-0.00213033j -0.00287397+0.00751805j -0.0568435+0.00244315j 0.00801694+0.0336873j -0.0359304-0.0674848j 
-0.00524174+0.0541549j 0.0444918-0.0235242j 0.00630759+0.00238684j -0.047078+0.0153049j 0.166744+0.0535754j -0.0849589-0.075097j 0.0735803+0.112608j 0.0629639-0.00734618j -0.0121022+0.0293521j 0.00402282+0.0168395j -0.000797778-0.0266295j -0.0170077+0.0142565j 0.00829848+0.00581999j -0.0192183-0.0221339j 0.0131981-0.00234949j 0.0404091+0.0112123j 0.00337943+0.00254267j -0.00510579-0.0274546j -0.0193+0.0145783j 0.0102444-0.00187368j 0.00597711+0.029033j 0.00544203-0.0187592j 0.0138438+0.0370797j 0.0140018-0.00121388j 
0.00287606+0.00179738j -0.160792+0.0841624j -0.0165807+0.086076j -0.248052-0.207123j -0.177628-0.137038j 0.0983151-0.0972381j 0.171576-0.184094j -0.047382+0.123966j 0.133428-0.215949j 0.0444387+0.0682763j 0.047742+0.0538116j -0.0139272+0.024163j 0.00941389-0.00359306j 0.0412176+0.0320532j -0.025505+0.0232923j -0.00256639+0.0219897j -0.0172778-0.0052091j -0.021201+0.0164593j 0.032404-0.0323946j -0.0201914-0.00348912j 0.0187935-0.0106578j 0.042841-0.000636453j 0.0387915-0.0198498j -0.0326102+0.056715j 
-0.0194832+0.00211395j 0.0384498+0.00992532j 0.0117487+0.00293128j -0.087938-0.0538475j -0.113618-0.127642j -0.119192+0.174824j -0.203286+0.301363j 0.105346-0.0491217j -0.00043469-0.189631j -0.00203916+0.0296825j -0.00640737+0.0390961j 0.012186-0.0245102j 0.0389129+0.0168199j 0.00580212+0.036882j 0.0229361-0.0294662j 0.0189592+0.0149506j -0.0396328-0.0401985j 0.0187696-0.0267881j -0.0267933-0.0295267j -0.0469576-0.0600806j -0.00114201-0.0217617j 0.0319024-0.0711777j 0.03631-0.0447765j -0.0593686+0.00308255j 
-0.00383112-0.00538694j 0.00391227+0.0450001j -0.0232704+0.0101896j -0.160533-0.0975209j 0.221537+0.227255j 0.180136-0.116821j 0.0168902+0.0841379j -0.169662+0.198746j 0.264887+0.118798j 0.0162908+0.0452171j 0.00914098-0.00393155j -0.0377549+0.0033371j 0.00298746-0.00176553j -0.00609086-0.0279971j -0.0299118+0.00618418j -0.0319938+0.00976341j 0.0184834+0.0192676j -0.00905389-0.00919104j 0.038774+0.0187138j 0.0270573+0.0375909j 0.0344879-0.0143984j -0.00979629+0.0273655j 0.0306904-0.00718924j 0.0129402+0.00448574j 
-0.0172978-0.0128898j 0.0380775+0.00423975j -0.00432943-0.0193919j 0.119075+0.154813j -0.184199-0.0259676j -0.0744903+0.0133098j 0.270666-0.215577j 0.0366415-0.118509j 0.436616+0.0952086j -0.0337022-0.0347483j 0.00306912-0.0080714j -0.0152325+0.0065073j -0.0447563-0.0255662j 0.0157765-2.07911e-05j -0.0351447+0.00392575j 0.0112796-0.0169396j 0.0279347+0.0349857j -0.0421206+0.0111978j 0.0224177+0.0166442j 0.0385233+0.0500735j -0.00273268+0.0313965j 0.00920177+0.020468j 0.00369855+0.0418014j 0.0240229+0.00834092j 
0.0187331-0.00999241j 0.0208363-0.0060647j -0.00408696-0.00560162j -0.110738-0.0398626j 0.0860149+0.0889999j -0.237547+0.398035j 0.137219-0.138985j 0.129178+0.169044j -0.0171964+0.0595317j 0.00971004+0.0221529j 0.00151977+0.00657112j 0.0312679-0.0499598j 0.0560456+0.0581378j 0.0170088+0.00053793j 0.0125441-0.0103769j 0.0197823+0.0340083j -0.0183697-0.0196581j -0.0106079-0.00633966j 0.00956943-0.0387709j 0.00783013+0.0182877j 0.0301811-0.0354719j -0.014757+0.000775541j 0.0384457-0.00508968j -0.00545624+0.00258276j 
0.0239777-0.00250116j 0.00346703-0.0129974j -0.00229617-0.043465j -0.0428285+0.0664783j -0.0581149-0.0541172j 0.0963201-0.0970368j -0.205641+0.0336373j -0.442795-0.106612j 0.021721-0.00351192j 0.00112569-0.00230121j 0.0407593-0.0144667j -0.032324+0.0113615j -0.036686-0.0336852j 0.0172737-0.0176504j -0.00222929+0.0131942j -0.0234729-0.0168486j 0.00262649+0.0138266j 0.0245242+0.0202218j -0.00403327-0.00360726j -0.0226778-0.0138829j 0.0170274+0.0102746j 0.00769736-0.0239334j -0.00385292-0.00688983j 0.0191202+0.0111019j 
-0.0141818-0.0233061j -0.0436396-0.0529411j 0.0224033-0.057134j -0.0512493-0.0039567j -0.0964286+0.0789657j -0.0227473+0.00236558j -0.0992417+0.00125728j 0.24665+0.0480941j 0.130145+0.0636349j 0.0385813-0.0149586j 0.0481844-0.0248938j 0.0259541+0.0136051j 0.0050737+0.0220598j 0.0483169-0.0229205j 0.00822578+0.0384783j 0.021528+0.000199072j -0.0250816-0.00469001j 0.00383728+0.0416541j -0.0347579-0.0399289j -0.0309+0.00169456j -0.00455796-0.00413489j -0.0110744-0.0445774j 0.0138278-0.00237951j 0.0337812+0.0124903j 
0.00721465+0.0224152j -0.0321637-0.0344301j 0.022258-0.064851j -0.115429+0.0437226j 0.200664-0.0497573j -0.137868-0.0124354j -0.0409173-0.0300051j -0.103361-0.0689645j 0.0499764-0.00665074j 0.0672601-0.0270792j 0.0107414-0.0171172j -0.00406723+0.0544903j 0.0454685-0.00467395j -0.0113407-0.00587253j 0.00870194+0.0324722j 0.0217804+0.0490844j -0.023202+0.00711485j -0.00726461-0.00331477j 0.00289106-0.0399863j -0.0155095+0.0180945j -0.00487263-0.0107879j 0.0193511-0.0133454j -0.0197302-0.0150964j 0.0281694+0.0161791j 
0.0132935+0.000932799j -0.0259081-0.00159728j -0.00524749-0.00601845j -0.0447081-0.0101881j -0.474252+0.156628j -0.174675-0.0519j 0.237402+0.185808j -0.0714828+0.0625647j 0.00663795+0.103438j 0.0163948-0.00156652j 0.0619712-0.0224184j 0.029645+0.0124158j 0.0040201-0.0152793j 0.0806597-0.0192091j 0.00257987-0.00768837j -0.0150481+0.022468j -0.00058165-0.017351j 0.0285845-0.0343372j -0.0149742+0.0068334j 0.0489149-0.0494537j -0.000396173-0.00603023j -0.0459192-0.00934021j -0.0156197-0.00757432j -0.00330502-0.00722363j 
0.0148556+0.00551196j 0.00530192-0.0262746j 0.00669489+0.0171049j 0.0375999+0.0231673j -0.0456243-0.171038j 0.0516544+0.101064j -0.209555-0.343004j 0.079495-0.0477364j 0.118006-0.087136j -0.0113249-0.0065497j -0.0267202+0.0106295j -0.0179959-0.00215178j -0.000598489+0.00738118j -0.0231729+0.00778941j 0.00813646+0.0258665j -0.00232639-0.00157248j -0.0131238+0.0203411j 0.0143048+0.0495049j -0.0153488-0.0323392j -0.0435049+0.0480475j -0.0174307-0.0108614j 0.0230817+0.0264316j 0.0051684+0.00286681j -0.0186716-0.0169937j 
0.0203932+0.00117469j 0.0129305-0.0163642j 0.0354114+0.0105909j 0.262063-0.115163j -0.108903-0.171421j -0.269238-0.236181j 0.133423+0.113342j 0.216858-0.039273j 0.199339-0.219086j -0.0835278+0.0377444j -0.0566374-0.00471974j 0.00840611+0.0322086j 0.0289336-0.0378203j -0.00803951-0.0192046j 0.00604916+0.0261512j -0.0439798+0.0027371j -0.0351154+0.0285825j 0.0272307+0.0117551j 0.0192399+0.00493933j -0.040719+0.0204565j -0.00119122+0.00122564j 0.0191211-0.00114971j 0.0173451-0.0172682j -0.00903558-0.00566498j 
0.0147174+0.0050523j -0.0371703+0.023864j -0.00552559-0.00494286j -0.30121+0.1884j -0.109283-0.163961j 0.259125+0.0850891j 0.221764+0.129775j 0.132826-0.288516j 0.121258-0.0165359j 0.108471-0.0536446j 0.0689097-0.0159275j -0.0286405-0.0485052j -0.0518616+0.0636415j 0.00186168+0.0246j 0.0159661-0.0468344j 0.0269232-0.0187306j 0.0371449-0.0423336j 0.0196488-0.0245332j -0.0515783+0.0180356j 0.0362852-0.0286819j -0.0253899-0.00289372j -0.0387003-0.0135664j -0.00920513-0.0217619j -0.0065603-0.00605056j 
-0.0046419+0.0116576j 0.000287614-0.0575318j -0.00779306+0.0440445j -0.238068-0.115522j 0.0153132-0.0141616j -0.108567-0.212107j -0.0466193-0.0909143j -0.0683188+0.0901466j 0.0667977-0.0829894j 0.0080236+0.0265717j 0.00533184-0.00203581j 0.0239261+0.0443988j 0.0288749-0.0240151j 0.00359322-0.0141829j 0.0282827+0.0389656j 0.0234467+0.00797438j -0.0207154+0.0209531j 0.0142883+0.0221169j -0.0208998-0.00563605j -0.0195157+0.0157057j 0.01979+0.0171015j -0.00200447+0.013867j 0.0338574+0.031208j -0.0310444-0.0281763j 
0.0206917+0.00500359j -0.0259748+0.0308603j -0.0668793-0.00677551j 0.151654+0.18663j 0.0170814+0.0562298j -0.164228-0.254151j -0.0370751-0.136714j 0.244725-0.131135j -0.270905+0.171169j 0.00471242+0.0121695j 0.00910967-0.00501425j -0.0496268+0.0110552j -0.0219137+0.00763497j -0.000626385-0.00618157j -0.0312925+0.0127177j -0.0259984+0.00115847j 0.0147341-0.00594682j -0.0126522+0.00769437j 0.0301353+0.00764086j 0.0116759-0.00462351j -0.0201114+0.0151685j 0.0208728+0.0246281j -0.031119+0.0118217j 0.0154291+0.0266307j 
0.0429751+0.0263279j -0.0141118+0.000863753j 0.0122997-0.000746746j 0.00617764-0.0353786j -0.0371694-0.0177488j -0.0537556+0.138016j 0.102793-0.0684773j -0.174437+0.0561976j -0.054187-0.0126199j -0.0178424+0.0134122j 0.0141836-0.0220479j -0.00102014-0.0191912j 0.00490752+0.00619236j 0.0101294-0.0271667j 0.0227671-0.00573876j 0.00561793+0.0200597j -0.00312824+0.00306182j 0.0255294-0.0144528j -0.0102443-0.00493134j 0.00220771+0.00104016j 0.0137978+0.0059036j 0.00855403+0.0113276j 0.00999499+0.019102j 0.00708173+0.0153536j 
-0.0218463+0.0103315j -0.0457637-0.0125525j -0.00211755+0.0123206j 0.0785059-0.0352991j -0.254741+0.0590121j 0.161986-0.0214152j -0.0184185-0.118969j 0.103824+0.0705224j -0.0599892+0.0684525j 0.0298859-0.0466046j -0.00424321-0.0331678j 0.0345364+0.0138501j -0.00730099+0.00351798j 0.0058952-0.0101252j 0.0153173-0.0104946j -0.00932205-0.0248335j 0.0026469-0.000950273j 0.0230193-0.00594713j -0.00913421+0.0305868j 0.00187652-0.00504917j -0.010587-0.0020452j 0.0162932+0.0258483j -0.00201929-0.0104916j 0.0132152+0.0302271j 
0.0216355-0.022102j -0.00213601-0.0054779j -0.0200526+0.00814361j -0.17391-0.0038885j 0.394083-0.0589525j -0.00445845-0.136158j 0.176507+0.0474329j -0.0619764-0.0781687j -0.133223-0.0536205j 0.0375819-0.0416149j 0.0143046-0.00371316j 0.0385785-0.0156205j 0.00704979+0.00260832j -0.0123834-0.0019007j 0.0197852+0.0149657j 0.00267429-0.0025361j 0.00384795-0.00261608j -0.00541947+0.020884j 0.0198757+0.00427142j 0.00292018-0.00273162j 0.00796898+0.010234j 0.00265322+0.0366926j -0.012973+0.00852547j 0.00745115+0.0321198j 
0.0187731-0.00164848j -0.121981-0.0230692j 0.0483636+0.0333331j -0.470338+0.0506388j -0.130825+0.0427945j -0.123389-0.138547j -0.120536-0.101637j -0.0108571-0.0406168j 0.0798862+0.102553j 0.0123531-0.0255089j 0.0359305+0.00354447j 0.0284961-0.0476936j 0.00562231-0.00398771j 0.0268598+0.00174957j 0.0313517-0.0264895j 0.0156545+0.0176914j -0.00689957+0.00262396j 0.0264568-0.0269704j -0.020573-0.0120894j -0.00451087+0.00617015j 0.0143637+0.00316092j 0.0129033-0.0354475j 0.0237081+0.00677459j 0.00597146-0.0257131j 
