0.110573+0.491833j -0.136586-0.0325819j 0.0245137-0.0175851j 0.00428016-0.0239588j 0.0356667+0.0188444j 0.00963709-0.0143683j -0.000387875+0.00591623j 0.0171855-0.00931151j 0.00332208-0.0125739j 0.0266739+0.0130187j -0.0243945+0.0139122j -0.00555246+0.0139827j -0.00527032-0.0465459j -0.0130716+0.0147238j 0.0161235-0.0180793j 0.00378207-0.00160667j -0.00656956-0.00225901j 0.00677644+0.00662101j -0.000101264+8.4383e-05j -0.00395225+0.00315418j -0.0109744-0.00482977j 0.00718912+0.00177837j 0.00884543-0.00890974j -0.00867151-0.000367593j -0.0223259-0.00181179j -0.000893223-0.00573014j 0.00335089+0.0192689j -0.0129806-0.00545173j -0.00792554+0.00389782j 0.0097849-0.000470337j -0.0148892-0.00622215j -0.0142309-0.00700152j 0.0117124-0.00422025j 0.00374099-0.00362437j -0.00789507-0.000859131j 0.00138097-0.00420746j -0.00382652-0.0062123j 0.0028883-0.00716117j -0.00342194+0.00155596j 0.00368586-0.00174681j 
-0.0416776+0.0255552j 0.049672-0.0214228j 0.0514042+0.0160735j 0.0187461+0.198409j -0.00740716-0.0398032j -0.0297238+0.0700043j -0.0205654+0.0167657j 0.0299951-0.00423182j 0.0325754+0.0247224j 0.00194862-0.0265636j 0.0132511-0.0240375j -0.00787587+0.00471271j 0.00844289-0.0210851j 0.00830105+0.0139907j -0.0144447+0.00165481j 0.00078182+0.00411417j 0.0109475-0.0136398j -0.00169445+0.00802943j 0.0117718-0.02588j -4.45411e-05+0.00255602j 0.0161009+0.00398494j 0.00411243+0.0257871j -0.00769967+0.00326108j -0.0315016+0.0307008j 0.0152029-0.011536j -0.00216709+0.00777136j 0.0057658-0.00101032j -0.0192827+0.0175272j 0.0039035-0.00953993j -0.00371813-0.000705686j -0.011596-0.0105612j 0.0141092+0.00881688j 0.002987+0.00286603j -0.00742034+0.00788034j -0.0246314+0.00028244j -0.000872912+0.000154265j 0.0192106-0.00934844j -0.00877694+0.00125923j 0.0015935+0.00602416j -0.00403647-0.00471645j 
0.00121732-0.00402348j 0.0298102+0.0631701j 0.0836098-0.23536j -0.162849+0.421428j -0.143182+0.364046j -0.182034+0.13165j 0.0484799-0.0388397j 0.0574672-0.0601511j -0.0160254-0.00582974j 0.00861718-0.0113238j 0.0510114-0.0624295j -0.042085+0.0352321j 0.0074155-0.0234917j -0.0334754+0.0428194j -0.0368141+0.0710247j -0.000751607-0.0166739j -0.00970712+0.0128459j 0.00286188+0.00153958j -0.0024243-0.00546285j -0.00828822-0.00272306j 0.00790519-0.00346243j 0.00540317+0.00948003j 0.00430753-0.00502222j -0.00145717-0.00355485j 0.0121032-0.00420794j 0.00902965+0.010433j -0.00389332-0.00983987j -0.000728774-0.0190143j 0.00149324-0.0080086j 0.0021025+0.00100837j -0.00528671+0.0341304j -0.00564803-0.0226121j -0.00994443-0.0183873j 0.00454639-0.00942648j -0.027362+0.000747552j -0.00745641-0.00845651j 0.0249439-0.000305795j -0.0406966+0.0193817j -0.0120757+0.0296469j -0.0255191-0.020409j 
0.0061066+0.0433871j 0.0378827+0.0183302j -0.0222574-0.0475346j 0.21276-0.165844j 0.153711-0.0292303j -0.293893-0.109863j 0.0242212-0.00171016j -0.00261699+0.0121264j -0.0044474-0.0103198j 0.00135719-0.00107997j 0.00846741+0.0102036j 0.0195566-0.0204588j 0.00227627-0.00661323j -0.0550031+0.00564134j -0.0165836+0.0170638j 0.00601728-0.0100535j -0.00279657-0.00269193j -0.00112867+0.00169854j 0.0239136-0.0129738j -0.00551497-0.00021224j 0.00760832+0.00485384j 0.00352095-0.000598283j 0.00676129-0.00319301j -0.0139591-0.0150611j 0.00887708+0.00778885j 0.0017472+0.00294665j -0.0137497+0.00576831j -0.0104476+0.0028767j 0.0221294-0.0124383j 0.00549513-0.00618009j 0.0160794-0.0142029j -0.0212921+0.0149166j -0.0279327-0.00435415j -0.0290307-0.00602089j -0.0227976-0.0223418j -0.000151824-5.86585e-05j 0.00747105+0.00483153j -0.0047619-0.0127435j 0.00433923-0.00254254j -0.0140503-0.0129784j 
-0.00583616+0.00396321j -0.0176335-0.0192045j -0.16387+0.504928j -0.200121+0.322484j 0.199059-0.0498082j -0.0707042-0.00718303j -0.0597246+0.0662163j -0.0221825+0.037238j -0.0228326+0.0179709j -0.0182752+0.048845j -0.0202754+0.032497j -0.0307087+0.0428675j -0.017718+0.0378159j 0.00540433-0.0141386j -0.00351109-0.00272019j 0.0115572+0.00916761j 0.00778232-0.0194962j -0.00298865+0.00440619j 0.000679117-0.0191383j 0.0152894+0.00180188j -0.00409476-0.0102846j -0.0203813-0.0312626j -8.40238e-05+0.00723187j -0.0186639+0.00172815j 0.00737158+0.0119613j 0.0146527+0.00973275j 0.00605333+0.00171368j -0.0235481-0.00314771j 0.0059546+0.000641278j -0.0225625+0.0128703j -0.011269+0.0350873j 0.00812779-0.0464461j 0.00945453-0.0137521j -0.0198862-0.00244086j -0.0332446+0.00758714j -0.00107017-0.00475278j 0.049661+0.0109087j -0.0024101-0.0105695j 0.0110381-0.000210784j 0.00583155+0.00419275j 
-0.000479881-0.00223147j -0.0225914+0.0197677j -0.0411773+0.0148264j -0.239031-0.250324j -0.103575+0.0713814j -0.203251-0.549573j -0.00292741-0.0046888j -0.011711-0.0500533j -0.00327809+0.00757247j 0.018796+0.00854901j 0.00479918-0.0332383j 0.00976846+0.0503955j 0.00514195+0.013207j 0.0248708-0.00266176j 0.0477779+0.0418295j -0.00816588-0.00120483j -0.00993011+0.00189716j 0.00824402-0.0140084j -0.0605096+0.0116899j 0.0057304+0.00241532j 0.0117767+0.00706954j 0.000769805-0.00624692j -0.00791366-0.0183865j -0.0109047-0.053038j 0.0107419+0.0193414j 0.0130491-0.0105964j 0.0125854+0.00235277j 0.00228665-0.0132052j -0.0372491-0.0411095j -0.00902499+0.00374895j -0.0129566+0.0132472j 0.00999441-0.00951931j 0.0139362-0.0153695j 0.0222134-0.0192677j 0.00434901-0.000174515j -0.00889467+0.00565666j 0.00687896-0.0178129j -0.00431032-0.000507364j 0.0118061-0.0119187j -0.00545554+0.0069111j 
-0.00838053-0.0442684j 0.0228095+0.00913074j -0.323885+0.0927376j 0.0988026+0.143176j -0.204735-0.108276j -0.00375476+0.0602324j 0.00538034+0.0186332j -0.0174817+0.0208319j 0.0139309+0.00606304j 0.0163252-0.00921973j 0.0375997+0.00395743j 0.0304884-0.0100411j 0.00932858-0.00972184j -0.029609+0.0066872j -0.00824578+0.00398531j 0.0112267-0.0178877j -0.0104971-0.00903807j 0.00991288-0.00837182j -0.0204378+0.00913433j -0.00287633-0.00738827j 0.0095846-0.0145397j 0.0267551-0.00858579j 0.0149288+0.00204559j 0.0181216+0.0208897j -0.00765897-0.0072853j 0.000863351-0.00172183j -0.0109164-0.00447297j 0.0193602+0.0143877j 0.0015042+0.0039747j -0.00153832+0.006001j -0.0144813+0.0106152j 0.014214-0.0110817j -0.008604-0.0064921j -0.0063316+0.00501235j 0.00116096+0.00259542j 0.0032113-0.000442597j -0.0264199-0.0101224j 0.000970206-0.0024776j -0.00225661-0.00383635j -0.0082856-0.00883938j 
0.0104371+0.00113373j 0.0165405-0.0122057j -0.169519-0.0632673j -0.119672-0.288464j 0.211945+0.519846j 0.0776486+0.199929j 0.0301122+0.0643061j -0.000280421+0.0460015j 0.0136986+0.0246378j 0.0333814+0.00156084j 0.0220527-0.00145965j 0.0300105-0.00719851j 0.0363134+0.0224763j -0.0279696-0.0136326j -0.0318236-0.0379067j 0.0251147-0.032694j 0.0163214+0.0110042j 0.0367842+0.0198709j -0.0332763-0.000378132j 0.0119503-0.00811667j 0.0103245+0.0130259j -0.00337106-0.0291428j 0.0237385+0.017145j -0.00113106-0.0384652j -0.000935401+0.0121445j 0.0117687-0.00554477j -0.00482644+0.00589382j -0.00120573-0.00130615j 0.0110003+0.0219578j -0.00979358+0.0241722j -0.00681168+0.00636046j 0.00398005-0.0016952j -0.00325327+0.00426587j -0.0206506+0.0143729j 0.00105234-0.00168162j 0.00375619+0.000343812j -0.00136326-0.00351812j 0.00403467+0.00483669j -0.00817463+0.00439757j 0.00399015-0.00820535j 
0.0561194+0.00590909j -0.0157898+0.0142465j 0.0175207+0.0618526j -0.00691311+0.190099j 0.00457345-0.0454631j -0.060077+0.0512205j -0.00942626+0.003467j 0.0168752-0.0262401j 0.0114189+0.0109016j 0.00325317-0.0157268j -0.0186481-0.0265636j -0.0122526+0.0239154j 0.0152346-0.00725374j 0.0350995-0.00864113j -0.0216034-0.0204304j 0.00211945+0.00316013j -0.0026648-0.00229487j -0.0129298-0.003055j 0.0301398+0.00774995j -0.00315823+0.000374375j -0.00911341-0.00236706j -0.00564488-0.0056541j 0.00102584-0.00339659j 0.0158881-0.0135722j -0.00636466+0.00960366j 0.00117447+0.00744686j -0.00816783-0.00495563j -0.00593296-0.0156616j 0.0195469+0.000412721j 0.00714318-0.00026854j 0.0209322+0.0205538j -0.0270781-0.0235398j -0.00758389-0.0184227j -0.00567692-0.0142666j -0.00210486-0.0133391j -0.00184894-0.00365337j 0.00999867+0.0208709j 0.00402054+0.000366316j 0.0041773+0.0105011j -0.00278198-0.0104852j 
0.0158945+0.000761522j 0.0648407-0.0153133j 0.0205108+0.113359j -0.0251666-0.0150813j 0.0759769-0.104765j 0.0154281-0.080041j -0.0374753+0.0616171j 0.0165801+0.039094j 0.0568591+0.00923283j -0.0230273-0.0149266j 0.0242033+0.00183376j 0.0024803-0.0251273j -0.0232606-0.0174212j -0.0165449+0.0229338j 0.0240917+0.0231861j -0.0175894-0.00690451j -0.00481819+0.00135588j -0.0156139+0.00842847j 0.00625199+0.00361794j 0.00110387+0.00478207j -0.0122347-0.00367165j -0.0154435-0.0236581j -0.0110031+0.00408568j 0.00299182-0.00423988j -0.00368733+0.0045395j 0.000607936-0.000679505j 0.00716583+0.00699504j 0.0022646-0.00437309j -0.0102829+0.00427094j 0.00320131-0.00242977j 0.00865154+0.00351644j -0.00554933-0.00937274j 0.00322072+0.00743642j 0.00954275+0.00705446j -0.00267741+0.00726515j 0.00224239+0.000377715j 0.00649981+0.0115584j -0.00577208-0.0109469j -0.00124664-0.00620637j 0.00360773+0.0184508j 
-0.00801821+0.0283795j -0.0300912+0.00253394j -0.256648+0.101335j -0.266513+0.184275j -0.345303+0.0651065j 0.240672+0.0148082j 0.00156785+0.0240499j -0.0322863-0.0167497j 0.0217375-0.0183891j -0.00908451-0.00730863j 0.00700303+0.000444544j 0.0142225+0.0176349j -0.00717293-0.0178675j 0.00756442-0.0347854j -0.00436764+0.0256871j -0.0044317-0.00972619j 0.00103139+0.00657662j 0.013018+0.00184213j -0.0326198-0.00329868j 0.00519178-0.00146376j 0.00739422+0.00918698j -0.00829514-0.00724821j 0.00096175-0.00543956j -0.0249375-0.0405513j 0.0130446+0.0169533j 0.00535255-0.00969497j 0.0052546+0.00609498j -0.00696028-0.00551375j -0.0253554-0.0160157j -0.00807015-0.00123682j -0.00514165-0.00853415j 0.00645072+0.0195688j 0.00100852+9.17856e-05j 0.00992217-0.00103981j 0.00202754-0.00225648j -0.00191966+0.00302557j 0.00817-0.00914315j -0.000874527-0.00687685j 0.00711787-0.00665561j -0.00314699+0.00577335j 
0.00720823-0.0047372j -0.0793087-0.0260591j 0.465713-0.163913j -0.232804+0.0506995j 0.00627146+0.103828j 0.187631+0.0274029j -0.0645696-0.0441975j 0.0100886-0.0132589j 0.00104602+0.0550949j -0.000589844-0.0283828j -0.0092919+0.0226143j -0.0192323+0.019635j 0.00816632-0.0316946j 0.0147931-0.0319604j -0.0143101+0.0319628j -0.00324957+0.00159765j -0.00849853-0.00802708j -0.0300596-0.0190842j 0.00765948-0.00117331j -0.00357251+0.00419844j 0.000543502-0.00784778j 0.00915706+0.00554685j -0.0287195-0.0112019j 0.00559538+0.00361426j -0.000940306-0.00707831j -0.00257682+0.00422195j 0.00782235-0.00143878j -0.0062888+0.000811318j -0.0260849-0.0156316j 0.0152002+0.00259505j 0.00554232+0.00633049j -0.00065933-0.000510273j 0.00358542-0.00962459j 0.0204511+0.00211518j -0.00313747-0.00299642j 4.17526e-05+0.00662719j 0.0033825+0.00207093j 0.00307042-0.0134457j 0.00759809-0.0038533j -0.00669991+0.00788577j 
