0.0120266+0.000294565j -0.0520695-0.0758463j 0.00702636-0.0672341j 0.00421934-0.0401416j 0.0296685-0.048136j 0.00274854-0.0479382j -0.0407897+0.0217858j 0.0379238-0.0150203j -0.0126725+0.00537877j 0.0173961-0.044825j -0.0403161-0.00407253j 0.0384136-0.0141583j 0.00538349-0.0108819j 0.0186182+0.0068193j -0.00783785-0.00226409j -0.00446428+0.0203029j 0.00191537-0.000300782j -0.0128839+0.0100532j 0.010984-0.0084816j 0.0202461-0.000830081j -0.0166905-0.00488509j 0.00684742+0.0169688j -0.00467772+0.00757398j -0.0343747+0.00212987j -0.0260043-0.0190046j -0.00252626-0.0168096j 0.00671111-0.0141394j 0.00809186+0.0106447j -0.00779577+0.0118873j 0.00165684+0.0034188j 0.0188155+0.00473295j 0.0085289-0.0197954j 0.00472798-0.0170592j 0.00734516-0.00695915j -0.00335379+0.00415068j 0.00215504+0.00214564j 0.00699908-0.0147555j -0.0222609-0.00776415j -0.0286902-0.0102684j 0.00231962-0.0196259j 0.0174563-0.0127384j 0.0205837+0.00129957j -0.016323-0.00449651j -0.0168932+0.00414493j 0.00220511-0.00809532j 0.00105272-0.00735945j -0.00304559-0.00362337j 0.00685313+0.000643994j 0.0211705-0.00268173j 0.0305005+0.0386809j 0.00213105+0.00420549j -0.0297975-0.00160053j 0.000812262+0.00910472j 0.0315713+0.00658663j 0.00940101+0.0155936j 0.0101829-0.00562143j 0.0149053+0.0192362j 0.029007-0.00705529j -0.00200835-0.0394669j -0.0360836-0.0423488j 0.0295764+0.00494235j -0.0133192-0.0803388j 0.0455146-0.0956686j -0.0925991+0.00428832j -0.0608706-0.0332894j 0.0243276+0.0719677j 0.0780563-0.0139559j 0.0183707-0.00231782j 0.0259435-0.0573847j 0.0900782+0.0354312j -0.0330429-0.0042827j -0.141822-0.128713j 
-0.0334497-0.0247903j -0.00525827+0.0444543j -0.0173462+0.0395524j 0.024+0.00186438j -0.0169129+0.0140451j 0.0263837-0.0047547j -0.029206+0.0136268j -0.0100267-0.0244773j 0.00296654-0.043476j -0.0239412+0.0621053j -0.000646999-0.0282274j -0.07399+0.00956805j 0.00423834-0.00362886j 0.00926442+0.00692822j 0.0163582-0.00681972j -0.0101955-0.00847937j -0.0316318+0.0147436j -0.00542825-0.00196154j 0.0274075-0.021917j -0.0232747+0.0151245j 0.00843696-0.0228892j -0.0673456+0.0439135j -0.0423044+0.00382271j 0.0239075+0.0462598j -0.040016+0.0160849j 0.0199925+0.00691495j 0.0407944-0.0063881j 0.0254088+0.0495893j 0.0256821-0.0626379j 0.00945754-0.0209553j -0.0339508+0.000949473j 0.0115235+0.00817437j 0.0816318-0.0195068j 0.02107-0.106343j 0.0793662-0.0513843j -0.138096-0.0635799j 0.0489228-0.012519j 0.0434003-0.017313j 0.024323-0.0492523j 0.0403072-0.0308127j 0.0436425-0.154862j 0.109068+0.0612299j -0.0113272-0.0282755j 0.0258571-0.0408365j -0.0385112-0.038107j 0.0604569+0.0497404j -0.0489835-0.0229191j -0.0536266-0.151678j 0.0484403+0.0230853j -0.0464075-0.0227706j -0.103053+0.0680229j 0.0640602-0.106814j -0.0271163-0.0600187j 0.0249968+0.0618354j 0.0574645-0.0247958j -0.0493409-0.0874409j 0.0463094+0.00364248j 0.147512-0.0808599j 0.0259585+0.0583168j -0.0733437+0.16714j -0.00831283+0.102861j -0.130839+0.00710118j 0.00344855-0.0257562j -0.0160309-0.0789652j -0.0319106-0.00733216j 0.00980438+0.0232382j 0.00992252+0.0181357j -0.0541073+0.0603434j 0.0171643+0.0208704j 0.0286141-0.0373984j 0.0127581-0.0441574j 0.0563686-0.0083103j 
-0.011669+0.0441865j -0.0345501+0.0133363j 0.0279235-0.0178387j -0.0192225+0.000257032j 0.0291117+0.0308273j -0.0232135-0.00369268j 0.0241618+0.00591577j -0.0374297+0.0616269j 0.00930224-0.0346499j 0.0174103-0.0233897j -0.0168956-0.0330256j -0.034631-0.0523355j -0.0153521+0.0216542j 0.020371-0.0323118j -0.0033038+0.0832205j 0.00156539-0.0159615j 0.0337361+0.0273504j 0.0445844+0.0459912j -0.0631159-0.000515166j 0.0382576+0.0592921j 0.0140257+0.0358745j -0.0232568+0.00859883j -0.0103836-0.0137565j -0.0228996+0.00261612j -0.043402+0.0178692j -0.0398852-0.0324828j 0.0151249+0.0167973j 0.00771521-0.00480585j 0.0114259+0.0104436j -0.0516306+0.0846775j -0.0577031+0.0268071j 0.037766-0.043298j -0.0496169+0.061725j 0.0113955-0.000692428j 0.0493599+0.0416439j 0.01832+0.0404823j 0.00626013-0.0160919j -0.0181497+0.00566013j -0.069713+0.0576772j 0.0557309-0.13213j -0.00745971+0.0824456j 0.00602448+0.00099367j 0.0178765+0.0062855j -0.0207305-0.0803362j -0.0582126-0.0920644j 0.0646987-0.0146202j -0.0470207-0.0398809j -0.0211395-0.0728377j 0.0288478-0.0461031j 0.00544241+0.0468402j 0.00667256+0.0122593j -0.0257892+0.0653368j 0.0284917-0.0152528j 0.0888108-0.00687889j -0.0932709+0.0249694j -0.0569201-0.0267579j 0.0222356+0.0550498j -0.0180648+0.0749093j -0.0681322-0.0709565j -0.0415213+0.0172235j 0.0258564-0.178783j 0.0322177+0.026322j 0.0326683-0.0608785j 0.035334-0.0894366j -0.016875+0.00287431j 0.0118274-0.0603874j -0.0301596-0.024639j 0.0190131-0.0235904j -0.0461576+0.00186761j -0.100613+0.049771j 0.0529315+0.00141117j -0.0351333+0.102344j 
-0.0295377-0.00424763j -0.0183823+0.0252262j -0.00799335-0.0141099j -0.00151792+0.0448703j -0.00585196+0.032935j 0.0399609-0.0046601j 0.00675439-0.0159251j 0.0391714-0.0323084j 0.0602082-0.0121048j 0.0273674+0.019487j 0.00085399-0.00471253j -0.0448218-0.0319724j 0.0631193-0.00156644j -0.0499558+0.0250487j 0.0203471+0.0167851j 0.0588003+0.0217126j -0.0124738+0.0210465j 0.051314-0.0498077j -0.00609259-0.0336777j -0.0603485+0.0168364j 0.0229177-0.0188606j -0.0205618+0.0240123j 0.08759+0.0275682j -0.00698283-0.00068021j 0.0437335+0.0392837j 0.0317032+0.0746175j -0.0106132+0.0448734j 0.0516325-0.00347753j 0.0176485+0.00704876j -0.0299468+0.0301002j 0.0223788-0.0678087j -0.0735252-0.0221085j 0.00943396+0.0139165j 0.0123737+0.0132734j -0.0183556-0.0758892j 0.0518566-0.000330652j 0.0443829+0.115802j 0.021758+0.102982j 0.0163225-0.0726191j 0.0112843-0.0363199j 0.0136285-0.0427418j -0.041496-0.0419925j 0.0996487-0.0424148j 0.0987466-0.151375j -0.00492687-0.0483135j 0.0427837+0.0196661j -0.0390301-0.0458793j -0.0147239-0.0644124j 0.13264+0.0665208j -0.0387483+0.116839j -0.016351-0.00757444j 0.0471358+0.0356858j 0.0112992-0.0353253j -0.0190001+0.0103704j -0.0304775+0.0395432j 0.00743548+0.0854032j -0.0490776-0.0214828j -0.0436884+0.0236395j -0.0067295-0.00464481j -0.0239475+0.0133921j 0.0642097+0.0425531j 0.00236188+0.00127414j 0.0807721+0.0496461j -0.068231-0.008735j 0.0168399-0.0218887j -0.0686816+0.0461733j 0.00010075+0.0216781j 0.0268769+0.0435936j 0.0501933+0.0198189j -0.0503017+0.0617346j 0.0557813+0.0555782j -0.0124656+0.0327285j 
-0.00577731-0.0494757j -0.00401109-0.0193784j -0.0318174+0.0340234j -0.00231684+0.0458511j 0.0154457-0.0172144j -0.0411857+0.051537j 0.0200721-0.0100449j 0.0174903-0.0325669j 0.0537089+0.0137215j 0.0447996-0.00837144j 0.00976039-0.020932j -0.0141828-0.00382463j -0.0635283-0.0103246j -0.0417142+0.0621691j 0.0383093+0.000838761j -0.0215458+0.0252639j 0.0168181+0.00930873j 0.0156491-0.0107274j 0.0349208+0.0140712j -0.00221809+0.01825j -0.0537141+0.0228794j -0.0384008+0.0537007j 0.00894841-0.00370013j -0.0308562-0.00986721j 0.0803361-0.0425008j 0.00219237+0.0199665j 0.00967793-0.0701653j -0.00868744+0.0594161j 0.0043121+0.00410879j 0.00101711-0.0291787j -0.0154772-0.0289208j -0.0337483+0.01223j -0.0507925-0.0066101j 0.00248014+0.0169444j 0.0183873+0.0547102j 0.142159+0.0263409j -0.0471997+0.00691046j 0.0114328+0.00349031j -0.0232876-0.0510962j -0.0274911-0.0683443j -0.0566909+0.151918j -0.115737+0.0138651j -0.1082-0.0178393j -0.0648805-0.00112381j -0.0168511+0.0813046j 0.028363-0.0705605j 0.00365028+0.047047j -0.0948137+0.00883866j 0.120888-0.110066j -0.0174205+0.00714692j 0.0735165+0.00823236j -0.0325581+0.0620287j 0.00719677+0.0114114j 0.0355498+0.0579261j 0.00294019+0.100763j 0.0373167+0.0739396j 0.0630661-0.00555226j -0.176364+0.0396426j -0.0481996+0.05629j -0.00494226+0.0406701j 0.0401212-0.0437087j 0.154226-0.117001j 0.0818952-0.0484338j -0.00755597+0.0687849j 0.0311174-0.0378692j 0.0157174+0.0257451j -0.0103713+0.0853011j 0.0262871-0.0286886j 0.0262761+0.0370291j 0.0191573+0.0466061j -0.00650739+0.0132455j 0.016181-0.0807596j 
-0.0320009-0.0140719j -0.0072779+0.00880433j 0.0192521-0.0644809j -0.000276143-0.0257267j 0.0111699-0.0282873j 0.00766567-0.0102471j 0.0403067-0.0125749j 0.03383-0.0473251j 0.0218236+0.0162413j -0.0211788+0.037259j 0.016714-0.0236477j -0.0126731+0.0284918j 0.0462455-0.044437j -0.021899-0.0184675j 0.0443956+0.0142617j -0.0375165+0.0106084j 0.000183189-0.0214974j -0.0011366-0.0218426j 0.0179913-0.0144679j -0.0318287-0.00117268j -0.0114985-0.0534547j -0.0255855+0.00939485j 0.103005-0.0466457j 0.0646017+0.00975045j 0.0838349-0.0348857j -0.0184001-0.147352j -0.0245938+0.0601055j -0.092965+0.031535j -0.0161949+0.0196861j 0.0282911+0.0385626j -0.0142972-0.0153183j 0.0293052+0.0596754j -0.00964769+0.100043j 0.106123-0.0319498j -0.0338273-0.0271336j -0.0239259+0.129226j 0.0976366-0.0022104j -0.0331271+0.104056j 0.0583192+0.182665j -0.101001-0.0192997j -0.0519641-0.118805j 0.0069481+0.11866j -0.134318-0.00800336j -0.0624153+0.00512349j -0.0707931+0.00260364j 0.0443936-0.137693j 0.0143355-0.0709659j -0.124262+0.0452497j 0.0662871-0.030322j -0.0992264+0.0370686j 0.0436486-0.0292391j -0.0306011+0.111563j -0.0357857-0.0667034j 0.0909606-0.0102063j 0.0413128-0.0465159j -0.0222549-0.083059j 0.0353805-0.000596412j 0.0470835+0.185162j -0.149895+0.0363807j 0.100955-0.100303j 0.113375+0.00936051j -0.0624688+0.023561j 0.00371833+0.048729j 0.0363244-0.0111561j 0.0167474-0.0488156j -0.016267-0.0201505j 0.0256941-0.0662345j -0.0386772+0.0608425j -0.0201145-0.0136847j -0.0105001+0.0528171j 0.0370204-0.00178137j -0.0265671-0.0102246j 
0.0304127+0.0221308j 0.0148804+0.0276869j 0.00208208+0.0402958j -0.00142252-0.00792839j -0.000315399+0.0698664j -0.000339364-0.00429774j 0.0147635-0.0147129j -0.0260278+0.0181832j 0.0165647+0.029091j -0.0120947+0.089655j -0.0146169-0.0243504j -0.0556515-0.00517885j -0.0553055+0.00790051j 0.0132776+0.0367086j -0.00292375-0.0350881j 0.0159193+0.0129972j 0.0150941-0.0212281j -0.0013849-0.00588557j -0.0179513-0.0139967j -0.00588469-0.0326603j 0.0436256-0.0249781j -0.0306599+0.0502586j -0.0662648+0.0802343j 0.058054-0.0117342j 0.0427473-0.107529j 0.0471654+0.0303092j -0.0765461-0.00191375j -0.0271211-0.0227145j -0.0321312+0.0146693j -0.0114942-0.0468384j -0.0147964-0.100288j 0.0242216-0.00530896j 0.0170071+0.00995502j -0.0309142-0.0581531j 0.129339-0.0218785j -0.0204897+0.0476799j -0.212044+0.0646333j -0.0812415+0.0490514j -0.00424228+0.00462627j -0.0804961+0.0879379j -0.126749+0.0801096j -0.0845411+0.0454011j -0.076101+0.10578j -0.0138665-0.0282222j 0.0253844+0.0253523j 0.148551+0.0138259j -0.0274735+0.0664488j -0.0536029-0.0468276j 0.132191-0.0351997j -0.0569244+0.00715987j -0.0706369-0.0289721j -0.0205907+0.0491577j -0.0893843-0.0152013j 0.123793-0.145453j 0.0294141+0.00238156j -0.0368611-0.000964635j 0.0540074-0.0103196j -0.131054+0.0806934j -0.10003+0.0746392j -0.122433+0.0668785j 0.0180659+0.0396113j 0.11021-0.147475j -0.0132675+0.0166693j -0.0917042+0.0763636j 0.0128925+0.00461603j -0.0229042+0.00322309j -0.127192+0.0368655j 0.0958918-0.0469888j 0.0955576-0.104266j -0.0642191-0.100798j -0.0790715+0.00844766j 0.0494059-0.00699459j 
0.0330741+0.00110967j -0.00551561-0.0107806j -0.00778199+0.0581038j 0.0474595+0.0206153j 0.026777+0.0252447j 0.0182915-0.0203942j -0.0260899+0.0323024j -0.0144662-0.00428755j -0.00208234+0.00764105j 0.0346768-0.026895j 0.0474083+0.0674723j 0.0330624+0.0101506j 0.0465859+0.0507441j -0.0211579-0.0249181j -0.00877282-0.0131373j -0.0363818+0.0779592j -0.0264399+0.0258517j 0.00203083+0.0412074j 0.0409001+0.0471691j 0.00917217+0.0458624j 0.0146498-0.0241151j 0.000171534+0.016281j -0.0388944-0.00811188j -0.0541364+0.00163399j 0.0518902-0.0431491j -0.0781985-0.0436439j 0.0248997+0.0544118j 0.0122782+0.0186023j 0.000355007-0.00253312j -0.0161492-0.00291602j -0.10925-0.000800734j 0.0345429+0.054722j 0.0829628-0.00325368j 0.0200595-0.0532126j -0.0403161+0.0024441j 0.0123491+1.0234e-05j 0.195812-0.0856026j -0.0732611-0.0525837j -0.0249839+0.107445j 0.0829478-0.0253155j -0.00245883-0.163319j 0.137358+0.0568793j -0.00719049+0.0120893j -0.0297933-0.0671677j 0.0168704-0.0640159j 0.0946731-0.0874018j -0.0932583+1.0975e-05j -0.0784006-0.106471j 0.00779104+0.00517687j 0.0744008-0.147387j -0.0341059+0.08076j 0.131807-0.0935064j 0.0999451+0.050796j -0.0168181+0.0121012j -0.0743017+0.0308083j -0.0546792-0.000255742j 0.0216813-0.0458905j 0.01567-0.0292055j 0.0329349+0.0353488j -0.0605446+0.0710067j -0.150962+0.022511j -0.0154472-0.0476685j -0.0748746-0.0256876j 0.062679-0.116638j -0.00286818-0.0247127j 0.00783315-0.0061214j 0.0136428-0.0176857j 0.0356318+0.024229j 0.118169-0.0214518j -0.0224702-0.0293295j -0.0368924+0.0923325j -0.0536941+0.0142531j 
-0.0261713+0.00380313j -0.0147861-0.0193507j -0.00416063+0.00208378j 0.00373609-0.0133256j 0.00523942-0.0282808j 0.00963166+0.044174j 0.0338536+0.035494j -0.0249273-0.00991481j -0.0487152-0.00395003j 0.0512723-0.0260656j 0.0141839-0.00272002j 0.0106166-0.0403534j -0.0165786-0.0117674j 0.0173146-0.0150519j -0.00724572+0.00618459j -0.00521166-0.0227411j 0.0121798+0.0227836j -0.0354997+0.00353536j -0.0406779+0.0238172j -0.0466457+0.0226186j -0.0467075+0.0541831j 0.0187774+0.0239716j 0.0647732-0.0744127j -0.0331039+0.0650184j -0.0142925-2.59862e-06j 0.00894506+0.0416256j 0.0325816-0.0427405j -0.081581+0.0159712j -0.00255394-0.0137769j 0.0840528-0.0374698j -0.0143071+0.0814937j 0.0472279+0.0184805j 0.023399-0.0466852j -0.0960296+0.0698889j -0.0411695+0.0406735j 0.01109+0.041243j 0.0292656+0.001144j 0.00807806-0.0429849j -0.0584462-0.0364462j -0.0141148-0.00181878j -0.0375032+0.226027j -0.0346036-0.0410211j -0.0904588+0.0103654j 0.0689716-0.0125134j 0.103958-0.0150349j -0.0963456+0.0198716j 0.0442705+0.0733309j -0.0367481-0.0422539j 0.0413536-0.010082j -0.0114987-0.0760145j -0.0325658-0.105885j -0.0735892-0.0882129j -0.0133389+0.0248702j 0.105093+0.0600786j -0.0351722+0.0948205j 0.0911654-0.0654164j -0.0909105+0.0248063j -0.06366+0.00837577j -0.0237053+0.0195325j -0.0800465+0.0771252j -0.125128-0.000785019j 0.0932405-0.0414661j 0.0107925-0.0249667j -0.0510972+0.0845922j -0.0134479+0.0366278j 0.0875474-0.0812916j -0.0245622+0.0162831j -0.0722241-0.0572772j 0.00874411+0.0473066j 0.0286502-0.00388298j -0.00482134+0.0032341j -0.0394887-0.0245995j 
-0.0307788+0.0058391j -0.0259391+0.0145156j -0.0114784-0.0164296j 0.0380863+0.0251104j 0.0313507+0.0361181j -0.00526226+0.00124153j 0.00574503-0.0163848j -0.0119163+0.00484809j 0.0369532-0.0309524j 0.0165258+0.0697828j 0.0261743-0.00200139j -0.0194255+0.0268889j -0.0147726+0.0038606j 0.0279498-0.00956851j 0.015851-0.0391821j -0.024704-0.0156506j 0.0524977+0.0527989j 0.0156089-0.0526614j 0.0909612-0.0513547j 0.0205312+0.0358277j -0.0113122-0.0714769j -0.00552068+0.0470461j -0.00822523+0.000235369j 0.014993-0.0055225j -0.00233012+0.0451226j -0.0401389+0.0303497j -0.0216271+0.0237369j 0.0150543+0.0071673j 0.00839321-0.107034j 0.0731588-0.00404008j -0.106137+0.0506524j -0.10166+0.0702881j -0.022449-0.0218051j -0.016018-0.0718392j -0.0293173+0.00877621j 0.096213+0.00595792j -0.0668553+0.00332426j 0.00775592-0.00223999j -0.043996+0.0397994j 0.0245117+0.0491257j -0.0365941-0.00688489j 0.0246979+0.0078869j 0.041292+0.0520711j 0.0436663+0.0490328j 0.0729536-0.0891925j 0.0560734+0.0266991j -0.0298351-0.0258988j -0.00176672-0.0713267j 0.00405277-0.00186319j -0.0999493-0.0306172j -0.0591521-0.0756189j 0.0671102-0.0555228j 0.136355-0.0943589j 0.0786169-0.116476j 0.0652342+0.0210303j -0.011238+0.00715329j -0.0594077-0.0767919j -0.00392751+0.0158499j -0.0118892-0.0618186j -0.0426848-0.0256006j 0.0784275-0.029691j 0.0116032+0.00217787j 0.0199756+0.00831962j 0.00880823+0.0624416j -0.0120735+0.0150771j 0.0659455+0.0209089j -0.00958001-0.0478031j -0.0145399-0.0316243j 0.0477238-0.0511316j -0.0446945-0.0029809j 0.0135016-0.0410396j 0.0310351+0.00831909j 
0.00950685+0.0183932j -0.0260372-0.0351788j 0.00206387-0.00610464j 0.0103339+0.0011807j 0.04147-0.0172253j -0.00640145+0.00695745j 0.0345787-0.00751822j -0.0322152-0.041488j -0.0389093-0.0490525j 0.0327997-0.0341028j -0.000374558-0.0201209j 0.0048088-0.020713j -0.0492798-0.0246855j -0.0195002-0.00898889j -0.045594-0.0513853j 0.0157277-0.00664712j 0.0423276-0.0335395j 0.0139647+0.00188824j 0.0153253+0.0120082j 0.0796793+0.0434621j -0.0831148-0.0723354j -0.0914816-0.0578348j -0.0251327-0.0553305j 0.0504853-0.0184152j -0.0121561-0.00580778j 0.0761258-0.00658778j 0.0108743+0.0319173j 0.0409984-0.0259467j 0.0881031+0.0126183j -0.0227297+0.0461816j 0.0167045-0.0215091j 0.0233121+0.0313012j -0.126007+0.0160301j 0.0675657+0.0331231j 0.111928+0.0167717j 0.0125105+0.0832857j -0.0384789+0.0408999j -0.0354855-0.000549542j -0.0809447-0.00231392j 0.181639-0.0276192j 0.111041-0.115176j -0.00788808+0.00456637j 0.145566-0.0399627j 0.0440137-0.0414973j -0.0966194+0.0589607j -0.0217232-0.0837641j -0.0649861-0.00323684j -0.050771+0.0418278j 0.0334351+0.0318979j 0.0314102+0.024227j -0.139393+0.111834j -0.0342632-0.0313554j 0.0902715-0.0105441j 0.0388766-0.0396109j -0.0387443+0.0738202j -0.0317101-0.0337907j -0.00431708+0.0430103j 0.035401+0.0109605j 0.0807229-0.0295319j -0.0285003-0.0111688j -0.0518396-0.0136807j 0.0499476+0.00848862j -0.0306344-0.0203843j -0.00261817+0.0117808j -0.0305165-0.00218567j 0.0596698+0.0010516j -0.00442138-0.025596j 0.0193349-0.039651j 0.036267-0.0361175j -0.0270414+0.0296366j 0.00305927+0.00870413j -0.0403231+0.0213311j 
-0.0331007+0.0160412j -0.0109764+0.00472934j 0.002639+0.00258614j 0.0254593+0.020791j 0.0024457+0.0393684j 0.0362081+0.00719109j 0.0277527-0.0475395j -0.00474568+0.0277151j 0.0424312-0.0288447j -0.0238956+0.0383202j 0.00228051-0.0549601j 0.0125103-0.011942j 0.00222921+0.00831698j 0.0355547-0.00685872j 0.00991643-0.0722955j 0.0151901+0.0267536j -0.0104626-0.0355797j 0.00496453-0.0365544j 0.00437422+0.0075349j -0.0274227-0.0110054j 0.00502813+0.00638462j 0.0201232+0.0226444j -0.0251966+0.0183181j -0.0262323-0.0192403j -0.0508913+0.081539j -0.021421-0.0235877j 0.0326719-0.0645507j 0.00410684+0.00484949j 0.00936103-0.0774587j -0.0591769-0.122504j -0.0456128-0.100808j 0.0374871-0.130367j -0.0752246+0.0228614j 0.0342145+0.0409608j -0.0288072+0.037249j 0.160315-0.0682639j 0.0435503-0.113185j 0.0753685+0.00281015j 0.0465553-0.0985344j -0.0579046-0.0826725j 0.12333+0.0599636j 0.0988444+0.0297913j 0.00275361-0.114508j -0.128009+0.00852508j 0.0198158+0.12016j -0.220679+0.0482619j -0.0965949+0.0253976j 0.0711269+0.0567295j 0.0697426-0.0353535j 0.0713254+0.0137781j 0.0759372+0.12576j 0.131522-0.0504864j 0.0353471-0.133493j 0.0105497-0.0035634j 0.00419569+0.0663853j 0.0103546+0.135225j 0.0113755-0.0608731j -0.0339871+0.0119081j 0.0671916-0.0637848j 0.0829184+0.0202268j 0.0248549+0.0434232j 0.0012997-0.0324784j -0.00282939-0.0290859j -0.0512392-0.0397924j -0.0105375-0.00267614j -0.0322251+0.038767j -0.00774195+0.0243722j 0.00848847+0.0147215j 0.0796362-0.0179639j -0.0220386-0.0428965j 0.00376467-0.0478446j 0.0453403+0.0100036j 
0.0262346-0.0277124j 0.00924146-0.0186087j -0.0152783+0.0091419j -0.00252285+0.0102663j -0.00135187-0.0159469j 0.0174963+0.0060652j 0.0359279-0.0174116j 0.0070094-0.026674j -0.0291226+0.0186784j -0.0755804-0.0385437j -0.0336658+0.0253255j -0.00215521+0.0413768j -0.0492692+0.0189331j -0.00287771+0.018657j -0.0273142-0.0449211j 0.0104919+0.0533923j 0.0188733-0.00228764j -0.00936168+0.0648258j -0.0232653+0.00801032j -0.0481476-0.015687j 0.00851314-0.00543904j -0.0286702-0.0476048j -0.0959166-0.0150367j 0.0435746+0.00166469j -0.00101937-0.0475443j 0.00404975-0.00917136j -0.0205045-0.0107963j 0.0427938-0.0542101j 0.0453268+0.0869372j -0.052559-0.0456472j 0.0638693-0.0120853j 0.0755508+0.012261j -0.0538098+0.0254202j 0.055469-0.0221218j 0.0667444-0.0413289j -0.116777+0.100443j 0.0694823+0.0110217j 0.0204599-0.00729861j -0.0429845-0.00341927j 0.0666886-0.0219402j 0.113974-0.028275j 0.0655518+0.0110664j 0.0555222-0.0876176j -0.0305721-0.00771455j -0.0572546+0.0374533j -0.0883692+0.0440589j 8.0434e-05+0.00565137j 0.0202446+0.0369857j -0.021961+0.045497j 0.0309371-0.0343505j 0.00311426-0.0074095j -0.100481-0.0268326j 0.0556097-0.0400836j -0.00971385+0.0368747j -0.042042+0.00993541j 0.0487791+0.0383233j -0.0901378+0.0118238j 0.0585226-0.0399423j -0.0218616-0.0204514j 0.0415583-0.0418631j -0.0571664+0.00208802j -0.0714636+0.0243412j -0.0220079-0.0149899j -0.0687895+0.0503917j -0.0364264+0.028074j -0.0418098-0.0427445j 0.0638816+0.00350101j -0.0304759+0.0325788j 0.0187831+0.0476695j 0.0314731-0.0332363j 0.00688147+0.0284397j -0.0170104-0.00182518j 
-0.0339026-0.0158912j 0.0134128+0.038903j 0.000317425-0.0127686j 0.000843269+0.0349065j -0.0339697-0.00809907j -0.012194+0.0120151j -0.0439912-7.35671e-05j -0.0162019+0.0285917j -0.0316388-0.0179269j 0.00755518+0.00465126j 0.00739602+0.0183219j -0.0143794+0.0095335j 0.0228023+0.0406128j 0.00284086+0.013909j -0.0202985+0.00689258j -0.040466+0.0120049j 0.0627622-0.000100048j -0.0132776-0.00664863j -0.0169954-0.00602405j 0.0422858+0.0360329j -0.00549146+0.0362044j -0.0353708+0.0159815j -0.0374852+0.0189131j -0.00443454-0.0392712j -0.0500322+0.122324j 0.000612596+0.034974j -0.0581603-0.08971j 0.01757-0.0265628j -0.0236557+0.0544611j 0.0800955+0.0313644j 0.0472871-0.0197518j -0.0410358-0.154176j -0.0839699+0.0280261j -0.0025846-0.00486515j 0.00997777-0.114266j 0.0479516+0.0481199j 0.0281811+0.0752244j -0.01547-0.10521j -0.00335805-0.0725349j -0.0313464-0.0649814j -0.0405518+0.0195023j -0.0703208-0.00763516j 0.0261313+0.0338191j -0.053389-0.0959984j -0.0679132+0.063989j 0.0128945-0.0216268j 0.073012-0.128102j 0.0255293-0.0048205j -0.0926306-0.0736443j -0.073588+0.018259j 0.0433196+0.0921364j -0.00434895+0.0423741j 0.00776504+0.0335379j -0.110528+0.0160302j 0.0493825+0.00627092j 0.0238846+0.0465638j 0.068665+0.0207117j 0.00460519-0.0449868j -0.0274538+0.0555269j -0.058316-0.00124443j 0.111481-0.0405577j -0.0784068+0.0128369j 0.00031772-0.00729398j -0.0103521+0.0025647j 0.00655385+0.0295533j -0.00886769+0.0666784j 0.0536675+0.00924396j -0.0227652+0.0089182j -0.0463611+0.0379407j 0.0519348-0.0214181j 0.00150231-0.0527139j 0.0708569-0.0369768j 
0.00433574-0.0367989j -0.0036459+0.00478777j -0.000343495+0.0247089j 0.00417028+0.028088j 0.0290054+0.00221145j 0.00263945-0.00182633j 0.0172624-0.0124409j -0.0102519+0.0185923j 0.0476133+0.0428379j 0.015839+0.0274076j -0.0361676-0.0327642j -0.0811849+0.0294335j 0.0168094-0.0351698j -0.0399078-0.025796j 0.0379811+0.054962j 0.0192076+0.0126545j 0.00584155-0.052502j 0.00507311-0.0499262j 0.00698256-0.0547586j 0.0621493+0.00417374j -0.0374175-0.0168336j -0.0727238+0.0137897j 0.0196103+0.0715052j -0.0104801+0.0397314j 0.00841827+0.0201879j -0.070484-0.0811627j -0.00967431-0.00513167j 0.0474405-0.0210088j 0.0459331-0.126729j -0.0824751-0.0160907j -0.0342118+0.0150183j 0.0360293-0.0267672j -0.057203+0.0479993j -0.0756968-0.00503534j 0.00560351+0.00438206j 0.0974906-0.0987465j -0.101734-0.0214853j 0.253264+0.00387515j 0.0662366+0.0965392j -0.0081719-0.0494753j 0.152396+0.0945624j 0.0289239-0.133268j 0.009431-0.142615j -0.0876624+0.0835623j -0.117488+0.0049426j -0.0175803-0.0628088j 0.0307101+0.00653876j -0.0522333+0.0228371j -0.106185-0.0712759j 0.0485574-0.0416486j -0.0368919-0.0952581j -0.0569308+0.128675j 0.00251123+0.0102191j -0.0989296+0.00249381j -0.0717586-0.0758149j -0.0768555+0.0436223j -0.0629768+0.0689909j 0.00264679-0.103627j -0.0567566+0.0090366j 0.087441+0.0054484j 0.111321-0.0224412j -0.0195243+0.0843027j -0.0130163+0.104087j -0.012011+0.00794496j -0.0208491-0.0168152j -0.0495323-0.0121543j -0.00419833-0.0138813j 0.0106606-0.0119833j 0.00958343-0.00439564j -0.0448732-0.0176255j 0.072918-0.00663078j 0.0258008+0.0329949j 
